@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R1,18-22'

@attribute numFingers numeric
@attribute fingertipElevation_f2 numeric
@attribute fingertipElevation_f3 numeric
@attribute fingertipElevation_f4 numeric
@attribute fingertipElevation_f5 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data
0,0,0,0,0,G1
0,0,0,0,0,G1
4,3.866323,3.432589,1.578599,0,G0
3,3.06101,2.529032,0,0,G0
3,3.626464,3.077377,0,0,G0
5,8.722976,1.401234,7.393506,3.218856,G0
3,2.121263,1.66838,0,0,G0
3,2.130976,1.614336,0,0,G0
3,2.823006,2.236153,0,0,G0
2,2.537647,0,0,0,G0
4,5.543409,4.864698,2.488564,0,G0
4,5.529736,4.884039,2.807004,0,G0
1,0,0,0,0,G2
0,0,0,0,0,G2
0,0,0,0,0,G2
0,0,0,0,0,G2
1,0,0,0,0,G2
1,0,0,0,0,G2
1,0,0,0,0,G2
0,0,0,0,0,G2
1,0,0,0,0,G2
1,0,0,0,0,G2
2,8.966497,0,0,0,G3
0,0,0,0,0,G3
2,1.68142,0,0,0,G3
1,0,0,0,0,G3
1,0,0,0,0,G3
1,0,0,0,0,G3
1,0,0,0,0,G3
1,0,0,0,0,G3
1,0,0,0,0,G3
1,0,0,0,0,G3
2,2.217389,0,0,0,G4
2,2.281158,0,0,0,G4
3,3.216953,2.18216,0,0,G4
2,2.394318,0,0,0,G4
1,0,0,0,0,G4
2,2.670159,0,0,0,G4
1,0,0,0,0,G4
3,5.19557,0.39465,0,0,G4
2,2.264404,0,0,0,G4
3,6.120978,0.608062,0,0,G4
3,0.737544,3.4505,0,0,G5
3,3.725769,0.638286,0,0,G5
3,5.910605,2.083252,0,0,G5
2,2.101737,0,0,0,G5
3,4.40859,1.17984,0,0,G5
2,1.69653,0,0,0,G5
2,1.804901,0,0,0,G5
2,2.561266,0,0,0,G5
2,3.18687,0,0,0,G5
3,1.921971,5.017191,0,0,G5
3,1.806409,1.735807,0,0,G6
3,3.387056,0.9349,0,0,G6
3,1.715658,1.609502,0,0,G6
4,2.996877,2.968055,0.722541,0,G6
3,1.69428,1.633131,0,0,G6
3,1.852884,1.783288,0,0,G6
4,2.884054,2.807809,0.778021,0,G6
4,2.692333,2.55109,0.262122,0,G6
3,2.460773,2.325623,0,0,G6
3,2.963516,2.827507,0,0,G6
2,2.306137,0,0,0,G7
2,1.75715,0,0,0,G7
1,0,0,0,0,G7
3,2.023843,2.321926,0,0,G7
3,1.875043,2.157629,0,0,G7
4,4.073871,4.702125,1.875468,0,G7
2,2.696643,0,0,0,G7
4,12.381773,6.060918,3.987506,0,G7
4,4.264287,7.81752,1.955696,0,G7
3,6.370481,1.248434,0,0,G7
3,3.189894,2.539773,0,0,G8
2,2.908525,0,0,0,G8
3,3.310952,2.756505,0,0,G8
4,16.406713,14.285071,2.789194,0,G8
3,2.93282,2.30768,0,0,G8
3,3.216164,2.59698,0,0,G8
3,4.019603,3.459401,0,0,G8
3,5.407362,4.905256,0,0,G8
3,4.469506,3.892395,0,0,G8
3,3.858044,3.208477,0,0,G8
5,3.583256,3.591082,3.476862,2.806365,G9
5,2.19238,2.324479,2.169836,1.536889,G9
5,3.13889,3.205146,3.083863,2.320241,G9
4,5.136301,5.129916,4.419653,0,G9
4,4.039729,4.006492,3.576392,0,G9
4,2.401072,2.326977,1.889486,0,G9
5,2.764143,2.869909,2.733367,2.075783,G9
5,2.336564,2.509696,2.377496,1.753782,G9
5,2.628773,2.724137,2.545563,1.978785,G9
5,3.385308,3.56586,3.432508,2.926412,G9
1,0,0,0,0,G1
1,0,0,0,0,G1
1,0,0,0,0,G1
1,0,0,0,0,G1
1,0,0,0,0,G1
1,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
1,0,0,0,0,G1
3,3.448358,3.020074,0,0,G0
3,4.727411,4.205803,0,0,G0
3,4.012097,3.487435,0,0,G0
3,3.325052,2.7981,0,0,G0
3,3.389153,2.988763,0,0,G0
3,4.445772,3.949125,0,0,G0
3,3.977086,3.516061,0,0,G0
3,2.908622,2.460076,0,0,G0
4,3.323933,2.592962,2.944596,0,G0
3,3.381718,2.946951,0,0,G0
1,0,0,0,0,G2
1,0,0,0,0,G2
1,0,0,0,0,G2
1,0,0,0,0,G2
1,0,0,0,0,G2
1,0,0,0,0,G2
1,0,0,0,0,G2
1,0,0,0,0,G2
1,0,0,0,0,G2
1,0,0,0,0,G2
1,0,0,0,0,G3
2,2.107758,0,0,0,G3
2,1.22534,0,0,0,G3
2,2.511358,0,0,0,G3
1,0,0,0,0,G3
1,0,0,0,0,G3
1,0,0,0,0,G3
2,3.886456,0,0,0,G3
1,0,0,0,0,G3
1,0,0,0,0,G3
3,2.010482,1.050212,0,0,G4
2,0.501815,0,0,0,G4
2,1.475883,0,0,0,G4
3,2.571226,1.619933,0,0,G4
3,2.580039,1.546137,0,0,G4
3,2.688617,1.643467,0,0,G4
3,2.891256,1.884853,0,0,G4
3,2.984541,2.01054,0,0,G4
3,2.168492,1.223954,0,0,G4
2,1.356099,0,0,0,G4
2,1.161095,0,0,0,G5
2,2.218372,0,0,0,G5
2,2.080377,0,0,0,G5
2,1.983265,0,0,0,G5
2,2.115077,0,0,0,G5
2,1.495915,0,0,0,G5
2,1.474883,0,0,0,G5
2,1.459107,0,0,0,G5
2,2.012777,0,0,0,G5
2,1.746467,0,0,0,G5
3,2.290388,2.118141,0,0,G6
3,2.394208,2.207506,0,0,G6
3,2.46392,2.269868,0,0,G6
3,2.451472,2.276577,0,0,G6
3,1.921484,1.724274,0,0,G6
3,2.067434,1.880118,0,0,G6
3,2.418892,2.241728,0,0,G6
3,2.589725,2.409889,0,0,G6
3,3.280604,3.168819,0,0,G6
3,2.632466,2.473182,0,0,G6
2,1.555722,0,0,0,G7
2,2.365039,0,0,0,G7
2,1.97073,0,0,0,G7
2,2.128826,0,0,0,G7
2,1.972337,0,0,0,G7
2,2.00705,0,0,0,G7
2,2.972112,0,0,0,G7
2,1.454624,0,0,0,G7
2,0.499218,0,0,0,G7
2,0.523019,0,0,0,G7
3,4.243196,3.681748,0,0,G8
3,3.741098,3.097004,0,0,G8
4,3.033857,1.957484,2.350348,0,G8
4,4.182112,3.096088,3.552491,0,G8
3,1.962115,1.304427,0,0,G8
3,2.103075,1.433966,0,0,G8
3,3.676888,3.039683,0,0,G8
3,3.210921,2.6298,0,0,G8
3,2.302745,1.664755,0,0,G8
4,1.576943,0.613251,1.059939,0,G8
5,1.850322,2.028571,1.907771,1.27657,G9
5,3.41393,3.611273,3.501278,2.952716,G9
5,3.542961,3.685598,3.565313,3.045263,G9
5,3.550491,3.67174,3.587299,3.055944,G9
5,3.46041,3.578918,3.489384,2.952679,G9
5,2.961399,3.087937,3.00403,2.48096,G9
5,1.99697,2.14448,2.011722,1.46829,G9
5,2.618608,2.739181,2.630876,2.055403,G9
5,3.669908,3.816625,3.714485,3.154437,G9
5,2.263813,2.351481,2.220672,1.65872,G9
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
3,2.771589,2.434547,0,0,G0
3,1.961989,1.473321,0,0,G0
3,2.342911,1.965872,0,0,G0
3,2.759218,2.066185,0,0,G0
3,2.928436,2.506925,0,0,G0
2,2.023987,0,0,0,G0
3,2.16077,1.64098,0,0,G0
3,2.161285,1.620225,0,0,G0
3,2.558391,2.006091,0,0,G0
3,2.713761,2.120425,0,0,G0
1,0,0,0,0,G2
0,0,0,0,0,G2
1,0,0,0,0,G2
1,0,0,0,0,G2
1,0,0,0,0,G2
1,0,0,0,0,G2
1,0,0,0,0,G2
1,0,0,0,0,G2
1,0,0,0,0,G2
1,0,0,0,0,G2
0,0,0,0,0,G3
2,0.541037,0,0,0,G3
0,0,0,0,0,G3
0,0,0,0,0,G3
1,0,0,0,0,G3
0,0,0,0,0,G3
1,0,0,0,0,G3
1,0,0,0,0,G3
1,0,0,0,0,G3
0,0,0,0,0,G3
1,0,0,0,0,G4
2,2.826909,0,0,0,G4
2,0.587854,0,0,0,G4
2,0.578001,0,0,0,G4
2,0.526616,0,0,0,G4
2,2.143939,0,0,0,G4
2,2.881587,0,0,0,G4
2,2.4291,0,0,0,G4
2,1.16707,0,0,0,G4
1,0,0,0,0,G4
2,1.02083,0,0,0,G5
2,1.610657,0,0,0,G5
2,1.640749,0,0,0,G5
0,0,0,0,0,G5
2,1.738286,0,0,0,G5
2,1.997056,0,0,0,G5
2,1.439554,0,0,0,G5
3,1.234775,2.711801,0,0,G5
0,0,0,0,0,G5
0,0,0,0,0,G5
2,1.466297,0,0,0,G6
3,2.312101,2.157485,0,0,G6
1,0,0,0,0,G6
3,2.461677,2.198257,0,0,G6
3,2.052802,1.807447,0,0,G6
2,1.033499,0,0,0,G6
3,2.702308,2.228577,0,0,G6
1,0,0,0,0,G6
1,0,0,0,0,G6
3,2.541336,2.300484,0,0,G6
2,0.189126,0,0,0,G7
2,0.641166,0,0,0,G7
0,0,0,0,0,G7
1,0,0,0,0,G7
2,0.181889,0,0,0,G7
2,0.500134,0,0,0,G7
0,0,0,0,0,G7
2,0.790985,0,0,0,G7
2,0.400748,0,0,0,G7
2,0.246611,0,0,0,G7
3,4.201895,3.589105,0,0,G8
3,5.474811,4.758352,0,0,G8
2,3.744194,0,0,0,G8
2,2.773104,0,0,0,G8
3,3.88082,3.13008,0,0,G8
3,4.55499,3.808392,0,0,G8
3,6.948523,6.150044,0,0,G8
2,5.623022,0,0,0,G8
3,6.914099,6.290797,0,0,G8
3,6.020041,5.137407,0,0,G8
5,3.467142,3.42099,3.247894,2.651787,G9
5,4.331477,4.479289,4.214166,3.448234,G9
5,3.084621,3.221116,3.054302,2.562638,G9
5,5.105647,5.120188,4.926242,4.246762,G9
5,1.97503,2.01991,1.812495,1.255303,G9
4,2.098935,2.041083,1.80605,0,G9
5,4.696747,4.803766,4.735086,4.276867,G9
5,7.086591,7.203006,7.151492,6.706867,G9
5,6.340759,6.365201,6.127171,5.617724,G9
5,4.566732,4.599581,4.503874,3.978602,G9
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
1,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
3,1.679687,1.332674,0,0,G0
3,2.505263,2.023229,0,0,G0
3,2.666659,2.159433,0,0,G0
3,2.285386,1.775265,0,0,G0
3,2.021174,1.665006,0,0,G0
3,2.424119,1.833871,0,0,G0
3,1.869291,1.527964,0,0,G0
3,2.244421,1.813531,0,0,G0
3,1.925906,1.527198,0,0,G0
3,2.235826,1.758586,0,0,G0
0,0,0,0,0,G2
0,0,0,0,0,G2
0,0,0,0,0,G2
0,0,0,0,0,G2
0,0,0,0,0,G2
0,0,0,0,0,G2
0,0,0,0,0,G2
0,0,0,0,0,G2
0,0,0,0,0,G2
0,0,0,0,0,G2
1,0,0,0,0,G3
1,0,0,0,0,G3
1,0,0,0,0,G3
1,0,0,0,0,G3
0,0,0,0,0,G3
0,0,0,0,0,G3
0,0,0,0,0,G3
1,0,0,0,0,G3
1,0,0,0,0,G3
1,0,0,0,0,G3
2,2.137151,0,0,0,G4
2,2.314631,0,0,0,G4
2,2.880613,0,0,0,G4
1,0,0,0,0,G4
3,2.476516,1.548451,0,0,G4
1,0,0,0,0,G4
2,1.133746,0,0,0,G4
2,2.040292,0,0,0,G4
2,2.142984,0,0,0,G4
2,1.551723,0,0,0,G4
2,1.286835,0,0,0,G5
1,0,0,0,0,G5
1,0,0,0,0,G5
0,0,0,0,0,G5
2,1.721081,0,0,0,G5
2,1.734795,0,0,0,G5
2,1.294113,0,0,0,G5
2,1.305939,0,0,0,G5
0,0,0,0,0,G5
2,1.25409,0,0,0,G5
3,2.153533,1.995845,0,0,G6
3,2.442055,2.246718,0,0,G6
3,2.077801,1.916269,0,0,G6
3,2.298096,2.077478,0,0,G6
3,1.66833,1.480218,0,0,G6
3,2.019825,1.759594,0,0,G6
3,1.310956,1.256135,0,0,G6
3,1.775795,1.605941,0,0,G6
3,1.584066,1.294743,0,0,G6
3,2.251905,1.984155,0,0,G6
2,3.142388,0,0,0,G7
3,2.653922,2.880503,0,0,G7
3,0.964787,9.783976,0,0,G7
3,2.764261,2.89045,0,0,G7
2,2.570461,0,0,0,G7
3,3.983932,4.172822,0,0,G7
2,3.9326,0,0,0,G7
2,2.684536,0,0,0,G7
2,3.192102,0,0,0,G7
2,2.425123,0,0,0,G7
4,4.764359,3.880919,4.396766,0,G8
3,4.097537,3.117222,0,0,G8
3,4.031798,3.459741,0,0,G8
3,4.222198,3.638376,0,0,G8
3,4.287391,3.475688,0,0,G8
3,3.915275,3.114105,0,0,G8
3,3.855591,2.969091,0,0,G8
3,3.97739,3.212373,0,0,G8
3,4.61943,3.876088,0,0,G8
3,3.191657,2.373737,0,0,G8
5,2.649596,2.737096,1.964551,2.425604,G9
5,2.549188,2.719091,1.952886,2.46722,G9
5,2.785559,2.799219,1.841744,2.370723,G9
4,2.495109,2.557856,2.205323,0,G9
5,2.684768,2.793168,1.872318,2.433289,G9
5,3.487632,3.696452,2.991677,3.503557,G9
5,3.255954,3.460378,2.607853,3.168638,G9
4,3.248523,3.31209,2.819771,0,G9
5,3.25262,3.401956,3.194432,2.644456,G9
4,3.201528,3.13351,2.643073,0,G9
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
3,2.331832,1.754914,0,0,G0
3,2.427099,1.933388,0,0,G0
3,2.528678,1.965183,0,0,G0
2,1.949924,0,0,0,G0
3,2.668672,2.077415,0,0,G0
3,2.462442,1.884354,0,0,G0
3,2.474867,1.965286,0,0,G0
3,2.480407,1.967646,0,0,G0
1,0,0,0,0,G0
3,2.587882,1.998994,0,0,G0
1,0,0,0,0,G2
1,0,0,0,0,G2
1,0,0,0,0,G2
1,0,0,0,0,G2
0,0,0,0,0,G2
1,0,0,0,0,G2
1,0,0,0,0,G2
0,0,0,0,0,G2
2,1.731921,0,0,0,G2
1,0,0,0,0,G2
1,0,0,0,0,G3
1,0,0,0,0,G3
1,0,0,0,0,G3
1,0,0,0,0,G3
1,0,0,0,0,G3
1,0,0,0,0,G3
1,0,0,0,0,G3
1,0,0,0,0,G3
1,0,0,0,0,G3
1,0,0,0,0,G3
1,0,0,0,0,G4
3,2.763506,1.882963,0,0,G4
3,2.481959,1.613256,0,0,G4
2,1.903705,0,0,0,G4
2,1.909232,0,0,0,G4
2,1.774987,0,0,0,G4
2,1.817703,0,0,0,G4
2,1.506748,0,0,0,G4
2,1.917948,0,0,0,G4
2,2.214837,0,0,0,G4
2,1.650699,0,0,0,G5
2,1.923573,0,0,0,G5
2,1.820373,0,0,0,G5
1,0,0,0,0,G5
2,1.869305,0,0,0,G5
2,1.607996,0,0,0,G5
1,0,0,0,0,G5
2,1.798481,0,0,0,G5
2,1.733206,0,0,0,G5
2,1.642731,0,0,0,G5
3,2.201002,1.982784,0,0,G6
3,2.608777,2.453556,0,0,G6
3,2.11624,1.918045,0,0,G6
3,2.530725,2.330842,0,0,G6
3,2.629942,2.44507,0,0,G6
3,2.457115,2.297291,0,0,G6
3,2.403111,2.196668,0,0,G6
3,2.286544,2.063041,0,0,G6
3,2.531724,2.296187,0,0,G6
3,2.13933,1.900911,0,0,G6
2,2.737714,0,0,0,G7
1,0,0,0,0,G7
1,0,0,0,0,G7
2,2.5989,0,0,0,G7
2,2.74876,0,0,0,G7
2,3.073532,0,0,0,G7
2,2.993518,0,0,0,G7
2,2.465016,0,0,0,G7
2,2.564542,0,0,0,G7
2,2.686135,0,0,0,G7
4,3.499493,2.401753,2.976589,0,G8
3,3.340404,2.497936,0,0,G8
3,2.820648,2.086836,0,0,G8
4,3.620735,2.371606,2.890845,0,G8
3,3.513155,2.780068,0,0,G8
3,3.115993,2.311466,0,0,G8
3,2.535746,1.64341,0,0,G8
3,2.50407,1.585721,0,0,G8
4,2.814799,1.813369,1.99695,0,G8
3,3.111614,2.325379,0,0,G8
5,2.295031,2.456929,2.271876,1.747492,G9
5,2.568736,2.714351,2.519471,2.006902,G9
5,2.435565,2.577415,2.393749,1.891648,G9
5,2.247694,2.411663,2.225646,1.710008,G9
5,2.900245,3.049588,2.873989,2.364183,G9
5,2.869842,2.977826,2.789334,2.22542,G9
5,3.435466,3.509477,3.323218,2.884544,G9
5,2.36952,2.5109,2.3356,1.822936,G9
5,1.909025,2.067713,1.870655,1.363011,G9
5,1.566091,1.692943,1.463166,0.870503,G9
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
3,2.46029,1.921464,0,0,G0
3,2.313767,1.812873,0,0,G0
3,2.666554,2.133013,0,0,G0
2,1.576564,0,0,0,G0
3,2.585765,2.025676,0,0,G0
3,2.311467,1.794502,0,0,G0
3,1.871524,1.276168,0,0,G0
3,2.100502,1.545845,0,0,G0
3,2.41489,1.872662,0,0,G0
3,2.518441,1.986993,0,0,G0
1,0,0,0,0,G2
1,0,0,0,0,G2
1,0,0,0,0,G2
1,0,0,0,0,G2
1,0,0,0,0,G2
1,0,0,0,0,G2
0,0,0,0,0,G2
0,0,0,0,0,G2
1,0,0,0,0,G2
1,0,0,0,0,G2
1,0,0,0,0,G3
1,0,0,0,0,G3
1,0,0,0,0,G3
1,0,0,0,0,G3
1,0,0,0,0,G3
1,0,0,0,0,G3
1,0,0,0,0,G3
1,0,0,0,0,G3
1,0,0,0,0,G3
1,0,0,0,0,G3
2,2.226848,0,0,0,G4
2,2.091455,0,0,0,G4
2,2.309088,0,0,0,G4
2,2.10137,0,0,0,G4
2,1.629287,0,0,0,G4
2,1.988332,0,0,0,G4
2,1.993403,0,0,0,G4
2,1.887173,0,0,0,G4
2,1.825598,0,0,0,G4
2,2.089965,0,0,0,G4
2,1.696082,0,0,0,G5
2,1.612026,0,0,0,G5
2,1.956828,0,0,0,G5
1,0,0,0,0,G5
2,1.485219,0,0,0,G5
2,1.79561,0,0,0,G5
2,1.55432,0,0,0,G5
0,0,0,0,0,G5
1,0,0,0,0,G5
1,0,0,0,0,G5
3,1.935494,1.740907,0,0,G6
3,2.233067,1.997889,0,0,G6
3,2.168793,1.965827,0,0,G6
3,2.436686,2.202429,0,0,G6
3,2.018919,1.673655,0,0,G6
3,1.681442,1.389185,0,0,G6
2,2.028868,0,0,0,G6
3,2.391707,2.120616,0,0,G6
3,2.04029,1.663921,0,0,G6
3,1.785106,1.438898,0,0,G6
2,3.133171,0,0,0,G7
2,2.594362,0,0,0,G7
1,0,0,0,0,G7
2,2.82082,0,0,0,G7
2,2.46161,0,0,0,G7
2,2.845204,0,0,0,G7
2,3.41128,0,0,0,G7
2,3.56129,0,0,0,G7
2,2.794676,0,0,0,G7
2,2.61602,0,0,0,G7
3,2.624343,2.042938,0,0,G8
3,2.447461,1.868098,0,0,G8
4,3.949168,2.764974,3.501531,0,G8
3,3.400753,2.810094,0,0,G8
4,2.7427,1.688276,2.20641,0,G8
3,2.628447,2.078841,0,0,G8
3,3.194303,2.670617,0,0,G8
4,3.969992,2.720676,3.315387,0,G8
3,2.487278,1.777734,0,0,G8
3,1.884584,1.286888,0,0,G8
5,3.425827,3.667395,3.412279,2.819075,G9
5,2.381643,2.581324,2.343382,1.746534,G9
5,3.471379,3.682538,3.447838,2.80983,G9
5,4.868867,4.908283,4.713198,4.195436,G9
5,3.081616,3.178167,3.01303,2.652378,G9
5,3.544664,3.804386,3.548612,2.892885,G9
5,3.872543,4.08072,3.81959,3.122391,G9
5,3.909482,4.140677,3.748071,3.066411,G9
5,5.148542,5.337552,4.876584,4.493115,G9
5,4.447258,4.685953,4.366793,3.618086,G9
1,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
1,0,0,0,0,G1
