@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R2,4,6,17-22'

@attribute fingersExtended numeric
@attribute Max_X numeric
@attribute fingersAreas numeric
@attribute fingertipElevation_f1 numeric
@attribute fingertipElevation_f2 numeric
@attribute fingertipElevation_f3 numeric
@attribute fingertipElevation_f4 numeric
@attribute fingertipElevation_f5 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data
1000,0.138083,19.019991,0,1.345424,0,0,0,G2
1000,0.035481,20.502623,0,0.845885,0,0,0,G2
1,-0.108901,1,0,0,0,0,1.761956,G3
1,0.483535,1,0,0,0,0,2.427105,G3
1,0.313593,1,0,0,0,0,1.959951,G3
1,0.147303,1,0,0,0,0,2.267077,G3
1,0.40733,1,0,0,0,0,2.859358,G3
1,0.261888,1,0,0,0,0,2.23115,G3
1,0.72652,43.806084,0,0,0,0,2.81739,G3
1,0.20873,1,0,0,0,0,1.703367,G3
1,0.04827,1,0,0,0,0,1.72396,G3
1,0.102806,1,0,0,0,0,1.93749,G3
11000,-0.373879,53.363533,1.225886,1.701352,0,0,0,G4
11000,-0.434245,55.445675,1.480442,1.861036,0,0,0,G4
11000,-0.413022,57.632858,1.364171,1.650402,0,0,0,G4
11000,-0.037151,18.210123,1.681572,2.086187,0,0,0,G4
11000,-0.000103,17.409941,1.307954,2.213711,0,0,0,G4
11000,-0.060346,18.754187,1.213791,2.075226,0,0,0,G4
11000,-0.033475,19.466267,1.6922,2.487475,0,0,0,G4
11000,-0.013315,19.616816,1.249614,2.112467,0,0,0,G4
11000,-0.447857,53.907883,1.54044,1.96664,0,0,0,G4
11000,-0.45698,54.080479,1.591134,2.053533,0,0,0,G4
1100,0.264451,35.383423,0,1.905487,1.854031,0,0,G5
1100,0.30508,35.510876,0,2.062269,2.112619,0,0,G5
1100,0.161662,36.217762,0,1.831598,1.917133,0,0,G5
1100,1.997881,28.439514,0,3.896853,4.667479,0,0,G5
1100,0.207566,35.175339,0,2.131417,2.21418,0,0,G5
1100,0.263061,36.02306,0,2.620394,2.695342,0,0,G5
1100,0.295778,35.848511,0,2.040568,2.083658,0,0,G5
1100,0.302774,35.379021,0,1.926158,1.955444,0,0,G5
1100,0.291047,33.79295,0,1.899811,1.933576,0,0,G5
1100,0.345031,35.247337,0,1.763835,1.727625,0,0,G5
1110,0.054545,15.573933,0,1.958068,2.065973,1.866892,0,G6
1110,0.341613,14.413544,0,2.57332,2.739355,1.668595,0,G6
1110,0.183539,17.945267,0,1.801968,1.916539,1.738299,0,G6
1110,0.132188,17.476412,0,1.997224,2.151975,1.88613,0,G6
1110,0.299692,15.826111,0,2.32594,2.444495,2.179388,0,G6
1110,0.177524,16.318581,0,1.909319,2.065951,1.888517,0,G6
1110,0.124065,15.603787,0,2.470532,2.606683,2.449893,0,G6
1110,0.15952,15.716647,0,2.815992,2.974155,2.799173,0,G6
1110,0.093541,16.018442,0,2.799346,2.95688,2.783392,0,G6
1110,0.025135,16.020119,0,2.559534,2.695724,2.51478,0,G6
10001,1.095423,80.422737,1.011761,0,0,0,0.956591,G7
10001,1.109315,41.267994,1.229554,0,0,0,1.384579,G7
10001,0.911542,40.350845,1.618637,0,0,0,1.711591,G7
10001,0.83926,74.734032,2.434556,0,0,0,2.848105,G7
10001,1.004514,76.033142,2.527049,0,0,0,2.606421,G7
10001,0.944776,40.558052,1.356734,0,0,0,1.479126,G7
10001,1.053624,26.645836,1.531411,0,0,0,1.642864,G7
10001,1.353392,26.544914,0.710862,0,0,0,0.900476,G7
10001,1.458554,27.584511,1.005833,0,0,0,1.145414,G7
10001,1.367796,26.861992,0.214614,0,0,0,0.09792,G7
11001,1.775124,17.067598,2.618955,4.25606,0,0,3.400037,G8
11001,0.288527,40.308922,2.265623,1.822753,0,0,0,G8
11001,0.32148,25.895041,2.406044,3.169844,0,0,2.620257,G8
11001,0.155239,24.940514,1.811319,2.549367,0,0,1.883199,G8
11001,0.274512,25.743473,1.712801,2.434833,0,0,1.788014,G8
11001,0.31914,25.42441,1.375134,2.043718,0,0,1.370904,G8
11001,0.479261,24.691273,1.172054,1.934845,0,0,1.312227,G8
11001,0.500359,24.97603,1.856683,2.637744,0,0,1.996173,G8
11001,0.446692,17.722002,3.146877,4.077566,0,0,3.276005,G8
11001,2.231167,18.097288,4.657246,6.520862,0,0,5.495451,G8
11111,0.912641,10.475904,2.886926,3.855342,4.085877,3.918613,3.474774,G9
11111,0.795213,10.736491,2.330731,3.232668,3.410392,3.26334,2.84068,G9
11111,0.66777,10.215485,2.448194,3.593818,3.676095,3.54543,3.163843,G9
11111,0.777736,10.836102,2.848297,3.72731,3.910608,3.753439,3.336542,G9
11111,0.782084,10.868353,3.191601,4.125418,4.277683,4.147567,3.761934,G9
11111,0.792103,9.782095,2.628631,3.664258,3.766043,3.626928,3.182909,G9
11111,0.642047,10.083056,2.091589,3.154746,3.258385,3.08598,2.679865,G9
11111,-0.196212,25.220232,2.244422,2.877027,2.769956,0,0,G9
11111,0.671083,25.929398,4.39732,5.471673,4.837096,0,0,G9
11111,0.730756,10.531284,2.917695,3.898855,4.064389,3.943558,3.506793,G9
0,0,0,0,0,0,0,0,G1
0,0.734957,1,0,0,0,0,0,G1
0,0.581342,5.416896,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,-0.667931,1,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
1101,0.861251,4.915854,0,3.200804,3.866323,0,3.432589,G0
1101,0.461436,19.595537,0,2.869781,3.06101,0,2.529032,G0
1101,0.41388,19.243837,0,3.455971,3.626464,0,3.077377,G0
1101,1.781367,7.804761,0,7.758927,8.722976,0,1.401234,G0
1101,0.36219,19.793972,0,1.929311,2.121263,0,1.66838,G0
1101,0.457707,20.028419,0,1.962166,2.130976,0,1.614336,G0
1101,0.568438,19.043934,0,2.668828,2.823006,0,2.236153,G0
1101,-0.014742,22.023912,0,2.519809,2.537647,0,0,G0
1101,0.961435,1.973912,0,5.07996,5.543409,0,4.864698,G0
1101,0.910031,4.449722,0,5.056568,5.529736,0,4.884039,G0
1000,-0.303567,1,0,0.782167,0,0,0,G2
1000,0,0,0,0,0,0,0,G2
1000,0,0,0,0,0,0,0,G2
1000,0,0,0,0,0,0,0,G2
1000,-0.315823,1,0,0.811374,0,0,0,G2
1000,-0.111525,1,0,0.624098,0,0,0,G2
1000,-0.210051,1,0,0.96388,0,0,0,G2
1000,0,0,0,0,0,0,0,G2
1000,-0.267906,1,0,0.669806,0,0,0,G2
1000,-0.291259,1,0,0.819212,0,0,0,G2
1,0.488662,49.595951,0,0,0,0,5.588802,G3
1,0,0,0,0,0,0,0,G3
1,0.822483,53.400436,0,0,0,0,3.357691,G3
1,0.211315,1,0,0,0,0,1.962697,G3
1,0.257286,1,0,0,0,0,2.435554,G3
1,0.294008,1,0,0,0,0,2.509979,G3
1,0.213918,1,0,0,0,0,2.32126,G3
1,0.220521,1,0,0,0,0,2.432033,G3
1,0.164169,1,0,0,0,0,2.480385,G3
1,0.15234,1,0,0,0,0,2.548279,G3
11000,-0.174105,50.252277,1.92091,2.217389,0,0,0,G4
11000,-0.122953,48.429398,1.920436,2.281158,0,0,0,G4
11000,0.18846,14.786871,2.536567,3.216953,0,0,0,G4
11000,-0.164602,50.12207,1.971869,2.394318,0,0,0,G4
11000,-0.94572,1,2.732039,0,0,0,0,G4
11000,-0.150126,49.292255,2.382105,2.670159,0,0,0,G4
11000,-0.98293,1,2.472052,0,0,0,0,G4
11000,-0.008154,77.524254,5.081109,5.19557,0,0,0,G4
11000,-0.180848,50.425652,1.956647,2.264404,0,0,0,G4
11000,1.36589,34.100098,4.982361,6.120978,0,0,0,G4
1100,-0.063246,30.171564,0,3.765091,0.737544,0,0,G5
1100,0.972259,9.168107,0,3.384465,3.725769,0,0,G5
1100,0.856262,11.501387,0,5.593565,5.910605,0,0,G5
1100,-0.077521,26.184465,0,2.093861,2.101737,0,0,G5
1100,1.139007,18.09214,0,4.059782,4.40859,0,0,G5
1100,-0.078388,26.263199,0,1.656116,1.69653,0,0,G5
1100,0.136451,27.691299,0,1.798941,1.804901,0,0,G5
1100,0.192035,27.695864,0,2.568328,2.561266,0,0,G5
1100,0.017633,28.322369,0,3.158669,3.18687,0,0,G5
1100,-0.183645,31.533884,0,5.362423,1.921971,0,0,G5
1110,0.15807,19.914471,0,1.579357,1.806409,1.735807,0,G6
1110,0.699618,7.737838,0,2.820252,3.387056,0.9349,0,G6
1110,0.125004,19.64415,0,1.585589,1.715658,1.609502,0,G6
1110,0.641382,7.008226,0,2.747815,2.996877,2.968055,0,G6
1110,0.070663,19.759106,0,1.516607,1.69428,1.633131,0,G6
1110,-0.009252,19.387762,0,1.645035,1.852884,1.783288,0,G6
1110,0.667561,5.810316,0,2.539201,2.884054,2.807809,0,G6
1110,1.009683,3.458053,0,2.169876,2.692333,2.55109,0,G6
1110,0.356224,20.15057,0,2.311286,2.460773,2.325623,0,G6
1110,0.24501,20.21986,0,2.888182,2.963516,2.827507,0,G6
10001,0.13836,53.090115,2.192527,0,0,0,2.306137,G7
10001,-0.164355,28.018694,2.098306,0,0,0,1.75715,G7
10001,-0.624042,1,2.219085,0,0,0,0,G7
10001,0.329231,30.324524,2.246607,0,0,0,2.023843,G7
10001,0.38034,30.072052,2.159252,0,0,0,1.875043,G7
10001,0.793739,5.104064,4.417421,0,0,0,4.073871,G7
10001,0.29787,53.317043,2.523398,0,0,0,2.696643,G7
10001,3.005895,26.40741,9.964713,0,0,0,12.381773,G7
10001,1.964791,13.585074,8.969092,0,0,0,4.264287,G7
10001,2.029247,9.604671,5.735237,0,0,0,6.370481,G7
11001,0.470137,19.364756,2.463647,3.189894,0,0,2.539773,G8
11001,-0.328652,35.649731,2.552048,2.908525,0,0,0,G8
11001,0.308704,20.332781,2.625465,3.310952,0,0,2.756505,G8
11001,4.830279,69.943497,13.37717,16.406713,0,0,14.285071,G8
11001,0.317377,19.7327,2.271872,2.93282,0,0,2.30768,G8
11001,0.478468,19.846165,2.384982,3.216164,0,0,2.59698,G8
11001,0.378964,20.634821,3.270124,4.019603,0,0,3.459401,G8
11001,0.325927,20.530083,4.73728,5.407362,0,0,4.905256,G8
11001,0.254995,20.212069,3.730794,4.469506,0,0,3.892395,G8
11001,0.253362,19.471188,3.08476,3.858044,0,0,3.208477,G8
11111,0.985754,8.73686,2.605869,3.583256,3.591082,3.476862,2.806365,G9
11111,0.842018,8.881664,1.26991,2.19238,2.324479,2.169836,1.536889,G9
11111,1.16038,7.105643,1.967825,3.13889,3.205146,3.083863,2.320241,G9
11111,1.081631,15.284383,4.289592,5.136301,5.129916,4.419653,0,G9
11111,0.925269,16.43553,3.943308,4.039729,4.006492,3.576392,0,G9
11111,0.821203,15.619578,2.229235,2.401072,2.326977,1.889486,0,G9
11111,0.964381,8.800071,1.830875,2.764143,2.869909,2.733367,2.075783,G9
11111,0.810025,9.380643,1.48832,2.336564,2.509696,2.377496,1.753782,G9
11111,0.666753,9.375968,1.746774,2.628773,2.724137,2.545563,1.978785,G9
11111,0.702865,10.967755,2.687785,3.385308,3.56586,3.432508,2.926412,G9
0,-0.728452,1,0,0,0,0,0,G1
0,-0.672955,1,0,0,0,0,0,G1
0,-0.720727,1,0,0,0,0,0,G1
0,-0.701598,1,0,0,0,0,0,G1
0,-0.693084,1,0,0,0,0,0,G1
0,-0.762485,1,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,-0.698562,1,0,0,0,0,0,G1
1101,0.726182,28.205624,0,3.304496,3.448358,0,3.020074,G0
1101,0.792688,27.12533,0,4.541755,4.727411,0,4.205803,G0
1101,0.809091,28.109241,0,3.824039,4.012097,0,3.487435,G0
1101,0.838553,27.913639,0,3.142044,3.325052,0,2.7981,G0
1101,0.655823,28.283398,0,3.248622,3.389153,0,2.988763,G0
1101,0.86205,27.656107,0,4.264217,4.445772,0,3.949125,G0
1101,0.956434,27.393061,0,3.768033,3.977086,0,3.516061,G0
1101,0.955239,27.468975,0,2.731685,2.908622,0,2.460076,G0
1101,1.007363,21.126677,0,3.123606,3.323933,0,2.592962,G0
1101,0.734132,27.943962,0,3.240444,3.381718,0,2.946951,G0
1000,-0.357227,1,0,0.40087,0,0,0,G2
1000,-0.078084,1,0,0.653741,0,0,0,G2
1000,-0.18588,1,0,0.85771,0,0,0,G2
1000,-0.085474,1,0,1.321642,0,0,0,G2
1000,-0.179387,1,0,0.898788,0,0,0,G2
1000,-0.199327,1,0,1.036665,0,0,0,G2
1000,-0.255902,1,0,0.616803,0,0,0,G2
1000,-0.244464,1,0,0.922724,0,0,0,G2
1000,-0.125303,1,0,1.167477,0,0,0,G2
1000,-0.239968,1,0,1.068267,0,0,0,G2
1,0.443697,1,0,0,0,0,1.649739,G3
1,0.86226,8.558611,0,0,0,0,1.435525,G3
1,0.750588,8.260798,0,0,0,0,0.548141,G3
1,0.893559,6.617039,0,0,0,0,1.853569,G3
1,0.517816,1,0,0,0,0,1.988561,G3
1,0.492226,1,0,0,0,0,1.962445,G3
1,0.483866,1,0,0,0,0,2.501432,G3
1,0.967046,6.362509,0,0,0,0,2.919052,G3
1,0.502763,1,0,0,0,0,0.683025,G3
1,0.51584,1,0,0,0,0,0.724118,G3
11000,0.00827,16.562922,1.240211,2.010482,0,0,0,G4
11000,-0.44694,50.63102,0.0255,0.501815,0,0,0,G4
11000,-0.455291,55.133663,0.912342,1.475883,0,0,0,G4
11000,-0.073055,17.029902,1.84212,2.571226,0,0,0,G4
11000,0.004683,16.374195,1.674193,2.580039,0,0,0,G4
11000,0.010504,15.88985,1.76166,2.688617,0,0,0,G4
11000,0.036607,16.279348,1.995824,2.891256,0,0,0,G4
11000,-0.058973,16.642817,2.123151,2.984541,0,0,0,G4
11000,-0.015395,16.67091,1.396748,2.168492,0,0,0,G4
11000,-0.220726,55.099251,0.849059,1.356099,0,0,0,G4
1100,0.189658,27.466497,0,1.106471,1.161095,0,0,G5
1100,0.319402,27.646662,0,2.219078,2.218372,0,0,G5
1100,0.259142,27.798517,0,2.037471,2.080377,0,0,G5
1100,0.100846,27.890408,0,1.919999,1.983265,0,0,G5
1100,0.283289,27.676783,0,2.073163,2.115077,0,0,G5
1100,0.220504,27.788082,0,1.444278,1.495915,0,0,G5
1100,0.07513,27.94903,0,1.429522,1.474883,0,0,G5
1100,-0.022152,28.034847,0,1.405533,1.459107,0,0,G5
1100,0.04532,27.223623,0,1.967316,2.012777,0,0,G5
1100,0.025468,27.652082,0,1.733198,1.746467,0,0,G5
1110,0.322959,17.168375,0,2.164897,2.290388,2.118141,0,G6
1110,0.248405,17.378466,0,2.287251,2.394208,2.207506,0,G6
1110,0.340859,17.14905,0,2.339605,2.46392,2.269868,0,G6
1110,0.420885,17.237867,0,2.346586,2.451472,2.276577,0,G6
1110,0.329623,16.897444,0,1.787336,1.921484,1.724274,0,G6
1110,0.270949,16.801483,0,1.943836,2.067434,1.880118,0,G6
1110,0.288639,16.922415,0,2.304076,2.418892,2.241728,0,G6
1110,0.044501,16.54907,0,2.452699,2.589725,2.409889,0,G6
1110,0.239615,18.471989,0,3.171474,3.280604,3.168819,0,G6
1110,0.244437,17.622847,0,2.524149,2.632466,2.473182,0,G6
10001,1.347333,72.201683,1.615601,0,0,0,1.555722,G7
10001,1.202937,72.33197,2.32244,0,0,0,2.365039,G7
10001,1.145428,73.953262,1.884668,0,0,0,1.97073,G7
10001,1.153348,72.239662,2.047573,0,0,0,2.128826,G7
10001,1.182747,72.002129,1.963119,0,0,0,1.972337,G7
10001,1.150035,71.816238,1.82528,0,0,0,2.00705,G7
10001,0.951274,72.34948,2.839518,0,0,0,2.972112,G7
10001,0.945516,72.178688,1.222643,0,0,0,1.454624,G7
10001,0.999471,70.320694,0.12081,0,0,0,0.499218,G7
10001,1.297328,71.736969,0.354456,0,0,0,0.523019,G7
11001,0.544992,29.699686,3.463594,4.243196,0,0,3.681748,G8
11001,0.811194,28.802959,2.692305,3.741098,0,0,3.097004,G8
11001,0.873147,21.44853,1.933424,3.033857,0,0,1.957484,G8
11001,0.921665,21.427652,3.0454,4.182112,0,0,3.096088,G8
11001,0.690302,28.632725,1.060611,1.962115,0,0,1.304427,G8
11001,0.828407,28.429342,1.230555,2.103075,0,0,1.433966,G8
11001,0.923193,28.363503,2.73273,3.676888,0,0,3.039683,G8
11001,0.495076,29.338818,2.3773,3.210921,0,0,2.6298,G8
11001,0.376799,29.090879,1.505794,2.302745,0,0,1.664755,G8
11001,0.352291,21.3776,0.59654,1.576943,0,0,0.613251,G8
11111,1.282685,7.51787,0.280518,1.850322,2.028571,1.907771,1.27657,G9
11111,1.095357,10.037858,2.162024,3.41393,3.611273,3.501278,2.952716,G9
11111,1.047545,10.449368,2.319769,3.542961,3.685598,3.565313,3.045263,G9
11111,1.152834,9.683265,2.223627,3.550491,3.67174,3.587299,3.055944,G9
11111,0.9195,9.851491,2.158136,3.46041,3.578918,3.489384,2.952679,G9
11111,0.735712,10.246622,1.716219,2.961399,3.087937,3.00403,2.48096,G9
11111,0.897672,9.076012,0.676198,1.99697,2.14448,2.011722,1.46829,G9
11111,1.009016,9.387828,1.347131,2.618608,2.739181,2.630876,2.055403,G9
11111,1.13926,9.189385,2.370163,3.669908,3.816625,3.714485,3.154437,G9
11111,1.177129,9.54729,1.015792,2.263813,2.351481,2.220672,1.65872,G9
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
1101,0.493973,20.882399,0,2.50546,2.771589,0,2.434547,G0
1101,0.707169,20.860098,0,1.779556,1.961989,0,1.473321,G0
1101,0.405435,20.991903,0,2.12849,2.342911,0,1.965872,G0
1101,0.807531,21.261385,0,2.688904,2.759218,0,2.066185,G0
1101,0.639225,21.232153,0,2.676648,2.928436,0,2.506925,G0
1101,-0.38578,19.8237,0,1.834903,2.023987,0,0,G0
1101,0.334742,20.460182,0,1.994629,2.16077,0,1.64098,G0
1101,0.587771,21.052015,0,2.001169,2.161285,0,1.620225,G0
1101,0.771776,21.471386,0,2.394215,2.558391,0,2.006091,G0
1101,0.809268,20.57741,0,2.660907,2.713761,0,2.120425,G0
1000,-0.446635,1,0,1.277505,0,0,0,G2
1000,0,0,0,0,0,0,0,G2
1000,-0.63726,1,0,0.894462,0,0,0,G2
1000,-0.562339,1,0,0.866158,0,0,0,G2
1000,-0.023712,1,0,0.938148,0,0,0,G2
1000,-0.295672,1,0,1.980027,0,0,0,G2
1000,-0.329493,1,0,2.284308,0,0,0,G2
1000,-0.377284,1,0,1.290012,0,0,0,G2
1000,-0.260873,1,0,0.662724,0,0,0,G2
1000,-0.251762,1,0,2.067153,0,0,0,G2
1,0,0,0,0,0,0,0,G3
1,1.007043,37.467548,0,0,0,0,0.134786,G3
1,0,0,0,0,0,0,0,G3
1,0,0,0,0,0,0,0,G3
1,0.398717,1,0,0,0,0,1.982845,G3
1,0,0,0,0,0,0,0,G3
1,0.496599,1,0,0,0,0,1.78512,G3
1,0.473024,1,0,0,0,0,2.032873,G3
1,0.490308,1,0,0,0,0,1.769209,G3
1,0,0,0,0,0,0,0,G3
11000,-0.49783,1,0.291708,0,0,0,0,G4
11000,0.265145,43.335747,2.395534,2.826909,0,0,0,G4
11000,0.150528,32.805344,0.670186,0.587854,0,0,0,G4
