@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R6,22'

@attribute fingersAreas numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data
70.109825,G7
0,G7
70.54409,G7
70.084503,G7
70.591492,G7
26.484047,G8
23.794563,G8
38.128246,G8
31.819365,G8
23.968681,G8
25.091311,G8
24.495312,G8
37.014832,G8
26.107718,G8
24.757931,G8
10.972218,G9
6.586637,G9
10.187063,G9
10.263643,G9
10.127734,G9
15.87604,G9
10.776596,G9
11.155943,G9
11.073741,G9
11.279895,G9
0,G1
0,G1
0,G1
0,G1
0,G1
1,G1
0,G1
0,G1
0,G1
0,G1
21.950901,G0
21.175959,G0
21.540407,G0
21.725775,G0
19.810598,G0
22.240541,G0
20.829376,G0
21.165833,G0
21.224251,G0
22.230488,G0
0,G2
0,G2
0,G2
0,G2
0,G2
0,G2
0,G2
0,G2
0,G2
0,G2
1,G3
1,G3
1,G3
1,G3
0,G3
0,G3
0,G3
1,G3
1,G3
1,G3
60.291145,G4
65.190086,G4
57.752979,G4
1,G4
19.895859,G4
1,G4
64.328163,G4
64.884415,G4
67.481865,G4
65.172585,G4
26.83696,G5
1,G5
1,G5
0,G5
31.140699,G5
32.815556,G5
28.256777,G5
25.189964,G5
0,G5
27.55373,G5
18.980923,G6
19.703587,G6
18.328455,G6
17.970846,G6
18.655182,G6
16.783241,G6
12.948482,G6
20.249958,G6
20.156908,G6
18.80793,G6
67.945549,G7
36.497276,G7
124.514069,G7
37.33736,G7
70.948708,G7
36.409126,G7
66.473228,G7
66.771965,G7
65.038383,G7
66.394348,G7
20.396193,G8
25.542887,G8
27.315542,G8
24.433315,G8
26.35997,G8
24.703197,G8
26.63711,G8
25.718967,G8
25.982103,G8
25.234972,G8
15.185007,G9
15.276175,G9
15.187655,G9
19.015265,G9
15.613431,G9
15.682833,G9
15.486366,G9
18.255842,G9
9.37676,G9
18.710051,G9
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
23.849249,G0
24.9988,G0
24.508358,G0
54.984791,G0
25.160847,G0
25.775015,G0
24.676746,G0
23.645828,G0
1,G0
23.794411,G0
1,G2
1,G2
1,G2
1,G2
0,G2
1,G2
1,G2
0,G2
33.111378,G2
1,G2
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
1,G4
20.527178,G4
20.604887,G4
61.082603,G4
57.431267,G4
54.200619,G4
54.161648,G4
56.480007,G4
57.925606,G4
56.000134,G4
26.642244,G5
37.154068,G5
34.104729,G5
1,G5
26.021835,G5
24.800642,G5
1,G5
26.962458,G5
26.692886,G5
26.765795,G5
20.256214,G6
17.047852,G6
16.729675,G6
17.787954,G6
17.265451,G6
16.213783,G6
20.062643,G6
22.757629,G6
21.377962,G6
20.55521,G6
65.847382,G7
1,G7
1,G7
68.86422,G7
71.958382,G7
67.966751,G7
65.299904,G7
65.007561,G7
65.652946,G7
65.71978,G7
19.692427,G8
26.485064,G8
26.629318,G8
20.762381,G8
25.938713,G8
26.409336,G8
27.467936,G8
26.583305,G8
18.89397,G8
25.939802,G8
9.527532,G9
9.668103,G9
9.613049,G9
9.570864,G9
9.555344,G9
9.51868,G9
9.576638,G9
9.988613,G9
9.809388,G9
9.195293,G9
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
26.168962,G0
26.312696,G0
27.028696,G0
36.385403,G0
26.946838,G0
26.449289,G0
26.165817,G0
26.78388,G0
26.587257,G0
26.258286,G0
1,G2
1,G2
1,G2
1,G2
1,G2
1,G2
0,G2
0,G2
1,G2
1,G2
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
58.086987,G4
57.091476,G4
56.859406,G4
57.191746,G4
55.289829,G4
57.419991,G4
55.999855,G4
57.919682,G4
55.645729,G4
58.284771,G4
31.363859,G5
31.544939,G5
30.578329,G5
1,G5
30.718582,G5
31.152681,G5
30.603867,G5
0,G5
1,G5
1,G5
21.632675,G6
21.888054,G6
21.601242,G6
21.487022,G6
21.360723,G6
21.818707,G6
46.536037,G6
22.232635,G6
22.062029,G6
21.714144,G6
72.915581,G7
71.795464,G7
1,G7
74.483971,G7
72.88903,G7
71.345612,G7
72.90947,G7
73.319832,G7
71.310219,G7
72.125488,G7
31.338329,G8
29.624895,G8
20.945076,G8
27.066563,G8
20.89237,G8
30.838646,G8
33.216892,G8
19.724712,G8
26.856787,G8
28.943487,G8
9.225645,G9
8.554334,G9
7.527702,G9
9.265546,G9
13.013872,G9
7.865595,G9
7.158701,G9
8.319952,G9
9.097486,G9
7.326109,G9
1,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
1,G1
23.832621,G0
24.683174,G0
24.046339,G0
24.023407,G0
24.130436,G0
24.313951,G0
24.521149,G0
24.014828,G0
23.529587,G0
23.898355,G0
1,G2
0,G2
0,G2
1,G2
1,G2
1,G2
1,G2
1,G2
1,G2
1,G2
8.506701,G3
7.927714,G3
10.126935,G3
1,G3
1,G3
1,G3
1,G3
1,G3
23.497416,G3
5.273829,G3
59.469852,G4
61.977364,G4
17.686871,G4
16.85124,G4
59.102325,G4
58.927902,G4
55.643902,G4
16.527731,G4
16.144819,G4
58.243668,G4
11.685607,G5
12.096399,G5
20.38121,G5
13.059745,G5
18.398626,G5
20.161581,G5
20.579874,G5
21.918484,G5
21.838837,G5
22.028656,G5
16.657824,G6
17.518053,G6
18.369394,G6
17.416874,G6
17.6022,G6
17.486063,G6
17.368622,G6
16.699467,G6
16.363829,G6
16.45619,G6
70.715561,G7
75.25396,G7
74.476662,G7
74.238731,G7
38.641808,G7
38.536831,G7
38.583569,G7
74.622139,G7
73.155258,G7
71.551888,G7
26.781996,G8
28.80545,G8
28.613096,G8
27.207085,G8
27.657455,G8
27.518652,G8
27.286549,G8
28.26943,G8
22.030617,G8
19.272738,G8
8.117502,G9
10.38061,G9
10.620007,G9
10.668647,G9
10.380974,G9
10.107798,G9
10.786802,G9
10.873189,G9
10.106714,G9
8.679494,G9
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
38.291283,G0
18.480722,G0
19.38308,G0
20.122631,G0
16.8874,G0
17.594244,G0
17.135557,G0
24.73082,G0
24.597374,G0
23.893164,G0
0,G2
1,G2
13.236033,G2
0,G2
0,G2
31.299549,G2
0,G2
1,G2
1,G2
1,G2
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
65.318405,G4
65.491806,G4
65.689003,G4
65.159004,G4
65.979103,G4
66.501663,G4
64.783302,G4
64.950844,G4
16.796658,G4
18.161686,G4
31.326227,G5
31.055428,G5
30.137165,G5
13.325322,G5
31.824545,G5
31.048302,G5
31.270361,G5
28.455935,G5
29.550285,G5
30.557974,G5
16.533199,G6
16.692812,G6
16.806068,G6
18.324083,G6
18.348501,G6
20.432085,G6
20.292376,G6
19.460609,G6
10.994694,G6
18.556179,G6
35.495674,G7
35.866348,G7
75.422852,G7
74.180641,G7
74.219231,G7
74.716354,G7
36.625576,G7
37.01638,G7
36.231289,G7
35.962658,G7
27.756029,G8
29.875498,G8
29.024912,G8
29.770184,G8
29.067978,G8
28.48715,G8
27.552652,G8
27.772738,G8
27.101961,G8
27.459078,G8
10.199184,G9
9.973606,G9
9.548086,G9
9.867544,G9
10.096302,G9
11.216157,G9
10.16984,G9
10.423194,G9
10.940663,G9
9.712573,G9
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
21.734158,G0
19.993917,G0
19.555384,G0
19.365208,G0
20.266689,G0
19.79883,G0
20.033066,G0
19.965027,G0
19.920025,G0
19.343338,G0
0,G2
0,G2
0,G2
1,G2
1,G2
0,G2
1,G2
28.548655,G2
1,G2
1,G2
1,G3
1,G3
34.765259,G3
34.224747,G3
1,G3
1,G3
1,G3
36.180531,G3
36.066982,G3
1,G3
16.175514,G4
60.70116,G4
17.382874,G4
54.685745,G4
53.386639,G4
51.185894,G4
51.708252,G4
51.193108,G4
44.698925,G4
16.62011,G4
25.002468,G5
23.565407,G5
23.554926,G5
15.145056,G5
24.546116,G5
25.215828,G5
24.850992,G5
25.214664,G5
24.994553,G5
25.369968,G5
18.557529,G6
18.255926,G6
19.867907,G6
19.679625,G6
19.505756,G6
19.208815,G6
19.328939,G6
19.36241,G6
19.149912,G6
18.686802,G6
41.65036,G7
82.720444,G7
81.116119,G7
80.926994,G7
80.907379,G7
41.784081,G7
82.205833,G7
81.500969,G7
41.573215,G7
40.703354,G7
28.566439,G8
28.018316,G8
28.954542,G8
27.851723,G8
28.691843,G8
28.550556,G8
28.659933,G8
28.599651,G8
28.649254,G8
28.403507,G8
9.350569,G9
9.392378,G9
10.128499,G9
1,G9
8.479247,G9
9.791775,G9
9.295431,G9
9.519137,G9
9.536864,G9
9.057203,G9
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
53.716637,G0
24.80554,G0
25.275877,G0
34.194141,G0
51.504112,G0
21.811625,G0
35.102348,G0
21.862902,G0
22.217758,G0
22.614595,G0
1,G2
0,G2
0,G2
1,G2
1,G2
1,G2
1,G2
0,G2
1,G2
1,G2
16.691147,G3
24.849894,G3
0,G3
45.526752,G3
44.197433,G3
1,G3
1,G3
17.939102,G3
17.850607,G3
15.450723,G3
57.733547,G4
16.182154,G4
58.437904,G4
59.786705,G4
58.666309,G4
57.534866,G4
58.0098,G4
57.87122,G4
15.781429,G4
16.716682,G4
26.799511,G5
26.523029,G5
26.755264,G5
26.244251,G5
26.312979,G5
26.717085,G5
26.890064,G5
26.496378,G5
26.524305,G5
26.826714,G5
18.025486,G6
17.637281,G6
18.207529,G6
18.219372,G6
17.69631,G6
17.821014,G6
17.335661,G6
17.592731,G6
17.603882,G6
17.810316,G6
39.861755,G7
82.571655,G7
82.437241,G7
82.739212,G7
80.042664,G7
78.914314,G7
78.811905,G7
40.46273,G7
39.887405,G7
79.482819,G7
26.204308,G8
24.79183,G8
24.118744,G8
25.001337,G8
25.581793,G8
28.661814,G8
47.382343,G8
48.159908,G8
47.962708,G8
29.155731,G8
9.527705,G9
8.633718,G9
8.977702,G9
8.315694,G9
15.491269,G9
9.337612,G9
9.314081,G9
9.637558,G9
9.212627,G9
15.011228,G9
0,G1
0,G1
0,G1
0,G1
0,G1
1,G1
0,G1
0,G1
0,G1
0,G1
36.431053,G0
23.114275,G0
23.020868,G0
24.162859,G0
19.540651,G0
24.14156,G0
24.249035,G0
24.816206,G0
26.016773,G0
21.662022,G0
1,G2
15.263703,G2
1,G2
1,G2
15.096219,G2
1,G2
1,G2
1,G2
1,G2
1,G2
1,G3
0,G3
1,G3
1,G3
1,G3
1,G3
39.014492,G3
18.054581,G3
1,G3
1,G3
64.775955,G4
72.325745,G4
70.673332,G4
64.577225,G4
66.82843,G4
16.852362,G4
65.615578,G4
64.435852,G4
16.912418,G4
64.698387,G4
36.208942,G5
36.89492,G5
36.415234,G5
16.216082,G5
36.463387,G5
37.810131,G5
36.321648,G5
24.371956,G5
27.792711,G5
14.700775,G5
17.659349,G6
19.670391,G6
19.213182,G6
18.47349,G6
17.66643,G6
17.778664,G6
18.257576,G6
18.060453,G6
18.270853,G6
18.136511,G6
32.165939,G7
72.363976,G7
72.157265,G7
37.974739,G7
34.760662,G7
31.771627,G7
62.205849,G7
63.946724,G7
61.445362,G7
32.17403,G7
22.847958,G8
23.77964,G8
23.986782,G8
24.346552,G8
25.855455,G8
25.085857,G8
24.079029,G8
24.72452,G8
24.11879,G8
38.858223,G8
7.614478,G9
8.807951,G9
8.681292,G9
6.667328,G9
8.828945,G9
9.387129,G9
10.185197,G9
8.834447,G9
7.174205,G9
8.426088,G9
35.591549,G1
0,G1
1,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
24.088034,G0
23.128529,G0
23.32196,G0
34.513943,G0
23.88064,G0
24.340282,G0
24.066637,G0
35.845936,G0
35.715801,G0
24.617819,G0
52.631523,G2
0,G2
0,G2
1,G2
0,G2
1,G2
1,G2
1,G2
1,G2
1,G2
1,G3
33.151272,G3
0,G3
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
1,G3
10.288001,G4
57.404831,G4
12.263541,G4
55.730202,G4
58.169212,G4
52.200359,G4
52.062038,G4
61.852562,G4
51.770668,G4
63.384914,G4
26.076427,G5
27.277973,G5
27.534216,G5
27.582676,G5
26.975546,G5
26.07238,G5
28.225647,G5
60.335289,G5
27.032518,G5
27.724827,G5
33.358143,G6
16.399914,G6
16.156572,G6
16.26786,G6
25.080109,G6
15.414824,G6
13.936198,G6
15.344725,G6
14.859858,G6
24.223589,G6
30.709044,G7
61.148945,G7
29.931185,G7
57.964828,G7
58.989616,G7
31.577063,G7
57.580097,G7
57.93148,G7
114.413979,G7
106.343872,G7
20.997494,G8
22.975052,G8
21.786654,G8
21.023575,G8
20.612978,G8
20.881372,G8
21.139162,G8
21.055159,G8
20.682329,G8
20.561441,G8
8.656054,G9
8.596058,G9
8.835953,G9
8.444284,G9
8.210151,G9
9.262285,G9
9.08777,G9
9.200364,G9
8.893003,G9
8.345312,G9
