@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R3,4,12-16,17-21,22'

@attribute ratio numeric
@attribute Max_X numeric
@attribute fingertipAngles_f1 numeric
@attribute fingertipAngles_f2 numeric
@attribute fingertipAngles_f3 numeric
@attribute fingertipAngles_f4 numeric
@attribute fingertipAngles_f5 numeric
@attribute fingertipElevation_f1 numeric
@attribute fingertipElevation_f2 numeric
@attribute fingertipElevation_f3 numeric
@attribute fingertipElevation_f4 numeric
@attribute fingertipElevation_f5 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data
0.014549,-0.166341,0,165.097717,166.641983,127.405434,0,0,2.747643,2.709472,0,0,G6
0.014668,-0.073798,0,164.282593,172.933884,166.22258,0,0,2.535672,2.753147,2.513848,0,G6
0.01502,0.082209,0,169.11496,173.774216,171.354416,0,0,3.225746,3.458158,3.232599,0,G6
0.010028,0.844688,147.085251,0,0,0,148.129181,2.482913,0,0,0,2.585142,G7
0.009677,0.811327,157.913773,0,0,0,159.994034,3.797475,0,0,0,3.898848,G7
0.009634,0.842655,157.507599,0,0,0,159.018936,3.830956,0,0,0,3.925811,G7
0.009664,1.014016,153.025574,0,0,0,153.746048,3.459963,0,0,0,3.379407,G7
0.010198,0.91576,161.066452,0,0,0,162.288223,4.532323,0,0,0,4.741308,G7
0.012656,0.86249,163.005173,0,0,0,173.747086,5.440592,0,0,0,4.877326,G7
0.009721,0.508107,142.965393,0,0,0,147.75795,2.534494,0,0,0,2.779773,G7
0.012008,0.839336,167.050568,0,0,0,170.811218,7.381264,0,0,0,8.375031,G7
0.009612,0.644728,152.067429,0,0,0,156.85112,3.23059,0,0,0,3.456703,G7
0.010206,0.29487,160.481659,0,0,0,162.284927,3.801165,0,0,0,4.002843,G7
0.009102,0.483445,158.821487,176.447128,0,0,163.072083,3.647359,4.541636,0,0,3.928185,G8
0.010508,0.829864,161.688507,162.615356,0,0,139.254593,5.400174,5.742901,0,0,0,G8
0.009269,0.567829,158.159668,177.020065,0,0,161.198853,3.655792,4.830408,0,0,4.076703,G8
0.010403,0.761607,161.941376,163.952332,0,0,140.021179,5.708855,6.109691,0,0,0,G8
0.008864,0.642846,159.03038,177.220047,0,0,162.234543,4.143015,5.293864,0,0,4.627994,G8
0.010401,0.283297,159.653076,162.882004,0,0,140.35405,4.522891,5.009287,0,0,0,G8
0.009289,0.607018,160.37233,178.498825,0,0,161.39592,3.672434,4.37043,0,0,3.820997,G8
0.010335,0.633312,164.474838,165.52327,0,0,141.323166,4.833115,5.031978,0,0,0,G8
0.008903,0.447865,160.407837,175.823914,0,0,161.995728,3.885646,4.664822,0,0,4.101339,G8
0.008751,0.622475,158.70433,176.894485,0,0,161.318726,3.950901,4.909639,0,0,4.212711,G8
0.009334,0.530258,162.803726,176.261475,172.393829,166.18251,148.512497,4.140366,5.090964,5.258568,4.605475,0,G9
0.007592,0.579419,159.451492,174.992706,175.693207,170.935547,165.446472,3.036631,4.029668,4.13579,4.052598,3.695958,G9
0.007429,0.695679,156.939423,173.548355,173.992798,168.818237,164.833115,2.651221,3.54582,3.685647,3.625459,3.334631,G9
0.008589,0.791347,160.515213,174.034134,176.175858,171.212189,166.561081,3.556464,4.680151,4.839375,4.706978,4.295236,G9
1,-0.799085,157.939636,116.752312,116.752312,116.752312,116.752312,1.899161,0,0,0,0,G9
0.008053,0.850534,161.816162,175.978546,173.015305,168.582962,165.080215,3.914217,5.102254,5.15669,4.987046,4.58841,G9
1,-0.788799,158.935501,137.769104,137.769104,137.769104,137.769104,2.414654,0,0,0,0,G9
0.008228,0.653589,153.579422,171.220642,172.619476,167.022858,161.291168,2.618071,3.961159,4.167908,4.034494,3.587493,G9
0.008337,0.904786,156.853958,171.922501,172.539795,167.258636,161.931335,3.132445,4.483907,4.720399,4.584064,4.103108,G9
0.008789,0.522232,161.289032,176.33786,172.828476,167.542267,146.254669,3.590008,5.240202,5.070769,4.699021,0,G9
1,-0.768864,0,0,0,0,0,0,0,0,0,0,G1
1,-0.616738,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,G1
1,-0.553091,0,0,0,0,0,0,0,0,0,0,G1
1,-0.50255,0,0,0,0,0,0,0,0,0,0,G1
1,-0.617926,0,0,0,0,0,0,0,0,0,0,G1
1,-0.739105,0,0,0,0,0,0,0,0,0,0,G1
1,-0.698455,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,G1
0.01326,0.426401,0,137.589539,165.491531,0,139.746552,0,1.747296,1.937189,0,1.347058,G0
0.012111,0.588854,0,144.060455,173.66011,0,146.252029,0,1.956516,2.218632,0,1.700621,G0
0.011576,0.471281,0,147.897171,171.931229,0,153.66568,0,2.161407,2.43873,0,1.93843,G0
0.011578,0.58508,0,141.884567,172.789322,0,145.147034,0,2.057047,2.383836,0,1.730752,G0
0.013132,0.857719,0,129.621063,159.340668,0,157.472794,0,1.960845,2.540933,0,1.456636,G0
0.01185,0.270615,0,143.083313,172.259659,0,152.125031,0,1.945522,2.194056,0,1.710254,G0
0.011932,0.302741,0,167.66539,174.647568,0,169.756104,0,3.866393,3.99514,0,3.687164,G0
0.011733,0.347208,0,161.986633,177.714569,0,166.327347,0,3.266629,3.53889,0,3.087073,G0
0.012033,0.385278,0,146.546463,177.953003,0,152.492371,0,2.081799,2.343077,0,1.830847,G0
0.013269,0.543801,0,139.489548,165.725128,0,140.957748,0,1.955744,2.154966,0,1.429949,G0
1,-0.215154,0,48.859921,0,0,0,0,0.514539,0,0,0,G2
1,0.795045,0,124.367477,0,0,0,0,0.680598,0,0,0,G2
0,0,0,111.95285,0,0,0,0,0,0,0,0,G2
0,0,0,81.93309,0,0,0,0,0,0,0,0,G2
1,-0.186899,0,69.507507,0,0,0,0,0.651294,0,0,0,G2
1,-0.122636,0,69.701866,0,0,0,0,0.708041,0,0,0,G2
0.019961,0.024574,0,66.973549,0,0,0,0,1.044729,0,0,0,G2
0.019659,0.129716,0,68.05513,0,0,0,0,1.10383,0,0,0,G2
0.019598,0.138083,0,94.080872,0,0,0,0,1.345424,0,0,0,G2
0.019374,0.035481,0,48.285732,0,0,0,0,0.845885,0,0,0,G2
1,-0.108901,0,0,0,0,171.664322,0,0,0,0,1.761956,G3
1,0.483535,0,0,0,0,165.615784,0,0,0,0,2.427105,G3
1,0.313593,0,0,0,0,171.766647,0,0,0,0,1.959951,G3
1,0.147303,0,0,0,0,171.608826,0,0,0,0,2.267077,G3
1,0.40733,0,0,0,0,171.026321,0,0,0,0,2.859358,G3
1,0.261888,0,0,0,0,170.609177,0,0,0,0,2.23115,G3
0.01554,0.72652,0,0,0,0,162.612946,0,0,0,0,2.81739,G3
1,0.20873,0,0,0,0,168.759064,0,0,0,0,1.703367,G3
1,0.04827,0,0,0,0,166.942734,0,0,0,0,1.72396,G3
1,0.102806,0,0,0,0,167.513641,0,0,0,0,1.93749,G3
0.012328,-0.373879,123.108398,127.804382,0,0,0,1.225886,1.701352,0,0,0,G4
0.011536,-0.434245,136.210159,138.401566,0,0,0,1.480442,1.861036,0,0,0,G4
0.011128,-0.413022,130.734604,126.305679,0,0,0,1.364171,1.650402,0,0,0,G4
0.016534,-0.037151,132.228668,130.718704,0,0,0,1.681572,2.086187,0,0,0,G4
0.017193,-0.000103,120.209167,143.173737,0,0,0,1.307954,2.213711,0,0,0,G4
0.015802,-0.060346,114.908333,141.555405,0,0,0,1.213791,2.075226,0,0,0,G4
0.015629,-0.033475,132.090958,154.048996,0,0,0,1.6922,2.487475,0,0,0,G4
0.015646,-0.013315,115.810112,137.619339,0,0,0,1.249614,2.112467,0,0,0,G4
0.012082,-0.447857,136.935532,141.645401,0,0,0,1.54044,1.96664,0,0,0,G4
0.01208,-0.45698,138.435791,145.068253,0,0,0,1.591134,2.053533,0,0,0,G4
0.0152,0.264451,0,157.298141,151.47937,0,0,0,1.905487,1.854031,0,0,G5
0.015219,0.30508,0,161.109604,162.240845,0,0,0,2.062269,2.112619,0,0,G5
0.014849,0.161662,0,155.217468,161.949905,0,0,0,1.831598,1.917133,0,0,G5
0.011702,1.997881,0,141.009811,172.37114,0,0,0,3.896853,4.667479,0,0,G5
0.015345,0.207566,0,162.550568,164.515289,0,0,0,2.131417,2.21418,0,0,G5
0.015076,0.263061,0,167.017761,168.560501,0,0,0,2.620394,2.695342,0,0,G5
0.015137,0.295778,0,160.789627,160.651489,0,0,0,2.040568,2.083658,0,0,G5
0.015417,0.302774,0,155.125366,156.202133,0,0,0,1.926158,1.955444,0,0,G5
0.015915,0.291047,0,157.062805,157.414474,0,0,0,1.899811,1.933576,0,0,G5
0.01531,0.345031,0,155.830521,148.050812,0,0,0,1.763835,1.727625,0,0,G5
0.016703,0.054545,0,162.40625,177.350327,160.028183,0,0,1.958068,2.065973,1.866892,0,G6
0.018297,0.341613,0,159.886642,176.202621,159.057236,0,0,2.57332,2.739355,1.668595,0,G6
0.014526,0.183539,0,154.972549,177.50769,153.820938,0,0,1.801968,1.916539,1.738299,0,G6
0.015055,0.132188,0,153.533035,176.96228,155.902496,0,0,1.997224,2.151975,1.88613,0,G6
0.01664,0.299692,0,164.910446,175.305054,158.253128,0,0,2.32594,2.444495,2.179388,0,G6
0.016096,0.177524,0,156.659332,174.431229,159.132797,0,0,1.909319,2.065951,1.888517,0,G6
0.016718,0.124065,0,165.980728,178.975113,167.706619,0,0,2.470532,2.606683,2.449893,0,G6
0.016642,0.15952,0,166.905579,177.663925,169.824829,0,0,2.815992,2.974155,2.799173,0,G6
0.016364,0.093541,0,167.622284,178.443542,168.931641,0,0,2.799346,2.95688,2.783392,0,G6
0.016364,0.025135,0,169.025162,178.344711,167.502808,0,0,2.559534,2.695724,2.51478,0,G6
0.009295,1.095423,89.516724,0,0,0,89.543671,1.011761,0,0,0,0.956591,G7
0.010929,1.109315,109.851532,0,0,0,138.285965,1.229554,0,0,0,1.384579,G7
0.010705,0.911542,122.52356,0,0,0,149.83226,1.618637,0,0,0,1.711591,G7
0.010597,0.83926,144.159943,0,0,0,147.573868,2.434556,0,0,0,2.848105,G7
0.010411,1.004514,144.15802,0,0,0,142.55423,2.527049,0,0,0,2.606421,G7
0.010765,0.944776,113.6362,0,0,0,142.817612,1.356734,0,0,0,1.479126,G7
0.01063,1.053624,116.994324,0,0,0,154.234924,1.531411,0,0,0,1.642864,G7
0.012277,1.353392,86.270149,0,0,0,73.566414,0.710862,0,0,0,0.900476,G7
0.012637,1.458554,96.252411,0,0,0,115.578766,1.005833,0,0,0,1.145414,G7
0.012722,1.367796,62.188419,0,0,0,24.563068,0.214614,0,0,0,0.09792,G7
0.014992,1.775124,131.880173,155.757553,0,0,142.389297,2.618955,4.25606,0,0,3.400037,G8
0.014084,0.288527,176.51709,149.82019,0,0,117.965179,2.265623,1.822753,0,0,0,G8
0.010925,0.32148,153.720856,177.791595,0,0,154.311493,2.406044,3.169844,0,0,2.620257,G8
0.011431,0.155239,143.850189,179.438721,0,0,142.884216,1.811319,2.549367,0,0,1.883199,G8
0.011112,0.274512,141.700806,179.223923,0,0,139.17041,1.712801,2.434833,0,0,1.788014,G8
0.011275,0.31914,128.657257,175.82991,0,0,126.06456,1.375134,2.043718,0,0,1.370904,G8
0.011513,0.479261,122.116074,157.150238,0,0,118.952278,1.172054,1.934845,0,0,1.312227,G8
0.01142,0.500359,147.015656,173.247665,0,0,142.935913,1.856683,2.637744,0,0,1.996173,G8
0.012065,0.446692,159.412155,176.559464,0,0,171.015945,3.146877,4.077566,0,0,3.276005,G8
0.016023,2.231167,151.090042,169.06192,0,0,157.355667,4.657246,6.520862,0,0,5.495451,G8
0.009365,0.912641,160.107834,174.631195,175.848938,169.01709,160.712158,2.886926,3.855342,4.085877,3.918613,3.474774,G9
0.009064,0.795213,155.288025,173.037949,174.72496,166.217316,155.481995,2.330731,3.232668,3.410392,3.26334,2.84068,G9
0.00898,0.66777,156.376144,170.923889,178.034958,170.251404,160.49585,2.448194,3.593818,3.676095,3.54543,3.163843,G9
0.009104,0.777736,160.238403,176.249603,174.238602,167.391861,160.448593,2.848297,3.72731,3.910608,3.753439,3.336542,G9
0.0092,0.782084,161.846405,174.749695,177.053833,170.403946,163.688889,3.191601,4.125418,4.277683,4.147567,3.761934,G9
0.0099,0.792103,157.581375,173.405853,175.455627,167.736404,160.304428,2.628631,3.664258,3.766043,3.626928,3.182909,G9
0.009947,0.642047,151.80928,169.919113,177.022842,167.159164,158.034683,2.091589,3.154746,3.258385,3.08598,2.679865,G9
0.010154,-0.196212,159.835266,172.978333,163.220871,128.067398,128.067398,2.244422,2.877027,2.769956,0,0,G9
0.010568,0.671083,165.539612,179.283447,164.180954,140.551788,140.551788,4.39732,5.471673,4.837096,0,0,G9
0.009201,0.730756,160.455063,175.313614,175.767273,169.007629,161.499741,2.917695,3.898855,4.064389,3.943558,3.506793,G9
0,0,0,0,0,0,0,0,0,0,0,0,G1
1,0.734957,0,0,0,0,0,0,0,0,0,0,G1
0.084103,0.581342,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,G1
1,-0.667931,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,G1
0.012041,0.861251,0,142.332962,156.281662,0,176.483307,0,3.200804,3.866323,0,3.432589,G0
0.013015,0.461436,0,160.787567,176.201752,0,164.689804,0,2.869781,3.06101,0,2.529032,G0
0.013016,0.41388,0,165.657059,177.942795,0,168.724884,0,3.455971,3.626464,0,3.077377,G0
0.02434,1.781367,0,150.5522,166.814194,0,173.651367,0,7.758927,8.722976,0,1.401234,G0
0.012943,0.36219,0,145.580276,172.613708,0,153.259186,0,1.929311,2.121263,0,1.66838,G0
0.01283,0.457707,0,147.211563,176.082993,0,150.05191,0,1.962166,2.130976,0,1.614336,G0
0.013519,0.568438,0,160.27478,173.541443,0,159.658691,0,2.668828,2.823006,0,2.236153,G0
0.023369,-0.014742,0,169.804062,172.109787,0,118.577271,0,2.519809,2.537647,0,0,G0
0.012594,0.961435,0,156.990738,168.490891,0,171.412415,0,5.07996,5.543409,0,4.864698,G0
0.012185,0.910031,0,157.996826,168.456482,0,173.448929,0,5.056568,5.529736,0,4.884039,G0
1,-0.303567,0,76.631912,0,0,0,0,0.782167,0,0,0,G2
0,0,0,89.042931,0,0,0,0,0,0,0,0,G2
0,0,0,80.755898,0,0,0,0,0,0,0,0,G2
0,0,0,69.18438,0,0,0,0,0,0,0,0,G2
1,-0.315823,0,71.548866,0,0,0,0,0.811374,0,0,0,G2
1,-0.111525,0,71.709641,0,0,0,0,0.624098,0,0,0,G2
1,-0.210051,0,103.47081,0,0,0,0,0.96388,0,0,0,G2
0,0,0,91.103645,0,0,0,0,0,0,0,0,G2
1,-0.267906,0,71.640854,0,0,0,0,0.669806,0,0,0,G2
1,-0.291259,0,88.540672,0,0,0,0,0.819212,0,0,0,G2
0.021951,0.488662,0,0,0,0,166.237671,0,0,0,0,5.588802,G3
0,0,0,0,0,0,129.491425,0,0,0,0,0,G3
0.016166,0.822483,0,0,0,0,144.016495,0,0,0,0,3.357691,G3
1,0.211315,0,0,0,0,158.374939,0,0,0,0,1.962697,G3
1,0.257286,0,0,0,0,171.498672,0,0,0,0,2.435554,G3
1,0.294008,0,0,0,0,170.657898,0,0,0,0,2.509979,G3
1,0.213918,0,0,0,0,175.978775,0,0,0,0,2.32126,G3
1,0.220521,0,0,0,0,175.711761,0,0,0,0,2.432033,G3
1,0.164169,0,0,0,0,173.301636,0,0,0,0,2.480385,G3
1,0.15234,0,0,0,0,173.116989,0,0,0,0,2.548279,G3
0.012878,-0.174105,150.429321,146.845932,0,0,0,1.92091,2.217389,0,0,0,G4
0.01306,-0.122953,151.068497,151.967392,0,0,0,1.920436,2.281158,0,0,0,G4
0.01925,0.18846,149.284546,162.463028,0,0,0,2.536567,3.216953,0,0,0,G4
0.012842,-0.164602,148.854691,155.270782,0,0,0,1.971869,2.394318,0,0,0,G4
1,-0.94572,164.039963,121.562927,0,0,0,2.732039,0,0,0,0,G4
0.012948,-0.150126,156.950668,157.529922,0,0,0,2.382105,2.670159,0,0,0,G4
1,-0.98293,160.305389,123.231895,0,0,0,2.472052,0,0,0,0,G4
0.022598,-0.008154,159.547836,145.906097,0,0,0,5.081109,5.19557,0,0,0,G4
0.012736,-0.180848,149.536087,149.475662,0,0,0,1.956647,2.264404,0,0,0,G4
0.024596,1.36589,149.248337,151.168625,0,0,0,4.982361,6.120978,0,0,0,G4
0.038341,-0.063246,0,159.585892,140.582916,0,0,0,3.765091,0.737544,0,0,G5
0.012941,0.972259,0,143.613663,166.919235,0,0,0,3.384465,3.725769,0,0,G5
0.013449,0.856262,0,162.262024,175.851837,0,0,0,5.593565,5.910605,0,0,G5
0.019839,-0.077521,0,164.674164,168.732422,0,0,0,2.093861,2.101737,0,0,G5
0.012127,1.139007,0,150.221451,170.661713,0,0,0,4.059782,4.40859,0,0,G5
0.019658,-0.078388,0,153.755936,164.539261,0,0,0,1.656116,1.69653,0,0,G5
0.018716,0.136451,0,160.427338,161.81131,0,0,0,1.798941,1.804901,0,0,G5
0.018838,0.192035,0,169.577728,170.070908,0,0,0,2.568328,2.561266,0,0,G5
0.018583,0.017633,0,169.768372,174.412598,0,0,0,3.158669,3.18687,0,0,G5
0.039843,-0.183645,0,172.394135,155.047699,0,0,0,5.362423,1.921971,0,0,G5
0.013051,0.15807,0,137.544159,159.832901,170.051941,0,0,1.579357,1.806409,1.735807,0,G6
0.012564,0.699618,0,134.139099,160.811981,148.163284,0,0,2.820252,3.387056,0.9349,0,G6
0.01325,0.125004,0,143.387024,158.568115,155.211288,0,0,1.585589,1.715658,1.609502,0,G6
0.009914,0.641382,0,146.291122,162.02771,164.283127,0,0,2.747815,2.996877,2.968055,0,G6
0.013093,0.070663,0,136.786469,155.803604,167.825119,0,0,1.516607,1.69428,1.633131,0,G6
0.013391,-0.009252,0,141.794525,159.851151,173.523972,0,0,1.645035,1.852884,1.783288,0,G6
0.010097,0.667561,0,141.09761,160.426376,172.090042,0,0,2.539201,2.884054,2.807809,0,G6
0.012,1.009683,0,120.411613,145.582108,153.855331,0,0,2.169876,2.692333,2.55109,0,G6
0.012938,0.356224,0,158.09407,177.012131,163.414658,0,0,2.311286,2.460773,2.325623,0,G6
0.013074,0.24501,0,165.891724,177.825241,168.170349,0,0,2.888182,2.963516,2.827507,0,G6
0.010995,0.13836,150.866776,0,0,0,160.885162,2.192527,0,0,0,2.306137,G7
0.018794,-0.164355,155.767197,0,0,0,160.37619,2.098306,0,0,0,1.75715,G7
1,-0.624042,168.665237,0,0,0,121.673973,2.219085,0,0,0,0,G7
0.011389,0.329231,152.517059,0,0,0,164.810593,2.246607,0,0,0,2.023843,G7
0.011811,0.38034,146.980499,0,0,0,155.708069,2.159252,0,0,0,1.875043,G7
0.013733,0.793739,154.054306,0,0,0,168.350494,4.417421,0,0,0,4.073871,G7
0.011211,0.29787,157.02507,0,0,0,162.3703,2.523398,0,0,0,2.696643,G7
0.025956,3.005895,149.606033,0,0,0,171.202713,9.964713,0,0,0,12.381773,G7
0.027612,1.964791,167.218613,0,0,0,156.438965,8.969092,0,0,0,4.264287,G7
0.015468,2.029247,150.675461,0,0,0,162.227585,5.735237,0,0,0,6.370481,G7
0.014554,0.470137,155.961044,167.585281,0,0,154.640747,2.463647,3.189894,0,0,2.539773,G8
0.016555,-0.328652,164.735199,165.001053,0,0,125.562599,2.552048,2.908525,0,0,0,G8
0.013906,0.308704,157.161865,170.758362,0,0,159.944489,2.625465,3.310952,0,0,2.756505,G8
0.040954,4.830279,160.598526,172.398666,0,0,167.251312,13.37717,16.406713,0,0,14.285071,G8
0.0143,0.317377,154.976593,167.743378,0,0,153.04213,2.271872,2.93282,0,0,2.30768,G8
0.0143,0.478468,153.281052,170.502991,0,0,156.384583,2.384982,3.216164,0,0,2.59698,G8
0.013716,0.378964,162.362473,173.528778,0,0,164.775055,3.270124,4.019603,0,0,3.459401,G8
0.013726,0.325927,168.317596,175.326996,0,0,170.124725,4.73728,5.407362,0,0,4.905256,G8
0.014045,0.254995,163.177673,172.859192,0,0,166.632324,3.730794,4.469506,0,0,3.892395,G8
0.01463,0.253362,159.355789,170.543777,0,0,162.294601,3.08476,3.858044,0,0,3.208477,G8
0.009553,0.985754,157.120651,172.834534,175.773148,167.556152,154.049805,2.605869,3.583256,3.591082,3.476862,2.806365,G9
0.010038,0.842018,133.280258,155.881714,174.511292,157.903885,132.996231,1.26991,2.19238,2.324479,2.169836,1.536889,G9
0.010154,1.16038,148.056274,166.669312,176.250839,165.183868,147.019974,1.967825,3.13889,3.205146,3.083863,2.320241,G9
0.01013,1.081631,164.037476,173.334671,173.708176,164.406357,134.793076,4.289592,5.136301,5.129916,4.419653,0,G9
0.010769,0.925269,167.370453,174.924911,177.908005,164.890381,129.877228,3.943308,4.039729,4.006492,3.576392,0,G9
0.010833,0.821203,152.74411,167.642105,174.411667,149.000046,112.352119,2.229235,2.401072,2.326977,1.889486,0,G9
0.009926,0.964381,146.375336,166.564178,176.570923,164.338974,144.973083,1.830875,2.764143,2.869909,2.733367,2.075783,G9
0.009939,0.810025,138.483383,159.846359,173.930008,162.044144,139.356567,1.48832,2.336564,2.509696,2.377496,1.753782,G9
0.010001,0.666753,146.686935,165.483521,176.055344,166.265366,146.893875,1.746774,2.628773,2.724137,2.545563,1.978785,G9
0.009463,0.702865,158.587219,172.542953,178.163986,171.31279,158.134842,2.687785,3.385308,3.56586,3.432508,2.926412,G9
