@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R1,2,4,5,6,17-21,22'

@attribute numFingers numeric
@attribute fingersExtended numeric
@attribute Max_X numeric
@attribute Max_Y numeric
@attribute fingersAreas numeric
@attribute fingertipElevation_f1 numeric
@attribute fingertipElevation_f2 numeric
@attribute fingertipElevation_f3 numeric
@attribute fingertipElevation_f4 numeric
@attribute fingertipElevation_f5 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data
2,10001,0.844688,0.81088,69.908165,2.482913,0,0,0,2.585142,G7
2,10001,0.811327,1.022262,77.238541,3.797475,0,0,0,3.898848,G7
2,10001,0.842655,1.057828,79.161362,3.830956,0,0,0,3.925811,G7
2,10001,1.014016,1.037736,83.083595,3.459963,0,0,0,3.379407,G7
2,10001,0.91576,1.124422,78.348076,4.532323,0,0,0,4.741308,G7
3,10001,0.86249,1.360674,44.688377,5.440592,0,0,0,4.877326,G7
2,10001,0.508107,0.776607,78.815231,2.534494,0,0,0,2.779773,G7
2,10001,0.839336,1.519801,75.410538,7.381264,0,0,0,8.375031,G7
2,10001,0.644728,0.944019,79.038055,3.23059,0,0,0,3.456703,G7
2,10001,0.29487,1.060393,70.284538,3.801165,0,0,0,4.002843,G7
3,11001,0.483445,1.367308,31.84795,3.647359,4.541636,0,0,3.928185,G8
2,11001,0.829864,1.373388,87.031273,5.400174,5.742901,0,0,0,G8
3,11001,0.567829,1.426975,31.582924,3.655792,4.830408,0,0,4.076703,G8
2,11001,0.761607,1.478418,88.510788,5.708855,6.109691,0,0,0,G8
3,11001,0.642846,1.471149,34.360435,4.143015,5.293864,0,0,4.627994,G8
2,11001,0.283297,1.272335,81.049911,4.522891,5.009287,0,0,0,G8
3,11001,0.607018,1.179867,31.013523,3.672434,4.37043,0,0,3.820997,G8
2,11001,0.633312,1.259652,71.723534,4.833115,5.031978,0,0,0,G8
3,11001,0.447865,1.236284,32.058792,3.885646,4.664822,0,0,4.101339,G8
3,11001,0.622475,1.343418,33.020748,3.950901,4.909639,0,0,4.212711,G8
4,11111,0.530258,1.504573,16.910755,4.140366,5.090964,5.258568,4.605475,0,G9
5,11111,0.579419,1.340814,13.740136,3.036631,4.029668,4.13579,4.052598,3.695958,G9
5,11111,0.695679,1.295621,14.779031,2.651221,3.54582,3.685647,3.625459,3.334631,G9
5,11111,0.791347,1.412484,11.713248,3.556464,4.680151,4.839375,4.706978,4.295236,G9
1,11111,-0.799085,0.600263,1,1.899161,0,0,0,0,G9
5,11111,0.850534,1.42811,11.588235,3.914217,5.102254,5.15669,4.987046,4.58841,G9
1,11111,-0.788799,0.610598,1,2.414654,0,0,0,0,G9
5,11111,0.653589,1.178239,11.072308,2.618071,3.961159,4.167908,4.034494,3.587493,G9
5,11111,0.904786,1.352818,10.192496,3.132445,4.483907,4.720399,4.584064,4.103108,G9
4,11111,0.522232,1.510261,16.426311,3.590008,5.240202,5.070769,4.699021,0,G9
1,0,-0.768864,0.635808,1,0,0,0,0,0,G1
1,0,-0.616738,0.778669,1,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,G1
1,0,-0.553091,0.81432,1,0,0,0,0,0,G1
1,0,-0.50255,0.864201,1,0,0,0,0,0,G1
1,0,-0.617926,0.786069,1,0,0,0,0,0,G1
1,0,-0.739105,0.671906,1,0,0,0,0,0,G1
1,0,-0.698455,0.71264,1,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,G1
3,1101,0.426401,0.79501,19.429249,0,1.747296,1.937189,0,1.347058,G0
3,1101,0.588854,1.055807,22.119347,0,1.956516,2.218632,0,1.700621,G0
3,1101,0.471281,1.026527,22.894224,0,2.161407,2.43873,0,1.93843,G0
3,1101,0.58508,1.053928,23.186516,0,2.057047,2.383836,0,1.730752,G0
4,1101,0.857719,1.283488,19.955507,0,1.960845,2.540933,0,1.456636,G0
3,1101,0.270615,0.965162,22.108004,0,1.945522,2.194056,0,1.710254,G0
3,1101,0.302741,0.956813,22.267647,0,3.866393,3.99514,0,3.687164,G0
3,1101,0.347208,0.999659,22.644402,0,3.266629,3.53889,0,3.087073,G0
3,1101,0.385278,1.013991,21.962376,0,2.081799,2.343077,0,1.830847,G0
3,1101,0.543801,1.032953,19.529358,0,1.955744,2.154966,0,1.429949,G0
1,1000,-0.215154,0.69643,1,0,0.514539,0,0,0,G2
1,1000,0.795045,-0.381329,1,0,0.680598,0,0,0,G2
0,1000,0,0,0,0,0,0,0,0,G2
0,1000,0,0,0,0,0,0,0,0,G2
1,1000,-0.186899,0.780266,1,0,0.651294,0,0,0,G2
1,1000,-0.122636,0.768555,1,0,0.708041,0,0,0,G2
2,1000,0.024574,1.024957,18.586517,0,1.044729,0,0,0,G2
2,1000,0.129716,1.0396,18.952829,0,1.10383,0,0,0,G2
2,1000,0.138083,1.060463,19.019991,0,1.345424,0,0,0,G2
2,1000,0.035481,0.939747,20.502623,0,0.845885,0,0,0,G2
1,1,-0.108901,0.843878,1,0,0,0,0,1.761956,G3
1,1,0.483535,0.808117,1,0,0,0,0,2.427105,G3
1,1,0.313593,0.901246,1,0,0,0,0,1.959951,G3
1,1,0.147303,0.9465,1,0,0,0,0,2.267077,G3
1,1,0.40733,0.887323,1,0,0,0,0,2.859358,G3
1,1,0.261888,0.942052,1,0,0,0,0,2.23115,G3
2,1,0.72652,1.277046,43.806084,0,0,0,0,2.81739,G3
1,1,0.20873,0.864457,1,0,0,0,0,1.703367,G3
1,1,0.04827,0.831736,1,0,0,0,0,1.72396,G3
1,1,0.102806,0.8412,1,0,0,0,0,1.93749,G3
2,11000,-0.373879,1.007392,53.363533,1.225886,1.701352,0,0,0,G4
2,11000,-0.434245,1.03995,55.445675,1.480442,1.861036,0,0,0,G4
2,11000,-0.413022,0.995725,57.632858,1.364171,1.650402,0,0,0,G4
3,11000,-0.037151,1.404686,18.210123,1.681572,2.086187,0,0,0,G4
3,11000,-0.000103,1.494884,17.409941,1.307954,2.213711,0,0,0,G4
3,11000,-0.060346,1.271162,18.754187,1.213791,2.075226,0,0,0,G4
3,11000,-0.033475,1.291995,19.466267,1.6922,2.487475,0,0,0,G4
3,11000,-0.013315,1.089693,19.616816,1.249614,2.112467,0,0,0,G4
2,11000,-0.447857,0.903819,53.907883,1.54044,1.96664,0,0,0,G4
2,11000,-0.45698,0.939392,54.080479,1.591134,2.053533,0,0,0,G4
2,1100,0.264451,0.887494,35.383423,0,1.905487,1.854031,0,0,G5
2,1100,0.30508,0.925899,35.510876,0,2.062269,2.112619,0,0,G5
2,1100,0.161662,0.88639,36.217762,0,1.831598,1.917133,0,0,G5
3,1100,1.997881,2.267486,28.439514,0,3.896853,4.667479,0,0,G5
2,1100,0.207566,0.888379,35.175339,0,2.131417,2.21418,0,0,G5
2,1100,0.263061,0.867388,36.02306,0,2.620394,2.695342,0,0,G5
2,1100,0.295778,0.891259,35.848511,0,2.040568,2.083658,0,0,G5
2,1100,0.302774,0.913023,35.379021,0,1.926158,1.955444,0,0,G5
2,1100,0.291047,0.896674,33.79295,0,1.899811,1.933576,0,0,G5
2,1100,0.345031,0.843593,35.247337,0,1.763835,1.727625,0,0,G5
3,1110,0.054545,0.949435,15.573933,0,1.958068,2.065973,1.866892,0,G6
4,1110,0.341613,1.252604,14.413544,0,2.57332,2.739355,1.668595,0,G6
3,1110,0.183539,0.811824,17.945267,0,1.801968,1.916539,1.738299,0,G6
3,1110,0.132188,0.937772,17.476412,0,1.997224,2.151975,1.88613,0,G6
3,1110,0.299692,1.043624,15.826111,0,2.32594,2.444495,2.179388,0,G6
3,1110,0.177524,0.979963,16.318581,0,1.909319,2.065951,1.888517,0,G6
3,1110,0.124065,0.917098,15.603787,0,2.470532,2.606683,2.449893,0,G6
3,1110,0.15952,0.901396,15.716647,0,2.815992,2.974155,2.799173,0,G6
3,1110,0.093541,0.866462,16.018442,0,2.799346,2.95688,2.783392,0,G6
3,1110,0.025135,0.956087,16.020119,0,2.559534,2.695724,2.51478,0,G6
2,10001,1.095423,0.518405,80.422737,1.011761,0,0,0,0.956591,G7
3,10001,1.109315,0.908251,41.267994,1.229554,0,0,0,1.384579,G7
3,10001,0.911542,0.783362,40.350845,1.618637,0,0,0,1.711591,G7
2,10001,0.83926,0.900812,74.734032,2.434556,0,0,0,2.848105,G7
2,10001,1.004514,0.870361,76.033142,2.527049,0,0,0,2.606421,G7
3,10001,0.944776,0.805686,40.558052,1.356734,0,0,0,1.479126,G7
4,10001,1.053624,1.08874,26.645836,1.531411,0,0,0,1.642864,G7
4,10001,1.353392,1.285265,26.544914,0.710862,0,0,0,0.900476,G7
4,10001,1.458554,1.449588,27.584511,1.005833,0,0,0,1.145414,G7
4,10001,1.367796,1.142757,26.861992,0.214614,0,0,0,0.09792,G7
4,11001,1.775124,1.977088,17.067598,2.618955,4.25606,0,0,3.400037,G8
2,11001,0.288527,1.033955,40.308922,2.265623,1.822753,0,0,0,G8
3,11001,0.32148,1.165574,25.895041,2.406044,3.169844,0,0,2.620257,G8
3,11001,0.155239,0.956686,24.940514,1.811319,2.549367,0,0,1.883199,G8
3,11001,0.274512,0.993523,25.743473,1.712801,2.434833,0,0,1.788014,G8
3,11001,0.31914,1.031452,25.42441,1.375134,2.043718,0,0,1.370904,G8
3,11001,0.479261,1.177462,24.691273,1.172054,1.934845,0,0,1.312227,G8
3,11001,0.500359,1.209937,24.97603,1.856683,2.637744,0,0,1.996173,G8
4,11001,0.446692,1.195472,17.722002,3.146877,4.077566,0,0,3.276005,G8
4,11001,2.231167,2.391885,18.097288,4.657246,6.520862,0,0,5.495451,G8
5,11111,0.912641,1.349664,10.475904,2.886926,3.855342,4.085877,3.918613,3.474774,G9
5,11111,0.795213,1.367724,10.736491,2.330731,3.232668,3.410392,3.26334,2.84068,G9
5,11111,0.66777,1.302834,10.215485,2.448194,3.593818,3.676095,3.54543,3.163843,G9
5,11111,0.777736,1.302651,10.836102,2.848297,3.72731,3.910608,3.753439,3.336542,G9
5,11111,0.782084,1.310955,10.868353,3.191601,4.125418,4.277683,4.147567,3.761934,G9
5,11111,0.792103,1.300923,9.782095,2.628631,3.664258,3.766043,3.626928,3.182909,G9
5,11111,0.642047,1.339228,10.083056,2.091589,3.154746,3.258385,3.08598,2.679865,G9
3,11111,-0.196212,1.136419,25.220232,2.244422,2.877027,2.769956,0,0,G9
3,11111,0.671083,1.357636,25.929398,4.39732,5.471673,4.837096,0,0,G9
5,11111,0.730756,1.307832,10.531284,2.917695,3.898855,4.064389,3.943558,3.506793,G9
0,0,0,0,0,0,0,0,0,0,G1
1,0,0.734957,-0.436434,1,0,0,0,0,0,G1
2,0,0.581342,-0.577997,5.416896,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,G1
1,0,-0.667931,0.62587,1,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,G1
4,1101,0.861251,1.653102,4.915854,0,3.200804,3.866323,0,3.432589,G0
3,1101,0.461436,1.011152,19.595537,0,2.869781,3.06101,0,2.529032,G0
3,1101,0.41388,1.065574,19.243837,0,3.455971,3.626464,0,3.077377,G0
5,1101,1.781367,3.374366,7.804761,0,7.758927,8.722976,0,1.401234,G0
3,1101,0.36219,0.929811,19.793972,0,1.929311,2.121263,0,1.66838,G0
3,1101,0.457707,0.937605,20.028419,0,1.962166,2.130976,0,1.614336,G0
3,1101,0.568438,0.962773,19.043934,0,2.668828,2.823006,0,2.236153,G0
2,1101,-0.014742,0.848819,22.023912,0,2.519809,2.537647,0,0,G0
4,1101,0.961435,1.621572,1.973912,0,5.07996,5.543409,0,4.864698,G0
4,1101,0.910031,1.746894,4.449722,0,5.056568,5.529736,0,4.884039,G0
1,1000,-0.303567,0.691537,1,0,0.782167,0,0,0,G2
0,1000,0,0,0,0,0,0,0,0,G2
0,1000,0,0,0,0,0,0,0,0,G2
0,1000,0,0,0,0,0,0,0,0,G2
1,1000,-0.315823,0.645461,1,0,0.811374,0,0,0,G2
1,1000,-0.111525,0.73004,1,0,0.624098,0,0,0,G2
1,1000,-0.210051,0.817998,1,0,0.96388,0,0,0,G2
0,1000,0,0,0,0,0,0,0,0,G2
1,1000,-0.267906,0.715518,1,0,0.669806,0,0,0,G2
1,1000,-0.291259,0.765787,1,0,0.819212,0,0,0,G2
2,1,0.488662,2.687721,49.595951,0,0,0,0,5.588802,G3
0,1,0,0,0,0,0,0,0,0,G3
2,1,0.822483,1.57313,53.400436,0,0,0,0,3.357691,G3
1,1,0.211315,0.854765,1,0,0,0,0,1.962697,G3
1,1,0.257286,0.895916,1,0,0,0,0,2.435554,G3
1,1,0.294008,0.85043,1,0,0,0,0,2.509979,G3
1,1,0.213918,0.866428,1,0,0,0,0,2.32126,G3
1,1,0.220521,0.823966,1,0,0,0,0,2.432033,G3
1,1,0.164169,0.803636,1,0,0,0,0,2.480385,G3
1,1,0.15234,0.808144,1,0,0,0,0,2.548279,G3
2,11000,-0.174105,1.103987,50.252277,1.92091,2.217389,0,0,0,G4
2,11000,-0.122953,1.115498,48.429398,1.920436,2.281158,0,0,0,G4
3,11000,0.18846,1.460319,14.786871,2.536567,3.216953,0,0,0,G4
2,11000,-0.164602,1.124563,50.12207,1.971869,2.394318,0,0,0,G4
1,11000,-0.94572,0.261743,1,2.732039,0,0,0,0,G4
2,11000,-0.150126,1.15236,49.292255,2.382105,2.670159,0,0,0,G4
1,11000,-0.98293,0.149529,1,2.472052,0,0,0,0,G4
3,11000,-0.008154,2.584348,77.524254,5.081109,5.19557,0,0,0,G4
2,11000,-0.180848,1.120862,50.425652,1.956647,2.264404,0,0,0,G4
3,11000,1.36589,3.074546,34.100098,4.982361,6.120978,0,0,0,G4
3,1100,-0.063246,1.608927,30.171564,0,3.765091,0.737544,0,0,G5
3,1100,0.972259,1.275522,9.168107,0,3.384465,3.725769,0,0,G5
3,1100,0.856262,1.844815,11.501387,0,5.593565,5.910605,0,0,G5
2,1100,-0.077521,0.717603,26.184465,0,2.093861,2.101737,0,0,G5
3,1100,1.139007,1.570754,18.09214,0,4.059782,4.40859,0,0,G5
2,1100,-0.078388,0.701412,26.263199,0,1.656116,1.69653,0,0,G5
2,1100,0.136451,0.731091,27.691299,0,1.798941,1.804901,0,0,G5
2,1100,0.192035,0.831773,27.695864,0,2.568328,2.561266,0,0,G5
2,1100,0.017633,0.82368,28.322369,0,3.158669,3.18687,0,0,G5
3,1100,-0.183645,1.71031,31.533884,0,5.362423,1.921971,0,0,G5
3,1110,0.15807,0.829726,19.914471,0,1.579357,1.806409,1.735807,0,G6
3,1110,0.699618,1.753694,7.737838,0,2.820252,3.387056,0.9349,0,G6
3,1110,0.125004,0.876376,19.64415,0,1.585589,1.715658,1.609502,0,G6
4,1110,0.641382,1.39442,7.008226,0,2.747815,2.996877,2.968055,0,G6
3,1110,0.070663,0.7709,19.759106,0,1.516607,1.69428,1.633131,0,G6
3,1110,-0.009252,0.785042,19.387762,0,1.645035,1.852884,1.783288,0,G6
4,1110,0.667561,1.313331,5.810316,0,2.539201,2.884054,2.807809,0,G6
4,1110,1.009683,0.913673,3.458053,0,2.169876,2.692333,2.55109,0,G6
3,1110,0.356224,0.865698,20.15057,0,2.311286,2.460773,2.325623,0,G6
3,1110,0.24501,0.913107,20.21986,0,2.888182,2.963516,2.827507,0,G6
2,10001,0.13836,0.783446,53.090115,2.192527,0,0,0,2.306137,G7
2,10001,-0.164355,0.71422,28.018694,2.098306,0,0,0,1.75715,G7
1,10001,-0.624042,0.682302,1,2.219085,0,0,0,0,G7
3,10001,0.329231,0.982685,30.324524,2.246607,0,0,0,2.023843,G7
3,10001,0.38034,0.829572,30.072052,2.159252,0,0,0,1.875043,G7
4,10001,0.793739,1.705116,5.104064,4.417421,0,0,0,4.073871,G7
2,10001,0.29787,1.017446,53.317043,2.523398,0,0,0,2.696643,G7
4,10001,3.005895,-4.037921,26.40741,9.964713,0,0,0,12.381773,G7
4,10001,1.964791,3.744629,13.585074,8.969092,0,0,0,4.264287,G7
3,10001,2.029247,2.149701,9.604671,5.735237,0,0,0,6.370481,G7
3,11001,0.470137,1.070538,19.364756,2.463647,3.189894,0,0,2.539773,G8
2,11001,-0.328652,1.079445,35.649731,2.552048,2.908525,0,0,0,G8
3,11001,0.308704,1.041452,20.332781,2.625465,3.310952,0,0,2.756505,G8
4,11001,4.830279,-5.929143,69.943497,13.37717,16.406713,0,0,14.285071,G8
3,11001,0.317377,1.018776,19.7327,2.271872,2.93282,0,0,2.30768,G8
3,11001,0.478468,1.080394,19.846165,2.384982,3.216164,0,0,2.59698,G8
3,11001,0.378964,1.171522,20.634821,3.270124,4.019603,0,0,3.459401,G8
3,11001,0.325927,1.207806,20.530083,4.73728,5.407362,0,0,4.905256,G8
3,11001,0.254995,1.092935,20.212069,3.730794,4.469506,0,0,3.892395,G8
3,11001,0.253362,1.049074,19.471188,3.08476,3.858044,0,0,3.208477,G8
5,11111,0.985754,1.059274,8.73686,2.605869,3.583256,3.591082,3.476862,2.806365,G9
5,11111,0.842018,0.910056,8.881664,1.26991,2.19238,2.324479,2.169836,1.536889,G9
5,11111,1.16038,1.12397,7.105643,1.967825,3.13889,3.205146,3.083863,2.320241,G9
4,11111,1.081631,1.244326,15.284383,4.289592,5.136301,5.129916,4.419653,0,G9
4,11111,0.925269,0.988158,16.43553,3.943308,4.039729,4.006492,3.576392,0,G9
4,11111,0.821203,0.742008,15.619578,2.229235,2.401072,2.326977,1.889486,0,G9
5,11111,0.964381,0.971874,8.800071,1.830875,2.764143,2.869909,2.733367,2.075783,G9
5,11111,0.810025,0.942821,9.380643,1.48832,2.336564,2.509696,2.377496,1.753782,G9
5,11111,0.666753,0.964272,9.375968,1.746774,2.628773,2.724137,2.545563,1.978785,G9
5,11111,0.702865,1.080709,10.967755,2.687785,3.385308,3.56586,3.432508,2.926412,G9
1,0,-0.728452,0.513998,1,0,0,0,0,0,G1
1,0,-0.672955,0.584972,1,0,0,0,0,0,G1
1,0,-0.720727,0.537501,1,0,0,0,0,0,G1
1,0,-0.701598,0.532832,1,0,0,0,0,0,G1
1,0,-0.693084,0.469594,1,0,0,0,0,0,G1
1,0,-0.762485,0.47517,1,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,G1
1,0,-0.698562,0.527928,1,0,0,0,0,0,G1
3,1101,0.726182,1.074775,28.205624,0,3.304496,3.448358,0,3.020074,G0
3,1101,0.792688,1.182609,27.12533,0,4.541755,4.727411,0,4.205803,G0
3,1101,0.809091,1.164044,28.109241,0,3.824039,4.012097,0,3.487435,G0
3,1101,0.838553,1.075516,27.913639,0,3.142044,3.325052,0,2.7981,G0
3,1101,0.655823,1.051815,28.283398,0,3.248622,3.389153,0,2.988763,G0
3,1101,0.86205,1.089669,27.656107,0,4.264217,4.445772,0,3.949125,G0
3,1101,0.956434,1.02905,27.393061,0,3.768033,3.977086,0,3.516061,G0
3,1101,0.955239,0.944636,27.468975,0,2.731685,2.908622,0,2.460076,G0
4,1101,1.007363,1.118087,21.126677,0,3.123606,3.323933,0,2.592962,G0
3,1101,0.734132,1.070149,27.943962,0,3.240444,3.381718,0,2.946951,G0
1,1000,-0.357227,0.413412,1,0,0.40087,0,0,0,G2
1,1000,-0.078084,0.81329,1,0,0.653741,0,0,0,G2
1,1000,-0.18588,0.787667,1,0,0.85771,0,0,0,G2
1,1000,-0.085474,0.800882,1,0,1.321642,0,0,0,G2
1,1000,-0.179387,0.713245,1,0,0.898788,0,0,0,G2
1,1000,-0.199327,0.855622,1,0,1.036665,0,0,0,G2
1,1000,-0.255902,0.608424,1,0,0.616803,0,0,0,G2
1,1000,-0.244464,0.461732,1,0,0.922724,0,0,0,G2
1,1000,-0.125303,0.601262,1,0,1.167477,0,0,0,G2
1,1000,-0.239968,0.602885,1,0,1.068267,0,0,0,G2
1,1,0.443697,0.555626,1,0,0,0,0,1.649739,G3
2,1,0.86226,0.653779,8.558611,0,0,0,0,1.435525,G3
2,1,0.750588,0.592454,8.260798,0,0,0,0,0.548141,G3
2,1,0.893559,0.828634,6.617039,0,0,0,0,1.853569,G3
1,1,0.517816,0.639066,1,0,0,0,0,1.988561,G3
1,1,0.492226,0.655908,1,0,0,0,0,1.962445,G3
1,1,0.483866,0.707425,1,0,0,0,0,2.501432,G3
2,1,0.967046,0.872807,6.362509,0,0,0,0,2.919052,G3
1,1,0.502763,0.467815,1,0,0,0,0,0.683025,G3
1,1,0.51584,0.433847,1,0,0,0,0,0.724118,G3
3,11000,0.00827,1.100329,16.562922,1.240211,2.010482,0,0,0,G4
2,11000,-0.44694,0.466721,50.63102,0.0255,0.501815,0,0,0,G4
2,11000,-0.455291,0.861769,55.133663,0.912342,1.475883,0,0,0,G4
3,11000,-0.073055,1.135414,17.029902,1.84212,2.571226,0,0,0,G4
3,11000,0.004683,1.254171,16.374195,1.674193,2.580039,0,0,0,G4
3,11000,0.010504,1.342452,15.88985,1.76166,2.688617,0,0,0,G4
3,11000,0.036607,1.219558,16.279348,1.995824,2.891256,0,0,0,G4
3,11000,-0.058973,1.180501,16.642817,2.123151,2.984541,0,0,0,G4
3,11000,-0.015395,1.10555,16.67091,1.396748,2.168492,0,0,0,G4
2,11000,-0.220726,0.979685,55.099251,0.849059,1.356099,0,0,0,G4
2,1100,0.189658,0.558474,27.466497,0,1.106471,1.161095,0,0,G5
2,1100,0.319402,0.773781,27.646662,0,2.219078,2.218372,0,0,G5
2,1100,0.259142,0.804876,27.798517,0,2.037471,2.080377,0,0,G5
2,1100,0.100846,0.767767,27.890408,0,1.919999,1.983265,0,0,G5
2,1100,0.283289,0.794308,27.676783,0,2.073163,2.115077,0,0,G5
2,1100,0.220504,0.705901,27.788082,0,1.444278,1.495915,0,0,G5
2,1100,0.07513,0.703821,27.94903,0,1.429522,1.474883,0,0,G5
2,1100,-0.022152,0.783468,28.034847,0,1.405533,1.459107,0,0,G5
2,1100,0.04532,0.700131,27.223623,0,1.967316,2.012777,0,0,G5
2,1100,0.025468,0.636403,27.652082,0,1.733198,1.746467,0,0,G5
3,1110,0.322959,0.972516,17.168375,0,2.164897,2.290388,2.118141,0,G6
