@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R1,2,6,22'

@attribute numFingers numeric
@attribute fingersExtended numeric
@attribute fingersAreas numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data
3,10001,30.072052,G7
4,10001,5.104064,G7
2,10001,53.317043,G7
4,10001,26.40741,G7
4,10001,13.585074,G7
3,10001,9.604671,G7
3,11001,19.364756,G8
2,11001,35.649731,G8
3,11001,20.332781,G8
4,11001,69.943497,G8
3,11001,19.7327,G8
3,11001,19.846165,G8
3,11001,20.634821,G8
3,11001,20.530083,G8
3,11001,20.212069,G8
3,11001,19.471188,G8
5,11111,8.73686,G9
5,11111,8.881664,G9
5,11111,7.105643,G9
4,11111,15.284383,G9
4,11111,16.43553,G9
4,11111,15.619578,G9
5,11111,8.800071,G9
5,11111,9.380643,G9
5,11111,9.375968,G9
5,11111,10.967755,G9
1,0,1,G1
1,0,1,G1
1,0,1,G1
1,0,1,G1
1,0,1,G1
1,0,1,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
1,0,1,G1
3,1101,28.205624,G0
3,1101,27.12533,G0
3,1101,28.109241,G0
3,1101,27.913639,G0
3,1101,28.283398,G0
3,1101,27.656107,G0
3,1101,27.393061,G0
3,1101,27.468975,G0
4,1101,21.126677,G0
3,1101,27.943962,G0
1,1000,1,G2
1,1000,1,G2
1,1000,1,G2
1,1000,1,G2
1,1000,1,G2
1,1000,1,G2
1,1000,1,G2
1,1000,1,G2
1,1000,1,G2
1,1000,1,G2
1,1,1,G3
2,1,8.558611,G3
2,1,8.260798,G3
2,1,6.617039,G3
1,1,1,G3
1,1,1,G3
1,1,1,G3
2,1,6.362509,G3
1,1,1,G3
1,1,1,G3
3,11000,16.562922,G4
2,11000,50.63102,G4
2,11000,55.133663,G4
3,11000,17.029902,G4
3,11000,16.374195,G4
3,11000,15.88985,G4
3,11000,16.279348,G4
3,11000,16.642817,G4
3,11000,16.67091,G4
2,11000,55.099251,G4
2,1100,27.466497,G5
2,1100,27.646662,G5
2,1100,27.798517,G5
2,1100,27.890408,G5
2,1100,27.676783,G5
2,1100,27.788082,G5
2,1100,27.94903,G5
2,1100,28.034847,G5
2,1100,27.223623,G5
2,1100,27.652082,G5
3,1110,17.168375,G6
3,1110,17.378466,G6
3,1110,17.14905,G6
3,1110,17.237867,G6
3,1110,16.897444,G6
3,1110,16.801483,G6
3,1110,16.922415,G6
3,1110,16.54907,G6
3,1110,18.471989,G6
3,1110,17.622847,G6
2,10001,72.201683,G7
2,10001,72.33197,G7
2,10001,73.953262,G7
2,10001,72.239662,G7
2,10001,72.002129,G7
2,10001,71.816238,G7
2,10001,72.34948,G7
2,10001,72.178688,G7
2,10001,70.320694,G7
2,10001,71.736969,G7
3,11001,29.699686,G8
3,11001,28.802959,G8
4,11001,21.44853,G8
4,11001,21.427652,G8
3,11001,28.632725,G8
3,11001,28.429342,G8
3,11001,28.363503,G8
3,11001,29.338818,G8
3,11001,29.090879,G8
4,11001,21.3776,G8
5,11111,7.51787,G9
5,11111,10.037858,G9
5,11111,10.449368,G9
5,11111,9.683265,G9
5,11111,9.851491,G9
5,11111,10.246622,G9
5,11111,9.076012,G9
5,11111,9.387828,G9
5,11111,9.189385,G9
5,11111,9.54729,G9
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
3,1101,20.882399,G0
3,1101,20.860098,G0
3,1101,20.991903,G0
3,1101,21.261385,G0
3,1101,21.232153,G0
2,1101,19.8237,G0
3,1101,20.460182,G0
3,1101,21.052015,G0
3,1101,21.471386,G0
3,1101,20.57741,G0
1,1000,1,G2
0,1000,0,G2
1,1000,1,G2
1,1000,1,G2
1,1000,1,G2
1,1000,1,G2
1,1000,1,G2
1,1000,1,G2
1,1000,1,G2
1,1000,1,G2
0,1,0,G3
2,1,37.467548,G3
0,1,0,G3
0,1,0,G3
1,1,1,G3
0,1,0,G3
1,1,1,G3
1,1,1,G3
1,1,1,G3
0,1,0,G3
1,11000,1,G4
2,11000,43.335747,G4
2,11000,32.805344,G4
2,11000,44.423435,G4
2,11000,39.716812,G4
2,11000,47.848164,G4
2,11000,55.99432,G4
2,11000,47.99987,G4
2,11000,45.919861,G4
1,11000,1,G4
2,1100,21.402111,G5
2,1100,23.92918,G5
2,1100,16.443775,G5
0,1100,0,G5
2,1100,22.162588,G5
2,1100,22.216434,G5
2,1100,21.863609,G5
3,1100,15.804931,G5
0,1100,0,G5
0,1100,0,G5
2,1110,17.562973,G6
3,1110,13.202558,G6
1,1110,1,G6
3,1110,13.649017,G6
3,1110,13.525636,G6
2,1110,22.681602,G6
3,1110,13.019904,G6
1,1110,1,G6
1,1110,1,G6
3,1110,13.217293,G6
2,10001,37.84771,G7
2,10001,72.603188,G7
0,10001,0,G7
1,10001,1,G7
2,10001,70.606186,G7
2,10001,70.109825,G7
0,10001,0,G7
2,10001,70.54409,G7
2,10001,70.084503,G7
2,10001,70.591492,G7
3,11001,26.484047,G8
3,11001,23.794563,G8
2,11001,38.128246,G8
2,11001,31.819365,G8
3,11001,23.968681,G8
3,11001,25.091311,G8
3,11001,24.495312,G8
2,11001,37.014832,G8
3,11001,26.107718,G8
3,11001,24.757931,G8
5,11111,10.972218,G9
5,11111,6.586637,G9
5,11111,10.187063,G9
5,11111,10.263643,G9
5,11111,10.127734,G9
4,11111,15.87604,G9
5,11111,10.776596,G9
5,11111,11.155943,G9
5,11111,11.073741,G9
5,11111,11.279895,G9
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
1,0,1,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
3,1101,21.950901,G0
3,1101,21.175959,G0
3,1101,21.540407,G0
3,1101,21.725775,G0
3,1101,19.810598,G0
3,1101,22.240541,G0
3,1101,20.829376,G0
3,1101,21.165833,G0
3,1101,21.224251,G0
3,1101,22.230488,G0
0,1000,0,G2
0,1000,0,G2
0,1000,0,G2
0,1000,0,G2
0,1000,0,G2
0,1000,0,G2
0,1000,0,G2
0,1000,0,G2
0,1000,0,G2
0,1000,0,G2
1,1,1,G3
1,1,1,G3
1,1,1,G3
1,1,1,G3
0,1,0,G3
0,1,0,G3
0,1,0,G3
1,1,1,G3
1,1,1,G3
1,1,1,G3
2,11000,60.291145,G4
2,11000,65.190086,G4
2,11000,57.752979,G4
1,11000,1,G4
3,11000,19.895859,G4
1,11000,1,G4
2,11000,64.328163,G4
2,11000,64.884415,G4
2,11000,67.481865,G4
2,11000,65.172585,G4
2,1100,26.83696,G5
1,1100,1,G5
1,1100,1,G5
0,1100,0,G5
2,1100,31.140699,G5
2,1100,32.815556,G5
2,1100,28.256777,G5
2,1100,25.189964,G5
0,1100,0,G5
2,1100,27.55373,G5
3,1110,18.980923,G6
3,1110,19.703587,G6
3,1110,18.328455,G6
3,1110,17.970846,G6
3,1110,18.655182,G6
3,1110,16.783241,G6
3,1110,12.948482,G6
3,1110,20.249958,G6
3,1110,20.156908,G6
3,1110,18.80793,G6
2,10001,67.945549,G7
3,10001,36.497276,G7
3,10001,124.514069,G7
3,10001,37.33736,G7
2,10001,70.948708,G7
3,10001,36.409126,G7
2,10001,66.473228,G7
2,10001,66.771965,G7
2,10001,65.038383,G7
2,10001,66.394348,G7
4,11001,20.396193,G8
3,11001,25.542887,G8
3,11001,27.315542,G8
3,11001,24.433315,G8
3,11001,26.35997,G8
3,11001,24.703197,G8
3,11001,26.63711,G8
3,11001,25.718967,G8
3,11001,25.982103,G8
3,11001,25.234972,G8
5,11111,15.185007,G9
5,11111,15.276175,G9
5,11111,15.187655,G9
4,11111,19.015265,G9
5,11111,15.613431,G9
5,11111,15.682833,G9
5,11111,15.486366,G9
4,11111,18.255842,G9
5,11111,9.37676,G9
4,11111,18.710051,G9
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
3,1101,23.849249,G0
3,1101,24.9988,G0
3,1101,24.508358,G0
2,1101,54.984791,G0
3,1101,25.160847,G0
3,1101,25.775015,G0
3,1101,24.676746,G0
3,1101,23.645828,G0
1,1101,1,G0
3,1101,23.794411,G0
1,1000,1,G2
1,1000,1,G2
1,1000,1,G2
1,1000,1,G2
0,1000,0,G2
1,1000,1,G2
1,1000,1,G2
0,1000,0,G2
2,1000,33.111378,G2
1,1000,1,G2
1,1,1,G3
1,1,1,G3
1,1,1,G3
1,1,1,G3
1,1,1,G3
1,1,1,G3
1,1,1,G3
1,1,1,G3
1,1,1,G3
1,1,1,G3
1,11000,1,G4
3,11000,20.527178,G4
3,11000,20.604887,G4
2,11000,61.082603,G4
2,11000,57.431267,G4
2,11000,54.200619,G4
2,11000,54.161648,G4
2,11000,56.480007,G4
2,11000,57.925606,G4
2,11000,56.000134,G4
2,1100,26.642244,G5
2,1100,37.154068,G5
2,1100,34.104729,G5
1,1100,1,G5
2,1100,26.021835,G5
2,1100,24.800642,G5
1,1100,1,G5
2,1100,26.962458,G5
2,1100,26.692886,G5
2,1100,26.765795,G5
3,1110,20.256214,G6
3,1110,17.047852,G6
3,1110,16.729675,G6
3,1110,17.787954,G6
3,1110,17.265451,G6
3,1110,16.213783,G6
3,1110,20.062643,G6
3,1110,22.757629,G6
3,1110,21.377962,G6
3,1110,20.55521,G6
2,10001,65.847382,G7
1,10001,1,G7
1,10001,1,G7
2,10001,68.86422,G7
2,10001,71.958382,G7
2,10001,67.966751,G7
2,10001,65.299904,G7
2,10001,65.007561,G7
2,10001,65.652946,G7
2,10001,65.71978,G7
4,11001,19.692427,G8
3,11001,26.485064,G8
3,11001,26.629318,G8
4,11001,20.762381,G8
3,11001,25.938713,G8
3,11001,26.409336,G8
3,11001,27.467936,G8
3,11001,26.583305,G8
4,11001,18.89397,G8
3,11001,25.939802,G8
5,11111,9.527532,G9
5,11111,9.668103,G9
5,11111,9.613049,G9
5,11111,9.570864,G9
5,11111,9.555344,G9
5,11111,9.51868,G9
5,11111,9.576638,G9
5,11111,9.988613,G9
5,11111,9.809388,G9
5,11111,9.195293,G9
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
3,1101,26.168962,G0
3,1101,26.312696,G0
3,1101,27.028696,G0
2,1101,36.385403,G0
3,1101,26.946838,G0
3,1101,26.449289,G0
3,1101,26.165817,G0
3,1101,26.78388,G0
3,1101,26.587257,G0
3,1101,26.258286,G0
1,1000,1,G2
1,1000,1,G2
1,1000,1,G2
1,1000,1,G2
1,1000,1,G2
1,1000,1,G2
0,1000,0,G2
0,1000,0,G2
1,1000,1,G2
1,1000,1,G2
1,1,1,G3
1,1,1,G3
1,1,1,G3
1,1,1,G3
1,1,1,G3
1,1,1,G3
1,1,1,G3
1,1,1,G3
1,1,1,G3
1,1,1,G3
2,11000,58.086987,G4
2,11000,57.091476,G4
2,11000,56.859406,G4
2,11000,57.191746,G4
2,11000,55.289829,G4
2,11000,57.419991,G4
2,11000,55.999855,G4
2,11000,57.919682,G4
2,11000,55.645729,G4
2,11000,58.284771,G4
2,1100,31.363859,G5
2,1100,31.544939,G5
2,1100,30.578329,G5
1,1100,1,G5
2,1100,30.718582,G5
2,1100,31.152681,G5
2,1100,30.603867,G5
0,1100,0,G5
1,1100,1,G5
1,1100,1,G5
3,1110,21.632675,G6
3,1110,21.888054,G6
3,1110,21.601242,G6
3,1110,21.487022,G6
3,1110,21.360723,G6
3,1110,21.818707,G6
2,1110,46.536037,G6
3,1110,22.232635,G6
3,1110,22.062029,G6
3,1110,21.714144,G6
2,10001,72.915581,G7
2,10001,71.795464,G7
1,10001,1,G7
2,10001,74.483971,G7
2,10001,72.88903,G7
2,10001,71.345612,G7
2,10001,72.90947,G7
2,10001,73.319832,G7
2,10001,71.310219,G7
2,10001,72.125488,G7
3,11001,31.338329,G8
3,11001,29.624895,G8
4,11001,20.945076,G8
3,11001,27.066563,G8
4,11001,20.89237,G8
3,11001,30.838646,G8
3,11001,33.216892,G8
4,11001,19.724712,G8
3,11001,26.856787,G8
3,11001,28.943487,G8
5,11111,9.225645,G9
5,11111,8.554334,G9
5,11111,7.527702,G9
5,11111,9.265546,G9
5,11111,13.013872,G9
5,11111,7.865595,G9
5,11111,7.158701,G9
5,11111,8.319952,G9
5,11111,9.097486,G9
5,11111,7.326109,G9
1,0,1,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
1,0,1,G1
3,1101,23.832621,G0
3,1101,24.683174,G0
3,1101,24.046339,G0
3,1101,24.023407,G0
3,1101,24.130436,G0
3,1101,24.313951,G0
3,1101,24.521149,G0
3,1101,24.014828,G0
3,1101,23.529587,G0
3,1101,23.898355,G0
1,1000,1,G2
0,1000,0,G2
0,1000,0,G2
1,1000,1,G2
1,1000,1,G2
1,1000,1,G2
1,1000,1,G2
1,1000,1,G2
1,1000,1,G2
1,1000,1,G2
2,1,8.506701,G3
2,1,7.927714,G3
2,1,10.126935,G3
1,1,1,G3
1,1,1,G3
1,1,1,G3
1,1,1,G3
1,1,1,G3
3,1,23.497416,G3
2,1,5.273829,G3
2,11000,59.469852,G4
2,11000,61.977364,G4
3,11000,17.686871,G4
3,11000,16.85124,G4
2,11000,59.102325,G4
2,11000,58.927902,G4
2,11000,55.643902,G4
3,11000,16.527731,G4
3,11000,16.144819,G4
2,11000,58.243668,G4
3,1100,11.685607,G5
3,1100,12.096399,G5
2,1100,20.38121,G5
3,1100,13.059745,G5
2,1100,18.398626,G5
2,1100,20.161581,G5
2,1100,20.579874,G5
2,1100,21.918484,G5
2,1100,21.838837,G5
2,1100,22.028656,G5
3,1110,16.657824,G6
3,1110,17.518053,G6
3,1110,18.369394,G6
3,1110,17.416874,G6
3,1110,17.6022,G6
3,1110,17.486063,G6
3,1110,17.368622,G6
3,1110,16.699467,G6
3,1110,16.363829,G6
3,1110,16.45619,G6
2,10001,70.715561,G7
2,10001,75.25396,G7
2,10001,74.476662,G7
2,10001,74.238731,G7
3,10001,38.641808,G7
3,10001,38.536831,G7
3,10001,38.583569,G7
2,10001,74.622139,G7
2,10001,73.155258,G7
2,10001,71.551888,G7
3,11001,26.781996,G8
3,11001,28.80545,G8
3,11001,28.613096,G8
3,11001,27.207085,G8
3,11001,27.657455,G8
3,11001,27.518652,G8
3,11001,27.286549,G8
3,11001,28.26943,G8
4,11001,22.030617,G8
4,11001,19.272738,G8
5,11111,8.117502,G9
5,11111,10.38061,G9
5,11111,10.620007,G9
5,11111,10.668647,G9
5,11111,10.380974,G9
5,11111,10.107798,G9
5,11111,10.786802,G9
5,11111,10.873189,G9
5,11111,10.106714,G9
5,11111,8.679494,G9
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
2,1101,38.291283,G0
3,1101,18.480722,G0
3,1101,19.38308,G0
3,1101,20.122631,G0
3,1101,16.8874,G0
3,1101,17.594244,G0
3,1101,17.135557,G0
3,1101,24.73082,G0
3,1101,24.597374,G0
3,1101,23.893164,G0
0,1000,0,G2
1,1000,1,G2
4,1000,13.236033,G2
0,1000,0,G2
0,1000,0,G2
2,1000,31.299549,G2
0,1000,0,G2
1,1000,1,G2
1,1000,1,G2
1,1000,1,G2
1,1,1,G3
1,1,1,G3
1,1,1,G3
1,1,1,G3
1,1,1,G3
1,1,1,G3
1,1,1,G3
1,1,1,G3
1,1,1,G3
1,1,1,G3
2,11000,65.318405,G4
2,11000,65.491806,G4
2,11000,65.689003,G4
2,11000,65.159004,G4
2,11000,65.979103,G4
2,11000,66.501663,G4
2,11000,64.783302,G4
2,11000,64.950844,G4
3,11000,16.796658,G4
3,11000,18.161686,G4
2,1100,31.326227,G5
2,1100,31.055428,G5
2,1100,30.137165,G5
3,1100,13.325322,G5
2,1100,31.824545,G5
2,1100,31.048302,G5
2,1100,31.270361,G5
2,1100,28.455935,G5
2,1100,29.550285,G5
2,1100,30.557974,G5
3,1110,16.533199,G6
3,1110,16.692812,G6
3,1110,16.806068,G6
3,1110,18.324083,G6
3,1110,18.348501,G6
3,1110,20.432085,G6
3,1110,20.292376,G6
3,1110,19.460609,G6
4,1110,10.994694,G6
3,1110,18.556179,G6
3,10001,35.495674,G7
3,10001,35.866348,G7
2,10001,75.422852,G7
2,10001,74.180641,G7
2,10001,74.219231,G7
2,10001,74.716354,G7
3,10001,36.625576,G7
3,10001,37.01638,G7
3,10001,36.231289,G7
3,10001,35.962658,G7
3,11001,27.756029,G8
3,11001,29.875498,G8
3,11001,29.024912,G8
3,11001,29.770184,G8
3,11001,29.067978,G8
3,11001,28.48715,G8
3,11001,27.552652,G8
3,11001,27.772738,G8
3,11001,27.101961,G8
3,11001,27.459078,G8
5,11111,10.199184,G9
5,11111,9.973606,G9
5,11111,9.548086,G9
5,11111,9.867544,G9
5,11111,10.096302,G9
5,11111,11.216157,G9
5,11111,10.16984,G9
5,11111,10.423194,G9
5,11111,10.940663,G9
5,11111,9.712573,G9
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
2,1101,21.734158,G0
3,1101,19.993917,G0
3,1101,19.555384,G0
3,1101,19.365208,G0
3,1101,20.266689,G0
3,1101,19.79883,G0
3,1101,20.033066,G0
3,1101,19.965027,G0
3,1101,19.920025,G0
3,1101,19.343338,G0
0,1000,0,G2
0,1000,0,G2
0,1000,0,G2
1,1000,1,G2
1,1000,1,G2
0,1000,0,G2
1,1000,1,G2
2,1000,28.548655,G2
1,1000,1,G2
1,1000,1,G2
1,1,1,G3
1,1,1,G3
2,1,34.765259,G3
2,1,34.224747,G3
1,1,1,G3
1,1,1,G3
1,1,1,G3
2,1,36.180531,G3
2,1,36.066982,G3
1,1,1,G3
3,11000,16.175514,G4
2,11000,60.70116,G4
3,11000,17.382874,G4
2,11000,54.685745,G4
2,11000,53.386639,G4
2,11000,51.185894,G4
2,11000,51.708252,G4
2,11000,51.193108,G4
2,11000,44.698925,G4
3,11000,16.62011,G4
2,1100,25.002468,G5
2,1100,23.565407,G5
2,1100,23.554926,G5
3,1100,15.145056,G5
2,1100,24.546116,G5
2,1100,25.215828,G5
2,1100,24.850992,G5
2,1100,25.214664,G5
2,1100,24.994553,G5
2,1100,25.369968,G5
3,1110,18.557529,G6
3,1110,18.255926,G6
3,1110,19.867907,G6
3,1110,19.679625,G6
3,1110,19.505756,G6
3,1110,19.208815,G6
3,1110,19.328939,G6
3,1110,19.36241,G6
3,1110,19.149912,G6
3,1110,18.686802,G6
3,10001,41.65036,G7
2,10001,82.720444,G7
2,10001,81.116119,G7
2,10001,80.926994,G7
2,10001,80.907379,G7
3,10001,41.784081,G7
2,10001,82.205833,G7
2,10001,81.500969,G7
3,10001,41.573215,G7
3,10001,40.703354,G7
3,11001,28.566439,G8
3,11001,28.018316,G8
3,11001,28.954542,G8
3,11001,27.851723,G8
3,11001,28.691843,G8
3,11001,28.550556,G8
3,11001,28.659933,G8
3,11001,28.599651,G8
3,11001,28.649254,G8
3,11001,28.403507,G8
5,11111,9.350569,G9
5,11111,9.392378,G9
5,11111,10.128499,G9
1,11111,1,G9
5,11111,8.479247,G9
5,11111,9.791775,G9
5,11111,9.295431,G9
5,11111,9.519137,G9
5,11111,9.536864,G9
5,11111,9.057203,G9
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
2,1101,53.716637,G0
3,1101,24.80554,G0
3,1101,25.275877,G0
2,1101,34.194141,G0
2,1101,51.504112,G0
3,1101,21.811625,G0
2,1101,35.102348,G0
3,1101,21.862902,G0
3,1101,22.217758,G0
3,1101,22.614595,G0
1,1000,1,G2
0,1000,0,G2
0,1000,0,G2
1,1000,1,G2
1,1000,1,G2
1,1000,1,G2
1,1000,1,G2
0,1000,0,G2
1,1000,1,G2
1,1000,1,G2
2,1,16.691147,G3
3,1,24.849894,G3
0,1,0,G3
2,1,45.526752,G3
2,1,44.197433,G3
1,1,1,G3
1,1,1,G3
2,1,17.939102,G3
2,1,17.850607,G3
2,1,15.450723,G3
2,11000,57.733547,G4
3,11000,16.182154,G4
2,11000,58.437904,G4
2,11000,59.786705,G4
2,11000,58.666309,G4
2,11000,57.534866,G4
2,11000,58.0098,G4
2,11000,57.87122,G4
3,11000,15.781429,G4
3,11000,16.716682,G4
2,1100,26.799511,G5
2,1100,26.523029,G5
2,1100,26.755264,G5
2,1100,26.244251,G5
2,1100,26.312979,G5
2,1100,26.717085,G5
2,1100,26.890064,G5
2,1100,26.496378,G5
2,1100,26.524305,G5
2,1100,26.826714,G5
3,1110,18.025486,G6
3,1110,17.637281,G6
