@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R2,4,5,18-22'

@attribute fingersExtended numeric
@attribute Max_X numeric
@attribute Max_Y numeric
@attribute fingertipElevation_f2 numeric
@attribute fingertipElevation_f3 numeric
@attribute fingertipElevation_f4 numeric
@attribute fingertipElevation_f5 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data
0,-0.50255,0.864201,0,0,0,0,G1
0,-0.617926,0.786069,0,0,0,0,G1
0,-0.739105,0.671906,0,0,0,0,G1
0,-0.698455,0.71264,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
1101,0.426401,0.79501,1.747296,1.937189,0,1.347058,G0
1101,0.588854,1.055807,1.956516,2.218632,0,1.700621,G0
1101,0.471281,1.026527,2.161407,2.43873,0,1.93843,G0
1101,0.58508,1.053928,2.057047,2.383836,0,1.730752,G0
1101,0.857719,1.283488,1.960845,2.540933,0,1.456636,G0
1101,0.270615,0.965162,1.945522,2.194056,0,1.710254,G0
1101,0.302741,0.956813,3.866393,3.99514,0,3.687164,G0
1101,0.347208,0.999659,3.266629,3.53889,0,3.087073,G0
1101,0.385278,1.013991,2.081799,2.343077,0,1.830847,G0
1101,0.543801,1.032953,1.955744,2.154966,0,1.429949,G0
1000,-0.215154,0.69643,0.514539,0,0,0,G2
1000,0.795045,-0.381329,0.680598,0,0,0,G2
1000,0,0,0,0,0,0,G2
1000,0,0,0,0,0,0,G2
1000,-0.186899,0.780266,0.651294,0,0,0,G2
1000,-0.122636,0.768555,0.708041,0,0,0,G2
1000,0.024574,1.024957,1.044729,0,0,0,G2
1000,0.129716,1.0396,1.10383,0,0,0,G2
1000,0.138083,1.060463,1.345424,0,0,0,G2
1000,0.035481,0.939747,0.845885,0,0,0,G2
1,-0.108901,0.843878,0,0,0,1.761956,G3
1,0.483535,0.808117,0,0,0,2.427105,G3
1,0.313593,0.901246,0,0,0,1.959951,G3
1,0.147303,0.9465,0,0,0,2.267077,G3
1,0.40733,0.887323,0,0,0,2.859358,G3
1,0.261888,0.942052,0,0,0,2.23115,G3
1,0.72652,1.277046,0,0,0,2.81739,G3
1,0.20873,0.864457,0,0,0,1.703367,G3
1,0.04827,0.831736,0,0,0,1.72396,G3
1,0.102806,0.8412,0,0,0,1.93749,G3
11000,-0.373879,1.007392,1.701352,0,0,0,G4
11000,-0.434245,1.03995,1.861036,0,0,0,G4
11000,-0.413022,0.995725,1.650402,0,0,0,G4
11000,-0.037151,1.404686,2.086187,0,0,0,G4
11000,-0.000103,1.494884,2.213711,0,0,0,G4
11000,-0.060346,1.271162,2.075226,0,0,0,G4
11000,-0.033475,1.291995,2.487475,0,0,0,G4
11000,-0.013315,1.089693,2.112467,0,0,0,G4
11000,-0.447857,0.903819,1.96664,0,0,0,G4
11000,-0.45698,0.939392,2.053533,0,0,0,G4
1100,0.264451,0.887494,1.905487,1.854031,0,0,G5
1100,0.30508,0.925899,2.062269,2.112619,0,0,G5
1100,0.161662,0.88639,1.831598,1.917133,0,0,G5
1100,1.997881,2.267486,3.896853,4.667479,0,0,G5
1100,0.207566,0.888379,2.131417,2.21418,0,0,G5
1100,0.263061,0.867388,2.620394,2.695342,0,0,G5
1100,0.295778,0.891259,2.040568,2.083658,0,0,G5
1100,0.302774,0.913023,1.926158,1.955444,0,0,G5
1100,0.291047,0.896674,1.899811,1.933576,0,0,G5
1100,0.345031,0.843593,1.763835,1.727625,0,0,G5
1110,0.054545,0.949435,1.958068,2.065973,1.866892,0,G6
1110,0.341613,1.252604,2.57332,2.739355,1.668595,0,G6
1110,0.183539,0.811824,1.801968,1.916539,1.738299,0,G6
1110,0.132188,0.937772,1.997224,2.151975,1.88613,0,G6
1110,0.299692,1.043624,2.32594,2.444495,2.179388,0,G6
1110,0.177524,0.979963,1.909319,2.065951,1.888517,0,G6
1110,0.124065,0.917098,2.470532,2.606683,2.449893,0,G6
1110,0.15952,0.901396,2.815992,2.974155,2.799173,0,G6
1110,0.093541,0.866462,2.799346,2.95688,2.783392,0,G6
1110,0.025135,0.956087,2.559534,2.695724,2.51478,0,G6
10001,1.095423,0.518405,0,0,0,0.956591,G7
10001,1.109315,0.908251,0,0,0,1.384579,G7
10001,0.911542,0.783362,0,0,0,1.711591,G7
10001,0.83926,0.900812,0,0,0,2.848105,G7
10001,1.004514,0.870361,0,0,0,2.606421,G7
10001,0.944776,0.805686,0,0,0,1.479126,G7
10001,1.053624,1.08874,0,0,0,1.642864,G7
10001,1.353392,1.285265,0,0,0,0.900476,G7
10001,1.458554,1.449588,0,0,0,1.145414,G7
10001,1.367796,1.142757,0,0,0,0.09792,G7
11001,1.775124,1.977088,4.25606,0,0,3.400037,G8
11001,0.288527,1.033955,1.822753,0,0,0,G8
11001,0.32148,1.165574,3.169844,0,0,2.620257,G8
11001,0.155239,0.956686,2.549367,0,0,1.883199,G8
11001,0.274512,0.993523,2.434833,0,0,1.788014,G8
11001,0.31914,1.031452,2.043718,0,0,1.370904,G8
11001,0.479261,1.177462,1.934845,0,0,1.312227,G8
11001,0.500359,1.209937,2.637744,0,0,1.996173,G8
11001,0.446692,1.195472,4.077566,0,0,3.276005,G8
11001,2.231167,2.391885,6.520862,0,0,5.495451,G8
11111,0.912641,1.349664,3.855342,4.085877,3.918613,3.474774,G9
11111,0.795213,1.367724,3.232668,3.410392,3.26334,2.84068,G9
11111,0.66777,1.302834,3.593818,3.676095,3.54543,3.163843,G9
11111,0.777736,1.302651,3.72731,3.910608,3.753439,3.336542,G9
11111,0.782084,1.310955,4.125418,4.277683,4.147567,3.761934,G9
11111,0.792103,1.300923,3.664258,3.766043,3.626928,3.182909,G9
11111,0.642047,1.339228,3.154746,3.258385,3.08598,2.679865,G9
11111,-0.196212,1.136419,2.877027,2.769956,0,0,G9
11111,0.671083,1.357636,5.471673,4.837096,0,0,G9
11111,0.730756,1.307832,3.898855,4.064389,3.943558,3.506793,G9
0,0,0,0,0,0,0,G1
0,0.734957,-0.436434,0,0,0,0,G1
0,0.581342,-0.577997,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,-0.667931,0.62587,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
1101,0.861251,1.653102,3.200804,3.866323,0,3.432589,G0
1101,0.461436,1.011152,2.869781,3.06101,0,2.529032,G0
1101,0.41388,1.065574,3.455971,3.626464,0,3.077377,G0
1101,1.781367,3.374366,7.758927,8.722976,0,1.401234,G0
1101,0.36219,0.929811,1.929311,2.121263,0,1.66838,G0
1101,0.457707,0.937605,1.962166,2.130976,0,1.614336,G0
1101,0.568438,0.962773,2.668828,2.823006,0,2.236153,G0
1101,-0.014742,0.848819,2.519809,2.537647,0,0,G0
1101,0.961435,1.621572,5.07996,5.543409,0,4.864698,G0
1101,0.910031,1.746894,5.056568,5.529736,0,4.884039,G0
1000,-0.303567,0.691537,0.782167,0,0,0,G2
1000,0,0,0,0,0,0,G2
1000,0,0,0,0,0,0,G2
1000,0,0,0,0,0,0,G2
1000,-0.315823,0.645461,0.811374,0,0,0,G2
1000,-0.111525,0.73004,0.624098,0,0,0,G2
1000,-0.210051,0.817998,0.96388,0,0,0,G2
1000,0,0,0,0,0,0,G2
1000,-0.267906,0.715518,0.669806,0,0,0,G2
1000,-0.291259,0.765787,0.819212,0,0,0,G2
1,0.488662,2.687721,0,0,0,5.588802,G3
1,0,0,0,0,0,0,G3
1,0.822483,1.57313,0,0,0,3.357691,G3
1,0.211315,0.854765,0,0,0,1.962697,G3
1,0.257286,0.895916,0,0,0,2.435554,G3
1,0.294008,0.85043,0,0,0,2.509979,G3
1,0.213918,0.866428,0,0,0,2.32126,G3
1,0.220521,0.823966,0,0,0,2.432033,G3
1,0.164169,0.803636,0,0,0,2.480385,G3
1,0.15234,0.808144,0,0,0,2.548279,G3
11000,-0.174105,1.103987,2.217389,0,0,0,G4
11000,-0.122953,1.115498,2.281158,0,0,0,G4
11000,0.18846,1.460319,3.216953,0,0,0,G4
11000,-0.164602,1.124563,2.394318,0,0,0,G4
11000,-0.94572,0.261743,0,0,0,0,G4
11000,-0.150126,1.15236,2.670159,0,0,0,G4
11000,-0.98293,0.149529,0,0,0,0,G4
11000,-0.008154,2.584348,5.19557,0,0,0,G4
11000,-0.180848,1.120862,2.264404,0,0,0,G4
11000,1.36589,3.074546,6.120978,0,0,0,G4
1100,-0.063246,1.608927,3.765091,0.737544,0,0,G5
1100,0.972259,1.275522,3.384465,3.725769,0,0,G5
1100,0.856262,1.844815,5.593565,5.910605,0,0,G5
1100,-0.077521,0.717603,2.093861,2.101737,0,0,G5
1100,1.139007,1.570754,4.059782,4.40859,0,0,G5
1100,-0.078388,0.701412,1.656116,1.69653,0,0,G5
1100,0.136451,0.731091,1.798941,1.804901,0,0,G5
1100,0.192035,0.831773,2.568328,2.561266,0,0,G5
1100,0.017633,0.82368,3.158669,3.18687,0,0,G5
1100,-0.183645,1.71031,5.362423,1.921971,0,0,G5
1110,0.15807,0.829726,1.579357,1.806409,1.735807,0,G6
1110,0.699618,1.753694,2.820252,3.387056,0.9349,0,G6
1110,0.125004,0.876376,1.585589,1.715658,1.609502,0,G6
1110,0.641382,1.39442,2.747815,2.996877,2.968055,0,G6
1110,0.070663,0.7709,1.516607,1.69428,1.633131,0,G6
1110,-0.009252,0.785042,1.645035,1.852884,1.783288,0,G6
1110,0.667561,1.313331,2.539201,2.884054,2.807809,0,G6
1110,1.009683,0.913673,2.169876,2.692333,2.55109,0,G6
1110,0.356224,0.865698,2.311286,2.460773,2.325623,0,G6
1110,0.24501,0.913107,2.888182,2.963516,2.827507,0,G6
10001,0.13836,0.783446,0,0,0,2.306137,G7
10001,-0.164355,0.71422,0,0,0,1.75715,G7
10001,-0.624042,0.682302,0,0,0,0,G7
10001,0.329231,0.982685,0,0,0,2.023843,G7
10001,0.38034,0.829572,0,0,0,1.875043,G7
10001,0.793739,1.705116,0,0,0,4.073871,G7
10001,0.29787,1.017446,0,0,0,2.696643,G7
10001,3.005895,-4.037921,0,0,0,12.381773,G7
10001,1.964791,3.744629,0,0,0,4.264287,G7
10001,2.029247,2.149701,0,0,0,6.370481,G7
11001,0.470137,1.070538,3.189894,0,0,2.539773,G8
11001,-0.328652,1.079445,2.908525,0,0,0,G8
11001,0.308704,1.041452,3.310952,0,0,2.756505,G8
11001,4.830279,-5.929143,16.406713,0,0,14.285071,G8
11001,0.317377,1.018776,2.93282,0,0,2.30768,G8
11001,0.478468,1.080394,3.216164,0,0,2.59698,G8
11001,0.378964,1.171522,4.019603,0,0,3.459401,G8
11001,0.325927,1.207806,5.407362,0,0,4.905256,G8
11001,0.254995,1.092935,4.469506,0,0,3.892395,G8
11001,0.253362,1.049074,3.858044,0,0,3.208477,G8
11111,0.985754,1.059274,3.583256,3.591082,3.476862,2.806365,G9
11111,0.842018,0.910056,2.19238,2.324479,2.169836,1.536889,G9
11111,1.16038,1.12397,3.13889,3.205146,3.083863,2.320241,G9
11111,1.081631,1.244326,5.136301,5.129916,4.419653,0,G9
11111,0.925269,0.988158,4.039729,4.006492,3.576392,0,G9
11111,0.821203,0.742008,2.401072,2.326977,1.889486,0,G9
11111,0.964381,0.971874,2.764143,2.869909,2.733367,2.075783,G9
11111,0.810025,0.942821,2.336564,2.509696,2.377496,1.753782,G9
11111,0.666753,0.964272,2.628773,2.724137,2.545563,1.978785,G9
11111,0.702865,1.080709,3.385308,3.56586,3.432508,2.926412,G9
0,-0.728452,0.513998,0,0,0,0,G1
0,-0.672955,0.584972,0,0,0,0,G1
0,-0.720727,0.537501,0,0,0,0,G1
0,-0.701598,0.532832,0,0,0,0,G1
0,-0.693084,0.469594,0,0,0,0,G1
0,-0.762485,0.47517,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,-0.698562,0.527928,0,0,0,0,G1
1101,0.726182,1.074775,3.304496,3.448358,0,3.020074,G0
1101,0.792688,1.182609,4.541755,4.727411,0,4.205803,G0
1101,0.809091,1.164044,3.824039,4.012097,0,3.487435,G0
1101,0.838553,1.075516,3.142044,3.325052,0,2.7981,G0
1101,0.655823,1.051815,3.248622,3.389153,0,2.988763,G0
1101,0.86205,1.089669,4.264217,4.445772,0,3.949125,G0
1101,0.956434,1.02905,3.768033,3.977086,0,3.516061,G0
1101,0.955239,0.944636,2.731685,2.908622,0,2.460076,G0
1101,1.007363,1.118087,3.123606,3.323933,0,2.592962,G0
1101,0.734132,1.070149,3.240444,3.381718,0,2.946951,G0
1000,-0.357227,0.413412,0.40087,0,0,0,G2
1000,-0.078084,0.81329,0.653741,0,0,0,G2
1000,-0.18588,0.787667,0.85771,0,0,0,G2
1000,-0.085474,0.800882,1.321642,0,0,0,G2
1000,-0.179387,0.713245,0.898788,0,0,0,G2
1000,-0.199327,0.855622,1.036665,0,0,0,G2
1000,-0.255902,0.608424,0.616803,0,0,0,G2
1000,-0.244464,0.461732,0.922724,0,0,0,G2
1000,-0.125303,0.601262,1.167477,0,0,0,G2
1000,-0.239968,0.602885,1.068267,0,0,0,G2
1,0.443697,0.555626,0,0,0,1.649739,G3
1,0.86226,0.653779,0,0,0,1.435525,G3
1,0.750588,0.592454,0,0,0,0.548141,G3
1,0.893559,0.828634,0,0,0,1.853569,G3
1,0.517816,0.639066,0,0,0,1.988561,G3
1,0.492226,0.655908,0,0,0,1.962445,G3
1,0.483866,0.707425,0,0,0,2.501432,G3
1,0.967046,0.872807,0,0,0,2.919052,G3
1,0.502763,0.467815,0,0,0,0.683025,G3
1,0.51584,0.433847,0,0,0,0.724118,G3
11000,0.00827,1.100329,2.010482,0,0,0,G4
11000,-0.44694,0.466721,0.501815,0,0,0,G4
11000,-0.455291,0.861769,1.475883,0,0,0,G4
11000,-0.073055,1.135414,2.571226,0,0,0,G4
11000,0.004683,1.254171,2.580039,0,0,0,G4
11000,0.010504,1.342452,2.688617,0,0,0,G4
11000,0.036607,1.219558,2.891256,0,0,0,G4
11000,-0.058973,1.180501,2.984541,0,0,0,G4
11000,-0.015395,1.10555,2.168492,0,0,0,G4
11000,-0.220726,0.979685,1.356099,0,0,0,G4
1100,0.189658,0.558474,1.106471,1.161095,0,0,G5
1100,0.319402,0.773781,2.219078,2.218372,0,0,G5
1100,0.259142,0.804876,2.037471,2.080377,0,0,G5
1100,0.100846,0.767767,1.919999,1.983265,0,0,G5
1100,0.283289,0.794308,2.073163,2.115077,0,0,G5
1100,0.220504,0.705901,1.444278,1.495915,0,0,G5
1100,0.07513,0.703821,1.429522,1.474883,0,0,G5
1100,-0.022152,0.783468,1.405533,1.459107,0,0,G5
1100,0.04532,0.700131,1.967316,2.012777,0,0,G5
1100,0.025468,0.636403,1.733198,1.746467,0,0,G5
1110,0.322959,0.972516,2.164897,2.290388,2.118141,0,G6
1110,0.248405,1.014125,2.287251,2.394208,2.207506,0,G6
1110,0.340859,1.031472,2.339605,2.46392,2.269868,0,G6
1110,0.420885,1.009359,2.346586,2.451472,2.276577,0,G6
1110,0.329623,0.88497,1.787336,1.921484,1.724274,0,G6
1110,0.270949,0.826688,1.943836,2.067434,1.880118,0,G6
1110,0.288639,0.853461,2.304076,2.418892,2.241728,0,G6
1110,0.044501,0.861331,2.452699,2.589725,2.409889,0,G6
1110,0.239615,1.035168,3.171474,3.280604,3.168819,0,G6
1110,0.244437,1.004307,2.524149,2.632466,2.473182,0,G6
10001,1.347333,1.206629,0,0,0,1.555722,G7
10001,1.202937,1.044722,0,0,0,2.365039,G7
10001,1.145428,1.029672,0,0,0,1.97073,G7
10001,1.153348,0.965388,0,0,0,2.128826,G7
10001,1.182747,0.962683,0,0,0,1.972337,G7
10001,1.150035,1.056092,0,0,0,2.00705,G7
10001,0.951274,1.032187,0,0,0,2.972112,G7
10001,0.945516,0.979077,0,0,0,1.454624,G7
10001,0.999471,0.773504,0,0,0,0.499218,G7
10001,1.297328,0.795194,0,0,0,0.523019,G7
11001,0.544992,1.059212,4.243196,0,0,3.681748,G8
11001,0.811194,1.076568,3.741098,0,0,3.097004,G8
11001,0.873147,0.919678,3.033857,0,0,1.957484,G8
11001,0.921665,1.107732,4.182112,0,0,3.096088,G8
11001,0.690302,0.837593,1.962115,0,0,1.304427,G8
11001,0.828407,0.942505,2.103075,0,0,1.433966,G8
11001,0.923193,1.022956,3.676888,0,0,3.039683,G8
11001,0.495076,0.890381,3.210921,0,0,2.6298,G8
11001,0.376799,0.721406,2.302745,0,0,1.664755,G8
11001,0.352291,0.659854,1.576943,0,0,0.613251,G8
11111,1.282685,1.085027,1.850322,2.028571,1.907771,1.27657,G9
11111,1.095357,1.343303,3.41393,3.611273,3.501278,2.952716,G9
11111,1.047545,1.26462,3.542961,3.685598,3.565313,3.045263,G9
11111,1.152834,1.095991,3.550491,3.67174,3.587299,3.055944,G9
11111,0.9195,1.082165,3.46041,3.578918,3.489384,2.952679,G9
11111,0.735712,0.949379,2.961399,3.087937,3.00403,2.48096,G9
11111,0.897672,0.787352,1.99697,2.14448,2.011722,1.46829,G9
11111,1.009016,1.035568,2.618608,2.739181,2.630876,2.055403,G9
11111,1.13926,1.116737,3.669908,3.816625,3.714485,3.154437,G9
11111,1.177129,1.061109,2.263813,2.351481,2.220672,1.65872,G9
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
1101,0.493973,1.002696,2.50546,2.771589,0,2.434547,G0
1101,0.707169,1.083003,1.779556,1.961989,0,1.473321,G0
1101,0.405435,0.902968,2.12849,2.342911,0,1.965872,G0
1101,0.807531,0.954368,2.688904,2.759218,0,2.066185,G0
1101,0.639225,0.95313,2.676648,2.928436,0,2.506925,G0
1101,-0.38578,0.637863,1.834903,2.023987,0,0,G0
1101,0.334742,0.725178,1.994629,2.16077,0,1.64098,G0
1101,0.587771,0.656027,2.001169,2.161285,0,1.620225,G0
1101,0.771776,0.975539,2.394215,2.558391,0,2.006091,G0
1101,0.809268,0.942541,2.660907,2.713761,0,2.120425,G0
1000,-0.446635,0.705502,1.277505,0,0,0,G2
1000,0,0,0,0,0,0,G2
1000,-0.63726,0.535409,0.894462,0,0,0,G2
1000,-0.562339,0.593751,0.866158,0,0,0,G2
1000,-0.023712,0.731584,0.938148,0,0,0,G2
1000,-0.295672,0.700807,1.980027,0,0,0,G2
1000,-0.329493,0.490158,2.284308,0,0,0,G2
1000,-0.377284,0.443086,1.290012,0,0,0,G2
1000,-0.260873,0.698579,0.662724,0,0,0,G2
1000,-0.251762,0.734569,2.067153,0,0,0,G2
1,0,0,0,0,0,0,G3
1,1.007043,0.84771,0,0,0,0.134786,G3
1,0,0,0,0,0,0,G3
1,0,0,0,0,0,0,G3
1,0.398717,0.625731,0,0,0,1.982845,G3
1,0,0,0,0,0,0,G3
1,0.496599,0.788017,0,0,0,1.78512,G3
1,0.473024,0.777787,0,0,0,2.032873,G3
1,0.490308,0.871298,0,0,0,1.769209,G3
1,0,0,0,0,0,0,G3
11000,-0.49783,0.404073,0,0,0,0,G4
11000,0.265145,1.207832,2.826909,0,0,0,G4
11000,0.150528,0.849024,0.587854,0,0,0,G4
11000,0.479933,0.793335,0.578001,0,0,0,G4
11000,0.540778,0.450618,0.526616,0,0,0,G4
11000,0.402733,0.679362,2.143939,0,0,0,G4
11000,-0.211578,0.869945,2.881587,0,0,0,G4
11000,0.20852,0.954483,2.4291,0,0,0,G4
11000,0.6976,0.678877,1.16707,0,0,0,G4
11000,0.446533,0.420077,0,0,0,0,G4
1100,0.317808,0.572572,0.990261,1.02083,0,0,G5
1100,0.21086,0.785725,1.593661,1.610657,0,0,G5
1100,0.354287,1.157577,2.648782,1.640749,0,0,G5
1100,0,0,0,0,0,0,G5
1100,0.01223,0.734557,1.740619,1.738286,0,0,G5
1100,0.229529,0.676725,2.001103,1.997056,0,0,G5
1100,0.26645,0.711991,1.419548,1.439554,0,0,G5
1100,0.800136,1.109469,2.602875,1.234775,0,0,G5
1100,0,0,0,0,0,0,G5
1100,0,0,0,0,0,0,G5
1110,-0.043368,0.636413,1.294993,1.466297,0,0,G6
1110,0.511672,0.889369,2.211512,2.312101,2.157485,0,G6
1110,-0.489108,0.570999,2.182261,0,0,0,G6
1110,0.481586,0.950306,2.370808,2.461677,2.198257,0,G6
1110,0.43352,0.825631,1.894695,2.052802,1.807447,0,G6
1110,0.508264,0.909745,1.410634,1.033499,0,0,G6
1110,0.622914,0.966036,2.349935,2.702308,2.228577,0,G6
1110,0.004846,0.791876,2.264104,0,0,0,G6
1110,-0.563037,0.54199,1.967882,0,0,0,G6
1110,0.184303,0.889428,2.401308,2.541336,2.300484,0,G6
10001,1.172664,0.473931,0,0,0,0.189126,G7
10001,1.219794,1.121157,0,0,0,0.641166,G7
10001,0,0,0,0,0,0,G7
10001,-0.152401,0.136272,0,0,0,0,G7
10001,1.045063,0.33766,0,0,0,0.181889,G7
10001,1.187844,0.367019,0,0,0,0.500134,G7
10001,0,0,0,0,0,0,G7
10001,1.172019,0.706372,0,0,0,0.790985,G7
10001,1.116929,0.576606,0,0,0,0.400748,G7
10001,1.323805,0.52991,0,0,0,0.246611,G7
11001,0.89502,0.971917,4.201895,0,0,3.589105,G8
11001,0.857352,1.302132,5.474811,0,0,4.758352,G8
11001,-0.245824,0.975185,3.744194,0,0,0,G8
