@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R1,3,4,5,18-22'

@attribute numFingers numeric
@attribute ratio numeric
@attribute Max_X numeric
@attribute Max_Y numeric
@attribute fingertipElevation_f2 numeric
@attribute fingertipElevation_f3 numeric
@attribute fingertipElevation_f4 numeric
@attribute fingertipElevation_f5 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data
3,0.015183,0.212588,1.078765,2.750862,2.556167,0,0,G6
3,0.015188,0.417174,1.005026,2.605932,2.410807,0,0,G6
2,0.014549,-0.166341,0.745789,2.709472,0,0,0,G6
3,0.014668,-0.073798,1.073336,2.753147,2.513848,0,0,G6
3,0.01502,0.082209,1.170329,3.458158,3.232599,0,0,G6
2,0.010028,0.844688,0.81088,2.585142,0,0,0,G7
2,0.009677,0.811327,1.022262,3.898848,0,0,0,G7
2,0.009634,0.842655,1.057828,3.925811,0,0,0,G7
2,0.009664,1.014016,1.037736,3.379407,0,0,0,G7
2,0.010198,0.91576,1.124422,4.741308,0,0,0,G7
3,0.012656,0.86249,1.360674,4.877326,5.511092,0,0,G7
2,0.009721,0.508107,0.776607,2.779773,0,0,0,G7
2,0.012008,0.839336,1.519801,8.375031,0,0,0,G7
2,0.009612,0.644728,0.944019,3.456703,0,0,0,G7
2,0.010206,0.29487,1.060393,4.002843,0,0,0,G7
3,0.009102,0.483445,1.367308,4.541636,3.928185,0,0,G8
2,0.010508,0.829864,1.373388,5.742901,0,0,0,G8
3,0.009269,0.567829,1.426975,4.830408,4.076703,0,0,G8
2,0.010403,0.761607,1.478418,6.109691,0,0,0,G8
3,0.008864,0.642846,1.471149,5.293864,4.627994,0,0,G8
2,0.010401,0.283297,1.272335,5.009287,0,0,0,G8
3,0.009289,0.607018,1.179867,4.37043,3.820997,0,0,G8
2,0.010335,0.633312,1.259652,5.031978,0,0,0,G8
3,0.008903,0.447865,1.236284,4.664822,4.101339,0,0,G8
3,0.008751,0.622475,1.343418,4.909639,4.212711,0,0,G8
4,0.009334,0.530258,1.504573,5.090964,5.258568,4.605475,0,G9
5,0.007592,0.579419,1.340814,4.029668,4.13579,4.052598,3.695958,G9
5,0.007429,0.695679,1.295621,3.54582,3.685647,3.625459,3.334631,G9
5,0.008589,0.791347,1.412484,4.680151,4.839375,4.706978,4.295236,G9
1,1,-0.799085,0.600263,0,0,0,0,G9
5,0.008053,0.850534,1.42811,5.102254,5.15669,4.987046,4.58841,G9
1,1,-0.788799,0.610598,0,0,0,0,G9
5,0.008228,0.653589,1.178239,3.961159,4.167908,4.034494,3.587493,G9
5,0.008337,0.904786,1.352818,4.483907,4.720399,4.584064,4.103108,G9
4,0.008789,0.522232,1.510261,5.240202,5.070769,4.699021,0,G9
1,1,-0.768864,0.635808,0,0,0,0,G1
1,1,-0.616738,0.778669,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
1,1,-0.553091,0.81432,0,0,0,0,G1
1,1,-0.50255,0.864201,0,0,0,0,G1
1,1,-0.617926,0.786069,0,0,0,0,G1
1,1,-0.739105,0.671906,0,0,0,0,G1
1,1,-0.698455,0.71264,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
3,0.01326,0.426401,0.79501,1.937189,1.347058,0,0,G0
3,0.012111,0.588854,1.055807,2.218632,1.700621,0,0,G0
3,0.011576,0.471281,1.026527,2.43873,1.93843,0,0,G0
3,0.011578,0.58508,1.053928,2.383836,1.730752,0,0,G0
4,0.013132,0.857719,1.283488,2.540933,1.456636,2.030975,0,G0
3,0.01185,0.270615,0.965162,2.194056,1.710254,0,0,G0
3,0.011932,0.302741,0.956813,3.99514,3.687164,0,0,G0
3,0.011733,0.347208,0.999659,3.53889,3.087073,0,0,G0
3,0.012033,0.385278,1.013991,2.343077,1.830847,0,0,G0
3,0.013269,0.543801,1.032953,2.154966,1.429949,0,0,G0
1,1,-0.215154,0.69643,0,0,0,0,G2
1,1,0.795045,-0.381329,0,0,0,0,G2
0,0,0,0,0,0,0,0,G2
0,0,0,0,0,0,0,0,G2
1,1,-0.186899,0.780266,0,0,0,0,G2
1,1,-0.122636,0.768555,0,0,0,0,G2
2,0.019961,0.024574,1.024957,0.433266,0,0,0,G2
2,0.019659,0.129716,1.0396,0.43582,0,0,0,G2
2,0.019598,0.138083,1.060463,0.686488,0,0,0,G2
2,0.019374,0.035481,0.939747,0.188437,0,0,0,G2
1,1,-0.108901,0.843878,0,0,0,0,G3
1,1,0.483535,0.808117,0,0,0,0,G3
1,1,0.313593,0.901246,0,0,0,0,G3
1,1,0.147303,0.9465,0,0,0,0,G3
1,1,0.40733,0.887323,0,0,0,0,G3
1,1,0.261888,0.942052,0,0,0,0,G3
2,0.01554,0.72652,1.277046,3.385674,0,0,0,G3
1,1,0.20873,0.864457,0,0,0,0,G3
1,1,0.04827,0.831736,0,0,0,0,G3
1,1,0.102806,0.8412,0,0,0,0,G3
2,0.012328,-0.373879,1.007392,1.701352,0,0,0,G4
2,0.011536,-0.434245,1.03995,1.861036,0,0,0,G4
2,0.011128,-0.413022,0.995725,1.650402,0,0,0,G4
3,0.016534,-0.037151,1.404686,2.086187,1.209855,0,0,G4
3,0.017193,-0.000103,1.494884,2.213711,1.230309,0,0,G4
3,0.015802,-0.060346,1.271162,2.075226,1.145435,0,0,G4
3,0.015629,-0.033475,1.291995,2.487475,1.600553,0,0,G4
3,0.015646,-0.013315,1.089693,2.112467,1.179361,0,0,G4
2,0.012082,-0.447857,0.903819,1.96664,0,0,0,G4
2,0.01208,-0.45698,0.939392,2.053533,0,0,0,G4
2,0.0152,0.264451,0.887494,1.854031,0,0,0,G5
2,0.015219,0.30508,0.925899,2.112619,0,0,0,G5
2,0.014849,0.161662,0.88639,1.917133,0,0,0,G5
3,0.011702,1.997881,2.267486,4.667479,0.378649,0,0,G5
2,0.015345,0.207566,0.888379,2.21418,0,0,0,G5
2,0.015076,0.263061,0.867388,2.695342,0,0,0,G5
2,0.015137,0.295778,0.891259,2.083658,0,0,0,G5
2,0.015417,0.302774,0.913023,1.955444,0,0,0,G5
2,0.015915,0.291047,0.896674,1.933576,0,0,0,G5
2,0.01531,0.345031,0.843593,1.727625,0,0,0,G5
3,0.016703,0.054545,0.949435,2.065973,1.866892,0,0,G6
4,0.018297,0.341613,1.252604,2.739355,1.668595,2.538485,0,G6
3,0.014526,0.183539,0.811824,1.916539,1.738299,0,0,G6
3,0.015055,0.132188,0.937772,2.151975,1.88613,0,0,G6
3,0.01664,0.299692,1.043624,2.444495,2.179388,0,0,G6
3,0.016096,0.177524,0.979963,2.065951,1.888517,0,0,G6
3,0.016718,0.124065,0.917098,2.606683,2.449893,0,0,G6
3,0.016642,0.15952,0.901396,2.974155,2.799173,0,0,G6
3,0.016364,0.093541,0.866462,2.95688,2.783392,0,0,G6
3,0.016364,0.025135,0.956087,2.695724,2.51478,0,0,G6
2,0.009295,1.095423,0.518405,0.956591,0,0,0,G7
3,0.010929,1.109315,0.908251,1.384579,1.869916,0,0,G7
3,0.010705,0.911542,0.783362,1.711591,2.142963,0,0,G7
2,0.010597,0.83926,0.900812,2.848105,0,0,0,G7
2,0.010411,1.004514,0.870361,2.606421,0,0,0,G7
3,0.010765,0.944776,0.805686,1.479126,1.934364,0,0,G7
4,0.01063,1.053624,1.08874,1.642864,1.471326,1.872988,0,G7
4,0.012277,1.353392,1.285265,0.900476,0.729625,1.209474,0,G7
4,0.012637,1.458554,1.449588,1.145414,0.992289,1.53884,0,G7
4,0.012722,1.367796,1.142757,0.09792,0.0326,0.50894,0,G7
4,0.014992,1.775124,1.977088,4.25606,3.400037,0.51094,0,G8
2,0.014084,0.288527,1.033955,1.822753,0,0,0,G8
3,0.010925,0.32148,1.165574,3.169844,2.620257,0,0,G8
3,0.011431,0.155239,0.956686,2.549367,1.883199,0,0,G8
3,0.011112,0.274512,0.993523,2.434833,1.788014,0,0,G8
3,0.011275,0.31914,1.031452,2.043718,1.370904,0,0,G8
3,0.011513,0.479261,1.177462,1.934845,1.312227,0,0,G8
3,0.01142,0.500359,1.209937,2.637744,1.996173,0,0,G8
4,0.012065,0.446692,1.195472,4.077566,3.276005,3.425293,0,G8
4,0.016023,2.231167,2.391885,6.520862,5.495451,0.825639,0,G8
5,0.009365,0.912641,1.349664,3.855342,4.085877,3.918613,3.474774,G9
5,0.009064,0.795213,1.367724,3.232668,3.410392,3.26334,2.84068,G9
5,0.00898,0.66777,1.302834,3.593818,3.676095,3.54543,3.163843,G9
5,0.009104,0.777736,1.302651,3.72731,3.910608,3.753439,3.336542,G9
5,0.0092,0.782084,1.310955,4.125418,4.277683,4.147567,3.761934,G9
5,0.0099,0.792103,1.300923,3.664258,3.766043,3.626928,3.182909,G9
5,0.009947,0.642047,1.339228,3.154746,3.258385,3.08598,2.679865,G9
3,0.010154,-0.196212,1.136419,2.877027,2.769956,0,0,G9
3,0.010568,0.671083,1.357636,5.471673,4.837096,0,0,G9
5,0.009201,0.730756,1.307832,3.898855,4.064389,3.943558,3.506793,G9
0,0,0,0,0,0,0,0,G1
1,1,0.734957,-0.436434,0,0,0,0,G1
2,0.084103,0.581342,-0.577997,0.994497,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
1,1,-0.667931,0.62587,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
4,0.012041,0.861251,1.653102,3.866323,3.432589,1.578599,0,G0
3,0.013015,0.461436,1.011152,3.06101,2.529032,0,0,G0
3,0.013016,0.41388,1.065574,3.626464,3.077377,0,0,G0
5,0.02434,1.781367,3.374366,8.722976,1.401234,7.393506,3.218856,G0
3,0.012943,0.36219,0.929811,2.121263,1.66838,0,0,G0
3,0.01283,0.457707,0.937605,2.130976,1.614336,0,0,G0
3,0.013519,0.568438,0.962773,2.823006,2.236153,0,0,G0
2,0.023369,-0.014742,0.848819,2.537647,0,0,0,G0
4,0.012594,0.961435,1.621572,5.543409,4.864698,2.488564,0,G0
4,0.012185,0.910031,1.746894,5.529736,4.884039,2.807004,0,G0
1,1,-0.303567,0.691537,0,0,0,0,G2
0,0,0,0,0,0,0,0,G2
0,0,0,0,0,0,0,0,G2
0,0,0,0,0,0,0,0,G2
1,1,-0.315823,0.645461,0,0,0,0,G2
1,1,-0.111525,0.73004,0,0,0,0,G2
1,1,-0.210051,0.817998,0,0,0,0,G2
0,0,0,0,0,0,0,0,G2
1,1,-0.267906,0.715518,0,0,0,0,G2
1,1,-0.291259,0.765787,0,0,0,0,G2
2,0.021951,0.488662,2.687721,8.966497,0,0,0,G3
0,0,0,0,0,0,0,0,G3
2,0.016166,0.822483,1.57313,1.68142,0,0,0,G3
1,1,0.211315,0.854765,0,0,0,0,G3
1,1,0.257286,0.895916,0,0,0,0,G3
1,1,0.294008,0.85043,0,0,0,0,G3
1,1,0.213918,0.866428,0,0,0,0,G3
1,1,0.220521,0.823966,0,0,0,0,G3
1,1,0.164169,0.803636,0,0,0,0,G3
1,1,0.15234,0.808144,0,0,0,0,G3
2,0.012878,-0.174105,1.103987,2.217389,0,0,0,G4
2,0.01306,-0.122953,1.115498,2.281158,0,0,0,G4
3,0.01925,0.18846,1.460319,3.216953,2.18216,0,0,G4
2,0.012842,-0.164602,1.124563,2.394318,0,0,0,G4
1,1,-0.94572,0.261743,0,0,0,0,G4
2,0.012948,-0.150126,1.15236,2.670159,0,0,0,G4
1,1,-0.98293,0.149529,0,0,0,0,G4
3,0.022598,-0.008154,2.584348,5.19557,0.39465,0,0,G4
2,0.012736,-0.180848,1.120862,2.264404,0,0,0,G4
3,0.024596,1.36589,3.074546,6.120978,0.608062,0,0,G4
3,0.038341,-0.063246,1.608927,0.737544,3.4505,0,0,G5
3,0.012941,0.972259,1.275522,3.725769,0.638286,0,0,G5
3,0.013449,0.856262,1.844815,5.910605,2.083252,0,0,G5
2,0.019839,-0.077521,0.717603,2.101737,0,0,0,G5
3,0.012127,1.139007,1.570754,4.40859,1.17984,0,0,G5
2,0.019658,-0.078388,0.701412,1.69653,0,0,0,G5
2,0.018716,0.136451,0.731091,1.804901,0,0,0,G5
2,0.018838,0.192035,0.831773,2.561266,0,0,0,G5
2,0.018583,0.017633,0.82368,3.18687,0,0,0,G5
3,0.039843,-0.183645,1.71031,1.921971,5.017191,0,0,G5
3,0.013051,0.15807,0.829726,1.806409,1.735807,0,0,G6
3,0.012564,0.699618,1.753694,3.387056,0.9349,0,0,G6
3,0.01325,0.125004,0.876376,1.715658,1.609502,0,0,G6
4,0.009914,0.641382,1.39442,2.996877,2.968055,0.722541,0,G6
3,0.013093,0.070663,0.7709,1.69428,1.633131,0,0,G6
3,0.013391,-0.009252,0.785042,1.852884,1.783288,0,0,G6
4,0.010097,0.667561,1.313331,2.884054,2.807809,0.778021,0,G6
4,0.012,1.009683,0.913673,2.692333,2.55109,0.262122,0,G6
3,0.012938,0.356224,0.865698,2.460773,2.325623,0,0,G6
3,0.013074,0.24501,0.913107,2.963516,2.827507,0,0,G6
2,0.010995,0.13836,0.783446,2.306137,0,0,0,G7
2,0.018794,-0.164355,0.71422,1.75715,0,0,0,G7
1,1,-0.624042,0.682302,0,0,0,0,G7
3,0.011389,0.329231,0.982685,2.023843,2.321926,0,0,G7
3,0.011811,0.38034,0.829572,1.875043,2.157629,0,0,G7
4,0.013733,0.793739,1.705116,4.073871,4.702125,1.875468,0,G7
2,0.011211,0.29787,1.017446,2.696643,0,0,0,G7
4,0.025956,3.005895,-4.037921,12.381773,6.060918,3.987506,0,G7
4,0.027612,1.964791,3.744629,4.264287,7.81752,1.955696,0,G7
3,0.015468,2.029247,2.149701,6.370481,1.248434,0,0,G7
3,0.014554,0.470137,1.070538,3.189894,2.539773,0,0,G8
2,0.016555,-0.328652,1.079445,2.908525,0,0,0,G8
3,0.013906,0.308704,1.041452,3.310952,2.756505,0,0,G8
4,0.040954,4.830279,-5.929143,16.406713,14.285071,2.789194,0,G8
3,0.0143,0.317377,1.018776,2.93282,2.30768,0,0,G8
3,0.0143,0.478468,1.080394,3.216164,2.59698,0,0,G8
3,0.013716,0.378964,1.171522,4.019603,3.459401,0,0,G8
3,0.013726,0.325927,1.207806,5.407362,4.905256,0,0,G8
3,0.014045,0.254995,1.092935,4.469506,3.892395,0,0,G8
3,0.01463,0.253362,1.049074,3.858044,3.208477,0,0,G8
5,0.009553,0.985754,1.059274,3.583256,3.591082,3.476862,2.806365,G9
5,0.010038,0.842018,0.910056,2.19238,2.324479,2.169836,1.536889,G9
5,0.010154,1.16038,1.12397,3.13889,3.205146,3.083863,2.320241,G9
4,0.01013,1.081631,1.244326,5.136301,5.129916,4.419653,0,G9
4,0.010769,0.925269,0.988158,4.039729,4.006492,3.576392,0,G9
4,0.010833,0.821203,0.742008,2.401072,2.326977,1.889486,0,G9
5,0.009926,0.964381,0.971874,2.764143,2.869909,2.733367,2.075783,G9
5,0.009939,0.810025,0.942821,2.336564,2.509696,2.377496,1.753782,G9
5,0.010001,0.666753,0.964272,2.628773,2.724137,2.545563,1.978785,G9
5,0.009463,0.702865,1.080709,3.385308,3.56586,3.432508,2.926412,G9
1,1,-0.728452,0.513998,0,0,0,0,G1
1,1,-0.672955,0.584972,0,0,0,0,G1
1,1,-0.720727,0.537501,0,0,0,0,G1
1,1,-0.701598,0.532832,0,0,0,0,G1
1,1,-0.693084,0.469594,0,0,0,0,G1
1,1,-0.762485,0.47517,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
1,1,-0.698562,0.527928,0,0,0,0,G1
3,0.009691,0.726182,1.074775,3.448358,3.020074,0,0,G0
3,0.010008,0.792688,1.182609,4.727411,4.205803,0,0,G0
3,0.009704,0.809091,1.164044,4.012097,3.487435,0,0,G0
3,0.0098,0.838553,1.075516,3.325052,2.7981,0,0,G0
3,0.009855,0.655823,1.051815,3.389153,2.988763,0,0,G0
3,0.009939,0.86205,1.089669,4.445772,3.949125,0,0,G0
3,0.010025,0.956434,1.02905,3.977086,3.516061,0,0,G0
3,0.010064,0.955239,0.944636,2.908622,2.460076,0,0,G0
4,0.011507,1.007363,1.118087,3.323933,2.592962,2.944596,0,G0
3,0.009828,0.734132,1.070149,3.381718,2.946951,0,0,G0
1,1,-0.357227,0.413412,0,0,0,0,G2
1,1,-0.078084,0.81329,0,0,0,0,G2
1,1,-0.18588,0.787667,0,0,0,0,G2
1,1,-0.085474,0.800882,0,0,0,0,G2
1,1,-0.179387,0.713245,0,0,0,0,G2
1,1,-0.199327,0.855622,0,0,0,0,G2
1,1,-0.255902,0.608424,0,0,0,0,G2
1,1,-0.244464,0.461732,0,0,0,0,G2
1,1,-0.125303,0.601262,0,0,0,0,G2
1,1,-0.239968,0.602885,0,0,0,0,G2
1,1,0.443697,0.555626,0,0,0,0,G3
2,0.027471,0.86226,0.653779,2.107758,0,0,0,G3
2,0.027034,0.750588,0.592454,1.22534,0,0,0,G3
2,0.027406,0.893559,0.828634,2.511358,0,0,0,G3
1,1,0.517816,0.639066,0,0,0,0,G3
1,1,0.492226,0.655908,0,0,0,0,G3
1,1,0.483866,0.707425,0,0,0,0,G3
2,0.032967,0.967046,0.872807,3.886456,0,0,0,G3
1,1,0.502763,0.467815,0,0,0,0,G3
1,1,0.51584,0.433847,0,0,0,0,G3
3,0.017313,0.00827,1.100329,2.010482,1.050212,0,0,G4
2,0.012781,-0.44694,0.466721,0.501815,0,0,0,G4
2,0.011889,-0.455291,0.861769,1.475883,0,0,0,G4
3,0.016734,-0.073055,1.135414,2.571226,1.619933,0,0,G4
3,0.01771,0.004683,1.254171,2.580039,1.546137,0,0,G4
3,0.017813,0.010504,1.342452,2.688617,1.643467,0,0,G4
3,0.017429,0.036607,1.219558,2.891256,1.884853,0,0,G4
3,0.017021,-0.058973,1.180501,2.984541,2.01054,0,0,G4
3,0.017078,-0.015395,1.10555,2.168492,1.223954,0,0,G4
2,0.011987,-0.220726,0.979685,1.356099,0,0,0,G4
2,0.019279,0.189658,0.558474,1.161095,0,0,0,G5
2,0.019031,0.319402,0.773781,2.218372,0,0,0,G5
2,0.018852,0.259142,0.804876,2.080377,0,0,0,G5
2,0.018789,0.100846,0.767767,1.983265,0,0,0,G5
2,0.019128,0.283289,0.794308,2.115077,0,0,0,G5
2,0.018975,0.220504,0.705901,1.495915,0,0,0,G5
2,0.018805,0.07513,0.703821,1.474883,0,0,0,G5
2,0.018422,-0.022152,0.783468,1.459107,0,0,0,G5
2,0.019224,0.04532,0.700131,2.012777,0,0,0,G5
2,0.018755,0.025468,0.636403,1.746467,0,0,0,G5
3,0.015212,0.322959,0.972516,2.290388,2.118141,0,0,G6
3,0.015099,0.248405,1.014125,2.394208,2.207506,0,0,G6
3,0.015395,0.340859,1.031472,2.46392,2.269868,0,0,G6
3,0.015289,0.420885,1.009359,2.451472,2.276577,0,0,G6
3,0.015566,0.329623,0.88497,1.921484,1.724274,0,0,G6
3,0.015577,0.270949,0.826688,2.067434,1.880118,0,0,G6
3,0.015452,0.288639,0.853461,2.418892,2.241728,0,0,G6
3,0.015818,0.044501,0.861331,2.589725,2.409889,0,0,G6
3,0.01405,0.239615,1.035168,3.280604,3.168819,0,0,G6
3,0.014772,0.244437,1.004307,2.632466,2.473182,0,0,G6
2,0.011602,1.347333,1.206629,1.555722,0,0,0,G7
2,0.010613,1.202937,1.044722,2.365039,0,0,0,G7
2,0.010653,1.145428,1.029672,1.97073,0,0,0,G7
2,0.010793,1.153348,0.965388,2.128826,0,0,0,G7
2,0.010667,1.182747,0.962683,1.972337,0,0,0,G7
2,0.010679,1.150035,1.056092,2.00705,0,0,0,G7
2,0.010435,0.951274,1.032187,2.972112,0,0,0,G7
2,0.010907,0.945516,0.979077,1.454624,0,0,0,G7
2,0.012078,0.999471,0.773504,0.499218,0,0,0,G7
2,0.012448,1.297328,0.795194,0.523019,0,0,0,G7
3,0.009312,0.544992,1.059212,4.243196,3.681748,0,0,G8
3,0.009687,0.811194,1.076568,3.741098,3.097004,0,0,G8
4,0.010678,0.873147,0.919678,3.033857,1.957484,2.350348,0,G8
4,0.010698,0.921665,1.107732,4.182112,3.096088,3.552491,0,G8
3,0.009731,0.690302,0.837593,1.962115,1.304427,0,0,G8
3,0.009711,0.828407,0.942505,2.103075,1.433966,0,0,G8
3,0.009788,0.923193,1.022956,3.676888,3.039683,0,0,G8
3,0.009503,0.495076,0.890381,3.210921,2.6298,0,0,G8
3,0.009626,0.376799,0.721406,2.302745,1.664755,0,0,G8
4,0.010783,0.352291,0.659854,1.576943,0.613251,1.059939,0,G8
5,0.008834,1.282685,1.085027,1.850322,2.028571,1.907771,1.27657,G9
5,0.0082,1.095357,1.343303,3.41393,3.611273,3.501278,2.952716,G9
5,0.007958,1.047545,1.26462,3.542961,3.685598,3.565313,3.045263,G9
5,0.008063,1.152834,1.095991,3.550491,3.67174,3.587299,3.055944,G9
5,0.008047,0.9195,1.082165,3.46041,3.578918,3.489384,2.952679,G9
5,0.008023,0.735712,0.949379,2.961399,3.087937,3.00403,2.48096,G9
5,0.008293,0.897672,0.787352,1.99697,2.14448,2.011722,1.46829,G9
5,0.008237,1.009016,1.035568,2.618608,2.739181,2.630876,2.055403,G9
5,0.008358,1.13926,1.116737,3.669908,3.816625,3.714485,3.154437,G9
5,0.008271,1.177129,1.061109,2.263813,2.351481,2.220672,1.65872,G9
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
3,0.012631,0.493973,1.002696,2.771589,2.434547,0,0,G0
3,0.012653,0.707169,1.083003,1.961989,1.473321,0,0,G0
3,0.012625,0.405435,0.902968,2.342911,1.965872,0,0,G0
3,0.012654,0.807531,0.954368,2.759218,2.066185,0,0,G0
3,0.01246,0.639225,0.95313,2.928436,2.506925,0,0,G0
2,0.026022,-0.38578,0.637863,2.023987,0,0,0,G0
3,0.012846,0.334742,0.725178,2.16077,1.64098,0,0,G0
3,0.012614,0.587771,0.656027,2.161285,1.620225,0,0,G0
3,0.01251,0.771776,0.975539,2.558391,2.006091,0,0,G0
3,0.012624,0.809268,0.942541,2.713761,2.120425,0,0,G0
1,1,-0.446635,0.705502,0,0,0,0,G2
0,0,0,0,0,0,0,0,G2
1,1,-0.63726,0.535409,0,0,0,0,G2
1,1,-0.562339,0.593751,0,0,0,0,G2
1,1,-0.023712,0.731584,0,0,0,0,G2
1,1,-0.295672,0.700807,0,0,0,0,G2
1,1,-0.329493,0.490158,0,0,0,0,G2
1,1,-0.377284,0.443086,0,0,0,0,G2
1,1,-0.260873,0.698579,0,0,0,0,G2
1,1,-0.251762,0.734569,0,0,0,0,G2
0,0,0,0,0,0,0,0,G3
2,0.016718,1.007043,0.84771,0.541037,0,0,0,G3
0,0,0,0,0,0,0,0,G3
0,0,0,0,0,0,0,0,G3
1,1,0.398717,0.625731,0,0,0,0,G3
0,0,0,0,0,0,0,0,G3
1,1,0.496599,0.788017,0,0,0,0,G3
1,1,0.473024,0.777787,0,0,0,0,G3
1,1,0.490308,0.871298,0,0,0,0,G3
0,0,0,0,0,0,0,0,G3
1,1,-0.49783,0.404073,0,0,0,0,G4
2,0.014298,0.265145,1.207832,2.826909,0,0,0,G4
2,0.017128,0.150528,0.849024,0.587854,0,0,0,G4
2,0.013906,0.479933,0.793335,0.578001,0,0,0,G4
2,0.016069,0.540778,0.450618,0.526616,0,0,0,G4
