@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R3,5,6,7-11,18-22'

@attribute ratio numeric
@attribute Max_Y numeric
@attribute fingersAreas numeric
@attribute newFingerTipDistRefined_f1 numeric
@attribute newFingerTipDistRefined_f2 numeric
@attribute newFingerTipDistRefined_f3 numeric
@attribute newFingerTipDistRefined_f4 numeric
@attribute newFingerTipDistRefined_f5 numeric
@attribute fingertipElevation_f2 numeric
@attribute fingertipElevation_f3 numeric
@attribute fingertipElevation_f4 numeric
@attribute fingertipElevation_f5 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data
1,0.969423,1,0,0.999999,0,0,0,2.101639,0,0,0,G5
0.014228,0.993641,18.979395,0,1.03676,1.153706,0.996826,0,2.324026,2.517935,2.306317,0,G6
1,0.938215,1,0,0.999998,0,0,0,3.054793,0,0,0,G6
0.014499,0.926696,18.622959,0,1.022139,1.155098,1.007376,0,2.235231,2.490292,2.269758,0,G6
0.014726,0.912681,18.366129,0,1.016173,1.160586,1.011489,0,2.162264,2.413261,2.189,0,G6
0.015094,0.922221,17.936562,0,1.013224,1.162504,1.003669,0,2.120311,2.365904,2.140013,0,G6
0.015183,1.078765,17.76836,0,1.020718,1.151267,0.996078,0,2.546532,2.750862,2.556167,0,G6
0.015188,1.005026,17.800419,0,1.012118,1.152329,1.014069,0,2.380176,2.605932,2.410807,0,G6
0.014549,0.745789,38.0121,0,1.108947,1.053854,0,0,2.747643,2.709472,0,0,G6
0.014668,1.073336,18.599554,0,1.037226,1.168654,0.993281,0,2.535672,2.753147,2.513848,0,G6
0.01502,1.170329,18.201717,0,1.02111,1.179349,0.990766,0,3.225746,3.458158,3.232599,0,G6
0.010028,0.81088,69.908165,1.362557,0,0,0,1.402702,0,0,0,2.585142,G7
0.009677,1.022262,77.238541,1.49503,0,0,0,1.475383,0,0,0,3.898848,G7
0.009634,1.057828,79.161362,1.525303,0,0,0,1.521094,0,0,0,3.925811,G7
0.009664,1.037736,83.083595,1.608012,0,0,0,1.527633,0,0,0,3.379407,G7
0.010198,1.124422,78.348076,1.533408,0,0,0,1.59939,0,0,0,4.741308,G7
0.012656,1.360674,44.688377,1.742836,0,0,0,0.749623,0,0,0,4.877326,G7
0.009721,0.776607,78.815231,1.527678,0,0,0,1.532306,0,0,0,2.779773,G7
0.012008,1.519801,75.410538,1.655546,0,0,0,1.82029,0,0,0,8.375031,G7
0.009612,0.944019,79.038055,1.520151,0,0,0,1.475261,0,0,0,3.456703,G7
0.010206,1.060393,70.284538,1.364512,0,0,0,1.436626,0,0,0,4.002843,G7
0.009102,1.367308,31.84795,1.323037,1.493186,0,0,1.272959,4.541636,0,0,3.928185,G8
0.010508,1.373388,87.031273,1.71756,1.833586,0,0,0,5.742901,0,0,0,G8
0.009269,1.426975,31.582924,1.361092,1.63912,0,0,1.398472,4.830408,0,0,4.076703,G8
0.010403,1.478418,88.510788,1.785503,1.842664,0,0,0,6.109691,0,0,0,G8
0.008864,1.471149,34.360435,1.48761,1.578832,0,0,1.496457,5.293864,0,0,4.627994,G8
0.010401,1.272335,81.049911,1.585537,1.689582,0,0,0,5.009287,0,0,0,G8
0.009289,1.179867,31.013523,1.26745,1.388645,0,0,1.307492,4.37043,0,0,3.820997,G8
0.010335,1.259652,71.723534,1.406872,1.484627,0,0,0,5.031978,0,0,0,G8
0.008903,1.236284,32.058792,1.319997,1.435065,0,0,1.356813,4.664822,0,0,4.101339,G8
0.008751,1.343418,33.020748,1.435508,1.530495,0,0,1.41083,4.909639,0,0,4.212711,G8
0.009334,1.504573,16.910755,1.224136,1.324927,1.553876,1.238791,0,5.090964,5.258568,4.605475,0,G9
0.007592,1.340814,13.740136,1.074618,1.262787,1.361333,1.338076,1.159443,4.029668,4.13579,4.052598,3.695958,G9
0.007429,1.295621,14.779031,1.047285,1.206853,1.33998,1.340826,1.159624,3.54582,3.685647,3.625459,3.334631,G9
0.008589,1.412484,11.713248,1.217972,1.308934,1.436707,1.390488,1.196891,4.680151,4.839375,4.706978,4.295236,G9
1,0.600263,1,0.999997,0,0,0,0,0,0,0,0,G9
0.008053,1.42811,11.588235,1.247905,1.352915,1.45647,1.431388,1.293315,5.102254,5.15669,4.987046,4.58841,G9
1,0.610598,1,1.000001,0,0,0,0,0,0,0,0,G9
0.008228,1.178239,11.072308,1.33949,1.335647,1.51667,1.479029,1.277968,3.961159,4.167908,4.034494,3.587493,G9
0.008337,1.352818,10.192496,1.382982,1.337295,1.551566,1.540406,1.369454,4.483907,4.720399,4.584064,4.103108,G9
0.008789,1.510261,16.426311,1.243544,1.592666,1.479567,1.313366,0,5.240202,5.070769,4.699021,0,G9
1,0.635808,1,0,0,0,0,0,0,0,0,0,G1
1,0.778669,1,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,G1
1,0.81432,1,0,0,0,0,0,0,0,0,0,G1
1,0.864201,1,0,0,0,0,0,0,0,0,0,G1
1,0.786069,1,0,0,0,0,0,0,0,0,0,G1
1,0.671906,1,0,0,0,0,0,0,0,0,0,G1
1,0.71264,1,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,G1
0.01326,0.79501,19.429249,0,1.231878,1.262241,0,0.879664,1.747296,1.937189,0,1.347058,G0
0.012111,1.055807,22.119347,0,1.213938,1.259384,0,0.978552,1.956516,2.218632,0,1.700621,G0
0.011576,1.026527,22.894224,0,1.223794,1.256832,0,0.950819,2.161407,2.43873,0,1.93843,G0
0.011578,1.053928,23.186516,0,1.295857,1.321249,0,0.995977,2.057047,2.383836,0,1.730752,G0
0.013132,1.283488,19.955507,0,1.549778,1.569884,0,0.60851,1.960845,2.540933,0,1.456636,G0
0.01185,0.965162,22.108004,0,1.221951,1.242878,0,0.906979,1.945522,2.194056,0,1.710254,G0
0.011932,0.956813,22.267647,0,1.179179,1.158923,0,0.969525,3.866393,3.99514,0,3.687164,G0
0.011733,0.999659,22.644402,0,1.218788,1.236561,0,0.961814,3.266629,3.53889,0,3.087073,G0
0.012033,1.013991,21.962376,0,1.226584,1.255798,0,0.934295,2.081799,2.343077,0,1.830847,G0
0.013269,1.032953,19.529358,0,1.31894,1.312376,0,0.900717,1.955744,2.154966,0,1.429949,G0
1,0.69643,1,0,0.999997,0,0,0,0.514539,0,0,0,G2
1,-0.381329,1,0,1.000006,0,0,0,0.680598,0,0,0,G2
0,0,0,0,0,0,0,0,0,0,0,0,G2
0,0,0,0,0,0,0,0,0,0,0,0,G2
1,0.780266,1,0,1.000004,0,0,0,0.651294,0,0,0,G2
1,0.768555,1,0,0.999998,0,0,0,0.708041,0,0,0,G2
0.019961,1.024957,18.586517,0,1.390463,0,0,0,1.044729,0,0,0,G2
0.019659,1.0396,18.952829,0,1.409498,0,0,0,1.10383,0,0,0,G2
0.019598,1.060463,19.019991,0,1.402402,0,0,0,1.345424,0,0,0,G2
0.019374,0.939747,20.502623,0,1.410377,0,0,0,0.845885,0,0,0,G2
1,0.843878,1,0,0,0,0,1,0,0,0,1.761956,G3
1,0.808117,1,0,0,0,0,0.999993,0,0,0,2.427105,G3
1,0.901246,1,0,0,0,0,0.999995,0,0,0,1.959951,G3
1,0.9465,1,0,0,0,0,0.999996,0,0,0,2.267077,G3
1,0.887323,1,0,0,0,0,1.000003,0,0,0,2.859358,G3
1,0.942052,1,0,0,0,0,0.999998,0,0,0,2.23115,G3
0.01554,1.277046,43.806084,0,0,0,0,0.958515,0,0,0,2.81739,G3
1,0.864457,1,0,0,0,0,1,0,0,0,1.703367,G3
1,0.831736,1,0,0,0,0,0.999993,0,0,0,1.72396,G3
1,0.8412,1,0,0,0,0,0.999996,0,0,0,1.93749,G3
0.012328,1.007392,53.363533,1.044876,1.371887,0,0,0,1.701352,0,0,0,G4
0.011536,1.03995,55.445675,1.033141,1.32875,0,0,0,1.861036,0,0,0,G4
0.011128,0.995725,57.632858,1.035887,1.331885,0,0,0,1.650402,0,0,0,G4
0.016534,1.404686,18.210123,1.251108,1.613654,0,0,0,2.086187,0,0,0,G4
0.017193,1.494884,17.409941,1.24083,1.683763,0,0,0,2.213711,0,0,0,G4
0.015802,1.271162,18.754187,1.275016,1.635225,0,0,0,2.075226,0,0,0,G4
0.015629,1.291995,19.466267,1.28149,1.620566,0,0,0,2.487475,0,0,0,G4
0.015646,1.089693,19.616816,1.297518,1.662786,0,0,0,2.112467,0,0,0,G4
0.012082,0.903819,53.907883,1.055297,1.348256,0,0,0,1.96664,0,0,0,G4
0.01208,0.939392,54.080479,1.05845,1.351984,0,0,0,2.053533,0,0,0,G4
0.0152,0.887494,35.383423,0,1.075698,1.07374,0,0,1.905487,1.854031,0,0,G5
0.015219,0.925899,35.510876,0,1.043374,1.082661,0,0,2.062269,2.112619,0,0,G5
0.014849,0.88639,36.217762,0,1.0362,1.077833,0,0,1.831598,1.917133,0,0,G5
0.011702,2.267486,28.439514,0,2.48581,2.645688,0,0,3.896853,4.667479,0,0,G5
0.015345,0.888379,35.175339,0,1.021521,1.085006,0,0,2.131417,2.21418,0,0,G5
0.015076,0.867388,36.02306,0,1.035018,1.089704,0,0,2.620394,2.695342,0,0,G5
0.015137,0.891259,35.848511,0,1.045831,1.087224,0,0,2.040568,2.083658,0,0,G5
0.015417,0.913023,35.379021,0,1.072834,1.091221,0,0,1.926158,1.955444,0,0,G5
0.015915,0.896674,33.79295,0,1.047691,1.07664,0,0,1.899811,1.933576,0,0,G5
0.01531,0.843593,35.247337,0,1.062924,1.079592,0,0,1.763835,1.727625,0,0,G5
0.016703,0.949435,15.573933,0,1.039738,1.102574,0.968234,0,1.958068,2.065973,1.866892,0,G6
0.018297,1.252604,14.413544,0,1.289743,1.354535,0.600769,0,2.57332,2.739355,1.668595,0,G6
0.014526,0.811824,17.945267,0,1.053252,1.096192,1.002217,0,1.801968,1.916539,1.738299,0,G6
0.015055,0.937772,17.476412,0,1.104144,1.13758,0.98187,0,1.997224,2.151975,1.88613,0,G6
0.01664,1.043624,15.826111,0,1.061707,1.123517,1.003842,0,2.32594,2.444495,2.179388,0,G6
0.016096,0.979963,16.318581,0,1.039276,1.114566,1.001763,0,1.909319,2.065951,1.888517,0,G6
0.016718,0.917098,15.603787,0,1.032271,1.097488,0.996239,0,2.470532,2.606683,2.449893,0,G6
0.016642,0.901396,15.716647,0,1.040026,1.105346,0.986661,0,2.815992,2.974155,2.799173,0,G6
0.016364,0.866462,16.018442,0,1.030374,1.105451,0.998874,0,2.799346,2.95688,2.783392,0,G6
0.016364,0.956087,16.020119,0,1.016862,1.106096,0.989152,0,2.559534,2.695724,2.51478,0,G6
0.009295,0.518405,80.422737,1.48451,0,0,0,1.49518,0,0,0,0.956591,G7
0.010929,0.908251,41.267994,1.559991,0,0,0,0.991848,0,0,0,1.384579,G7
0.010705,0.783362,40.350845,1.528112,0,0,0,1.00054,0,0,0,1.711591,G7
0.010597,0.900812,74.734032,1.426544,0,0,0,1.593801,0,0,0,2.848105,G7
0.010411,0.870361,76.033142,1.483248,0,0,0,1.586852,0,0,0,2.606421,G7
0.010765,0.805686,40.558052,1.558043,0,0,0,0.992799,0,0,0,1.479126,G7
0.01063,1.08874,26.645836,1.539908,0,0,0,1.049828,0,0,0,1.642864,G7
0.012277,1.285265,26.544914,1.785498,0,0,0,1.063711,0,0,0,0.900476,G7
0.012637,1.449588,27.584511,1.8943,0,0,0,1.034967,0,0,0,1.145414,G7
0.012722,1.142757,26.861992,1.846189,0,0,0,1.083256,0,0,0,0.09792,G7
0.014992,1.977088,17.067598,2.000286,2.868088,0,0,2.240181,4.25606,0,0,3.400037,G8
0.014084,1.033955,40.308922,1.181476,0.970399,0,0,0,1.822753,0,0,0,G8
0.010925,1.165574,25.895041,1.08657,1.429004,0,0,1.213702,3.169844,0,0,2.620257,G8
0.011431,0.956686,24.940514,1.07441,1.459263,0,0,1.144318,2.549367,0,0,1.883199,G8
0.011112,0.993523,25.743473,1.064701,1.444367,0,0,1.169844,2.434833,0,0,1.788014,G8
0.011275,1.031452,25.42441,1.079627,1.438079,0,0,1.13037,2.043718,0,0,1.370904,G8
0.011513,1.177462,24.691273,1.028129,1.474874,0,0,1.198355,1.934845,0,0,1.312227,G8
0.01142,1.209937,24.97603,1.024393,1.477353,0,0,1.210169,2.637744,0,0,1.996173,G8
0.012065,1.195472,17.722002,1.139236,1.58053,0,0,0.867405,4.077566,0,0,3.276005,G8
0.016023,2.391885,18.097288,2.261702,3.207307,0,0,2.541826,6.520862,0,0,5.495451,G8
0.009365,1.349664,10.475904,0.987534,1.232345,1.450273,1.37026,1.241736,3.855342,4.085877,3.918613,3.474774,G9
0.009064,1.367724,10.736491,0.980029,1.238618,1.403978,1.339413,1.234226,3.232668,3.410392,3.26334,2.84068,G9
0.00898,1.302834,10.215485,1.012862,1.358075,1.392547,1.319458,1.194364,3.593818,3.676095,3.54543,3.163843,G9
0.009104,1.302651,10.836102,0.963031,1.214734,1.409902,1.352957,1.209856,3.72731,3.910608,3.753439,3.336542,G9
0.0092,1.310955,10.868353,0.994655,1.250605,1.382166,1.337317,1.207755,4.125418,4.277683,4.147567,3.761934,G9
0.0099,1.300923,9.782095,1.013144,1.311636,1.397076,1.348434,1.1699,3.664258,3.766043,3.626928,3.182909,G9
0.009947,1.339228,10.083056,1.022283,1.340071,1.405765,1.300771,1.113184,3.154746,3.258385,3.08598,2.679865,G9
0.010154,1.136419,25.220232,0.856836,1.26107,1.239719,0,0,2.877027,2.769956,0,0,G9
0.010568,1.357636,25.929398,1.120799,1.566854,1.446449,0,0,5.471673,4.837096,0,0,G9
0.009201,1.307832,10.531284,0.97992,1.245702,1.405805,1.372911,1.222945,3.898855,4.064389,3.943558,3.506793,G9
0,0,0,0,0,0,0,0,0,0,0,0,G1
1,-0.436434,1,0,0,0,0,0,0,0,0,0,G1
0.084103,-0.577997,5.416896,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,G1
1,0.62587,1,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,G1
0.012041,1.653102,4.915854,0,1.957854,2.010384,0,1.364175,3.200804,3.866323,0,3.432589,G0
0.013015,1.011152,19.595537,0,1.224617,1.244116,0,0.864754,2.869781,3.06101,0,2.529032,G0
0.013016,1.065574,19.243837,0,1.229299,1.240213,0,0.836934,3.455971,3.626464,0,3.077377,G0
0.02434,3.374366,7.804761,0,4.023008,4.10746,0,3.410824,7.758927,8.722976,0,1.401234,G0
0.012943,0.929811,19.793972,0,1.190412,1.207986,0,0.880788,1.929311,2.121263,0,1.66838,G0
0.01283,0.937605,20.028419,0,1.208405,1.229555,0,0.881295,1.962166,2.130976,0,1.614336,G0
0.013519,0.962773,19.043934,0,1.226237,1.254268,0,0.87878,2.668828,2.823006,0,2.236153,G0
0.023369,0.848819,22.023912,0,1.026995,1.029347,0,0,2.519809,2.537647,0,0,G0
0.012594,1.621572,1.973912,0,2.166436,2.158539,0,1.457891,5.07996,5.543409,0,4.864698,G0
0.012185,1.746894,4.449722,0,2.065204,2.078488,0,1.363215,5.056568,5.529736,0,4.884039,G0
1,0.691537,1,0,1.000004,0,0,0,0.782167,0,0,0,G2
0,0,0,0,0,0,0,0,0,0,0,0,G2
0,0,0,0,0,0,0,0,0,0,0,0,G2
0,0,0,0,0,0,0,0,0,0,0,0,G2
1,0.645461,1,0,0.999996,0,0,0,0.811374,0,0,0,G2
1,0.73004,1,0,1.000002,0,0,0,0.624098,0,0,0,G2
1,0.817998,1,0,1.000004,0,0,0,0.96388,0,0,0,G2
0,0,0,0,0,0,0,0,0,0,0,0,G2
1,0.715518,1,0,1.000001,0,0,0,0.669806,0,0,0,G2
1,0.765787,1,0,1.000002,0,0,0,0.819212,0,0,0,G2
0.021951,2.687721,49.595951,0,0,0,0,1.767377,0,0,0,5.588802,G3
0,0,0,0,0,0,0,0,0,0,0,0,G3
0.016166,1.57313,53.400436,0,0,0,0,2.123707,0,0,0,3.357691,G3
1,0.854765,1,0,0,0,0,0.999996,0,0,0,1.962697,G3
1,0.895916,1,0,0,0,0,1,0,0,0,2.435554,G3
1,0.85043,1,0,0,0,0,0.999998,0,0,0,2.509979,G3
1,0.866428,1,0,0,0,0,1,0,0,0,2.32126,G3
1,0.823966,1,0,0,0,0,1.000006,0,0,0,2.432033,G3
1,0.803636,1,0,0,0,0,1.000002,0,0,0,2.480385,G3
1,0.808144,1,0,0,0,0,0.999999,0,0,0,2.548279,G3
0.012878,1.103987,50.252277,1.044579,1.342763,0,0,0,2.217389,0,0,0,G4
0.01306,1.115498,48.429398,1.02026,1.317112,0,0,0,2.281158,0,0,0,G4
0.01925,1.460319,14.786871,1.321736,1.651423,0,0,0,3.216953,0,0,0,G4
0.012842,1.124563,50.12207,1.062853,1.324382,0,0,0,2.394318,0,0,0,G4
1,0.261743,1,0.999999,0,0,0,0,0,0,0,0,G4
0.012948,1.15236,49.292255,1.073794,1.305825,0,0,0,2.670159,0,0,0,G4
1,0.149529,1,1,0,0,0,0,0,0,0,0,G4
0.022598,2.584348,77.524254,2.426124,3.016753,0,0,0,5.19557,0,0,0,G4
0.012736,1.120862,50.425652,1.064021,1.320108,0,0,0,2.264404,0,0,0,G4
0.024596,3.074546,34.100098,2.693211,3.576104,0,0,0,6.120978,0,0,0,G4
0.038341,1.608927,30.171564,0,2.199013,1.639511,0,0,3.765091,0.737544,0,0,G5
0.012941,1.275522,9.168107,0,2.141881,2.164818,0,0,3.384465,3.725769,0,0,G5
0.013449,1.844815,11.501387,0,2.333805,2.369005,0,0,5.593565,5.910605,0,0,G5
0.019839,0.717603,26.184465,0,1.039329,1.026227,0,0,2.093861,2.101737,0,0,G5
0.012127,1.570754,18.09214,0,2.224451,2.196905,0,0,4.059782,4.40859,0,0,G5
0.019658,0.701412,26.263199,0,1.031068,1.032578,0,0,1.656116,1.69653,0,0,G5
0.018716,0.731091,27.691299,0,1.036524,1.036543,0,0,1.798941,1.804901,0,0,G5
0.018838,0.831773,27.695864,0,1.043691,1.033134,0,0,2.568328,2.561266,0,0,G5
0.018583,0.82368,28.322369,0,1.053787,1.028065,0,0,3.158669,3.18687,0,0,G5
0.039843,1.71031,31.533884,0,2.297198,1.865203,0,0,5.362423,1.921971,0,0,G5
0.013051,0.829726,19.914471,0,1.077399,1.096178,0.999451,0,1.579357,1.806409,1.735807,0,G6
0.012564,1.753694,7.737838,0,2.026054,2.017691,1.018541,0,2.820252,3.387056,0.9349,0,G6
0.01325,0.876376,19.64415,0,1.049706,1.090622,1.000589,0,1.585589,1.715658,1.609502,0,G6
0.009914,1.39442,7.008226,0,1.657774,1.69472,1.652385,0,2.747815,2.996877,2.968055,0,G6
0.013093,0.7709,19.759106,0,1.060436,1.085205,0.994053,0,1.516607,1.69428,1.633131,0,G6
0.013391,0.785042,19.387762,0,1.053888,1.09321,0.987669,0,1.645035,1.852884,1.783288,0,G6
0.010097,1.313331,5.810316,0,1.63105,1.675169,1.546914,0,2.539201,2.884054,2.807809,0,G6
0.012,0.913673,3.458053,0,1.930304,1.973412,1.798294,0,2.169876,2.692333,2.55109,0,G6
0.012938,0.865698,20.15057,0,1.092186,1.095433,1.04096,0,2.311286,2.460773,2.325623,0,G6
0.013074,0.913107,20.21986,0,1.102524,1.072247,1.014559,0,2.888182,2.963516,2.827507,0,G6
0.010995,0.783446,53.090115,1.168152,0,0,0,1.134924,0,0,0,2.306137,G7
0.018794,0.71422,28.018694,1.2235,0,0,0,0.873493,0,0,0,1.75715,G7
1,0.682302,1,0.999999,0,0,0,0,0,0,0,0,G7
0.011389,0.982685,30.324524,1.216756,0,0,0,0.883307,0,0,0,2.023843,G7
0.011811,0.829572,30.072052,1.285367,0,0,0,0.929975,0,0,0,1.875043,G7
0.013733,1.705116,5.104064,2.118214,0,0,0,1.404917,0,0,0,4.073871,G7
0.011211,1.017446,53.317043,1.137744,0,0,0,1.197526,0,0,0,2.696643,G7
0.025956,-4.037921,26.40741,5.048185,0,0,0,4.890343,0,0,0,12.381773,G7
0.027612,3.744629,13.585074,4.32368,0,0,0,2.149859,0,0,0,4.264287,G7
0.015468,2.149701,9.604671,2.969179,0,0,0,3.065298,0,0,0,6.370481,G7
0.014554,1.070538,19.364756,1.055774,1.485595,0,0,1.143429,3.189894,0,0,2.539773,G8
0.016555,1.079445,35.649731,0.944878,1.26286,0,0,0,2.908525,0,0,0,G8
0.013906,1.041452,20.332781,1.07555,1.432347,0,0,1.095186,3.310952,0,0,2.756505,G8
0.040954,-5.929143,69.943497,4.60176,5.814095,0,0,4.274877,16.406713,0,0,14.285071,G8
0.0143,1.018776,19.7327,1.035106,1.45382,0,0,1.1048,2.93282,0,0,2.30768,G8
0.0143,1.080394,19.846165,1.085714,1.494149,0,0,1.140944,3.216164,0,0,2.59698,G8
0.013716,1.171522,20.634821,1.063753,1.448928,0,0,1.112618,4.019603,0,0,3.459401,G8
0.013726,1.207806,20.530083,1.088946,1.408298,0,0,1.116171,5.407362,0,0,4.905256,G8
0.014045,1.092935,20.212069,1.141094,1.456139,0,0,1.10237,4.469506,0,0,3.892395,G8
0.01463,1.049074,19.471188,1.128674,1.494479,0,0,1.10443,3.858044,0,0,3.208477,G8
0.009553,1.059274,8.73686,1.013167,1.392894,1.382275,1.35018,1.229319,3.583256,3.591082,3.476862,2.806365,G9
0.010038,0.910056,8.881664,1.024812,1.35373,1.427096,1.321351,1.156444,2.19238,2.324479,2.169836,1.536889,G9
0.010154,1.12397,7.105643,1.110522,1.454101,1.464803,1.416359,1.270068,3.13889,3.205146,3.083863,2.320241,G9
0.01013,1.244326,15.284383,1.201026,1.455374,1.441992,1.242956,0,5.136301,5.129916,4.419653,0,G9
0.010769,0.988158,16.43553,1.235293,1.176536,1.119924,1.038524,0,4.039729,4.006492,3.576392,0,G9
0.010833,0.742008,15.619578,1.193114,1.217632,1.120491,0.994459,0,2.401072,2.326977,1.889486,0,G9
0.009926,0.971874,8.800071,1.038205,1.353935,1.416966,1.341328,1.193952,2.764143,2.869909,2.733367,2.075783,G9
0.009939,0.942821,9.380643,1.047191,1.30295,1.417088,1.328558,1.148161,2.336564,2.509696,2.377496,1.753782,G9
0.010001,0.964272,9.375968,0.967904,1.346189,1.399944,1.260825,1.083267,2.628773,2.724137,2.545563,1.978785,G9
