@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R1,4,6,12-17,22'

@attribute numFingers numeric
@attribute Max_X numeric
@attribute fingersAreas numeric
@attribute fingertipAngles_f1 numeric
@attribute fingertipAngles_f2 numeric
@attribute fingertipAngles_f3 numeric
@attribute fingertipAngles_f4 numeric
@attribute fingertipAngles_f5 numeric
@attribute fingertipElevation_f1 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data
0,0,0,0,107.709633,0,0,0,0,G2
1,-0.358454,1,0,47.264568,0,0,0,0,G2
1,0.541412,1,0,0,0,0,171.153748,0,G3
0,0,0,0,0,0,0,144.837021,0,G3
1,0.462858,1,0,0,0,0,172.400543,0,G3
1,0.659998,1,0,0,0,0,171.456879,0,G3
0,0,0,0,0,0,0,139.062225,0,G3
1,0.476256,1,0,0,0,0,172.304108,0,G3
1,0.392557,1,0,0,0,0,172.732635,0,G3
1,0.390461,1,0,0,0,0,171.895767,0,G3
1,0.306161,1,0,0,0,0,170.648392,0,G3
1,0.465563,1,0,0,0,0,171.617432,0,G3
2,-0.308619,68.443039,144.155319,153.658112,0,0,0,1.955073,G4
2,-0.193841,73.717079,150.701721,158.119293,0,0,0,2.721886,G4
1,0.761958,1,137.432404,103.332138,0,0,0,1.400174,G4
1,-0.870415,1,144.07576,119.915398,0,0,0,1.687941,G4
2,-0.442109,36.890366,90.996857,90.841606,0,0,0,1.193801,G4
3,2.217399,99.374763,132.467941,131.626663,0,0,0,5.929871,G4
3,0.025788,54.74033,155.962585,139.936996,0,0,0,5.095947,G4
2,-0.216412,64.424599,162.99614,140.126602,0,0,0,2.639253,G4
2,-0.337742,69.695953,139.200562,155.319244,0,0,0,1.892025,G4
2,-0.201674,73.834328,106.547577,110.663086,0,0,0,1.015194,G4
1,0.057267,1,0,164.074326,121.83271,0,0,0,G5
2,0.064748,25.616379,0,145.479355,152.739304,0,0,0,G5
2,-0.022499,25.629665,0,163.900574,170.32338,0,0,0,G5
2,-0.009446,25.679893,0,162.605179,169.970291,0,0,0,G5
2,0.006147,27.027773,0,155.845551,163.895401,0,0,0,G5
1,0.019301,1,0,165.836548,117.268494,0,0,0,G5
2,0.039962,27.902817,0,172.524399,173.620392,0,0,0,G5
1,0.032045,1,0,176.36644,132.990967,0,0,0,G5
0,0,0,0,125.737183,125.737183,0,0,0,G5
1,0.08606,1,0,163.471024,121.620369,0,0,0,G5
3,0.139896,18.979395,0,162.548111,171.519302,164.818192,0,0,G6
1,0.216966,1,0,176.308212,138.512131,138.512131,0,0,G6
3,0.157546,18.622959,0,159.927841,176.875122,164.071777,0,0,G6
3,0.14616,18.366129,0,159.776962,175.001617,162.559204,0,0,G6
3,0.141615,17.936562,0,159.760223,173.856689,162.611252,0,0,G6
3,0.212588,17.76836,0,165.313492,172.76358,168.305649,0,0,G6
3,0.417174,17.800419,0,163.474945,173.360367,165.86879,0,0,G6
2,-0.166341,38.0121,0,165.097717,166.641983,127.405434,0,0,G6
3,-0.073798,18.599554,0,164.282593,172.933884,166.22258,0,0,G6
3,0.082209,18.201717,0,169.11496,173.774216,171.354416,0,0,G6
2,0.844688,69.908165,147.085251,0,0,0,148.129181,2.482913,G7
2,0.811327,77.238541,157.913773,0,0,0,159.994034,3.797475,G7
2,0.842655,79.161362,157.507599,0,0,0,159.018936,3.830956,G7
2,1.014016,83.083595,153.025574,0,0,0,153.746048,3.459963,G7
2,0.91576,78.348076,161.066452,0,0,0,162.288223,4.532323,G7
3,0.86249,44.688377,163.005173,0,0,0,173.747086,5.440592,G7
2,0.508107,78.815231,142.965393,0,0,0,147.75795,2.534494,G7
2,0.839336,75.410538,167.050568,0,0,0,170.811218,7.381264,G7
2,0.644728,79.038055,152.067429,0,0,0,156.85112,3.23059,G7
2,0.29487,70.284538,160.481659,0,0,0,162.284927,3.801165,G7
3,0.483445,31.84795,158.821487,176.447128,0,0,163.072083,3.647359,G8
2,0.829864,87.031273,161.688507,162.615356,0,0,139.254593,5.400174,G8
3,0.567829,31.582924,158.159668,177.020065,0,0,161.198853,3.655792,G8
2,0.761607,88.510788,161.941376,163.952332,0,0,140.021179,5.708855,G8
3,0.642846,34.360435,159.03038,177.220047,0,0,162.234543,4.143015,G8
2,0.283297,81.049911,159.653076,162.882004,0,0,140.35405,4.522891,G8
3,0.607018,31.013523,160.37233,178.498825,0,0,161.39592,3.672434,G8
2,0.633312,71.723534,164.474838,165.52327,0,0,141.323166,4.833115,G8
3,0.447865,32.058792,160.407837,175.823914,0,0,161.995728,3.885646,G8
3,0.622475,33.020748,158.70433,176.894485,0,0,161.318726,3.950901,G8
4,0.530258,16.910755,162.803726,176.261475,172.393829,166.18251,148.512497,4.140366,G9
5,0.579419,13.740136,159.451492,174.992706,175.693207,170.935547,165.446472,3.036631,G9
5,0.695679,14.779031,156.939423,173.548355,173.992798,168.818237,164.833115,2.651221,G9
5,0.791347,11.713248,160.515213,174.034134,176.175858,171.212189,166.561081,3.556464,G9
1,-0.799085,1,157.939636,116.752312,116.752312,116.752312,116.752312,1.899161,G9
5,0.850534,11.588235,161.816162,175.978546,173.015305,168.582962,165.080215,3.914217,G9
1,-0.788799,1,158.935501,137.769104,137.769104,137.769104,137.769104,2.414654,G9
5,0.653589,11.072308,153.579422,171.220642,172.619476,167.022858,161.291168,2.618071,G9
5,0.904786,10.192496,156.853958,171.922501,172.539795,167.258636,161.931335,3.132445,G9
4,0.522232,16.426311,161.289032,176.33786,172.828476,167.542267,146.254669,3.590008,G9
1,-0.768864,1,0,0,0,0,0,0,G1
1,-0.616738,1,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,G1
1,-0.553091,1,0,0,0,0,0,0,G1
1,-0.50255,1,0,0,0,0,0,0,G1
1,-0.617926,1,0,0,0,0,0,0,G1
1,-0.739105,1,0,0,0,0,0,0,G1
1,-0.698455,1,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,G1
3,0.426401,19.429249,0,137.589539,165.491531,0,139.746552,0,G0
3,0.588854,22.119347,0,144.060455,173.66011,0,146.252029,0,G0
3,0.471281,22.894224,0,147.897171,171.931229,0,153.66568,0,G0
3,0.58508,23.186516,0,141.884567,172.789322,0,145.147034,0,G0
4,0.857719,19.955507,0,129.621063,159.340668,0,157.472794,0,G0
3,0.270615,22.108004,0,143.083313,172.259659,0,152.125031,0,G0
3,0.302741,22.267647,0,167.66539,174.647568,0,169.756104,0,G0
3,0.347208,22.644402,0,161.986633,177.714569,0,166.327347,0,G0
3,0.385278,21.962376,0,146.546463,177.953003,0,152.492371,0,G0
3,0.543801,19.529358,0,139.489548,165.725128,0,140.957748,0,G0
1,-0.215154,1,0,48.859921,0,0,0,0,G2
1,0.795045,1,0,124.367477,0,0,0,0,G2
0,0,0,0,111.95285,0,0,0,0,G2
0,0,0,0,81.93309,0,0,0,0,G2
1,-0.186899,1,0,69.507507,0,0,0,0,G2
1,-0.122636,1,0,69.701866,0,0,0,0,G2
2,0.024574,18.586517,0,66.973549,0,0,0,0,G2
2,0.129716,18.952829,0,68.05513,0,0,0,0,G2
2,0.138083,19.019991,0,94.080872,0,0,0,0,G2
2,0.035481,20.502623,0,48.285732,0,0,0,0,G2
1,-0.108901,1,0,0,0,0,171.664322,0,G3
1,0.483535,1,0,0,0,0,165.615784,0,G3
1,0.313593,1,0,0,0,0,171.766647,0,G3
1,0.147303,1,0,0,0,0,171.608826,0,G3
1,0.40733,1,0,0,0,0,171.026321,0,G3
1,0.261888,1,0,0,0,0,170.609177,0,G3
2,0.72652,43.806084,0,0,0,0,162.612946,0,G3
1,0.20873,1,0,0,0,0,168.759064,0,G3
1,0.04827,1,0,0,0,0,166.942734,0,G3
1,0.102806,1,0,0,0,0,167.513641,0,G3
2,-0.373879,53.363533,123.108398,127.804382,0,0,0,1.225886,G4
2,-0.434245,55.445675,136.210159,138.401566,0,0,0,1.480442,G4
2,-0.413022,57.632858,130.734604,126.305679,0,0,0,1.364171,G4
3,-0.037151,18.210123,132.228668,130.718704,0,0,0,1.681572,G4
3,-0.000103,17.409941,120.209167,143.173737,0,0,0,1.307954,G4
3,-0.060346,18.754187,114.908333,141.555405,0,0,0,1.213791,G4
3,-0.033475,19.466267,132.090958,154.048996,0,0,0,1.6922,G4
3,-0.013315,19.616816,115.810112,137.619339,0,0,0,1.249614,G4
2,-0.447857,53.907883,136.935532,141.645401,0,0,0,1.54044,G4
2,-0.45698,54.080479,138.435791,145.068253,0,0,0,1.591134,G4
2,0.264451,35.383423,0,157.298141,151.47937,0,0,0,G5
2,0.30508,35.510876,0,161.109604,162.240845,0,0,0,G5
2,0.161662,36.217762,0,155.217468,161.949905,0,0,0,G5
3,1.997881,28.439514,0,141.009811,172.37114,0,0,0,G5
2,0.207566,35.175339,0,162.550568,164.515289,0,0,0,G5
2,0.263061,36.02306,0,167.017761,168.560501,0,0,0,G5
2,0.295778,35.848511,0,160.789627,160.651489,0,0,0,G5
2,0.302774,35.379021,0,155.125366,156.202133,0,0,0,G5
2,0.291047,33.79295,0,157.062805,157.414474,0,0,0,G5
2,0.345031,35.247337,0,155.830521,148.050812,0,0,0,G5
3,0.054545,15.573933,0,162.40625,177.350327,160.028183,0,0,G6
4,0.341613,14.413544,0,159.886642,176.202621,159.057236,0,0,G6
3,0.183539,17.945267,0,154.972549,177.50769,153.820938,0,0,G6
3,0.132188,17.476412,0,153.533035,176.96228,155.902496,0,0,G6
3,0.299692,15.826111,0,164.910446,175.305054,158.253128,0,0,G6
3,0.177524,16.318581,0,156.659332,174.431229,159.132797,0,0,G6
3,0.124065,15.603787,0,165.980728,178.975113,167.706619,0,0,G6
3,0.15952,15.716647,0,166.905579,177.663925,169.824829,0,0,G6
3,0.093541,16.018442,0,167.622284,178.443542,168.931641,0,0,G6
3,0.025135,16.020119,0,169.025162,178.344711,167.502808,0,0,G6
2,1.095423,80.422737,89.516724,0,0,0,89.543671,1.011761,G7
3,1.109315,41.267994,109.851532,0,0,0,138.285965,1.229554,G7
3,0.911542,40.350845,122.52356,0,0,0,149.83226,1.618637,G7
2,0.83926,74.734032,144.159943,0,0,0,147.573868,2.434556,G7
2,1.004514,76.033142,144.15802,0,0,0,142.55423,2.527049,G7
3,0.944776,40.558052,113.6362,0,0,0,142.817612,1.356734,G7
4,1.053624,26.645836,116.994324,0,0,0,154.234924,1.531411,G7
4,1.353392,26.544914,86.270149,0,0,0,73.566414,0.710862,G7
4,1.458554,27.584511,96.252411,0,0,0,115.578766,1.005833,G7
4,1.367796,26.861992,62.188419,0,0,0,24.563068,0.214614,G7
4,1.775124,17.067598,131.880173,155.757553,0,0,142.389297,2.618955,G8
2,0.288527,40.308922,176.51709,149.82019,0,0,117.965179,2.265623,G8
3,0.32148,25.895041,153.720856,177.791595,0,0,154.311493,2.406044,G8
3,0.155239,24.940514,143.850189,179.438721,0,0,142.884216,1.811319,G8
3,0.274512,25.743473,141.700806,179.223923,0,0,139.17041,1.712801,G8
3,0.31914,25.42441,128.657257,175.82991,0,0,126.06456,1.375134,G8
3,0.479261,24.691273,122.116074,157.150238,0,0,118.952278,1.172054,G8
3,0.500359,24.97603,147.015656,173.247665,0,0,142.935913,1.856683,G8
4,0.446692,17.722002,159.412155,176.559464,0,0,171.015945,3.146877,G8
4,2.231167,18.097288,151.090042,169.06192,0,0,157.355667,4.657246,G8
5,0.912641,10.475904,160.107834,174.631195,175.848938,169.01709,160.712158,2.886926,G9
5,0.795213,10.736491,155.288025,173.037949,174.72496,166.217316,155.481995,2.330731,G9
5,0.66777,10.215485,156.376144,170.923889,178.034958,170.251404,160.49585,2.448194,G9
5,0.777736,10.836102,160.238403,176.249603,174.238602,167.391861,160.448593,2.848297,G9
5,0.782084,10.868353,161.846405,174.749695,177.053833,170.403946,163.688889,3.191601,G9
5,0.792103,9.782095,157.581375,173.405853,175.455627,167.736404,160.304428,2.628631,G9
5,0.642047,10.083056,151.80928,169.919113,177.022842,167.159164,158.034683,2.091589,G9
3,-0.196212,25.220232,159.835266,172.978333,163.220871,128.067398,128.067398,2.244422,G9
3,0.671083,25.929398,165.539612,179.283447,164.180954,140.551788,140.551788,4.39732,G9
5,0.730756,10.531284,160.455063,175.313614,175.767273,169.007629,161.499741,2.917695,G9
0,0,0,0,0,0,0,0,0,G1
1,0.734957,1,0,0,0,0,0,0,G1
2,0.581342,5.416896,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,G1
1,-0.667931,1,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,G1
4,0.861251,4.915854,0,142.332962,156.281662,0,176.483307,0,G0
3,0.461436,19.595537,0,160.787567,176.201752,0,164.689804,0,G0
3,0.41388,19.243837,0,165.657059,177.942795,0,168.724884,0,G0
5,1.781367,7.804761,0,150.5522,166.814194,0,173.651367,0,G0
3,0.36219,19.793972,0,145.580276,172.613708,0,153.259186,0,G0
3,0.457707,20.028419,0,147.211563,176.082993,0,150.05191,0,G0
3,0.568438,19.043934,0,160.27478,173.541443,0,159.658691,0,G0
2,-0.014742,22.023912,0,169.804062,172.109787,0,118.577271,0,G0
4,0.961435,1.973912,0,156.990738,168.490891,0,171.412415,0,G0
4,0.910031,4.449722,0,157.996826,168.456482,0,173.448929,0,G0
1,-0.303567,1,0,76.631912,0,0,0,0,G2
0,0,0,0,89.042931,0,0,0,0,G2
0,0,0,0,80.755898,0,0,0,0,G2
0,0,0,0,69.18438,0,0,0,0,G2
1,-0.315823,1,0,71.548866,0,0,0,0,G2
1,-0.111525,1,0,71.709641,0,0,0,0,G2
1,-0.210051,1,0,103.47081,0,0,0,0,G2
0,0,0,0,91.103645,0,0,0,0,G2
1,-0.267906,1,0,71.640854,0,0,0,0,G2
1,-0.291259,1,0,88.540672,0,0,0,0,G2
2,0.488662,49.595951,0,0,0,0,166.237671,0,G3
0,0,0,0,0,0,0,129.491425,0,G3
2,0.822483,53.400436,0,0,0,0,144.016495,0,G3
1,0.211315,1,0,0,0,0,158.374939,0,G3
1,0.257286,1,0,0,0,0,171.498672,0,G3
1,0.294008,1,0,0,0,0,170.657898,0,G3
1,0.213918,1,0,0,0,0,175.978775,0,G3
1,0.220521,1,0,0,0,0,175.711761,0,G3
1,0.164169,1,0,0,0,0,173.301636,0,G3
1,0.15234,1,0,0,0,0,173.116989,0,G3
2,-0.174105,50.252277,150.429321,146.845932,0,0,0,1.92091,G4
2,-0.122953,48.429398,151.068497,151.967392,0,0,0,1.920436,G4
3,0.18846,14.786871,149.284546,162.463028,0,0,0,2.536567,G4
2,-0.164602,50.12207,148.854691,155.270782,0,0,0,1.971869,G4
1,-0.94572,1,164.039963,121.562927,0,0,0,2.732039,G4
2,-0.150126,49.292255,156.950668,157.529922,0,0,0,2.382105,G4
1,-0.98293,1,160.305389,123.231895,0,0,0,2.472052,G4
3,-0.008154,77.524254,159.547836,145.906097,0,0,0,5.081109,G4
2,-0.180848,50.425652,149.536087,149.475662,0,0,0,1.956647,G4
3,1.36589,34.100098,149.248337,151.168625,0,0,0,4.982361,G4
3,-0.063246,30.171564,0,159.585892,140.582916,0,0,0,G5
3,0.972259,9.168107,0,143.613663,166.919235,0,0,0,G5
3,0.856262,11.501387,0,162.262024,175.851837,0,0,0,G5
2,-0.077521,26.184465,0,164.674164,168.732422,0,0,0,G5
3,1.139007,18.09214,0,150.221451,170.661713,0,0,0,G5
2,-0.078388,26.263199,0,153.755936,164.539261,0,0,0,G5
2,0.136451,27.691299,0,160.427338,161.81131,0,0,0,G5
2,0.192035,27.695864,0,169.577728,170.070908,0,0,0,G5
2,0.017633,28.322369,0,169.768372,174.412598,0,0,0,G5
3,-0.183645,31.533884,0,172.394135,155.047699,0,0,0,G5
3,0.15807,19.914471,0,137.544159,159.832901,170.051941,0,0,G6
3,0.699618,7.737838,0,134.139099,160.811981,148.163284,0,0,G6
3,0.125004,19.64415,0,143.387024,158.568115,155.211288,0,0,G6
4,0.641382,7.008226,0,146.291122,162.02771,164.283127,0,0,G6
3,0.070663,19.759106,0,136.786469,155.803604,167.825119,0,0,G6
3,-0.009252,19.387762,0,141.794525,159.851151,173.523972,0,0,G6
4,0.667561,5.810316,0,141.09761,160.426376,172.090042,0,0,G6
4,1.009683,3.458053,0,120.411613,145.582108,153.855331,0,0,G6
3,0.356224,20.15057,0,158.09407,177.012131,163.414658,0,0,G6
3,0.24501,20.21986,0,165.891724,177.825241,168.170349,0,0,G6
2,0.13836,53.090115,150.866776,0,0,0,160.885162,2.192527,G7
2,-0.164355,28.018694,155.767197,0,0,0,160.37619,2.098306,G7
1,-0.624042,1,168.665237,0,0,0,121.673973,2.219085,G7
3,0.329231,30.324524,152.517059,0,0,0,164.810593,2.246607,G7
3,0.38034,30.072052,146.980499,0,0,0,155.708069,2.159252,G7
4,0.793739,5.104064,154.054306,0,0,0,168.350494,4.417421,G7
2,0.29787,53.317043,157.02507,0,0,0,162.3703,2.523398,G7
4,3.005895,26.40741,149.606033,0,0,0,171.202713,9.964713,G7
4,1.964791,13.585074,167.218613,0,0,0,156.438965,8.969092,G7
3,2.029247,9.604671,150.675461,0,0,0,162.227585,5.735237,G7
3,0.470137,19.364756,155.961044,167.585281,0,0,154.640747,2.463647,G8
2,-0.328652,35.649731,164.735199,165.001053,0,0,125.562599,2.552048,G8
3,0.308704,20.332781,157.161865,170.758362,0,0,159.944489,2.625465,G8
4,4.830279,69.943497,160.598526,172.398666,0,0,167.251312,13.37717,G8
3,0.317377,19.7327,154.976593,167.743378,0,0,153.04213,2.271872,G8
3,0.478468,19.846165,153.281052,170.502991,0,0,156.384583,2.384982,G8
3,0.378964,20.634821,162.362473,173.528778,0,0,164.775055,3.270124,G8
3,0.325927,20.530083,168.317596,175.326996,0,0,170.124725,4.73728,G8
3,0.254995,20.212069,163.177673,172.859192,0,0,166.632324,3.730794,G8
3,0.253362,19.471188,159.355789,170.543777,0,0,162.294601,3.08476,G8
5,0.985754,8.73686,157.120651,172.834534,175.773148,167.556152,154.049805,2.605869,G9
5,0.842018,8.881664,133.280258,155.881714,174.511292,157.903885,132.996231,1.26991,G9
5,1.16038,7.105643,148.056274,166.669312,176.250839,165.183868,147.019974,1.967825,G9
4,1.081631,15.284383,164.037476,173.334671,173.708176,164.406357,134.793076,4.289592,G9
4,0.925269,16.43553,167.370453,174.924911,177.908005,164.890381,129.877228,3.943308,G9
4,0.821203,15.619578,152.74411,167.642105,174.411667,149.000046,112.352119,2.229235,G9
5,0.964381,8.800071,146.375336,166.564178,176.570923,164.338974,144.973083,1.830875,G9
5,0.810025,9.380643,138.483383,159.846359,173.930008,162.044144,139.356567,1.48832,G9
5,0.666753,9.375968,146.686935,165.483521,176.055344,166.265366,146.893875,1.746774,G9
5,0.702865,10.967755,158.587219,172.542953,178.163986,171.31279,158.134842,2.687785,G9
1,-0.728452,1,0,0,0,0,0,0,G1
1,-0.672955,1,0,0,0,0,0,0,G1
1,-0.720727,1,0,0,0,0,0,0,G1
1,-0.701598,1,0,0,0,0,0,0,G1
1,-0.693084,1,0,0,0,0,0,0,G1
1,-0.762485,1,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,G1
1,-0.698562,1,0,0,0,0,0,0,G1
3,0.726182,28.205624,0,164.586594,175.419617,0,161.868759,0,G0
3,0.792688,27.12533,0,169.246262,176.524734,0,167.220749,0,G0
3,0.809091,28.109241,0,166.229385,175.302261,0,163.737961,0,G0
3,0.838553,27.913639,0,162.313019,173.31636,0,158.420868,0,G0
3,0.655823,28.283398,0,162.672577,174.737122,0,162.50795,0,G0
3,0.86205,27.656107,0,167.870651,173.573944,0,165.190262,0,G0
3,0.956434,27.393061,0,164.778549,172.810669,0,163.217773,0,G0
3,0.955239,27.468975,0,157.022293,168.845734,0,153.842758,0,G0
4,1.007363,21.126677,0,155.468872,165.176437,0,171.806549,0,G0
3,0.734132,27.943962,0,163.517426,174.128189,0,161.526047,0,G0
1,-0.357227,1,0,29.618279,0,0,0,0,G2
1,-0.078084,1,0,64.836624,0,0,0,0,G2
1,-0.18588,1,0,87.888992,0,0,0,0,G2
1,-0.085474,1,0,137.011215,0,0,0,0,G2
1,-0.179387,1,0,80.060638,0,0,0,0,G2
1,-0.199327,1,0,108.287598,0,0,0,0,G2
1,-0.255902,1,0,52.191212,0,0,0,0,G2
1,-0.244464,1,0,61.061859,0,0,0,0,G2
1,-0.125303,1,0,134.098007,0,0,0,0,G2
1,-0.239968,1,0,132.361725,0,0,0,0,G2
1,0.443697,1,0,0,0,0,159.892532,0,G3
2,0.86226,8.558611,0,0,0,0,169.495255,0,G3
2,0.750588,8.260798,0,0,0,0,52.036568,0,G3
2,0.893559,6.617039,0,0,0,0,175.768677,0,G3
1,0.517816,1,0,0,0,0,164.998001,0,G3
1,0.492226,1,0,0,0,0,164.103256,0,G3
1,0.483866,1,0,0,0,0,170.759048,0,G3
2,0.967046,6.362509,0,0,0,0,173.704575,0,G3
1,0.502763,1,0,0,0,0,44.889503,0,G3
1,0.51584,1,0,0,0,0,50.7924,0,G3
3,0.00827,16.562922,114.560387,133.119064,0,0,0,1.240211,G4
2,-0.44694,50.63102,42.42955,39.22506,0,0,0,0.0255,G4
2,-0.455291,55.133663,105.002586,112.334946,0,0,0,0.912342,G4
3,-0.073055,17.029902,136.017624,154.751144,0,0,0,1.84212,G4
3,0.004683,16.374195,132.005554,154.144653,0,0,0,1.674193,G4
3,0.010504,15.88985,133.874084,156.922607,0,0,0,1.76166,G4
3,0.036607,16.279348,140.183441,163.246262,0,0,0,1.995824,G4
3,-0.058973,16.642817,142.316177,166.072464,0,0,0,2.123151,G4
3,-0.015395,16.67091,121.624878,142.849915,0,0,0,1.396748,G4
2,-0.220726,55.099251,98.345917,100.853981,0,0,0,0.849059,G4
2,0.189658,27.466497,0,113.05056,115.385757,0,0,0,G5
2,0.319402,27.646662,0,161.440491,158.827652,0,0,0,G5
2,0.259142,27.798517,0,165.068985,166.924835,0,0,0,G5
2,0.100846,27.890408,0,161.058945,167.725616,0,0,0,G5
2,0.283289,27.676783,0,167.03392,164.433136,0,0,0,G5
2,0.220504,27.788082,0,146.130478,150.86702,0,0,0,G5
2,0.07513,27.94903,0,143.394028,148.480362,0,0,0,G5
2,-0.022152,28.034847,0,139.990692,157.262695,0,0,0,G5
2,0.04532,27.223623,0,164.123718,166.710754,0,0,0,G5
2,0.025468,27.652082,0,159.079269,160.872421,0,0,0,G5
3,0.322959,17.168375,0,161.027771,179.620499,161.343567,0,0,G6
3,0.248405,17.378466,0,163.040894,177.300781,162.125793,0,0,G6
3,0.340859,17.14905,0,164.326721,176.373337,163.052551,0,0,G6
3,0.420885,17.237867,0,164.659592,175.36908,162.747375,0,0,G6
3,0.329623,16.897444,0,150.335907,177.270844,152.010605,0,0,G6
3,0.270949,16.801483,0,155.022339,177.815735,157.191086,0,0,G6
3,0.288639,16.922415,0,162.073257,178.786301,162.991867,0,0,G6
3,0.044501,16.54907,0,163.447113,177.285797,166.949493,0,0,G6
3,0.239615,18.471989,0,170.774841,177.92868,170.193192,0,0,G6
3,0.244437,17.622847,0,166.34668,178.606033,166.365814,0,0,G6
2,1.347333,72.201683,118.23542,0,0,0,113.262886,1.615601,G7
2,1.202937,72.33197,144.603088,0,0,0,139.1371,2.32244,G7
2,1.145428,73.953262,131.547043,0,0,0,127.874481,1.884668,G7
2,1.153348,72.239662,138.251114,0,0,0,132.642227,2.047573,G7
2,1.182747,72.002129,136.212906,0,0,0,129.446472,1.963119,G7
2,1.150035,71.816238,132.074844,0,0,0,129.911301,1.82528,G7
2,0.951274,72.34948,152.091919,0,0,0,150.431808,2.839518,G7
2,0.945516,72.178688,107.580704,0,0,0,106.688972,1.222643,G7
2,0.999471,70.320694,59.235878,0,0,0,61.574509,0.12081,G7
2,1.297328,71.736969,65.826645,0,0,0,69.152672,0.354456,G7
3,0.544992,29.699686,162.860626,175.380936,0,0,159.62619,3.463594,G8
3,0.811194,28.802959,151.784622,172.088409,0,0,151.70462,2.692305,G8
4,0.873147,21.44853,137.575256,166.137772,0,0,164.62056,1.933424,G8
4,0.921665,21.427652,153.336975,171.383102,0,0,170.821045,3.0454,G8
3,0.690302,28.632725,114.441086,149.183395,0,0,112.304909,1.060611,G8
3,0.828407,28.429342,121.839569,152.409531,0,0,117.406815,1.230555,G8
3,0.923193,28.363503,154.104965,170.507935,0,0,151.102371,2.73273,G8
3,0.495076,29.338818,151.300125,170.097061,0,0,149.241684,2.3773,G8
3,0.376799,29.090879,134.340576,168.879211,0,0,129.27301,1.505794,G8
4,0.352291,21.3776,89.489441,88.212166,0,0,88.85627,0.59654,G8
5,1.282685,7.51787,107.318939,126.482452,150.565216,129.755005,111.18824,0.280518,G9
5,1.095357,10.037858,151.101456,169.677444,176.936111,165.013382,153.708817,2.162024,G9
5,1.047545,10.449368,151.609161,169.963013,176.565445,166.173065,155.13327,2.319769,G9
5,1.152834,9.683265,151.674011,169.399872,174.127243,165.732803,154.407227,2.223627,G9
5,0.9195,9.851491,150.510559,168.58168,173.24472,164.774063,153.321396,2.158136,G9
5,0.735712,10.246622,143.956863,164.832611,172.048721,161.635193,147.648056,1.716219,G9
5,0.897672,9.076012,118.778854,146.280884,162.181259,137.01091,120.309029,0.676198,G9
5,1.009016,9.387828,136.848541,163.62825,169.982956,153.229736,138.763962,1.347131,G9
5,1.13926,9.189385,153.222229,169.816025,174.65889,165.533905,154.993118,2.370163,G9
