@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R4,5,6,7-11,12-17,18-22'

@attribute Max_X numeric
@attribute Max_Y numeric
@attribute fingersAreas numeric
@attribute newFingerTipDistRefined_f1 numeric
@attribute newFingerTipDistRefined_f2 numeric
@attribute newFingerTipDistRefined_f3 numeric
@attribute newFingerTipDistRefined_f4 numeric
@attribute newFingerTipDistRefined_f5 numeric
@attribute fingertipAngles_f1 numeric
@attribute fingertipAngles_f2 numeric
@attribute fingertipAngles_f3 numeric
@attribute fingertipAngles_f4 numeric
@attribute fingertipAngles_f5 numeric
@attribute fingertipElevation_f1 numeric
@attribute fingertipElevation_f2 numeric
@attribute fingertipElevation_f3 numeric
@attribute fingertipElevation_f4 numeric
@attribute fingertipElevation_f5 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data
0.724144,0.870628,23.632465,0,1.191666,1.217141,0,0.975672,0,162.707352,174.88089,0,162.41626,0,2.98129,3.161629,0,2.710331,G0
0.508686,0.998301,23.944956,0,1.186488,1.220379,0,0.961907,0,161.301956,176.001328,0,164.326782,0,2.936894,3.16389,0,2.742073,G0
0.530267,1.068097,23.390223,0,1.158527,1.233534,0,0.983986,0,166.359055,177.620682,0,165.832794,0,3.430044,3.662693,0,3.202039,G0
0.362851,1.121722,31.454571,0,1.190305,0.904634,0,0,0,168.408493,172.227234,0,129.517105,0,3.074636,2.818256,0,0,G0
0.221858,1.068544,31.916876,0,1.158608,0.917696,0,0,0,165.927948,170.322205,0,123.692383,0,2.631731,2.418613,0,0,G0
0,0,0,0,0,0,0,0,0,120.927055,0,0,0,0,0,0,0,0,G2
-0.10714,0.827349,1,0,0.999999,0,0,0,0,91.379471,0,0,0,0,0.854355,0,0,0,G2
-0.176397,0.885353,1,0,0.999996,0,0,0,0,98.929314,0,0,0,0,0.93164,0,0,0,G2
-0.180172,0.929243,1,0,1.000003,0,0,0,0,95.270508,0,0,0,0,0.895883,0,0,0,G2
-0.163734,0.943691,1,0,1.000005,0,0,0,0,150.041885,0,0,0,0,1.561169,0,0,0,G2
-0.147143,0.935648,1,0,1.000003,0,0,0,0,161.043701,0,0,0,0,1.806269,0,0,0,G2
-0.138131,0.873468,1,0,1.000003,0,0,0,0,130.347443,0,0,0,0,1.290485,0,0,0,G2
-0.20808,0.727005,1,0,1.000001,0,0,0,0,112.966377,0,0,0,0,1.071057,0,0,0,G2
0,0,0,0,0,0,0,0,0,107.709633,0,0,0,0,0,0,0,0,G2
-0.358454,0.729622,1,0,1,0,0,0,0,47.264568,0,0,0,0,0.478922,0,0,0,G2
0.541412,0.83058,1,0,0,0,0,1.000003,0,0,0,0,171.153748,0,0,0,0,3.137535,G3
0,0,0,0,0,0,0,0,0,0,0,0,144.837021,0,0,0,0,0,G3
0.462858,0.841609,1,0,0,0,0,0.999997,0,0,0,0,172.400543,0,0,0,0,3.661253,G3
0.659998,0.728467,1,0,0,0,0,1.000007,0,0,0,0,171.456879,0,0,0,0,3.471903,G3
0,0,0,0,0,0,0,0,0,0,0,0,139.062225,0,0,0,0,0,G3
0.476256,0.828946,1,0,0,0,0,1.000001,0,0,0,0,172.304108,0,0,0,0,3.61491,G3
0.392557,0.889354,1,0,0,0,0,0.999997,0,0,0,0,172.732635,0,0,0,0,3.042249,G3
0.390461,0.873453,1,0,0,0,0,1.000003,0,0,0,0,171.895767,0,0,0,0,3.268291,G3
0.306161,0.746036,1,0,0,0,0,1.000001,0,0,0,0,170.648392,0,0,0,0,2.449478,G3
0.465563,0.87375,1,0,0,0,0,1.000002,0,0,0,0,171.617432,0,0,0,0,3.606038,G3
-0.308619,1.28561,68.443039,1.145792,1.390461,0,0,0,144.155319,153.658112,0,0,0,1.955073,2.493204,0,0,0,G4
-0.193841,1.128605,73.717079,1.337237,1.440097,0,0,0,150.701721,158.119293,0,0,0,2.721886,3.170856,0,0,0,G4
0.761958,-0.644317,1,1.000008,0,0,0,0,137.432404,103.332138,0,0,0,1.400174,0,0,0,0,G4
-0.870415,0.246019,1,0.999998,0,0,0,0,144.07576,119.915398,0,0,0,1.687941,0,0,0,0,G4
-0.442109,0.342575,36.890366,1.323784,0.890024,0,0,0,90.996857,90.841606,0,0,0,1.193801,0.556692,0,0,0,G4
2.217399,3.957813,99.374763,4.375272,4.654198,0,0,0,132.467941,131.626663,0,0,0,5.929871,6.226292,0,0,0,G4
0.025788,2.411074,54.74033,2.582871,2.650864,0,0,0,155.962585,139.936996,0,0,0,5.095947,3.985072,0,0,0,G4
-0.216412,1.204008,64.424599,1.264772,1.321828,0,0,0,162.99614,140.126602,0,0,0,2.639253,1.974227,0,0,0,G4
-0.337742,1.27062,69.695953,1.268483,1.443238,0,0,0,139.200562,155.319244,0,0,0,1.892025,2.613186,0,0,0,G4
-0.201674,1.357879,73.834328,1.361627,1.547966,0,0,0,106.547577,110.663086,0,0,0,1.015194,1.585306,0,0,0,G4
0.057267,0.972637,1,0,1.000006,0,0,0,0,164.074326,121.83271,0,0,0,2.122289,0,0,0,G5
0.064748,0.974128,25.616379,0,0.996102,1.052119,0,0,0,145.479355,152.739304,0,0,0,1.586052,1.706897,0,0,G5
-0.022499,0.867764,25.629665,0,1.002487,1.05151,0,0,0,163.900574,170.32338,0,0,0,2.089303,2.175918,0,0,G5
-0.009446,0.877682,25.679893,0,1.006217,1.047653,0,0,0,162.605179,169.970291,0,0,0,2.076686,2.163668,0,0,G5
0.006147,0.997972,27.027773,0,1.015902,1.033491,0,0,0,155.845551,163.895401,0,0,0,2.077395,2.193389,0,0,G5
0.019301,0.960213,1,0,1.000003,0,0,0,0,165.836548,117.268494,0,0,0,2.069059,0,0,0,G5
0.039962,1.034228,27.902817,0,0.991394,1.079594,0,0,0,172.524399,173.620392,0,0,0,3.18826,3.2916,0,0,G5
0.032045,0.996419,1,0,1.000001,0,0,0,0,176.36644,132.990967,0,0,0,3.190281,0,0,0,G5
0,0,0,0,0,0,0,0,0,125.737183,125.737183,0,0,0,0,0,0,0,G5
0.08606,0.969423,1,0,0.999999,0,0,0,0,163.471024,121.620369,0,0,0,2.101639,0,0,0,G5
0.139896,0.993641,18.979395,0,1.03676,1.153706,0.996826,0,0,162.548111,171.519302,164.818192,0,0,2.324026,2.517935,2.306317,0,G6
0.216966,0.938215,1,0,0.999998,0,0,0,0,176.308212,138.512131,138.512131,0,0,3.054793,0,0,0,G6
0.157546,0.926696,18.622959,0,1.022139,1.155098,1.007376,0,0,159.927841,176.875122,164.071777,0,0,2.235231,2.490292,2.269758,0,G6
0.14616,0.912681,18.366129,0,1.016173,1.160586,1.011489,0,0,159.776962,175.001617,162.559204,0,0,2.162264,2.413261,2.189,0,G6
0.141615,0.922221,17.936562,0,1.013224,1.162504,1.003669,0,0,159.760223,173.856689,162.611252,0,0,2.120311,2.365904,2.140013,0,G6
0.212588,1.078765,17.76836,0,1.020718,1.151267,0.996078,0,0,165.313492,172.76358,168.305649,0,0,2.546532,2.750862,2.556167,0,G6
0.417174,1.005026,17.800419,0,1.012118,1.152329,1.014069,0,0,163.474945,173.360367,165.86879,0,0,2.380176,2.605932,2.410807,0,G6
-0.166341,0.745789,38.0121,0,1.108947,1.053854,0,0,0,165.097717,166.641983,127.405434,0,0,2.747643,2.709472,0,0,G6
-0.073798,1.073336,18.599554,0,1.037226,1.168654,0.993281,0,0,164.282593,172.933884,166.22258,0,0,2.535672,2.753147,2.513848,0,G6
0.082209,1.170329,18.201717,0,1.02111,1.179349,0.990766,0,0,169.11496,173.774216,171.354416,0,0,3.225746,3.458158,3.232599,0,G6
0.844688,0.81088,69.908165,1.362557,0,0,0,1.402702,147.085251,0,0,0,148.129181,2.482913,0,0,0,2.585142,G7
0.811327,1.022262,77.238541,1.49503,0,0,0,1.475383,157.913773,0,0,0,159.994034,3.797475,0,0,0,3.898848,G7
0.842655,1.057828,79.161362,1.525303,0,0,0,1.521094,157.507599,0,0,0,159.018936,3.830956,0,0,0,3.925811,G7
1.014016,1.037736,83.083595,1.608012,0,0,0,1.527633,153.025574,0,0,0,153.746048,3.459963,0,0,0,3.379407,G7
0.91576,1.124422,78.348076,1.533408,0,0,0,1.59939,161.066452,0,0,0,162.288223,4.532323,0,0,0,4.741308,G7
0.86249,1.360674,44.688377,1.742836,0,0,0,0.749623,163.005173,0,0,0,173.747086,5.440592,0,0,0,4.877326,G7
0.508107,0.776607,78.815231,1.527678,0,0,0,1.532306,142.965393,0,0,0,147.75795,2.534494,0,0,0,2.779773,G7
0.839336,1.519801,75.410538,1.655546,0,0,0,1.82029,167.050568,0,0,0,170.811218,7.381264,0,0,0,8.375031,G7
0.644728,0.944019,79.038055,1.520151,0,0,0,1.475261,152.067429,0,0,0,156.85112,3.23059,0,0,0,3.456703,G7
0.29487,1.060393,70.284538,1.364512,0,0,0,1.436626,160.481659,0,0,0,162.284927,3.801165,0,0,0,4.002843,G7
0.483445,1.367308,31.84795,1.323037,1.493186,0,0,1.272959,158.821487,176.447128,0,0,163.072083,3.647359,4.541636,0,0,3.928185,G8
0.829864,1.373388,87.031273,1.71756,1.833586,0,0,0,161.688507,162.615356,0,0,139.254593,5.400174,5.742901,0,0,0,G8
0.567829,1.426975,31.582924,1.361092,1.63912,0,0,1.398472,158.159668,177.020065,0,0,161.198853,3.655792,4.830408,0,0,4.076703,G8
0.761607,1.478418,88.510788,1.785503,1.842664,0,0,0,161.941376,163.952332,0,0,140.021179,5.708855,6.109691,0,0,0,G8
0.642846,1.471149,34.360435,1.48761,1.578832,0,0,1.496457,159.03038,177.220047,0,0,162.234543,4.143015,5.293864,0,0,4.627994,G8
0.283297,1.272335,81.049911,1.585537,1.689582,0,0,0,159.653076,162.882004,0,0,140.35405,4.522891,5.009287,0,0,0,G8
0.607018,1.179867,31.013523,1.26745,1.388645,0,0,1.307492,160.37233,178.498825,0,0,161.39592,3.672434,4.37043,0,0,3.820997,G8
0.633312,1.259652,71.723534,1.406872,1.484627,0,0,0,164.474838,165.52327,0,0,141.323166,4.833115,5.031978,0,0,0,G8
0.447865,1.236284,32.058792,1.319997,1.435065,0,0,1.356813,160.407837,175.823914,0,0,161.995728,3.885646,4.664822,0,0,4.101339,G8
0.622475,1.343418,33.020748,1.435508,1.530495,0,0,1.41083,158.70433,176.894485,0,0,161.318726,3.950901,4.909639,0,0,4.212711,G8
0.530258,1.504573,16.910755,1.224136,1.324927,1.553876,1.238791,0,162.803726,176.261475,172.393829,166.18251,148.512497,4.140366,5.090964,5.258568,4.605475,0,G9
0.579419,1.340814,13.740136,1.074618,1.262787,1.361333,1.338076,1.159443,159.451492,174.992706,175.693207,170.935547,165.446472,3.036631,4.029668,4.13579,4.052598,3.695958,G9
0.695679,1.295621,14.779031,1.047285,1.206853,1.33998,1.340826,1.159624,156.939423,173.548355,173.992798,168.818237,164.833115,2.651221,3.54582,3.685647,3.625459,3.334631,G9
0.791347,1.412484,11.713248,1.217972,1.308934,1.436707,1.390488,1.196891,160.515213,174.034134,176.175858,171.212189,166.561081,3.556464,4.680151,4.839375,4.706978,4.295236,G9
-0.799085,0.600263,1,0.999997,0,0,0,0,157.939636,116.752312,116.752312,116.752312,116.752312,1.899161,0,0,0,0,G9
0.850534,1.42811,11.588235,1.247905,1.352915,1.45647,1.431388,1.293315,161.816162,175.978546,173.015305,168.582962,165.080215,3.914217,5.102254,5.15669,4.987046,4.58841,G9
-0.788799,0.610598,1,1.000001,0,0,0,0,158.935501,137.769104,137.769104,137.769104,137.769104,2.414654,0,0,0,0,G9
0.653589,1.178239,11.072308,1.33949,1.335647,1.51667,1.479029,1.277968,153.579422,171.220642,172.619476,167.022858,161.291168,2.618071,3.961159,4.167908,4.034494,3.587493,G9
0.904786,1.352818,10.192496,1.382982,1.337295,1.551566,1.540406,1.369454,156.853958,171.922501,172.539795,167.258636,161.931335,3.132445,4.483907,4.720399,4.584064,4.103108,G9
0.522232,1.510261,16.426311,1.243544,1.592666,1.479567,1.313366,0,161.289032,176.33786,172.828476,167.542267,146.254669,3.590008,5.240202,5.070769,4.699021,0,G9
-0.768864,0.635808,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G1
-0.616738,0.778669,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G1
-0.553091,0.81432,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G1
-0.50255,0.864201,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G1
-0.617926,0.786069,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G1
-0.739105,0.671906,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G1
-0.698455,0.71264,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G1
0.426401,0.79501,19.429249,0,1.231878,1.262241,0,0.879664,0,137.589539,165.491531,0,139.746552,0,1.747296,1.937189,0,1.347058,G0
0.588854,1.055807,22.119347,0,1.213938,1.259384,0,0.978552,0,144.060455,173.66011,0,146.252029,0,1.956516,2.218632,0,1.700621,G0
0.471281,1.026527,22.894224,0,1.223794,1.256832,0,0.950819,0,147.897171,171.931229,0,153.66568,0,2.161407,2.43873,0,1.93843,G0
0.58508,1.053928,23.186516,0,1.295857,1.321249,0,0.995977,0,141.884567,172.789322,0,145.147034,0,2.057047,2.383836,0,1.730752,G0
0.857719,1.283488,19.955507,0,1.549778,1.569884,0,0.60851,0,129.621063,159.340668,0,157.472794,0,1.960845,2.540933,0,1.456636,G0
0.270615,0.965162,22.108004,0,1.221951,1.242878,0,0.906979,0,143.083313,172.259659,0,152.125031,0,1.945522,2.194056,0,1.710254,G0
0.302741,0.956813,22.267647,0,1.179179,1.158923,0,0.969525,0,167.66539,174.647568,0,169.756104,0,3.866393,3.99514,0,3.687164,G0
0.347208,0.999659,22.644402,0,1.218788,1.236561,0,0.961814,0,161.986633,177.714569,0,166.327347,0,3.266629,3.53889,0,3.087073,G0
0.385278,1.013991,21.962376,0,1.226584,1.255798,0,0.934295,0,146.546463,177.953003,0,152.492371,0,2.081799,2.343077,0,1.830847,G0
0.543801,1.032953,19.529358,0,1.31894,1.312376,0,0.900717,0,139.489548,165.725128,0,140.957748,0,1.955744,2.154966,0,1.429949,G0
-0.215154,0.69643,1,0,0.999997,0,0,0,0,48.859921,0,0,0,0,0.514539,0,0,0,G2
0.795045,-0.381329,1,0,1.000006,0,0,0,0,124.367477,0,0,0,0,0.680598,0,0,0,G2
0,0,0,0,0,0,0,0,0,111.95285,0,0,0,0,0,0,0,0,G2
0,0,0,0,0,0,0,0,0,81.93309,0,0,0,0,0,0,0,0,G2
-0.186899,0.780266,1,0,1.000004,0,0,0,0,69.507507,0,0,0,0,0.651294,0,0,0,G2
-0.122636,0.768555,1,0,0.999998,0,0,0,0,69.701866,0,0,0,0,0.708041,0,0,0,G2
0.024574,1.024957,18.586517,0,1.390463,0,0,0,0,66.973549,0,0,0,0,1.044729,0,0,0,G2
0.129716,1.0396,18.952829,0,1.409498,0,0,0,0,68.05513,0,0,0,0,1.10383,0,0,0,G2
0.138083,1.060463,19.019991,0,1.402402,0,0,0,0,94.080872,0,0,0,0,1.345424,0,0,0,G2
0.035481,0.939747,20.502623,0,1.410377,0,0,0,0,48.285732,0,0,0,0,0.845885,0,0,0,G2
-0.108901,0.843878,1,0,0,0,0,1,0,0,0,0,171.664322,0,0,0,0,1.761956,G3
0.483535,0.808117,1,0,0,0,0,0.999993,0,0,0,0,165.615784,0,0,0,0,2.427105,G3
0.313593,0.901246,1,0,0,0,0,0.999995,0,0,0,0,171.766647,0,0,0,0,1.959951,G3
0.147303,0.9465,1,0,0,0,0,0.999996,0,0,0,0,171.608826,0,0,0,0,2.267077,G3
0.40733,0.887323,1,0,0,0,0,1.000003,0,0,0,0,171.026321,0,0,0,0,2.859358,G3
0.261888,0.942052,1,0,0,0,0,0.999998,0,0,0,0,170.609177,0,0,0,0,2.23115,G3
0.72652,1.277046,43.806084,0,0,0,0,0.958515,0,0,0,0,162.612946,0,0,0,0,2.81739,G3
0.20873,0.864457,1,0,0,0,0,1,0,0,0,0,168.759064,0,0,0,0,1.703367,G3
0.04827,0.831736,1,0,0,0,0,0.999993,0,0,0,0,166.942734,0,0,0,0,1.72396,G3
0.102806,0.8412,1,0,0,0,0,0.999996,0,0,0,0,167.513641,0,0,0,0,1.93749,G3
-0.373879,1.007392,53.363533,1.044876,1.371887,0,0,0,123.108398,127.804382,0,0,0,1.225886,1.701352,0,0,0,G4
-0.434245,1.03995,55.445675,1.033141,1.32875,0,0,0,136.210159,138.401566,0,0,0,1.480442,1.861036,0,0,0,G4
-0.413022,0.995725,57.632858,1.035887,1.331885,0,0,0,130.734604,126.305679,0,0,0,1.364171,1.650402,0,0,0,G4
-0.037151,1.404686,18.210123,1.251108,1.613654,0,0,0,132.228668,130.718704,0,0,0,1.681572,2.086187,0,0,0,G4
-0.000103,1.494884,17.409941,1.24083,1.683763,0,0,0,120.209167,143.173737,0,0,0,1.307954,2.213711,0,0,0,G4
-0.060346,1.271162,18.754187,1.275016,1.635225,0,0,0,114.908333,141.555405,0,0,0,1.213791,2.075226,0,0,0,G4
-0.033475,1.291995,19.466267,1.28149,1.620566,0,0,0,132.090958,154.048996,0,0,0,1.6922,2.487475,0,0,0,G4
-0.013315,1.089693,19.616816,1.297518,1.662786,0,0,0,115.810112,137.619339,0,0,0,1.249614,2.112467,0,0,0,G4
-0.447857,0.903819,53.907883,1.055297,1.348256,0,0,0,136.935532,141.645401,0,0,0,1.54044,1.96664,0,0,0,G4
-0.45698,0.939392,54.080479,1.05845,1.351984,0,0,0,138.435791,145.068253,0,0,0,1.591134,2.053533,0,0,0,G4
0.264451,0.887494,35.383423,0,1.075698,1.07374,0,0,0,157.298141,151.47937,0,0,0,1.905487,1.854031,0,0,G5
0.30508,0.925899,35.510876,0,1.043374,1.082661,0,0,0,161.109604,162.240845,0,0,0,2.062269,2.112619,0,0,G5
0.161662,0.88639,36.217762,0,1.0362,1.077833,0,0,0,155.217468,161.949905,0,0,0,1.831598,1.917133,0,0,G5
1.997881,2.267486,28.439514,0,2.48581,2.645688,0,0,0,141.009811,172.37114,0,0,0,3.896853,4.667479,0,0,G5
0.207566,0.888379,35.175339,0,1.021521,1.085006,0,0,0,162.550568,164.515289,0,0,0,2.131417,2.21418,0,0,G5
0.263061,0.867388,36.02306,0,1.035018,1.089704,0,0,0,167.017761,168.560501,0,0,0,2.620394,2.695342,0,0,G5
0.295778,0.891259,35.848511,0,1.045831,1.087224,0,0,0,160.789627,160.651489,0,0,0,2.040568,2.083658,0,0,G5
0.302774,0.913023,35.379021,0,1.072834,1.091221,0,0,0,155.125366,156.202133,0,0,0,1.926158,1.955444,0,0,G5
0.291047,0.896674,33.79295,0,1.047691,1.07664,0,0,0,157.062805,157.414474,0,0,0,1.899811,1.933576,0,0,G5
0.345031,0.843593,35.247337,0,1.062924,1.079592,0,0,0,155.830521,148.050812,0,0,0,1.763835,1.727625,0,0,G5
0.054545,0.949435,15.573933,0,1.039738,1.102574,0.968234,0,0,162.40625,177.350327,160.028183,0,0,1.958068,2.065973,1.866892,0,G6
0.341613,1.252604,14.413544,0,1.289743,1.354535,0.600769,0,0,159.886642,176.202621,159.057236,0,0,2.57332,2.739355,1.668595,0,G6
0.183539,0.811824,17.945267,0,1.053252,1.096192,1.002217,0,0,154.972549,177.50769,153.820938,0,0,1.801968,1.916539,1.738299,0,G6
0.132188,0.937772,17.476412,0,1.104144,1.13758,0.98187,0,0,153.533035,176.96228,155.902496,0,0,1.997224,2.151975,1.88613,0,G6
0.299692,1.043624,15.826111,0,1.061707,1.123517,1.003842,0,0,164.910446,175.305054,158.253128,0,0,2.32594,2.444495,2.179388,0,G6
0.177524,0.979963,16.318581,0,1.039276,1.114566,1.001763,0,0,156.659332,174.431229,159.132797,0,0,1.909319,2.065951,1.888517,0,G6
0.124065,0.917098,15.603787,0,1.032271,1.097488,0.996239,0,0,165.980728,178.975113,167.706619,0,0,2.470532,2.606683,2.449893,0,G6
0.15952,0.901396,15.716647,0,1.040026,1.105346,0.986661,0,0,166.905579,177.663925,169.824829,0,0,2.815992,2.974155,2.799173,0,G6
0.093541,0.866462,16.018442,0,1.030374,1.105451,0.998874,0,0,167.622284,178.443542,168.931641,0,0,2.799346,2.95688,2.783392,0,G6
0.025135,0.956087,16.020119,0,1.016862,1.106096,0.989152,0,0,169.025162,178.344711,167.502808,0,0,2.559534,2.695724,2.51478,0,G6
1.095423,0.518405,80.422737,1.48451,0,0,0,1.49518,89.516724,0,0,0,89.543671,1.011761,0,0,0,0.956591,G7
1.109315,0.908251,41.267994,1.559991,0,0,0,0.991848,109.851532,0,0,0,138.285965,1.229554,0,0,0,1.384579,G7
0.911542,0.783362,40.350845,1.528112,0,0,0,1.00054,122.52356,0,0,0,149.83226,1.618637,0,0,0,1.711591,G7
0.83926,0.900812,74.734032,1.426544,0,0,0,1.593801,144.159943,0,0,0,147.573868,2.434556,0,0,0,2.848105,G7
1.004514,0.870361,76.033142,1.483248,0,0,0,1.586852,144.15802,0,0,0,142.55423,2.527049,0,0,0,2.606421,G7
0.944776,0.805686,40.558052,1.558043,0,0,0,0.992799,113.6362,0,0,0,142.817612,1.356734,0,0,0,1.479126,G7
1.053624,1.08874,26.645836,1.539908,0,0,0,1.049828,116.994324,0,0,0,154.234924,1.531411,0,0,0,1.642864,G7
1.353392,1.285265,26.544914,1.785498,0,0,0,1.063711,86.270149,0,0,0,73.566414,0.710862,0,0,0,0.900476,G7
1.458554,1.449588,27.584511,1.8943,0,0,0,1.034967,96.252411,0,0,0,115.578766,1.005833,0,0,0,1.145414,G7
1.367796,1.142757,26.861992,1.846189,0,0,0,1.083256,62.188419,0,0,0,24.563068,0.214614,0,0,0,0.09792,G7
1.775124,1.977088,17.067598,2.000286,2.868088,0,0,2.240181,131.880173,155.757553,0,0,142.389297,2.618955,4.25606,0,0,3.400037,G8
0.288527,1.033955,40.308922,1.181476,0.970399,0,0,0,176.51709,149.82019,0,0,117.965179,2.265623,1.822753,0,0,0,G8
0.32148,1.165574,25.895041,1.08657,1.429004,0,0,1.213702,153.720856,177.791595,0,0,154.311493,2.406044,3.169844,0,0,2.620257,G8
0.155239,0.956686,24.940514,1.07441,1.459263,0,0,1.144318,143.850189,179.438721,0,0,142.884216,1.811319,2.549367,0,0,1.883199,G8
0.274512,0.993523,25.743473,1.064701,1.444367,0,0,1.169844,141.700806,179.223923,0,0,139.17041,1.712801,2.434833,0,0,1.788014,G8
0.31914,1.031452,25.42441,1.079627,1.438079,0,0,1.13037,128.657257,175.82991,0,0,126.06456,1.375134,2.043718,0,0,1.370904,G8
0.479261,1.177462,24.691273,1.028129,1.474874,0,0,1.198355,122.116074,157.150238,0,0,118.952278,1.172054,1.934845,0,0,1.312227,G8
0.500359,1.209937,24.97603,1.024393,1.477353,0,0,1.210169,147.015656,173.247665,0,0,142.935913,1.856683,2.637744,0,0,1.996173,G8
0.446692,1.195472,17.722002,1.139236,1.58053,0,0,0.867405,159.412155,176.559464,0,0,171.015945,3.146877,4.077566,0,0,3.276005,G8
2.231167,2.391885,18.097288,2.261702,3.207307,0,0,2.541826,151.090042,169.06192,0,0,157.355667,4.657246,6.520862,0,0,5.495451,G8
0.912641,1.349664,10.475904,0.987534,1.232345,1.450273,1.37026,1.241736,160.107834,174.631195,175.848938,169.01709,160.712158,2.886926,3.855342,4.085877,3.918613,3.474774,G9
0.795213,1.367724,10.736491,0.980029,1.238618,1.403978,1.339413,1.234226,155.288025,173.037949,174.72496,166.217316,155.481995,2.330731,3.232668,3.410392,3.26334,2.84068,G9
0.66777,1.302834,10.215485,1.012862,1.358075,1.392547,1.319458,1.194364,156.376144,170.923889,178.034958,170.251404,160.49585,2.448194,3.593818,3.676095,3.54543,3.163843,G9
0.777736,1.302651,10.836102,0.963031,1.214734,1.409902,1.352957,1.209856,160.238403,176.249603,174.238602,167.391861,160.448593,2.848297,3.72731,3.910608,3.753439,3.336542,G9
0.782084,1.310955,10.868353,0.994655,1.250605,1.382166,1.337317,1.207755,161.846405,174.749695,177.053833,170.403946,163.688889,3.191601,4.125418,4.277683,4.147567,3.761934,G9
0.792103,1.300923,9.782095,1.013144,1.311636,1.397076,1.348434,1.1699,157.581375,173.405853,175.455627,167.736404,160.304428,2.628631,3.664258,3.766043,3.626928,3.182909,G9
0.642047,1.339228,10.083056,1.022283,1.340071,1.405765,1.300771,1.113184,151.80928,169.919113,177.022842,167.159164,158.034683,2.091589,3.154746,3.258385,3.08598,2.679865,G9
-0.196212,1.136419,25.220232,0.856836,1.26107,1.239719,0,0,159.835266,172.978333,163.220871,128.067398,128.067398,2.244422,2.877027,2.769956,0,0,G9
0.671083,1.357636,25.929398,1.120799,1.566854,1.446449,0,0,165.539612,179.283447,164.180954,140.551788,140.551788,4.39732,5.471673,4.837096,0,0,G9
0.730756,1.307832,10.531284,0.97992,1.245702,1.405805,1.372911,1.222945,160.455063,175.313614,175.767273,169.007629,161.499741,2.917695,3.898855,4.064389,3.943558,3.506793,G9
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G1
