@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R2,3,18-22'

@attribute fingersExtended numeric
@attribute ratio numeric
@attribute fingertipElevation_f2 numeric
@attribute fingertipElevation_f3 numeric
@attribute fingertipElevation_f4 numeric
@attribute fingertipElevation_f5 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data
11001,0.009269,4.830408,4.076703,0,0,G8
11001,0.010403,6.109691,0,0,0,G8
11001,0.008864,5.293864,4.627994,0,0,G8
11001,0.010401,5.009287,0,0,0,G8
11001,0.009289,4.37043,3.820997,0,0,G8
11001,0.010335,5.031978,0,0,0,G8
11001,0.008903,4.664822,4.101339,0,0,G8
11001,0.008751,4.909639,4.212711,0,0,G8
11111,0.009334,5.090964,5.258568,4.605475,0,G9
11111,0.007592,4.029668,4.13579,4.052598,3.695958,G9
11111,0.007429,3.54582,3.685647,3.625459,3.334631,G9
11111,0.008589,4.680151,4.839375,4.706978,4.295236,G9
11111,1,0,0,0,0,G9
11111,0.008053,5.102254,5.15669,4.987046,4.58841,G9
11111,1,0,0,0,0,G9
11111,0.008228,3.961159,4.167908,4.034494,3.587493,G9
11111,0.008337,4.483907,4.720399,4.584064,4.103108,G9
11111,0.008789,5.240202,5.070769,4.699021,0,G9
0,1,0,0,0,0,G1
0,1,0,0,0,0,G1
0,0,0,0,0,0,G1
0,1,0,0,0,0,G1
0,1,0,0,0,0,G1
0,1,0,0,0,0,G1
0,1,0,0,0,0,G1
0,1,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
1101,0.01326,1.937189,1.347058,0,0,G0
1101,0.012111,2.218632,1.700621,0,0,G0
1101,0.011576,2.43873,1.93843,0,0,G0
1101,0.011578,2.383836,1.730752,0,0,G0
1101,0.013132,2.540933,1.456636,2.030975,0,G0
1101,0.01185,2.194056,1.710254,0,0,G0
1101,0.011932,3.99514,3.687164,0,0,G0
1101,0.011733,3.53889,3.087073,0,0,G0
1101,0.012033,2.343077,1.830847,0,0,G0
1101,0.013269,2.154966,1.429949,0,0,G0
1000,1,0,0,0,0,G2
1000,1,0,0,0,0,G2
1000,0,0,0,0,0,G2
1000,0,0,0,0,0,G2
1000,1,0,0,0,0,G2
1000,1,0,0,0,0,G2
1000,0.019961,0.433266,0,0,0,G2
1000,0.019659,0.43582,0,0,0,G2
1000,0.019598,0.686488,0,0,0,G2
1000,0.019374,0.188437,0,0,0,G2
1,1,0,0,0,0,G3
1,1,0,0,0,0,G3
1,1,0,0,0,0,G3
1,1,0,0,0,0,G3
1,1,0,0,0,0,G3
1,1,0,0,0,0,G3
1,0.01554,3.385674,0,0,0,G3
1,1,0,0,0,0,G3
1,1,0,0,0,0,G3
1,1,0,0,0,0,G3
11000,0.012328,1.701352,0,0,0,G4
11000,0.011536,1.861036,0,0,0,G4
11000,0.011128,1.650402,0,0,0,G4
11000,0.016534,2.086187,1.209855,0,0,G4
11000,0.017193,2.213711,1.230309,0,0,G4
11000,0.015802,2.075226,1.145435,0,0,G4
11000,0.015629,2.487475,1.600553,0,0,G4
11000,0.015646,2.112467,1.179361,0,0,G4
11000,0.012082,1.96664,0,0,0,G4
11000,0.01208,2.053533,0,0,0,G4
1100,0.0152,1.854031,0,0,0,G5
1100,0.015219,2.112619,0,0,0,G5
1100,0.014849,1.917133,0,0,0,G5
1100,0.011702,4.667479,0.378649,0,0,G5
1100,0.015345,2.21418,0,0,0,G5
1100,0.015076,2.695342,0,0,0,G5
1100,0.015137,2.083658,0,0,0,G5
1100,0.015417,1.955444,0,0,0,G5
1100,0.015915,1.933576,0,0,0,G5
1100,0.01531,1.727625,0,0,0,G5
1110,0.016703,2.065973,1.866892,0,0,G6
1110,0.018297,2.739355,1.668595,2.538485,0,G6
1110,0.014526,1.916539,1.738299,0,0,G6
1110,0.015055,2.151975,1.88613,0,0,G6
1110,0.01664,2.444495,2.179388,0,0,G6
1110,0.016096,2.065951,1.888517,0,0,G6
1110,0.016718,2.606683,2.449893,0,0,G6
1110,0.016642,2.974155,2.799173,0,0,G6
1110,0.016364,2.95688,2.783392,0,0,G6
1110,0.016364,2.695724,2.51478,0,0,G6
10001,0.009295,0.956591,0,0,0,G7
10001,0.010929,1.384579,1.869916,0,0,G7
10001,0.010705,1.711591,2.142963,0,0,G7
10001,0.010597,2.848105,0,0,0,G7
10001,0.010411,2.606421,0,0,0,G7
10001,0.010765,1.479126,1.934364,0,0,G7
10001,0.01063,1.642864,1.471326,1.872988,0,G7
10001,0.012277,0.900476,0.729625,1.209474,0,G7
10001,0.012637,1.145414,0.992289,1.53884,0,G7
10001,0.012722,0.09792,0.0326,0.50894,0,G7
11001,0.014992,4.25606,3.400037,0.51094,0,G8
11001,0.014084,1.822753,0,0,0,G8
11001,0.010925,3.169844,2.620257,0,0,G8
11001,0.011431,2.549367,1.883199,0,0,G8
11001,0.011112,2.434833,1.788014,0,0,G8
11001,0.011275,2.043718,1.370904,0,0,G8
11001,0.011513,1.934845,1.312227,0,0,G8
11001,0.01142,2.637744,1.996173,0,0,G8
11001,0.012065,4.077566,3.276005,3.425293,0,G8
11001,0.016023,6.520862,5.495451,0.825639,0,G8
11111,0.009365,3.855342,4.085877,3.918613,3.474774,G9
11111,0.009064,3.232668,3.410392,3.26334,2.84068,G9
11111,0.00898,3.593818,3.676095,3.54543,3.163843,G9
11111,0.009104,3.72731,3.910608,3.753439,3.336542,G9
11111,0.0092,4.125418,4.277683,4.147567,3.761934,G9
11111,0.0099,3.664258,3.766043,3.626928,3.182909,G9
11111,0.009947,3.154746,3.258385,3.08598,2.679865,G9
11111,0.010154,2.877027,2.769956,0,0,G9
11111,0.010568,5.471673,4.837096,0,0,G9
11111,0.009201,3.898855,4.064389,3.943558,3.506793,G9
0,0,0,0,0,0,G1
0,1,0,0,0,0,G1
0,0.084103,0.994497,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,1,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
1101,0.012041,3.866323,3.432589,1.578599,0,G0
1101,0.013015,3.06101,2.529032,0,0,G0
1101,0.013016,3.626464,3.077377,0,0,G0
1101,0.02434,8.722976,1.401234,7.393506,3.218856,G0
1101,0.012943,2.121263,1.66838,0,0,G0
1101,0.01283,2.130976,1.614336,0,0,G0
1101,0.013519,2.823006,2.236153,0,0,G0
1101,0.023369,2.537647,0,0,0,G0
1101,0.012594,5.543409,4.864698,2.488564,0,G0
1101,0.012185,5.529736,4.884039,2.807004,0,G0
1000,1,0,0,0,0,G2
1000,0,0,0,0,0,G2
1000,0,0,0,0,0,G2
1000,0,0,0,0,0,G2
1000,1,0,0,0,0,G2
1000,1,0,0,0,0,G2
1000,1,0,0,0,0,G2
1000,0,0,0,0,0,G2
1000,1,0,0,0,0,G2
1000,1,0,0,0,0,G2
1,0.021951,8.966497,0,0,0,G3
1,0,0,0,0,0,G3
1,0.016166,1.68142,0,0,0,G3
1,1,0,0,0,0,G3
1,1,0,0,0,0,G3
1,1,0,0,0,0,G3
1,1,0,0,0,0,G3
1,1,0,0,0,0,G3
1,1,0,0,0,0,G3
1,1,0,0,0,0,G3
11000,0.012878,2.217389,0,0,0,G4
11000,0.01306,2.281158,0,0,0,G4
11000,0.01925,3.216953,2.18216,0,0,G4
11000,0.012842,2.394318,0,0,0,G4
11000,1,0,0,0,0,G4
11000,0.012948,2.670159,0,0,0,G4
11000,1,0,0,0,0,G4
11000,0.022598,5.19557,0.39465,0,0,G4
11000,0.012736,2.264404,0,0,0,G4
11000,0.024596,6.120978,0.608062,0,0,G4
1100,0.038341,0.737544,3.4505,0,0,G5
1100,0.012941,3.725769,0.638286,0,0,G5
1100,0.013449,5.910605,2.083252,0,0,G5
1100,0.019839,2.101737,0,0,0,G5
1100,0.012127,4.40859,1.17984,0,0,G5
1100,0.019658,1.69653,0,0,0,G5
1100,0.018716,1.804901,0,0,0,G5
1100,0.018838,2.561266,0,0,0,G5
1100,0.018583,3.18687,0,0,0,G5
1100,0.039843,1.921971,5.017191,0,0,G5
1110,0.013051,1.806409,1.735807,0,0,G6
1110,0.012564,3.387056,0.9349,0,0,G6
1110,0.01325,1.715658,1.609502,0,0,G6
1110,0.009914,2.996877,2.968055,0.722541,0,G6
1110,0.013093,1.69428,1.633131,0,0,G6
1110,0.013391,1.852884,1.783288,0,0,G6
1110,0.010097,2.884054,2.807809,0.778021,0,G6
1110,0.012,2.692333,2.55109,0.262122,0,G6
1110,0.012938,2.460773,2.325623,0,0,G6
1110,0.013074,2.963516,2.827507,0,0,G6
10001,0.010995,2.306137,0,0,0,G7
10001,0.018794,1.75715,0,0,0,G7
10001,1,0,0,0,0,G7
10001,0.011389,2.023843,2.321926,0,0,G7
10001,0.011811,1.875043,2.157629,0,0,G7
10001,0.013733,4.073871,4.702125,1.875468,0,G7
10001,0.011211,2.696643,0,0,0,G7
10001,0.025956,12.381773,6.060918,3.987506,0,G7
10001,0.027612,4.264287,7.81752,1.955696,0,G7
10001,0.015468,6.370481,1.248434,0,0,G7
11001,0.014554,3.189894,2.539773,0,0,G8
11001,0.016555,2.908525,0,0,0,G8
11001,0.013906,3.310952,2.756505,0,0,G8
11001,0.040954,16.406713,14.285071,2.789194,0,G8
11001,0.0143,2.93282,2.30768,0,0,G8
11001,0.0143,3.216164,2.59698,0,0,G8
11001,0.013716,4.019603,3.459401,0,0,G8
11001,0.013726,5.407362,4.905256,0,0,G8
11001,0.014045,4.469506,3.892395,0,0,G8
11001,0.01463,3.858044,3.208477,0,0,G8
11111,0.009553,3.583256,3.591082,3.476862,2.806365,G9
11111,0.010038,2.19238,2.324479,2.169836,1.536889,G9
11111,0.010154,3.13889,3.205146,3.083863,2.320241,G9
11111,0.01013,5.136301,5.129916,4.419653,0,G9
11111,0.010769,4.039729,4.006492,3.576392,0,G9
11111,0.010833,2.401072,2.326977,1.889486,0,G9
11111,0.009926,2.764143,2.869909,2.733367,2.075783,G9
11111,0.009939,2.336564,2.509696,2.377496,1.753782,G9
11111,0.010001,2.628773,2.724137,2.545563,1.978785,G9
11111,0.009463,3.385308,3.56586,3.432508,2.926412,G9
0,1,0,0,0,0,G1
0,1,0,0,0,0,G1
0,1,0,0,0,0,G1
0,1,0,0,0,0,G1
0,1,0,0,0,0,G1
0,1,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,1,0,0,0,0,G1
1101,0.009691,3.448358,3.020074,0,0,G0
1101,0.010008,4.727411,4.205803,0,0,G0
1101,0.009704,4.012097,3.487435,0,0,G0
1101,0.0098,3.325052,2.7981,0,0,G0
1101,0.009855,3.389153,2.988763,0,0,G0
1101,0.009939,4.445772,3.949125,0,0,G0
1101,0.010025,3.977086,3.516061,0,0,G0
1101,0.010064,2.908622,2.460076,0,0,G0
1101,0.011507,3.323933,2.592962,2.944596,0,G0
1101,0.009828,3.381718,2.946951,0,0,G0
1000,1,0,0,0,0,G2
1000,1,0,0,0,0,G2
1000,1,0,0,0,0,G2
1000,1,0,0,0,0,G2
1000,1,0,0,0,0,G2
1000,1,0,0,0,0,G2
1000,1,0,0,0,0,G2
1000,1,0,0,0,0,G2
1000,1,0,0,0,0,G2
1000,1,0,0,0,0,G2
1,1,0,0,0,0,G3
1,0.027471,2.107758,0,0,0,G3
1,0.027034,1.22534,0,0,0,G3
1,0.027406,2.511358,0,0,0,G3
1,1,0,0,0,0,G3
1,1,0,0,0,0,G3
1,1,0,0,0,0,G3
1,0.032967,3.886456,0,0,0,G3
1,1,0,0,0,0,G3
1,1,0,0,0,0,G3
11000,0.017313,2.010482,1.050212,0,0,G4
11000,0.012781,0.501815,0,0,0,G4
11000,0.011889,1.475883,0,0,0,G4
11000,0.016734,2.571226,1.619933,0,0,G4
11000,0.01771,2.580039,1.546137,0,0,G4
11000,0.017813,2.688617,1.643467,0,0,G4
11000,0.017429,2.891256,1.884853,0,0,G4
11000,0.017021,2.984541,2.01054,0,0,G4
11000,0.017078,2.168492,1.223954,0,0,G4
11000,0.011987,1.356099,0,0,0,G4
1100,0.019279,1.161095,0,0,0,G5
1100,0.019031,2.218372,0,0,0,G5
1100,0.018852,2.080377,0,0,0,G5
1100,0.018789,1.983265,0,0,0,G5
1100,0.019128,2.115077,0,0,0,G5
1100,0.018975,1.495915,0,0,0,G5
1100,0.018805,1.474883,0,0,0,G5
1100,0.018422,1.459107,0,0,0,G5
1100,0.019224,2.012777,0,0,0,G5
1100,0.018755,1.746467,0,0,0,G5
1110,0.015212,2.290388,2.118141,0,0,G6
1110,0.015099,2.394208,2.207506,0,0,G6
1110,0.015395,2.46392,2.269868,0,0,G6
1110,0.015289,2.451472,2.276577,0,0,G6
1110,0.015566,1.921484,1.724274,0,0,G6
1110,0.015577,2.067434,1.880118,0,0,G6
1110,0.015452,2.418892,2.241728,0,0,G6
1110,0.015818,2.589725,2.409889,0,0,G6
1110,0.01405,3.280604,3.168819,0,0,G6
1110,0.014772,2.632466,2.473182,0,0,G6
10001,0.011602,1.555722,0,0,0,G7
10001,0.010613,2.365039,0,0,0,G7
10001,0.010653,1.97073,0,0,0,G7
10001,0.010793,2.128826,0,0,0,G7
10001,0.010667,1.972337,0,0,0,G7
10001,0.010679,2.00705,0,0,0,G7
10001,0.010435,2.972112,0,0,0,G7
10001,0.010907,1.454624,0,0,0,G7
10001,0.012078,0.499218,0,0,0,G7
10001,0.012448,0.523019,0,0,0,G7
11001,0.009312,4.243196,3.681748,0,0,G8
11001,0.009687,3.741098,3.097004,0,0,G8
11001,0.010678,3.033857,1.957484,2.350348,0,G8
11001,0.010698,4.182112,3.096088,3.552491,0,G8
11001,0.009731,1.962115,1.304427,0,0,G8
11001,0.009711,2.103075,1.433966,0,0,G8
11001,0.009788,3.676888,3.039683,0,0,G8
11001,0.009503,3.210921,2.6298,0,0,G8
11001,0.009626,2.302745,1.664755,0,0,G8
11001,0.010783,1.576943,0.613251,1.059939,0,G8
11111,0.008834,1.850322,2.028571,1.907771,1.27657,G9
11111,0.0082,3.41393,3.611273,3.501278,2.952716,G9
11111,0.007958,3.542961,3.685598,3.565313,3.045263,G9
11111,0.008063,3.550491,3.67174,3.587299,3.055944,G9
11111,0.008047,3.46041,3.578918,3.489384,2.952679,G9
11111,0.008023,2.961399,3.087937,3.00403,2.48096,G9
11111,0.008293,1.99697,2.14448,2.011722,1.46829,G9
11111,0.008237,2.618608,2.739181,2.630876,2.055403,G9
11111,0.008358,3.669908,3.816625,3.714485,3.154437,G9
11111,0.008271,2.263813,2.351481,2.220672,1.65872,G9
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
1101,0.012631,2.771589,2.434547,0,0,G0
1101,0.012653,1.961989,1.473321,0,0,G0
1101,0.012625,2.342911,1.965872,0,0,G0
1101,0.012654,2.759218,2.066185,0,0,G0
1101,0.01246,2.928436,2.506925,0,0,G0
1101,0.026022,2.023987,0,0,0,G0
1101,0.012846,2.16077,1.64098,0,0,G0
1101,0.012614,2.161285,1.620225,0,0,G0
1101,0.01251,2.558391,2.006091,0,0,G0
1101,0.012624,2.713761,2.120425,0,0,G0
1000,1,0,0,0,0,G2
1000,0,0,0,0,0,G2
1000,1,0,0,0,0,G2
1000,1,0,0,0,0,G2
1000,1,0,0,0,0,G2
1000,1,0,0,0,0,G2
1000,1,0,0,0,0,G2
1000,1,0,0,0,0,G2
1000,1,0,0,0,0,G2
1000,1,0,0,0,0,G2
1,0,0,0,0,0,G3
1,0.016718,0.541037,0,0,0,G3
1,0,0,0,0,0,G3
1,0,0,0,0,0,G3
1,1,0,0,0,0,G3
1,0,0,0,0,0,G3
1,1,0,0,0,0,G3
1,1,0,0,0,0,G3
1,1,0,0,0,0,G3
1,0,0,0,0,0,G3
11000,1,0,0,0,0,G4
11000,0.014298,2.826909,0,0,0,G4
11000,0.017128,0.587854,0,0,0,G4
11000,0.013906,0.578001,0,0,0,G4
11000,0.016069,0.526616,0,0,0,G4
11000,0.013521,2.143939,0,0,0,G4
11000,0.011151,2.881587,0,0,0,G4
11000,0.012976,2.4291,0,0,0,G4
11000,0.013781,1.16707,0,0,0,G4
11000,1,0,0,0,0,G4
1100,0.024069,1.02083,0,0,0,G5
1100,0.021582,1.610657,0,0,0,G5
1100,0.020918,1.640749,0,0,0,G5
1100,0,0,0,0,0,G5
1100,0.02335,1.738286,0,0,0,G5
1100,0.023011,1.997056,0,0,0,G5
1100,0.023433,1.439554,0,0,0,G5
1100,0.03708,1.234775,2.711801,0,0,G5
1100,0,0,0,0,0,G5
1100,0,0,0,0,0,G5
1110,0.029199,1.466297,0,0,0,G6
1110,0.019888,2.312101,2.157485,0,0,G6
1110,1,0,0,0,0,G6
1110,0.019445,2.461677,2.198257,0,0,G6
1110,0.019722,2.052802,1.807447,0,0,G6
1110,0.024261,1.033499,0,0,0,G6
1110,0.021595,2.702308,2.228577,0,0,G6
1110,1,0,0,0,0,G6
1110,1,0,0,0,0,G6
1110,0.020074,2.541336,2.300484,0,0,G6
10001,0.016136,0.189126,0,0,0,G7
10001,0.012156,0.641166,0,0,0,G7
10001,0,0,0,0,0,G7
10001,1,0,0,0,0,G7
10001,0.010072,0.181889,0,0,0,G7
10001,0.010905,0.500134,0,0,0,G7
10001,0,0,0,0,0,G7
10001,0.010467,0.790985,0,0,0,G7
10001,0.010653,0.400748,0,0,0,G7
10001,0.01051,0.246611,0,0,0,G7
11001,0.010541,4.201895,3.589105,0,0,G8
11001,0.011822,5.474811,4.758352,0,0,G8
11001,0.015422,3.744194,0,0,0,G8
11001,0.017883,2.773104,0,0,0,G8
11001,0.011711,3.88082,3.13008,0,0,G8
11001,0.011191,4.55499,3.808392,0,0,G8
11001,0.011619,6.948523,6.150044,0,0,G8
11001,0.015418,5.623022,0,0,0,G8
11001,0.010716,6.914099,6.290797,0,0,G8
11001,0.011375,6.020041,5.137407,0,0,G8
11111,0.009301,3.467142,3.42099,3.247894,2.651787,G9
11111,0.010669,4.331477,4.479289,4.214166,3.448234,G9
11111,0.009081,3.084621,3.221116,3.054302,2.562638,G9
11111,0.009167,5.105647,5.120188,4.926242,4.246762,G9
11111,0.009374,1.97503,2.01991,1.812495,1.255303,G9
11111,0.010555,2.098935,2.041083,1.80605,0,G9
11111,0.009925,4.696747,4.803766,4.735086,4.276867,G9
11111,0.009157,7.086591,7.203006,7.151492,6.706867,G9
11111,0.009493,6.340759,6.365201,6.127171,5.617724,G9
11111,0.009193,4.566732,4.599581,4.503874,3.978602,G9
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,1,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
1101,0.011755,1.679687,1.332674,0,0,G0
1101,0.012031,2.505263,2.023229,0,0,G0
1101,0.012075,2.666659,2.159433,0,0,G0
1101,0.011871,2.285386,1.775265,0,0,G0
1101,0.012626,2.021174,1.665006,0,0,G0
1101,0.011668,2.424119,1.833871,0,0,G0
1101,0.011908,1.869291,1.527964,0,0,G0
1101,0.012328,2.244421,1.813531,0,0,G0
1101,0.012007,1.925906,1.527198,0,0,G0
1101,0.011619,2.235826,1.758586,0,0,G0
1000,0,0,0,0,0,G2
1000,0,0,0,0,0,G2
1000,0,0,0,0,0,G2
1000,0,0,0,0,0,G2
1000,0,0,0,0,0,G2
1000,0,0,0,0,0,G2
1000,0,0,0,0,0,G2
1000,0,0,0,0,0,G2
1000,0,0,0,0,0,G2
1000,0,0,0,0,0,G2
1,1,0,0,0,0,G3
1,1,0,0,0,0,G3
1,1,0,0,0,0,G3
1,1,0,0,0,0,G3
1,0,0,0,0,0,G3
1,0,0,0,0,0,G3
1,0,0,0,0,0,G3
1,1,0,0,0,0,G3
1,1,0,0,0,0,G3
1,1,0,0,0,0,G3
11000,0.010671,2.137151,0,0,0,G4
11000,0.010359,2.314631,0,0,0,G4
11000,0.011767,2.880613,0,0,0,G4
11000,1,0,0,0,0,G4
11000,0.015074,2.476516,1.548451,0,0,G4
11000,1,0,0,0,0,G4
11000,0.010832,1.133746,0,0,0,G4
11000,0.009896,2.040292,0,0,0,G4
11000,0.010102,2.142984,0,0,0,G4
11000,0.010755,1.551723,0,0,0,G4
1100,0.019291,1.286835,0,0,0,G5
1100,1,0,0,0,0,G5
1100,1,0,0,0,0,G5
1100,0,0,0,0,0,G5
1100,0.017318,1.721081,0,0,0,G5
1100,0.016626,1.734795,0,0,0,G5
1100,0.01844,1.294113,0,0,0,G5
1100,0.020647,1.305939,0,0,0,G5
1100,0,0,0,0,0,G5
1100,0.018844,1.25409,0,0,0,G5
1110,0.013852,2.153533,1.995845,0,0,G6
1110,0.013305,2.442055,2.246718,0,0,G6
1110,0.014167,2.077801,1.916269,0,0,G6
1110,0.014455,2.298096,2.077478,0,0,G6
1110,0.013917,1.66833,1.480218,0,0,G6
1110,0.01544,2.019825,1.759594,0,0,G6
1110,0.020546,1.310956,1.256135,0,0,G6
1110,0.012939,1.775795,1.605941,0,0,G6
1110,0.013425,1.584066,1.294743,0,0,G6
1110,0.014434,2.251905,1.984155,0,0,G6
10001,0.010607,3.142388,0,0,0,G7
10001,0.010792,2.653922,2.880503,0,0,G7
10001,0.039201,0.964787,9.783976,0,0,G7
10001,0.011007,2.764261,2.89045,0,0,G7
10001,0.010328,2.570461,0,0,0,G7
10001,0.011457,3.983932,4.172822,0,0,G7
10001,0.012013,3.9326,0,0,0,G7
10001,0.010542,2.684536,0,0,0,G7
10001,0.011021,3.192102,0,0,0,G7
10001,0.010978,2.425123,0,0,0,G7
11001,0.011977,4.764359,3.880919,4.396766,0,G8
11001,0.010943,4.097537,3.117222,0,0,G8
11001,0.010353,4.031798,3.459741,0,0,G8
11001,0.011148,4.222198,3.638376,0,0,G8
11001,0.010735,4.287391,3.475688,0,0,G8
11001,0.011378,3.915275,3.114105,0,0,G8
11001,0.010599,3.855591,2.969091,0,0,G8
11001,0.010973,3.97739,3.212373,0,0,G8
11001,0.010902,4.61943,3.876088,0,0,G8
11001,0.01119,3.191657,2.373737,0,0,G8
11111,0.00869,2.649596,2.737096,1.964551,2.425604,G9
11111,0.008805,2.549188,2.719091,1.952886,2.46722,G9
11111,0.00888,2.785559,2.799219,1.841744,2.370723,G9
11111,0.008157,2.495109,2.557856,2.205323,0,G9
11111,0.008863,2.684768,2.793168,1.872318,2.433289,G9
11111,0.008569,3.487632,3.696452,2.991677,3.503557,G9
11111,0.008891,3.255954,3.460378,2.607853,3.168638,G9
11111,0.008414,3.248523,3.31209,2.819771,0,G9
11111,0.008162,3.25262,3.401956,3.194432,2.644456,G9
11111,0.008259,3.201528,3.13351,2.643073,0,G9
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
1101,0.010997,2.331832,1.754914,0,0,G0
1101,0.010501,2.427099,1.933388,0,0,G0
1101,0.010776,2.528678,1.965183,0,0,G0
1101,0.011858,1.949924,0,0,0,G0
1101,0.01071,2.668672,2.077415,0,0,G0
1101,0.010442,2.462442,1.884354,0,0,G0
1101,0.010727,2.474867,1.965286,0,0,G0
1101,0.011027,2.480407,1.967646,0,0,G0
1101,1,0,0,0,0,G0
1101,0.011043,2.587882,1.998994,0,0,G0
1000,1,0,0,0,0,G2
1000,1,0,0,0,0,G2
1000,1,0,0,0,0,G2
1000,1,0,0,0,0,G2
1000,0,0,0,0,0,G2
1000,1,0,0,0,0,G2
1000,1,0,0,0,0,G2
1000,0,0,0,0,0,G2
1000,0.016282,1.731921,0,0,0,G2
1000,1,0,0,0,0,G2
1,1,0,0,0,0,G3
