@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R1,5,6,18-22'

@attribute numFingers numeric
@attribute Max_Y numeric
@attribute fingersAreas numeric
@attribute fingertipElevation_f2 numeric
@attribute fingertipElevation_f3 numeric
@attribute fingertipElevation_f4 numeric
@attribute fingertipElevation_f5 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data
1,0.960213,1,2.069059,0,0,0,G5
2,1.034228,27.902817,3.18826,3.2916,0,0,G5
1,0.996419,1,3.190281,0,0,0,G5
0,0,0,0,0,0,0,G5
1,0.969423,1,2.101639,0,0,0,G5
3,0.993641,18.979395,2.324026,2.517935,2.306317,0,G6
1,0.938215,1,3.054793,0,0,0,G6
3,0.926696,18.622959,2.235231,2.490292,2.269758,0,G6
3,0.912681,18.366129,2.162264,2.413261,2.189,0,G6
3,0.922221,17.936562,2.120311,2.365904,2.140013,0,G6
3,1.078765,17.76836,2.546532,2.750862,2.556167,0,G6
3,1.005026,17.800419,2.380176,2.605932,2.410807,0,G6
2,0.745789,38.0121,2.747643,2.709472,0,0,G6
3,1.073336,18.599554,2.535672,2.753147,2.513848,0,G6
3,1.170329,18.201717,3.225746,3.458158,3.232599,0,G6
2,0.81088,69.908165,0,0,0,2.585142,G7
2,1.022262,77.238541,0,0,0,3.898848,G7
2,1.057828,79.161362,0,0,0,3.925811,G7
2,1.037736,83.083595,0,0,0,3.379407,G7
2,1.124422,78.348076,0,0,0,4.741308,G7
3,1.360674,44.688377,0,0,0,4.877326,G7
2,0.776607,78.815231,0,0,0,2.779773,G7
2,1.519801,75.410538,0,0,0,8.375031,G7
2,0.944019,79.038055,0,0,0,3.456703,G7
2,1.060393,70.284538,0,0,0,4.002843,G7
3,1.367308,31.84795,4.541636,0,0,3.928185,G8
2,1.373388,87.031273,5.742901,0,0,0,G8
3,1.426975,31.582924,4.830408,0,0,4.076703,G8
2,1.478418,88.510788,6.109691,0,0,0,G8
3,1.471149,34.360435,5.293864,0,0,4.627994,G8
2,1.272335,81.049911,5.009287,0,0,0,G8
3,1.179867,31.013523,4.37043,0,0,3.820997,G8
2,1.259652,71.723534,5.031978,0,0,0,G8
3,1.236284,32.058792,4.664822,0,0,4.101339,G8
3,1.343418,33.020748,4.909639,0,0,4.212711,G8
4,1.504573,16.910755,5.090964,5.258568,4.605475,0,G9
5,1.340814,13.740136,4.029668,4.13579,4.052598,3.695958,G9
5,1.295621,14.779031,3.54582,3.685647,3.625459,3.334631,G9
5,1.412484,11.713248,4.680151,4.839375,4.706978,4.295236,G9
1,0.600263,1,0,0,0,0,G9
5,1.42811,11.588235,5.102254,5.15669,4.987046,4.58841,G9
1,0.610598,1,0,0,0,0,G9
5,1.178239,11.072308,3.961159,4.167908,4.034494,3.587493,G9
5,1.352818,10.192496,4.483907,4.720399,4.584064,4.103108,G9
4,1.510261,16.426311,5.240202,5.070769,4.699021,0,G9
1,0.635808,1,0,0,0,0,G1
1,0.778669,1,0,0,0,0,G1
0,0,0,0,0,0,0,G1
1,0.81432,1,0,0,0,0,G1
1,0.864201,1,0,0,0,0,G1
1,0.786069,1,0,0,0,0,G1
1,0.671906,1,0,0,0,0,G1
1,0.71264,1,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
3,0.79501,19.429249,1.747296,1.937189,0,1.347058,G0
3,1.055807,22.119347,1.956516,2.218632,0,1.700621,G0
3,1.026527,22.894224,2.161407,2.43873,0,1.93843,G0
3,1.053928,23.186516,2.057047,2.383836,0,1.730752,G0
4,1.283488,19.955507,1.960845,2.540933,0,1.456636,G0
3,0.965162,22.108004,1.945522,2.194056,0,1.710254,G0
3,0.956813,22.267647,3.866393,3.99514,0,3.687164,G0
3,0.999659,22.644402,3.266629,3.53889,0,3.087073,G0
3,1.013991,21.962376,2.081799,2.343077,0,1.830847,G0
3,1.032953,19.529358,1.955744,2.154966,0,1.429949,G0
1,0.69643,1,0.514539,0,0,0,G2
1,-0.381329,1,0.680598,0,0,0,G2
0,0,0,0,0,0,0,G2
0,0,0,0,0,0,0,G2
1,0.780266,1,0.651294,0,0,0,G2
1,0.768555,1,0.708041,0,0,0,G2
2,1.024957,18.586517,1.044729,0,0,0,G2
2,1.0396,18.952829,1.10383,0,0,0,G2
2,1.060463,19.019991,1.345424,0,0,0,G2
2,0.939747,20.502623,0.845885,0,0,0,G2
1,0.843878,1,0,0,0,1.761956,G3
1,0.808117,1,0,0,0,2.427105,G3
1,0.901246,1,0,0,0,1.959951,G3
1,0.9465,1,0,0,0,2.267077,G3
1,0.887323,1,0,0,0,2.859358,G3
1,0.942052,1,0,0,0,2.23115,G3
2,1.277046,43.806084,0,0,0,2.81739,G3
1,0.864457,1,0,0,0,1.703367,G3
1,0.831736,1,0,0,0,1.72396,G3
1,0.8412,1,0,0,0,1.93749,G3
2,1.007392,53.363533,1.701352,0,0,0,G4
2,1.03995,55.445675,1.861036,0,0,0,G4
2,0.995725,57.632858,1.650402,0,0,0,G4
3,1.404686,18.210123,2.086187,0,0,0,G4
3,1.494884,17.409941,2.213711,0,0,0,G4
3,1.271162,18.754187,2.075226,0,0,0,G4
3,1.291995,19.466267,2.487475,0,0,0,G4
3,1.089693,19.616816,2.112467,0,0,0,G4
2,0.903819,53.907883,1.96664,0,0,0,G4
2,0.939392,54.080479,2.053533,0,0,0,G4
2,0.887494,35.383423,1.905487,1.854031,0,0,G5
2,0.925899,35.510876,2.062269,2.112619,0,0,G5
2,0.88639,36.217762,1.831598,1.917133,0,0,G5
3,2.267486,28.439514,3.896853,4.667479,0,0,G5
2,0.888379,35.175339,2.131417,2.21418,0,0,G5
2,0.867388,36.02306,2.620394,2.695342,0,0,G5
2,0.891259,35.848511,2.040568,2.083658,0,0,G5
2,0.913023,35.379021,1.926158,1.955444,0,0,G5
2,0.896674,33.79295,1.899811,1.933576,0,0,G5
2,0.843593,35.247337,1.763835,1.727625,0,0,G5
3,0.949435,15.573933,1.958068,2.065973,1.866892,0,G6
4,1.252604,14.413544,2.57332,2.739355,1.668595,0,G6
3,0.811824,17.945267,1.801968,1.916539,1.738299,0,G6
3,0.937772,17.476412,1.997224,2.151975,1.88613,0,G6
3,1.043624,15.826111,2.32594,2.444495,2.179388,0,G6
3,0.979963,16.318581,1.909319,2.065951,1.888517,0,G6
3,0.917098,15.603787,2.470532,2.606683,2.449893,0,G6
3,0.901396,15.716647,2.815992,2.974155,2.799173,0,G6
3,0.866462,16.018442,2.799346,2.95688,2.783392,0,G6
3,0.956087,16.020119,2.559534,2.695724,2.51478,0,G6
2,0.518405,80.422737,0,0,0,0.956591,G7
3,0.908251,41.267994,0,0,0,1.384579,G7
3,0.783362,40.350845,0,0,0,1.711591,G7
2,0.900812,74.734032,0,0,0,2.848105,G7
2,0.870361,76.033142,0,0,0,2.606421,G7
3,0.805686,40.558052,0,0,0,1.479126,G7
4,1.08874,26.645836,0,0,0,1.642864,G7
4,1.285265,26.544914,0,0,0,0.900476,G7
4,1.449588,27.584511,0,0,0,1.145414,G7
4,1.142757,26.861992,0,0,0,0.09792,G7
4,1.977088,17.067598,4.25606,0,0,3.400037,G8
2,1.033955,40.308922,1.822753,0,0,0,G8
3,1.165574,25.895041,3.169844,0,0,2.620257,G8
3,0.956686,24.940514,2.549367,0,0,1.883199,G8
3,0.993523,25.743473,2.434833,0,0,1.788014,G8
3,1.031452,25.42441,2.043718,0,0,1.370904,G8
3,1.177462,24.691273,1.934845,0,0,1.312227,G8
3,1.209937,24.97603,2.637744,0,0,1.996173,G8
4,1.195472,17.722002,4.077566,0,0,3.276005,G8
4,2.391885,18.097288,6.520862,0,0,5.495451,G8
5,1.349664,10.475904,3.855342,4.085877,3.918613,3.474774,G9
5,1.367724,10.736491,3.232668,3.410392,3.26334,2.84068,G9
5,1.302834,10.215485,3.593818,3.676095,3.54543,3.163843,G9
5,1.302651,10.836102,3.72731,3.910608,3.753439,3.336542,G9
5,1.310955,10.868353,4.125418,4.277683,4.147567,3.761934,G9
5,1.300923,9.782095,3.664258,3.766043,3.626928,3.182909,G9
5,1.339228,10.083056,3.154746,3.258385,3.08598,2.679865,G9
3,1.136419,25.220232,2.877027,2.769956,0,0,G9
3,1.357636,25.929398,5.471673,4.837096,0,0,G9
5,1.307832,10.531284,3.898855,4.064389,3.943558,3.506793,G9
0,0,0,0,0,0,0,G1
1,-0.436434,1,0,0,0,0,G1
2,-0.577997,5.416896,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
1,0.62587,1,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
4,1.653102,4.915854,3.200804,3.866323,0,3.432589,G0
3,1.011152,19.595537,2.869781,3.06101,0,2.529032,G0
3,1.065574,19.243837,3.455971,3.626464,0,3.077377,G0
5,3.374366,7.804761,7.758927,8.722976,0,1.401234,G0
3,0.929811,19.793972,1.929311,2.121263,0,1.66838,G0
3,0.937605,20.028419,1.962166,2.130976,0,1.614336,G0
3,0.962773,19.043934,2.668828,2.823006,0,2.236153,G0
2,0.848819,22.023912,2.519809,2.537647,0,0,G0
4,1.621572,1.973912,5.07996,5.543409,0,4.864698,G0
4,1.746894,4.449722,5.056568,5.529736,0,4.884039,G0
1,0.691537,1,0.782167,0,0,0,G2
0,0,0,0,0,0,0,G2
0,0,0,0,0,0,0,G2
0,0,0,0,0,0,0,G2
1,0.645461,1,0.811374,0,0,0,G2
1,0.73004,1,0.624098,0,0,0,G2
1,0.817998,1,0.96388,0,0,0,G2
0,0,0,0,0,0,0,G2
1,0.715518,1,0.669806,0,0,0,G2
1,0.765787,1,0.819212,0,0,0,G2
2,2.687721,49.595951,0,0,0,5.588802,G3
0,0,0,0,0,0,0,G3
2,1.57313,53.400436,0,0,0,3.357691,G3
1,0.854765,1,0,0,0,1.962697,G3
1,0.895916,1,0,0,0,2.435554,G3
1,0.85043,1,0,0,0,2.509979,G3
1,0.866428,1,0,0,0,2.32126,G3
1,0.823966,1,0,0,0,2.432033,G3
1,0.803636,1,0,0,0,2.480385,G3
1,0.808144,1,0,0,0,2.548279,G3
2,1.103987,50.252277,2.217389,0,0,0,G4
2,1.115498,48.429398,2.281158,0,0,0,G4
3,1.460319,14.786871,3.216953,0,0,0,G4
2,1.124563,50.12207,2.394318,0,0,0,G4
1,0.261743,1,0,0,0,0,G4
2,1.15236,49.292255,2.670159,0,0,0,G4
1,0.149529,1,0,0,0,0,G4
3,2.584348,77.524254,5.19557,0,0,0,G4
2,1.120862,50.425652,2.264404,0,0,0,G4
3,3.074546,34.100098,6.120978,0,0,0,G4
3,1.608927,30.171564,3.765091,0.737544,0,0,G5
3,1.275522,9.168107,3.384465,3.725769,0,0,G5
3,1.844815,11.501387,5.593565,5.910605,0,0,G5
2,0.717603,26.184465,2.093861,2.101737,0,0,G5
3,1.570754,18.09214,4.059782,4.40859,0,0,G5
2,0.701412,26.263199,1.656116,1.69653,0,0,G5
2,0.731091,27.691299,1.798941,1.804901,0,0,G5
2,0.831773,27.695864,2.568328,2.561266,0,0,G5
2,0.82368,28.322369,3.158669,3.18687,0,0,G5
3,1.71031,31.533884,5.362423,1.921971,0,0,G5
3,0.829726,19.914471,1.579357,1.806409,1.735807,0,G6
3,1.753694,7.737838,2.820252,3.387056,0.9349,0,G6
3,0.876376,19.64415,1.585589,1.715658,1.609502,0,G6
4,1.39442,7.008226,2.747815,2.996877,2.968055,0,G6
3,0.7709,19.759106,1.516607,1.69428,1.633131,0,G6
3,0.785042,19.387762,1.645035,1.852884,1.783288,0,G6
4,1.313331,5.810316,2.539201,2.884054,2.807809,0,G6
4,0.913673,3.458053,2.169876,2.692333,2.55109,0,G6
3,0.865698,20.15057,2.311286,2.460773,2.325623,0,G6
3,0.913107,20.21986,2.888182,2.963516,2.827507,0,G6
2,0.783446,53.090115,0,0,0,2.306137,G7
2,0.71422,28.018694,0,0,0,1.75715,G7
1,0.682302,1,0,0,0,0,G7
3,0.982685,30.324524,0,0,0,2.023843,G7
3,0.829572,30.072052,0,0,0,1.875043,G7
4,1.705116,5.104064,0,0,0,4.073871,G7
2,1.017446,53.317043,0,0,0,2.696643,G7
4,-4.037921,26.40741,0,0,0,12.381773,G7
4,3.744629,13.585074,0,0,0,4.264287,G7
3,2.149701,9.604671,0,0,0,6.370481,G7
3,1.070538,19.364756,3.189894,0,0,2.539773,G8
2,1.079445,35.649731,2.908525,0,0,0,G8
3,1.041452,20.332781,3.310952,0,0,2.756505,G8
4,-5.929143,69.943497,16.406713,0,0,14.285071,G8
3,1.018776,19.7327,2.93282,0,0,2.30768,G8
3,1.080394,19.846165,3.216164,0,0,2.59698,G8
3,1.171522,20.634821,4.019603,0,0,3.459401,G8
3,1.207806,20.530083,5.407362,0,0,4.905256,G8
3,1.092935,20.212069,4.469506,0,0,3.892395,G8
3,1.049074,19.471188,3.858044,0,0,3.208477,G8
5,1.059274,8.73686,3.583256,3.591082,3.476862,2.806365,G9
5,0.910056,8.881664,2.19238,2.324479,2.169836,1.536889,G9
5,1.12397,7.105643,3.13889,3.205146,3.083863,2.320241,G9
4,1.244326,15.284383,5.136301,5.129916,4.419653,0,G9
4,0.988158,16.43553,4.039729,4.006492,3.576392,0,G9
4,0.742008,15.619578,2.401072,2.326977,1.889486,0,G9
5,0.971874,8.800071,2.764143,2.869909,2.733367,2.075783,G9
5,0.942821,9.380643,2.336564,2.509696,2.377496,1.753782,G9
5,0.964272,9.375968,2.628773,2.724137,2.545563,1.978785,G9
5,1.080709,10.967755,3.385308,3.56586,3.432508,2.926412,G9
1,0.513998,1,0,0,0,0,G1
1,0.584972,1,0,0,0,0,G1
1,0.537501,1,0,0,0,0,G1
1,0.532832,1,0,0,0,0,G1
1,0.469594,1,0,0,0,0,G1
1,0.47517,1,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
1,0.527928,1,0,0,0,0,G1
3,1.074775,28.205624,3.304496,3.448358,0,3.020074,G0
3,1.182609,27.12533,4.541755,4.727411,0,4.205803,G0
3,1.164044,28.109241,3.824039,4.012097,0,3.487435,G0
3,1.075516,27.913639,3.142044,3.325052,0,2.7981,G0
3,1.051815,28.283398,3.248622,3.389153,0,2.988763,G0
3,1.089669,27.656107,4.264217,4.445772,0,3.949125,G0
3,1.02905,27.393061,3.768033,3.977086,0,3.516061,G0
3,0.944636,27.468975,2.731685,2.908622,0,2.460076,G0
4,1.118087,21.126677,3.123606,3.323933,0,2.592962,G0
3,1.070149,27.943962,3.240444,3.381718,0,2.946951,G0
1,0.413412,1,0.40087,0,0,0,G2
1,0.81329,1,0.653741,0,0,0,G2
1,0.787667,1,0.85771,0,0,0,G2
1,0.800882,1,1.321642,0,0,0,G2
1,0.713245,1,0.898788,0,0,0,G2
1,0.855622,1,1.036665,0,0,0,G2
1,0.608424,1,0.616803,0,0,0,G2
1,0.461732,1,0.922724,0,0,0,G2
1,0.601262,1,1.167477,0,0,0,G2
1,0.602885,1,1.068267,0,0,0,G2
1,0.555626,1,0,0,0,1.649739,G3
2,0.653779,8.558611,0,0,0,1.435525,G3
2,0.592454,8.260798,0,0,0,0.548141,G3
2,0.828634,6.617039,0,0,0,1.853569,G3
1,0.639066,1,0,0,0,1.988561,G3
1,0.655908,1,0,0,0,1.962445,G3
1,0.707425,1,0,0,0,2.501432,G3
2,0.872807,6.362509,0,0,0,2.919052,G3
1,0.467815,1,0,0,0,0.683025,G3
1,0.433847,1,0,0,0,0.724118,G3
3,1.100329,16.562922,2.010482,0,0,0,G4
2,0.466721,50.63102,0.501815,0,0,0,G4
2,0.861769,55.133663,1.475883,0,0,0,G4
3,1.135414,17.029902,2.571226,0,0,0,G4
3,1.254171,16.374195,2.580039,0,0,0,G4
3,1.342452,15.88985,2.688617,0,0,0,G4
3,1.219558,16.279348,2.891256,0,0,0,G4
3,1.180501,16.642817,2.984541,0,0,0,G4
3,1.10555,16.67091,2.168492,0,0,0,G4
2,0.979685,55.099251,1.356099,0,0,0,G4
2,0.558474,27.466497,1.106471,1.161095,0,0,G5
2,0.773781,27.646662,2.219078,2.218372,0,0,G5
2,0.804876,27.798517,2.037471,2.080377,0,0,G5
2,0.767767,27.890408,1.919999,1.983265,0,0,G5
2,0.794308,27.676783,2.073163,2.115077,0,0,G5
2,0.705901,27.788082,1.444278,1.495915,0,0,G5
2,0.703821,27.94903,1.429522,1.474883,0,0,G5
2,0.783468,28.034847,1.405533,1.459107,0,0,G5
2,0.700131,27.223623,1.967316,2.012777,0,0,G5
2,0.636403,27.652082,1.733198,1.746467,0,0,G5
3,0.972516,17.168375,2.164897,2.290388,2.118141,0,G6
3,1.014125,17.378466,2.287251,2.394208,2.207506,0,G6
3,1.031472,17.14905,2.339605,2.46392,2.269868,0,G6
3,1.009359,17.237867,2.346586,2.451472,2.276577,0,G6
3,0.88497,16.897444,1.787336,1.921484,1.724274,0,G6
3,0.826688,16.801483,1.943836,2.067434,1.880118,0,G6
3,0.853461,16.922415,2.304076,2.418892,2.241728,0,G6
3,0.861331,16.54907,2.452699,2.589725,2.409889,0,G6
3,1.035168,18.471989,3.171474,3.280604,3.168819,0,G6
3,1.004307,17.622847,2.524149,2.632466,2.473182,0,G6
2,1.206629,72.201683,0,0,0,1.555722,G7
2,1.044722,72.33197,0,0,0,2.365039,G7
2,1.029672,73.953262,0,0,0,1.97073,G7
2,0.965388,72.239662,0,0,0,2.128826,G7
2,0.962683,72.002129,0,0,0,1.972337,G7
2,1.056092,71.816238,0,0,0,2.00705,G7
2,1.032187,72.34948,0,0,0,2.972112,G7
2,0.979077,72.178688,0,0,0,1.454624,G7
2,0.773504,70.320694,0,0,0,0.499218,G7
2,0.795194,71.736969,0,0,0,0.523019,G7
3,1.059212,29.699686,4.243196,0,0,3.681748,G8
3,1.076568,28.802959,3.741098,0,0,3.097004,G8
4,0.919678,21.44853,3.033857,0,0,1.957484,G8
4,1.107732,21.427652,4.182112,0,0,3.096088,G8
3,0.837593,28.632725,1.962115,0,0,1.304427,G8
3,0.942505,28.429342,2.103075,0,0,1.433966,G8
3,1.022956,28.363503,3.676888,0,0,3.039683,G8
3,0.890381,29.338818,3.210921,0,0,2.6298,G8
3,0.721406,29.090879,2.302745,0,0,1.664755,G8
4,0.659854,21.3776,1.576943,0,0,0.613251,G8
5,1.085027,7.51787,1.850322,2.028571,1.907771,1.27657,G9
5,1.343303,10.037858,3.41393,3.611273,3.501278,2.952716,G9
5,1.26462,10.449368,3.542961,3.685598,3.565313,3.045263,G9
5,1.095991,9.683265,3.550491,3.67174,3.587299,3.055944,G9
5,1.082165,9.851491,3.46041,3.578918,3.489384,2.952679,G9
5,0.949379,10.246622,2.961399,3.087937,3.00403,2.48096,G9
5,0.787352,9.076012,1.99697,2.14448,2.011722,1.46829,G9
5,1.035568,9.387828,2.618608,2.739181,2.630876,2.055403,G9
5,1.116737,9.189385,3.669908,3.816625,3.714485,3.154437,G9
5,1.061109,9.54729,2.263813,2.351481,2.220672,1.65872,G9
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
3,1.002696,20.882399,2.50546,2.771589,0,2.434547,G0
3,1.083003,20.860098,1.779556,1.961989,0,1.473321,G0
3,0.902968,20.991903,2.12849,2.342911,0,1.965872,G0
3,0.954368,21.261385,2.688904,2.759218,0,2.066185,G0
3,0.95313,21.232153,2.676648,2.928436,0,2.506925,G0
2,0.637863,19.8237,1.834903,2.023987,0,0,G0
3,0.725178,20.460182,1.994629,2.16077,0,1.64098,G0
3,0.656027,21.052015,2.001169,2.161285,0,1.620225,G0
3,0.975539,21.471386,2.394215,2.558391,0,2.006091,G0
3,0.942541,20.57741,2.660907,2.713761,0,2.120425,G0
1,0.705502,1,1.277505,0,0,0,G2
0,0,0,0,0,0,0,G2
1,0.535409,1,0.894462,0,0,0,G2
1,0.593751,1,0.866158,0,0,0,G2
1,0.731584,1,0.938148,0,0,0,G2
1,0.700807,1,1.980027,0,0,0,G2
1,0.490158,1,2.284308,0,0,0,G2
1,0.443086,1,1.290012,0,0,0,G2
1,0.698579,1,0.662724,0,0,0,G2
1,0.734569,1,2.067153,0,0,0,G2
0,0,0,0,0,0,0,G3
2,0.84771,37.467548,0,0,0,0.134786,G3
0,0,0,0,0,0,0,G3
0,0,0,0,0,0,0,G3
1,0.625731,1,0,0,0,1.982845,G3
0,0,0,0,0,0,0,G3
1,0.788017,1,0,0,0,1.78512,G3
1,0.777787,1,0,0,0,2.032873,G3
1,0.871298,1,0,0,0,1.769209,G3
0,0,0,0,0,0,0,G3
1,0.404073,1,0,0,0,0,G4
2,1.207832,43.335747,2.826909,0,0,0,G4
2,0.849024,32.805344,0.587854,0,0,0,G4
2,0.793335,44.423435,0.578001,0,0,0,G4
2,0.450618,39.716812,0.526616,0,0,0,G4
2,0.679362,47.848164,2.143939,0,0,0,G4
2,0.869945,55.99432,2.881587,0,0,0,G4
2,0.954483,47.99987,2.4291,0,0,0,G4
2,0.678877,45.919861,1.16707,0,0,0,G4
1,0.420077,1,0,0,0,0,G4
2,0.572572,21.402111,0.990261,1.02083,0,0,G5
2,0.785725,23.92918,1.593661,1.610657,0,0,G5
2,1.157577,16.443775,2.648782,1.640749,0,0,G5
0,0,0,0,0,0,0,G5
2,0.734557,22.162588,1.740619,1.738286,0,0,G5
2,0.676725,22.216434,2.001103,1.997056,0,0,G5
2,0.711991,21.863609,1.419548,1.439554,0,0,G5
3,1.109469,15.804931,2.602875,1.234775,0,0,G5
0,0,0,0,0,0,0,G5
0,0,0,0,0,0,0,G5
2,0.636413,17.562973,1.294993,1.466297,0,0,G6
3,0.889369,13.202558,2.211512,2.312101,2.157485,0,G6
1,0.570999,1,2.182261,0,0,0,G6
3,0.950306,13.649017,2.370808,2.461677,2.198257,0,G6
3,0.825631,13.525636,1.894695,2.052802,1.807447,0,G6
2,0.909745,22.681602,1.410634,1.033499,0,0,G6
3,0.966036,13.019904,2.349935,2.702308,2.228577,0,G6
1,0.791876,1,2.264104,0,0,0,G6
1,0.54199,1,1.967882,0,0,0,G6
3,0.889428,13.217293,2.401308,2.541336,2.300484,0,G6
2,0.473931,37.84771,0,0,0,0.189126,G7
2,1.121157,72.603188,0,0,0,0.641166,G7
0,0,0,0,0,0,0,G7
1,0.136272,1,0,0,0,0,G7
2,0.33766,70.606186,0,0,0,0.181889,G7
2,0.367019,70.109825,0,0,0,0.500134,G7
0,0,0,0,0,0,0,G7
2,0.706372,70.54409,0,0,0,0.790985,G7
2,0.576606,70.084503,0,0,0,0.400748,G7
2,0.52991,70.591492,0,0,0,0.246611,G7
3,0.971917,26.484047,4.201895,0,0,3.589105,G8
3,1.302132,23.794563,5.474811,0,0,4.758352,G8
2,0.975185,38.128246,3.744194,0,0,0,G8
2,0.721539,31.819365,2.773104,0,0,0,G8
3,0.877267,23.968681,3.88082,0,0,3.13008,G8
3,0.768287,25.091311,4.55499,0,0,3.808392,G8
3,0.791049,24.495312,6.948523,0,0,6.150044,G8
2,0.705051,37.014832,5.623022,0,0,0,G8
3,0.935331,26.107718,6.914099,0,0,6.290797,G8
3,1.031711,24.757931,6.020041,0,0,5.137407,G8
5,0.908757,10.972218,3.467142,3.42099,3.247894,2.651787,G9
5,1.385827,6.586637,4.331477,4.479289,4.214166,3.448234,G9
5,0.861541,10.187063,3.084621,3.221116,3.054302,2.562638,G9
5,1.090867,10.263643,5.105647,5.120188,4.926242,4.246762,G9
5,0.798409,10.127734,1.97503,2.01991,1.812495,1.255303,G9
4,0.941229,15.87604,2.098935,2.041083,1.80605,0,G9
5,1.119402,10.776596,4.696747,4.803766,4.735086,4.276867,G9
5,1.052011,11.155943,7.086591,7.203006,7.151492,6.706867,G9
5,0.948001,11.073741,6.340759,6.365201,6.127171,5.617724,G9
5,0.877846,11.279895,4.566732,4.599581,4.503874,3.978602,G9
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
1,-0.371725,1,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
3,1.025194,21.950901,1.443633,1.679687,0,1.332674,G0
3,1.148941,21.175959,2.316373,2.505263,0,2.023229,G0
3,1.146282,21.540407,2.513523,2.666659,0,2.159433,G0
