@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R5,18-22'

@attribute Max_Y numeric
@attribute fingertipElevation_f2 numeric
@attribute fingertipElevation_f3 numeric
@attribute fingertipElevation_f4 numeric
@attribute fingertipElevation_f5 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data
1.426975,4.830408,4.076703,0,0,G8
1.478418,6.109691,0,0,0,G8
1.471149,5.293864,4.627994,0,0,G8
1.272335,5.009287,0,0,0,G8
1.179867,4.37043,3.820997,0,0,G8
1.259652,5.031978,0,0,0,G8
1.236284,4.664822,4.101339,0,0,G8
1.343418,4.909639,4.212711,0,0,G8
1.504573,5.090964,5.258568,4.605475,0,G9
1.340814,4.029668,4.13579,4.052598,3.695958,G9
1.295621,3.54582,3.685647,3.625459,3.334631,G9
1.412484,4.680151,4.839375,4.706978,4.295236,G9
0.600263,0,0,0,0,G9
1.42811,5.102254,5.15669,4.987046,4.58841,G9
0.610598,0,0,0,0,G9
1.178239,3.961159,4.167908,4.034494,3.587493,G9
1.352818,4.483907,4.720399,4.584064,4.103108,G9
1.510261,5.240202,5.070769,4.699021,0,G9
0.635808,0,0,0,0,G1
0.778669,0,0,0,0,G1
0,0,0,0,0,G1
0.81432,0,0,0,0,G1
0.864201,0,0,0,0,G1
0.786069,0,0,0,0,G1
0.671906,0,0,0,0,G1
0.71264,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0.79501,1.937189,1.347058,0,0,G0
1.055807,2.218632,1.700621,0,0,G0
1.026527,2.43873,1.93843,0,0,G0
1.053928,2.383836,1.730752,0,0,G0
1.283488,2.540933,1.456636,2.030975,0,G0
0.965162,2.194056,1.710254,0,0,G0
0.956813,3.99514,3.687164,0,0,G0
0.999659,3.53889,3.087073,0,0,G0
1.013991,2.343077,1.830847,0,0,G0
1.032953,2.154966,1.429949,0,0,G0
0.69643,0,0,0,0,G2
-0.381329,0,0,0,0,G2
0,0,0,0,0,G2
0,0,0,0,0,G2
0.780266,0,0,0,0,G2
0.768555,0,0,0,0,G2
1.024957,0.433266,0,0,0,G2
1.0396,0.43582,0,0,0,G2
1.060463,0.686488,0,0,0,G2
0.939747,0.188437,0,0,0,G2
0.843878,0,0,0,0,G3
0.808117,0,0,0,0,G3
0.901246,0,0,0,0,G3
0.9465,0,0,0,0,G3
0.887323,0,0,0,0,G3
0.942052,0,0,0,0,G3
1.277046,3.385674,0,0,0,G3
0.864457,0,0,0,0,G3
0.831736,0,0,0,0,G3
0.8412,0,0,0,0,G3
1.007392,1.701352,0,0,0,G4
1.03995,1.861036,0,0,0,G4
0.995725,1.650402,0,0,0,G4
1.404686,2.086187,1.209855,0,0,G4
1.494884,2.213711,1.230309,0,0,G4
1.271162,2.075226,1.145435,0,0,G4
1.291995,2.487475,1.600553,0,0,G4
1.089693,2.112467,1.179361,0,0,G4
0.903819,1.96664,0,0,0,G4
0.939392,2.053533,0,0,0,G4
0.887494,1.854031,0,0,0,G5
0.925899,2.112619,0,0,0,G5
0.88639,1.917133,0,0,0,G5
2.267486,4.667479,0.378649,0,0,G5
0.888379,2.21418,0,0,0,G5
0.867388,2.695342,0,0,0,G5
0.891259,2.083658,0,0,0,G5
0.913023,1.955444,0,0,0,G5
0.896674,1.933576,0,0,0,G5
0.843593,1.727625,0,0,0,G5
0.949435,2.065973,1.866892,0,0,G6
1.252604,2.739355,1.668595,2.538485,0,G6
0.811824,1.916539,1.738299,0,0,G6
0.937772,2.151975,1.88613,0,0,G6
1.043624,2.444495,2.179388,0,0,G6
0.979963,2.065951,1.888517,0,0,G6
0.917098,2.606683,2.449893,0,0,G6
0.901396,2.974155,2.799173,0,0,G6
0.866462,2.95688,2.783392,0,0,G6
0.956087,2.695724,2.51478,0,0,G6
0.518405,0.956591,0,0,0,G7
0.908251,1.384579,1.869916,0,0,G7
0.783362,1.711591,2.142963,0,0,G7
0.900812,2.848105,0,0,0,G7
0.870361,2.606421,0,0,0,G7
0.805686,1.479126,1.934364,0,0,G7
1.08874,1.642864,1.471326,1.872988,0,G7
1.285265,0.900476,0.729625,1.209474,0,G7
1.449588,1.145414,0.992289,1.53884,0,G7
1.142757,0.09792,0.0326,0.50894,0,G7
1.977088,4.25606,3.400037,0.51094,0,G8
1.033955,1.822753,0,0,0,G8
1.165574,3.169844,2.620257,0,0,G8
0.956686,2.549367,1.883199,0,0,G8
0.993523,2.434833,1.788014,0,0,G8
1.031452,2.043718,1.370904,0,0,G8
1.177462,1.934845,1.312227,0,0,G8
1.209937,2.637744,1.996173,0,0,G8
1.195472,4.077566,3.276005,3.425293,0,G8
2.391885,6.520862,5.495451,0.825639,0,G8
1.349664,3.855342,4.085877,3.918613,3.474774,G9
1.367724,3.232668,3.410392,3.26334,2.84068,G9
1.302834,3.593818,3.676095,3.54543,3.163843,G9
1.302651,3.72731,3.910608,3.753439,3.336542,G9
1.310955,4.125418,4.277683,4.147567,3.761934,G9
1.300923,3.664258,3.766043,3.626928,3.182909,G9
1.339228,3.154746,3.258385,3.08598,2.679865,G9
1.136419,2.877027,2.769956,0,0,G9
1.357636,5.471673,4.837096,0,0,G9
1.307832,3.898855,4.064389,3.943558,3.506793,G9
0,0,0,0,0,G1
-0.436434,0,0,0,0,G1
-0.577997,0.994497,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0.62587,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
1.653102,3.866323,3.432589,1.578599,0,G0
1.011152,3.06101,2.529032,0,0,G0
1.065574,3.626464,3.077377,0,0,G0
3.374366,8.722976,1.401234,7.393506,3.218856,G0
0.929811,2.121263,1.66838,0,0,G0
0.937605,2.130976,1.614336,0,0,G0
0.962773,2.823006,2.236153,0,0,G0
0.848819,2.537647,0,0,0,G0
1.621572,5.543409,4.864698,2.488564,0,G0
1.746894,5.529736,4.884039,2.807004,0,G0
0.691537,0,0,0,0,G2
0,0,0,0,0,G2
0,0,0,0,0,G2
0,0,0,0,0,G2
0.645461,0,0,0,0,G2
0.73004,0,0,0,0,G2
0.817998,0,0,0,0,G2
0,0,0,0,0,G2
0.715518,0,0,0,0,G2
0.765787,0,0,0,0,G2
2.687721,8.966497,0,0,0,G3
0,0,0,0,0,G3
1.57313,1.68142,0,0,0,G3
0.854765,0,0,0,0,G3
0.895916,0,0,0,0,G3
0.85043,0,0,0,0,G3
0.866428,0,0,0,0,G3
0.823966,0,0,0,0,G3
0.803636,0,0,0,0,G3
0.808144,0,0,0,0,G3
1.103987,2.217389,0,0,0,G4
1.115498,2.281158,0,0,0,G4
1.460319,3.216953,2.18216,0,0,G4
1.124563,2.394318,0,0,0,G4
0.261743,0,0,0,0,G4
1.15236,2.670159,0,0,0,G4
0.149529,0,0,0,0,G4
2.584348,5.19557,0.39465,0,0,G4
1.120862,2.264404,0,0,0,G4
3.074546,6.120978,0.608062,0,0,G4
1.608927,0.737544,3.4505,0,0,G5
1.275522,3.725769,0.638286,0,0,G5
1.844815,5.910605,2.083252,0,0,G5
0.717603,2.101737,0,0,0,G5
1.570754,4.40859,1.17984,0,0,G5
0.701412,1.69653,0,0,0,G5
0.731091,1.804901,0,0,0,G5
0.831773,2.561266,0,0,0,G5
0.82368,3.18687,0,0,0,G5
1.71031,1.921971,5.017191,0,0,G5
0.829726,1.806409,1.735807,0,0,G6
1.753694,3.387056,0.9349,0,0,G6
0.876376,1.715658,1.609502,0,0,G6
1.39442,2.996877,2.968055,0.722541,0,G6
0.7709,1.69428,1.633131,0,0,G6
0.785042,1.852884,1.783288,0,0,G6
1.313331,2.884054,2.807809,0.778021,0,G6
0.913673,2.692333,2.55109,0.262122,0,G6
0.865698,2.460773,2.325623,0,0,G6
0.913107,2.963516,2.827507,0,0,G6
0.783446,2.306137,0,0,0,G7
0.71422,1.75715,0,0,0,G7
0.682302,0,0,0,0,G7
0.982685,2.023843,2.321926,0,0,G7
0.829572,1.875043,2.157629,0,0,G7
1.705116,4.073871,4.702125,1.875468,0,G7
1.017446,2.696643,0,0,0,G7
-4.037921,12.381773,6.060918,3.987506,0,G7
3.744629,4.264287,7.81752,1.955696,0,G7
2.149701,6.370481,1.248434,0,0,G7
1.070538,3.189894,2.539773,0,0,G8
1.079445,2.908525,0,0,0,G8
1.041452,3.310952,2.756505,0,0,G8
-5.929143,16.406713,14.285071,2.789194,0,G8
1.018776,2.93282,2.30768,0,0,G8
1.080394,3.216164,2.59698,0,0,G8
1.171522,4.019603,3.459401,0,0,G8
1.207806,5.407362,4.905256,0,0,G8
1.092935,4.469506,3.892395,0,0,G8
1.049074,3.858044,3.208477,0,0,G8
1.059274,3.583256,3.591082,3.476862,2.806365,G9
0.910056,2.19238,2.324479,2.169836,1.536889,G9
1.12397,3.13889,3.205146,3.083863,2.320241,G9
1.244326,5.136301,5.129916,4.419653,0,G9
0.988158,4.039729,4.006492,3.576392,0,G9
0.742008,2.401072,2.326977,1.889486,0,G9
0.971874,2.764143,2.869909,2.733367,2.075783,G9
0.942821,2.336564,2.509696,2.377496,1.753782,G9
0.964272,2.628773,2.724137,2.545563,1.978785,G9
1.080709,3.385308,3.56586,3.432508,2.926412,G9
0.513998,0,0,0,0,G1
0.584972,0,0,0,0,G1
0.537501,0,0,0,0,G1
0.532832,0,0,0,0,G1
0.469594,0,0,0,0,G1
0.47517,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0.527928,0,0,0,0,G1
1.074775,3.448358,3.020074,0,0,G0
1.182609,4.727411,4.205803,0,0,G0
1.164044,4.012097,3.487435,0,0,G0
1.075516,3.325052,2.7981,0,0,G0
1.051815,3.389153,2.988763,0,0,G0
1.089669,4.445772,3.949125,0,0,G0
1.02905,3.977086,3.516061,0,0,G0
0.944636,2.908622,2.460076,0,0,G0
1.118087,3.323933,2.592962,2.944596,0,G0
1.070149,3.381718,2.946951,0,0,G0
0.413412,0,0,0,0,G2
0.81329,0,0,0,0,G2
0.787667,0,0,0,0,G2
0.800882,0,0,0,0,G2
0.713245,0,0,0,0,G2
0.855622,0,0,0,0,G2
0.608424,0,0,0,0,G2
0.461732,0,0,0,0,G2
0.601262,0,0,0,0,G2
0.602885,0,0,0,0,G2
0.555626,0,0,0,0,G3
0.653779,2.107758,0,0,0,G3
0.592454,1.22534,0,0,0,G3
0.828634,2.511358,0,0,0,G3
0.639066,0,0,0,0,G3
0.655908,0,0,0,0,G3
0.707425,0,0,0,0,G3
0.872807,3.886456,0,0,0,G3
0.467815,0,0,0,0,G3
0.433847,0,0,0,0,G3
1.100329,2.010482,1.050212,0,0,G4
0.466721,0.501815,0,0,0,G4
0.861769,1.475883,0,0,0,G4
1.135414,2.571226,1.619933,0,0,G4
1.254171,2.580039,1.546137,0,0,G4
1.342452,2.688617,1.643467,0,0,G4
1.219558,2.891256,1.884853,0,0,G4
1.180501,2.984541,2.01054,0,0,G4
1.10555,2.168492,1.223954,0,0,G4
0.979685,1.356099,0,0,0,G4
0.558474,1.161095,0,0,0,G5
0.773781,2.218372,0,0,0,G5
0.804876,2.080377,0,0,0,G5
0.767767,1.983265,0,0,0,G5
0.794308,2.115077,0,0,0,G5
0.705901,1.495915,0,0,0,G5
0.703821,1.474883,0,0,0,G5
0.783468,1.459107,0,0,0,G5
0.700131,2.012777,0,0,0,G5
0.636403,1.746467,0,0,0,G5
0.972516,2.290388,2.118141,0,0,G6
1.014125,2.394208,2.207506,0,0,G6
1.031472,2.46392,2.269868,0,0,G6
1.009359,2.451472,2.276577,0,0,G6
0.88497,1.921484,1.724274,0,0,G6
0.826688,2.067434,1.880118,0,0,G6
0.853461,2.418892,2.241728,0,0,G6
0.861331,2.589725,2.409889,0,0,G6
1.035168,3.280604,3.168819,0,0,G6
1.004307,2.632466,2.473182,0,0,G6
1.206629,1.555722,0,0,0,G7
1.044722,2.365039,0,0,0,G7
1.029672,1.97073,0,0,0,G7
0.965388,2.128826,0,0,0,G7
0.962683,1.972337,0,0,0,G7
1.056092,2.00705,0,0,0,G7
1.032187,2.972112,0,0,0,G7
0.979077,1.454624,0,0,0,G7
0.773504,0.499218,0,0,0,G7
0.795194,0.523019,0,0,0,G7
1.059212,4.243196,3.681748,0,0,G8
1.076568,3.741098,3.097004,0,0,G8
0.919678,3.033857,1.957484,2.350348,0,G8
1.107732,4.182112,3.096088,3.552491,0,G8
0.837593,1.962115,1.304427,0,0,G8
0.942505,2.103075,1.433966,0,0,G8
1.022956,3.676888,3.039683,0,0,G8
0.890381,3.210921,2.6298,0,0,G8
0.721406,2.302745,1.664755,0,0,G8
0.659854,1.576943,0.613251,1.059939,0,G8
1.085027,1.850322,2.028571,1.907771,1.27657,G9
1.343303,3.41393,3.611273,3.501278,2.952716,G9
1.26462,3.542961,3.685598,3.565313,3.045263,G9
1.095991,3.550491,3.67174,3.587299,3.055944,G9
1.082165,3.46041,3.578918,3.489384,2.952679,G9
0.949379,2.961399,3.087937,3.00403,2.48096,G9
0.787352,1.99697,2.14448,2.011722,1.46829,G9
1.035568,2.618608,2.739181,2.630876,2.055403,G9
1.116737,3.669908,3.816625,3.714485,3.154437,G9
1.061109,2.263813,2.351481,2.220672,1.65872,G9
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
1.002696,2.771589,2.434547,0,0,G0
1.083003,1.961989,1.473321,0,0,G0
0.902968,2.342911,1.965872,0,0,G0
0.954368,2.759218,2.066185,0,0,G0
0.95313,2.928436,2.506925,0,0,G0
0.637863,2.023987,0,0,0,G0
0.725178,2.16077,1.64098,0,0,G0
0.656027,2.161285,1.620225,0,0,G0
0.975539,2.558391,2.006091,0,0,G0
0.942541,2.713761,2.120425,0,0,G0
0.705502,0,0,0,0,G2
0,0,0,0,0,G2
0.535409,0,0,0,0,G2
0.593751,0,0,0,0,G2
0.731584,0,0,0,0,G2
0.700807,0,0,0,0,G2
0.490158,0,0,0,0,G2
0.443086,0,0,0,0,G2
0.698579,0,0,0,0,G2
0.734569,0,0,0,0,G2
0,0,0,0,0,G3
0.84771,0.541037,0,0,0,G3
0,0,0,0,0,G3
0,0,0,0,0,G3
0.625731,0,0,0,0,G3
0,0,0,0,0,G3
0.788017,0,0,0,0,G3
0.777787,0,0,0,0,G3
0.871298,0,0,0,0,G3
0,0,0,0,0,G3
0.404073,0,0,0,0,G4
1.207832,2.826909,0,0,0,G4
0.849024,0.587854,0,0,0,G4
0.793335,0.578001,0,0,0,G4
0.450618,0.526616,0,0,0,G4
0.679362,2.143939,0,0,0,G4
0.869945,2.881587,0,0,0,G4
0.954483,2.4291,0,0,0,G4
0.678877,1.16707,0,0,0,G4
0.420077,0,0,0,0,G4
0.572572,1.02083,0,0,0,G5
0.785725,1.610657,0,0,0,G5
1.157577,1.640749,0,0,0,G5
0,0,0,0,0,G5
0.734557,1.738286,0,0,0,G5
0.676725,1.997056,0,0,0,G5
0.711991,1.439554,0,0,0,G5
1.109469,1.234775,2.711801,0,0,G5
0,0,0,0,0,G5
0,0,0,0,0,G5
0.636413,1.466297,0,0,0,G6
0.889369,2.312101,2.157485,0,0,G6
0.570999,0,0,0,0,G6
0.950306,2.461677,2.198257,0,0,G6
0.825631,2.052802,1.807447,0,0,G6
0.909745,1.033499,0,0,0,G6
0.966036,2.702308,2.228577,0,0,G6
0.791876,0,0,0,0,G6
0.54199,0,0,0,0,G6
0.889428,2.541336,2.300484,0,0,G6
0.473931,0.189126,0,0,0,G7
1.121157,0.641166,0,0,0,G7
0,0,0,0,0,G7
0.136272,0,0,0,0,G7
0.33766,0.181889,0,0,0,G7
0.367019,0.500134,0,0,0,G7
0,0,0,0,0,G7
0.706372,0.790985,0,0,0,G7
0.576606,0.400748,0,0,0,G7
0.52991,0.246611,0,0,0,G7
0.971917,4.201895,3.589105,0,0,G8
1.302132,5.474811,4.758352,0,0,G8
0.975185,3.744194,0,0,0,G8
0.721539,2.773104,0,0,0,G8
0.877267,3.88082,3.13008,0,0,G8
0.768287,4.55499,3.808392,0,0,G8
0.791049,6.948523,6.150044,0,0,G8
0.705051,5.623022,0,0,0,G8
0.935331,6.914099,6.290797,0,0,G8
1.031711,6.020041,5.137407,0,0,G8
0.908757,3.467142,3.42099,3.247894,2.651787,G9
1.385827,4.331477,4.479289,4.214166,3.448234,G9
0.861541,3.084621,3.221116,3.054302,2.562638,G9
1.090867,5.105647,5.120188,4.926242,4.246762,G9
0.798409,1.97503,2.01991,1.812495,1.255303,G9
0.941229,2.098935,2.041083,1.80605,0,G9
1.119402,4.696747,4.803766,4.735086,4.276867,G9
1.052011,7.086591,7.203006,7.151492,6.706867,G9
0.948001,6.340759,6.365201,6.127171,5.617724,G9
0.877846,4.566732,4.599581,4.503874,3.978602,G9
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
-0.371725,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
1.025194,1.679687,1.332674,0,0,G0
1.148941,2.505263,2.023229,0,0,G0
1.146282,2.666659,2.159433,0,0,G0
1.153117,2.285386,1.775265,0,0,G0
1.17592,2.021174,1.665006,0,0,G0
1.15498,2.424119,1.833871,0,0,G0
1.150069,1.869291,1.527964,0,0,G0
1.096475,2.244421,1.813531,0,0,G0
1.04504,1.925906,1.527198,0,0,G0
1.052926,2.235826,1.758586,0,0,G0
0,0,0,0,0,G2
0,0,0,0,0,G2
0,0,0,0,0,G2
0,0,0,0,0,G2
0,0,0,0,0,G2
0,0,0,0,0,G2
0,0,0,0,0,G2
0,0,0,0,0,G2
0,0,0,0,0,G2
0,0,0,0,0,G2
0.606668,0,0,0,0,G3
0.674613,0,0,0,0,G3
0.695482,0,0,0,0,G3
0.661723,0,0,0,0,G3
0,0,0,0,0,G3
0,0,0,0,0,G3
0,0,0,0,0,G3
0.709123,0,0,0,0,G3
0.704317,0,0,0,0,G3
0.690093,0,0,0,0,G3
1.031965,2.137151,0,0,0,G4
1.126038,2.314631,0,0,0,G4
1.089101,2.880613,0,0,0,G4
0.076166,0,0,0,0,G4
1.300608,2.476516,1.548451,0,0,G4
0.04864,0,0,0,0,G4
1.123193,1.133746,0,0,0,G4
1.058137,2.040292,0,0,0,G4
1.041764,2.142984,0,0,0,G4
1.156947,1.551723,0,0,0,G4
0.766375,1.286835,0,0,0,G5
0.769145,0,0,0,0,G5
0.712485,0,0,0,0,G5
0,0,0,0,0,G5
0.898188,1.721081,0,0,0,G5
0.951567,1.734795,0,0,0,G5
0.747147,1.294113,0,0,0,G5
0.746853,1.305939,0,0,0,G5
0,0,0,0,0,G5
0.807061,1.25409,0,0,0,G5
0.974883,2.153533,1.995845,0,0,G6
0.941199,2.442055,2.246718,0,0,G6
0.919969,2.077801,1.916269,0,0,G6
0.912956,2.298096,2.077478,0,0,G6
0.886854,1.66833,1.480218,0,0,G6
0.844682,2.019825,1.759594,0,0,G6
0.845279,1.310956,1.256135,0,0,G6
0.74577,1.775795,1.605941,0,0,G6
0.954471,1.584066,1.294743,0,0,G6
1.030164,2.251905,1.984155,0,0,G6
0.900033,3.142388,0,0,0,G7
1.191589,2.653922,2.880503,0,0,G7
2.90838,0.964787,9.783976,0,0,G7
1.082551,2.764261,2.89045,0,0,G7
1.098608,2.570461,0,0,0,G7
1.010494,3.983932,4.172822,0,0,G7
0.976073,3.9326,0,0,0,G7
1.038161,2.684536,0,0,0,G7
0.942478,3.192102,0,0,0,G7
0.882407,2.425123,0,0,0,G7
1.255788,4.764359,3.880919,4.396766,0,G8
1.308586,4.097537,3.117222,0,0,G8
0.996916,4.031798,3.459741,0,0,G8
1.182118,4.222198,3.638376,0,0,G8
1.202946,4.287391,3.475688,0,0,G8
1.189858,3.915275,3.114105,0,0,G8
1.188416,3.855591,2.969091,0,0,G8
1.178473,3.97739,3.212373,0,0,G8
1.195559,4.61943,3.876088,0,0,G8
0.970092,3.191657,2.373737,0,0,G8
1.287582,2.649596,2.737096,1.964551,2.425604,G9
1.328144,2.549188,2.719091,1.952886,2.46722,G9
1.31177,2.785559,2.799219,1.841744,2.370723,G9
1.216364,2.495109,2.557856,2.205323,0,G9
1.365156,2.684768,2.793168,1.872318,2.433289,G9
1.366577,3.487632,3.696452,2.991677,3.503557,G9
1.346891,3.255954,3.460378,2.607853,3.168638,G9
1.306442,3.248523,3.31209,2.819771,0,G9
1.33326,3.25262,3.401956,3.194432,2.644456,G9
1.23662,3.201528,3.13351,2.643073,0,G9
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
1.090625,2.331832,1.754914,0,0,G0
1.115472,2.427099,1.933388,0,0,G0
1.112508,2.528678,1.965183,0,0,G0
0.98304,1.949924,0,0,0,G0
1.013495,2.668672,2.077415,0,0,G0
0.979701,2.462442,1.884354,0,0,G0
1.070896,2.474867,1.965286,0,0,G0
1.072848,2.480407,1.967646,0,0,G0
0.796177,0,0,0,0,G0
1.139601,2.587882,1.998994,0,0,G0
0.904879,0,0,0,0,G2
0.830004,0,0,0,0,G2
0.933874,0,0,0,0,G2
0.834286,0,0,0,0,G2
0,0,0,0,0,G2
0.941433,0,0,0,0,G2
0.958562,0,0,0,0,G2
0,0,0,0,0,G2
1.373732,1.731921,0,0,0,G2
0.851933,0,0,0,0,G2
0.688457,0,0,0,0,G3
0.968013,0,0,0,0,G3
0.931877,0,0,0,0,G3
0.877188,0,0,0,0,G3
0.89396,0,0,0,0,G3
0.867564,0,0,0,0,G3
0.848933,0,0,0,0,G3
0.843853,0,0,0,0,G3
0.771164,0,0,0,0,G3
0.754998,0,0,0,0,G3
0.259996,0,0,0,0,G4
1.471787,2.763506,1.882963,0,0,G4
1.474227,2.481959,1.613256,0,0,G4
1.251474,1.903705,0,0,0,G4
1.230959,1.909232,0,0,0,G4
1.153618,1.774987,0,0,0,G4
1.184002,1.817703,0,0,0,G4
1.113585,1.506748,0,0,0,G4
1.165923,1.917948,0,0,0,G4
1.181201,2.214837,0,0,0,G4
0.831786,1.650699,0,0,0,G5
0.943422,1.923573,0,0,0,G5
0.910117,1.820373,0,0,0,G5
0.920849,0,0,0,0,G5
0.927262,1.869305,0,0,0,G5
0.943595,1.607996,0,0,0,G5
0.887789,0,0,0,0,G5
0.879447,1.798481,0,0,0,G5
0.876255,1.733206,0,0,0,G5
0.855967,1.642731,0,0,0,G5
0.942145,2.201002,1.982784,0,0,G6
0.95909,2.608777,2.453556,0,0,G6
0.924589,2.11624,1.918045,0,0,G6
1.004657,2.530725,2.330842,0,0,G6
1.007633,2.629942,2.44507,0,0,G6
1.007552,2.457115,2.297291,0,0,G6
0.99553,2.403111,2.196668,0,0,G6
0.996446,2.286544,2.063041,0,0,G6
1.047211,2.531724,2.296187,0,0,G6
1.049552,2.13933,1.900911,0,0,G6
1.119819,2.737714,0,0,0,G7
0.519808,0,0,0,0,G7
0.50776,0,0,0,0,G7
1.142831,2.5989,0,0,0,G7
1.131886,2.74876,0,0,0,G7
1.018693,3.073532,0,0,0,G7
1.210535,2.993518,0,0,0,G7
1.114058,2.465016,0,0,0,G7
1.129908,2.564542,0,0,0,G7
1.119336,2.686135,0,0,0,G7
1.378346,3.499493,2.401753,2.976589,0,G8
1.278494,3.340404,2.497936,0,0,G8
1.114626,2.820648,2.086836,0,0,G8
1.448913,3.620735,2.371606,2.890845,0,G8
1.252518,3.513155,2.780068,0,0,G8
1.08734,3.115993,2.311466,0,0,G8
1.031569,2.535746,1.64341,0,0,G8
1.123564,2.50407,1.585721,0,0,G8
1.225177,2.814799,1.813369,1.99695,0,G8
1.226979,3.111614,2.325379,0,0,G8
1.077653,2.295031,2.456929,2.271876,1.747492,G9
1.01224,2.568736,2.714351,2.519471,2.006902,G9
0.98381,2.435565,2.577415,2.393749,1.891648,G9
0.955558,2.247694,2.411663,2.225646,1.710008,G9
1.18467,2.900245,3.049588,2.873989,2.364183,G9
1.163117,2.869842,2.977826,2.789334,2.22542,G9
1.348693,3.435466,3.509477,3.323218,2.884544,G9
0.946905,2.36952,2.5109,2.3356,1.822936,G9
