@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R4,5,12-16,17-22'

@attribute Max_X numeric
@attribute Max_Y numeric
@attribute fingertipAngles_f1 numeric
@attribute fingertipAngles_f2 numeric
@attribute fingertipAngles_f3 numeric
@attribute fingertipAngles_f4 numeric
@attribute fingertipAngles_f5 numeric
@attribute fingertipElevation_f1 numeric
@attribute fingertipElevation_f2 numeric
@attribute fingertipElevation_f3 numeric
@attribute fingertipElevation_f4 numeric
@attribute fingertipElevation_f5 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data
0.032045,0.996419,0,176.36644,132.990967,0,0,0,3.190281,0,0,0,G5
0,0,0,125.737183,125.737183,0,0,0,0,0,0,0,G5
0.08606,0.969423,0,163.471024,121.620369,0,0,0,2.101639,0,0,0,G5
0.139896,0.993641,0,162.548111,171.519302,164.818192,0,0,2.324026,2.517935,2.306317,0,G6
0.216966,0.938215,0,176.308212,138.512131,138.512131,0,0,3.054793,0,0,0,G6
0.157546,0.926696,0,159.927841,176.875122,164.071777,0,0,2.235231,2.490292,2.269758,0,G6
0.14616,0.912681,0,159.776962,175.001617,162.559204,0,0,2.162264,2.413261,2.189,0,G6
0.141615,0.922221,0,159.760223,173.856689,162.611252,0,0,2.120311,2.365904,2.140013,0,G6
0.212588,1.078765,0,165.313492,172.76358,168.305649,0,0,2.546532,2.750862,2.556167,0,G6
0.417174,1.005026,0,163.474945,173.360367,165.86879,0,0,2.380176,2.605932,2.410807,0,G6
-0.166341,0.745789,0,165.097717,166.641983,127.405434,0,0,2.747643,2.709472,0,0,G6
-0.073798,1.073336,0,164.282593,172.933884,166.22258,0,0,2.535672,2.753147,2.513848,0,G6
0.082209,1.170329,0,169.11496,173.774216,171.354416,0,0,3.225746,3.458158,3.232599,0,G6
0.844688,0.81088,147.085251,0,0,0,148.129181,2.482913,0,0,0,2.585142,G7
0.811327,1.022262,157.913773,0,0,0,159.994034,3.797475,0,0,0,3.898848,G7
0.842655,1.057828,157.507599,0,0,0,159.018936,3.830956,0,0,0,3.925811,G7
1.014016,1.037736,153.025574,0,0,0,153.746048,3.459963,0,0,0,3.379407,G7
0.91576,1.124422,161.066452,0,0,0,162.288223,4.532323,0,0,0,4.741308,G7
0.86249,1.360674,163.005173,0,0,0,173.747086,5.440592,0,0,0,4.877326,G7
0.508107,0.776607,142.965393,0,0,0,147.75795,2.534494,0,0,0,2.779773,G7
0.839336,1.519801,167.050568,0,0,0,170.811218,7.381264,0,0,0,8.375031,G7
0.644728,0.944019,152.067429,0,0,0,156.85112,3.23059,0,0,0,3.456703,G7
0.29487,1.060393,160.481659,0,0,0,162.284927,3.801165,0,0,0,4.002843,G7
0.483445,1.367308,158.821487,176.447128,0,0,163.072083,3.647359,4.541636,0,0,3.928185,G8
0.829864,1.373388,161.688507,162.615356,0,0,139.254593,5.400174,5.742901,0,0,0,G8
0.567829,1.426975,158.159668,177.020065,0,0,161.198853,3.655792,4.830408,0,0,4.076703,G8
0.761607,1.478418,161.941376,163.952332,0,0,140.021179,5.708855,6.109691,0,0,0,G8
0.642846,1.471149,159.03038,177.220047,0,0,162.234543,4.143015,5.293864,0,0,4.627994,G8
0.283297,1.272335,159.653076,162.882004,0,0,140.35405,4.522891,5.009287,0,0,0,G8
0.607018,1.179867,160.37233,178.498825,0,0,161.39592,3.672434,4.37043,0,0,3.820997,G8
0.633312,1.259652,164.474838,165.52327,0,0,141.323166,4.833115,5.031978,0,0,0,G8
0.447865,1.236284,160.407837,175.823914,0,0,161.995728,3.885646,4.664822,0,0,4.101339,G8
0.622475,1.343418,158.70433,176.894485,0,0,161.318726,3.950901,4.909639,0,0,4.212711,G8
0.530258,1.504573,162.803726,176.261475,172.393829,166.18251,148.512497,4.140366,5.090964,5.258568,4.605475,0,G9
0.579419,1.340814,159.451492,174.992706,175.693207,170.935547,165.446472,3.036631,4.029668,4.13579,4.052598,3.695958,G9
0.695679,1.295621,156.939423,173.548355,173.992798,168.818237,164.833115,2.651221,3.54582,3.685647,3.625459,3.334631,G9
0.791347,1.412484,160.515213,174.034134,176.175858,171.212189,166.561081,3.556464,4.680151,4.839375,4.706978,4.295236,G9
-0.799085,0.600263,157.939636,116.752312,116.752312,116.752312,116.752312,1.899161,0,0,0,0,G9
0.850534,1.42811,161.816162,175.978546,173.015305,168.582962,165.080215,3.914217,5.102254,5.15669,4.987046,4.58841,G9
-0.788799,0.610598,158.935501,137.769104,137.769104,137.769104,137.769104,2.414654,0,0,0,0,G9
0.653589,1.178239,153.579422,171.220642,172.619476,167.022858,161.291168,2.618071,3.961159,4.167908,4.034494,3.587493,G9
0.904786,1.352818,156.853958,171.922501,172.539795,167.258636,161.931335,3.132445,4.483907,4.720399,4.584064,4.103108,G9
0.522232,1.510261,161.289032,176.33786,172.828476,167.542267,146.254669,3.590008,5.240202,5.070769,4.699021,0,G9
-0.768864,0.635808,0,0,0,0,0,0,0,0,0,0,G1
-0.616738,0.778669,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,G1
-0.553091,0.81432,0,0,0,0,0,0,0,0,0,0,G1
-0.50255,0.864201,0,0,0,0,0,0,0,0,0,0,G1
-0.617926,0.786069,0,0,0,0,0,0,0,0,0,0,G1
-0.739105,0.671906,0,0,0,0,0,0,0,0,0,0,G1
-0.698455,0.71264,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,G1
0.426401,0.79501,0,137.589539,165.491531,0,139.746552,0,1.747296,1.937189,0,1.347058,G0
0.588854,1.055807,0,144.060455,173.66011,0,146.252029,0,1.956516,2.218632,0,1.700621,G0
0.471281,1.026527,0,147.897171,171.931229,0,153.66568,0,2.161407,2.43873,0,1.93843,G0
0.58508,1.053928,0,141.884567,172.789322,0,145.147034,0,2.057047,2.383836,0,1.730752,G0
0.857719,1.283488,0,129.621063,159.340668,0,157.472794,0,1.960845,2.540933,0,1.456636,G0
0.270615,0.965162,0,143.083313,172.259659,0,152.125031,0,1.945522,2.194056,0,1.710254,G0
0.302741,0.956813,0,167.66539,174.647568,0,169.756104,0,3.866393,3.99514,0,3.687164,G0
0.347208,0.999659,0,161.986633,177.714569,0,166.327347,0,3.266629,3.53889,0,3.087073,G0
0.385278,1.013991,0,146.546463,177.953003,0,152.492371,0,2.081799,2.343077,0,1.830847,G0
0.543801,1.032953,0,139.489548,165.725128,0,140.957748,0,1.955744,2.154966,0,1.429949,G0
-0.215154,0.69643,0,48.859921,0,0,0,0,0.514539,0,0,0,G2
0.795045,-0.381329,0,124.367477,0,0,0,0,0.680598,0,0,0,G2
0,0,0,111.95285,0,0,0,0,0,0,0,0,G2
0,0,0,81.93309,0,0,0,0,0,0,0,0,G2
-0.186899,0.780266,0,69.507507,0,0,0,0,0.651294,0,0,0,G2
-0.122636,0.768555,0,69.701866,0,0,0,0,0.708041,0,0,0,G2
0.024574,1.024957,0,66.973549,0,0,0,0,1.044729,0,0,0,G2
0.129716,1.0396,0,68.05513,0,0,0,0,1.10383,0,0,0,G2
0.138083,1.060463,0,94.080872,0,0,0,0,1.345424,0,0,0,G2
0.035481,0.939747,0,48.285732,0,0,0,0,0.845885,0,0,0,G2
-0.108901,0.843878,0,0,0,0,171.664322,0,0,0,0,1.761956,G3
0.483535,0.808117,0,0,0,0,165.615784,0,0,0,0,2.427105,G3
0.313593,0.901246,0,0,0,0,171.766647,0,0,0,0,1.959951,G3
0.147303,0.9465,0,0,0,0,171.608826,0,0,0,0,2.267077,G3
0.40733,0.887323,0,0,0,0,171.026321,0,0,0,0,2.859358,G3
0.261888,0.942052,0,0,0,0,170.609177,0,0,0,0,2.23115,G3
0.72652,1.277046,0,0,0,0,162.612946,0,0,0,0,2.81739,G3
0.20873,0.864457,0,0,0,0,168.759064,0,0,0,0,1.703367,G3
0.04827,0.831736,0,0,0,0,166.942734,0,0,0,0,1.72396,G3
0.102806,0.8412,0,0,0,0,167.513641,0,0,0,0,1.93749,G3
-0.373879,1.007392,123.108398,127.804382,0,0,0,1.225886,1.701352,0,0,0,G4
-0.434245,1.03995,136.210159,138.401566,0,0,0,1.480442,1.861036,0,0,0,G4
-0.413022,0.995725,130.734604,126.305679,0,0,0,1.364171,1.650402,0,0,0,G4
-0.037151,1.404686,132.228668,130.718704,0,0,0,1.681572,2.086187,0,0,0,G4
-0.000103,1.494884,120.209167,143.173737,0,0,0,1.307954,2.213711,0,0,0,G4
-0.060346,1.271162,114.908333,141.555405,0,0,0,1.213791,2.075226,0,0,0,G4
-0.033475,1.291995,132.090958,154.048996,0,0,0,1.6922,2.487475,0,0,0,G4
-0.013315,1.089693,115.810112,137.619339,0,0,0,1.249614,2.112467,0,0,0,G4
-0.447857,0.903819,136.935532,141.645401,0,0,0,1.54044,1.96664,0,0,0,G4
-0.45698,0.939392,138.435791,145.068253,0,0,0,1.591134,2.053533,0,0,0,G4
0.264451,0.887494,0,157.298141,151.47937,0,0,0,1.905487,1.854031,0,0,G5
0.30508,0.925899,0,161.109604,162.240845,0,0,0,2.062269,2.112619,0,0,G5
0.161662,0.88639,0,155.217468,161.949905,0,0,0,1.831598,1.917133,0,0,G5
1.997881,2.267486,0,141.009811,172.37114,0,0,0,3.896853,4.667479,0,0,G5
0.207566,0.888379,0,162.550568,164.515289,0,0,0,2.131417,2.21418,0,0,G5
0.263061,0.867388,0,167.017761,168.560501,0,0,0,2.620394,2.695342,0,0,G5
0.295778,0.891259,0,160.789627,160.651489,0,0,0,2.040568,2.083658,0,0,G5
0.302774,0.913023,0,155.125366,156.202133,0,0,0,1.926158,1.955444,0,0,G5
0.291047,0.896674,0,157.062805,157.414474,0,0,0,1.899811,1.933576,0,0,G5
0.345031,0.843593,0,155.830521,148.050812,0,0,0,1.763835,1.727625,0,0,G5
0.054545,0.949435,0,162.40625,177.350327,160.028183,0,0,1.958068,2.065973,1.866892,0,G6
0.341613,1.252604,0,159.886642,176.202621,159.057236,0,0,2.57332,2.739355,1.668595,0,G6
0.183539,0.811824,0,154.972549,177.50769,153.820938,0,0,1.801968,1.916539,1.738299,0,G6
0.132188,0.937772,0,153.533035,176.96228,155.902496,0,0,1.997224,2.151975,1.88613,0,G6
0.299692,1.043624,0,164.910446,175.305054,158.253128,0,0,2.32594,2.444495,2.179388,0,G6
0.177524,0.979963,0,156.659332,174.431229,159.132797,0,0,1.909319,2.065951,1.888517,0,G6
0.124065,0.917098,0,165.980728,178.975113,167.706619,0,0,2.470532,2.606683,2.449893,0,G6
0.15952,0.901396,0,166.905579,177.663925,169.824829,0,0,2.815992,2.974155,2.799173,0,G6
0.093541,0.866462,0,167.622284,178.443542,168.931641,0,0,2.799346,2.95688,2.783392,0,G6
0.025135,0.956087,0,169.025162,178.344711,167.502808,0,0,2.559534,2.695724,2.51478,0,G6
1.095423,0.518405,89.516724,0,0,0,89.543671,1.011761,0,0,0,0.956591,G7
1.109315,0.908251,109.851532,0,0,0,138.285965,1.229554,0,0,0,1.384579,G7
0.911542,0.783362,122.52356,0,0,0,149.83226,1.618637,0,0,0,1.711591,G7
0.83926,0.900812,144.159943,0,0,0,147.573868,2.434556,0,0,0,2.848105,G7
1.004514,0.870361,144.15802,0,0,0,142.55423,2.527049,0,0,0,2.606421,G7
0.944776,0.805686,113.6362,0,0,0,142.817612,1.356734,0,0,0,1.479126,G7
1.053624,1.08874,116.994324,0,0,0,154.234924,1.531411,0,0,0,1.642864,G7
1.353392,1.285265,86.270149,0,0,0,73.566414,0.710862,0,0,0,0.900476,G7
1.458554,1.449588,96.252411,0,0,0,115.578766,1.005833,0,0,0,1.145414,G7
1.367796,1.142757,62.188419,0,0,0,24.563068,0.214614,0,0,0,0.09792,G7
1.775124,1.977088,131.880173,155.757553,0,0,142.389297,2.618955,4.25606,0,0,3.400037,G8
0.288527,1.033955,176.51709,149.82019,0,0,117.965179,2.265623,1.822753,0,0,0,G8
0.32148,1.165574,153.720856,177.791595,0,0,154.311493,2.406044,3.169844,0,0,2.620257,G8
0.155239,0.956686,143.850189,179.438721,0,0,142.884216,1.811319,2.549367,0,0,1.883199,G8
0.274512,0.993523,141.700806,179.223923,0,0,139.17041,1.712801,2.434833,0,0,1.788014,G8
0.31914,1.031452,128.657257,175.82991,0,0,126.06456,1.375134,2.043718,0,0,1.370904,G8
0.479261,1.177462,122.116074,157.150238,0,0,118.952278,1.172054,1.934845,0,0,1.312227,G8
0.500359,1.209937,147.015656,173.247665,0,0,142.935913,1.856683,2.637744,0,0,1.996173,G8
0.446692,1.195472,159.412155,176.559464,0,0,171.015945,3.146877,4.077566,0,0,3.276005,G8
2.231167,2.391885,151.090042,169.06192,0,0,157.355667,4.657246,6.520862,0,0,5.495451,G8
0.912641,1.349664,160.107834,174.631195,175.848938,169.01709,160.712158,2.886926,3.855342,4.085877,3.918613,3.474774,G9
0.795213,1.367724,155.288025,173.037949,174.72496,166.217316,155.481995,2.330731,3.232668,3.410392,3.26334,2.84068,G9
0.66777,1.302834,156.376144,170.923889,178.034958,170.251404,160.49585,2.448194,3.593818,3.676095,3.54543,3.163843,G9
0.777736,1.302651,160.238403,176.249603,174.238602,167.391861,160.448593,2.848297,3.72731,3.910608,3.753439,3.336542,G9
0.782084,1.310955,161.846405,174.749695,177.053833,170.403946,163.688889,3.191601,4.125418,4.277683,4.147567,3.761934,G9
0.792103,1.300923,157.581375,173.405853,175.455627,167.736404,160.304428,2.628631,3.664258,3.766043,3.626928,3.182909,G9
0.642047,1.339228,151.80928,169.919113,177.022842,167.159164,158.034683,2.091589,3.154746,3.258385,3.08598,2.679865,G9
-0.196212,1.136419,159.835266,172.978333,163.220871,128.067398,128.067398,2.244422,2.877027,2.769956,0,0,G9
0.671083,1.357636,165.539612,179.283447,164.180954,140.551788,140.551788,4.39732,5.471673,4.837096,0,0,G9
0.730756,1.307832,160.455063,175.313614,175.767273,169.007629,161.499741,2.917695,3.898855,4.064389,3.943558,3.506793,G9
0,0,0,0,0,0,0,0,0,0,0,0,G1
0.734957,-0.436434,0,0,0,0,0,0,0,0,0,0,G1
0.581342,-0.577997,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,G1
-0.667931,0.62587,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,G1
0.861251,1.653102,0,142.332962,156.281662,0,176.483307,0,3.200804,3.866323,0,3.432589,G0
0.461436,1.011152,0,160.787567,176.201752,0,164.689804,0,2.869781,3.06101,0,2.529032,G0
0.41388,1.065574,0,165.657059,177.942795,0,168.724884,0,3.455971,3.626464,0,3.077377,G0
1.781367,3.374366,0,150.5522,166.814194,0,173.651367,0,7.758927,8.722976,0,1.401234,G0
0.36219,0.929811,0,145.580276,172.613708,0,153.259186,0,1.929311,2.121263,0,1.66838,G0
0.457707,0.937605,0,147.211563,176.082993,0,150.05191,0,1.962166,2.130976,0,1.614336,G0
0.568438,0.962773,0,160.27478,173.541443,0,159.658691,0,2.668828,2.823006,0,2.236153,G0
-0.014742,0.848819,0,169.804062,172.109787,0,118.577271,0,2.519809,2.537647,0,0,G0
0.961435,1.621572,0,156.990738,168.490891,0,171.412415,0,5.07996,5.543409,0,4.864698,G0
0.910031,1.746894,0,157.996826,168.456482,0,173.448929,0,5.056568,5.529736,0,4.884039,G0
-0.303567,0.691537,0,76.631912,0,0,0,0,0.782167,0,0,0,G2
0,0,0,89.042931,0,0,0,0,0,0,0,0,G2
0,0,0,80.755898,0,0,0,0,0,0,0,0,G2
0,0,0,69.18438,0,0,0,0,0,0,0,0,G2
-0.315823,0.645461,0,71.548866,0,0,0,0,0.811374,0,0,0,G2
-0.111525,0.73004,0,71.709641,0,0,0,0,0.624098,0,0,0,G2
-0.210051,0.817998,0,103.47081,0,0,0,0,0.96388,0,0,0,G2
0,0,0,91.103645,0,0,0,0,0,0,0,0,G2
-0.267906,0.715518,0,71.640854,0,0,0,0,0.669806,0,0,0,G2
-0.291259,0.765787,0,88.540672,0,0,0,0,0.819212,0,0,0,G2
0.488662,2.687721,0,0,0,0,166.237671,0,0,0,0,5.588802,G3
0,0,0,0,0,0,129.491425,0,0,0,0,0,G3
0.822483,1.57313,0,0,0,0,144.016495,0,0,0,0,3.357691,G3
0.211315,0.854765,0,0,0,0,158.374939,0,0,0,0,1.962697,G3
0.257286,0.895916,0,0,0,0,171.498672,0,0,0,0,2.435554,G3
0.294008,0.85043,0,0,0,0,170.657898,0,0,0,0,2.509979,G3
0.213918,0.866428,0,0,0,0,175.978775,0,0,0,0,2.32126,G3
0.220521,0.823966,0,0,0,0,175.711761,0,0,0,0,2.432033,G3
0.164169,0.803636,0,0,0,0,173.301636,0,0,0,0,2.480385,G3
0.15234,0.808144,0,0,0,0,173.116989,0,0,0,0,2.548279,G3
-0.174105,1.103987,150.429321,146.845932,0,0,0,1.92091,2.217389,0,0,0,G4
-0.122953,1.115498,151.068497,151.967392,0,0,0,1.920436,2.281158,0,0,0,G4
0.18846,1.460319,149.284546,162.463028,0,0,0,2.536567,3.216953,0,0,0,G4
-0.164602,1.124563,148.854691,155.270782,0,0,0,1.971869,2.394318,0,0,0,G4
-0.94572,0.261743,164.039963,121.562927,0,0,0,2.732039,0,0,0,0,G4
-0.150126,1.15236,156.950668,157.529922,0,0,0,2.382105,2.670159,0,0,0,G4
-0.98293,0.149529,160.305389,123.231895,0,0,0,2.472052,0,0,0,0,G4
-0.008154,2.584348,159.547836,145.906097,0,0,0,5.081109,5.19557,0,0,0,G4
-0.180848,1.120862,149.536087,149.475662,0,0,0,1.956647,2.264404,0,0,0,G4
1.36589,3.074546,149.248337,151.168625,0,0,0,4.982361,6.120978,0,0,0,G4
-0.063246,1.608927,0,159.585892,140.582916,0,0,0,3.765091,0.737544,0,0,G5
0.972259,1.275522,0,143.613663,166.919235,0,0,0,3.384465,3.725769,0,0,G5
0.856262,1.844815,0,162.262024,175.851837,0,0,0,5.593565,5.910605,0,0,G5
-0.077521,0.717603,0,164.674164,168.732422,0,0,0,2.093861,2.101737,0,0,G5
1.139007,1.570754,0,150.221451,170.661713,0,0,0,4.059782,4.40859,0,0,G5
-0.078388,0.701412,0,153.755936,164.539261,0,0,0,1.656116,1.69653,0,0,G5
0.136451,0.731091,0,160.427338,161.81131,0,0,0,1.798941,1.804901,0,0,G5
0.192035,0.831773,0,169.577728,170.070908,0,0,0,2.568328,2.561266,0,0,G5
0.017633,0.82368,0,169.768372,174.412598,0,0,0,3.158669,3.18687,0,0,G5
-0.183645,1.71031,0,172.394135,155.047699,0,0,0,5.362423,1.921971,0,0,G5
0.15807,0.829726,0,137.544159,159.832901,170.051941,0,0,1.579357,1.806409,1.735807,0,G6
0.699618,1.753694,0,134.139099,160.811981,148.163284,0,0,2.820252,3.387056,0.9349,0,G6
0.125004,0.876376,0,143.387024,158.568115,155.211288,0,0,1.585589,1.715658,1.609502,0,G6
0.641382,1.39442,0,146.291122,162.02771,164.283127,0,0,2.747815,2.996877,2.968055,0,G6
0.070663,0.7709,0,136.786469,155.803604,167.825119,0,0,1.516607,1.69428,1.633131,0,G6
-0.009252,0.785042,0,141.794525,159.851151,173.523972,0,0,1.645035,1.852884,1.783288,0,G6
0.667561,1.313331,0,141.09761,160.426376,172.090042,0,0,2.539201,2.884054,2.807809,0,G6
1.009683,0.913673,0,120.411613,145.582108,153.855331,0,0,2.169876,2.692333,2.55109,0,G6
0.356224,0.865698,0,158.09407,177.012131,163.414658,0,0,2.311286,2.460773,2.325623,0,G6
0.24501,0.913107,0,165.891724,177.825241,168.170349,0,0,2.888182,2.963516,2.827507,0,G6
0.13836,0.783446,150.866776,0,0,0,160.885162,2.192527,0,0,0,2.306137,G7
-0.164355,0.71422,155.767197,0,0,0,160.37619,2.098306,0,0,0,1.75715,G7
-0.624042,0.682302,168.665237,0,0,0,121.673973,2.219085,0,0,0,0,G7
0.329231,0.982685,152.517059,0,0,0,164.810593,2.246607,0,0,0,2.023843,G7
0.38034,0.829572,146.980499,0,0,0,155.708069,2.159252,0,0,0,1.875043,G7
0.793739,1.705116,154.054306,0,0,0,168.350494,4.417421,0,0,0,4.073871,G7
0.29787,1.017446,157.02507,0,0,0,162.3703,2.523398,0,0,0,2.696643,G7
3.005895,-4.037921,149.606033,0,0,0,171.202713,9.964713,0,0,0,12.381773,G7
1.964791,3.744629,167.218613,0,0,0,156.438965,8.969092,0,0,0,4.264287,G7
2.029247,2.149701,150.675461,0,0,0,162.227585,5.735237,0,0,0,6.370481,G7
0.470137,1.070538,155.961044,167.585281,0,0,154.640747,2.463647,3.189894,0,0,2.539773,G8
-0.328652,1.079445,164.735199,165.001053,0,0,125.562599,2.552048,2.908525,0,0,0,G8
0.308704,1.041452,157.161865,170.758362,0,0,159.944489,2.625465,3.310952,0,0,2.756505,G8
4.830279,-5.929143,160.598526,172.398666,0,0,167.251312,13.37717,16.406713,0,0,14.285071,G8
0.317377,1.018776,154.976593,167.743378,0,0,153.04213,2.271872,2.93282,0,0,2.30768,G8
0.478468,1.080394,153.281052,170.502991,0,0,156.384583,2.384982,3.216164,0,0,2.59698,G8
0.378964,1.171522,162.362473,173.528778,0,0,164.775055,3.270124,4.019603,0,0,3.459401,G8
0.325927,1.207806,168.317596,175.326996,0,0,170.124725,4.73728,5.407362,0,0,4.905256,G8
0.254995,1.092935,163.177673,172.859192,0,0,166.632324,3.730794,4.469506,0,0,3.892395,G8
0.253362,1.049074,159.355789,170.543777,0,0,162.294601,3.08476,3.858044,0,0,3.208477,G8
0.985754,1.059274,157.120651,172.834534,175.773148,167.556152,154.049805,2.605869,3.583256,3.591082,3.476862,2.806365,G9
0.842018,0.910056,133.280258,155.881714,174.511292,157.903885,132.996231,1.26991,2.19238,2.324479,2.169836,1.536889,G9
1.16038,1.12397,148.056274,166.669312,176.250839,165.183868,147.019974,1.967825,3.13889,3.205146,3.083863,2.320241,G9
1.081631,1.244326,164.037476,173.334671,173.708176,164.406357,134.793076,4.289592,5.136301,5.129916,4.419653,0,G9
0.925269,0.988158,167.370453,174.924911,177.908005,164.890381,129.877228,3.943308,4.039729,4.006492,3.576392,0,G9
0.821203,0.742008,152.74411,167.642105,174.411667,149.000046,112.352119,2.229235,2.401072,2.326977,1.889486,0,G9
