@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R1,2,5,12-16,22'

@attribute numFingers numeric
@attribute fingersExtended numeric
@attribute Max_Y numeric
@attribute fingertipAngles_f1 numeric
@attribute fingertipAngles_f2 numeric
@attribute fingertipAngles_f3 numeric
@attribute fingertipAngles_f4 numeric
@attribute fingertipAngles_f5 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data
1,0,0.786069,0,0,0,0,0,G1
1,0,0.671906,0,0,0,0,0,G1
1,0,0.71264,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
3,1101,0.79501,0,137.589539,165.491531,0,139.746552,G0
3,1101,1.055807,0,144.060455,173.66011,0,146.252029,G0
3,1101,1.026527,0,147.897171,171.931229,0,153.66568,G0
3,1101,1.053928,0,141.884567,172.789322,0,145.147034,G0
4,1101,1.283488,0,129.621063,159.340668,0,157.472794,G0
3,1101,0.965162,0,143.083313,172.259659,0,152.125031,G0
3,1101,0.956813,0,167.66539,174.647568,0,169.756104,G0
3,1101,0.999659,0,161.986633,177.714569,0,166.327347,G0
3,1101,1.013991,0,146.546463,177.953003,0,152.492371,G0
3,1101,1.032953,0,139.489548,165.725128,0,140.957748,G0
1,1000,0.69643,0,48.859921,0,0,0,G2
1,1000,-0.381329,0,124.367477,0,0,0,G2
0,1000,0,0,111.95285,0,0,0,G2
0,1000,0,0,81.93309,0,0,0,G2
1,1000,0.780266,0,69.507507,0,0,0,G2
1,1000,0.768555,0,69.701866,0,0,0,G2
2,1000,1.024957,0,66.973549,0,0,0,G2
2,1000,1.0396,0,68.05513,0,0,0,G2
2,1000,1.060463,0,94.080872,0,0,0,G2
2,1000,0.939747,0,48.285732,0,0,0,G2
1,1,0.843878,0,0,0,0,171.664322,G3
1,1,0.808117,0,0,0,0,165.615784,G3
1,1,0.901246,0,0,0,0,171.766647,G3
1,1,0.9465,0,0,0,0,171.608826,G3
1,1,0.887323,0,0,0,0,171.026321,G3
1,1,0.942052,0,0,0,0,170.609177,G3
2,1,1.277046,0,0,0,0,162.612946,G3
1,1,0.864457,0,0,0,0,168.759064,G3
1,1,0.831736,0,0,0,0,166.942734,G3
1,1,0.8412,0,0,0,0,167.513641,G3
2,11000,1.007392,123.108398,127.804382,0,0,0,G4
2,11000,1.03995,136.210159,138.401566,0,0,0,G4
2,11000,0.995725,130.734604,126.305679,0,0,0,G4
3,11000,1.404686,132.228668,130.718704,0,0,0,G4
3,11000,1.494884,120.209167,143.173737,0,0,0,G4
3,11000,1.271162,114.908333,141.555405,0,0,0,G4
3,11000,1.291995,132.090958,154.048996,0,0,0,G4
3,11000,1.089693,115.810112,137.619339,0,0,0,G4
2,11000,0.903819,136.935532,141.645401,0,0,0,G4
2,11000,0.939392,138.435791,145.068253,0,0,0,G4
2,1100,0.887494,0,157.298141,151.47937,0,0,G5
2,1100,0.925899,0,161.109604,162.240845,0,0,G5
2,1100,0.88639,0,155.217468,161.949905,0,0,G5
3,1100,2.267486,0,141.009811,172.37114,0,0,G5
2,1100,0.888379,0,162.550568,164.515289,0,0,G5
2,1100,0.867388,0,167.017761,168.560501,0,0,G5
2,1100,0.891259,0,160.789627,160.651489,0,0,G5
2,1100,0.913023,0,155.125366,156.202133,0,0,G5
2,1100,0.896674,0,157.062805,157.414474,0,0,G5
2,1100,0.843593,0,155.830521,148.050812,0,0,G5
3,1110,0.949435,0,162.40625,177.350327,160.028183,0,G6
4,1110,1.252604,0,159.886642,176.202621,159.057236,0,G6
3,1110,0.811824,0,154.972549,177.50769,153.820938,0,G6
3,1110,0.937772,0,153.533035,176.96228,155.902496,0,G6
3,1110,1.043624,0,164.910446,175.305054,158.253128,0,G6
3,1110,0.979963,0,156.659332,174.431229,159.132797,0,G6
3,1110,0.917098,0,165.980728,178.975113,167.706619,0,G6
3,1110,0.901396,0,166.905579,177.663925,169.824829,0,G6
3,1110,0.866462,0,167.622284,178.443542,168.931641,0,G6
3,1110,0.956087,0,169.025162,178.344711,167.502808,0,G6
2,10001,0.518405,89.516724,0,0,0,89.543671,G7
3,10001,0.908251,109.851532,0,0,0,138.285965,G7
3,10001,0.783362,122.52356,0,0,0,149.83226,G7
2,10001,0.900812,144.159943,0,0,0,147.573868,G7
2,10001,0.870361,144.15802,0,0,0,142.55423,G7
3,10001,0.805686,113.6362,0,0,0,142.817612,G7
4,10001,1.08874,116.994324,0,0,0,154.234924,G7
4,10001,1.285265,86.270149,0,0,0,73.566414,G7
4,10001,1.449588,96.252411,0,0,0,115.578766,G7
4,10001,1.142757,62.188419,0,0,0,24.563068,G7
4,11001,1.977088,131.880173,155.757553,0,0,142.389297,G8
2,11001,1.033955,176.51709,149.82019,0,0,117.965179,G8
3,11001,1.165574,153.720856,177.791595,0,0,154.311493,G8
3,11001,0.956686,143.850189,179.438721,0,0,142.884216,G8
3,11001,0.993523,141.700806,179.223923,0,0,139.17041,G8
3,11001,1.031452,128.657257,175.82991,0,0,126.06456,G8
3,11001,1.177462,122.116074,157.150238,0,0,118.952278,G8
3,11001,1.209937,147.015656,173.247665,0,0,142.935913,G8
4,11001,1.195472,159.412155,176.559464,0,0,171.015945,G8
4,11001,2.391885,151.090042,169.06192,0,0,157.355667,G8
5,11111,1.349664,160.107834,174.631195,175.848938,169.01709,160.712158,G9
5,11111,1.367724,155.288025,173.037949,174.72496,166.217316,155.481995,G9
5,11111,1.302834,156.376144,170.923889,178.034958,170.251404,160.49585,G9
5,11111,1.302651,160.238403,176.249603,174.238602,167.391861,160.448593,G9
5,11111,1.310955,161.846405,174.749695,177.053833,170.403946,163.688889,G9
5,11111,1.300923,157.581375,173.405853,175.455627,167.736404,160.304428,G9
5,11111,1.339228,151.80928,169.919113,177.022842,167.159164,158.034683,G9
3,11111,1.136419,159.835266,172.978333,163.220871,128.067398,128.067398,G9
3,11111,1.357636,165.539612,179.283447,164.180954,140.551788,140.551788,G9
5,11111,1.307832,160.455063,175.313614,175.767273,169.007629,161.499741,G9
0,0,0,0,0,0,0,0,G1
1,0,-0.436434,0,0,0,0,0,G1
2,0,-0.577997,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
1,0,0.62587,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
4,1101,1.653102,0,142.332962,156.281662,0,176.483307,G0
3,1101,1.011152,0,160.787567,176.201752,0,164.689804,G0
3,1101,1.065574,0,165.657059,177.942795,0,168.724884,G0
5,1101,3.374366,0,150.5522,166.814194,0,173.651367,G0
3,1101,0.929811,0,145.580276,172.613708,0,153.259186,G0
3,1101,0.937605,0,147.211563,176.082993,0,150.05191,G0
3,1101,0.962773,0,160.27478,173.541443,0,159.658691,G0
2,1101,0.848819,0,169.804062,172.109787,0,118.577271,G0
4,1101,1.621572,0,156.990738,168.490891,0,171.412415,G0
4,1101,1.746894,0,157.996826,168.456482,0,173.448929,G0
1,1000,0.691537,0,76.631912,0,0,0,G2
0,1000,0,0,89.042931,0,0,0,G2
0,1000,0,0,80.755898,0,0,0,G2
0,1000,0,0,69.18438,0,0,0,G2
1,1000,0.645461,0,71.548866,0,0,0,G2
1,1000,0.73004,0,71.709641,0,0,0,G2
1,1000,0.817998,0,103.47081,0,0,0,G2
0,1000,0,0,91.103645,0,0,0,G2
1,1000,0.715518,0,71.640854,0,0,0,G2
1,1000,0.765787,0,88.540672,0,0,0,G2
2,1,2.687721,0,0,0,0,166.237671,G3
0,1,0,0,0,0,0,129.491425,G3
2,1,1.57313,0,0,0,0,144.016495,G3
1,1,0.854765,0,0,0,0,158.374939,G3
1,1,0.895916,0,0,0,0,171.498672,G3
1,1,0.85043,0,0,0,0,170.657898,G3
1,1,0.866428,0,0,0,0,175.978775,G3
1,1,0.823966,0,0,0,0,175.711761,G3
1,1,0.803636,0,0,0,0,173.301636,G3
1,1,0.808144,0,0,0,0,173.116989,G3
2,11000,1.103987,150.429321,146.845932,0,0,0,G4
2,11000,1.115498,151.068497,151.967392,0,0,0,G4
3,11000,1.460319,149.284546,162.463028,0,0,0,G4
2,11000,1.124563,148.854691,155.270782,0,0,0,G4
1,11000,0.261743,164.039963,121.562927,0,0,0,G4
2,11000,1.15236,156.950668,157.529922,0,0,0,G4
1,11000,0.149529,160.305389,123.231895,0,0,0,G4
3,11000,2.584348,159.547836,145.906097,0,0,0,G4
2,11000,1.120862,149.536087,149.475662,0,0,0,G4
3,11000,3.074546,149.248337,151.168625,0,0,0,G4
3,1100,1.608927,0,159.585892,140.582916,0,0,G5
3,1100,1.275522,0,143.613663,166.919235,0,0,G5
3,1100,1.844815,0,162.262024,175.851837,0,0,G5
2,1100,0.717603,0,164.674164,168.732422,0,0,G5
3,1100,1.570754,0,150.221451,170.661713,0,0,G5
2,1100,0.701412,0,153.755936,164.539261,0,0,G5
2,1100,0.731091,0,160.427338,161.81131,0,0,G5
2,1100,0.831773,0,169.577728,170.070908,0,0,G5
2,1100,0.82368,0,169.768372,174.412598,0,0,G5
3,1100,1.71031,0,172.394135,155.047699,0,0,G5
3,1110,0.829726,0,137.544159,159.832901,170.051941,0,G6
3,1110,1.753694,0,134.139099,160.811981,148.163284,0,G6
3,1110,0.876376,0,143.387024,158.568115,155.211288,0,G6
4,1110,1.39442,0,146.291122,162.02771,164.283127,0,G6
3,1110,0.7709,0,136.786469,155.803604,167.825119,0,G6
3,1110,0.785042,0,141.794525,159.851151,173.523972,0,G6
4,1110,1.313331,0,141.09761,160.426376,172.090042,0,G6
4,1110,0.913673,0,120.411613,145.582108,153.855331,0,G6
3,1110,0.865698,0,158.09407,177.012131,163.414658,0,G6
3,1110,0.913107,0,165.891724,177.825241,168.170349,0,G6
2,10001,0.783446,150.866776,0,0,0,160.885162,G7
2,10001,0.71422,155.767197,0,0,0,160.37619,G7
1,10001,0.682302,168.665237,0,0,0,121.673973,G7
3,10001,0.982685,152.517059,0,0,0,164.810593,G7
3,10001,0.829572,146.980499,0,0,0,155.708069,G7
4,10001,1.705116,154.054306,0,0,0,168.350494,G7
2,10001,1.017446,157.02507,0,0,0,162.3703,G7
4,10001,-4.037921,149.606033,0,0,0,171.202713,G7
4,10001,3.744629,167.218613,0,0,0,156.438965,G7
3,10001,2.149701,150.675461,0,0,0,162.227585,G7
3,11001,1.070538,155.961044,167.585281,0,0,154.640747,G8
2,11001,1.079445,164.735199,165.001053,0,0,125.562599,G8
3,11001,1.041452,157.161865,170.758362,0,0,159.944489,G8
4,11001,-5.929143,160.598526,172.398666,0,0,167.251312,G8
3,11001,1.018776,154.976593,167.743378,0,0,153.04213,G8
3,11001,1.080394,153.281052,170.502991,0,0,156.384583,G8
3,11001,1.171522,162.362473,173.528778,0,0,164.775055,G8
3,11001,1.207806,168.317596,175.326996,0,0,170.124725,G8
3,11001,1.092935,163.177673,172.859192,0,0,166.632324,G8
3,11001,1.049074,159.355789,170.543777,0,0,162.294601,G8
5,11111,1.059274,157.120651,172.834534,175.773148,167.556152,154.049805,G9
5,11111,0.910056,133.280258,155.881714,174.511292,157.903885,132.996231,G9
5,11111,1.12397,148.056274,166.669312,176.250839,165.183868,147.019974,G9
4,11111,1.244326,164.037476,173.334671,173.708176,164.406357,134.793076,G9
4,11111,0.988158,167.370453,174.924911,177.908005,164.890381,129.877228,G9
4,11111,0.742008,152.74411,167.642105,174.411667,149.000046,112.352119,G9
5,11111,0.971874,146.375336,166.564178,176.570923,164.338974,144.973083,G9
5,11111,0.942821,138.483383,159.846359,173.930008,162.044144,139.356567,G9
5,11111,0.964272,146.686935,165.483521,176.055344,166.265366,146.893875,G9
5,11111,1.080709,158.587219,172.542953,178.163986,171.31279,158.134842,G9
1,0,0.513998,0,0,0,0,0,G1
1,0,0.584972,0,0,0,0,0,G1
1,0,0.537501,0,0,0,0,0,G1
1,0,0.532832,0,0,0,0,0,G1
1,0,0.469594,0,0,0,0,0,G1
1,0,0.47517,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
1,0,0.527928,0,0,0,0,0,G1
3,1101,1.074775,0,164.586594,175.419617,0,161.868759,G0
3,1101,1.182609,0,169.246262,176.524734,0,167.220749,G0
3,1101,1.164044,0,166.229385,175.302261,0,163.737961,G0
3,1101,1.075516,0,162.313019,173.31636,0,158.420868,G0
3,1101,1.051815,0,162.672577,174.737122,0,162.50795,G0
3,1101,1.089669,0,167.870651,173.573944,0,165.190262,G0
3,1101,1.02905,0,164.778549,172.810669,0,163.217773,G0
3,1101,0.944636,0,157.022293,168.845734,0,153.842758,G0
4,1101,1.118087,0,155.468872,165.176437,0,171.806549,G0
3,1101,1.070149,0,163.517426,174.128189,0,161.526047,G0
1,1000,0.413412,0,29.618279,0,0,0,G2
1,1000,0.81329,0,64.836624,0,0,0,G2
1,1000,0.787667,0,87.888992,0,0,0,G2
1,1000,0.800882,0,137.011215,0,0,0,G2
1,1000,0.713245,0,80.060638,0,0,0,G2
1,1000,0.855622,0,108.287598,0,0,0,G2
1,1000,0.608424,0,52.191212,0,0,0,G2
1,1000,0.461732,0,61.061859,0,0,0,G2
1,1000,0.601262,0,134.098007,0,0,0,G2
1,1000,0.602885,0,132.361725,0,0,0,G2
1,1,0.555626,0,0,0,0,159.892532,G3
2,1,0.653779,0,0,0,0,169.495255,G3
2,1,0.592454,0,0,0,0,52.036568,G3
2,1,0.828634,0,0,0,0,175.768677,G3
1,1,0.639066,0,0,0,0,164.998001,G3
1,1,0.655908,0,0,0,0,164.103256,G3
1,1,0.707425,0,0,0,0,170.759048,G3
2,1,0.872807,0,0,0,0,173.704575,G3
1,1,0.467815,0,0,0,0,44.889503,G3
1,1,0.433847,0,0,0,0,50.7924,G3
3,11000,1.100329,114.560387,133.119064,0,0,0,G4
2,11000,0.466721,42.42955,39.22506,0,0,0,G4
2,11000,0.861769,105.002586,112.334946,0,0,0,G4
3,11000,1.135414,136.017624,154.751144,0,0,0,G4
3,11000,1.254171,132.005554,154.144653,0,0,0,G4
3,11000,1.342452,133.874084,156.922607,0,0,0,G4
3,11000,1.219558,140.183441,163.246262,0,0,0,G4
3,11000,1.180501,142.316177,166.072464,0,0,0,G4
3,11000,1.10555,121.624878,142.849915,0,0,0,G4
2,11000,0.979685,98.345917,100.853981,0,0,0,G4
2,1100,0.558474,0,113.05056,115.385757,0,0,G5
2,1100,0.773781,0,161.440491,158.827652,0,0,G5
2,1100,0.804876,0,165.068985,166.924835,0,0,G5
2,1100,0.767767,0,161.058945,167.725616,0,0,G5
2,1100,0.794308,0,167.03392,164.433136,0,0,G5
2,1100,0.705901,0,146.130478,150.86702,0,0,G5
2,1100,0.703821,0,143.394028,148.480362,0,0,G5
2,1100,0.783468,0,139.990692,157.262695,0,0,G5
2,1100,0.700131,0,164.123718,166.710754,0,0,G5
2,1100,0.636403,0,159.079269,160.872421,0,0,G5
3,1110,0.972516,0,161.027771,179.620499,161.343567,0,G6
3,1110,1.014125,0,163.040894,177.300781,162.125793,0,G6
3,1110,1.031472,0,164.326721,176.373337,163.052551,0,G6
3,1110,1.009359,0,164.659592,175.36908,162.747375,0,G6
3,1110,0.88497,0,150.335907,177.270844,152.010605,0,G6
3,1110,0.826688,0,155.022339,177.815735,157.191086,0,G6
3,1110,0.853461,0,162.073257,178.786301,162.991867,0,G6
3,1110,0.861331,0,163.447113,177.285797,166.949493,0,G6
3,1110,1.035168,0,170.774841,177.92868,170.193192,0,G6
3,1110,1.004307,0,166.34668,178.606033,166.365814,0,G6
2,10001,1.206629,118.23542,0,0,0,113.262886,G7
2,10001,1.044722,144.603088,0,0,0,139.1371,G7
2,10001,1.029672,131.547043,0,0,0,127.874481,G7
2,10001,0.965388,138.251114,0,0,0,132.642227,G7
2,10001,0.962683,136.212906,0,0,0,129.446472,G7
2,10001,1.056092,132.074844,0,0,0,129.911301,G7
2,10001,1.032187,152.091919,0,0,0,150.431808,G7
2,10001,0.979077,107.580704,0,0,0,106.688972,G7
2,10001,0.773504,59.235878,0,0,0,61.574509,G7
2,10001,0.795194,65.826645,0,0,0,69.152672,G7
3,11001,1.059212,162.860626,175.380936,0,0,159.62619,G8
3,11001,1.076568,151.784622,172.088409,0,0,151.70462,G8
4,11001,0.919678,137.575256,166.137772,0,0,164.62056,G8
4,11001,1.107732,153.336975,171.383102,0,0,170.821045,G8
3,11001,0.837593,114.441086,149.183395,0,0,112.304909,G8
3,11001,0.942505,121.839569,152.409531,0,0,117.406815,G8
3,11001,1.022956,154.104965,170.507935,0,0,151.102371,G8
3,11001,0.890381,151.300125,170.097061,0,0,149.241684,G8
3,11001,0.721406,134.340576,168.879211,0,0,129.27301,G8
4,11001,0.659854,89.489441,88.212166,0,0,88.85627,G8
5,11111,1.085027,107.318939,126.482452,150.565216,129.755005,111.18824,G9
5,11111,1.343303,151.101456,169.677444,176.936111,165.013382,153.708817,G9
5,11111,1.26462,151.609161,169.963013,176.565445,166.173065,155.13327,G9
5,11111,1.095991,151.674011,169.399872,174.127243,165.732803,154.407227,G9
5,11111,1.082165,150.510559,168.58168,173.24472,164.774063,153.321396,G9
5,11111,0.949379,143.956863,164.832611,172.048721,161.635193,147.648056,G9
5,11111,0.787352,118.778854,146.280884,162.181259,137.01091,120.309029,G9
5,11111,1.035568,136.848541,163.62825,169.982956,153.229736,138.763962,G9
5,11111,1.116737,153.222229,169.816025,174.65889,165.533905,154.993118,G9
5,11111,1.061109,126.653564,158.265045,162.61908,144.897522,129.189285,G9
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
3,1101,1.002696,0,154.250717,166.113617,0,164.773148,G0
3,1101,1.083003,0,144.264816,169.900009,0,143.445404,G0
3,1101,0.902968,0,152.200607,167.515976,0,158.567612,G0
3,1101,0.954368,0,170.047729,168.956039,0,152.372986,G0
3,1101,0.95313,0,156.319061,169.235611,0,163.216797,G0
2,1101,0.637863,0,150.471741,166.993591,0,109.7043,G0
3,1101,0.725178,0,150.697983,174.074387,0,148.416092,G0
3,1101,0.656027,0,151.363327,176.211777,0,145.785751,G0
3,1101,0.975539,0,160.377319,173.900589,0,152.376373,G0
3,1101,0.942541,0,168.891693,174.234146,0,155.848175,G0
1,1000,0.705502,0,130.576035,0,0,0,G2
0,1000,0,0,104.219337,0,0,0,G2
1,1000,0.535409,0,89.120705,0,0,0,G2
1,1000,0.593751,0,83.041534,0,0,0,G2
1,1000,0.731584,0,94.194473,0,0,0,G2
1,1000,0.700807,0,159.865707,0,0,0,G2
1,1000,0.490158,0,174.5327,0,0,0,G2
1,1000,0.443086,0,130.564636,0,0,0,G2
1,1000,0.698579,0,45.742229,0,0,0,G2
1,1000,0.734569,0,173.859787,0,0,0,G2
0,1,0,0,0,0,0,77.61145,G3
2,1,0.84771,0,0,0,0,33.976433,G3
0,1,0,0,0,0,0,74.729301,G3
0,1,0,0,0,0,0,84.557747,G3
1,1,0.625731,0,0,0,0,168.993698,G3
0,1,0,0,0,0,0,85.49054,G3
1,1,0.788017,0,0,0,0,178.465454,G3
1,1,0.777787,0,0,0,0,162.326813,G3
1,1,0.871298,0,0,0,0,148.071777,G3
0,1,0,0,0,0,0,72.57737,G3
1,11000,0.404073,15.980985,72.636932,0,0,0,G4
2,11000,1.207832,162.514709,159.485199,0,0,0,G4
2,11000,0.849024,59.11134,51.19342,0,0,0,G4
2,11000,0.793335,44.586025,49.813931,0,0,0,G4
2,11000,0.450618,64.228134,44.40876,0,0,0,G4
2,11000,0.679362,142.109726,148.76796,0,0,0,G4
2,11000,0.869945,156.502136,165.28302,0,0,0,G4
2,11000,0.954483,159.992325,152.358551,0,0,0,G4
2,11000,0.678877,106.819969,98.186317,0,0,0,G4
1,11000,0.420077,28.308504,73.921104,0,0,0,G4
2,1100,0.572572,0,93.443291,94.300819,0,0,G5
2,1100,0.785725,0,151.506027,159.472275,0,0,G5
2,1100,1.157577,0,166.776642,161.350739,0,0,G5
0,1100,0,0,93.766418,93.766418,0,0,G5
2,1100,0.734557,0,158.190247,165.830353,0,0,G5
2,1100,0.676725,0,166.683151,166.313187,0,0,G5
2,1100,0.711991,0,146.574524,154.072083,0,0,G5
3,1100,1.109469,0,151.121231,152.214645,0,0,G5
0,1100,0,0,104.059784,104.059784,0,0,G5
0,1100,0,0,85.238174,85.238174,0,0,G5
2,1110,0.636413,0,140.549011,168.024002,98.835403,0,G6
3,1110,0.889369,0,161.945007,175.18158,162.5867,0,G6
1,1110,0.570999,0,167.250854,111.96981,111.96981,0,G6
3,1110,0.950306,0,169.566971,171.674271,159.935257,0,G6
3,1110,0.825631,0,157.424408,174.604202,157.472473,0,G6
2,1110,0.909745,0,163.171722,115.279877,92.816658,0,G6
3,1110,0.966036,0,155.913086,174.922562,155.40683,0,G6
1,1110,0.791876,0,168.454819,112.216362,112.216362,0,G6
1,1110,0.54199,0,166.21344,105.115471,105.115471,0,G6
