@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R2,4,17-22'

@attribute fingersExtended numeric
@attribute Max_X numeric
@attribute fingertipElevation_f1 numeric
@attribute fingertipElevation_f2 numeric
@attribute fingertipElevation_f3 numeric
@attribute fingertipElevation_f4 numeric
@attribute fingertipElevation_f5 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data
1110,-0.073798,0,2.535672,2.753147,2.513848,0,G6
1110,0.082209,0,3.225746,3.458158,3.232599,0,G6
10001,0.844688,2.482913,0,0,0,2.585142,G7
10001,0.811327,3.797475,0,0,0,3.898848,G7
10001,0.842655,3.830956,0,0,0,3.925811,G7
10001,1.014016,3.459963,0,0,0,3.379407,G7
10001,0.91576,4.532323,0,0,0,4.741308,G7
10001,0.86249,5.440592,0,0,0,4.877326,G7
10001,0.508107,2.534494,0,0,0,2.779773,G7
10001,0.839336,7.381264,0,0,0,8.375031,G7
10001,0.644728,3.23059,0,0,0,3.456703,G7
10001,0.29487,3.801165,0,0,0,4.002843,G7
11001,0.483445,3.647359,4.541636,0,0,3.928185,G8
11001,0.829864,5.400174,5.742901,0,0,0,G8
11001,0.567829,3.655792,4.830408,0,0,4.076703,G8
11001,0.761607,5.708855,6.109691,0,0,0,G8
11001,0.642846,4.143015,5.293864,0,0,4.627994,G8
11001,0.283297,4.522891,5.009287,0,0,0,G8
11001,0.607018,3.672434,4.37043,0,0,3.820997,G8
11001,0.633312,4.833115,5.031978,0,0,0,G8
11001,0.447865,3.885646,4.664822,0,0,4.101339,G8
11001,0.622475,3.950901,4.909639,0,0,4.212711,G8
11111,0.530258,4.140366,5.090964,5.258568,4.605475,0,G9
11111,0.579419,3.036631,4.029668,4.13579,4.052598,3.695958,G9
11111,0.695679,2.651221,3.54582,3.685647,3.625459,3.334631,G9
11111,0.791347,3.556464,4.680151,4.839375,4.706978,4.295236,G9
11111,-0.799085,1.899161,0,0,0,0,G9
11111,0.850534,3.914217,5.102254,5.15669,4.987046,4.58841,G9
11111,-0.788799,2.414654,0,0,0,0,G9
11111,0.653589,2.618071,3.961159,4.167908,4.034494,3.587493,G9
11111,0.904786,3.132445,4.483907,4.720399,4.584064,4.103108,G9
11111,0.522232,3.590008,5.240202,5.070769,4.699021,0,G9
0,-0.768864,0,0,0,0,0,G1
0,-0.616738,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,-0.553091,0,0,0,0,0,G1
0,-0.50255,0,0,0,0,0,G1
0,-0.617926,0,0,0,0,0,G1
0,-0.739105,0,0,0,0,0,G1
0,-0.698455,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
1101,0.426401,0,1.747296,1.937189,0,1.347058,G0
1101,0.588854,0,1.956516,2.218632,0,1.700621,G0
1101,0.471281,0,2.161407,2.43873,0,1.93843,G0
1101,0.58508,0,2.057047,2.383836,0,1.730752,G0
1101,0.857719,0,1.960845,2.540933,0,1.456636,G0
1101,0.270615,0,1.945522,2.194056,0,1.710254,G0
1101,0.302741,0,3.866393,3.99514,0,3.687164,G0
1101,0.347208,0,3.266629,3.53889,0,3.087073,G0
1101,0.385278,0,2.081799,2.343077,0,1.830847,G0
1101,0.543801,0,1.955744,2.154966,0,1.429949,G0
1000,-0.215154,0,0.514539,0,0,0,G2
1000,0.795045,0,0.680598,0,0,0,G2
1000,0,0,0,0,0,0,G2
1000,0,0,0,0,0,0,G2
1000,-0.186899,0,0.651294,0,0,0,G2
1000,-0.122636,0,0.708041,0,0,0,G2
1000,0.024574,0,1.044729,0,0,0,G2
1000,0.129716,0,1.10383,0,0,0,G2
1000,0.138083,0,1.345424,0,0,0,G2
1000,0.035481,0,0.845885,0,0,0,G2
1,-0.108901,0,0,0,0,1.761956,G3
1,0.483535,0,0,0,0,2.427105,G3
1,0.313593,0,0,0,0,1.959951,G3
1,0.147303,0,0,0,0,2.267077,G3
1,0.40733,0,0,0,0,2.859358,G3
1,0.261888,0,0,0,0,2.23115,G3
1,0.72652,0,0,0,0,2.81739,G3
1,0.20873,0,0,0,0,1.703367,G3
1,0.04827,0,0,0,0,1.72396,G3
1,0.102806,0,0,0,0,1.93749,G3
11000,-0.373879,1.225886,1.701352,0,0,0,G4
11000,-0.434245,1.480442,1.861036,0,0,0,G4
11000,-0.413022,1.364171,1.650402,0,0,0,G4
11000,-0.037151,1.681572,2.086187,0,0,0,G4
11000,-0.000103,1.307954,2.213711,0,0,0,G4
11000,-0.060346,1.213791,2.075226,0,0,0,G4
11000,-0.033475,1.6922,2.487475,0,0,0,G4
11000,-0.013315,1.249614,2.112467,0,0,0,G4
11000,-0.447857,1.54044,1.96664,0,0,0,G4
11000,-0.45698,1.591134,2.053533,0,0,0,G4
1100,0.264451,0,1.905487,1.854031,0,0,G5
1100,0.30508,0,2.062269,2.112619,0,0,G5
1100,0.161662,0,1.831598,1.917133,0,0,G5
1100,1.997881,0,3.896853,4.667479,0,0,G5
1100,0.207566,0,2.131417,2.21418,0,0,G5
1100,0.263061,0,2.620394,2.695342,0,0,G5
1100,0.295778,0,2.040568,2.083658,0,0,G5
1100,0.302774,0,1.926158,1.955444,0,0,G5
1100,0.291047,0,1.899811,1.933576,0,0,G5
1100,0.345031,0,1.763835,1.727625,0,0,G5
1110,0.054545,0,1.958068,2.065973,1.866892,0,G6
1110,0.341613,0,2.57332,2.739355,1.668595,0,G6
1110,0.183539,0,1.801968,1.916539,1.738299,0,G6
1110,0.132188,0,1.997224,2.151975,1.88613,0,G6
1110,0.299692,0,2.32594,2.444495,2.179388,0,G6
1110,0.177524,0,1.909319,2.065951,1.888517,0,G6
1110,0.124065,0,2.470532,2.606683,2.449893,0,G6
1110,0.15952,0,2.815992,2.974155,2.799173,0,G6
1110,0.093541,0,2.799346,2.95688,2.783392,0,G6
1110,0.025135,0,2.559534,2.695724,2.51478,0,G6
10001,1.095423,1.011761,0,0,0,0.956591,G7
10001,1.109315,1.229554,0,0,0,1.384579,G7
10001,0.911542,1.618637,0,0,0,1.711591,G7
10001,0.83926,2.434556,0,0,0,2.848105,G7
10001,1.004514,2.527049,0,0,0,2.606421,G7
10001,0.944776,1.356734,0,0,0,1.479126,G7
10001,1.053624,1.531411,0,0,0,1.642864,G7
10001,1.353392,0.710862,0,0,0,0.900476,G7
10001,1.458554,1.005833,0,0,0,1.145414,G7
10001,1.367796,0.214614,0,0,0,0.09792,G7
11001,1.775124,2.618955,4.25606,0,0,3.400037,G8
11001,0.288527,2.265623,1.822753,0,0,0,G8
11001,0.32148,2.406044,3.169844,0,0,2.620257,G8
11001,0.155239,1.811319,2.549367,0,0,1.883199,G8
11001,0.274512,1.712801,2.434833,0,0,1.788014,G8
11001,0.31914,1.375134,2.043718,0,0,1.370904,G8
11001,0.479261,1.172054,1.934845,0,0,1.312227,G8
11001,0.500359,1.856683,2.637744,0,0,1.996173,G8
11001,0.446692,3.146877,4.077566,0,0,3.276005,G8
11001,2.231167,4.657246,6.520862,0,0,5.495451,G8
11111,0.912641,2.886926,3.855342,4.085877,3.918613,3.474774,G9
11111,0.795213,2.330731,3.232668,3.410392,3.26334,2.84068,G9
11111,0.66777,2.448194,3.593818,3.676095,3.54543,3.163843,G9
11111,0.777736,2.848297,3.72731,3.910608,3.753439,3.336542,G9
11111,0.782084,3.191601,4.125418,4.277683,4.147567,3.761934,G9
11111,0.792103,2.628631,3.664258,3.766043,3.626928,3.182909,G9
11111,0.642047,2.091589,3.154746,3.258385,3.08598,2.679865,G9
11111,-0.196212,2.244422,2.877027,2.769956,0,0,G9
11111,0.671083,4.39732,5.471673,4.837096,0,0,G9
11111,0.730756,2.917695,3.898855,4.064389,3.943558,3.506793,G9
0,0,0,0,0,0,0,G1
0,0.734957,0,0,0,0,0,G1
0,0.581342,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,-0.667931,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
1101,0.861251,0,3.200804,3.866323,0,3.432589,G0
1101,0.461436,0,2.869781,3.06101,0,2.529032,G0
1101,0.41388,0,3.455971,3.626464,0,3.077377,G0
1101,1.781367,0,7.758927,8.722976,0,1.401234,G0
1101,0.36219,0,1.929311,2.121263,0,1.66838,G0
1101,0.457707,0,1.962166,2.130976,0,1.614336,G0
1101,0.568438,0,2.668828,2.823006,0,2.236153,G0
1101,-0.014742,0,2.519809,2.537647,0,0,G0
1101,0.961435,0,5.07996,5.543409,0,4.864698,G0
1101,0.910031,0,5.056568,5.529736,0,4.884039,G0
1000,-0.303567,0,0.782167,0,0,0,G2
1000,0,0,0,0,0,0,G2
1000,0,0,0,0,0,0,G2
1000,0,0,0,0,0,0,G2
1000,-0.315823,0,0.811374,0,0,0,G2
1000,-0.111525,0,0.624098,0,0,0,G2
1000,-0.210051,0,0.96388,0,0,0,G2
1000,0,0,0,0,0,0,G2
1000,-0.267906,0,0.669806,0,0,0,G2
1000,-0.291259,0,0.819212,0,0,0,G2
1,0.488662,0,0,0,0,5.588802,G3
1,0,0,0,0,0,0,G3
1,0.822483,0,0,0,0,3.357691,G3
1,0.211315,0,0,0,0,1.962697,G3
1,0.257286,0,0,0,0,2.435554,G3
1,0.294008,0,0,0,0,2.509979,G3
1,0.213918,0,0,0,0,2.32126,G3
1,0.220521,0,0,0,0,2.432033,G3
1,0.164169,0,0,0,0,2.480385,G3
1,0.15234,0,0,0,0,2.548279,G3
11000,-0.174105,1.92091,2.217389,0,0,0,G4
11000,-0.122953,1.920436,2.281158,0,0,0,G4
11000,0.18846,2.536567,3.216953,0,0,0,G4
11000,-0.164602,1.971869,2.394318,0,0,0,G4
11000,-0.94572,2.732039,0,0,0,0,G4
11000,-0.150126,2.382105,2.670159,0,0,0,G4
11000,-0.98293,2.472052,0,0,0,0,G4
11000,-0.008154,5.081109,5.19557,0,0,0,G4
11000,-0.180848,1.956647,2.264404,0,0,0,G4
11000,1.36589,4.982361,6.120978,0,0,0,G4
1100,-0.063246,0,3.765091,0.737544,0,0,G5
1100,0.972259,0,3.384465,3.725769,0,0,G5
1100,0.856262,0,5.593565,5.910605,0,0,G5
1100,-0.077521,0,2.093861,2.101737,0,0,G5
1100,1.139007,0,4.059782,4.40859,0,0,G5
1100,-0.078388,0,1.656116,1.69653,0,0,G5
1100,0.136451,0,1.798941,1.804901,0,0,G5
1100,0.192035,0,2.568328,2.561266,0,0,G5
1100,0.017633,0,3.158669,3.18687,0,0,G5
1100,-0.183645,0,5.362423,1.921971,0,0,G5
1110,0.15807,0,1.579357,1.806409,1.735807,0,G6
1110,0.699618,0,2.820252,3.387056,0.9349,0,G6
1110,0.125004,0,1.585589,1.715658,1.609502,0,G6
1110,0.641382,0,2.747815,2.996877,2.968055,0,G6
1110,0.070663,0,1.516607,1.69428,1.633131,0,G6
1110,-0.009252,0,1.645035,1.852884,1.783288,0,G6
1110,0.667561,0,2.539201,2.884054,2.807809,0,G6
1110,1.009683,0,2.169876,2.692333,2.55109,0,G6
1110,0.356224,0,2.311286,2.460773,2.325623,0,G6
1110,0.24501,0,2.888182,2.963516,2.827507,0,G6
10001,0.13836,2.192527,0,0,0,2.306137,G7
10001,-0.164355,2.098306,0,0,0,1.75715,G7
10001,-0.624042,2.219085,0,0,0,0,G7
10001,0.329231,2.246607,0,0,0,2.023843,G7
10001,0.38034,2.159252,0,0,0,1.875043,G7
10001,0.793739,4.417421,0,0,0,4.073871,G7
10001,0.29787,2.523398,0,0,0,2.696643,G7
10001,3.005895,9.964713,0,0,0,12.381773,G7
10001,1.964791,8.969092,0,0,0,4.264287,G7
10001,2.029247,5.735237,0,0,0,6.370481,G7
11001,0.470137,2.463647,3.189894,0,0,2.539773,G8
11001,-0.328652,2.552048,2.908525,0,0,0,G8
11001,0.308704,2.625465,3.310952,0,0,2.756505,G8
11001,4.830279,13.37717,16.406713,0,0,14.285071,G8
11001,0.317377,2.271872,2.93282,0,0,2.30768,G8
11001,0.478468,2.384982,3.216164,0,0,2.59698,G8
11001,0.378964,3.270124,4.019603,0,0,3.459401,G8
11001,0.325927,4.73728,5.407362,0,0,4.905256,G8
11001,0.254995,3.730794,4.469506,0,0,3.892395,G8
11001,0.253362,3.08476,3.858044,0,0,3.208477,G8
11111,0.985754,2.605869,3.583256,3.591082,3.476862,2.806365,G9
11111,0.842018,1.26991,2.19238,2.324479,2.169836,1.536889,G9
11111,1.16038,1.967825,3.13889,3.205146,3.083863,2.320241,G9
11111,1.081631,4.289592,5.136301,5.129916,4.419653,0,G9
11111,0.925269,3.943308,4.039729,4.006492,3.576392,0,G9
11111,0.821203,2.229235,2.401072,2.326977,1.889486,0,G9
11111,0.964381,1.830875,2.764143,2.869909,2.733367,2.075783,G9
11111,0.810025,1.48832,2.336564,2.509696,2.377496,1.753782,G9
11111,0.666753,1.746774,2.628773,2.724137,2.545563,1.978785,G9
11111,0.702865,2.687785,3.385308,3.56586,3.432508,2.926412,G9
0,-0.728452,0,0,0,0,0,G1
0,-0.672955,0,0,0,0,0,G1
0,-0.720727,0,0,0,0,0,G1
0,-0.701598,0,0,0,0,0,G1
0,-0.693084,0,0,0,0,0,G1
0,-0.762485,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,-0.698562,0,0,0,0,0,G1
1101,0.726182,0,3.304496,3.448358,0,3.020074,G0
1101,0.792688,0,4.541755,4.727411,0,4.205803,G0
1101,0.809091,0,3.824039,4.012097,0,3.487435,G0
1101,0.838553,0,3.142044,3.325052,0,2.7981,G0
1101,0.655823,0,3.248622,3.389153,0,2.988763,G0
1101,0.86205,0,4.264217,4.445772,0,3.949125,G0
1101,0.956434,0,3.768033,3.977086,0,3.516061,G0
1101,0.955239,0,2.731685,2.908622,0,2.460076,G0
1101,1.007363,0,3.123606,3.323933,0,2.592962,G0
1101,0.734132,0,3.240444,3.381718,0,2.946951,G0
1000,-0.357227,0,0.40087,0,0,0,G2
1000,-0.078084,0,0.653741,0,0,0,G2
1000,-0.18588,0,0.85771,0,0,0,G2
1000,-0.085474,0,1.321642,0,0,0,G2
1000,-0.179387,0,0.898788,0,0,0,G2
1000,-0.199327,0,1.036665,0,0,0,G2
1000,-0.255902,0,0.616803,0,0,0,G2
1000,-0.244464,0,0.922724,0,0,0,G2
1000,-0.125303,0,1.167477,0,0,0,G2
1000,-0.239968,0,1.068267,0,0,0,G2
1,0.443697,0,0,0,0,1.649739,G3
1,0.86226,0,0,0,0,1.435525,G3
1,0.750588,0,0,0,0,0.548141,G3
1,0.893559,0,0,0,0,1.853569,G3
1,0.517816,0,0,0,0,1.988561,G3
1,0.492226,0,0,0,0,1.962445,G3
1,0.483866,0,0,0,0,2.501432,G3
1,0.967046,0,0,0,0,2.919052,G3
1,0.502763,0,0,0,0,0.683025,G3
1,0.51584,0,0,0,0,0.724118,G3
11000,0.00827,1.240211,2.010482,0,0,0,G4
11000,-0.44694,0.0255,0.501815,0,0,0,G4
11000,-0.455291,0.912342,1.475883,0,0,0,G4
11000,-0.073055,1.84212,2.571226,0,0,0,G4
11000,0.004683,1.674193,2.580039,0,0,0,G4
11000,0.010504,1.76166,2.688617,0,0,0,G4
11000,0.036607,1.995824,2.891256,0,0,0,G4
11000,-0.058973,2.123151,2.984541,0,0,0,G4
11000,-0.015395,1.396748,2.168492,0,0,0,G4
11000,-0.220726,0.849059,1.356099,0,0,0,G4
1100,0.189658,0,1.106471,1.161095,0,0,G5
1100,0.319402,0,2.219078,2.218372,0,0,G5
1100,0.259142,0,2.037471,2.080377,0,0,G5
1100,0.100846,0,1.919999,1.983265,0,0,G5
1100,0.283289,0,2.073163,2.115077,0,0,G5
1100,0.220504,0,1.444278,1.495915,0,0,G5
1100,0.07513,0,1.429522,1.474883,0,0,G5
1100,-0.022152,0,1.405533,1.459107,0,0,G5
1100,0.04532,0,1.967316,2.012777,0,0,G5
1100,0.025468,0,1.733198,1.746467,0,0,G5
1110,0.322959,0,2.164897,2.290388,2.118141,0,G6
1110,0.248405,0,2.287251,2.394208,2.207506,0,G6
1110,0.340859,0,2.339605,2.46392,2.269868,0,G6
1110,0.420885,0,2.346586,2.451472,2.276577,0,G6
1110,0.329623,0,1.787336,1.921484,1.724274,0,G6
1110,0.270949,0,1.943836,2.067434,1.880118,0,G6
1110,0.288639,0,2.304076,2.418892,2.241728,0,G6
1110,0.044501,0,2.452699,2.589725,2.409889,0,G6
1110,0.239615,0,3.171474,3.280604,3.168819,0,G6
1110,0.244437,0,2.524149,2.632466,2.473182,0,G6
10001,1.347333,1.615601,0,0,0,1.555722,G7
10001,1.202937,2.32244,0,0,0,2.365039,G7
10001,1.145428,1.884668,0,0,0,1.97073,G7
10001,1.153348,2.047573,0,0,0,2.128826,G7
10001,1.182747,1.963119,0,0,0,1.972337,G7
10001,1.150035,1.82528,0,0,0,2.00705,G7
10001,0.951274,2.839518,0,0,0,2.972112,G7
10001,0.945516,1.222643,0,0,0,1.454624,G7
10001,0.999471,0.12081,0,0,0,0.499218,G7
10001,1.297328,0.354456,0,0,0,0.523019,G7
11001,0.544992,3.463594,4.243196,0,0,3.681748,G8
11001,0.811194,2.692305,3.741098,0,0,3.097004,G8
11001,0.873147,1.933424,3.033857,0,0,1.957484,G8
11001,0.921665,3.0454,4.182112,0,0,3.096088,G8
11001,0.690302,1.060611,1.962115,0,0,1.304427,G8
11001,0.828407,1.230555,2.103075,0,0,1.433966,G8
11001,0.923193,2.73273,3.676888,0,0,3.039683,G8
11001,0.495076,2.3773,3.210921,0,0,2.6298,G8
11001,0.376799,1.505794,2.302745,0,0,1.664755,G8
11001,0.352291,0.59654,1.576943,0,0,0.613251,G8
11111,1.282685,0.280518,1.850322,2.028571,1.907771,1.27657,G9
11111,1.095357,2.162024,3.41393,3.611273,3.501278,2.952716,G9
11111,1.047545,2.319769,3.542961,3.685598,3.565313,3.045263,G9
11111,1.152834,2.223627,3.550491,3.67174,3.587299,3.055944,G9
11111,0.9195,2.158136,3.46041,3.578918,3.489384,2.952679,G9
11111,0.735712,1.716219,2.961399,3.087937,3.00403,2.48096,G9
11111,0.897672,0.676198,1.99697,2.14448,2.011722,1.46829,G9
11111,1.009016,1.347131,2.618608,2.739181,2.630876,2.055403,G9
11111,1.13926,2.370163,3.669908,3.816625,3.714485,3.154437,G9
11111,1.177129,1.015792,2.263813,2.351481,2.220672,1.65872,G9
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
1101,0.493973,0,2.50546,2.771589,0,2.434547,G0
1101,0.707169,0,1.779556,1.961989,0,1.473321,G0
1101,0.405435,0,2.12849,2.342911,0,1.965872,G0
1101,0.807531,0,2.688904,2.759218,0,2.066185,G0
1101,0.639225,0,2.676648,2.928436,0,2.506925,G0
1101,-0.38578,0,1.834903,2.023987,0,0,G0
1101,0.334742,0,1.994629,2.16077,0,1.64098,G0
1101,0.587771,0,2.001169,2.161285,0,1.620225,G0
1101,0.771776,0,2.394215,2.558391,0,2.006091,G0
1101,0.809268,0,2.660907,2.713761,0,2.120425,G0
1000,-0.446635,0,1.277505,0,0,0,G2
1000,0,0,0,0,0,0,G2
1000,-0.63726,0,0.894462,0,0,0,G2
1000,-0.562339,0,0.866158,0,0,0,G2
1000,-0.023712,0,0.938148,0,0,0,G2
1000,-0.295672,0,1.980027,0,0,0,G2
1000,-0.329493,0,2.284308,0,0,0,G2
1000,-0.377284,0,1.290012,0,0,0,G2
1000,-0.260873,0,0.662724,0,0,0,G2
1000,-0.251762,0,2.067153,0,0,0,G2
1,0,0,0,0,0,0,G3
1,1.007043,0,0,0,0,0.134786,G3
1,0,0,0,0,0,0,G3
1,0,0,0,0,0,0,G3
1,0.398717,0,0,0,0,1.982845,G3
1,0,0,0,0,0,0,G3
1,0.496599,0,0,0,0,1.78512,G3
1,0.473024,0,0,0,0,2.032873,G3
1,0.490308,0,0,0,0,1.769209,G3
1,0,0,0,0,0,0,G3
11000,-0.49783,0.291708,0,0,0,0,G4
11000,0.265145,2.395534,2.826909,0,0,0,G4
11000,0.150528,0.670186,0.587854,0,0,0,G4
11000,0.479933,0.348918,0.578001,0,0,0,G4
11000,0.540778,0.577604,0.526616,0,0,0,G4
11000,0.402733,1.648453,2.143939,0,0,0,G4
11000,-0.211578,2.468504,2.881587,0,0,0,G4
11000,0.20852,2.201258,2.4291,0,0,0,G4
11000,0.6976,1.022954,1.16707,0,0,0,G4
11000,0.446533,0.468058,0,0,0,0,G4
1100,0.317808,0,0.990261,1.02083,0,0,G5
1100,0.21086,0,1.593661,1.610657,0,0,G5
1100,0.354287,0,2.648782,1.640749,0,0,G5
1100,0,0,0,0,0,0,G5
1100,0.01223,0,1.740619,1.738286,0,0,G5
1100,0.229529,0,2.001103,1.997056,0,0,G5
1100,0.26645,0,1.419548,1.439554,0,0,G5
1100,0.800136,0,2.602875,1.234775,0,0,G5
1100,0,0,0,0,0,0,G5
1100,0,0,0,0,0,0,G5
1110,-0.043368,0,1.294993,1.466297,0,0,G6
1110,0.511672,0,2.211512,2.312101,2.157485,0,G6
1110,-0.489108,0,2.182261,0,0,0,G6
1110,0.481586,0,2.370808,2.461677,2.198257,0,G6
1110,0.43352,0,1.894695,2.052802,1.807447,0,G6
1110,0.508264,0,1.410634,1.033499,0,0,G6
1110,0.622914,0,2.349935,2.702308,2.228577,0,G6
1110,0.004846,0,2.264104,0,0,0,G6
1110,-0.563037,0,1.967882,0,0,0,G6
1110,0.184303,0,2.401308,2.541336,2.300484,0,G6
10001,1.172664,0.340684,0,0,0,0.189126,G7
10001,1.219794,0.613948,0,0,0,0.641166,G7
10001,0,0,0,0,0,0,G7
10001,-0.152401,0.053994,0,0,0,0,G7
10001,1.045063,0.533867,0,0,0,0.181889,G7
10001,1.187844,0.666647,0,0,0,0.500134,G7
10001,0,0,0,0,0,0,G7
10001,1.172019,1.228466,0,0,0,0.790985,G7
10001,1.116929,0.620907,0,0,0,0.400748,G7
10001,1.323805,0.122793,0,0,0,0.246611,G7
11001,0.89502,3.744105,4.201895,0,0,3.589105,G8
11001,0.857352,4.739797,5.474811,0,0,4.758352,G8
11001,-0.245824,3.295316,3.744194,0,0,0,G8
11001,-0.206555,2.312316,2.773104,0,0,0,G8
11001,0.644384,3.357679,3.88082,0,0,3.13008,G8
11001,0.731228,4.073969,4.55499,0,0,3.808392,G8
11001,1.015224,6.128428,6.948523,0,0,6.150044,G8
11001,0.221916,5.694261,5.623022,0,0,0,G8
11001,0.887352,6.427003,6.914099,0,0,6.290797,G8
11001,1.033524,5.480635,6.020041,0,0,5.137407,G8
11111,1.074907,2.674495,3.467142,3.42099,3.247894,2.651787,G9
11111,1.392195,2.786075,4.331477,4.479289,4.214166,3.448234,G9
11111,0.94556,1.965601,3.084621,3.221116,3.054302,2.562638,G9
11111,0.939469,4.15389,5.105647,5.120188,4.926242,4.246762,G9
11111,0.943199,0.817203,1.97503,2.01991,1.812495,1.255303,G9
11111,0.896367,1.384658,2.098935,2.041083,1.80605,0,G9
11111,0.667916,3.601786,4.696747,4.803766,4.735086,4.276867,G9
11111,0.58002,6.017807,7.086591,7.203006,7.151492,6.706867,G9
11111,1.052728,5.221117,6.340759,6.365201,6.127171,5.617724,G9
11111,0.936526,3.601325,4.566732,4.599581,4.503874,3.978602,G9
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0.556589,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
