@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R2,3,4,22'

@attribute fingersExtended numeric
@attribute ratio numeric
@attribute Max_X numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data
1,1,0.15234,G3
11000,0.012878,-0.174105,G4
11000,0.01306,-0.122953,G4
11000,0.01925,0.18846,G4
11000,0.012842,-0.164602,G4
11000,1,-0.94572,G4
11000,0.012948,-0.150126,G4
11000,1,-0.98293,G4
11000,0.022598,-0.008154,G4
11000,0.012736,-0.180848,G4
11000,0.024596,1.36589,G4
1100,0.038341,-0.063246,G5
1100,0.012941,0.972259,G5
1100,0.013449,0.856262,G5
1100,0.019839,-0.077521,G5
1100,0.012127,1.139007,G5
1100,0.019658,-0.078388,G5
1100,0.018716,0.136451,G5
1100,0.018838,0.192035,G5
1100,0.018583,0.017633,G5
1100,0.039843,-0.183645,G5
1110,0.013051,0.15807,G6
1110,0.012564,0.699618,G6
1110,0.01325,0.125004,G6
1110,0.009914,0.641382,G6
1110,0.013093,0.070663,G6
1110,0.013391,-0.009252,G6
1110,0.010097,0.667561,G6
1110,0.012,1.009683,G6
1110,0.012938,0.356224,G6
1110,0.013074,0.24501,G6
10001,0.010995,0.13836,G7
10001,0.018794,-0.164355,G7
10001,1,-0.624042,G7
10001,0.011389,0.329231,G7
10001,0.011811,0.38034,G7
10001,0.013733,0.793739,G7
10001,0.011211,0.29787,G7
10001,0.025956,3.005895,G7
10001,0.027612,1.964791,G7
10001,0.015468,2.029247,G7
11001,0.014554,0.470137,G8
11001,0.016555,-0.328652,G8
11001,0.013906,0.308704,G8
11001,0.040954,4.830279,G8
11001,0.0143,0.317377,G8
11001,0.0143,0.478468,G8
11001,0.013716,0.378964,G8
11001,0.013726,0.325927,G8
11001,0.014045,0.254995,G8
11001,0.01463,0.253362,G8
11111,0.009553,0.985754,G9
11111,0.010038,0.842018,G9
11111,0.010154,1.16038,G9
11111,0.01013,1.081631,G9
11111,0.010769,0.925269,G9
11111,0.010833,0.821203,G9
11111,0.009926,0.964381,G9
11111,0.009939,0.810025,G9
11111,0.010001,0.666753,G9
11111,0.009463,0.702865,G9
0,1,-0.728452,G1
0,1,-0.672955,G1
0,1,-0.720727,G1
0,1,-0.701598,G1
0,1,-0.693084,G1
0,1,-0.762485,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,1,-0.698562,G1
1101,0.009691,0.726182,G0
1101,0.010008,0.792688,G0
1101,0.009704,0.809091,G0
1101,0.0098,0.838553,G0
1101,0.009855,0.655823,G0
1101,0.009939,0.86205,G0
1101,0.010025,0.956434,G0
1101,0.010064,0.955239,G0
1101,0.011507,1.007363,G0
1101,0.009828,0.734132,G0
1000,1,-0.357227,G2
1000,1,-0.078084,G2
1000,1,-0.18588,G2
1000,1,-0.085474,G2
1000,1,-0.179387,G2
1000,1,-0.199327,G2
1000,1,-0.255902,G2
1000,1,-0.244464,G2
1000,1,-0.125303,G2
1000,1,-0.239968,G2
1,1,0.443697,G3
1,0.027471,0.86226,G3
1,0.027034,0.750588,G3
1,0.027406,0.893559,G3
1,1,0.517816,G3
1,1,0.492226,G3
1,1,0.483866,G3
1,0.032967,0.967046,G3
1,1,0.502763,G3
1,1,0.51584,G3
11000,0.017313,0.00827,G4
11000,0.012781,-0.44694,G4
11000,0.011889,-0.455291,G4
11000,0.016734,-0.073055,G4
11000,0.01771,0.004683,G4
11000,0.017813,0.010504,G4
11000,0.017429,0.036607,G4
11000,0.017021,-0.058973,G4
11000,0.017078,-0.015395,G4
11000,0.011987,-0.220726,G4
1100,0.019279,0.189658,G5
1100,0.019031,0.319402,G5
1100,0.018852,0.259142,G5
1100,0.018789,0.100846,G5
1100,0.019128,0.283289,G5
1100,0.018975,0.220504,G5
1100,0.018805,0.07513,G5
1100,0.018422,-0.022152,G5
1100,0.019224,0.04532,G5
1100,0.018755,0.025468,G5
1110,0.015212,0.322959,G6
1110,0.015099,0.248405,G6
1110,0.015395,0.340859,G6
1110,0.015289,0.420885,G6
1110,0.015566,0.329623,G6
1110,0.015577,0.270949,G6
1110,0.015452,0.288639,G6
1110,0.015818,0.044501,G6
1110,0.01405,0.239615,G6
1110,0.014772,0.244437,G6
10001,0.011602,1.347333,G7
10001,0.010613,1.202937,G7
10001,0.010653,1.145428,G7
10001,0.010793,1.153348,G7
10001,0.010667,1.182747,G7
10001,0.010679,1.150035,G7
10001,0.010435,0.951274,G7
10001,0.010907,0.945516,G7
10001,0.012078,0.999471,G7
10001,0.012448,1.297328,G7
11001,0.009312,0.544992,G8
11001,0.009687,0.811194,G8
11001,0.010678,0.873147,G8
11001,0.010698,0.921665,G8
11001,0.009731,0.690302,G8
11001,0.009711,0.828407,G8
11001,0.009788,0.923193,G8
11001,0.009503,0.495076,G8
11001,0.009626,0.376799,G8
11001,0.010783,0.352291,G8
11111,0.008834,1.282685,G9
11111,0.0082,1.095357,G9
11111,0.007958,1.047545,G9
11111,0.008063,1.152834,G9
11111,0.008047,0.9195,G9
11111,0.008023,0.735712,G9
11111,0.008293,0.897672,G9
11111,0.008237,1.009016,G9
11111,0.008358,1.13926,G9
11111,0.008271,1.177129,G9
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
1101,0.012631,0.493973,G0
1101,0.012653,0.707169,G0
1101,0.012625,0.405435,G0
1101,0.012654,0.807531,G0
1101,0.01246,0.639225,G0
1101,0.026022,-0.38578,G0
1101,0.012846,0.334742,G0
1101,0.012614,0.587771,G0
1101,0.01251,0.771776,G0
1101,0.012624,0.809268,G0
1000,1,-0.446635,G2
1000,0,0,G2
1000,1,-0.63726,G2
1000,1,-0.562339,G2
1000,1,-0.023712,G2
1000,1,-0.295672,G2
1000,1,-0.329493,G2
1000,1,-0.377284,G2
1000,1,-0.260873,G2
1000,1,-0.251762,G2
1,0,0,G3
1,0.016718,1.007043,G3
1,0,0,G3
1,0,0,G3
1,1,0.398717,G3
1,0,0,G3
1,1,0.496599,G3
1,1,0.473024,G3
1,1,0.490308,G3
1,0,0,G3
11000,1,-0.49783,G4
11000,0.014298,0.265145,G4
11000,0.017128,0.150528,G4
11000,0.013906,0.479933,G4
11000,0.016069,0.540778,G4
11000,0.013521,0.402733,G4
11000,0.011151,-0.211578,G4
11000,0.012976,0.20852,G4
11000,0.013781,0.6976,G4
11000,1,0.446533,G4
1100,0.024069,0.317808,G5
1100,0.021582,0.21086,G5
1100,0.020918,0.354287,G5
1100,0,0,G5
1100,0.02335,0.01223,G5
1100,0.023011,0.229529,G5
1100,0.023433,0.26645,G5
1100,0.03708,0.800136,G5
1100,0,0,G5
1100,0,0,G5
1110,0.029199,-0.043368,G6
1110,0.019888,0.511672,G6
1110,1,-0.489108,G6
1110,0.019445,0.481586,G6
1110,0.019722,0.43352,G6
1110,0.024261,0.508264,G6
1110,0.021595,0.622914,G6
1110,1,0.004846,G6
1110,1,-0.563037,G6
1110,0.020074,0.184303,G6
10001,0.016136,1.172664,G7
10001,0.012156,1.219794,G7
10001,0,0,G7
10001,1,-0.152401,G7
10001,0.010072,1.045063,G7
10001,0.010905,1.187844,G7
10001,0,0,G7
10001,0.010467,1.172019,G7
10001,0.010653,1.116929,G7
10001,0.01051,1.323805,G7
11001,0.010541,0.89502,G8
11001,0.011822,0.857352,G8
11001,0.015422,-0.245824,G8
11001,0.017883,-0.206555,G8
11001,0.011711,0.644384,G8
11001,0.011191,0.731228,G8
11001,0.011619,1.015224,G8
11001,0.015418,0.221916,G8
11001,0.010716,0.887352,G8
11001,0.011375,1.033524,G8
11111,0.009301,1.074907,G9
11111,0.010669,1.392195,G9
11111,0.009081,0.94556,G9
11111,0.009167,0.939469,G9
11111,0.009374,0.943199,G9
11111,0.010555,0.896367,G9
11111,0.009925,0.667916,G9
11111,0.009157,0.58002,G9
11111,0.009493,1.052728,G9
11111,0.009193,0.936526,G9
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,1,0.556589,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
1101,0.011755,0.598957,G0
1101,0.012031,0.553095,G0
1101,0.012075,0.616175,G0
1101,0.011871,0.612207,G0
1101,0.012626,0.463449,G0
1101,0.011668,0.705224,G0
1101,0.011908,0.483673,G0
1101,0.012328,0.628469,G0
1101,0.012007,0.528844,G0
1101,0.011619,0.721161,G0
1000,0,0,G2
1000,0,0,G2
1000,0,0,G2
1000,0,0,G2
1000,0,0,G2
1000,0,0,G2
1000,0,0,G2
1000,0,0,G2
1000,0,0,G2
1000,0,0,G2
1,1,0.467396,G3
1,1,0.461049,G3
1,1,0.486204,G3
1,1,0.466035,G3
1,0,0,G3
1,0,0,G3
1,0,0,G3
1,1,0.270761,G3
1,1,0.231942,G3
1,1,0.384351,G3
11000,0.010671,-0.009127,G4
11000,0.010359,-0.182513,G4
11000,0.011767,-0.239257,G4
11000,1,-0.890757,G4
11000,0.015074,0.274832,G4
11000,1,-0.968462,G4
11000,0.010832,0.182582,G4
11000,0.009896,-0.090671,G4
11000,0.010102,-0.064743,G4
11000,0.010755,0.172381,G4
1100,0.019291,0.552577,G5
1100,1,0.234747,G5
1100,1,0.347492,G5
1100,0,0,G5
1100,0.017318,0.402656,G5
1100,0.016626,0.407046,G5
1100,0.01844,0.239673,G5
1100,0.020647,0.312447,G5
1100,0,0,G5
1100,0.018844,0.415659,G5
1110,0.013852,0.582497,G6
1110,0.013305,0.59541,G6
1110,0.014167,0.532532,G6
1110,0.014455,0.623132,G6
1110,0.013917,0.4485,G6
1110,0.01544,0.62582,G6
1110,0.020546,0.483239,G6
1110,0.012939,0.740884,G6
1110,0.013425,0.750233,G6
1110,0.014434,0.791949,G6
10001,0.010607,0.943968,G7
10001,0.010792,1.077569,G7
10001,0.039201,3.403178,G7
10001,0.011007,1.058594,G7
10001,0.010328,1.095505,G7
10001,0.011457,1.006503,G7
10001,0.012013,1.069142,G7
10001,0.010542,0.981127,G7
10001,0.011021,0.885921,G7
10001,0.010978,0.849016,G7
11001,0.011977,1.227301,G8
11001,0.010943,0.992309,G8
11001,0.010353,0.677979,G8
11001,0.011148,1.123231,G8
11001,0.010735,0.974945,G8
11001,0.011378,1.000095,G8
11001,0.010599,0.930347,G8
11001,0.010973,0.750694,G8
11001,0.010902,0.791638,G8
11001,0.01119,0.925355,G8
11111,0.00869,1.127704,G9
11111,0.008805,1.1819,G9
11111,0.00888,1.383087,G9
11111,0.008157,1.049647,G9
11111,0.008863,1.346604,G9
11111,0.008569,1.247788,G9
11111,0.008891,1.202673,G9
11111,0.008414,0.883985,G9
11111,0.008162,1.361782,G9
11111,0.008259,1.007664,G9
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
1101,0.010997,0.597382,G0
1101,0.010501,0.681706,G0
1101,0.010776,0.686494,G0
1101,0.011858,0.505489,G0
1101,0.01071,0.809986,G0
1101,0.010442,0.848038,G0
1101,0.010727,0.606749,G0
1101,0.011027,0.564187,G0
1101,1,-0.360713,G0
1101,0.011043,0.68375,G0
1000,1,-0.324908,G2
1000,1,-0.244712,G2
1000,1,-0.085464,G2
1000,1,-0.302308,G2
1000,0,0,G2
1000,1,-0.20352,G2
1000,1,-0.217339,G2
1000,0,0,G2
1000,0.016282,0.074399,G2
1000,1,-0.157849,G2
1,1,0.330429,G3
1,1,0.174462,G3
1,1,0.285143,G3
1,1,0.411038,G3
1,1,0.234592,G3
1,1,0.134083,G3
1,1,0.04225,G3
1,1,0.286535,G3
1,1,0.382666,G3
1,1,0.296203,G3
11000,1,-0.965539,G4
11000,0.014551,0.119147,G4
11000,0.014566,0.231276,G4
11000,0.010941,-0.14338,G4
11000,0.011182,-0.373114,G4
11000,0.011336,-0.547359,G4
11000,0.011666,-0.176782,G4
11000,0.011657,0.001529,G4
11000,0.01138,-0.272443,G4
11000,0.011634,-0.230886,G4
1100,0.019664,0.092056,G5
1100,0.014532,0.274169,G5
1100,0.015604,0.224598,G5
1100,1,-0.106119,G5
1100,0.020069,0.08176,G5
1100,0.021022,0.301604,G5
1100,1,0.170835,G5
1100,0.019412,0.11474,G5
1100,0.01963,0.10985,G5
1100,0.019562,0.018719,G5
1110,0.013107,0.413602,G6
1110,0.01544,0.377758,G6
1110,0.015718,0.298367,G6
1110,0.014902,0.459313,G6
1110,0.015318,0.491706,G6
1110,0.01588,0.256337,G6
1110,0.013119,0.488008,G6
1110,0.011717,0.50416,G6
1110,0.012431,0.457934,G6
1110,0.01289,0.374892,G6
10001,0.0116,0.701891,G7
10001,1,-0.820075,G7
10001,1,-0.818262,G7
10001,0.011294,0.768414,G7
10001,0.010973,0.785725,G7
10001,0.011744,1.105771,G7
10001,0.011559,0.548605,G7
10001,0.011198,0.248988,G7
10001,0.011495,0.527894,G7
10001,0.01161,0.619472,G7
11001,0.01214,0.485468,G8
11001,0.010342,0.955128,G8
11001,0.010344,0.766878,G8
11001,0.01162,1.305254,G8
11001,0.010689,0.937405,G8
11001,0.010542,0.633478,G8
11001,0.010133,0.961441,G8
11001,0.010362,1.20847,G8
11001,0.011198,1.363419,G8
11001,0.010683,0.977304,G8
11111,0.009401,0.835729,G9
11111,0.009056,0.911842,G9
11111,0.00916,1.011594,G9
11111,0.009228,0.799858,G9
11111,0.00918,0.800566,G9
11111,0.009104,0.98364,G9
11111,0.009687,0.788263,G9
11111,0.009032,0.839511,G9
11111,0.009112,0.599558,G9
11111,0.009408,0.929799,G9
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
1101,0.010461,0.445864,G0
1101,0.010363,0.479034,G0
1101,0.010171,0.726965,G0
1101,0.015402,0.67259,G0
1101,0.010308,0.543432,G0
1101,0.010317,0.349437,G0
1101,0.010817,0.598121,G0
1101,0.010496,0.796306,G0
1101,0.010388,0.769418,G0
1101,0.010418,0.614263,G0
1000,1,-0.012735,G2
1000,1,0.005355,G2
1000,1,0.202659,G2
1000,1,-0.297177,G2
1000,1,-0.127664,G2
1000,1,-0.005915,G2
1000,0,0,G2
1000,0,0,G2
1000,1,-0.106377,G2
1000,1,0.159143,G2
1,1,0.382613,G3
1,1,0.214919,G3
1,1,0.182696,G3
1,1,-0.280551,G3
1,1,0.305531,G3
1,1,0.417575,G3
1,1,0.412537,G3
1,1,-0.067955,G3
1,1,0.042513,G3
1,1,0.380809,G3
11000,0.011639,-0.909986,G4
11000,0.011862,0.087269,G4
11000,0.011523,-0.486802,G4
11000,0.011721,-0.045499,G4
11000,0.012125,0.10864,G4
11000,0.011791,-0.06354,G4
11000,0.011351,-0.314816,G4
11000,0.011431,-0.289388,G4
11000,0.011824,0.413275,G4
11000,0.011446,-0.778183,G4
1100,0.016832,0.168277,G5
1100,0.016675,0.433333,G5
1100,0.017061,-0.012718,G5
1100,1,0.181923,G5
1100,0.016956,0.490639,G5
1100,0.016701,0.315048,G5
1100,0.016971,-0.059789,G5
1100,0,0,G5
1100,1,0.287377,G5
1100,1,0.480632,G5
1110,0.012424,0.081234,G6
1110,0.012309,0.42676,G6
1110,0.012357,0.172185,G6
1110,0.012571,0.608557,G6
1110,0.012763,0.46298,G6
1110,0.012316,0.092397,G6
1110,0.012485,0.192309,G6
1110,0.012216,0.647684,G6
1110,0.012516,0.65487,G6
1110,0.012445,0.141944,G6
10001,0.010801,0.840307,G7
10001,0.011388,0.516876,G7
10001,1,0.521569,G7
10001,0.0107,0.103685,G7
10001,0.011124,0.331051,G7
10001,0.011312,0.845901,G7
10001,0.011173,0.720649,G7
10001,0.010702,0.146131,G7
10001,0.010932,0.524327,G7
10001,0.010848,0.922788,G7
11001,0.008996,0.238445,G8
11001,0.009281,0.282635,G8
11001,0.011168,1.082419,G8
11001,0.010148,0.97525,G8
11001,0.010693,0.529585,G8
11001,0.009052,0.034141,G8
11001,0.008512,0.226677,G8
11001,0.011354,0.948481,G8
11001,0.010163,0.915602,G8
11001,0.009547,0.51753,G8
11111,0.008783,0.779635,G9
11111,0.008426,0.971793,G9
11111,0.008556,1.335971,G9
11111,0.008185,1.170982,G9
11111,0.007362,0.487906,G9
11111,0.008676,0.951539,G9
11111,0.008685,1.292913,G9
11111,0.008776,1.302239,G9
11111,0.008702,1.366719,G9
11111,0.008956,1.255683,G9
0,1,-0.659883,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,1,-0.536885,G1
1101,0.011307,0.607003,G0
1101,0.010904,0.621065,G0
1101,0.011255,0.710747,G0
1101,0.011287,0.714895,G0
1101,0.011129,0.627897,G0
1101,0.011039,0.637064,G0
1101,0.010968,0.565185,G0
1101,0.011322,0.76783,G0
1101,0.01158,0.718374,G0
1101,0.011329,0.639895,G0
1000,1,-0.186933,G2
1000,0,0,G2
1000,0,0,G2
1000,1,-0.209282,G2
1000,1,-0.284805,G2
1000,1,-0.217091,G2
1000,1,-0.27134,G2
1000,1,-0.238138,G2
1000,1,-0.139853,G2
1000,1,-0.073909,G2
1,0.024133,0.344561,G3
1,0.023477,0.398717,G3
1,0.021554,0.487774,G3
1,1,0.449431,G3
1,1,0.213496,G3
1,1,0.262937,G3
1,1,0.214955,G3
1,1,0.449552,G3
1,0.039145,1.710599,G3
1,0.027346,0.708482,G3
11000,0.010905,-0.426197,G4
11000,0.011146,-0.069536,G4
11000,0.017089,0.022753,G4
11000,0.017418,0.059144,G4
11000,0.011381,-0.263844,G4
11000,0.011122,-0.3073,G4
11000,0.013049,-0.275646,G4
11000,0.017487,0.023907,G4
11000,0.01771,0.069277,G4
11000,0.011279,-0.38037,G4
1100,0.014206,0.288046,G5
1100,0.014545,0.317447,G5
1100,0.025436,0.074045,G5
1100,0.01414,0.209435,G5
1100,0.028021,-0.005151,G5
1100,0.02538,-0.069441,G5
1100,0.02514,-0.034059,G5
1100,0.023528,0.042963,G5
1100,0.023566,0.084807,G5
1100,0.023388,0.041713,G5
1110,0.0158,0.199688,G6
1110,0.015035,0.187067,G6
1110,0.014336,0.369454,G6
1110,0.015322,0.352403,G6
1110,0.015003,0.266749,G6
1110,0.014944,0.20345,G6
1110,0.015104,0.146607,G6
1110,0.015812,0.219407,G6
1110,0.016373,0.332046,G6
1110,0.016061,0.30911,G6
10001,0.010642,0.850724,G7
10001,0.010463,1.075712,G7
10001,0.010477,1.098629,G7
10001,0.010356,1.016533,G7
10001,0.011348,1.116785,G7
10001,0.012521,1.353137,G7
10001,0.011754,1.241883,G7
10001,0.01052,1.089298,G7
10001,0.010421,0.953686,G7
10001,0.010648,0.885284,G7
11001,0.010382,0.580094,G8
11001,0.009778,0.478482,G8
11001,0.009836,0.647255,G8
11001,0.010311,0.676838,G8
11001,0.010131,0.713781,G8
11001,0.01019,0.707518,G8
11001,0.010273,0.809132,G8
11001,0.009943,0.647453,G8
11001,0.010788,0.671939,G8
11001,0.012367,0.809869,G8
11111,0.009987,1.007206,G9
11111,0.008943,0.834694,G9
11111,0.008941,0.855786,G9
11111,0.008798,0.914123,G9
11111,0.008872,0.938263,G9
11111,0.00901,0.866689,G9
11111,0.008726,0.844801,G9
11111,0.00866,0.877421,G9
11111,0.009008,0.827236,G9
11111,0.009706,0.825258,G9
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
1101,0.014926,0.697043,G0
1101,0.013496,0.355125,G0
1101,0.013251,0.061216,G0
1101,0.012943,0.555953,G0
1101,0.014201,0.52277,G0
1101,0.013723,0.292447,G0
1101,0.014019,0.213229,G0
1101,0.011053,0.544974,G0
1101,0.010994,0.659414,G0
1101,0.01129,0.45662,G0
1000,0,0,G2
1000,1,-0.423096,G2
1000,0.00964,0.81831,G2
1000,0,0,G2
1000,0,0,G2
1000,0.018964,-0.144776,G2
1000,0,0,G2
1000,1,-0.572159,G2
1000,1,-0.433531,G2
1000,1,-0.089519,G2
1,1,0.258719,G3
1,1,0.242,G3
1,1,0.098345,G3
1,1,0.004216,G3
1,1,0.38494,G3
1,1,0.549606,G3
1,1,0.19082,G3
1,1,-0.10305,G3
1,1,0.435361,G3
1,1,0.591228,G3
11000,0.010681,-0.412135,G4
11000,0.010645,0.03018,G4
11000,0.01056,-0.259703,G4
11000,0.010659,-0.219504,G4
11000,0.01047,0.053486,G4
