@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R1,2,6,18-22'

@attribute numFingers numeric
@attribute fingersExtended numeric
@attribute fingersAreas numeric
@attribute fingertipElevation_f2 numeric
@attribute fingertipElevation_f3 numeric
@attribute fingertipElevation_f4 numeric
@attribute fingertipElevation_f5 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data
1,1000,1,0,0,0,0,G2
1,1000,1,0,0,0,0,G2
0,1000,0,0,0,0,0,G2
0,1000,0,0,0,0,0,G2
1,1000,1,0,0,0,0,G2
1,1000,1,0,0,0,0,G2
2,1000,18.586517,0.433266,0,0,0,G2
2,1000,18.952829,0.43582,0,0,0,G2
2,1000,19.019991,0.686488,0,0,0,G2
2,1000,20.502623,0.188437,0,0,0,G2
1,1,1,0,0,0,0,G3
1,1,1,0,0,0,0,G3
1,1,1,0,0,0,0,G3
1,1,1,0,0,0,0,G3
1,1,1,0,0,0,0,G3
1,1,1,0,0,0,0,G3
2,1,43.806084,3.385674,0,0,0,G3
1,1,1,0,0,0,0,G3
1,1,1,0,0,0,0,G3
1,1,1,0,0,0,0,G3
2,11000,53.363533,1.701352,0,0,0,G4
2,11000,55.445675,1.861036,0,0,0,G4
2,11000,57.632858,1.650402,0,0,0,G4
3,11000,18.210123,2.086187,1.209855,0,0,G4
3,11000,17.409941,2.213711,1.230309,0,0,G4
3,11000,18.754187,2.075226,1.145435,0,0,G4
3,11000,19.466267,2.487475,1.600553,0,0,G4
3,11000,19.616816,2.112467,1.179361,0,0,G4
2,11000,53.907883,1.96664,0,0,0,G4
2,11000,54.080479,2.053533,0,0,0,G4
2,1100,35.383423,1.854031,0,0,0,G5
2,1100,35.510876,2.112619,0,0,0,G5
2,1100,36.217762,1.917133,0,0,0,G5
3,1100,28.439514,4.667479,0.378649,0,0,G5
2,1100,35.175339,2.21418,0,0,0,G5
2,1100,36.02306,2.695342,0,0,0,G5
2,1100,35.848511,2.083658,0,0,0,G5
2,1100,35.379021,1.955444,0,0,0,G5
2,1100,33.79295,1.933576,0,0,0,G5
2,1100,35.247337,1.727625,0,0,0,G5
3,1110,15.573933,2.065973,1.866892,0,0,G6
4,1110,14.413544,2.739355,1.668595,2.538485,0,G6
3,1110,17.945267,1.916539,1.738299,0,0,G6
3,1110,17.476412,2.151975,1.88613,0,0,G6
3,1110,15.826111,2.444495,2.179388,0,0,G6
3,1110,16.318581,2.065951,1.888517,0,0,G6
3,1110,15.603787,2.606683,2.449893,0,0,G6
3,1110,15.716647,2.974155,2.799173,0,0,G6
3,1110,16.018442,2.95688,2.783392,0,0,G6
3,1110,16.020119,2.695724,2.51478,0,0,G6
2,10001,80.422737,0.956591,0,0,0,G7
3,10001,41.267994,1.384579,1.869916,0,0,G7
3,10001,40.350845,1.711591,2.142963,0,0,G7
2,10001,74.734032,2.848105,0,0,0,G7
2,10001,76.033142,2.606421,0,0,0,G7
3,10001,40.558052,1.479126,1.934364,0,0,G7
4,10001,26.645836,1.642864,1.471326,1.872988,0,G7
4,10001,26.544914,0.900476,0.729625,1.209474,0,G7
4,10001,27.584511,1.145414,0.992289,1.53884,0,G7
4,10001,26.861992,0.09792,0.0326,0.50894,0,G7
4,11001,17.067598,4.25606,3.400037,0.51094,0,G8
2,11001,40.308922,1.822753,0,0,0,G8
3,11001,25.895041,3.169844,2.620257,0,0,G8
3,11001,24.940514,2.549367,1.883199,0,0,G8
3,11001,25.743473,2.434833,1.788014,0,0,G8
3,11001,25.42441,2.043718,1.370904,0,0,G8
3,11001,24.691273,1.934845,1.312227,0,0,G8
3,11001,24.97603,2.637744,1.996173,0,0,G8
4,11001,17.722002,4.077566,3.276005,3.425293,0,G8
4,11001,18.097288,6.520862,5.495451,0.825639,0,G8
5,11111,10.475904,3.855342,4.085877,3.918613,3.474774,G9
5,11111,10.736491,3.232668,3.410392,3.26334,2.84068,G9
5,11111,10.215485,3.593818,3.676095,3.54543,3.163843,G9
5,11111,10.836102,3.72731,3.910608,3.753439,3.336542,G9
5,11111,10.868353,4.125418,4.277683,4.147567,3.761934,G9
5,11111,9.782095,3.664258,3.766043,3.626928,3.182909,G9
5,11111,10.083056,3.154746,3.258385,3.08598,2.679865,G9
3,11111,25.220232,2.877027,2.769956,0,0,G9
3,11111,25.929398,5.471673,4.837096,0,0,G9
5,11111,10.531284,3.898855,4.064389,3.943558,3.506793,G9
0,0,0,0,0,0,0,G1
1,0,1,0,0,0,0,G1
2,0,5.416896,0.994497,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
1,0,1,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
4,1101,4.915854,3.866323,3.432589,1.578599,0,G0
3,1101,19.595537,3.06101,2.529032,0,0,G0
3,1101,19.243837,3.626464,3.077377,0,0,G0
5,1101,7.804761,8.722976,1.401234,7.393506,3.218856,G0
3,1101,19.793972,2.121263,1.66838,0,0,G0
3,1101,20.028419,2.130976,1.614336,0,0,G0
3,1101,19.043934,2.823006,2.236153,0,0,G0
2,1101,22.023912,2.537647,0,0,0,G0
4,1101,1.973912,5.543409,4.864698,2.488564,0,G0
4,1101,4.449722,5.529736,4.884039,2.807004,0,G0
1,1000,1,0,0,0,0,G2
0,1000,0,0,0,0,0,G2
0,1000,0,0,0,0,0,G2
0,1000,0,0,0,0,0,G2
1,1000,1,0,0,0,0,G2
1,1000,1,0,0,0,0,G2
1,1000,1,0,0,0,0,G2
0,1000,0,0,0,0,0,G2
1,1000,1,0,0,0,0,G2
1,1000,1,0,0,0,0,G2
2,1,49.595951,8.966497,0,0,0,G3
0,1,0,0,0,0,0,G3
2,1,53.400436,1.68142,0,0,0,G3
1,1,1,0,0,0,0,G3
1,1,1,0,0,0,0,G3
1,1,1,0,0,0,0,G3
1,1,1,0,0,0,0,G3
1,1,1,0,0,0,0,G3
1,1,1,0,0,0,0,G3
1,1,1,0,0,0,0,G3
2,11000,50.252277,2.217389,0,0,0,G4
2,11000,48.429398,2.281158,0,0,0,G4
3,11000,14.786871,3.216953,2.18216,0,0,G4
2,11000,50.12207,2.394318,0,0,0,G4
1,11000,1,0,0,0,0,G4
2,11000,49.292255,2.670159,0,0,0,G4
1,11000,1,0,0,0,0,G4
3,11000,77.524254,5.19557,0.39465,0,0,G4
2,11000,50.425652,2.264404,0,0,0,G4
3,11000,34.100098,6.120978,0.608062,0,0,G4
3,1100,30.171564,0.737544,3.4505,0,0,G5
3,1100,9.168107,3.725769,0.638286,0,0,G5
3,1100,11.501387,5.910605,2.083252,0,0,G5
2,1100,26.184465,2.101737,0,0,0,G5
3,1100,18.09214,4.40859,1.17984,0,0,G5
2,1100,26.263199,1.69653,0,0,0,G5
2,1100,27.691299,1.804901,0,0,0,G5
2,1100,27.695864,2.561266,0,0,0,G5
2,1100,28.322369,3.18687,0,0,0,G5
3,1100,31.533884,1.921971,5.017191,0,0,G5
3,1110,19.914471,1.806409,1.735807,0,0,G6
3,1110,7.737838,3.387056,0.9349,0,0,G6
3,1110,19.64415,1.715658,1.609502,0,0,G6
4,1110,7.008226,2.996877,2.968055,0.722541,0,G6
3,1110,19.759106,1.69428,1.633131,0,0,G6
3,1110,19.387762,1.852884,1.783288,0,0,G6
4,1110,5.810316,2.884054,2.807809,0.778021,0,G6
4,1110,3.458053,2.692333,2.55109,0.262122,0,G6
3,1110,20.15057,2.460773,2.325623,0,0,G6
3,1110,20.21986,2.963516,2.827507,0,0,G6
2,10001,53.090115,2.306137,0,0,0,G7
2,10001,28.018694,1.75715,0,0,0,G7
1,10001,1,0,0,0,0,G7
3,10001,30.324524,2.023843,2.321926,0,0,G7
3,10001,30.072052,1.875043,2.157629,0,0,G7
4,10001,5.104064,4.073871,4.702125,1.875468,0,G7
2,10001,53.317043,2.696643,0,0,0,G7
4,10001,26.40741,12.381773,6.060918,3.987506,0,G7
4,10001,13.585074,4.264287,7.81752,1.955696,0,G7
3,10001,9.604671,6.370481,1.248434,0,0,G7
3,11001,19.364756,3.189894,2.539773,0,0,G8
2,11001,35.649731,2.908525,0,0,0,G8
3,11001,20.332781,3.310952,2.756505,0,0,G8
4,11001,69.943497,16.406713,14.285071,2.789194,0,G8
3,11001,19.7327,2.93282,2.30768,0,0,G8
3,11001,19.846165,3.216164,2.59698,0,0,G8
3,11001,20.634821,4.019603,3.459401,0,0,G8
3,11001,20.530083,5.407362,4.905256,0,0,G8
3,11001,20.212069,4.469506,3.892395,0,0,G8
3,11001,19.471188,3.858044,3.208477,0,0,G8
5,11111,8.73686,3.583256,3.591082,3.476862,2.806365,G9
5,11111,8.881664,2.19238,2.324479,2.169836,1.536889,G9
5,11111,7.105643,3.13889,3.205146,3.083863,2.320241,G9
4,11111,15.284383,5.136301,5.129916,4.419653,0,G9
4,11111,16.43553,4.039729,4.006492,3.576392,0,G9
4,11111,15.619578,2.401072,2.326977,1.889486,0,G9
5,11111,8.800071,2.764143,2.869909,2.733367,2.075783,G9
5,11111,9.380643,2.336564,2.509696,2.377496,1.753782,G9
5,11111,9.375968,2.628773,2.724137,2.545563,1.978785,G9
5,11111,10.967755,3.385308,3.56586,3.432508,2.926412,G9
1,0,1,0,0,0,0,G1
1,0,1,0,0,0,0,G1
1,0,1,0,0,0,0,G1
1,0,1,0,0,0,0,G1
1,0,1,0,0,0,0,G1
1,0,1,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
1,0,1,0,0,0,0,G1
3,1101,28.205624,3.448358,3.020074,0,0,G0
3,1101,27.12533,4.727411,4.205803,0,0,G0
3,1101,28.109241,4.012097,3.487435,0,0,G0
3,1101,27.913639,3.325052,2.7981,0,0,G0
3,1101,28.283398,3.389153,2.988763,0,0,G0
3,1101,27.656107,4.445772,3.949125,0,0,G0
3,1101,27.393061,3.977086,3.516061,0,0,G0
3,1101,27.468975,2.908622,2.460076,0,0,G0
4,1101,21.126677,3.323933,2.592962,2.944596,0,G0
3,1101,27.943962,3.381718,2.946951,0,0,G0
1,1000,1,0,0,0,0,G2
1,1000,1,0,0,0,0,G2
1,1000,1,0,0,0,0,G2
1,1000,1,0,0,0,0,G2
1,1000,1,0,0,0,0,G2
1,1000,1,0,0,0,0,G2
1,1000,1,0,0,0,0,G2
1,1000,1,0,0,0,0,G2
1,1000,1,0,0,0,0,G2
1,1000,1,0,0,0,0,G2
1,1,1,0,0,0,0,G3
2,1,8.558611,2.107758,0,0,0,G3
2,1,8.260798,1.22534,0,0,0,G3
2,1,6.617039,2.511358,0,0,0,G3
1,1,1,0,0,0,0,G3
1,1,1,0,0,0,0,G3
1,1,1,0,0,0,0,G3
2,1,6.362509,3.886456,0,0,0,G3
1,1,1,0,0,0,0,G3
1,1,1,0,0,0,0,G3
3,11000,16.562922,2.010482,1.050212,0,0,G4
2,11000,50.63102,0.501815,0,0,0,G4
2,11000,55.133663,1.475883,0,0,0,G4
3,11000,17.029902,2.571226,1.619933,0,0,G4
3,11000,16.374195,2.580039,1.546137,0,0,G4
3,11000,15.88985,2.688617,1.643467,0,0,G4
3,11000,16.279348,2.891256,1.884853,0,0,G4
3,11000,16.642817,2.984541,2.01054,0,0,G4
3,11000,16.67091,2.168492,1.223954,0,0,G4
2,11000,55.099251,1.356099,0,0,0,G4
2,1100,27.466497,1.161095,0,0,0,G5
2,1100,27.646662,2.218372,0,0,0,G5
2,1100,27.798517,2.080377,0,0,0,G5
2,1100,27.890408,1.983265,0,0,0,G5
2,1100,27.676783,2.115077,0,0,0,G5
2,1100,27.788082,1.495915,0,0,0,G5
2,1100,27.94903,1.474883,0,0,0,G5
2,1100,28.034847,1.459107,0,0,0,G5
2,1100,27.223623,2.012777,0,0,0,G5
2,1100,27.652082,1.746467,0,0,0,G5
3,1110,17.168375,2.290388,2.118141,0,0,G6
3,1110,17.378466,2.394208,2.207506,0,0,G6
3,1110,17.14905,2.46392,2.269868,0,0,G6
3,1110,17.237867,2.451472,2.276577,0,0,G6
3,1110,16.897444,1.921484,1.724274,0,0,G6
3,1110,16.801483,2.067434,1.880118,0,0,G6
3,1110,16.922415,2.418892,2.241728,0,0,G6
3,1110,16.54907,2.589725,2.409889,0,0,G6
3,1110,18.471989,3.280604,3.168819,0,0,G6
3,1110,17.622847,2.632466,2.473182,0,0,G6
2,10001,72.201683,1.555722,0,0,0,G7
2,10001,72.33197,2.365039,0,0,0,G7
2,10001,73.953262,1.97073,0,0,0,G7
2,10001,72.239662,2.128826,0,0,0,G7
2,10001,72.002129,1.972337,0,0,0,G7
2,10001,71.816238,2.00705,0,0,0,G7
2,10001,72.34948,2.972112,0,0,0,G7
2,10001,72.178688,1.454624,0,0,0,G7
2,10001,70.320694,0.499218,0,0,0,G7
2,10001,71.736969,0.523019,0,0,0,G7
3,11001,29.699686,4.243196,3.681748,0,0,G8
3,11001,28.802959,3.741098,3.097004,0,0,G8
4,11001,21.44853,3.033857,1.957484,2.350348,0,G8
4,11001,21.427652,4.182112,3.096088,3.552491,0,G8
3,11001,28.632725,1.962115,1.304427,0,0,G8
3,11001,28.429342,2.103075,1.433966,0,0,G8
3,11001,28.363503,3.676888,3.039683,0,0,G8
3,11001,29.338818,3.210921,2.6298,0,0,G8
3,11001,29.090879,2.302745,1.664755,0,0,G8
4,11001,21.3776,1.576943,0.613251,1.059939,0,G8
5,11111,7.51787,1.850322,2.028571,1.907771,1.27657,G9
5,11111,10.037858,3.41393,3.611273,3.501278,2.952716,G9
5,11111,10.449368,3.542961,3.685598,3.565313,3.045263,G9
5,11111,9.683265,3.550491,3.67174,3.587299,3.055944,G9
5,11111,9.851491,3.46041,3.578918,3.489384,2.952679,G9
5,11111,10.246622,2.961399,3.087937,3.00403,2.48096,G9
5,11111,9.076012,1.99697,2.14448,2.011722,1.46829,G9
5,11111,9.387828,2.618608,2.739181,2.630876,2.055403,G9
5,11111,9.189385,3.669908,3.816625,3.714485,3.154437,G9
5,11111,9.54729,2.263813,2.351481,2.220672,1.65872,G9
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
3,1101,20.882399,2.771589,2.434547,0,0,G0
3,1101,20.860098,1.961989,1.473321,0,0,G0
3,1101,20.991903,2.342911,1.965872,0,0,G0
3,1101,21.261385,2.759218,2.066185,0,0,G0
3,1101,21.232153,2.928436,2.506925,0,0,G0
2,1101,19.8237,2.023987,0,0,0,G0
3,1101,20.460182,2.16077,1.64098,0,0,G0
3,1101,21.052015,2.161285,1.620225,0,0,G0
3,1101,21.471386,2.558391,2.006091,0,0,G0
3,1101,20.57741,2.713761,2.120425,0,0,G0
1,1000,1,0,0,0,0,G2
0,1000,0,0,0,0,0,G2
1,1000,1,0,0,0,0,G2
1,1000,1,0,0,0,0,G2
1,1000,1,0,0,0,0,G2
1,1000,1,0,0,0,0,G2
1,1000,1,0,0,0,0,G2
1,1000,1,0,0,0,0,G2
1,1000,1,0,0,0,0,G2
1,1000,1,0,0,0,0,G2
0,1,0,0,0,0,0,G3
2,1,37.467548,0.541037,0,0,0,G3
0,1,0,0,0,0,0,G3
0,1,0,0,0,0,0,G3
1,1,1,0,0,0,0,G3
0,1,0,0,0,0,0,G3
1,1,1,0,0,0,0,G3
1,1,1,0,0,0,0,G3
1,1,1,0,0,0,0,G3
0,1,0,0,0,0,0,G3
1,11000,1,0,0,0,0,G4
2,11000,43.335747,2.826909,0,0,0,G4
2,11000,32.805344,0.587854,0,0,0,G4
2,11000,44.423435,0.578001,0,0,0,G4
2,11000,39.716812,0.526616,0,0,0,G4
2,11000,47.848164,2.143939,0,0,0,G4
2,11000,55.99432,2.881587,0,0,0,G4
2,11000,47.99987,2.4291,0,0,0,G4
2,11000,45.919861,1.16707,0,0,0,G4
1,11000,1,0,0,0,0,G4
2,1100,21.402111,1.02083,0,0,0,G5
2,1100,23.92918,1.610657,0,0,0,G5
2,1100,16.443775,1.640749,0,0,0,G5
0,1100,0,0,0,0,0,G5
2,1100,22.162588,1.738286,0,0,0,G5
2,1100,22.216434,1.997056,0,0,0,G5
2,1100,21.863609,1.439554,0,0,0,G5
3,1100,15.804931,1.234775,2.711801,0,0,G5
0,1100,0,0,0,0,0,G5
0,1100,0,0,0,0,0,G5
2,1110,17.562973,1.466297,0,0,0,G6
3,1110,13.202558,2.312101,2.157485,0,0,G6
1,1110,1,0,0,0,0,G6
3,1110,13.649017,2.461677,2.198257,0,0,G6
3,1110,13.525636,2.052802,1.807447,0,0,G6
2,1110,22.681602,1.033499,0,0,0,G6
3,1110,13.019904,2.702308,2.228577,0,0,G6
1,1110,1,0,0,0,0,G6
1,1110,1,0,0,0,0,G6
3,1110,13.217293,2.541336,2.300484,0,0,G6
2,10001,37.84771,0.189126,0,0,0,G7
2,10001,72.603188,0.641166,0,0,0,G7
0,10001,0,0,0,0,0,G7
1,10001,1,0,0,0,0,G7
2,10001,70.606186,0.181889,0,0,0,G7
2,10001,70.109825,0.500134,0,0,0,G7
0,10001,0,0,0,0,0,G7
2,10001,70.54409,0.790985,0,0,0,G7
2,10001,70.084503,0.400748,0,0,0,G7
2,10001,70.591492,0.246611,0,0,0,G7
3,11001,26.484047,4.201895,3.589105,0,0,G8
3,11001,23.794563,5.474811,4.758352,0,0,G8
2,11001,38.128246,3.744194,0,0,0,G8
2,11001,31.819365,2.773104,0,0,0,G8
3,11001,23.968681,3.88082,3.13008,0,0,G8
3,11001,25.091311,4.55499,3.808392,0,0,G8
3,11001,24.495312,6.948523,6.150044,0,0,G8
2,11001,37.014832,5.623022,0,0,0,G8
3,11001,26.107718,6.914099,6.290797,0,0,G8
3,11001,24.757931,6.020041,5.137407,0,0,G8
5,11111,10.972218,3.467142,3.42099,3.247894,2.651787,G9
5,11111,6.586637,4.331477,4.479289,4.214166,3.448234,G9
5,11111,10.187063,3.084621,3.221116,3.054302,2.562638,G9
5,11111,10.263643,5.105647,5.120188,4.926242,4.246762,G9
5,11111,10.127734,1.97503,2.01991,1.812495,1.255303,G9
4,11111,15.87604,2.098935,2.041083,1.80605,0,G9
5,11111,10.776596,4.696747,4.803766,4.735086,4.276867,G9
5,11111,11.155943,7.086591,7.203006,7.151492,6.706867,G9
5,11111,11.073741,6.340759,6.365201,6.127171,5.617724,G9
5,11111,11.279895,4.566732,4.599581,4.503874,3.978602,G9
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
1,0,1,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
3,1101,21.950901,1.679687,1.332674,0,0,G0
3,1101,21.175959,2.505263,2.023229,0,0,G0
3,1101,21.540407,2.666659,2.159433,0,0,G0
3,1101,21.725775,2.285386,1.775265,0,0,G0
3,1101,19.810598,2.021174,1.665006,0,0,G0
3,1101,22.240541,2.424119,1.833871,0,0,G0
3,1101,20.829376,1.869291,1.527964,0,0,G0
3,1101,21.165833,2.244421,1.813531,0,0,G0
3,1101,21.224251,1.925906,1.527198,0,0,G0
3,1101,22.230488,2.235826,1.758586,0,0,G0
0,1000,0,0,0,0,0,G2
0,1000,0,0,0,0,0,G2
0,1000,0,0,0,0,0,G2
0,1000,0,0,0,0,0,G2
0,1000,0,0,0,0,0,G2
0,1000,0,0,0,0,0,G2
0,1000,0,0,0,0,0,G2
0,1000,0,0,0,0,0,G2
0,1000,0,0,0,0,0,G2
0,1000,0,0,0,0,0,G2
1,1,1,0,0,0,0,G3
1,1,1,0,0,0,0,G3
1,1,1,0,0,0,0,G3
1,1,1,0,0,0,0,G3
0,1,0,0,0,0,0,G3
0,1,0,0,0,0,0,G3
0,1,0,0,0,0,0,G3
1,1,1,0,0,0,0,G3
1,1,1,0,0,0,0,G3
1,1,1,0,0,0,0,G3
2,11000,60.291145,2.137151,0,0,0,G4
2,11000,65.190086,2.314631,0,0,0,G4
2,11000,57.752979,2.880613,0,0,0,G4
1,11000,1,0,0,0,0,G4
3,11000,19.895859,2.476516,1.548451,0,0,G4
1,11000,1,0,0,0,0,G4
2,11000,64.328163,1.133746,0,0,0,G4
2,11000,64.884415,2.040292,0,0,0,G4
2,11000,67.481865,2.142984,0,0,0,G4
2,11000,65.172585,1.551723,0,0,0,G4
2,1100,26.83696,1.286835,0,0,0,G5
1,1100,1,0,0,0,0,G5
1,1100,1,0,0,0,0,G5
0,1100,0,0,0,0,0,G5
2,1100,31.140699,1.721081,0,0,0,G5
2,1100,32.815556,1.734795,0,0,0,G5
2,1100,28.256777,1.294113,0,0,0,G5
2,1100,25.189964,1.305939,0,0,0,G5
0,1100,0,0,0,0,0,G5
2,1100,27.55373,1.25409,0,0,0,G5
3,1110,18.980923,2.153533,1.995845,0,0,G6
3,1110,19.703587,2.442055,2.246718,0,0,G6
3,1110,18.328455,2.077801,1.916269,0,0,G6
3,1110,17.970846,2.298096,2.077478,0,0,G6
3,1110,18.655182,1.66833,1.480218,0,0,G6
3,1110,16.783241,2.019825,1.759594,0,0,G6
3,1110,12.948482,1.310956,1.256135,0,0,G6
3,1110,20.249958,1.775795,1.605941,0,0,G6
3,1110,20.156908,1.584066,1.294743,0,0,G6
3,1110,18.80793,2.251905,1.984155,0,0,G6
2,10001,67.945549,3.142388,0,0,0,G7
3,10001,36.497276,2.653922,2.880503,0,0,G7
3,10001,124.514069,0.964787,9.783976,0,0,G7
3,10001,37.33736,2.764261,2.89045,0,0,G7
2,10001,70.948708,2.570461,0,0,0,G7
3,10001,36.409126,3.983932,4.172822,0,0,G7
2,10001,66.473228,3.9326,0,0,0,G7
