@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R1,2,3,17-21,22'

@attribute numFingers numeric
@attribute fingersExtended numeric
@attribute ratio numeric
@attribute fingertipElevation_f1 numeric
@attribute fingertipElevation_f2 numeric
@attribute fingertipElevation_f3 numeric
@attribute fingertipElevation_f4 numeric
@attribute fingertipElevation_f5 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data
3,1110,0.016718,0,2.470532,2.606683,2.449893,0,G6
3,1110,0.016642,0,2.815992,2.974155,2.799173,0,G6
3,1110,0.016364,0,2.799346,2.95688,2.783392,0,G6
3,1110,0.016364,0,2.559534,2.695724,2.51478,0,G6
2,10001,0.009295,1.011761,0,0,0,0.956591,G7
3,10001,0.010929,1.229554,0,0,0,1.384579,G7
3,10001,0.010705,1.618637,0,0,0,1.711591,G7
2,10001,0.010597,2.434556,0,0,0,2.848105,G7
2,10001,0.010411,2.527049,0,0,0,2.606421,G7
3,10001,0.010765,1.356734,0,0,0,1.479126,G7
4,10001,0.01063,1.531411,0,0,0,1.642864,G7
4,10001,0.012277,0.710862,0,0,0,0.900476,G7
4,10001,0.012637,1.005833,0,0,0,1.145414,G7
4,10001,0.012722,0.214614,0,0,0,0.09792,G7
4,11001,0.014992,2.618955,4.25606,0,0,3.400037,G8
2,11001,0.014084,2.265623,1.822753,0,0,0,G8
3,11001,0.010925,2.406044,3.169844,0,0,2.620257,G8
3,11001,0.011431,1.811319,2.549367,0,0,1.883199,G8
3,11001,0.011112,1.712801,2.434833,0,0,1.788014,G8
3,11001,0.011275,1.375134,2.043718,0,0,1.370904,G8
3,11001,0.011513,1.172054,1.934845,0,0,1.312227,G8
3,11001,0.01142,1.856683,2.637744,0,0,1.996173,G8
4,11001,0.012065,3.146877,4.077566,0,0,3.276005,G8
4,11001,0.016023,4.657246,6.520862,0,0,5.495451,G8
5,11111,0.009365,2.886926,3.855342,4.085877,3.918613,3.474774,G9
5,11111,0.009064,2.330731,3.232668,3.410392,3.26334,2.84068,G9
5,11111,0.00898,2.448194,3.593818,3.676095,3.54543,3.163843,G9
5,11111,0.009104,2.848297,3.72731,3.910608,3.753439,3.336542,G9
5,11111,0.0092,3.191601,4.125418,4.277683,4.147567,3.761934,G9
5,11111,0.0099,2.628631,3.664258,3.766043,3.626928,3.182909,G9
5,11111,0.009947,2.091589,3.154746,3.258385,3.08598,2.679865,G9
3,11111,0.010154,2.244422,2.877027,2.769956,0,0,G9
3,11111,0.010568,4.39732,5.471673,4.837096,0,0,G9
5,11111,0.009201,2.917695,3.898855,4.064389,3.943558,3.506793,G9
0,0,0,0,0,0,0,0,G1
1,0,1,0,0,0,0,0,G1
2,0,0.084103,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
1,0,1,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
4,1101,0.012041,0,3.200804,3.866323,0,3.432589,G0
3,1101,0.013015,0,2.869781,3.06101,0,2.529032,G0
3,1101,0.013016,0,3.455971,3.626464,0,3.077377,G0
5,1101,0.02434,0,7.758927,8.722976,0,1.401234,G0
3,1101,0.012943,0,1.929311,2.121263,0,1.66838,G0
3,1101,0.01283,0,1.962166,2.130976,0,1.614336,G0
3,1101,0.013519,0,2.668828,2.823006,0,2.236153,G0
2,1101,0.023369,0,2.519809,2.537647,0,0,G0
4,1101,0.012594,0,5.07996,5.543409,0,4.864698,G0
4,1101,0.012185,0,5.056568,5.529736,0,4.884039,G0
1,1000,1,0,0.782167,0,0,0,G2
0,1000,0,0,0,0,0,0,G2
0,1000,0,0,0,0,0,0,G2
0,1000,0,0,0,0,0,0,G2
1,1000,1,0,0.811374,0,0,0,G2
1,1000,1,0,0.624098,0,0,0,G2
1,1000,1,0,0.96388,0,0,0,G2
0,1000,0,0,0,0,0,0,G2
1,1000,1,0,0.669806,0,0,0,G2
1,1000,1,0,0.819212,0,0,0,G2
2,1,0.021951,0,0,0,0,5.588802,G3
0,1,0,0,0,0,0,0,G3
2,1,0.016166,0,0,0,0,3.357691,G3
1,1,1,0,0,0,0,1.962697,G3
1,1,1,0,0,0,0,2.435554,G3
1,1,1,0,0,0,0,2.509979,G3
1,1,1,0,0,0,0,2.32126,G3
1,1,1,0,0,0,0,2.432033,G3
1,1,1,0,0,0,0,2.480385,G3
1,1,1,0,0,0,0,2.548279,G3
2,11000,0.012878,1.92091,2.217389,0,0,0,G4
2,11000,0.01306,1.920436,2.281158,0,0,0,G4
3,11000,0.01925,2.536567,3.216953,0,0,0,G4
2,11000,0.012842,1.971869,2.394318,0,0,0,G4
1,11000,1,2.732039,0,0,0,0,G4
2,11000,0.012948,2.382105,2.670159,0,0,0,G4
1,11000,1,2.472052,0,0,0,0,G4
3,11000,0.022598,5.081109,5.19557,0,0,0,G4
2,11000,0.012736,1.956647,2.264404,0,0,0,G4
3,11000,0.024596,4.982361,6.120978,0,0,0,G4
3,1100,0.038341,0,3.765091,0.737544,0,0,G5
3,1100,0.012941,0,3.384465,3.725769,0,0,G5
3,1100,0.013449,0,5.593565,5.910605,0,0,G5
2,1100,0.019839,0,2.093861,2.101737,0,0,G5
3,1100,0.012127,0,4.059782,4.40859,0,0,G5
2,1100,0.019658,0,1.656116,1.69653,0,0,G5
2,1100,0.018716,0,1.798941,1.804901,0,0,G5
2,1100,0.018838,0,2.568328,2.561266,0,0,G5
2,1100,0.018583,0,3.158669,3.18687,0,0,G5
3,1100,0.039843,0,5.362423,1.921971,0,0,G5
3,1110,0.013051,0,1.579357,1.806409,1.735807,0,G6
3,1110,0.012564,0,2.820252,3.387056,0.9349,0,G6
3,1110,0.01325,0,1.585589,1.715658,1.609502,0,G6
4,1110,0.009914,0,2.747815,2.996877,2.968055,0,G6
3,1110,0.013093,0,1.516607,1.69428,1.633131,0,G6
3,1110,0.013391,0,1.645035,1.852884,1.783288,0,G6
4,1110,0.010097,0,2.539201,2.884054,2.807809,0,G6
4,1110,0.012,0,2.169876,2.692333,2.55109,0,G6
3,1110,0.012938,0,2.311286,2.460773,2.325623,0,G6
3,1110,0.013074,0,2.888182,2.963516,2.827507,0,G6
2,10001,0.010995,2.192527,0,0,0,2.306137,G7
2,10001,0.018794,2.098306,0,0,0,1.75715,G7
1,10001,1,2.219085,0,0,0,0,G7
3,10001,0.011389,2.246607,0,0,0,2.023843,G7
3,10001,0.011811,2.159252,0,0,0,1.875043,G7
4,10001,0.013733,4.417421,0,0,0,4.073871,G7
2,10001,0.011211,2.523398,0,0,0,2.696643,G7
4,10001,0.025956,9.964713,0,0,0,12.381773,G7
4,10001,0.027612,8.969092,0,0,0,4.264287,G7
3,10001,0.015468,5.735237,0,0,0,6.370481,G7
3,11001,0.014554,2.463647,3.189894,0,0,2.539773,G8
2,11001,0.016555,2.552048,2.908525,0,0,0,G8
3,11001,0.013906,2.625465,3.310952,0,0,2.756505,G8
4,11001,0.040954,13.37717,16.406713,0,0,14.285071,G8
3,11001,0.0143,2.271872,2.93282,0,0,2.30768,G8
3,11001,0.0143,2.384982,3.216164,0,0,2.59698,G8
3,11001,0.013716,3.270124,4.019603,0,0,3.459401,G8
3,11001,0.013726,4.73728,5.407362,0,0,4.905256,G8
3,11001,0.014045,3.730794,4.469506,0,0,3.892395,G8
3,11001,0.01463,3.08476,3.858044,0,0,3.208477,G8
5,11111,0.009553,2.605869,3.583256,3.591082,3.476862,2.806365,G9
5,11111,0.010038,1.26991,2.19238,2.324479,2.169836,1.536889,G9
5,11111,0.010154,1.967825,3.13889,3.205146,3.083863,2.320241,G9
4,11111,0.01013,4.289592,5.136301,5.129916,4.419653,0,G9
4,11111,0.010769,3.943308,4.039729,4.006492,3.576392,0,G9
4,11111,0.010833,2.229235,2.401072,2.326977,1.889486,0,G9
5,11111,0.009926,1.830875,2.764143,2.869909,2.733367,2.075783,G9
5,11111,0.009939,1.48832,2.336564,2.509696,2.377496,1.753782,G9
5,11111,0.010001,1.746774,2.628773,2.724137,2.545563,1.978785,G9
5,11111,0.009463,2.687785,3.385308,3.56586,3.432508,2.926412,G9
1,0,1,0,0,0,0,0,G1
1,0,1,0,0,0,0,0,G1
1,0,1,0,0,0,0,0,G1
1,0,1,0,0,0,0,0,G1
1,0,1,0,0,0,0,0,G1
1,0,1,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
1,0,1,0,0,0,0,0,G1
3,1101,0.009691,0,3.304496,3.448358,0,3.020074,G0
3,1101,0.010008,0,4.541755,4.727411,0,4.205803,G0
3,1101,0.009704,0,3.824039,4.012097,0,3.487435,G0
3,1101,0.0098,0,3.142044,3.325052,0,2.7981,G0
3,1101,0.009855,0,3.248622,3.389153,0,2.988763,G0
3,1101,0.009939,0,4.264217,4.445772,0,3.949125,G0
3,1101,0.010025,0,3.768033,3.977086,0,3.516061,G0
3,1101,0.010064,0,2.731685,2.908622,0,2.460076,G0
4,1101,0.011507,0,3.123606,3.323933,0,2.592962,G0
3,1101,0.009828,0,3.240444,3.381718,0,2.946951,G0
1,1000,1,0,0.40087,0,0,0,G2
1,1000,1,0,0.653741,0,0,0,G2
1,1000,1,0,0.85771,0,0,0,G2
1,1000,1,0,1.321642,0,0,0,G2
1,1000,1,0,0.898788,0,0,0,G2
1,1000,1,0,1.036665,0,0,0,G2
1,1000,1,0,0.616803,0,0,0,G2
1,1000,1,0,0.922724,0,0,0,G2
1,1000,1,0,1.167477,0,0,0,G2
1,1000,1,0,1.068267,0,0,0,G2
1,1,1,0,0,0,0,1.649739,G3
2,1,0.027471,0,0,0,0,1.435525,G3
2,1,0.027034,0,0,0,0,0.548141,G3
2,1,0.027406,0,0,0,0,1.853569,G3
1,1,1,0,0,0,0,1.988561,G3
1,1,1,0,0,0,0,1.962445,G3
1,1,1,0,0,0,0,2.501432,G3
2,1,0.032967,0,0,0,0,2.919052,G3
1,1,1,0,0,0,0,0.683025,G3
1,1,1,0,0,0,0,0.724118,G3
3,11000,0.017313,1.240211,2.010482,0,0,0,G4
2,11000,0.012781,0.0255,0.501815,0,0,0,G4
2,11000,0.011889,0.912342,1.475883,0,0,0,G4
3,11000,0.016734,1.84212,2.571226,0,0,0,G4
3,11000,0.01771,1.674193,2.580039,0,0,0,G4
3,11000,0.017813,1.76166,2.688617,0,0,0,G4
3,11000,0.017429,1.995824,2.891256,0,0,0,G4
3,11000,0.017021,2.123151,2.984541,0,0,0,G4
3,11000,0.017078,1.396748,2.168492,0,0,0,G4
2,11000,0.011987,0.849059,1.356099,0,0,0,G4
2,1100,0.019279,0,1.106471,1.161095,0,0,G5
2,1100,0.019031,0,2.219078,2.218372,0,0,G5
2,1100,0.018852,0,2.037471,2.080377,0,0,G5
2,1100,0.018789,0,1.919999,1.983265,0,0,G5
2,1100,0.019128,0,2.073163,2.115077,0,0,G5
2,1100,0.018975,0,1.444278,1.495915,0,0,G5
2,1100,0.018805,0,1.429522,1.474883,0,0,G5
2,1100,0.018422,0,1.405533,1.459107,0,0,G5
2,1100,0.019224,0,1.967316,2.012777,0,0,G5
2,1100,0.018755,0,1.733198,1.746467,0,0,G5
3,1110,0.015212,0,2.164897,2.290388,2.118141,0,G6
3,1110,0.015099,0,2.287251,2.394208,2.207506,0,G6
3,1110,0.015395,0,2.339605,2.46392,2.269868,0,G6
3,1110,0.015289,0,2.346586,2.451472,2.276577,0,G6
3,1110,0.015566,0,1.787336,1.921484,1.724274,0,G6
3,1110,0.015577,0,1.943836,2.067434,1.880118,0,G6
3,1110,0.015452,0,2.304076,2.418892,2.241728,0,G6
3,1110,0.015818,0,2.452699,2.589725,2.409889,0,G6
3,1110,0.01405,0,3.171474,3.280604,3.168819,0,G6
3,1110,0.014772,0,2.524149,2.632466,2.473182,0,G6
2,10001,0.011602,1.615601,0,0,0,1.555722,G7
2,10001,0.010613,2.32244,0,0,0,2.365039,G7
2,10001,0.010653,1.884668,0,0,0,1.97073,G7
2,10001,0.010793,2.047573,0,0,0,2.128826,G7
2,10001,0.010667,1.963119,0,0,0,1.972337,G7
2,10001,0.010679,1.82528,0,0,0,2.00705,G7
2,10001,0.010435,2.839518,0,0,0,2.972112,G7
2,10001,0.010907,1.222643,0,0,0,1.454624,G7
2,10001,0.012078,0.12081,0,0,0,0.499218,G7
2,10001,0.012448,0.354456,0,0,0,0.523019,G7
3,11001,0.009312,3.463594,4.243196,0,0,3.681748,G8
3,11001,0.009687,2.692305,3.741098,0,0,3.097004,G8
4,11001,0.010678,1.933424,3.033857,0,0,1.957484,G8
4,11001,0.010698,3.0454,4.182112,0,0,3.096088,G8
3,11001,0.009731,1.060611,1.962115,0,0,1.304427,G8
3,11001,0.009711,1.230555,2.103075,0,0,1.433966,G8
3,11001,0.009788,2.73273,3.676888,0,0,3.039683,G8
3,11001,0.009503,2.3773,3.210921,0,0,2.6298,G8
3,11001,0.009626,1.505794,2.302745,0,0,1.664755,G8
4,11001,0.010783,0.59654,1.576943,0,0,0.613251,G8
5,11111,0.008834,0.280518,1.850322,2.028571,1.907771,1.27657,G9
5,11111,0.0082,2.162024,3.41393,3.611273,3.501278,2.952716,G9
5,11111,0.007958,2.319769,3.542961,3.685598,3.565313,3.045263,G9
5,11111,0.008063,2.223627,3.550491,3.67174,3.587299,3.055944,G9
5,11111,0.008047,2.158136,3.46041,3.578918,3.489384,2.952679,G9
5,11111,0.008023,1.716219,2.961399,3.087937,3.00403,2.48096,G9
5,11111,0.008293,0.676198,1.99697,2.14448,2.011722,1.46829,G9
5,11111,0.008237,1.347131,2.618608,2.739181,2.630876,2.055403,G9
5,11111,0.008358,2.370163,3.669908,3.816625,3.714485,3.154437,G9
5,11111,0.008271,1.015792,2.263813,2.351481,2.220672,1.65872,G9
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
3,1101,0.012631,0,2.50546,2.771589,0,2.434547,G0
3,1101,0.012653,0,1.779556,1.961989,0,1.473321,G0
3,1101,0.012625,0,2.12849,2.342911,0,1.965872,G0
3,1101,0.012654,0,2.688904,2.759218,0,2.066185,G0
3,1101,0.01246,0,2.676648,2.928436,0,2.506925,G0
2,1101,0.026022,0,1.834903,2.023987,0,0,G0
3,1101,0.012846,0,1.994629,2.16077,0,1.64098,G0
3,1101,0.012614,0,2.001169,2.161285,0,1.620225,G0
3,1101,0.01251,0,2.394215,2.558391,0,2.006091,G0
3,1101,0.012624,0,2.660907,2.713761,0,2.120425,G0
1,1000,1,0,1.277505,0,0,0,G2
0,1000,0,0,0,0,0,0,G2
1,1000,1,0,0.894462,0,0,0,G2
1,1000,1,0,0.866158,0,0,0,G2
1,1000,1,0,0.938148,0,0,0,G2
1,1000,1,0,1.980027,0,0,0,G2
1,1000,1,0,2.284308,0,0,0,G2
1,1000,1,0,1.290012,0,0,0,G2
1,1000,1,0,0.662724,0,0,0,G2
1,1000,1,0,2.067153,0,0,0,G2
0,1,0,0,0,0,0,0,G3
2,1,0.016718,0,0,0,0,0.134786,G3
0,1,0,0,0,0,0,0,G3
0,1,0,0,0,0,0,0,G3
1,1,1,0,0,0,0,1.982845,G3
0,1,0,0,0,0,0,0,G3
1,1,1,0,0,0,0,1.78512,G3
1,1,1,0,0,0,0,2.032873,G3
1,1,1,0,0,0,0,1.769209,G3
0,1,0,0,0,0,0,0,G3
1,11000,1,0.291708,0,0,0,0,G4
2,11000,0.014298,2.395534,2.826909,0,0,0,G4
2,11000,0.017128,0.670186,0.587854,0,0,0,G4
2,11000,0.013906,0.348918,0.578001,0,0,0,G4
2,11000,0.016069,0.577604,0.526616,0,0,0,G4
2,11000,0.013521,1.648453,2.143939,0,0,0,G4
2,11000,0.011151,2.468504,2.881587,0,0,0,G4
2,11000,0.012976,2.201258,2.4291,0,0,0,G4
2,11000,0.013781,1.022954,1.16707,0,0,0,G4
1,11000,1,0.468058,0,0,0,0,G4
2,1100,0.024069,0,0.990261,1.02083,0,0,G5
2,1100,0.021582,0,1.593661,1.610657,0,0,G5
2,1100,0.020918,0,2.648782,1.640749,0,0,G5
0,1100,0,0,0,0,0,0,G5
2,1100,0.02335,0,1.740619,1.738286,0,0,G5
2,1100,0.023011,0,2.001103,1.997056,0,0,G5
2,1100,0.023433,0,1.419548,1.439554,0,0,G5
3,1100,0.03708,0,2.602875,1.234775,0,0,G5
0,1100,0,0,0,0,0,0,G5
0,1100,0,0,0,0,0,0,G5
2,1110,0.029199,0,1.294993,1.466297,0,0,G6
3,1110,0.019888,0,2.211512,2.312101,2.157485,0,G6
1,1110,1,0,2.182261,0,0,0,G6
3,1110,0.019445,0,2.370808,2.461677,2.198257,0,G6
3,1110,0.019722,0,1.894695,2.052802,1.807447,0,G6
2,1110,0.024261,0,1.410634,1.033499,0,0,G6
3,1110,0.021595,0,2.349935,2.702308,2.228577,0,G6
1,1110,1,0,2.264104,0,0,0,G6
1,1110,1,0,1.967882,0,0,0,G6
3,1110,0.020074,0,2.401308,2.541336,2.300484,0,G6
2,10001,0.016136,0.340684,0,0,0,0.189126,G7
2,10001,0.012156,0.613948,0,0,0,0.641166,G7
0,10001,0,0,0,0,0,0,G7
1,10001,1,0.053994,0,0,0,0,G7
2,10001,0.010072,0.533867,0,0,0,0.181889,G7
2,10001,0.010905,0.666647,0,0,0,0.500134,G7
0,10001,0,0,0,0,0,0,G7
2,10001,0.010467,1.228466,0,0,0,0.790985,G7
2,10001,0.010653,0.620907,0,0,0,0.400748,G7
2,10001,0.01051,0.122793,0,0,0,0.246611,G7
3,11001,0.010541,3.744105,4.201895,0,0,3.589105,G8
3,11001,0.011822,4.739797,5.474811,0,0,4.758352,G8
2,11001,0.015422,3.295316,3.744194,0,0,0,G8
2,11001,0.017883,2.312316,2.773104,0,0,0,G8
3,11001,0.011711,3.357679,3.88082,0,0,3.13008,G8
3,11001,0.011191,4.073969,4.55499,0,0,3.808392,G8
3,11001,0.011619,6.128428,6.948523,0,0,6.150044,G8
2,11001,0.015418,5.694261,5.623022,0,0,0,G8
3,11001,0.010716,6.427003,6.914099,0,0,6.290797,G8
