@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R1,4,18-22'

@attribute numFingers numeric
@attribute Max_X numeric
@attribute fingertipElevation_f2 numeric
@attribute fingertipElevation_f3 numeric
@attribute fingertipElevation_f4 numeric
@attribute fingertipElevation_f5 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data
1,0.313593,0,0,0,1.959951,G3
1,0.147303,0,0,0,2.267077,G3
1,0.40733,0,0,0,2.859358,G3
1,0.261888,0,0,0,2.23115,G3
2,0.72652,0,0,0,2.81739,G3
1,0.20873,0,0,0,1.703367,G3
1,0.04827,0,0,0,1.72396,G3
1,0.102806,0,0,0,1.93749,G3
2,-0.373879,1.701352,0,0,0,G4
2,-0.434245,1.861036,0,0,0,G4
2,-0.413022,1.650402,0,0,0,G4
3,-0.037151,2.086187,0,0,0,G4
3,-0.000103,2.213711,0,0,0,G4
3,-0.060346,2.075226,0,0,0,G4
3,-0.033475,2.487475,0,0,0,G4
3,-0.013315,2.112467,0,0,0,G4
2,-0.447857,1.96664,0,0,0,G4
2,-0.45698,2.053533,0,0,0,G4
2,0.264451,1.905487,1.854031,0,0,G5
2,0.30508,2.062269,2.112619,0,0,G5
2,0.161662,1.831598,1.917133,0,0,G5
3,1.997881,3.896853,4.667479,0,0,G5
2,0.207566,2.131417,2.21418,0,0,G5
2,0.263061,2.620394,2.695342,0,0,G5
2,0.295778,2.040568,2.083658,0,0,G5
2,0.302774,1.926158,1.955444,0,0,G5
2,0.291047,1.899811,1.933576,0,0,G5
2,0.345031,1.763835,1.727625,0,0,G5
3,0.054545,1.958068,2.065973,1.866892,0,G6
4,0.341613,2.57332,2.739355,1.668595,0,G6
3,0.183539,1.801968,1.916539,1.738299,0,G6
3,0.132188,1.997224,2.151975,1.88613,0,G6
3,0.299692,2.32594,2.444495,2.179388,0,G6
3,0.177524,1.909319,2.065951,1.888517,0,G6
3,0.124065,2.470532,2.606683,2.449893,0,G6
3,0.15952,2.815992,2.974155,2.799173,0,G6
3,0.093541,2.799346,2.95688,2.783392,0,G6
3,0.025135,2.559534,2.695724,2.51478,0,G6
2,1.095423,0,0,0,0.956591,G7
3,1.109315,0,0,0,1.384579,G7
3,0.911542,0,0,0,1.711591,G7
2,0.83926,0,0,0,2.848105,G7
2,1.004514,0,0,0,2.606421,G7
3,0.944776,0,0,0,1.479126,G7
4,1.053624,0,0,0,1.642864,G7
4,1.353392,0,0,0,0.900476,G7
4,1.458554,0,0,0,1.145414,G7
4,1.367796,0,0,0,0.09792,G7
4,1.775124,4.25606,0,0,3.400037,G8
2,0.288527,1.822753,0,0,0,G8
3,0.32148,3.169844,0,0,2.620257,G8
3,0.155239,2.549367,0,0,1.883199,G8
3,0.274512,2.434833,0,0,1.788014,G8
3,0.31914,2.043718,0,0,1.370904,G8
3,0.479261,1.934845,0,0,1.312227,G8
3,0.500359,2.637744,0,0,1.996173,G8
4,0.446692,4.077566,0,0,3.276005,G8
4,2.231167,6.520862,0,0,5.495451,G8
5,0.912641,3.855342,4.085877,3.918613,3.474774,G9
5,0.795213,3.232668,3.410392,3.26334,2.84068,G9
5,0.66777,3.593818,3.676095,3.54543,3.163843,G9
5,0.777736,3.72731,3.910608,3.753439,3.336542,G9
5,0.782084,4.125418,4.277683,4.147567,3.761934,G9
5,0.792103,3.664258,3.766043,3.626928,3.182909,G9
5,0.642047,3.154746,3.258385,3.08598,2.679865,G9
3,-0.196212,2.877027,2.769956,0,0,G9
3,0.671083,5.471673,4.837096,0,0,G9
5,0.730756,3.898855,4.064389,3.943558,3.506793,G9
0,0,0,0,0,0,G1
1,0.734957,0,0,0,0,G1
2,0.581342,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
1,-0.667931,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
4,0.861251,3.200804,3.866323,0,3.432589,G0
3,0.461436,2.869781,3.06101,0,2.529032,G0
3,0.41388,3.455971,3.626464,0,3.077377,G0
5,1.781367,7.758927,8.722976,0,1.401234,G0
3,0.36219,1.929311,2.121263,0,1.66838,G0
3,0.457707,1.962166,2.130976,0,1.614336,G0
3,0.568438,2.668828,2.823006,0,2.236153,G0
2,-0.014742,2.519809,2.537647,0,0,G0
4,0.961435,5.07996,5.543409,0,4.864698,G0
4,0.910031,5.056568,5.529736,0,4.884039,G0
1,-0.303567,0.782167,0,0,0,G2
0,0,0,0,0,0,G2
0,0,0,0,0,0,G2
0,0,0,0,0,0,G2
1,-0.315823,0.811374,0,0,0,G2
1,-0.111525,0.624098,0,0,0,G2
1,-0.210051,0.96388,0,0,0,G2
0,0,0,0,0,0,G2
1,-0.267906,0.669806,0,0,0,G2
1,-0.291259,0.819212,0,0,0,G2
2,0.488662,0,0,0,5.588802,G3
0,0,0,0,0,0,G3
2,0.822483,0,0,0,3.357691,G3
1,0.211315,0,0,0,1.962697,G3
1,0.257286,0,0,0,2.435554,G3
1,0.294008,0,0,0,2.509979,G3
1,0.213918,0,0,0,2.32126,G3
1,0.220521,0,0,0,2.432033,G3
1,0.164169,0,0,0,2.480385,G3
1,0.15234,0,0,0,2.548279,G3
2,-0.174105,2.217389,0,0,0,G4
2,-0.122953,2.281158,0,0,0,G4
3,0.18846,3.216953,0,0,0,G4
2,-0.164602,2.394318,0,0,0,G4
1,-0.94572,0,0,0,0,G4
2,-0.150126,2.670159,0,0,0,G4
1,-0.98293,0,0,0,0,G4
3,-0.008154,5.19557,0,0,0,G4
2,-0.180848,2.264404,0,0,0,G4
3,1.36589,6.120978,0,0,0,G4
3,-0.063246,3.765091,0.737544,0,0,G5
3,0.972259,3.384465,3.725769,0,0,G5
3,0.856262,5.593565,5.910605,0,0,G5
2,-0.077521,2.093861,2.101737,0,0,G5
3,1.139007,4.059782,4.40859,0,0,G5
2,-0.078388,1.656116,1.69653,0,0,G5
2,0.136451,1.798941,1.804901,0,0,G5
2,0.192035,2.568328,2.561266,0,0,G5
2,0.017633,3.158669,3.18687,0,0,G5
3,-0.183645,5.362423,1.921971,0,0,G5
3,0.15807,1.579357,1.806409,1.735807,0,G6
3,0.699618,2.820252,3.387056,0.9349,0,G6
3,0.125004,1.585589,1.715658,1.609502,0,G6
4,0.641382,2.747815,2.996877,2.968055,0,G6
3,0.070663,1.516607,1.69428,1.633131,0,G6
3,-0.009252,1.645035,1.852884,1.783288,0,G6
4,0.667561,2.539201,2.884054,2.807809,0,G6
4,1.009683,2.169876,2.692333,2.55109,0,G6
3,0.356224,2.311286,2.460773,2.325623,0,G6
3,0.24501,2.888182,2.963516,2.827507,0,G6
2,0.13836,0,0,0,2.306137,G7
2,-0.164355,0,0,0,1.75715,G7
1,-0.624042,0,0,0,0,G7
3,0.329231,0,0,0,2.023843,G7
3,0.38034,0,0,0,1.875043,G7
4,0.793739,0,0,0,4.073871,G7
2,0.29787,0,0,0,2.696643,G7
4,3.005895,0,0,0,12.381773,G7
4,1.964791,0,0,0,4.264287,G7
3,2.029247,0,0,0,6.370481,G7
3,0.470137,3.189894,0,0,2.539773,G8
2,-0.328652,2.908525,0,0,0,G8
3,0.308704,3.310952,0,0,2.756505,G8
4,4.830279,16.406713,0,0,14.285071,G8
3,0.317377,2.93282,0,0,2.30768,G8
3,0.478468,3.216164,0,0,2.59698,G8
3,0.378964,4.019603,0,0,3.459401,G8
3,0.325927,5.407362,0,0,4.905256,G8
3,0.254995,4.469506,0,0,3.892395,G8
3,0.253362,3.858044,0,0,3.208477,G8
5,0.985754,3.583256,3.591082,3.476862,2.806365,G9
5,0.842018,2.19238,2.324479,2.169836,1.536889,G9
5,1.16038,3.13889,3.205146,3.083863,2.320241,G9
4,1.081631,5.136301,5.129916,4.419653,0,G9
4,0.925269,4.039729,4.006492,3.576392,0,G9
4,0.821203,2.401072,2.326977,1.889486,0,G9
5,0.964381,2.764143,2.869909,2.733367,2.075783,G9
5,0.810025,2.336564,2.509696,2.377496,1.753782,G9
5,0.666753,2.628773,2.724137,2.545563,1.978785,G9
5,0.702865,3.385308,3.56586,3.432508,2.926412,G9
1,-0.728452,0,0,0,0,G1
1,-0.672955,0,0,0,0,G1
1,-0.720727,0,0,0,0,G1
1,-0.701598,0,0,0,0,G1
1,-0.693084,0,0,0,0,G1
1,-0.762485,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
1,-0.698562,0,0,0,0,G1
3,0.726182,3.304496,3.448358,0,3.020074,G0
3,0.792688,4.541755,4.727411,0,4.205803,G0
3,0.809091,3.824039,4.012097,0,3.487435,G0
3,0.838553,3.142044,3.325052,0,2.7981,G0
3,0.655823,3.248622,3.389153,0,2.988763,G0
3,0.86205,4.264217,4.445772,0,3.949125,G0
3,0.956434,3.768033,3.977086,0,3.516061,G0
3,0.955239,2.731685,2.908622,0,2.460076,G0
4,1.007363,3.123606,3.323933,0,2.592962,G0
3,0.734132,3.240444,3.381718,0,2.946951,G0
1,-0.357227,0.40087,0,0,0,G2
1,-0.078084,0.653741,0,0,0,G2
1,-0.18588,0.85771,0,0,0,G2
1,-0.085474,1.321642,0,0,0,G2
1,-0.179387,0.898788,0,0,0,G2
1,-0.199327,1.036665,0,0,0,G2
1,-0.255902,0.616803,0,0,0,G2
1,-0.244464,0.922724,0,0,0,G2
1,-0.125303,1.167477,0,0,0,G2
1,-0.239968,1.068267,0,0,0,G2
1,0.443697,0,0,0,1.649739,G3
2,0.86226,0,0,0,1.435525,G3
2,0.750588,0,0,0,0.548141,G3
2,0.893559,0,0,0,1.853569,G3
1,0.517816,0,0,0,1.988561,G3
1,0.492226,0,0,0,1.962445,G3
1,0.483866,0,0,0,2.501432,G3
2,0.967046,0,0,0,2.919052,G3
1,0.502763,0,0,0,0.683025,G3
1,0.51584,0,0,0,0.724118,G3
3,0.00827,2.010482,0,0,0,G4
2,-0.44694,0.501815,0,0,0,G4
2,-0.455291,1.475883,0,0,0,G4
3,-0.073055,2.571226,0,0,0,G4
3,0.004683,2.580039,0,0,0,G4
3,0.010504,2.688617,0,0,0,G4
3,0.036607,2.891256,0,0,0,G4
3,-0.058973,2.984541,0,0,0,G4
3,-0.015395,2.168492,0,0,0,G4
2,-0.220726,1.356099,0,0,0,G4
2,0.189658,1.106471,1.161095,0,0,G5
2,0.319402,2.219078,2.218372,0,0,G5
2,0.259142,2.037471,2.080377,0,0,G5
2,0.100846,1.919999,1.983265,0,0,G5
2,0.283289,2.073163,2.115077,0,0,G5
2,0.220504,1.444278,1.495915,0,0,G5
2,0.07513,1.429522,1.474883,0,0,G5
2,-0.022152,1.405533,1.459107,0,0,G5
2,0.04532,1.967316,2.012777,0,0,G5
2,0.025468,1.733198,1.746467,0,0,G5
3,0.322959,2.164897,2.290388,2.118141,0,G6
3,0.248405,2.287251,2.394208,2.207506,0,G6
3,0.340859,2.339605,2.46392,2.269868,0,G6
3,0.420885,2.346586,2.451472,2.276577,0,G6
3,0.329623,1.787336,1.921484,1.724274,0,G6
3,0.270949,1.943836,2.067434,1.880118,0,G6
3,0.288639,2.304076,2.418892,2.241728,0,G6
3,0.044501,2.452699,2.589725,2.409889,0,G6
3,0.239615,3.171474,3.280604,3.168819,0,G6
3,0.244437,2.524149,2.632466,2.473182,0,G6
2,1.347333,0,0,0,1.555722,G7
2,1.202937,0,0,0,2.365039,G7
2,1.145428,0,0,0,1.97073,G7
2,1.153348,0,0,0,2.128826,G7
2,1.182747,0,0,0,1.972337,G7
2,1.150035,0,0,0,2.00705,G7
2,0.951274,0,0,0,2.972112,G7
2,0.945516,0,0,0,1.454624,G7
2,0.999471,0,0,0,0.499218,G7
2,1.297328,0,0,0,0.523019,G7
3,0.544992,4.243196,0,0,3.681748,G8
3,0.811194,3.741098,0,0,3.097004,G8
4,0.873147,3.033857,0,0,1.957484,G8
4,0.921665,4.182112,0,0,3.096088,G8
3,0.690302,1.962115,0,0,1.304427,G8
3,0.828407,2.103075,0,0,1.433966,G8
3,0.923193,3.676888,0,0,3.039683,G8
3,0.495076,3.210921,0,0,2.6298,G8
3,0.376799,2.302745,0,0,1.664755,G8
4,0.352291,1.576943,0,0,0.613251,G8
5,1.282685,1.850322,2.028571,1.907771,1.27657,G9
5,1.095357,3.41393,3.611273,3.501278,2.952716,G9
5,1.047545,3.542961,3.685598,3.565313,3.045263,G9
5,1.152834,3.550491,3.67174,3.587299,3.055944,G9
5,0.9195,3.46041,3.578918,3.489384,2.952679,G9
5,0.735712,2.961399,3.087937,3.00403,2.48096,G9
5,0.897672,1.99697,2.14448,2.011722,1.46829,G9
5,1.009016,2.618608,2.739181,2.630876,2.055403,G9
5,1.13926,3.669908,3.816625,3.714485,3.154437,G9
5,1.177129,2.263813,2.351481,2.220672,1.65872,G9
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
3,0.493973,2.50546,2.771589,0,2.434547,G0
3,0.707169,1.779556,1.961989,0,1.473321,G0
3,0.405435,2.12849,2.342911,0,1.965872,G0
3,0.807531,2.688904,2.759218,0,2.066185,G0
3,0.639225,2.676648,2.928436,0,2.506925,G0
2,-0.38578,1.834903,2.023987,0,0,G0
3,0.334742,1.994629,2.16077,0,1.64098,G0
3,0.587771,2.001169,2.161285,0,1.620225,G0
3,0.771776,2.394215,2.558391,0,2.006091,G0
3,0.809268,2.660907,2.713761,0,2.120425,G0
1,-0.446635,1.277505,0,0,0,G2
0,0,0,0,0,0,G2
1,-0.63726,0.894462,0,0,0,G2
1,-0.562339,0.866158,0,0,0,G2
1,-0.023712,0.938148,0,0,0,G2
1,-0.295672,1.980027,0,0,0,G2
1,-0.329493,2.284308,0,0,0,G2
1,-0.377284,1.290012,0,0,0,G2
1,-0.260873,0.662724,0,0,0,G2
1,-0.251762,2.067153,0,0,0,G2
0,0,0,0,0,0,G3
2,1.007043,0,0,0,0.134786,G3
0,0,0,0,0,0,G3
0,0,0,0,0,0,G3
1,0.398717,0,0,0,1.982845,G3
0,0,0,0,0,0,G3
1,0.496599,0,0,0,1.78512,G3
1,0.473024,0,0,0,2.032873,G3
1,0.490308,0,0,0,1.769209,G3
0,0,0,0,0,0,G3
1,-0.49783,0,0,0,0,G4
2,0.265145,2.826909,0,0,0,G4
2,0.150528,0.587854,0,0,0,G4
2,0.479933,0.578001,0,0,0,G4
2,0.540778,0.526616,0,0,0,G4
2,0.402733,2.143939,0,0,0,G4
2,-0.211578,2.881587,0,0,0,G4
2,0.20852,2.4291,0,0,0,G4
2,0.6976,1.16707,0,0,0,G4
1,0.446533,0,0,0,0,G4
2,0.317808,0.990261,1.02083,0,0,G5
2,0.21086,1.593661,1.610657,0,0,G5
2,0.354287,2.648782,1.640749,0,0,G5
0,0,0,0,0,0,G5
2,0.01223,1.740619,1.738286,0,0,G5
2,0.229529,2.001103,1.997056,0,0,G5
2,0.26645,1.419548,1.439554,0,0,G5
3,0.800136,2.602875,1.234775,0,0,G5
0,0,0,0,0,0,G5
0,0,0,0,0,0,G5
2,-0.043368,1.294993,1.466297,0,0,G6
3,0.511672,2.211512,2.312101,2.157485,0,G6
1,-0.489108,2.182261,0,0,0,G6
3,0.481586,2.370808,2.461677,2.198257,0,G6
3,0.43352,1.894695,2.052802,1.807447,0,G6
2,0.508264,1.410634,1.033499,0,0,G6
3,0.622914,2.349935,2.702308,2.228577,0,G6
1,0.004846,2.264104,0,0,0,G6
1,-0.563037,1.967882,0,0,0,G6
3,0.184303,2.401308,2.541336,2.300484,0,G6
2,1.172664,0,0,0,0.189126,G7
2,1.219794,0,0,0,0.641166,G7
0,0,0,0,0,0,G7
1,-0.152401,0,0,0,0,G7
2,1.045063,0,0,0,0.181889,G7
2,1.187844,0,0,0,0.500134,G7
0,0,0,0,0,0,G7
2,1.172019,0,0,0,0.790985,G7
2,1.116929,0,0,0,0.400748,G7
2,1.323805,0,0,0,0.246611,G7
3,0.89502,4.201895,0,0,3.589105,G8
3,0.857352,5.474811,0,0,4.758352,G8
2,-0.245824,3.744194,0,0,0,G8
2,-0.206555,2.773104,0,0,0,G8
3,0.644384,3.88082,0,0,3.13008,G8
3,0.731228,4.55499,0,0,3.808392,G8
3,1.015224,6.948523,0,0,6.150044,G8
2,0.221916,5.623022,0,0,0,G8
3,0.887352,6.914099,0,0,6.290797,G8
3,1.033524,6.020041,0,0,5.137407,G8
5,1.074907,3.467142,3.42099,3.247894,2.651787,G9
5,1.392195,4.331477,4.479289,4.214166,3.448234,G9
5,0.94556,3.084621,3.221116,3.054302,2.562638,G9
5,0.939469,5.105647,5.120188,4.926242,4.246762,G9
5,0.943199,1.97503,2.01991,1.812495,1.255303,G9
4,0.896367,2.098935,2.041083,1.80605,0,G9
5,0.667916,4.696747,4.803766,4.735086,4.276867,G9
5,0.58002,7.086591,7.203006,7.151492,6.706867,G9
5,1.052728,6.340759,6.365201,6.127171,5.617724,G9
5,0.936526,4.566732,4.599581,4.503874,3.978602,G9
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
1,0.556589,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
3,0.598957,1.443633,1.679687,0,1.332674,G0
3,0.553095,2.316373,2.505263,0,2.023229,G0
3,0.616175,2.513523,2.666659,0,2.159433,G0
3,0.612207,2.147329,2.285386,0,1.775265,G0
3,0.463449,1.726695,2.021174,0,1.665006,G0
3,0.705224,2.339178,2.424119,0,1.833871,G0
3,0.483673,1.603513,1.869291,0,1.527964,G0
3,0.628469,2.166372,2.244421,0,1.813531,G0
3,0.528844,1.768159,1.925906,0,1.527198,G0
3,0.721161,2.093999,2.235826,0,1.758586,G0
0,0,0,0,0,0,G2
0,0,0,0,0,0,G2
0,0,0,0,0,0,G2
0,0,0,0,0,0,G2
0,0,0,0,0,0,G2
0,0,0,0,0,0,G2
0,0,0,0,0,0,G2
0,0,0,0,0,0,G2
0,0,0,0,0,0,G2
0,0,0,0,0,0,G2
1,0.467396,0,0,0,1.608688,G3
1,0.461049,0,0,0,2.254209,G3
1,0.486204,0,0,0,2.441876,G3
1,0.466035,0,0,0,2.032701,G3
0,0,0,0,0,0,G3
0,0,0,0,0,0,G3
0,0,0,0,0,0,G3
1,0.270761,0,0,0,2.326077,G3
1,0.231942,0,0,0,2.131044,G3
1,0.384351,0,0,0,2.366603,G3
2,-0.009127,2.137151,0,0,0,G4
2,-0.182513,2.314631,0,0,0,G4
2,-0.239257,2.880613,0,0,0,G4
1,-0.890757,0,0,0,0,G4
3,0.274832,2.476516,0,0,0,G4
1,-0.968462,0,0,0,0,G4
2,0.182582,1.133746,0,0,0,G4
2,-0.090671,2.040292,0,0,0,G4
2,-0.064743,2.142984,0,0,0,G4
2,0.172381,1.551723,0,0,0,G4
2,0.552577,1.355692,1.286835,0,0,G5
1,0.234747,1.31139,0,0,0,G5
1,0.347492,1.855923,0,0,0,G5
0,0,0,0,0,0,G5
2,0.402656,1.780371,1.721081,0,0,G5
2,0.407046,1.84666,1.734795,0,0,G5
2,0.239673,1.234023,1.294113,0,0,G5
2,0.312447,1.244284,1.305939,0,0,G5
0,0,0,0,0,0,G5
2,0.415659,1.181218,1.25409,0,0,G5
3,0.582497,2.006508,2.153533,1.995845,0,G6
3,0.59541,2.311925,2.442055,2.246718,0,G6
3,0.532532,2.017834,2.077801,1.916269,0,G6
3,0.623132,2.236663,2.298096,2.077478,0,G6
3,0.4485,1.517597,1.66833,1.480218,0,G6
3,0.62582,2.019006,2.019825,1.759594,0,G6
3,0.483239,1.352494,1.310956,1.256135,0,G6
3,0.740884,1.642932,1.775795,1.605941,0,G6
3,0.750233,1.35763,1.584066,1.294743,0,G6
3,0.791949,1.981714,2.251905,1.984155,0,G6
2,0.943968,0,0,0,3.142388,G7
3,1.077569,0,0,0,2.653922,G7
3,3.403178,0,0,0,0.964787,G7
3,1.058594,0,0,0,2.764261,G7
2,1.095505,0,0,0,2.570461,G7
3,1.006503,0,0,0,3.983932,G7
2,1.069142,0,0,0,3.9326,G7
2,0.981127,0,0,0,2.684536,G7
2,0.885921,0,0,0,3.192102,G7
2,0.849016,0,0,0,2.425123,G7
4,1.227301,4.764359,0,0,3.880919,G8
3,0.992309,4.097537,0,0,3.117222,G8
3,0.677979,4.031798,0,0,3.459741,G8
3,1.123231,4.222198,0,0,3.638376,G8
3,0.974945,4.287391,0,0,3.475688,G8
3,1.000095,3.915275,0,0,3.114105,G8
3,0.930347,3.855591,0,0,2.969091,G8
3,0.750694,3.97739,0,0,3.212373,G8
3,0.791638,4.61943,0,0,3.876088,G8
3,0.925355,3.191657,0,0,2.373737,G8
5,1.127704,2.649596,2.737096,1.964551,2.425604,G9
5,1.1819,2.549188,2.719091,1.952886,2.46722,G9
5,1.383087,2.785559,2.799219,1.841744,2.370723,G9
4,1.049647,2.495109,2.557856,2.205323,0,G9
5,1.346604,2.684768,2.793168,1.872318,2.433289,G9
5,1.247788,3.487632,3.696452,2.991677,3.503557,G9
5,1.202673,3.255954,3.460378,2.607853,3.168638,G9
4,0.883985,3.248523,3.31209,2.819771,0,G9
5,1.361782,3.25262,3.401956,3.194432,2.644456,G9
4,1.007664,3.201528,3.13351,2.643073,0,G9
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
