@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R2,3,5,6,18-22'

@attribute fingersExtended numeric
@attribute ratio numeric
@attribute Max_Y numeric
@attribute fingersAreas numeric
@attribute fingertipElevation_f2 numeric
@attribute fingertipElevation_f3 numeric
@attribute fingertipElevation_f4 numeric
@attribute fingertipElevation_f5 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data
1,1,0.746036,1,0,0,0,0,G3
1,1,0.87375,1,0,0,0,0,G3
11000,0.00996,1.28561,68.443039,2.493204,0,0,0,G4
11000,0.009741,1.128605,73.717079,3.170856,0,0,0,G4
11000,1,-0.644317,1,0,0,0,0,G4
11000,1,0.246019,1,0,0,0,0,G4
11000,0.01593,0.342575,36.890366,0.556692,0,0,0,G4
11000,0.026462,3.957813,99.374763,6.226292,1.330289,0,0,G4
11000,0.020799,2.411074,54.74033,3.985072,2.221399,0,0,G4
11000,0.010248,1.204008,64.424599,1.974227,0,0,0,G4
11000,0.010268,1.27062,69.695953,2.613186,0,0,0,G4
11000,0.010397,1.357879,73.834328,1.585306,0,0,0,G4
1100,1,0.972637,1,0,0,0,0,G5
1100,0.020365,0.974128,25.616379,1.706897,0,0,0,G5
1100,0.020396,0.867764,25.629665,2.175918,0,0,0,G5
1100,0.020314,0.877682,25.679893,2.163668,0,0,0,G5
1100,0.019104,0.997972,27.027773,2.193389,0,0,0,G5
1100,1,0.960213,1,0,0,0,0,G5
1100,0.019072,1.034228,27.902817,3.2916,0,0,0,G5
1100,1,0.996419,1,0,0,0,0,G5
1100,0,0,0,0,0,0,0,G5
1100,1,0.969423,1,0,0,0,0,G5
1110,0.014228,0.993641,18.979395,2.517935,2.306317,0,0,G6
1110,1,0.938215,1,0,0,0,0,G6
1110,0.014499,0.926696,18.622959,2.490292,2.269758,0,0,G6
1110,0.014726,0.912681,18.366129,2.413261,2.189,0,0,G6
1110,0.015094,0.922221,17.936562,2.365904,2.140013,0,0,G6
1110,0.015183,1.078765,17.76836,2.750862,2.556167,0,0,G6
1110,0.015188,1.005026,17.800419,2.605932,2.410807,0,0,G6
1110,0.014549,0.745789,38.0121,2.709472,0,0,0,G6
1110,0.014668,1.073336,18.599554,2.753147,2.513848,0,0,G6
1110,0.01502,1.170329,18.201717,3.458158,3.232599,0,0,G6
10001,0.010028,0.81088,69.908165,2.585142,0,0,0,G7
10001,0.009677,1.022262,77.238541,3.898848,0,0,0,G7
10001,0.009634,1.057828,79.161362,3.925811,0,0,0,G7
10001,0.009664,1.037736,83.083595,3.379407,0,0,0,G7
10001,0.010198,1.124422,78.348076,4.741308,0,0,0,G7
10001,0.012656,1.360674,44.688377,4.877326,5.511092,0,0,G7
10001,0.009721,0.776607,78.815231,2.779773,0,0,0,G7
10001,0.012008,1.519801,75.410538,8.375031,0,0,0,G7
10001,0.009612,0.944019,79.038055,3.456703,0,0,0,G7
10001,0.010206,1.060393,70.284538,4.002843,0,0,0,G7
11001,0.009102,1.367308,31.84795,4.541636,3.928185,0,0,G8
11001,0.010508,1.373388,87.031273,5.742901,0,0,0,G8
11001,0.009269,1.426975,31.582924,4.830408,4.076703,0,0,G8
11001,0.010403,1.478418,88.510788,6.109691,0,0,0,G8
11001,0.008864,1.471149,34.360435,5.293864,4.627994,0,0,G8
11001,0.010401,1.272335,81.049911,5.009287,0,0,0,G8
11001,0.009289,1.179867,31.013523,4.37043,3.820997,0,0,G8
11001,0.010335,1.259652,71.723534,5.031978,0,0,0,G8
11001,0.008903,1.236284,32.058792,4.664822,4.101339,0,0,G8
11001,0.008751,1.343418,33.020748,4.909639,4.212711,0,0,G8
11111,0.009334,1.504573,16.910755,5.090964,5.258568,4.605475,0,G9
11111,0.007592,1.340814,13.740136,4.029668,4.13579,4.052598,3.695958,G9
11111,0.007429,1.295621,14.779031,3.54582,3.685647,3.625459,3.334631,G9
11111,0.008589,1.412484,11.713248,4.680151,4.839375,4.706978,4.295236,G9
11111,1,0.600263,1,0,0,0,0,G9
11111,0.008053,1.42811,11.588235,5.102254,5.15669,4.987046,4.58841,G9
11111,1,0.610598,1,0,0,0,0,G9
11111,0.008228,1.178239,11.072308,3.961159,4.167908,4.034494,3.587493,G9
11111,0.008337,1.352818,10.192496,4.483907,4.720399,4.584064,4.103108,G9
11111,0.008789,1.510261,16.426311,5.240202,5.070769,4.699021,0,G9
0,1,0.635808,1,0,0,0,0,G1
0,1,0.778669,1,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,1,0.81432,1,0,0,0,0,G1
0,1,0.864201,1,0,0,0,0,G1
0,1,0.786069,1,0,0,0,0,G1
0,1,0.671906,1,0,0,0,0,G1
0,1,0.71264,1,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
1101,0.01326,0.79501,19.429249,1.937189,1.347058,0,0,G0
1101,0.012111,1.055807,22.119347,2.218632,1.700621,0,0,G0
1101,0.011576,1.026527,22.894224,2.43873,1.93843,0,0,G0
1101,0.011578,1.053928,23.186516,2.383836,1.730752,0,0,G0
1101,0.013132,1.283488,19.955507,2.540933,1.456636,2.030975,0,G0
1101,0.01185,0.965162,22.108004,2.194056,1.710254,0,0,G0
1101,0.011932,0.956813,22.267647,3.99514,3.687164,0,0,G0
1101,0.011733,0.999659,22.644402,3.53889,3.087073,0,0,G0
1101,0.012033,1.013991,21.962376,2.343077,1.830847,0,0,G0
1101,0.013269,1.032953,19.529358,2.154966,1.429949,0,0,G0
1000,1,0.69643,1,0,0,0,0,G2
1000,1,-0.381329,1,0,0,0,0,G2
1000,0,0,0,0,0,0,0,G2
1000,0,0,0,0,0,0,0,G2
1000,1,0.780266,1,0,0,0,0,G2
1000,1,0.768555,1,0,0,0,0,G2
1000,0.019961,1.024957,18.586517,0.433266,0,0,0,G2
1000,0.019659,1.0396,18.952829,0.43582,0,0,0,G2
1000,0.019598,1.060463,19.019991,0.686488,0,0,0,G2
1000,0.019374,0.939747,20.502623,0.188437,0,0,0,G2
1,1,0.843878,1,0,0,0,0,G3
1,1,0.808117,1,0,0,0,0,G3
1,1,0.901246,1,0,0,0,0,G3
1,1,0.9465,1,0,0,0,0,G3
1,1,0.887323,1,0,0,0,0,G3
1,1,0.942052,1,0,0,0,0,G3
1,0.01554,1.277046,43.806084,3.385674,0,0,0,G3
1,1,0.864457,1,0,0,0,0,G3
1,1,0.831736,1,0,0,0,0,G3
1,1,0.8412,1,0,0,0,0,G3
11000,0.012328,1.007392,53.363533,1.701352,0,0,0,G4
11000,0.011536,1.03995,55.445675,1.861036,0,0,0,G4
11000,0.011128,0.995725,57.632858,1.650402,0,0,0,G4
11000,0.016534,1.404686,18.210123,2.086187,1.209855,0,0,G4
11000,0.017193,1.494884,17.409941,2.213711,1.230309,0,0,G4
11000,0.015802,1.271162,18.754187,2.075226,1.145435,0,0,G4
11000,0.015629,1.291995,19.466267,2.487475,1.600553,0,0,G4
11000,0.015646,1.089693,19.616816,2.112467,1.179361,0,0,G4
11000,0.012082,0.903819,53.907883,1.96664,0,0,0,G4
11000,0.01208,0.939392,54.080479,2.053533,0,0,0,G4
1100,0.0152,0.887494,35.383423,1.854031,0,0,0,G5
1100,0.015219,0.925899,35.510876,2.112619,0,0,0,G5
1100,0.014849,0.88639,36.217762,1.917133,0,0,0,G5
1100,0.011702,2.267486,28.439514,4.667479,0.378649,0,0,G5
1100,0.015345,0.888379,35.175339,2.21418,0,0,0,G5
1100,0.015076,0.867388,36.02306,2.695342,0,0,0,G5
1100,0.015137,0.891259,35.848511,2.083658,0,0,0,G5
1100,0.015417,0.913023,35.379021,1.955444,0,0,0,G5
1100,0.015915,0.896674,33.79295,1.933576,0,0,0,G5
1100,0.01531,0.843593,35.247337,1.727625,0,0,0,G5
1110,0.016703,0.949435,15.573933,2.065973,1.866892,0,0,G6
1110,0.018297,1.252604,14.413544,2.739355,1.668595,2.538485,0,G6
1110,0.014526,0.811824,17.945267,1.916539,1.738299,0,0,G6
1110,0.015055,0.937772,17.476412,2.151975,1.88613,0,0,G6
1110,0.01664,1.043624,15.826111,2.444495,2.179388,0,0,G6
1110,0.016096,0.979963,16.318581,2.065951,1.888517,0,0,G6
1110,0.016718,0.917098,15.603787,2.606683,2.449893,0,0,G6
1110,0.016642,0.901396,15.716647,2.974155,2.799173,0,0,G6
1110,0.016364,0.866462,16.018442,2.95688,2.783392,0,0,G6
1110,0.016364,0.956087,16.020119,2.695724,2.51478,0,0,G6
10001,0.009295,0.518405,80.422737,0.956591,0,0,0,G7
10001,0.010929,0.908251,41.267994,1.384579,1.869916,0,0,G7
10001,0.010705,0.783362,40.350845,1.711591,2.142963,0,0,G7
10001,0.010597,0.900812,74.734032,2.848105,0,0,0,G7
10001,0.010411,0.870361,76.033142,2.606421,0,0,0,G7
10001,0.010765,0.805686,40.558052,1.479126,1.934364,0,0,G7
10001,0.01063,1.08874,26.645836,1.642864,1.471326,1.872988,0,G7
10001,0.012277,1.285265,26.544914,0.900476,0.729625,1.209474,0,G7
10001,0.012637,1.449588,27.584511,1.145414,0.992289,1.53884,0,G7
10001,0.012722,1.142757,26.861992,0.09792,0.0326,0.50894,0,G7
11001,0.014992,1.977088,17.067598,4.25606,3.400037,0.51094,0,G8
11001,0.014084,1.033955,40.308922,1.822753,0,0,0,G8
11001,0.010925,1.165574,25.895041,3.169844,2.620257,0,0,G8
11001,0.011431,0.956686,24.940514,2.549367,1.883199,0,0,G8
11001,0.011112,0.993523,25.743473,2.434833,1.788014,0,0,G8
11001,0.011275,1.031452,25.42441,2.043718,1.370904,0,0,G8
11001,0.011513,1.177462,24.691273,1.934845,1.312227,0,0,G8
11001,0.01142,1.209937,24.97603,2.637744,1.996173,0,0,G8
11001,0.012065,1.195472,17.722002,4.077566,3.276005,3.425293,0,G8
11001,0.016023,2.391885,18.097288,6.520862,5.495451,0.825639,0,G8
11111,0.009365,1.349664,10.475904,3.855342,4.085877,3.918613,3.474774,G9
11111,0.009064,1.367724,10.736491,3.232668,3.410392,3.26334,2.84068,G9
11111,0.00898,1.302834,10.215485,3.593818,3.676095,3.54543,3.163843,G9
11111,0.009104,1.302651,10.836102,3.72731,3.910608,3.753439,3.336542,G9
11111,0.0092,1.310955,10.868353,4.125418,4.277683,4.147567,3.761934,G9
11111,0.0099,1.300923,9.782095,3.664258,3.766043,3.626928,3.182909,G9
11111,0.009947,1.339228,10.083056,3.154746,3.258385,3.08598,2.679865,G9
11111,0.010154,1.136419,25.220232,2.877027,2.769956,0,0,G9
11111,0.010568,1.357636,25.929398,5.471673,4.837096,0,0,G9
11111,0.009201,1.307832,10.531284,3.898855,4.064389,3.943558,3.506793,G9
0,0,0,0,0,0,0,0,G1
0,1,-0.436434,1,0,0,0,0,G1
0,0.084103,-0.577997,5.416896,0.994497,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,1,0.62587,1,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
1101,0.012041,1.653102,4.915854,3.866323,3.432589,1.578599,0,G0
1101,0.013015,1.011152,19.595537,3.06101,2.529032,0,0,G0
1101,0.013016,1.065574,19.243837,3.626464,3.077377,0,0,G0
1101,0.02434,3.374366,7.804761,8.722976,1.401234,7.393506,3.218856,G0
1101,0.012943,0.929811,19.793972,2.121263,1.66838,0,0,G0
1101,0.01283,0.937605,20.028419,2.130976,1.614336,0,0,G0
1101,0.013519,0.962773,19.043934,2.823006,2.236153,0,0,G0
1101,0.023369,0.848819,22.023912,2.537647,0,0,0,G0
1101,0.012594,1.621572,1.973912,5.543409,4.864698,2.488564,0,G0
1101,0.012185,1.746894,4.449722,5.529736,4.884039,2.807004,0,G0
1000,1,0.691537,1,0,0,0,0,G2
1000,0,0,0,0,0,0,0,G2
1000,0,0,0,0,0,0,0,G2
1000,0,0,0,0,0,0,0,G2
1000,1,0.645461,1,0,0,0,0,G2
1000,1,0.73004,1,0,0,0,0,G2
1000,1,0.817998,1,0,0,0,0,G2
1000,0,0,0,0,0,0,0,G2
1000,1,0.715518,1,0,0,0,0,G2
1000,1,0.765787,1,0,0,0,0,G2
1,0.021951,2.687721,49.595951,8.966497,0,0,0,G3
1,0,0,0,0,0,0,0,G3
1,0.016166,1.57313,53.400436,1.68142,0,0,0,G3
1,1,0.854765,1,0,0,0,0,G3
1,1,0.895916,1,0,0,0,0,G3
1,1,0.85043,1,0,0,0,0,G3
1,1,0.866428,1,0,0,0,0,G3
1,1,0.823966,1,0,0,0,0,G3
1,1,0.803636,1,0,0,0,0,G3
1,1,0.808144,1,0,0,0,0,G3
11000,0.012878,1.103987,50.252277,2.217389,0,0,0,G4
11000,0.01306,1.115498,48.429398,2.281158,0,0,0,G4
11000,0.01925,1.460319,14.786871,3.216953,2.18216,0,0,G4
11000,0.012842,1.124563,50.12207,2.394318,0,0,0,G4
11000,1,0.261743,1,0,0,0,0,G4
11000,0.012948,1.15236,49.292255,2.670159,0,0,0,G4
11000,1,0.149529,1,0,0,0,0,G4
11000,0.022598,2.584348,77.524254,5.19557,0.39465,0,0,G4
11000,0.012736,1.120862,50.425652,2.264404,0,0,0,G4
11000,0.024596,3.074546,34.100098,6.120978,0.608062,0,0,G4
1100,0.038341,1.608927,30.171564,0.737544,3.4505,0,0,G5
1100,0.012941,1.275522,9.168107,3.725769,0.638286,0,0,G5
1100,0.013449,1.844815,11.501387,5.910605,2.083252,0,0,G5
1100,0.019839,0.717603,26.184465,2.101737,0,0,0,G5
1100,0.012127,1.570754,18.09214,4.40859,1.17984,0,0,G5
1100,0.019658,0.701412,26.263199,1.69653,0,0,0,G5
1100,0.018716,0.731091,27.691299,1.804901,0,0,0,G5
1100,0.018838,0.831773,27.695864,2.561266,0,0,0,G5
1100,0.018583,0.82368,28.322369,3.18687,0,0,0,G5
1100,0.039843,1.71031,31.533884,1.921971,5.017191,0,0,G5
1110,0.013051,0.829726,19.914471,1.806409,1.735807,0,0,G6
1110,0.012564,1.753694,7.737838,3.387056,0.9349,0,0,G6
1110,0.01325,0.876376,19.64415,1.715658,1.609502,0,0,G6
1110,0.009914,1.39442,7.008226,2.996877,2.968055,0.722541,0,G6
1110,0.013093,0.7709,19.759106,1.69428,1.633131,0,0,G6
1110,0.013391,0.785042,19.387762,1.852884,1.783288,0,0,G6
1110,0.010097,1.313331,5.810316,2.884054,2.807809,0.778021,0,G6
1110,0.012,0.913673,3.458053,2.692333,2.55109,0.262122,0,G6
1110,0.012938,0.865698,20.15057,2.460773,2.325623,0,0,G6
1110,0.013074,0.913107,20.21986,2.963516,2.827507,0,0,G6
10001,0.010995,0.783446,53.090115,2.306137,0,0,0,G7
10001,0.018794,0.71422,28.018694,1.75715,0,0,0,G7
10001,1,0.682302,1,0,0,0,0,G7
10001,0.011389,0.982685,30.324524,2.023843,2.321926,0,0,G7
10001,0.011811,0.829572,30.072052,1.875043,2.157629,0,0,G7
10001,0.013733,1.705116,5.104064,4.073871,4.702125,1.875468,0,G7
10001,0.011211,1.017446,53.317043,2.696643,0,0,0,G7
10001,0.025956,-4.037921,26.40741,12.381773,6.060918,3.987506,0,G7
10001,0.027612,3.744629,13.585074,4.264287,7.81752,1.955696,0,G7
10001,0.015468,2.149701,9.604671,6.370481,1.248434,0,0,G7
11001,0.014554,1.070538,19.364756,3.189894,2.539773,0,0,G8
11001,0.016555,1.079445,35.649731,2.908525,0,0,0,G8
11001,0.013906,1.041452,20.332781,3.310952,2.756505,0,0,G8
11001,0.040954,-5.929143,69.943497,16.406713,14.285071,2.789194,0,G8
11001,0.0143,1.018776,19.7327,2.93282,2.30768,0,0,G8
11001,0.0143,1.080394,19.846165,3.216164,2.59698,0,0,G8
11001,0.013716,1.171522,20.634821,4.019603,3.459401,0,0,G8
11001,0.013726,1.207806,20.530083,5.407362,4.905256,0,0,G8
11001,0.014045,1.092935,20.212069,4.469506,3.892395,0,0,G8
11001,0.01463,1.049074,19.471188,3.858044,3.208477,0,0,G8
11111,0.009553,1.059274,8.73686,3.583256,3.591082,3.476862,2.806365,G9
11111,0.010038,0.910056,8.881664,2.19238,2.324479,2.169836,1.536889,G9
11111,0.010154,1.12397,7.105643,3.13889,3.205146,3.083863,2.320241,G9
11111,0.01013,1.244326,15.284383,5.136301,5.129916,4.419653,0,G9
11111,0.010769,0.988158,16.43553,4.039729,4.006492,3.576392,0,G9
11111,0.010833,0.742008,15.619578,2.401072,2.326977,1.889486,0,G9
11111,0.009926,0.971874,8.800071,2.764143,2.869909,2.733367,2.075783,G9
11111,0.009939,0.942821,9.380643,2.336564,2.509696,2.377496,1.753782,G9
11111,0.010001,0.964272,9.375968,2.628773,2.724137,2.545563,1.978785,G9
11111,0.009463,1.080709,10.967755,3.385308,3.56586,3.432508,2.926412,G9
0,1,0.513998,1,0,0,0,0,G1
0,1,0.584972,1,0,0,0,0,G1
0,1,0.537501,1,0,0,0,0,G1
0,1,0.532832,1,0,0,0,0,G1
0,1,0.469594,1,0,0,0,0,G1
0,1,0.47517,1,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,1,0.527928,1,0,0,0,0,G1
1101,0.009691,1.074775,28.205624,3.448358,3.020074,0,0,G0
1101,0.010008,1.182609,27.12533,4.727411,4.205803,0,0,G0
1101,0.009704,1.164044,28.109241,4.012097,3.487435,0,0,G0
1101,0.0098,1.075516,27.913639,3.325052,2.7981,0,0,G0
1101,0.009855,1.051815,28.283398,3.389153,2.988763,0,0,G0
1101,0.009939,1.089669,27.656107,4.445772,3.949125,0,0,G0
1101,0.010025,1.02905,27.393061,3.977086,3.516061,0,0,G0
1101,0.010064,0.944636,27.468975,2.908622,2.460076,0,0,G0
1101,0.011507,1.118087,21.126677,3.323933,2.592962,2.944596,0,G0
1101,0.009828,1.070149,27.943962,3.381718,2.946951,0,0,G0
1000,1,0.413412,1,0,0,0,0,G2
1000,1,0.81329,1,0,0,0,0,G2
1000,1,0.787667,1,0,0,0,0,G2
1000,1,0.800882,1,0,0,0,0,G2
1000,1,0.713245,1,0,0,0,0,G2
1000,1,0.855622,1,0,0,0,0,G2
1000,1,0.608424,1,0,0,0,0,G2
1000,1,0.461732,1,0,0,0,0,G2
1000,1,0.601262,1,0,0,0,0,G2
1000,1,0.602885,1,0,0,0,0,G2
1,1,0.555626,1,0,0,0,0,G3
1,0.027471,0.653779,8.558611,2.107758,0,0,0,G3
1,0.027034,0.592454,8.260798,1.22534,0,0,0,G3
1,0.027406,0.828634,6.617039,2.511358,0,0,0,G3
1,1,0.639066,1,0,0,0,0,G3
1,1,0.655908,1,0,0,0,0,G3
1,1,0.707425,1,0,0,0,0,G3
1,0.032967,0.872807,6.362509,3.886456,0,0,0,G3
1,1,0.467815,1,0,0,0,0,G3
1,1,0.433847,1,0,0,0,0,G3
11000,0.017313,1.100329,16.562922,2.010482,1.050212,0,0,G4
11000,0.012781,0.466721,50.63102,0.501815,0,0,0,G4
11000,0.011889,0.861769,55.133663,1.475883,0,0,0,G4
11000,0.016734,1.135414,17.029902,2.571226,1.619933,0,0,G4
11000,0.01771,1.254171,16.374195,2.580039,1.546137,0,0,G4
11000,0.017813,1.342452,15.88985,2.688617,1.643467,0,0,G4
11000,0.017429,1.219558,16.279348,2.891256,1.884853,0,0,G4
11000,0.017021,1.180501,16.642817,2.984541,2.01054,0,0,G4
11000,0.017078,1.10555,16.67091,2.168492,1.223954,0,0,G4
11000,0.011987,0.979685,55.099251,1.356099,0,0,0,G4
1100,0.019279,0.558474,27.466497,1.161095,0,0,0,G5
1100,0.019031,0.773781,27.646662,2.218372,0,0,0,G5
1100,0.018852,0.804876,27.798517,2.080377,0,0,0,G5
1100,0.018789,0.767767,27.890408,1.983265,0,0,0,G5
1100,0.019128,0.794308,27.676783,2.115077,0,0,0,G5
1100,0.018975,0.705901,27.788082,1.495915,0,0,0,G5
1100,0.018805,0.703821,27.94903,1.474883,0,0,0,G5
1100,0.018422,0.783468,28.034847,1.459107,0,0,0,G5
1100,0.019224,0.700131,27.223623,2.012777,0,0,0,G5
1100,0.018755,0.636403,27.652082,1.746467,0,0,0,G5
1110,0.015212,0.972516,17.168375,2.290388,2.118141,0,0,G6
1110,0.015099,1.014125,17.378466,2.394208,2.207506,0,0,G6
1110,0.015395,1.031472,17.14905,2.46392,2.269868,0,0,G6
1110,0.015289,1.009359,17.237867,2.451472,2.276577,0,0,G6
1110,0.015566,0.88497,16.897444,1.921484,1.724274,0,0,G6
1110,0.015577,0.826688,16.801483,2.067434,1.880118,0,0,G6
1110,0.015452,0.853461,16.922415,2.418892,2.241728,0,0,G6
1110,0.015818,0.861331,16.54907,2.589725,2.409889,0,0,G6
1110,0.01405,1.035168,18.471989,3.280604,3.168819,0,0,G6
1110,0.014772,1.004307,17.622847,2.632466,2.473182,0,0,G6
10001,0.011602,1.206629,72.201683,1.555722,0,0,0,G7
10001,0.010613,1.044722,72.33197,2.365039,0,0,0,G7
10001,0.010653,1.029672,73.953262,1.97073,0,0,0,G7
10001,0.010793,0.965388,72.239662,2.128826,0,0,0,G7
10001,0.010667,0.962683,72.002129,1.972337,0,0,0,G7
10001,0.010679,1.056092,71.816238,2.00705,0,0,0,G7
10001,0.010435,1.032187,72.34948,2.972112,0,0,0,G7
10001,0.010907,0.979077,72.178688,1.454624,0,0,0,G7
10001,0.012078,0.773504,70.320694,0.499218,0,0,0,G7
10001,0.012448,0.795194,71.736969,0.523019,0,0,0,G7
11001,0.009312,1.059212,29.699686,4.243196,3.681748,0,0,G8
11001,0.009687,1.076568,28.802959,3.741098,3.097004,0,0,G8
11001,0.010678,0.919678,21.44853,3.033857,1.957484,2.350348,0,G8
11001,0.010698,1.107732,21.427652,4.182112,3.096088,3.552491,0,G8
11001,0.009731,0.837593,28.632725,1.962115,1.304427,0,0,G8
11001,0.009711,0.942505,28.429342,2.103075,1.433966,0,0,G8
11001,0.009788,1.022956,28.363503,3.676888,3.039683,0,0,G8
11001,0.009503,0.890381,29.338818,3.210921,2.6298,0,0,G8
11001,0.009626,0.721406,29.090879,2.302745,1.664755,0,0,G8
11001,0.010783,0.659854,21.3776,1.576943,0.613251,1.059939,0,G8
11111,0.008834,1.085027,7.51787,1.850322,2.028571,1.907771,1.27657,G9
11111,0.0082,1.343303,10.037858,3.41393,3.611273,3.501278,2.952716,G9
11111,0.007958,1.26462,10.449368,3.542961,3.685598,3.565313,3.045263,G9
11111,0.008063,1.095991,9.683265,3.550491,3.67174,3.587299,3.055944,G9
11111,0.008047,1.082165,9.851491,3.46041,3.578918,3.489384,2.952679,G9
11111,0.008023,0.949379,10.246622,2.961399,3.087937,3.00403,2.48096,G9
11111,0.008293,0.787352,9.076012,1.99697,2.14448,2.011722,1.46829,G9
11111,0.008237,1.035568,9.387828,2.618608,2.739181,2.630876,2.055403,G9
11111,0.008358,1.116737,9.189385,3.669908,3.816625,3.714485,3.154437,G9
11111,0.008271,1.061109,9.54729,2.263813,2.351481,2.220672,1.65872,G9
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
1101,0.012631,1.002696,20.882399,2.771589,2.434547,0,0,G0
1101,0.012653,1.083003,20.860098,1.961989,1.473321,0,0,G0
1101,0.012625,0.902968,20.991903,2.342911,1.965872,0,0,G0
1101,0.012654,0.954368,21.261385,2.759218,2.066185,0,0,G0
1101,0.01246,0.95313,21.232153,2.928436,2.506925,0,0,G0
1101,0.026022,0.637863,19.8237,2.023987,0,0,0,G0
1101,0.012846,0.725178,20.460182,2.16077,1.64098,0,0,G0
1101,0.012614,0.656027,21.052015,2.161285,1.620225,0,0,G0
1101,0.01251,0.975539,21.471386,2.558391,2.006091,0,0,G0
1101,0.012624,0.942541,20.57741,2.713761,2.120425,0,0,G0
1000,1,0.705502,1,0,0,0,0,G2
1000,0,0,0,0,0,0,0,G2
1000,1,0.535409,1,0,0,0,0,G2
1000,1,0.593751,1,0,0,0,0,G2
1000,1,0.731584,1,0,0,0,0,G2
1000,1,0.700807,1,0,0,0,0,G2
1000,1,0.490158,1,0,0,0,0,G2
1000,1,0.443086,1,0,0,0,0,G2
1000,1,0.698579,1,0,0,0,0,G2
1000,1,0.734569,1,0,0,0,0,G2
1,0,0,0,0,0,0,0,G3
1,0.016718,0.84771,37.467548,0.541037,0,0,0,G3
1,0,0,0,0,0,0,0,G3
1,0,0,0,0,0,0,0,G3
1,1,0.625731,1,0,0,0,0,G3
1,0,0,0,0,0,0,0,G3
1,1,0.788017,1,0,0,0,0,G3
1,1,0.777787,1,0,0,0,0,G3
1,1,0.871298,1,0,0,0,0,G3
1,0,0,0,0,0,0,0,G3
11000,1,0.404073,1,0,0,0,0,G4
11000,0.014298,1.207832,43.335747,2.826909,0,0,0,G4
11000,0.017128,0.849024,32.805344,0.587854,0,0,0,G4
11000,0.013906,0.793335,44.423435,0.578001,0,0,0,G4
11000,0.016069,0.450618,39.716812,0.526616,0,0,0,G4
11000,0.013521,0.679362,47.848164,2.143939,0,0,0,G4
11000,0.011151,0.869945,55.99432,2.881587,0,0,0,G4
