@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R2,12-16,22'

@attribute fingersExtended numeric
@attribute fingertipAngles_f1 numeric
@attribute fingertipAngles_f2 numeric
@attribute fingertipAngles_f3 numeric
@attribute fingertipAngles_f4 numeric
@attribute fingertipAngles_f5 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data
11000,137.432404,103.332138,0,0,0,G4
11000,144.07576,119.915398,0,0,0,G4
11000,90.996857,90.841606,0,0,0,G4
11000,132.467941,131.626663,0,0,0,G4
11000,155.962585,139.936996,0,0,0,G4
11000,162.99614,140.126602,0,0,0,G4
11000,139.200562,155.319244,0,0,0,G4
11000,106.547577,110.663086,0,0,0,G4
1100,0,164.074326,121.83271,0,0,G5
1100,0,145.479355,152.739304,0,0,G5
1100,0,163.900574,170.32338,0,0,G5
1100,0,162.605179,169.970291,0,0,G5
1100,0,155.845551,163.895401,0,0,G5
1100,0,165.836548,117.268494,0,0,G5
1100,0,172.524399,173.620392,0,0,G5
1100,0,176.36644,132.990967,0,0,G5
1100,0,125.737183,125.737183,0,0,G5
1100,0,163.471024,121.620369,0,0,G5
1110,0,162.548111,171.519302,164.818192,0,G6
1110,0,176.308212,138.512131,138.512131,0,G6
1110,0,159.927841,176.875122,164.071777,0,G6
1110,0,159.776962,175.001617,162.559204,0,G6
1110,0,159.760223,173.856689,162.611252,0,G6
1110,0,165.313492,172.76358,168.305649,0,G6
1110,0,163.474945,173.360367,165.86879,0,G6
1110,0,165.097717,166.641983,127.405434,0,G6
1110,0,164.282593,172.933884,166.22258,0,G6
1110,0,169.11496,173.774216,171.354416,0,G6
10001,147.085251,0,0,0,148.129181,G7
10001,157.913773,0,0,0,159.994034,G7
10001,157.507599,0,0,0,159.018936,G7
10001,153.025574,0,0,0,153.746048,G7
10001,161.066452,0,0,0,162.288223,G7
10001,163.005173,0,0,0,173.747086,G7
10001,142.965393,0,0,0,147.75795,G7
10001,167.050568,0,0,0,170.811218,G7
10001,152.067429,0,0,0,156.85112,G7
10001,160.481659,0,0,0,162.284927,G7
11001,158.821487,176.447128,0,0,163.072083,G8
11001,161.688507,162.615356,0,0,139.254593,G8
11001,158.159668,177.020065,0,0,161.198853,G8
11001,161.941376,163.952332,0,0,140.021179,G8
11001,159.03038,177.220047,0,0,162.234543,G8
11001,159.653076,162.882004,0,0,140.35405,G8
11001,160.37233,178.498825,0,0,161.39592,G8
11001,164.474838,165.52327,0,0,141.323166,G8
11001,160.407837,175.823914,0,0,161.995728,G8
11001,158.70433,176.894485,0,0,161.318726,G8
11111,162.803726,176.261475,172.393829,166.18251,148.512497,G9
11111,159.451492,174.992706,175.693207,170.935547,165.446472,G9
11111,156.939423,173.548355,173.992798,168.818237,164.833115,G9
11111,160.515213,174.034134,176.175858,171.212189,166.561081,G9
11111,157.939636,116.752312,116.752312,116.752312,116.752312,G9
11111,161.816162,175.978546,173.015305,168.582962,165.080215,G9
11111,158.935501,137.769104,137.769104,137.769104,137.769104,G9
11111,153.579422,171.220642,172.619476,167.022858,161.291168,G9
11111,156.853958,171.922501,172.539795,167.258636,161.931335,G9
11111,161.289032,176.33786,172.828476,167.542267,146.254669,G9
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
1101,0,137.589539,165.491531,0,139.746552,G0
1101,0,144.060455,173.66011,0,146.252029,G0
1101,0,147.897171,171.931229,0,153.66568,G0
1101,0,141.884567,172.789322,0,145.147034,G0
1101,0,129.621063,159.340668,0,157.472794,G0
1101,0,143.083313,172.259659,0,152.125031,G0
1101,0,167.66539,174.647568,0,169.756104,G0
1101,0,161.986633,177.714569,0,166.327347,G0
1101,0,146.546463,177.953003,0,152.492371,G0
1101,0,139.489548,165.725128,0,140.957748,G0
1000,0,48.859921,0,0,0,G2
1000,0,124.367477,0,0,0,G2
1000,0,111.95285,0,0,0,G2
1000,0,81.93309,0,0,0,G2
1000,0,69.507507,0,0,0,G2
1000,0,69.701866,0,0,0,G2
1000,0,66.973549,0,0,0,G2
1000,0,68.05513,0,0,0,G2
1000,0,94.080872,0,0,0,G2
1000,0,48.285732,0,0,0,G2
1,0,0,0,0,171.664322,G3
1,0,0,0,0,165.615784,G3
1,0,0,0,0,171.766647,G3
1,0,0,0,0,171.608826,G3
1,0,0,0,0,171.026321,G3
1,0,0,0,0,170.609177,G3
1,0,0,0,0,162.612946,G3
1,0,0,0,0,168.759064,G3
1,0,0,0,0,166.942734,G3
1,0,0,0,0,167.513641,G3
11000,123.108398,127.804382,0,0,0,G4
11000,136.210159,138.401566,0,0,0,G4
11000,130.734604,126.305679,0,0,0,G4
11000,132.228668,130.718704,0,0,0,G4
11000,120.209167,143.173737,0,0,0,G4
11000,114.908333,141.555405,0,0,0,G4
11000,132.090958,154.048996,0,0,0,G4
11000,115.810112,137.619339,0,0,0,G4
11000,136.935532,141.645401,0,0,0,G4
11000,138.435791,145.068253,0,0,0,G4
1100,0,157.298141,151.47937,0,0,G5
1100,0,161.109604,162.240845,0,0,G5
1100,0,155.217468,161.949905,0,0,G5
1100,0,141.009811,172.37114,0,0,G5
1100,0,162.550568,164.515289,0,0,G5
1100,0,167.017761,168.560501,0,0,G5
1100,0,160.789627,160.651489,0,0,G5
1100,0,155.125366,156.202133,0,0,G5
1100,0,157.062805,157.414474,0,0,G5
1100,0,155.830521,148.050812,0,0,G5
1110,0,162.40625,177.350327,160.028183,0,G6
1110,0,159.886642,176.202621,159.057236,0,G6
1110,0,154.972549,177.50769,153.820938,0,G6
1110,0,153.533035,176.96228,155.902496,0,G6
1110,0,164.910446,175.305054,158.253128,0,G6
1110,0,156.659332,174.431229,159.132797,0,G6
1110,0,165.980728,178.975113,167.706619,0,G6
1110,0,166.905579,177.663925,169.824829,0,G6
1110,0,167.622284,178.443542,168.931641,0,G6
1110,0,169.025162,178.344711,167.502808,0,G6
10001,89.516724,0,0,0,89.543671,G7
10001,109.851532,0,0,0,138.285965,G7
10001,122.52356,0,0,0,149.83226,G7
10001,144.159943,0,0,0,147.573868,G7
10001,144.15802,0,0,0,142.55423,G7
10001,113.6362,0,0,0,142.817612,G7
10001,116.994324,0,0,0,154.234924,G7
10001,86.270149,0,0,0,73.566414,G7
10001,96.252411,0,0,0,115.578766,G7
10001,62.188419,0,0,0,24.563068,G7
11001,131.880173,155.757553,0,0,142.389297,G8
11001,176.51709,149.82019,0,0,117.965179,G8
11001,153.720856,177.791595,0,0,154.311493,G8
11001,143.850189,179.438721,0,0,142.884216,G8
11001,141.700806,179.223923,0,0,139.17041,G8
11001,128.657257,175.82991,0,0,126.06456,G8
11001,122.116074,157.150238,0,0,118.952278,G8
11001,147.015656,173.247665,0,0,142.935913,G8
11001,159.412155,176.559464,0,0,171.015945,G8
11001,151.090042,169.06192,0,0,157.355667,G8
11111,160.107834,174.631195,175.848938,169.01709,160.712158,G9
11111,155.288025,173.037949,174.72496,166.217316,155.481995,G9
11111,156.376144,170.923889,178.034958,170.251404,160.49585,G9
11111,160.238403,176.249603,174.238602,167.391861,160.448593,G9
11111,161.846405,174.749695,177.053833,170.403946,163.688889,G9
11111,157.581375,173.405853,175.455627,167.736404,160.304428,G9
11111,151.80928,169.919113,177.022842,167.159164,158.034683,G9
11111,159.835266,172.978333,163.220871,128.067398,128.067398,G9
11111,165.539612,179.283447,164.180954,140.551788,140.551788,G9
11111,160.455063,175.313614,175.767273,169.007629,161.499741,G9
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
1101,0,142.332962,156.281662,0,176.483307,G0
1101,0,160.787567,176.201752,0,164.689804,G0
1101,0,165.657059,177.942795,0,168.724884,G0
1101,0,150.5522,166.814194,0,173.651367,G0
1101,0,145.580276,172.613708,0,153.259186,G0
1101,0,147.211563,176.082993,0,150.05191,G0
1101,0,160.27478,173.541443,0,159.658691,G0
1101,0,169.804062,172.109787,0,118.577271,G0
1101,0,156.990738,168.490891,0,171.412415,G0
1101,0,157.996826,168.456482,0,173.448929,G0
1000,0,76.631912,0,0,0,G2
1000,0,89.042931,0,0,0,G2
1000,0,80.755898,0,0,0,G2
1000,0,69.18438,0,0,0,G2
1000,0,71.548866,0,0,0,G2
1000,0,71.709641,0,0,0,G2
1000,0,103.47081,0,0,0,G2
1000,0,91.103645,0,0,0,G2
1000,0,71.640854,0,0,0,G2
1000,0,88.540672,0,0,0,G2
1,0,0,0,0,166.237671,G3
1,0,0,0,0,129.491425,G3
1,0,0,0,0,144.016495,G3
1,0,0,0,0,158.374939,G3
1,0,0,0,0,171.498672,G3
1,0,0,0,0,170.657898,G3
1,0,0,0,0,175.978775,G3
1,0,0,0,0,175.711761,G3
1,0,0,0,0,173.301636,G3
1,0,0,0,0,173.116989,G3
11000,150.429321,146.845932,0,0,0,G4
11000,151.068497,151.967392,0,0,0,G4
11000,149.284546,162.463028,0,0,0,G4
11000,148.854691,155.270782,0,0,0,G4
11000,164.039963,121.562927,0,0,0,G4
11000,156.950668,157.529922,0,0,0,G4
11000,160.305389,123.231895,0,0,0,G4
11000,159.547836,145.906097,0,0,0,G4
11000,149.536087,149.475662,0,0,0,G4
11000,149.248337,151.168625,0,0,0,G4
1100,0,159.585892,140.582916,0,0,G5
1100,0,143.613663,166.919235,0,0,G5
1100,0,162.262024,175.851837,0,0,G5
1100,0,164.674164,168.732422,0,0,G5
1100,0,150.221451,170.661713,0,0,G5
1100,0,153.755936,164.539261,0,0,G5
1100,0,160.427338,161.81131,0,0,G5
1100,0,169.577728,170.070908,0,0,G5
1100,0,169.768372,174.412598,0,0,G5
1100,0,172.394135,155.047699,0,0,G5
1110,0,137.544159,159.832901,170.051941,0,G6
1110,0,134.139099,160.811981,148.163284,0,G6
1110,0,143.387024,158.568115,155.211288,0,G6
1110,0,146.291122,162.02771,164.283127,0,G6
1110,0,136.786469,155.803604,167.825119,0,G6
1110,0,141.794525,159.851151,173.523972,0,G6
1110,0,141.09761,160.426376,172.090042,0,G6
1110,0,120.411613,145.582108,153.855331,0,G6
1110,0,158.09407,177.012131,163.414658,0,G6
1110,0,165.891724,177.825241,168.170349,0,G6
10001,150.866776,0,0,0,160.885162,G7
10001,155.767197,0,0,0,160.37619,G7
10001,168.665237,0,0,0,121.673973,G7
10001,152.517059,0,0,0,164.810593,G7
10001,146.980499,0,0,0,155.708069,G7
10001,154.054306,0,0,0,168.350494,G7
10001,157.02507,0,0,0,162.3703,G7
10001,149.606033,0,0,0,171.202713,G7
10001,167.218613,0,0,0,156.438965,G7
10001,150.675461,0,0,0,162.227585,G7
11001,155.961044,167.585281,0,0,154.640747,G8
11001,164.735199,165.001053,0,0,125.562599,G8
11001,157.161865,170.758362,0,0,159.944489,G8
11001,160.598526,172.398666,0,0,167.251312,G8
11001,154.976593,167.743378,0,0,153.04213,G8
11001,153.281052,170.502991,0,0,156.384583,G8
11001,162.362473,173.528778,0,0,164.775055,G8
11001,168.317596,175.326996,0,0,170.124725,G8
11001,163.177673,172.859192,0,0,166.632324,G8
11001,159.355789,170.543777,0,0,162.294601,G8
11111,157.120651,172.834534,175.773148,167.556152,154.049805,G9
11111,133.280258,155.881714,174.511292,157.903885,132.996231,G9
11111,148.056274,166.669312,176.250839,165.183868,147.019974,G9
11111,164.037476,173.334671,173.708176,164.406357,134.793076,G9
11111,167.370453,174.924911,177.908005,164.890381,129.877228,G9
11111,152.74411,167.642105,174.411667,149.000046,112.352119,G9
11111,146.375336,166.564178,176.570923,164.338974,144.973083,G9
11111,138.483383,159.846359,173.930008,162.044144,139.356567,G9
11111,146.686935,165.483521,176.055344,166.265366,146.893875,G9
11111,158.587219,172.542953,178.163986,171.31279,158.134842,G9
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
1101,0,164.586594,175.419617,0,161.868759,G0
1101,0,169.246262,176.524734,0,167.220749,G0
1101,0,166.229385,175.302261,0,163.737961,G0
1101,0,162.313019,173.31636,0,158.420868,G0
1101,0,162.672577,174.737122,0,162.50795,G0
1101,0,167.870651,173.573944,0,165.190262,G0
1101,0,164.778549,172.810669,0,163.217773,G0
1101,0,157.022293,168.845734,0,153.842758,G0
1101,0,155.468872,165.176437,0,171.806549,G0
1101,0,163.517426,174.128189,0,161.526047,G0
1000,0,29.618279,0,0,0,G2
1000,0,64.836624,0,0,0,G2
1000,0,87.888992,0,0,0,G2
1000,0,137.011215,0,0,0,G2
1000,0,80.060638,0,0,0,G2
1000,0,108.287598,0,0,0,G2
1000,0,52.191212,0,0,0,G2
1000,0,61.061859,0,0,0,G2
1000,0,134.098007,0,0,0,G2
1000,0,132.361725,0,0,0,G2
1,0,0,0,0,159.892532,G3
1,0,0,0,0,169.495255,G3
1,0,0,0,0,52.036568,G3
1,0,0,0,0,175.768677,G3
1,0,0,0,0,164.998001,G3
1,0,0,0,0,164.103256,G3
1,0,0,0,0,170.759048,G3
1,0,0,0,0,173.704575,G3
1,0,0,0,0,44.889503,G3
1,0,0,0,0,50.7924,G3
11000,114.560387,133.119064,0,0,0,G4
11000,42.42955,39.22506,0,0,0,G4
11000,105.002586,112.334946,0,0,0,G4
11000,136.017624,154.751144,0,0,0,G4
11000,132.005554,154.144653,0,0,0,G4
11000,133.874084,156.922607,0,0,0,G4
11000,140.183441,163.246262,0,0,0,G4
11000,142.316177,166.072464,0,0,0,G4
11000,121.624878,142.849915,0,0,0,G4
11000,98.345917,100.853981,0,0,0,G4
1100,0,113.05056,115.385757,0,0,G5
1100,0,161.440491,158.827652,0,0,G5
1100,0,165.068985,166.924835,0,0,G5
1100,0,161.058945,167.725616,0,0,G5
1100,0,167.03392,164.433136,0,0,G5
1100,0,146.130478,150.86702,0,0,G5
1100,0,143.394028,148.480362,0,0,G5
1100,0,139.990692,157.262695,0,0,G5
1100,0,164.123718,166.710754,0,0,G5
1100,0,159.079269,160.872421,0,0,G5
1110,0,161.027771,179.620499,161.343567,0,G6
1110,0,163.040894,177.300781,162.125793,0,G6
1110,0,164.326721,176.373337,163.052551,0,G6
1110,0,164.659592,175.36908,162.747375,0,G6
1110,0,150.335907,177.270844,152.010605,0,G6
1110,0,155.022339,177.815735,157.191086,0,G6
1110,0,162.073257,178.786301,162.991867,0,G6
1110,0,163.447113,177.285797,166.949493,0,G6
1110,0,170.774841,177.92868,170.193192,0,G6
1110,0,166.34668,178.606033,166.365814,0,G6
10001,118.23542,0,0,0,113.262886,G7
10001,144.603088,0,0,0,139.1371,G7
10001,131.547043,0,0,0,127.874481,G7
10001,138.251114,0,0,0,132.642227,G7
10001,136.212906,0,0,0,129.446472,G7
10001,132.074844,0,0,0,129.911301,G7
10001,152.091919,0,0,0,150.431808,G7
10001,107.580704,0,0,0,106.688972,G7
10001,59.235878,0,0,0,61.574509,G7
10001,65.826645,0,0,0,69.152672,G7
11001,162.860626,175.380936,0,0,159.62619,G8
11001,151.784622,172.088409,0,0,151.70462,G8
11001,137.575256,166.137772,0,0,164.62056,G8
11001,153.336975,171.383102,0,0,170.821045,G8
11001,114.441086,149.183395,0,0,112.304909,G8
11001,121.839569,152.409531,0,0,117.406815,G8
11001,154.104965,170.507935,0,0,151.102371,G8
11001,151.300125,170.097061,0,0,149.241684,G8
11001,134.340576,168.879211,0,0,129.27301,G8
11001,89.489441,88.212166,0,0,88.85627,G8
11111,107.318939,126.482452,150.565216,129.755005,111.18824,G9
11111,151.101456,169.677444,176.936111,165.013382,153.708817,G9
11111,151.609161,169.963013,176.565445,166.173065,155.13327,G9
11111,151.674011,169.399872,174.127243,165.732803,154.407227,G9
11111,150.510559,168.58168,173.24472,164.774063,153.321396,G9
11111,143.956863,164.832611,172.048721,161.635193,147.648056,G9
11111,118.778854,146.280884,162.181259,137.01091,120.309029,G9
11111,136.848541,163.62825,169.982956,153.229736,138.763962,G9
11111,153.222229,169.816025,174.65889,165.533905,154.993118,G9
11111,126.653564,158.265045,162.61908,144.897522,129.189285,G9
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
1101,0,154.250717,166.113617,0,164.773148,G0
1101,0,144.264816,169.900009,0,143.445404,G0
1101,0,152.200607,167.515976,0,158.567612,G0
1101,0,170.047729,168.956039,0,152.372986,G0
1101,0,156.319061,169.235611,0,163.216797,G0
1101,0,150.471741,166.993591,0,109.7043,G0
1101,0,150.697983,174.074387,0,148.416092,G0
1101,0,151.363327,176.211777,0,145.785751,G0
1101,0,160.377319,173.900589,0,152.376373,G0
1101,0,168.891693,174.234146,0,155.848175,G0
1000,0,130.576035,0,0,0,G2
1000,0,104.219337,0,0,0,G2
1000,0,89.120705,0,0,0,G2
1000,0,83.041534,0,0,0,G2
1000,0,94.194473,0,0,0,G2
1000,0,159.865707,0,0,0,G2
1000,0,174.5327,0,0,0,G2
1000,0,130.564636,0,0,0,G2
1000,0,45.742229,0,0,0,G2
1000,0,173.859787,0,0,0,G2
1,0,0,0,0,77.61145,G3
1,0,0,0,0,33.976433,G3
1,0,0,0,0,74.729301,G3
1,0,0,0,0,84.557747,G3
1,0,0,0,0,168.993698,G3
1,0,0,0,0,85.49054,G3
1,0,0,0,0,178.465454,G3
1,0,0,0,0,162.326813,G3
1,0,0,0,0,148.071777,G3
1,0,0,0,0,72.57737,G3
11000,15.980985,72.636932,0,0,0,G4
11000,162.514709,159.485199,0,0,0,G4
11000,59.11134,51.19342,0,0,0,G4
11000,44.586025,49.813931,0,0,0,G4
11000,64.228134,44.40876,0,0,0,G4
11000,142.109726,148.76796,0,0,0,G4
11000,156.502136,165.28302,0,0,0,G4
11000,159.992325,152.358551,0,0,0,G4
11000,106.819969,98.186317,0,0,0,G4
11000,28.308504,73.921104,0,0,0,G4
1100,0,93.443291,94.300819,0,0,G5
1100,0,151.506027,159.472275,0,0,G5
1100,0,166.776642,161.350739,0,0,G5
1100,0,93.766418,93.766418,0,0,G5
1100,0,158.190247,165.830353,0,0,G5
1100,0,166.683151,166.313187,0,0,G5
1100,0,146.574524,154.072083,0,0,G5
1100,0,151.121231,152.214645,0,0,G5
1100,0,104.059784,104.059784,0,0,G5
1100,0,85.238174,85.238174,0,0,G5
1110,0,140.549011,168.024002,98.835403,0,G6
1110,0,161.945007,175.18158,162.5867,0,G6
1110,0,167.250854,111.96981,111.96981,0,G6
1110,0,169.566971,171.674271,159.935257,0,G6
1110,0,157.424408,174.604202,157.472473,0,G6
1110,0,163.171722,115.279877,92.816658,0,G6
1110,0,155.913086,174.922562,155.40683,0,G6
1110,0,168.454819,112.216362,112.216362,0,G6
1110,0,166.21344,105.115471,105.115471,0,G6
1110,0,167.117966,175.919952,165.749878,0,G6
10001,23.37867,0,0,0,35.986023,G7
10001,75.618027,0,0,0,75.555916,G7
10001,80.78389,0,0,0,80.78389,G7
10001,14.110051,0,0,0,75.489555,G7
10001,39.631954,0,0,0,31.592991,G7
10001,33.395641,0,0,0,34.730873,G7
10001,69.368477,0,0,0,69.368477,G7
10001,94.386497,0,0,0,92.3908,G7
10001,64.176888,0,0,0,64.945175,G7
10001,40.846462,0,0,0,48.554039,G7
11001,161.582443,173.266022,0,0,160.606415,G8
11001,164.930695,174.049683,0,0,165.51091,G8
11001,164.295853,170.964905,0,0,124.826836,G8
11001,153.516357,167.133942,0,0,114.590202,G8
11001,162.524734,169.025787,0,0,157.100876,G8
11001,164.199875,169.970428,0,0,160.725662,G8
11001,168.725571,172.989197,0,0,166.028915,G8
11001,171.90184,173.911469,0,0,143.788696,G8
11001,169.96254,175.127045,0,0,168.788864,G8
11001,169.134293,175.218353,0,0,166.528946,G8
11111,155.038269,175.887955,169.799332,161.883636,153.550247,G9
11111,150.168198,166.719437,173.620667,165.035873,154.315918,G9
11111,146.859039,163.985458,171.220215,163.482773,151.590088,G9
11111,163.759888,176.741943,173.659576,168.810577,164.231049,G9
11111,117.066833,145.936798,157.395798,134.554031,120.591537,G9
11111,129.125961,162.191605,150.170685,136.621933,118.618126,G9
11111,162.522278,170.623154,176.618164,174.632721,166.298843,G9
11111,169.0009,174.303299,177.562317,176.332108,171.26474,G9
11111,167.112549,176.145111,177.550797,173.446671,168.2453,G9
11111,161.455475,173.36377,176.105438,171.215652,163.851273,G9
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
1101,0,122.152695,146.870087,0,149.565918,G0
1101,0,154.161362,170.282288,0,160.810135,G0
1101,0,161.022964,173.053757,0,159.489426,G0
1101,0,153.145157,162.79071,0,153.677307,G0
1101,0,136.43338,150.424774,0,167.237518,G0
1101,0,160.930649,165.638809,0,152.706314,G0
1101,0,131.014282,146.538208,0,163.073898,G0
1101,0,151.760895,174.467575,0,156.389694,G0
1101,0,136.631256,159.077454,0,153.921677,G0
1101,0,151.930908,166.597595,0,152.433441,G0
1000,0,117.830872,0,0,0,G2
1000,0,124.01622,0,0,0,G2
1000,0,99.012184,0,0,0,G2
1000,0,108.854836,0,0,0,G2
1000,0,116.867622,0,0,0,G2
1000,0,123.869484,0,0,0,G2
1000,0,108.005997,0,0,0,G2
1000,0,123.10746,0,0,0,G2
1000,0,117.661293,0,0,0,G2
1000,0,120.214607,0,0,0,G2
1,0,0,0,0,153.240005,G3
1,0,0,0,0,164.761154,G3
1,0,0,0,0,168.078766,G3
1,0,0,0,0,162.679443,G3
1,0,0,0,0,127.188194,G3
1,0,0,0,0,122.43148,G3
1,0,0,0,0,117.232765,G3
1,0,0,0,0,174.11467,G3
1,0,0,0,0,165.992081,G3
1,0,0,0,0,168.846268,G3
11000,142.608719,148.192383,0,0,0,G4
11000,143.073486,148.448898,0,0,0,G4
11000,150.040131,158.813202,0,0,0,G4
11000,129.370483,101.740036,0,0,0,G4
11000,134.741409,144.302246,0,0,0,G4
11000,132.729446,111.045799,0,0,0,G4
11000,96.190529,94.471046,0,0,0,G4
11000,143.167068,144.280884,0,0,0,G4
11000,138.369598,143.082077,0,0,0,G4
11000,123.471497,115.99469,0,0,0,G4
1100,0,164.772385,129.48732,0,0,G5
1100,0,132.595245,104.473389,0,0,G5
1100,0,156.009399,117.700005,0,0,G5
1100,0,106.560127,106.560127,0,0,G5
1100,0,151.676117,156.951569,0,0,G5
1100,0,153.199265,157.496521,0,0,G5
1100,0,123.998909,155.115494,0,0,G5
1100,0,131.238403,147.297638,0,0,G5
1100,0,97.212585,97.212585,0,0,G5
1100,0,120.572609,140.596344,0,0,G5
1110,0,155.762787,174.664612,160.603378,0,G6
1110,0,160.43277,177.964325,162.069748,0,G6
1110,0,160.042892,172.119171,156.519913,0,G6
1110,0,163.955414,173.238983,159.029388,0,G6
1110,0,135.691483,169.216309,150.836426,0,G6
1110,0,168.189804,162.794006,150.833344,0,G6
1110,0,132.141464,157.12915,142.97287,0,G6
1110,0,143.782425,177.435913,145.139389,0,G6
1110,0,122.926132,171.615631,125.376953,0,G6
1110,0,149.371735,177.947098,154.68045,0,G6
10001,157.026794,0,0,0,153.350006,G7
10001,146.514587,0,0,0,169.597565,G7
10001,141.190231,0,0,0,156.662415,G7
10001,149.355484,0,0,0,169.930374,G7
10001,149.315277,0,0,0,145.518707,G7
10001,160.500824,0,0,0,175.496185,G7
10001,158.286575,0,0,0,157.155884,G7
10001,155.760925,0,0,0,148.542328,G7
10001,155.196793,0,0,0,155.151657,G7
10001,141.745361,0,0,0,143.710739,G7
11001,156.632645,164.539246,0,0,169.881058,G8
11001,156.239243,170.082565,0,0,153.625641,G8
11001,154.044998,166.31398,0,0,157.448502,G8
11001,158.741974,167.550903,0,0,155.900726,G8
11001,158.98764,168.152054,0,0,157.186798,G8
11001,154.380402,165.007996,0,0,153.508881,G8
11001,155.433182,165.591232,0,0,154.681854,G8
11001,155.21788,166.664536,0,0,157.688614,G8
11001,160.601257,169.14827,0,0,161.239502,G8
11001,147.717117,157.342941,0,0,146.42836,G8
11111,135.905396,161.007889,167.39743,141.484726,144.005966,G9
11111,132.503952,150.907318,174.85965,139.668854,145.231857,G9
11111,136.413696,163.732773,161.655243,138.475006,140.840363,G9
11111,134.754211,154.727402,165.713821,142.605804,113.121742,G9
11111,133.168564,155.615891,168.761368,137.969986,142.84166,G9
11111,150.341232,162.578293,178.439911,155.639862,160.404373,G9
11111,145.954193,162.125244,174.939102,155.371109,155.150055,G9
11111,148.577805,168.449493,169.78627,155.011536,132.759094,G9
11111,148.169388,165.013672,176.554276,160.483398,146.952118,G9
11111,151.653885,176.84465,162.058411,150.301941,128.089996,G9
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
1101,0,154.413986,176.052948,0,149.486053,G0
