@relation gesture-weka.filters.unsupervised.attribute.Remove-V-R12-19

@attribute fingertipElevation_f1 numeric
@attribute fingertipElevation_f2 numeric
@attribute fingertipElevation_f3 numeric
@attribute fingertipElevation_f4 numeric
@attribute fingertipElevation_f5 numeric
@attribute fingersExtended numeric
@attribute fingersAreasAverage numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data
3.801165,4.002843,0,0,0,10001,70.284538,G7
3.647359,4.541636,3.928185,0,0,11001,36.169849,G8
5.400174,5.742901,0,0,0,11001,87.031273,G8
3.655792,4.830408,4.076703,0,0,11001,40.576683,G8
5.708855,6.109691,0,0,0,11001,88.510788,G8
4.143015,5.293864,4.627994,0,0,11001,40.252026,G8
4.522891,5.009287,0,0,0,11001,81.049911,G8
3.672434,4.37043,3.820997,0,0,11001,27.16869,G8
4.833115,5.031978,0,0,0,11001,71.723534,G8
3.885646,4.664822,4.101339,0,0,11001,32.047165,G8
3.950901,4.909639,4.212711,0,0,11001,37.006699,G8
4.140366,5.090964,5.258568,4.605475,0,11111,19.266119,G9
3.036631,4.029668,4.13579,4.052598,3.695958,11111,15.042491,G9
2.651221,3.54582,3.685647,3.625459,3.334631,11111,14.6588,G9
3.556464,4.680151,4.839375,4.706978,4.295236,11111,14.425028,G9
1.899161,0,0,0,0,11111,0,G9
3.914217,5.102254,5.15669,4.987046,4.58841,11111,15.82129,G9
2.414654,0,0,0,0,11111,0,G9
2.618071,3.961159,4.167908,4.034494,3.587493,11111,16.535208,G9
3.132445,4.483907,4.720399,4.584064,4.103108,11111,16.089895,G9
3.590008,5.240202,5.070769,4.699021,0,11111,25.688187,G9
1.777302,0,0,0,0,0,0,G1
2.124987,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
2.322778,0,0,0,0,0,0,G1
3.687448,0,0,0,0,0,0,G1
3.144806,0,0,0,0,0,0,G1
2.694212,0,0,0,0,0,0,G1
2.452326,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
1.747296,1.937189,1.347058,0,0,1101,14.566617,G0
1.956516,2.218632,1.700621,0,0,1101,16.844587,G0
2.161407,2.43873,1.93843,0,0,1101,16.703552,G0
2.057047,2.383836,1.730752,0,0,1101,18.728821,G0
1.960845,2.540933,1.456636,2.030975,0,1101,15.597527,G0
1.945522,2.194056,1.710254,0,0,1101,20.908434,G0
3.866393,3.99514,3.687164,0,0,1101,17.034702,G0
3.266629,3.53889,3.087073,0,0,1101,19.25824,G0
2.081799,2.343077,1.830847,0,0,1101,18.870056,G0
1.955744,2.154966,1.429949,0,0,1101,15.930725,G0
0.514539,0,0,0,0,1000,0,G2
0.680598,0,0,0,0,1000,0,G2
0,0,0,0,0,1000,0,G2
0,0,0,0,0,1000,0,G2
0.651294,0,0,0,0,1000,0,G2
0.708041,0,0,0,0,1000,0,G2
1.044729,0.433266,0,0,0,1000,18.586517,G2
1.10383,0.43582,0,0,0,1000,18.952829,G2
1.345424,0.686488,0,0,0,1000,19.019991,G2
0.845885,0.188437,0,0,0,1000,20.502623,G2
1.761956,0,0,0,0,1,0,G3
2.427105,0,0,0,0,1,0,G3
1.959951,0,0,0,0,1,0,G3
2.267077,0,0,0,0,1,0,G3
2.859358,0,0,0,0,1,0,G3
2.23115,0,0,0,0,1,0,G3
2.81739,3.385674,0,0,0,1,43.806084,G3
1.703367,0,0,0,0,1,0,G3
1.72396,0,0,0,0,1,0,G3
1.93749,0,0,0,0,1,0,G3
1.225886,1.701352,0,0,0,11000,53.363533,G4
1.480442,1.861036,0,0,0,11000,55.445675,G4
1.364171,1.650402,0,0,0,11000,57.632858,G4
1.681572,2.086187,1.209855,0,0,11000,31.933825,G4
1.307954,2.213711,1.230309,0,0,11000,32.241947,G4
1.213791,2.075226,1.145435,0,0,11000,32.935017,G4
1.6922,2.487475,1.600553,0,0,11000,33.269924,G4
1.249614,2.112467,1.179361,0,0,11000,34.57196,G4
1.54044,1.96664,0,0,0,11000,53.907883,G4
1.591134,2.053533,0,0,0,11000,54.080479,G4
1.905487,1.854031,0,0,0,1100,35.383423,G5
2.062269,2.112619,0,0,0,1100,35.510876,G5
1.831598,1.917133,0,0,0,1100,36.217762,G5
3.896853,4.667479,0.378649,0,0,1100,58.507679,G5
2.131417,2.21418,0,0,0,1100,35.175339,G5
2.620394,2.695342,0,0,0,1100,36.02306,G5
2.040568,2.083658,0,0,0,1100,35.848511,G5
1.926158,1.955444,0,0,0,1100,35.379021,G5
1.899811,1.933576,0,0,0,1100,33.79295,G5
1.763835,1.727625,0,0,0,1100,35.247337,G5
1.958068,2.065973,1.866892,0,0,1110,9.428574,G6
2.57332,2.739355,1.668595,2.538485,0,1110,8.840269,G6
1.801968,1.916539,1.738299,0,0,1110,11.603854,G6
1.997224,2.151975,1.88613,0,0,1110,11.417221,G6
2.32594,2.444495,2.179388,0,0,1110,9.845193,G6
1.909319,2.065951,1.888517,0,0,1110,9.979114,G6
2.470532,2.606683,2.449893,0,0,1110,9.520653,G6
2.815992,2.974155,2.799173,0,0,1110,9.669628,G6
2.799346,2.95688,2.783392,0,0,1110,9.823969,G6
2.559534,2.695724,2.51478,0,0,1110,10.124149,G6
1.011761,0.956591,0,0,0,10001,80.422737,G7
1.229554,1.384579,1.869916,0,0,10001,24.369425,G7
1.618637,1.711591,2.142963,0,0,10001,24.752146,G7
2.434556,2.848105,0,0,0,10001,74.734032,G7
2.527049,2.606421,0,0,0,10001,76.033142,G7
1.356734,1.479126,1.934364,0,0,10001,24.768681,G7
1.531411,1.642864,1.471326,1.872988,0,10001,13.272937,G7
0.710862,0.900476,0.729625,1.209474,0,10001,13.106444,G7
1.005833,1.145414,0.992289,1.53884,0,10001,13.278553,G7
0.214614,0.09792,0.0326,0.50894,0,10001,13.301299,G7
2.618955,4.25606,3.400037,0.51094,0,11001,35.159847,G8
2.265623,1.822753,0,0,0,11001,40.308922,G8
2.406044,3.169844,2.620257,0,0,11001,24.528629,G8
1.811319,2.549367,1.883199,0,0,11001,24.264366,G8
1.712801,2.434833,1.788014,0,0,11001,25.483545,G8
1.375134,2.043718,1.370904,0,0,11001,24.668108,G8
1.172054,1.934845,1.312227,0,0,11001,26.331705,G8
1.856683,2.637744,1.996173,0,0,11001,27.209732,G8
3.146877,4.077566,3.276005,3.425293,0,11001,16.666693,G8
4.657246,6.520862,5.495451,0.825639,0,11001,44.271637,G8
2.886926,3.855342,4.085877,3.918613,3.474774,11111,10.935635,G9
2.330731,3.232668,3.410392,3.26334,2.84068,11111,10.66839,G9
2.448194,3.593818,3.676095,3.54543,3.163843,11111,12.52271,G9
2.848297,3.72731,3.910608,3.753439,3.336542,11111,10.820264,G9
3.191601,4.125418,4.277683,4.147567,3.761934,11111,10.938109,G9
2.628631,3.664258,3.766043,3.626928,3.182909,11111,11.197824,G9
2.091589,3.154746,3.258385,3.08598,2.679865,11111,11.903898,G9
2.244422,2.877027,2.769956,0,0,11111,22.077978,G9
4.39732,5.471673,4.837096,0,0,11111,29.894125,G9
2.917695,3.898855,4.064389,3.943558,3.506793,11111,11.146586,G9
0,0,0,0,0,0,0,G1
1.040206,0,0,0,0,0,0,G1
0.881522,0.994497,0,0,0,0,5.416896,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
3.937115,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
3.200804,3.866323,3.432589,1.578599,0,1101,16.548107,G0
2.869781,3.06101,2.529032,0,0,1101,14.510384,G0
3.455971,3.626464,3.077377,0,0,1101,14.342751,G0
7.758927,8.722976,1.401234,7.393506,3.218856,1101,24.003157,G0
1.929311,2.121263,1.66838,0,0,1101,13.945426,G0
1.962166,2.130976,1.614336,0,0,1101,14.527101,G0
2.668828,2.823006,2.236153,0,0,1101,14.004051,G0
2.519809,2.537647,0,0,0,1101,22.023912,G0
5.07996,5.543409,4.864698,2.488564,0,1101,16.006475,G0
5.056568,5.529736,4.884039,2.807004,0,1101,15.417848,G0
0.782167,0,0,0,0,1000,0,G2
0,0,0,0,0,1000,0,G2
0,0,0,0,0,1000,0,G2
0,0,0,0,0,1000,0,G2
0.811374,0,0,0,0,1000,0,G2
0.624098,0,0,0,0,1000,0,G2
0.96388,0,0,0,0,1000,0,G2
0,0,0,0,0,1000,0,G2
0.669806,0,0,0,0,1000,0,G2
0.819212,0,0,0,0,1000,0,G2
5.588802,8.966497,0,0,0,1,49.595951,G3
0,0,0,0,0,1,0,G3
3.357691,1.68142,0,0,0,1,53.400436,G3
1.962697,0,0,0,0,1,0,G3
2.435554,0,0,0,0,1,0,G3
2.509979,0,0,0,0,1,0,G3
2.32126,0,0,0,0,1,0,G3
2.432033,0,0,0,0,1,0,G3
2.480385,0,0,0,0,1,0,G3
2.548279,0,0,0,0,1,0,G3
1.92091,2.217389,0,0,0,11000,50.252277,G4
1.920436,2.281158,0,0,0,11000,48.429398,G4
2.536567,3.216953,2.18216,0,0,11000,29.924503,G4
1.971869,2.394318,0,0,0,11000,50.12207,G4
2.732039,0,0,0,0,11000,0,G4
2.382105,2.670159,0,0,0,11000,49.292255,G4
2.472052,0,0,0,0,11000,0,G4
5.081109,5.19557,0.39465,0,0,11000,57.205299,G4
1.956647,2.264404,0,0,0,11000,50.425652,G4
4.982361,6.120978,0.608062,0,0,11000,65.50779,G4
3.765091,0.737544,3.4505,0,0,1100,32.543568,G5
3.384465,3.725769,0.638286,0,0,1100,25.859247,G5
5.593565,5.910605,2.083252,0,0,1100,30.070374,G5
2.093861,2.101737,0,0,0,1100,26.184465,G5
4.059782,4.40859,1.17984,0,0,1100,28.065109,G5
1.656116,1.69653,0,0,0,1100,26.263199,G5
1.798941,1.804901,0,0,0,1100,27.691299,G5
2.568328,2.561266,0,0,0,1100,27.695864,G5
3.158669,3.18687,0,0,0,1100,28.322369,G5
5.362423,1.921971,5.017191,0,0,1100,35.310863,G5
1.579357,1.806409,1.735807,0,0,1110,12.993946,G6
2.820252,3.387056,0.9349,0,0,1110,39.22271,G6
1.585589,1.715658,1.609502,0,0,1110,13.663955,G6
2.747815,2.996877,2.968055,0.722541,0,1110,16.007074,G6
1.516607,1.69428,1.633131,0,0,1110,11.522738,G6
1.645035,1.852884,1.783288,0,0,1110,12.43867,G6
2.539201,2.884054,2.807809,0.778021,0,1110,13.015529,G6
2.169876,2.692333,2.55109,0.262122,0,1110,17.903217,G6
2.311286,2.460773,2.325623,0,0,1110,12.717153,G6
2.888182,2.963516,2.827507,0,0,1110,12.520615,G6
2.192527,2.306137,0,0,0,10001,53.090115,G7
2.098306,1.75715,0,0,0,10001,28.018694,G7
2.219085,0,0,0,0,10001,0,G7
2.246607,2.023843,2.321926,0,0,10001,15.145524,G7
2.159252,1.875043,2.157629,0,0,10001,16.040144,G7
4.417421,4.073871,4.702125,1.875468,0,10001,18.946047,G7
2.523398,2.696643,0,0,0,10001,53.317043,G7
9.964713,12.381773,6.060918,3.987506,0,10001,73.7379,G7
8.969092,4.264287,7.81752,1.955696,0,10001,43.990543,G7
5.735237,6.370481,1.248434,0,0,10001,68.384651,G7
2.463647,3.189894,2.539773,0,0,11001,21.129341,G8
2.552048,2.908525,0,0,0,11001,35.649731,G8
2.625465,3.310952,2.756505,0,0,11001,21.487328,G8
13.37717,16.406713,14.285071,2.789194,0,11001,72.484947,G8
2.271872,2.93282,2.30768,0,0,11001,21.154732,G8
2.384982,3.216164,2.59698,0,0,11001,22.493742,G8
3.270124,4.019603,3.459401,0,0,11001,22.281046,G8
4.73728,5.407362,4.905256,0,0,11001,20.742393,G8
3.730794,4.469506,3.892395,0,0,11001,22.39427,G8
3.08476,3.858044,3.208477,0,0,11001,22.674759,G8
2.605869,3.583256,3.591082,3.476862,2.806365,11111,10.585863,G9
1.26991,2.19238,2.324479,2.169836,1.536889,11111,9.982105,G9
1.967825,3.13889,3.205146,3.083863,2.320241,11111,11.447453,G9
4.289592,5.136301,5.129916,4.419653,0,11111,14.678608,G9
3.943308,4.039729,4.006492,3.576392,0,11111,10.771594,G9
2.229235,2.401072,2.326977,1.889486,0,11111,10.517155,G9
1.830875,2.764143,2.869909,2.733367,2.075783,11111,10.132499,G9
1.48832,2.336564,2.509696,2.377496,1.753782,11111,9.755891,G9
1.746774,2.628773,2.724137,2.545563,1.978785,11111,9.978333,G9
2.687785,3.385308,3.56586,3.432508,2.926412,11111,9.092672,G9
1.613176,0,0,0,0,0,0,G1
1.63355,0,0,0,0,0,0,G1
1.616138,0,0,0,0,0,0,G1
1.208764,0,0,0,0,0,0,G1
1.382959,0,0,0,0,0,0,G1
1.913025,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
1.825747,0,0,0,0,0,0,G1
3.304496,3.448358,3.020074,0,0,1101,22.824327,G0
4.541755,4.727411,4.205803,0,0,1101,22.040724,G0
3.824039,4.012097,3.487435,0,0,1101,23.467112,G0
3.142044,3.325052,2.7981,0,0,1101,23.512405,G0
3.248622,3.389153,2.988763,0,0,1101,22.025862,G0
4.264217,4.445772,3.949125,0,0,1101,23.582598,G0
3.768033,3.977086,3.516061,0,0,1101,23.222326,G0
2.731685,2.908622,2.460076,0,0,1101,22.955881,G0
3.123606,3.323933,2.592962,2.944596,0,1101,10.192906,G0
3.240444,3.381718,2.946951,0,0,1101,22.540033,G0
0.40087,0,0,0,0,1000,0,G2
0.653741,0,0,0,0,1000,0,G2
0.85771,0,0,0,0,1000,0,G2
1.321642,0,0,0,0,1000,0,G2
0.898788,0,0,0,0,1000,0,G2
1.036665,0,0,0,0,1000,0,G2
0.616803,0,0,0,0,1000,0,G2
0.922724,0,0,0,0,1000,0,G2
1.167477,0,0,0,0,1000,0,G2
1.068267,0,0,0,0,1000,0,G2
1.649739,0,0,0,0,1,0,G3
1.435525,2.107758,0,0,0,1,8.558611,G3
0.548141,1.22534,0,0,0,1,8.260798,G3
1.853569,2.511358,0,0,0,1,6.617039,G3
1.988561,0,0,0,0,1,0,G3
1.962445,0,0,0,0,1,0,G3
2.501432,0,0,0,0,1,0,G3
2.919052,3.886456,0,0,0,1,6.362509,G3
0.683025,0,0,0,0,1,0,G3
0.724118,0,0,0,0,1,0,G3
1.240211,2.010482,1.050212,0,0,11000,33.296272,G4
0.0255,0.501815,0,0,0,11000,50.63102,G4
0.912342,1.475883,0,0,0,11000,55.133663,G4
1.84212,2.571226,1.619933,0,0,11000,33.506176,G4
1.674193,2.580039,1.546137,0,0,11000,34.142021,G4
1.76166,2.688617,1.643467,0,0,11000,34.076229,G4
1.995824,2.891256,1.884853,0,0,11000,33.88287,G4
2.123151,2.984541,2.01054,0,0,11000,33.99649,G4
1.396748,2.168492,1.223954,0,0,11000,33.043938,G4
0.849059,1.356099,0,0,0,11000,55.099251,G4
1.106471,1.161095,0,0,0,1100,27.466497,G5
2.219078,2.218372,0,0,0,1100,27.646662,G5
2.037471,2.080377,0,0,0,1100,27.798517,G5
1.919999,1.983265,0,0,0,1100,27.890408,G5
2.073163,2.115077,0,0,0,1100,27.676783,G5
1.444278,1.495915,0,0,0,1100,27.788082,G5
1.429522,1.474883,0,0,0,1100,27.94903,G5
1.405533,1.459107,0,0,0,1100,28.034847,G5
1.967316,2.012777,0,0,0,1100,27.223623,G5
1.733198,1.746467,0,0,0,1100,27.652082,G5
2.164897,2.290388,2.118141,0,0,1110,10.600265,G6
2.287251,2.394208,2.207506,0,0,1110,12.493134,G6
2.339605,2.46392,2.269868,0,0,1110,12.144472,G6
2.346586,2.451472,2.276577,0,0,1110,12.252865,G6
1.787336,1.921484,1.724274,0,0,1110,11.801364,G6
1.943836,2.067434,1.880118,0,0,1110,11.276435,G6
2.304076,2.418892,2.241728,0,0,1110,11.143898,G6
2.452699,2.589725,2.409889,0,0,1110,11.084279,G6
3.171474,3.280604,3.168819,0,0,1110,11.515809,G6
2.524149,2.632466,2.473182,0,0,1110,10.676915,G6
1.615601,1.555722,0,0,0,10001,72.201683,G7
2.32244,2.365039,0,0,0,10001,72.33197,G7
1.884668,1.97073,0,0,0,10001,73.953262,G7
2.047573,2.128826,0,0,0,10001,72.239662,G7
1.963119,1.972337,0,0,0,10001,72.002129,G7
1.82528,2.00705,0,0,0,10001,71.816238,G7
2.839518,2.972112,0,0,0,10001,72.34948,G7
1.222643,1.454624,0,0,0,10001,72.178688,G7
0.12081,0.499218,0,0,0,10001,70.320694,G7
0.354456,0.523019,0,0,0,10001,71.736969,G7
3.463594,4.243196,3.681748,0,0,11001,30.849527,G8
2.692305,3.741098,3.097004,0,0,11001,31.945534,G8
1.933424,3.033857,1.957484,2.350348,0,11001,21.481026,G8
3.0454,4.182112,3.096088,3.552491,0,11001,21.277641,G8
1.060611,1.962115,1.304427,0,0,11001,30.22794,G8
1.230555,2.103075,1.433966,0,0,11001,30.293285,G8
2.73273,3.676888,3.039683,0,0,11001,30.427029,G8
2.3773,3.210921,2.6298,0,0,11001,29.231491,G8
1.505794,2.302745,1.664755,0,0,11001,32.178814,G8
0.59654,1.576943,0.613251,1.059939,0,11001,18.19803,G8
0.280518,1.850322,2.028571,1.907771,1.27657,11111,16.925793,G9
2.162024,3.41393,3.611273,3.501278,2.952716,11111,14.389993,G9
2.319769,3.542961,3.685598,3.565313,3.045263,11111,15.048035,G9
2.223627,3.550491,3.67174,3.587299,3.055944,11111,15.112064,G9
2.158136,3.46041,3.578918,3.489384,2.952679,11111,15.101608,G9
1.716219,2.961399,3.087937,3.00403,2.48096,11111,14.763071,G9
0.676198,1.99697,2.14448,2.011722,1.46829,11111,14.635629,G9
1.347131,2.618608,2.739181,2.630876,2.055403,11111,14.770207,G9
2.370163,3.669908,3.816625,3.714485,3.154437,11111,14.422077,G9
1.015792,2.263813,2.351481,2.220672,1.65872,11111,14.827865,G9
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
2.50546,2.771589,2.434547,0,0,1101,16.554995,G0
1.779556,1.961989,1.473321,0,0,1101,16.697701,G0
2.12849,2.342911,1.965872,0,0,1101,16.640194,G0
2.688904,2.759218,2.066185,0,0,1101,17.435453,G0
2.676648,2.928436,2.506925,0,0,1101,17.180277,G0
1.834903,2.023987,0,0,0,1101,19.8237,G0
1.994629,2.16077,1.64098,0,0,1101,16.431669,G0
2.001169,2.161285,1.620225,0,0,1101,17.089495,G0
2.394215,2.558391,2.006091,0,0,1101,17.478935,G0
2.660907,2.713761,2.120425,0,0,1101,15.793607,G0
1.277505,0,0,0,0,1000,0,G2
0,0,0,0,0,1000,0,G2
0.894462,0,0,0,0,1000,0,G2
0.866158,0,0,0,0,1000,0,G2
0.938148,0,0,0,0,1000,0,G2
1.980027,0,0,0,0,1000,0,G2
2.284308,0,0,0,0,1000,0,G2
1.290012,0,0,0,0,1000,0,G2
0.662724,0,0,0,0,1000,0,G2
2.067153,0,0,0,0,1000,0,G2
0,0,0,0,0,1,0,G3
0.134786,0.541037,0,0,0,1,37.467548,G3
0,0,0,0,0,1,0,G3
0,0,0,0,0,1,0,G3
1.982845,0,0,0,0,1,0,G3
0,0,0,0,0,1,0,G3
1.78512,0,0,0,0,1,0,G3
2.032873,0,0,0,0,1,0,G3
1.769209,0,0,0,0,1,0,G3
0,0,0,0,0,1,0,G3
0.291708,0,0,0,0,11000,0,G4
2.395534,2.826909,0,0,0,11000,43.335747,G4
0.670186,0.587854,0,0,0,11000,32.805344,G4
0.348918,0.578001,0,0,0,11000,44.423435,G4
0.577604,0.526616,0,0,0,11000,39.716812,G4
1.648453,2.143939,0,0,0,11000,47.848164,G4
2.468504,2.881587,0,0,0,11000,55.99432,G4
2.201258,2.4291,0,0,0,11000,47.99987,G4
1.022954,1.16707,0,0,0,11000,45.919861,G4
0.468058,0,0,0,0,11000,0,G4
0.990261,1.02083,0,0,0,1100,21.402111,G5
1.593661,1.610657,0,0,0,1100,23.92918,G5
2.648782,1.640749,0,0,0,1100,16.443775,G5
0,0,0,0,0,1100,0,G5
1.740619,1.738286,0,0,0,1100,22.162588,G5
2.001103,1.997056,0,0,0,1100,22.216434,G5
1.419548,1.439554,0,0,0,1100,21.863609,G5
2.602875,1.234775,2.711801,0,0,1100,10.608878,G5
0,0,0,0,0,1100,0,G5
0,0,0,0,0,1100,0,G5
1.294993,1.466297,0,0,0,1110,17.562973,G6
2.211512,2.312101,2.157485,0,0,1110,9.360357,G6
2.182261,0,0,0,0,1110,0,G6
2.370808,2.461677,2.198257,0,0,1110,10.988033,G6
1.894695,2.052802,1.807447,0,0,1110,11.582254,G6
1.410634,1.033499,0,0,0,1110,22.681602,G6
2.349935,2.702308,2.228577,0,0,1110,11.771588,G6
2.264104,0,0,0,0,1110,0,G6
1.967882,0,0,0,0,1110,0,G6
2.401308,2.541336,2.300484,0,0,1110,11.953943,G6
0.340684,0.189126,0,0,0,10001,37.84771,G7
0.613948,0.641166,0,0,0,10001,72.603188,G7
0,0,0,0,0,10001,0,G7
0.053994,0,0,0,0,10001,0,G7
0.533867,0.181889,0,0,0,10001,70.606186,G7
0.666647,0.500134,0,0,0,10001,70.109825,G7
0,0,0,0,0,10001,0,G7
1.228466,0.790985,0,0,0,10001,70.54409,G7
0.620907,0.400748,0,0,0,10001,70.084503,G7
0.122793,0.246611,0,0,0,10001,70.591492,G7
3.744105,4.201895,3.589105,0,0,11001,22.836306,G8
4.739797,5.474811,4.758352,0,0,11001,23.786694,G8
3.295316,3.744194,0,0,0,11001,38.128246,G8
2.312316,2.773104,0,0,0,11001,31.819365,G8
3.357679,3.88082,3.13008,0,0,11001,22.626364,G8
4.073969,4.55499,3.808392,0,0,11001,23.33161,G8
6.128428,6.948523,6.150044,0,0,11001,26.163639,G8
5.694261,5.623022,0,0,0,11001,37.014832,G8
6.427003,6.914099,6.290797,0,0,11001,23.01911,G8
5.480635,6.020041,5.137407,0,0,11001,24.572662,G8
2.674495,3.467142,3.42099,3.247894,2.651787,11111,11.60432,G9
2.786075,4.331477,4.479289,4.214166,3.448234,11111,15.68569,G9
1.965601,3.084621,3.221116,3.054302,2.562638,11111,13.020551,G9
4.15389,5.105647,5.120188,4.926242,4.246762,11111,13.174008,G9
0.817203,1.97503,2.01991,1.812495,1.255303,11111,13.541288,G9
1.384658,2.098935,2.041083,1.80605,0,11111,13.963314,G9
3.601786,4.696747,4.803766,4.735086,4.276867,11111,11.450706,G9
6.017807,7.086591,7.203006,7.151492,6.706867,11111,11.691153,G9
5.221117,6.340759,6.365201,6.127171,5.617724,11111,13.243307,G9
3.601325,4.566732,4.599581,4.503874,3.978602,11111,11.963731,G9
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0.958619,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
1.443633,1.679687,1.332674,0,0,1101,15.414836,G0
2.316373,2.505263,2.023229,0,0,1101,15.732098,G0
2.513523,2.666659,2.159433,0,0,1101,15.360113,G0
2.147329,2.285386,1.775265,0,0,1101,15.894578,G0
1.726695,2.021174,1.665006,0,0,1101,16.003513,G0
2.339178,2.424119,1.833871,0,0,1101,16.262325,G0
