@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R2-6,17-19'

@attribute newFingerTipDistRefined_f1 numeric
@attribute newFingerTipDistRefined_f2 numeric
@attribute newFingerTipDistRefined_f3 numeric
@attribute newFingerTipDistRefined_f4 numeric
@attribute newFingerTipDistRefined_f5 numeric
@attribute fingersExtended numeric
@attribute fingersAreasAverage numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data
1,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
1,0,0,0,0,0,0,G1
1,0,0,0,0,0,0,G1
1,0,0,0,0,0,0,G1
1,0,0,0,0,0,0,G1
1,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
1.231874,1.262247,0.879672,0,0,1101,14.566617,G0
1.213938,1.259386,0.978551,0,0,1101,16.844587,G0
1.223786,1.256832,0.950821,0,0,1101,16.703552,G0
1.29586,1.321256,0.99597,0,0,1101,18.728821,G0
1.54977,1.569883,0.608505,1.261545,0,1101,15.597527,G0
1.221959,1.242875,0.906978,0,0,1101,20.908434,G0
1.179181,1.158932,0.969527,0,0,1101,17.034702,G0
1.218792,1.236568,0.961816,0,0,1101,19.25824,G0
1.226592,1.255801,0.934303,0,0,1101,18.870056,G0
1.318948,1.312379,0.900718,0,0,1101,15.930725,G0
1,0,0,0,0,1000,0,G2
1,0,0,0,0,1000,0,G2
0,0,0,0,0,1000,0,G2
0,0,0,0,0,1000,0,G2
1,0,0,0,0,1000,0,G2
1,0,0,0,0,1000,0,G2
1.390457,0.671405,0,0,0,1000,18.586517,G2
1.409506,0.65759,0,0,0,1000,18.952829,G2
1.402403,0.663032,0,0,0,1000,19.019991,G2
1.410385,0.668234,0,0,0,1000,20.502623,G2
1,0,0,0,0,1,0,G3
1,0,0,0,0,1,0,G3
1,0,0,0,0,1,0,G3
1,0,0,0,0,1,0,G3
1,0,0,0,0,1,0,G3
1,0,0,0,0,1,0,G3
0.958517,1.518914,0,0,0,1,43.806084,G3
1,0,0,0,0,1,0,G3
1,0,0,0,0,1,0,G3
1,0,0,0,0,1,0,G3
1.044875,1.371887,0,0,0,11000,53.363533,G4
1.03314,1.32875,0,0,0,11000,55.445675,G4
1.035889,1.331875,0,0,0,11000,57.632858,G4
1.251107,1.613654,0.845595,0,0,11000,31.933825,G4
1.240829,1.68375,0.835185,0,0,11000,32.241947,G4
1.275016,1.635229,0.848882,0,0,11000,32.935017,G4
1.281491,1.62056,0.876318,0,0,11000,33.269924,G4
1.297518,1.662786,0.885705,0,0,11000,34.57196,G4
1.055298,1.348257,0,0,0,11000,53.907883,G4
1.05845,1.35198,0,0,0,11000,54.080479,G4
1.075695,1.073737,0,0,0,1100,35.383423,G5
1.043373,1.082661,0,0,0,1100,35.510876,G5
1.0362,1.077828,0,0,0,1100,36.217762,G5
2.485811,2.645671,2.683549,0,0,1100,58.507679,G5
1.021522,1.085004,0,0,0,1100,35.175339,G5
1.035015,1.089712,0,0,0,1100,36.02306,G5
1.04583,1.087219,0,0,0,1100,35.848511,G5
1.072826,1.091221,0,0,0,1100,35.379021,G5
1.047692,1.076644,0,0,0,1100,33.79295,G5
1.062927,1.079596,0,0,0,1100,35.247337,G5
1.039745,1.102573,0.968233,0,0,1110,9.428574,G6
1.289748,1.354539,0.600773,1.265327,0,1110,8.840269,G6
1.053252,1.096191,1.002216,0,0,1110,11.603854,G6
1.104152,1.137588,0.981874,0,0,1110,11.417221,G6
1.061707,1.123521,1.003844,0,0,1110,9.845193,G6
1.039279,1.114564,1.001766,0,0,1110,9.979114,G6
1.032279,1.097495,0.996246,0,0,1110,9.520653,G6
1.040026,1.105345,0.986658,0,0,1110,9.669628,G6
1.030378,1.105459,0.998882,0,0,1110,9.823969,G6
1.016864,1.106099,0.989156,0,0,1110,10.124149,G6
1.48451,1.495176,0,0,0,10001,80.422737,G7
1.559994,0.991845,1.691039,0,0,10001,24.369425,G7
1.528104,1.00054,1.628437,0,0,10001,24.752146,G7
1.426547,1.593795,0,0,0,10001,74.734032,G7
1.483242,1.586853,0,0,0,10001,76.033142,G7
1.558045,0.992799,1.626951,0,0,10001,24.768681,G7
1.539915,1.049817,0.976128,1.586575,0,10001,13.272937,G7
1.785488,1.063701,1.059552,1.815837,0,10001,13.106444,G7
1.894308,1.034957,1.085044,1.891683,0,10001,13.278553,G7
1.846188,1.083244,1.095145,1.914507,0,10001,13.301299,G7
2.000269,2.868088,2.240199,2.393213,0,11001,35.159847,G8
1.181476,0.970397,0,0,0,11001,40.308922,G8
1.086569,1.429008,1.213705,0,0,11001,24.528629,G8
1.074405,1.459269,1.144319,0,0,11001,24.264366,G8
1.064703,1.444371,1.169845,0,0,11001,25.483545,G8
1.079626,1.438076,1.130369,0,0,11001,24.668108,G8
1.028131,1.474878,1.198357,0,0,11001,26.331705,G8
1.024392,1.477354,1.210173,0,0,11001,27.209732,G8
1.139236,1.580526,0.867405,1.298498,0,11001,16.666693,G8
2.261693,3.207315,2.541823,2.998256,0,11001,44.271637,G8
0.987537,1.232341,1.450275,1.370264,1.241734,11111,10.935635,G9
0.980028,1.238607,1.403978,1.339413,1.234221,11111,10.66839,G9
1.012867,1.358067,1.392545,1.319466,1.194366,11111,12.52271,G9
0.963031,1.214738,1.409905,1.352955,1.209862,11111,10.820264,G9
0.994658,1.250602,1.382173,1.337316,1.20776,11111,10.938109,G9
1.01315,1.311628,1.397072,1.348429,1.169892,11111,11.197824,G9
1.022288,1.340066,1.405767,1.300761,1.113181,11111,11.903898,G9
0.85684,1.261064,1.239723,0,0,11111,22.077978,G9
1.120802,1.56685,1.44645,0,0,11111,29.894125,G9
0.979921,1.2457,1.405801,1.372915,1.222946,11111,11.146586,G9
0,0,0,0,0,0,0,G1
1,0,0,0,0,0,0,G1
1.035874,0.968071,0,0,0,0,5.416896,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
1,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
1.95785,2.010387,1.364172,1.198732,0,1101,16.548107,G0
1.224612,1.244117,0.864744,0,0,1101,14.510384,G0
1.2293,1.240222,0.836935,0,0,1101,14.342751,G0
4.022993,4.107459,3.410822,2.804549,2.450487,1101,24.003157,G0
1.190411,1.207986,0.880791,0,0,1101,13.945426,G0
1.2084,1.229562,0.881301,0,0,1101,14.527101,G0
1.226245,1.254268,0.878783,0,0,1101,14.004051,G0
1.026994,1.029347,0,0,0,1101,22.023912,G0
2.166431,2.158537,1.457892,1.507979,0,1101,16.006475,G0
2.065207,2.07847,1.363204,1.317068,0,1101,15.417848,G0
1,0,0,0,0,1000,0,G2
0,0,0,0,0,1000,0,G2
0,0,0,0,0,1000,0,G2
0,0,0,0,0,1000,0,G2
1,0,0,0,0,1000,0,G2
1,0,0,0,0,1000,0,G2
1,0,0,0,0,1000,0,G2
0,0,0,0,0,1000,0,G2
1,0,0,0,0,1000,0,G2
1,0,0,0,0,1000,0,G2
1.767369,3.147593,0,0,0,1,49.595951,G3
0,0,0,0,0,1,0,G3
2.123695,1.138777,0,0,0,1,53.400436,G3
1,0,0,0,0,1,0,G3
1,0,0,0,0,1,0,G3
1,0,0,0,0,1,0,G3
1,0,0,0,0,1,0,G3
1,0,0,0,0,1,0,G3
1,0,0,0,0,1,0,G3
1,0,0,0,0,1,0,G3
1.044581,1.342762,0,0,0,11000,50.252277,G4
1.020261,1.317115,0,0,0,11000,48.429398,G4
1.321737,1.651428,0.750893,0,0,11000,29.924503,G4
1.062852,1.324382,0,0,0,11000,50.12207,G4
1,0,0,0,0,11000,0,G4
1.073794,1.30584,0,0,0,11000,49.292255,G4
1,0,0,0,0,11000,0,G4
2.426123,3.016772,3.896007,0,0,11000,57.205299,G4
1.06402,1.320101,0,0,0,11000,50.425652,G4
2.693208,3.57611,2.55779,0,0,11000,65.50779,G4
2.199001,1.639516,2.16513,0,0,1100,32.543568,G5
2.141883,2.164821,1.42265,0,0,1100,25.859247,G5
2.333807,2.369031,1.853207,0,0,1100,30.070374,G5
1.039327,1.02623,0,0,0,1100,26.184465,G5
2.224463,2.196892,1.603008,0,0,1100,28.065109,G5
1.031071,1.03258,0,0,0,1100,26.263199,G5
1.036528,1.036541,0,0,0,1100,27.691299,G5
1.04369,1.03313,0,0,0,1100,27.695864,G5
1.053785,1.028066,0,0,0,1100,28.322369,G5
2.297215,1.865202,2.255105,0,0,1100,35.310863,G5
1.077393,1.096172,0.999455,0,0,1110,12.993946,G6
2.02605,2.017681,1.018541,0,0,1110,39.22271,G6
1.049701,1.090621,1.000589,0,0,1110,13.663955,G6
1.657778,1.694712,1.652378,1.022134,0,1110,16.007074,G6
1.060439,1.085207,0.994052,0,0,1110,11.522738,G6
1.053896,1.093207,0.987668,0,0,1110,12.43867,G6
1.631044,1.675166,1.546922,0.848904,0,1110,13.015529,G6
1.930307,1.973415,1.798293,1.506046,0,1110,17.903217,G6
1.092185,1.09543,1.040959,0,0,1110,12.717153,G6
1.102517,1.07224,1.01456,0,0,1110,12.520615,G6
1.168145,1.134916,0,0,0,10001,53.090115,G7
1.223495,0.873493,0,0,0,10001,28.018694,G7
1,0,0,0,0,10001,0,G7
1.216762,0.883311,1.279985,0,0,10001,15.145524,G7
1.285366,0.929974,1.320914,0,0,10001,16.040144,G7
2.118208,1.40491,2.161539,1.199585,0,10001,18.946047,G7
1.137746,1.197523,0,0,0,10001,53.317043,G7
5.048168,4.890337,3.183431,5.385864,0,10001,73.7379,G7
4.323671,2.149851,4.516919,2.982833,0,10001,43.990543,G7
2.969179,3.065279,2.913431,0,0,10001,68.384651,G7
1.055772,1.485599,1.14343,0,0,11001,21.129341,G8
0.944878,1.262862,0,0,0,11001,35.649731,G8
1.075548,1.432343,1.095183,0,0,11001,21.487328,G8
4.601766,5.814073,4.274864,8.398026,0,11001,72.484947,G8
1.035103,1.453821,1.104803,0,0,11001,21.154732,G8
1.085711,1.494142,1.140937,0,0,11001,22.493742,G8
1.063757,1.448941,1.112628,0,0,11001,22.281046,G8
1.088945,1.408296,1.116165,0,0,11001,20.742393,G8
1.141092,1.456135,1.102365,0,0,11001,22.39427,G8
1.128675,1.494483,1.10443,0,0,11001,22.674759,G8
1.013166,1.3929,1.382275,1.350179,1.229316,11111,10.585863,G9
1.024812,1.353729,1.427092,1.32135,1.156443,11111,9.982105,G9
1.110521,1.454095,1.464804,1.416357,1.270064,11111,11.447453,G9
1.201024,1.455367,1.44199,1.242957,0,11111,14.678608,G9
1.23529,1.176529,1.119917,1.038517,0,11111,10.771594,G9
1.193112,1.217629,1.120489,0.994457,0,11111,10.517155,G9
1.038206,1.353937,1.416972,1.341329,1.193953,11111,10.132499,G9
1.047183,1.302948,1.417079,1.328552,1.148158,11111,9.755891,G9
0.967905,1.346194,1.399953,1.260827,1.083269,11111,9.978333,G9
0.990776,1.217844,1.365623,1.275619,1.142608,11111,9.092672,G9
1,0,0,0,0,0,0,G1
1,0,0,0,0,0,0,G1
1,0,0,0,0,0,0,G1
1,0,0,0,0,0,0,G1
1,0,0,0,0,0,0,G1
1,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
1,0,0,0,0,0,0,G1
1.217811,1.204233,1.061921,0,0,1101,22.824327,G0
1.236176,1.246219,1.062513,0,0,1101,22.040724,G0
1.246101,1.252298,1.075777,0,0,1101,23.467112,G0
1.240263,1.251797,1.085791,0,0,1101,23.512405,G0
1.245688,1.195178,1.043989,0,0,1101,22.025862,G0
1.232351,1.251703,1.108297,0,0,1101,23.582598,G0
1.246366,1.250361,1.117049,0,0,1101,23.222326,G0
1.24695,1.235729,1.122979,0,0,1101,22.955881,G0
1.4322,1.39913,0.632419,1.265565,0,1101,10.192906,G0
1.232917,1.211,1.051842,0,0,1101,22.540033,G0
1,0,0,0,0,1000,0,G2
1,0,0,0,0,1000,0,G2
1,0,0,0,0,1000,0,G2
1,0,0,0,0,1000,0,G2
1,0,0,0,0,1000,0,G2
1,0,0,0,0,1000,0,G2
1,0,0,0,0,1000,0,G2
1,0,0,0,0,1000,0,G2
1,0,0,0,0,1000,0,G2
1,0,0,0,0,1000,0,G2
1,0,0,0,0,1,0,G3
0.6588,1.360521,0,0,0,1,8.558611,G3
0.660612,1.356346,0,0,0,1,8.260798,G3
0.666823,1.343415,0,0,0,1,6.617039,G3
1,0,0,0,0,1,0,G3
1,0,0,0,0,1,0,G3
1,0,0,0,0,1,0,G3
0.544728,1.480188,0,0,0,1,6.362509,G3
1,0,0,0,0,1,0,G3
1,0,0,0,0,1,0,G3
1.268887,1.629095,0.765152,0,0,11000,33.296272,G4
1.00659,1.36709,0,0,0,11000,50.63102,G4
1.045007,1.365271,0,0,0,11000,55.133663,G4
1.283839,1.614402,0.76951,0,0,11000,33.506176,G4
1.282825,1.686174,0.768565,0,0,11000,34.142021,G4
1.305858,1.692548,0.749131,0,0,11000,34.076229,G4
1.285317,1.654206,0.749687,0,0,11000,33.88287,G4
1.300965,1.621673,0.750556,0,0,11000,33.99649,G4
1.267455,1.62279,0.76816,0,0,11000,33.043938,G4
1.055957,1.372787,0,0,0,11000,55.099251,G4
1.020515,1.062002,0,0,0,1100,27.466497,G5
1.024568,1.053823,0,0,0,1100,27.646662,G5
1.018043,1.050198,0,0,0,1100,27.798517,G5
1.01986,1.049861,0,0,0,1100,27.890408,G5
1.009792,1.064384,0,0,0,1100,27.676783,G5
1.022119,1.056643,0,0,0,1100,27.788082,G5
1.027048,1.052296,0,0,0,1100,27.94903,G5
1.031838,1.032894,0,0,0,1100,28.034847,G5
1.016774,1.048859,0,0,0,1100,27.223623,G5
1.031374,1.037309,0,0,0,1100,27.652082,G5
1.052129,1.093906,1.006283,0,0,1110,10.600265,G6
1.062311,1.094013,0.998184,0,0,1110,12.493134,G6
1.050756,1.106625,0.999289,0,0,1110,12.144472,G6
1.054394,1.096573,1.008857,0,0,1110,12.252865,G6
1.071215,1.097632,1.000769,0,0,1110,11.801364,G6
1.070423,1.093645,0.994088,0,0,1110,11.276435,G6
1.065324,1.089834,0.998832,0,0,1110,11.143898,G6
1.058645,1.100685,0.981467,0,0,1110,11.084279,G6
1.028951,1.076591,1.034732,0,0,1110,11.515809,G6
1.048864,1.088416,1.001232,0,0,1110,10.676915,G6
1.507314,1.686501,0,0,0,10001,72.201683,G7
1.365983,1.547334,0,0,0,10001,72.33197,G7
1.41886,1.585524,0,0,0,10001,73.953262,G7
1.364759,1.57555,0,0,0,10001,72.239662,G7
1.359977,1.549269,0,0,0,10001,72.002129,G7
1.362769,1.546106,0,0,0,10001,71.816238,G7
1.373932,1.517447,0,0,0,10001,72.34948,G7
1.388326,1.589092,0,0,0,10001,72.178688,G7
1.409217,1.737773,0,0,0,10001,70.320694,G7
1.535126,1.813028,0,0,0,10001,71.736969,G7
1.079204,1.43363,1.353521,0,0,11001,30.849527,G8
1.280526,1.558202,1.483408,0,0,11001,31.945534,G8
1.37368,1.696356,0.696836,1.646568,0,11001,21.481026,G8
1.37117,1.694026,0.696763,1.66672,0,11001,21.277641,G8
1.205469,1.509366,1.431597,0,0,11001,30.22794,G8
1.183858,1.504629,1.462855,0,0,11001,30.293285,G8
1.19345,1.509751,1.474945,0,0,11001,30.427029,G8
1.142747,1.45979,1.357312,0,0,11001,29.231491,G8
1.087879,1.469004,1.318414,0,0,11001,32.178814,G8
1.191585,1.612915,0.772766,1.463492,0,11001,18.19803,G8
1.564551,1.51508,1.568763,1.538196,1.478466,11111,16.925793,G9
1.178462,1.337356,1.481364,1.48156,1.33477,11111,14.389993,G9
1.210781,1.366835,1.457184,1.43989,1.31523,11111,15.048035,G9
1.200763,1.387001,1.462178,1.472951,1.350742,11111,15.112064,G9
1.210978,1.388367,1.460009,1.468834,1.347639,11111,15.101608,G9
1.20858,1.377883,1.447629,1.45344,1.334159,11111,14.763071,G9
1.218669,1.400747,1.490716,1.480281,1.396236,11111,14.635629,G9
1.206793,1.385468,1.471198,1.493445,1.364725,11111,14.770207,G9
1.18838,1.38159,1.478442,1.489341,1.358673,11111,14.422077,G9
1.231341,1.398932,1.466533,1.456606,1.345475,11111,14.827865,G9
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
1.182832,1.223058,0.929561,0,0,1101,16.554995,G0
1.16825,1.229557,0.916031,0,0,1101,16.697701,G0
1.148685,1.215823,0.929532,0,0,1101,16.640194,G0
1.154911,1.230629,0.960104,0,0,1101,17.435453,G0
1.210237,1.237406,0.932009,0,0,1101,17.180277,G0
1.001409,1.03591,0,0,0,1101,19.8237,G0
1.181617,1.228346,0.909928,0,0,1101,16.431669,G0
1.18177,1.227338,0.934598,0,0,1101,17.089495,G0
1.152201,1.220065,0.965079,0,0,1101,17.478935,G0
1.180276,1.204634,0.908677,0,0,1101,15.793607,G0
1,0,0,0,0,1000,0,G2
0,0,0,0,0,1000,0,G2
1,0,0,0,0,1000,0,G2
1,0,0,0,0,1000,0,G2
1,0,0,0,0,1000,0,G2
1,0,0,0,0,1000,0,G2
1,0,0,0,0,1000,0,G2
1,0,0,0,0,1000,0,G2
1,0,0,0,0,1000,0,G2
1,0,0,0,0,1000,0,G2
0,0,0,0,0,1,0,G3
0.890491,1.431572,0,0,0,1,37.467548,G3
0,0,0,0,0,1,0,G3
0,0,0,0,0,1,0,G3
1,0,0,0,0,1,0,G3
0,0,0,0,0,1,0,G3
1,0,0,0,0,1,0,G3
1,0,0,0,0,1,0,G3
1,0,0,0,0,1,0,G3
0,0,0,0,0,1,0,G3
1,0,0,0,0,11000,0,G4
0.933344,1.356014,0,0,0,11000,43.335747,G4
1.143335,1.006341,0,0,0,11000,32.805344,G4
1.024392,1.275416,0,0,0,11000,44.423435,G4
1.325049,1.033047,0,0,0,11000,39.716812,G4
1.023916,1.354481,0,0,0,11000,47.848164,G4
1.07075,1.272106,0,0,0,11000,55.99432,G4
1.000195,1.303968,0,0,0,11000,47.99987,G4
0.986735,1.341908,0,0,0,11000,45.919861,G4
1,0,0,0,0,11000,0,G4
1.016843,1.030781,0,0,0,1100,21.402111,G5
1.033247,1.021033,0,0,0,1100,23.92918,G5
1.472844,0.596878,0,0,0,1100,16.443775,G5
0,0,0,0,0,1100,0,G5
1.03736,1.008789,0,0,0,1100,22.162588,G5
1.022475,1.020169,0,0,0,1100,22.216434,G5
1.023871,1.024664,0,0,0,1100,21.863609,G5
1.551421,0.633072,1.577119,0,0,1100,10.608878,G5
0,0,0,0,0,1100,0,G5
0,0,0,0,0,1100,0,G5
0.958437,1.076855,0,0,0,1110,17.562973,G6
1.059932,1.086665,1.004195,0,0,1110,9.360357,G6
1,0,0,0,0,1110,0,G6
1.037221,1.115223,0.971376,0,0,1110,10.988033,G6
1.041879,1.129532,0.960993,0,0,1110,11.582254,G6
1.165295,0.944777,0,0,0,1110,22.681602,G6
1.07936,1.203335,0.998434,0,0,1110,11.771588,G6
1,0,0,0,0,1110,0,G6
1,0,0,0,0,1110,0,G6
1.033759,1.126025,0.951582,0,0,1110,11.953943,G6
0.844203,1.457313,0,0,0,10001,37.84771,G7
1.755074,1.765174,0,0,0,10001,72.603188,G7
0,0,0,0,0,10001,0,G7
1,0,0,0,0,10001,0,G7
1.373595,1.423203,0,0,0,10001,70.606186,G7
1.384723,1.537451,0,0,0,10001,70.109825,G7
0,0,0,0,0,10001,0,G7
1.36726,1.481558,0,0,0,10001,70.54409,G7
1.499203,1.371345,0,0,0,10001,70.084503,G7
1.484612,1.436747,0,0,0,10001,70.591492,G7
1.295293,1.374639,1.240206,0,0,11001,22.836306,G8
1.294405,1.498237,1.268374,0,0,11001,23.786694,G8
1.004887,1.20923,0,0,0,11001,38.128246,G8
1.04629,1.146556,0,0,0,11001,31.819365,G8
1.145721,1.431977,1.224919,0,0,11001,22.626364,G8
1.240231,1.435948,1.267829,0,0,11001,23.33161,G8
1.229479,1.494426,1.494856,0,0,11001,26.163639,G8
1.162688,1.011032,0,0,0,11001,37.014832,G8
1.285286,1.387948,1.303376,0,0,11001,23.01911,G8
1.251603,1.478745,1.227766,0,0,11001,24.572662,G8
1.130476,1.335745,1.337355,1.310386,1.181252,11111,11.60432,G9
1.660336,1.594941,1.622056,1.533188,1.497771,11111,15.68569,G9
1.191547,1.377091,1.439314,1.355781,1.235072,11111,13.020551,G9
1.164318,1.368466,1.428478,1.387682,1.169014,11111,13.174008,G9
1.207752,1.427646,1.434598,1.353656,1.215002,11111,13.541288,G9
1.191091,1.254777,1.268656,1.245045,0,11111,13.963314,G9
1.100646,1.353443,1.34881,1.305814,1.168729,11111,11.450706,G9
1.151328,1.339433,1.344,1.323793,1.223306,11111,11.691153,G9
1.164564,1.408022,1.408167,1.287655,1.219154,11111,13.243307,G9
1.146614,1.335053,1.330889,1.31807,1.176286,11111,11.963731,G9
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
1,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
1.242647,1.20194,0.862213,0,0,1101,15.414836,G0
1.200797,1.23402,0.85895,0,0,1101,15.732098,G0
1.174188,1.228878,0.892733,0,0,1101,15.360113,G0
1.192532,1.241911,0.871868,0,0,1101,15.894578,G0
1.190817,1.248964,0.814285,0,0,1101,16.003513,G0
1.199545,1.247907,0.880722,0,0,1101,16.262325,G0
1.212116,1.231709,0.82093,0,0,1101,15.865169,G0
1.229028,1.165185,0.869911,0,0,1101,14.827022,G0
1.234573,1.191104,0.844482,0,0,1101,15.286278,G0
1.186348,1.214406,0.897116,0,0,1101,15.282679,G0
0,0,0,0,0,1000,0,G2
0,0,0,0,0,1000,0,G2
0,0,0,0,0,1000,0,G2
0,0,0,0,0,1000,0,G2
0,0,0,0,0,1000,0,G2
0,0,0,0,0,1000,0,G2
0,0,0,0,0,1000,0,G2
0,0,0,0,0,1000,0,G2
