@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R1,17-19'

@attribute numFingers numeric
@attribute fingersExtended numeric
@attribute fingersAreasAverage numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data
4,11111,25.688187,G9
1,0,0,G1
1,0,0,G1
0,0,0,G1
1,0,0,G1
1,0,0,G1
1,0,0,G1
1,0,0,G1
1,0,0,G1
0,0,0,G1
0,0,0,G1
3,1101,14.566617,G0
3,1101,16.844587,G0
3,1101,16.703552,G0
3,1101,18.728821,G0
4,1101,15.597527,G0
3,1101,20.908434,G0
3,1101,17.034702,G0
3,1101,19.25824,G0
3,1101,18.870056,G0
3,1101,15.930725,G0
1,1000,0,G2
1,1000,0,G2
0,1000,0,G2
0,1000,0,G2
1,1000,0,G2
1,1000,0,G2
2,1000,18.586517,G2
2,1000,18.952829,G2
2,1000,19.019991,G2
2,1000,20.502623,G2
1,1,0,G3
1,1,0,G3
1,1,0,G3
1,1,0,G3
1,1,0,G3
1,1,0,G3
2,1,43.806084,G3
1,1,0,G3
1,1,0,G3
1,1,0,G3
2,11000,53.363533,G4
2,11000,55.445675,G4
2,11000,57.632858,G4
3,11000,31.933825,G4
3,11000,32.241947,G4
3,11000,32.935017,G4
3,11000,33.269924,G4
3,11000,34.57196,G4
2,11000,53.907883,G4
2,11000,54.080479,G4
2,1100,35.383423,G5
2,1100,35.510876,G5
2,1100,36.217762,G5
3,1100,58.507679,G5
2,1100,35.175339,G5
2,1100,36.02306,G5
2,1100,35.848511,G5
2,1100,35.379021,G5
2,1100,33.79295,G5
2,1100,35.247337,G5
3,1110,9.428574,G6
4,1110,8.840269,G6
3,1110,11.603854,G6
3,1110,11.417221,G6
3,1110,9.845193,G6
3,1110,9.979114,G6
3,1110,9.520653,G6
3,1110,9.669628,G6
3,1110,9.823969,G6
3,1110,10.124149,G6
2,10001,80.422737,G7
3,10001,24.369425,G7
3,10001,24.752146,G7
2,10001,74.734032,G7
2,10001,76.033142,G7
3,10001,24.768681,G7
4,10001,13.272937,G7
4,10001,13.106444,G7
4,10001,13.278553,G7
4,10001,13.301299,G7
4,11001,35.159847,G8
2,11001,40.308922,G8
3,11001,24.528629,G8
3,11001,24.264366,G8
3,11001,25.483545,G8
3,11001,24.668108,G8
3,11001,26.331705,G8
3,11001,27.209732,G8
4,11001,16.666693,G8
4,11001,44.271637,G8
5,11111,10.935635,G9
5,11111,10.66839,G9
5,11111,12.52271,G9
5,11111,10.820264,G9
5,11111,10.938109,G9
5,11111,11.197824,G9
5,11111,11.903898,G9
3,11111,22.077978,G9
3,11111,29.894125,G9
5,11111,11.146586,G9
0,0,0,G1
1,0,0,G1
2,0,5.416896,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
1,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
4,1101,16.548107,G0
3,1101,14.510384,G0
3,1101,14.342751,G0
5,1101,24.003157,G0
3,1101,13.945426,G0
3,1101,14.527101,G0
3,1101,14.004051,G0
2,1101,22.023912,G0
4,1101,16.006475,G0
4,1101,15.417848,G0
1,1000,0,G2
0,1000,0,G2
0,1000,0,G2
0,1000,0,G2
1,1000,0,G2
1,1000,0,G2
1,1000,0,G2
0,1000,0,G2
1,1000,0,G2
1,1000,0,G2
2,1,49.595951,G3
0,1,0,G3
2,1,53.400436,G3
1,1,0,G3
1,1,0,G3
1,1,0,G3
1,1,0,G3
1,1,0,G3
1,1,0,G3
1,1,0,G3
2,11000,50.252277,G4
2,11000,48.429398,G4
3,11000,29.924503,G4
2,11000,50.12207,G4
1,11000,0,G4
2,11000,49.292255,G4
1,11000,0,G4
3,11000,57.205299,G4
2,11000,50.425652,G4
3,11000,65.50779,G4
3,1100,32.543568,G5
3,1100,25.859247,G5
3,1100,30.070374,G5
2,1100,26.184465,G5
3,1100,28.065109,G5
2,1100,26.263199,G5
2,1100,27.691299,G5
2,1100,27.695864,G5
2,1100,28.322369,G5
3,1100,35.310863,G5
3,1110,12.993946,G6
3,1110,39.22271,G6
3,1110,13.663955,G6
4,1110,16.007074,G6
3,1110,11.522738,G6
3,1110,12.43867,G6
4,1110,13.015529,G6
4,1110,17.903217,G6
3,1110,12.717153,G6
3,1110,12.520615,G6
2,10001,53.090115,G7
2,10001,28.018694,G7
1,10001,0,G7
3,10001,15.145524,G7
3,10001,16.040144,G7
4,10001,18.946047,G7
2,10001,53.317043,G7
4,10001,73.7379,G7
4,10001,43.990543,G7
3,10001,68.384651,G7
3,11001,21.129341,G8
2,11001,35.649731,G8
3,11001,21.487328,G8
4,11001,72.484947,G8
3,11001,21.154732,G8
3,11001,22.493742,G8
3,11001,22.281046,G8
3,11001,20.742393,G8
3,11001,22.39427,G8
3,11001,22.674759,G8
5,11111,10.585863,G9
5,11111,9.982105,G9
5,11111,11.447453,G9
4,11111,14.678608,G9
4,11111,10.771594,G9
4,11111,10.517155,G9
5,11111,10.132499,G9
5,11111,9.755891,G9
5,11111,9.978333,G9
5,11111,9.092672,G9
1,0,0,G1
1,0,0,G1
1,0,0,G1
1,0,0,G1
1,0,0,G1
1,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
1,0,0,G1
3,1101,22.824327,G0
3,1101,22.040724,G0
3,1101,23.467112,G0
3,1101,23.512405,G0
3,1101,22.025862,G0
3,1101,23.582598,G0
3,1101,23.222326,G0
3,1101,22.955881,G0
4,1101,10.192906,G0
3,1101,22.540033,G0
1,1000,0,G2
1,1000,0,G2
1,1000,0,G2
1,1000,0,G2
1,1000,0,G2
1,1000,0,G2
1,1000,0,G2
1,1000,0,G2
1,1000,0,G2
1,1000,0,G2
1,1,0,G3
2,1,8.558611,G3
2,1,8.260798,G3
2,1,6.617039,G3
1,1,0,G3
1,1,0,G3
1,1,0,G3
2,1,6.362509,G3
1,1,0,G3
1,1,0,G3
3,11000,33.296272,G4
2,11000,50.63102,G4
2,11000,55.133663,G4
3,11000,33.506176,G4
3,11000,34.142021,G4
3,11000,34.076229,G4
3,11000,33.88287,G4
3,11000,33.99649,G4
3,11000,33.043938,G4
2,11000,55.099251,G4
2,1100,27.466497,G5
2,1100,27.646662,G5
2,1100,27.798517,G5
2,1100,27.890408,G5
2,1100,27.676783,G5
2,1100,27.788082,G5
2,1100,27.94903,G5
2,1100,28.034847,G5
2,1100,27.223623,G5
2,1100,27.652082,G5
3,1110,10.600265,G6
3,1110,12.493134,G6
3,1110,12.144472,G6
3,1110,12.252865,G6
3,1110,11.801364,G6
3,1110,11.276435,G6
3,1110,11.143898,G6
3,1110,11.084279,G6
3,1110,11.515809,G6
3,1110,10.676915,G6
2,10001,72.201683,G7
2,10001,72.33197,G7
2,10001,73.953262,G7
2,10001,72.239662,G7
2,10001,72.002129,G7
2,10001,71.816238,G7
2,10001,72.34948,G7
2,10001,72.178688,G7
2,10001,70.320694,G7
2,10001,71.736969,G7
3,11001,30.849527,G8
3,11001,31.945534,G8
4,11001,21.481026,G8
4,11001,21.277641,G8
3,11001,30.22794,G8
3,11001,30.293285,G8
3,11001,30.427029,G8
3,11001,29.231491,G8
3,11001,32.178814,G8
4,11001,18.19803,G8
5,11111,16.925793,G9
5,11111,14.389993,G9
5,11111,15.048035,G9
5,11111,15.112064,G9
5,11111,15.101608,G9
5,11111,14.763071,G9
5,11111,14.635629,G9
5,11111,14.770207,G9
5,11111,14.422077,G9
5,11111,14.827865,G9
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
3,1101,16.554995,G0
3,1101,16.697701,G0
3,1101,16.640194,G0
3,1101,17.435453,G0
3,1101,17.180277,G0
2,1101,19.8237,G0
3,1101,16.431669,G0
3,1101,17.089495,G0
3,1101,17.478935,G0
3,1101,15.793607,G0
1,1000,0,G2
0,1000,0,G2
1,1000,0,G2
1,1000,0,G2
1,1000,0,G2
1,1000,0,G2
1,1000,0,G2
1,1000,0,G2
1,1000,0,G2
1,1000,0,G2
0,1,0,G3
2,1,37.467548,G3
0,1,0,G3
0,1,0,G3
1,1,0,G3
0,1,0,G3
1,1,0,G3
1,1,0,G3
1,1,0,G3
0,1,0,G3
1,11000,0,G4
2,11000,43.335747,G4
2,11000,32.805344,G4
2,11000,44.423435,G4
2,11000,39.716812,G4
2,11000,47.848164,G4
2,11000,55.99432,G4
2,11000,47.99987,G4
2,11000,45.919861,G4
1,11000,0,G4
2,1100,21.402111,G5
2,1100,23.92918,G5
2,1100,16.443775,G5
0,1100,0,G5
2,1100,22.162588,G5
2,1100,22.216434,G5
2,1100,21.863609,G5
3,1100,10.608878,G5
0,1100,0,G5
0,1100,0,G5
2,1110,17.562973,G6
3,1110,9.360357,G6
1,1110,0,G6
3,1110,10.988033,G6
3,1110,11.582254,G6
2,1110,22.681602,G6
3,1110,11.771588,G6
1,1110,0,G6
1,1110,0,G6
3,1110,11.953943,G6
2,10001,37.84771,G7
2,10001,72.603188,G7
0,10001,0,G7
1,10001,0,G7
2,10001,70.606186,G7
2,10001,70.109825,G7
0,10001,0,G7
2,10001,70.54409,G7
2,10001,70.084503,G7
2,10001,70.591492,G7
3,11001,22.836306,G8
3,11001,23.786694,G8
2,11001,38.128246,G8
2,11001,31.819365,G8
3,11001,22.626364,G8
3,11001,23.33161,G8
3,11001,26.163639,G8
2,11001,37.014832,G8
3,11001,23.01911,G8
3,11001,24.572662,G8
5,11111,11.60432,G9
5,11111,15.68569,G9
5,11111,13.020551,G9
5,11111,13.174008,G9
5,11111,13.541288,G9
4,11111,13.963314,G9
5,11111,11.450706,G9
5,11111,11.691153,G9
5,11111,13.243307,G9
5,11111,11.963731,G9
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
1,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
3,1101,15.414836,G0
3,1101,15.732098,G0
3,1101,15.360113,G0
3,1101,15.894578,G0
3,1101,16.003513,G0
3,1101,16.262325,G0
3,1101,15.865169,G0
3,1101,14.827022,G0
3,1101,15.286278,G0
3,1101,15.282679,G0
0,1000,0,G2
0,1000,0,G2
0,1000,0,G2
0,1000,0,G2
0,1000,0,G2
0,1000,0,G2
0,1000,0,G2
0,1000,0,G2
0,1000,0,G2
0,1000,0,G2
1,1,0,G3
1,1,0,G3
1,1,0,G3
1,1,0,G3
0,1,0,G3
0,1,0,G3
0,1,0,G3
1,1,0,G3
1,1,0,G3
1,1,0,G3
2,11000,60.291145,G4
2,11000,65.190086,G4
2,11000,57.752979,G4
1,11000,0,G4
3,11000,39.172405,G4
1,11000,0,G4
2,11000,64.328163,G4
2,11000,64.884415,G4
2,11000,67.481865,G4
2,11000,65.172585,G4
2,1100,26.83696,G5
1,1100,0,G5
1,1100,0,G5
0,1100,0,G5
2,1100,31.140699,G5
2,1100,32.815556,G5
2,1100,28.256777,G5
2,1100,25.189964,G5
0,1100,0,G5
2,1100,27.55373,G5
3,1110,13.034572,G6
3,1110,12.882414,G6
3,1110,12.669732,G6
3,1110,12.510807,G6
3,1110,12.874411,G6
3,1110,12.64854,G6
3,1110,8.340778,G6
3,1110,12.481422,G6
3,1110,13.877941,G6
3,1110,14.421288,G6
2,10001,67.945549,G7
3,10001,17.541431,G7
3,10001,102.651253,G7
3,10001,17.548336,G7
2,10001,70.948708,G7
3,10001,16.00613,G7
2,10001,66.473228,G7
2,10001,66.771965,G7
2,10001,65.038383,G7
2,10001,66.394348,G7
4,11001,20.891115,G8
3,11001,31.38324,G8
3,11001,31.686392,G8
3,11001,27.707554,G8
3,11001,30.502422,G8
3,11001,30.108883,G8
3,11001,32.0201,G8
3,11001,30.925774,G8
3,11001,30.326429,G8
3,11001,29.19313,G8
5,11111,14.871129,G9
5,11111,15.45827,G9
5,11111,15.54511,G9
4,11111,18.85865,G9
5,11111,16.058281,G9
5,11111,14.938213,G9
5,11111,15.092463,G9
4,11111,19.273312,G9
5,11111,14.222714,G9
4,11111,18.356731,G9
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
3,1101,18.602095,G0
3,1101,19.103363,G0
3,1101,19.502136,G0
2,1101,54.984791,G0
3,1101,20.512224,G0
3,1101,21.153313,G0
3,1101,20.143066,G0
3,1101,18.271017,G0
1,1101,0,G0
3,1101,18.643627,G0
1,1000,0,G2
1,1000,0,G2
1,1000,0,G2
1,1000,0,G2
0,1000,0,G2
1,1000,0,G2
1,1000,0,G2
0,1000,0,G2
2,1000,33.111378,G2
1,1000,0,G2
1,1,0,G3
1,1,0,G3
1,1,0,G3
1,1,0,G3
1,1,0,G3
1,1,0,G3
1,1,0,G3
1,1,0,G3
1,1,0,G3
1,1,0,G3
1,11000,0,G4
3,11000,37.780254,G4
3,11000,37.759594,G4
2,11000,61.082603,G4
2,11000,57.431267,G4
2,11000,54.200619,G4
2,11000,54.161648,G4
2,11000,56.480007,G4
2,11000,57.925606,G4
2,11000,56.000134,G4
2,1100,26.642244,G5
2,1100,37.154068,G5
2,1100,34.104729,G5
1,1100,0,G5
2,1100,26.021835,G5
2,1100,24.800642,G5
1,1100,0,G5
2,1100,26.962458,G5
2,1100,26.692886,G5
2,1100,26.765795,G5
3,1110,14.419652,G6
3,1110,13.980266,G6
3,1110,13.790158,G6
3,1110,12.807755,G6
3,1110,12.728557,G6
3,1110,11.69571,G6
3,1110,12.744465,G6
3,1110,17.39362,G6
3,1110,14.064658,G6
3,1110,13.747697,G6
2,10001,65.847382,G7
1,10001,0,G7
1,10001,0,G7
2,10001,68.86422,G7
2,10001,71.958382,G7
2,10001,67.966751,G7
2,10001,65.299904,G7
2,10001,65.007561,G7
2,10001,65.652946,G7
2,10001,65.71978,G7
4,11001,17.425009,G8
3,11001,35.822414,G8
3,11001,35.181747,G8
4,11001,19.668652,G8
3,11001,36.476154,G8
3,11001,35.942204,G8
3,11001,37.097717,G8
3,11001,37.527866,G8
4,11001,20.820482,G8
3,11001,34.15572,G8
5,11111,11.699731,G9
5,11111,12.628167,G9
5,11111,12.207233,G9
5,11111,12.43906,G9
5,11111,11.927761,G9
5,11111,11.963775,G9
5,11111,10.038693,G9
5,11111,12.074634,G9
5,11111,11.922388,G9
5,11111,11.819717,G9
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
3,1101,18.811268,G0
3,1101,18.494146,G0
3,1101,19.315109,G0
2,1101,36.385403,G0
3,1101,19.130991,G0
3,1101,18.309029,G0
3,1101,18.866501,G0
3,1101,19.557667,G0
3,1101,19.083689,G0
3,1101,18.804966,G0
1,1000,0,G2
1,1000,0,G2
1,1000,0,G2
1,1000,0,G2
1,1000,0,G2
1,1000,0,G2
0,1000,0,G2
0,1000,0,G2
1,1000,0,G2
1,1000,0,G2
1,1,0,G3
1,1,0,G3
1,1,0,G3
1,1,0,G3
1,1,0,G3
1,1,0,G3
1,1,0,G3
1,1,0,G3
1,1,0,G3
1,1,0,G3
2,11000,58.086987,G4
2,11000,57.091476,G4
2,11000,56.859406,G4
2,11000,57.191746,G4
2,11000,55.289829,G4
2,11000,57.419991,G4
2,11000,55.999855,G4
2,11000,57.919682,G4
2,11000,55.645729,G4
2,11000,58.284771,G4
2,1100,31.363859,G5
2,1100,31.544939,G5
2,1100,30.578329,G5
1,1100,0,G5
2,1100,30.718582,G5
2,1100,31.152681,G5
2,1100,30.603867,G5
0,1100,0,G5
1,1100,0,G5
1,1100,0,G5
3,1110,15.984392,G6
3,1110,16.341978,G6
3,1110,15.018908,G6
3,1110,16.018679,G6
3,1110,16.434715,G6
3,1110,16.544458,G6
2,1110,46.536037,G6
3,1110,16.848862,G6
3,1110,17.554724,G6
3,1110,16.429516,G6
2,10001,72.915581,G7
2,10001,71.795464,G7
1,10001,0,G7
2,10001,74.483971,G7
2,10001,72.88903,G7
2,10001,71.345612,G7
2,10001,72.90947,G7
2,10001,73.319832,G7
2,10001,71.310219,G7
2,10001,72.125488,G7
3,11001,34.427608,G8
3,11001,32.089016,G8
4,11001,25.26207,G8
3,11001,33.60833,G8
4,11001,23.090273,G8
3,11001,32.88961,G8
3,11001,34.41729,G8
4,11001,23.938074,G8
3,11001,32.895592,G8
3,11001,34.254963,G8
5,11111,13.020841,G9
5,11111,14.066669,G9
5,11111,14.519238,G9
5,11111,15.189454,G9
5,11111,13.949447,G9
5,11111,14.054062,G9
5,11111,14.261609,G9
5,11111,13.942237,G9
5,11111,15.662137,G9
5,11111,16.114531,G9
1,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
1,0,0,G1
3,1101,20.222763,G0
3,1101,20.441021,G0
3,1101,20.348843,G0
3,1101,20.45669,G0
3,1101,20.165571,G0
3,1101,20.57765,G0
3,1101,20.532778,G0
3,1101,20.446411,G0
3,1101,20.291227,G0
3,1101,20.502003,G0
1,1000,0,G2
0,1000,0,G2
0,1000,0,G2
1,1000,0,G2
1,1000,0,G2
1,1000,0,G2
1,1000,0,G2
1,1000,0,G2
1,1000,0,G2
1,1000,0,G2
2,1,8.506701,G3
2,1,7.927714,G3
2,1,10.126935,G3
1,1,0,G3
1,1,0,G3
1,1,0,G3
1,1,0,G3
1,1,0,G3
3,1,4.00193,G3
2,1,5.273829,G3
2,11000,59.469852,G4
2,11000,61.977364,G4
3,11000,37.023201,G4
3,11000,36.108124,G4
2,11000,59.102325,G4
2,11000,58.927902,G4
2,11000,55.643902,G4
3,11000,35.484982,G4
3,11000,36.417511,G4
2,11000,58.243668,G4
3,1100,15.204402,G5
3,1100,15.611122,G5
2,1100,20.38121,G5
3,1100,13.163218,G5
2,1100,18.398626,G5
2,1100,20.161581,G5
2,1100,20.579874,G5
2,1100,21.918484,G5
2,1100,21.838837,G5
2,1100,22.028656,G5
3,1110,11.002748,G6
3,1110,11.471162,G6
3,1110,12.025717,G6
3,1110,11.960608,G6
3,1110,11.679926,G6
3,1110,11.151379,G6
3,1110,11.175306,G6
3,1110,11.454941,G6
3,1110,11.354268,G6
3,1110,10.899066,G6
2,10001,70.715561,G7
2,10001,75.25396,G7
2,10001,74.476662,G7
2,10001,74.238731,G7
3,10001,20.394182,G7
3,10001,20.787096,G7
3,10001,20.740063,G7
2,10001,74.622139,G7
2,10001,73.155258,G7
2,10001,71.551888,G7
3,11001,30.159611,G8
3,11001,30.68437,G8
3,11001,30.711941,G8
3,11001,29.33654,G8
3,11001,30.096943,G8
3,11001,29.834091,G8
3,11001,29.859224,G8
3,11001,30.1476,G8
4,11001,20.559805,G8
4,11001,19.986025,G8
5,11111,11.842862,G9
5,11111,12.286974,G9
5,11111,12.514143,G9
5,11111,12.39028,G9
5,11111,12.920377,G9
5,11111,12.921152,G9
5,11111,12.44127,G9
5,11111,12.405012,G9
5,11111,12.407364,G9
5,11111,11.703811,G9
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
2,1101,38.291283,G0
3,1101,12.934437,G0
3,1101,14.054604,G0
3,1101,14.077072,G0
3,1101,14.365895,G0
3,1101,12.984159,G0
3,1101,12.616647,G0
3,1101,18.986254,G0
3,1101,19.189852,G0
3,1101,17.983747,G0
0,1000,0,G2
1,1000,0,G2
4,1000,19.962561,G2
0,1000,0,G2
0,1000,0,G2
2,1000,31.299549,G2
0,1000,0,G2
1,1000,0,G2
1,1000,0,G2
1,1000,0,G2
1,1,0,G3
1,1,0,G3
1,1,0,G3
1,1,0,G3
1,1,0,G3
1,1,0,G3
1,1,0,G3
1,1,0,G3
1,1,0,G3
1,1,0,G3
2,11000,65.318405,G4
2,11000,65.491806,G4
2,11000,65.689003,G4
2,11000,65.159004,G4
2,11000,65.979103,G4
2,11000,66.501663,G4
2,11000,64.783302,G4
2,11000,64.950844,G4
3,11000,40.072521,G4
3,11000,40.057564,G4
2,1100,31.326227,G5
2,1100,31.055428,G5
2,1100,30.137165,G5
3,1100,21.077435,G5
2,1100,31.824545,G5
2,1100,31.048302,G5
2,1100,31.270361,G5
2,1100,28.455935,G5
2,1100,29.550285,G5
2,1100,30.557974,G5
3,1110,10.962829,G6
3,1110,15.889691,G6
3,1110,12.325838,G6
3,1110,12.433205,G6
3,1110,14.303123,G6
3,1110,13.794686,G6
3,1110,13.182417,G6
3,1110,11.863045,G6
4,1110,9.361637,G6
3,1110,12.254139,G6
3,10001,22.817312,G7
3,10001,20.961185,G7
2,10001,75.422852,G7
2,10001,74.180641,G7
2,10001,74.219231,G7
2,10001,74.716354,G7
3,10001,23.031393,G7
3,10001,21.26733,G7
3,10001,23.569609,G7
3,10001,23.718374,G7
3,11001,30.310886,G8
3,11001,28.906607,G8
3,11001,30.201185,G8
3,11001,28.250303,G8
3,11001,29.197598,G8
3,11001,28.757271,G8
3,11001,30.158821,G8
3,11001,29.526928,G8
3,11001,28.716925,G8
3,11001,30.587416,G8
5,11111,17.582968,G9
5,11111,16.574476,G9
5,11111,17.814692,G9
5,11111,16.344118,G9
5,11111,16.783291,G9
5,11111,16.749815,G9
5,11111,16.752924,G9
5,11111,17.123053,G9
5,11111,16.685291,G9
5,11111,16.747688,G9
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
2,1101,21.734158,G0
3,1101,14.578268,G0
3,1101,14.337141,G0
3,1101,14.679775,G0
3,1101,14.932344,G0
3,1101,14.591198,G0
3,1101,14.462708,G0
3,1101,15.354807,G0
3,1101,15.224584,G0
3,1101,14.201804,G0
0,1000,0,G2
0,1000,0,G2
0,1000,0,G2
1,1000,0,G2
1,1000,0,G2
0,1000,0,G2
1,1000,0,G2
2,1000,28.548655,G2
1,1000,0,G2
1,1000,0,G2
1,1,0,G3
1,1,0,G3
2,1,34.765259,G3
2,1,34.224747,G3
1,1,0,G3
1,1,0,G3
1,1,0,G3
2,1,36.180531,G3
2,1,36.066982,G3
1,1,0,G3
3,11000,30.251825,G4
2,11000,60.70116,G4
3,11000,35.075939,G4
2,11000,54.685745,G4
2,11000,53.386639,G4
2,11000,51.185894,G4
2,11000,51.708252,G4
2,11000,51.193108,G4
2,11000,44.698925,G4
3,11000,30.704094,G4
2,1100,25.002468,G5
2,1100,23.565407,G5
2,1100,23.554926,G5
3,1100,10.031334,G5
2,1100,24.546116,G5
2,1100,25.215828,G5
2,1100,24.850992,G5
2,1100,25.214664,G5
2,1100,24.994553,G5
2,1100,25.369968,G5
3,1110,14.840924,G6
3,1110,12.684095,G6
3,1110,15.127806,G6
3,1110,15.22063,G6
3,1110,14.385508,G6
3,1110,13.945935,G6
3,1110,14.153194,G6
3,1110,13.430962,G6
3,1110,13.968836,G6
3,1110,14.532871,G6
3,10001,23.504118,G7
2,10001,82.720444,G7
2,10001,81.116119,G7
2,10001,80.926994,G7
2,10001,80.907379,G7
3,10001,21.232676,G7
2,10001,82.205833,G7
2,10001,81.500969,G7
3,10001,21.868387,G7
3,10001,24.670237,G7
3,11001,30.617783,G8
3,11001,34.704384,G8
3,11001,35.282455,G8
3,11001,35.554012,G8
3,11001,34.389301,G8
3,11001,35.968494,G8
3,11001,35.45203,G8
3,11001,33.578201,G8
3,11001,33.527287,G8
3,11001,31.901363,G8
5,11111,14.343088,G9
5,11111,15.246058,G9
5,11111,14.282757,G9
1,11111,0,G9
5,11111,14.819567,G9
5,11111,14.600519,G9
5,11111,14.41014,G9
5,11111,14.054564,G9
5,11111,14.329936,G9
5,11111,14.97854,G9
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
2,1101,53.716637,G0
3,1101,16.303684,G0
3,1101,15.284665,G0
2,1101,34.194141,G0
2,1101,51.504112,G0
3,1101,19.310116,G0
2,1101,35.102348,G0
3,1101,19.004843,G0
3,1101,18.070929,G0
3,1101,18.38364,G0
1,1000,0,G2
0,1000,0,G2
0,1000,0,G2
1,1000,0,G2
1,1000,0,G2
1,1000,0,G2
1,1000,0,G2
0,1000,0,G2
1,1000,0,G2
1,1000,0,G2
2,1,16.691147,G3
3,1,9.21261,G3
0,1,0,G3
2,1,45.526752,G3
2,1,44.197433,G3
1,1,0,G3
1,1,0,G3
2,1,17.939102,G3
2,1,17.850607,G3
2,1,15.450723,G3
2,11000,57.733547,G4
3,11000,34.491798,G4
2,11000,58.437904,G4
2,11000,59.786705,G4
2,11000,58.666309,G4
2,11000,57.534866,G4
2,11000,58.0098,G4
2,11000,57.87122,G4
3,11000,35.042103,G4
3,11000,36.454254,G4
2,1100,26.799511,G5
2,1100,26.523029,G5
2,1100,26.755264,G5
2,1100,26.244251,G5
2,1100,26.312979,G5
2,1100,26.717085,G5
2,1100,26.890064,G5
2,1100,26.496378,G5
2,1100,26.524305,G5
2,1100,26.826714,G5
3,1110,13.46157,G6
