@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R3,6,12'

@attribute ratio numeric
@attribute fingersAreas numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0.012631,20.882399,G0
0.012653,20.860098,G0
0.012625,20.991903,G0
0.012654,21.261385,G0
0.01246,21.232153,G0
0.026022,19.8237,G0
0.012846,20.460182,G0
0.012614,21.052015,G0
0.01251,21.471386,G0
0.012624,20.57741,G0
1,1,G2
0,0,G2
1,1,G2
1,1,G2
1,1,G2
1,1,G2
1,1,G2
1,1,G2
1,1,G2
1,1,G2
0,0,G3
0.016718,37.467548,G3
0,0,G3
0,0,G3
1,1,G3
0,0,G3
1,1,G3
1,1,G3
1,1,G3
0,0,G3
1,1,G4
0.014298,43.335747,G4
0.017128,32.805344,G4
0.013906,44.423435,G4
0.016069,39.716812,G4
0.013521,47.848164,G4
0.011151,55.99432,G4
0.012976,47.99987,G4
0.013781,45.919861,G4
1,1,G4
0.024069,21.402111,G5
0.021582,23.92918,G5
0.020918,16.443775,G5
0,0,G5
0.02335,22.162588,G5
0.023011,22.216434,G5
0.023433,21.863609,G5
0.03708,15.804931,G5
0,0,G5
0,0,G5
0.029199,17.562973,G6
0.019888,13.202558,G6
1,1,G6
0.019445,13.649017,G6
0.019722,13.525636,G6
0.024261,22.681602,G6
0.021595,13.019904,G6
1,1,G6
1,1,G6
0.020074,13.217293,G6
0.016136,37.84771,G7
0.012156,72.603188,G7
0,0,G7
1,1,G7
0.010072,70.606186,G7
0.010905,70.109825,G7
0,0,G7
0.010467,70.54409,G7
0.010653,70.084503,G7
0.01051,70.591492,G7
0.010541,26.484047,G8
0.011822,23.794563,G8
0.015422,38.128246,G8
0.017883,31.819365,G8
0.011711,23.968681,G8
0.011191,25.091311,G8
0.011619,24.495312,G8
0.015418,37.014832,G8
0.010716,26.107718,G8
0.011375,24.757931,G8
0.009301,10.972218,G9
0.010669,6.586637,G9
0.009081,10.187063,G9
0.009167,10.263643,G9
0.009374,10.127734,G9
0.010555,15.87604,G9
0.009925,10.776596,G9
0.009157,11.155943,G9
0.009493,11.073741,G9
0.009193,11.279895,G9
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
1,1,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0.011755,21.950901,G0
0.012031,21.175959,G0
0.012075,21.540407,G0
0.011871,21.725775,G0
0.012626,19.810598,G0
0.011668,22.240541,G0
0.011908,20.829376,G0
0.012328,21.165833,G0
0.012007,21.224251,G0
0.011619,22.230488,G0
0,0,G2
0,0,G2
0,0,G2
0,0,G2
0,0,G2
0,0,G2
0,0,G2
0,0,G2
0,0,G2
0,0,G2
1,1,G3
1,1,G3
1,1,G3
1,1,G3
0,0,G3
0,0,G3
0,0,G3
1,1,G3
1,1,G3
1,1,G3
0.010671,60.291145,G4
0.010359,65.190086,G4
0.011767,57.752979,G4
1,1,G4
0.015074,19.895859,G4
1,1,G4
0.010832,64.328163,G4
0.009896,64.884415,G4
0.010102,67.481865,G4
0.010755,65.172585,G4
0.019291,26.83696,G5
1,1,G5
1,1,G5
0,0,G5
0.017318,31.140699,G5
0.016626,32.815556,G5
0.01844,28.256777,G5
0.020647,25.189964,G5
0,0,G5
0.018844,27.55373,G5
0.013852,18.980923,G6
0.013305,19.703587,G6
0.014167,18.328455,G6
0.014455,17.970846,G6
0.013917,18.655182,G6
0.01544,16.783241,G6
0.020546,12.948482,G6
0.012939,20.249958,G6
0.013425,20.156908,G6
0.014434,18.80793,G6
0.010607,67.945549,G7
0.010792,36.497276,G7
0.039201,124.514069,G7
0.011007,37.33736,G7
0.010328,70.948708,G7
0.011457,36.409126,G7
0.012013,66.473228,G7
0.010542,66.771965,G7
0.011021,65.038383,G7
0.010978,66.394348,G7
0.011977,20.396193,G8
0.010943,25.542887,G8
0.010353,27.315542,G8
0.011148,24.433315,G8
0.010735,26.35997,G8
0.011378,24.703197,G8
0.010599,26.63711,G8
0.010973,25.718967,G8
0.010902,25.982103,G8
0.01119,25.234972,G8
0.00869,15.185007,G9
0.008805,15.276175,G9
0.00888,15.187655,G9
0.008157,19.015265,G9
0.008863,15.613431,G9
0.008569,15.682833,G9
0.008891,15.486366,G9
0.008414,18.255842,G9
0.008162,9.37676,G9
0.008259,18.710051,G9
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0.010997,23.849249,G0
0.010501,24.9988,G0
0.010776,24.508358,G0
0.011858,54.984791,G0
0.01071,25.160847,G0
0.010442,25.775015,G0
0.010727,24.676746,G0
0.011027,23.645828,G0
1,1,G0
0.011043,23.794411,G0
1,1,G2
1,1,G2
1,1,G2
1,1,G2
0,0,G2
1,1,G2
1,1,G2
0,0,G2
0.016282,33.111378,G2
1,1,G2
1,1,G3
1,1,G3
1,1,G3
1,1,G3
1,1,G3
1,1,G3
1,1,G3
1,1,G3
1,1,G3
1,1,G3
1,1,G4
0.014551,20.527178,G4
0.014566,20.604887,G4
0.010941,61.082603,G4
0.011182,57.431267,G4
0.011336,54.200619,G4
0.011666,54.161648,G4
0.011657,56.480007,G4
0.01138,57.925606,G4
0.011634,56.000134,G4
0.019664,26.642244,G5
0.014532,37.154068,G5
0.015604,34.104729,G5
1,1,G5
0.020069,26.021835,G5
0.021022,24.800642,G5
1,1,G5
0.019412,26.962458,G5
0.01963,26.692886,G5
0.019562,26.765795,G5
0.013107,20.256214,G6
0.01544,17.047852,G6
0.015718,16.729675,G6
0.014902,17.787954,G6
0.015318,17.265451,G6
0.01588,16.213783,G6
0.013119,20.062643,G6
0.011717,22.757629,G6
0.012431,21.377962,G6
0.01289,20.55521,G6
0.0116,65.847382,G7
1,1,G7
1,1,G7
0.011294,68.86422,G7
0.010973,71.958382,G7
0.011744,67.966751,G7
0.011559,65.299904,G7
0.011198,65.007561,G7
0.011495,65.652946,G7
0.01161,65.71978,G7
0.01214,19.692427,G8
0.010342,26.485064,G8
0.010344,26.629318,G8
0.01162,20.762381,G8
0.010689,25.938713,G8
0.010542,26.409336,G8
0.010133,27.467936,G8
0.010362,26.583305,G8
0.011198,18.89397,G8
0.010683,25.939802,G8
0.009401,9.527532,G9
0.009056,9.668103,G9
0.00916,9.613049,G9
0.009228,9.570864,G9
0.00918,9.555344,G9
0.009104,9.51868,G9
0.009687,9.576638,G9
0.009032,9.988613,G9
0.009112,9.809388,G9
0.009408,9.195293,G9
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0.010461,26.168962,G0
0.010363,26.312696,G0
0.010171,27.028696,G0
0.015402,36.385403,G0
0.010308,26.946838,G0
0.010317,26.449289,G0
0.010817,26.165817,G0
0.010496,26.78388,G0
0.010388,26.587257,G0
0.010418,26.258286,G0
1,1,G2
1,1,G2
1,1,G2
1,1,G2
1,1,G2
1,1,G2
0,0,G2
0,0,G2
1,1,G2
1,1,G2
1,1,G3
1,1,G3
1,1,G3
1,1,G3
1,1,G3
1,1,G3
1,1,G3
1,1,G3
1,1,G3
1,1,G3
0.011639,58.086987,G4
0.011862,57.091476,G4
0.011523,56.859406,G4
0.011721,57.191746,G4
0.012125,55.289829,G4
0.011791,57.419991,G4
0.011351,55.999855,G4
0.011431,57.919682,G4
0.011824,55.645729,G4
0.011446,58.284771,G4
0.016832,31.363859,G5
0.016675,31.544939,G5
0.017061,30.578329,G5
1,1,G5
0.016956,30.718582,G5
0.016701,31.152681,G5
0.016971,30.603867,G5
0,0,G5
1,1,G5
1,1,G5
0.012424,21.632675,G6
0.012309,21.888054,G6
0.012357,21.601242,G6
0.012571,21.487022,G6
0.012763,21.360723,G6
0.012316,21.818707,G6
0.012485,46.536037,G6
0.012216,22.232635,G6
0.012516,22.062029,G6
0.012445,21.714144,G6
0.010801,72.915581,G7
0.011388,71.795464,G7
1,1,G7
0.0107,74.483971,G7
0.011124,72.88903,G7
0.011312,71.345612,G7
0.011173,72.90947,G7
0.010702,73.319832,G7
0.010932,71.310219,G7
0.010848,72.125488,G7
0.008996,31.338329,G8
0.009281,29.624895,G8
0.011168,20.945076,G8
0.010148,27.066563,G8
0.010693,20.89237,G8
0.009052,30.838646,G8
0.008512,33.216892,G8
0.011354,19.724712,G8
0.010163,26.856787,G8
0.009547,28.943487,G8
0.008783,9.225645,G9
0.008426,8.554334,G9
0.008556,7.527702,G9
0.008185,9.265546,G9
0.007362,13.013872,G9
0.008676,7.865595,G9
0.008685,7.158701,G9
0.008776,8.319952,G9
0.008702,9.097486,G9
0.008956,7.326109,G9
1,1,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
1,1,G1
0.011307,23.832621,G0
0.010904,24.683174,G0
0.011255,24.046339,G0
0.011287,24.023407,G0
0.011129,24.130436,G0
0.011039,24.313951,G0
0.010968,24.521149,G0
0.011322,24.014828,G0
0.01158,23.529587,G0
0.011329,23.898355,G0
1,1,G2
0,0,G2
0,0,G2
1,1,G2
1,1,G2
1,1,G2
1,1,G2
1,1,G2
1,1,G2
1,1,G2
0.024133,8.506701,G3
0.023477,7.927714,G3
0.021554,10.126935,G3
1,1,G3
1,1,G3
1,1,G3
1,1,G3
1,1,G3
0.039145,23.497416,G3
0.027346,5.273829,G3
0.010905,59.469852,G4
0.011146,61.977364,G4
0.017089,17.686871,G4
0.017418,16.85124,G4
0.011381,59.102325,G4
0.011122,58.927902,G4
0.013049,55.643902,G4
0.017487,16.527731,G4
0.01771,16.144819,G4
0.011279,58.243668,G4
0.014206,11.685607,G5
0.014545,12.096399,G5
0.025436,20.38121,G5
0.01414,13.059745,G5
0.028021,18.398626,G5
0.02538,20.161581,G5
0.02514,20.579874,G5
0.023528,21.918484,G5
0.023566,21.838837,G5
0.023388,22.028656,G5
0.0158,16.657824,G6
0.015035,17.518053,G6
0.014336,18.369394,G6
0.015322,17.416874,G6
0.015003,17.6022,G6
0.014944,17.486063,G6
0.015104,17.368622,G6
0.015812,16.699467,G6
0.016373,16.363829,G6
0.016061,16.45619,G6
0.010642,70.715561,G7
0.010463,75.25396,G7
0.010477,74.476662,G7
0.010356,74.238731,G7
0.011348,38.641808,G7
0.012521,38.536831,G7
0.011754,38.583569,G7
0.01052,74.622139,G7
0.010421,73.155258,G7
0.010648,71.551888,G7
0.010382,26.781996,G8
0.009778,28.80545,G8
0.009836,28.613096,G8
0.010311,27.207085,G8
0.010131,27.657455,G8
0.01019,27.518652,G8
0.010273,27.286549,G8
0.009943,28.26943,G8
0.010788,22.030617,G8
0.012367,19.272738,G8
0.009987,8.117502,G9
0.008943,10.38061,G9
0.008941,10.620007,G9
0.008798,10.668647,G9
0.008872,10.380974,G9
0.00901,10.107798,G9
0.008726,10.786802,G9
0.00866,10.873189,G9
0.009008,10.106714,G9
0.009706,8.679494,G9
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0.014926,38.291283,G0
0.013496,18.480722,G0
0.013251,19.38308,G0
0.012943,20.122631,G0
0.014201,16.8874,G0
0.013723,17.594244,G0
0.014019,17.135557,G0
0.011053,24.73082,G0
0.010994,24.597374,G0
0.01129,23.893164,G0
0,0,G2
1,1,G2
0.00964,13.236033,G2
0,0,G2
0,0,G2
0.018964,31.299549,G2
0,0,G2
1,1,G2
1,1,G2
1,1,G2
1,1,G3
1,1,G3
1,1,G3
1,1,G3
1,1,G3
1,1,G3
1,1,G3
1,1,G3
1,1,G3
1,1,G3
0.010681,65.318405,G4
0.010645,65.491806,G4
0.01056,65.689003,G4
0.010659,65.159004,G4
0.01047,65.979103,G4
0.010476,66.501663,G4
0.01065,64.783302,G4
0.010661,64.950844,G4
0.017065,16.796658,G4
0.016712,18.161686,G4
0.016788,31.326227,G5
0.016886,31.055428,G5
0.017352,30.137165,G5
0.01326,13.325322,G5
0.016477,31.824545,G5
0.016847,31.048302,G5
0.016809,31.270361,G5
0.018528,28.455935,G5
0.017781,29.550285,G5
0.017231,30.557974,G5
0.015592,16.533199,G6
0.016209,16.692812,G6
0.01567,16.806068,G6
0.014326,18.324083,G6
0.014515,18.348501,G6
0.012976,20.432085,G6
0.012967,20.292376,G6
0.013893,19.460609,G6
0.011418,10.994694,G6
0.014028,18.556179,G6
0.010612,35.495674,G7
0.010154,35.866348,G7
0.010363,75.422852,G7
0.010019,74.180641,G7
0.010007,74.219231,G7
0.010192,74.716354,G7
0.009714,36.625576,G7
0.0115,37.01638,G7
0.00987,36.231289,G7
0.010257,35.962658,G7
0.010319,27.756029,G8
0.009411,29.875498,G8
0.009746,29.024912,G8
0.009429,29.770184,G8
0.009713,29.067978,G8
0.009941,28.48715,G8
0.01037,27.552652,G8
0.010276,27.772738,G8
0.010529,27.101961,G8
0.010406,27.459078,G8
0.008084,10.199184,G9
0.008211,9.973606,G9
0.008098,9.548086,G9
0.008204,9.867544,G9
0.008105,10.096302,G9
0.007831,11.216157,G9
0.008011,10.16984,G9
0.007937,10.423194,G9
0.007892,10.940663,G9
0.008156,9.712573,G9
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0.024175,21.734158,G0
0.013,19.993917,G0
0.013446,19.555384,G0
0.013456,19.365208,G0
0.012738,20.266689,G0
0.013126,19.79883,G0
0.012857,20.033066,G0
0.01325,19.965027,G0
0.013314,19.920025,G0
0.013604,19.343338,G0
0,0,G2
0,0,G2
0,0,G2
1,1,G2
1,1,G2
0,0,G2
1,1,G2
0.017633,28.548655,G2
1,1,G2
1,1,G2
1,1,G3
1,1,G3
0.017241,34.765259,G3
0.017467,34.224747,G3
1,1,G3
1,1,G3
1,1,G3
0.016905,36.180531,G3
0.018043,36.066982,G3
1,1,G3
0.017477,16.175514,G4
0.011343,60.70116,G4
0.017351,17.382874,G4
0.01216,54.685745,G4
0.01233,53.386639,G4
0.012639,51.185894,G4
0.012517,51.708252,G4
0.012831,51.193108,G4
0.014258,44.698925,G4
0.017062,16.62011,G4
0.021052,25.002468,G5
0.022052,23.565407,G5
0.022395,23.554926,G5
0.031525,15.145056,G5
0.021207,24.546116,G5
0.020503,25.215828,G5
0.02077,24.850992,G5
0.020459,25.214664,G5
0.021021,24.994553,G5
0.02039,25.369968,G5
0.015135,18.557529,G6
0.014573,18.255926,G6
0.013595,19.867907,G6
0.013738,19.679625,G6
0.013736,19.505756,G6
0.013928,19.208815,G6
0.013876,19.328939,G6
0.013807,19.36241,G6
0.01415,19.149912,G6
0.014919,18.686802,G6
0.011148,41.65036,G7
0.011434,82.720444,G7
0.011219,81.116119,G7
0.010902,80.926994,G7
0.010432,80.907379,G7
0.010954,41.784081,G7
0.011662,82.205833,G7
0.011852,81.500969,G7
0.011112,41.573215,G7
0.010802,40.703354,G7
0.009672,28.566439,G8
0.009761,28.018316,G8
0.009541,28.954542,G8
0.009822,27.851723,G8
0.009685,28.691843,G8
0.009611,28.550556,G8
0.009718,28.659933,G8
0.009771,28.599651,G8
0.009682,28.649254,G8
0.009763,28.403507,G8
0.008987,9.350569,G9
0.008941,9.392378,G9
0.008827,10.128499,G9
1,1,G9
0.008749,8.479247,G9
0.008624,9.791775,G9
0.008786,9.295431,G9
0.008948,9.519137,G9
0.008825,9.536864,G9
0.008881,9.057203,G9
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0.013042,53.716637,G0
0.011495,24.80554,G0
0.010895,25.275877,G0
0.016768,34.194141,G0
0.012894,51.504112,G0
0.012687,21.811625,G0
0.016537,35.102348,G0
0.012489,21.862902,G0
0.012102,22.217758,G0
0.011832,22.614595,G0
1,1,G2
0,0,G2
0,0,G2
1,1,G2
1,1,G2
1,1,G2
1,1,G2
0,0,G2
1,1,G2
1,1,G2
0.02319,16.691147,G3
0.016277,24.849894,G3
0,0,G3
0.014628,45.526752,G3
0.01504,44.197433,G3
1,1,G3
1,1,G3
0.02276,17.939102,G3
0.022718,17.850607,G3
0.024239,15.450723,G3
0.012037,57.733547,G4
0.018735,16.182154,G4
0.012,58.437904,G4
0.011555,59.786705,G4
0.011652,58.666309,G4
0.011781,57.534866,G4
0.011935,58.0098,G4
0.011958,57.87122,G4
0.018791,15.781429,G4
0.017666,16.716682,G4
0.019785,26.799511,G5
0.020119,26.523029,G5
0.01997,26.755264,G5
0.020287,26.244251,G5
0.020168,26.312979,G5
0.019834,26.717085,G5
0.019846,26.890064,G5
0.020116,26.496378,G5
0.020067,26.524305,G5
0.019847,26.826714,G5
0.014743,18.025486,G6
0.015098,17.637281,G6
0.014547,18.207529,G6
0.014449,18.219372,G6
0.014934,17.69631,G6
0.014813,17.821014,G6
0.015164,17.335661,G6
0.014885,17.592731,G6
0.015116,17.603882,G6
0.014977,17.810316,G6
0.010438,39.861755,G7
0.010795,82.571655,G7
0.010652,82.437241,G7
0.010717,82.739212,G7
0.011471,80.042664,G7
0.011236,78.914314,G7
0.010897,78.811905,G7
0.010884,40.46273,G7
0.010807,39.887405,G7
0.011076,79.482819,G7
0.011049,26.204308,G8
0.0108,24.79183,G8
0.011102,24.118744,G8
0.011007,25.001337,G8
0.010856,25.581793,G8
0.009815,28.661814,G8
0.012549,47.382343,G8
0.012129,48.159908,G8
0.01254,47.962708,G8
0.00966,29.155731,G8
0.009456,9.527705,G9
0.009113,8.633718,G9
0.008982,8.977702,G9
0.009393,8.315694,G9
0.010939,15.491269,G9
0.009364,9.337612,G9
0.009404,9.314081,G9
0.009125,9.637558,G9
0.009162,9.212627,G9
0.011123,15.011228,G9
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
1,1,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0.015583,36.431053,G0
0.011402,23.114275,G0
0.011398,23.020868,G0
0.011594,24.162859,G0
0.013536,19.540651,G0
0.011151,24.14156,G0
0.011191,24.249035,G0
0.011357,24.816206,G0
0.010831,26.016773,G0
0.013881,21.662022,G0
1,1,G2
0.020163,15.263703,G2
1,1,G2
1,1,G2
0.02079,15.096219,G2
1,1,G2
1,1,G2
1,1,G2
1,1,G2
1,1,G2
1,1,G3
0,0,G3
1,1,G3
1,1,G3
1,1,G3
1,1,G3
0.015459,39.014492,G3
0.024163,18.054581,G3
1,1,G3
1,1,G3
0.01132,64.775955,G4
0.010736,72.325745,G4
0.011071,70.673332,G4
