@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R1,2,3,5,22'

@attribute numFingers numeric
@attribute fingersExtended numeric
@attribute ratio numeric
@attribute Max_Y numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data
2,1000,0.019961,1.024957,G2
2,1000,0.019659,1.0396,G2
2,1000,0.019598,1.060463,G2
2,1000,0.019374,0.939747,G2
1,1,1,0.843878,G3
1,1,1,0.808117,G3
1,1,1,0.901246,G3
1,1,1,0.9465,G3
1,1,1,0.887323,G3
1,1,1,0.942052,G3
2,1,0.01554,1.277046,G3
1,1,1,0.864457,G3
1,1,1,0.831736,G3
1,1,1,0.8412,G3
2,11000,0.012328,1.007392,G4
2,11000,0.011536,1.03995,G4
2,11000,0.011128,0.995725,G4
3,11000,0.016534,1.404686,G4
3,11000,0.017193,1.494884,G4
3,11000,0.015802,1.271162,G4
3,11000,0.015629,1.291995,G4
3,11000,0.015646,1.089693,G4
2,11000,0.012082,0.903819,G4
2,11000,0.01208,0.939392,G4
2,1100,0.0152,0.887494,G5
2,1100,0.015219,0.925899,G5
2,1100,0.014849,0.88639,G5
3,1100,0.011702,2.267486,G5
2,1100,0.015345,0.888379,G5
2,1100,0.015076,0.867388,G5
2,1100,0.015137,0.891259,G5
2,1100,0.015417,0.913023,G5
2,1100,0.015915,0.896674,G5
2,1100,0.01531,0.843593,G5
3,1110,0.016703,0.949435,G6
4,1110,0.018297,1.252604,G6
3,1110,0.014526,0.811824,G6
3,1110,0.015055,0.937772,G6
3,1110,0.01664,1.043624,G6
3,1110,0.016096,0.979963,G6
3,1110,0.016718,0.917098,G6
3,1110,0.016642,0.901396,G6
3,1110,0.016364,0.866462,G6
3,1110,0.016364,0.956087,G6
2,10001,0.009295,0.518405,G7
3,10001,0.010929,0.908251,G7
3,10001,0.010705,0.783362,G7
2,10001,0.010597,0.900812,G7
2,10001,0.010411,0.870361,G7
3,10001,0.010765,0.805686,G7
4,10001,0.01063,1.08874,G7
4,10001,0.012277,1.285265,G7
4,10001,0.012637,1.449588,G7
4,10001,0.012722,1.142757,G7
4,11001,0.014992,1.977088,G8
2,11001,0.014084,1.033955,G8
3,11001,0.010925,1.165574,G8
3,11001,0.011431,0.956686,G8
3,11001,0.011112,0.993523,G8
3,11001,0.011275,1.031452,G8
3,11001,0.011513,1.177462,G8
3,11001,0.01142,1.209937,G8
4,11001,0.012065,1.195472,G8
4,11001,0.016023,2.391885,G8
5,11111,0.009365,1.349664,G9
5,11111,0.009064,1.367724,G9
5,11111,0.00898,1.302834,G9
5,11111,0.009104,1.302651,G9
5,11111,0.0092,1.310955,G9
5,11111,0.0099,1.300923,G9
5,11111,0.009947,1.339228,G9
3,11111,0.010154,1.136419,G9
3,11111,0.010568,1.357636,G9
5,11111,0.009201,1.307832,G9
0,0,0,0,G1
1,0,1,-0.436434,G1
2,0,0.084103,-0.577997,G1
0,0,0,0,G1
0,0,0,0,G1
0,0,0,0,G1
1,0,1,0.62587,G1
0,0,0,0,G1
0,0,0,0,G1
0,0,0,0,G1
4,1101,0.012041,1.653102,G0
3,1101,0.013015,1.011152,G0
3,1101,0.013016,1.065574,G0
5,1101,0.02434,3.374366,G0
3,1101,0.012943,0.929811,G0
3,1101,0.01283,0.937605,G0
3,1101,0.013519,0.962773,G0
2,1101,0.023369,0.848819,G0
4,1101,0.012594,1.621572,G0
4,1101,0.012185,1.746894,G0
1,1000,1,0.691537,G2
0,1000,0,0,G2
0,1000,0,0,G2
0,1000,0,0,G2
1,1000,1,0.645461,G2
1,1000,1,0.73004,G2
1,1000,1,0.817998,G2
0,1000,0,0,G2
1,1000,1,0.715518,G2
1,1000,1,0.765787,G2
2,1,0.021951,2.687721,G3
0,1,0,0,G3
2,1,0.016166,1.57313,G3
1,1,1,0.854765,G3
1,1,1,0.895916,G3
1,1,1,0.85043,G3
1,1,1,0.866428,G3
1,1,1,0.823966,G3
1,1,1,0.803636,G3
1,1,1,0.808144,G3
2,11000,0.012878,1.103987,G4
2,11000,0.01306,1.115498,G4
3,11000,0.01925,1.460319,G4
2,11000,0.012842,1.124563,G4
1,11000,1,0.261743,G4
2,11000,0.012948,1.15236,G4
1,11000,1,0.149529,G4
3,11000,0.022598,2.584348,G4
2,11000,0.012736,1.120862,G4
3,11000,0.024596,3.074546,G4
3,1100,0.038341,1.608927,G5
3,1100,0.012941,1.275522,G5
3,1100,0.013449,1.844815,G5
2,1100,0.019839,0.717603,G5
3,1100,0.012127,1.570754,G5
2,1100,0.019658,0.701412,G5
2,1100,0.018716,0.731091,G5
2,1100,0.018838,0.831773,G5
2,1100,0.018583,0.82368,G5
3,1100,0.039843,1.71031,G5
3,1110,0.013051,0.829726,G6
3,1110,0.012564,1.753694,G6
3,1110,0.01325,0.876376,G6
4,1110,0.009914,1.39442,G6
3,1110,0.013093,0.7709,G6
3,1110,0.013391,0.785042,G6
4,1110,0.010097,1.313331,G6
4,1110,0.012,0.913673,G6
3,1110,0.012938,0.865698,G6
3,1110,0.013074,0.913107,G6
2,10001,0.010995,0.783446,G7
2,10001,0.018794,0.71422,G7
1,10001,1,0.682302,G7
3,10001,0.011389,0.982685,G7
3,10001,0.011811,0.829572,G7
4,10001,0.013733,1.705116,G7
2,10001,0.011211,1.017446,G7
4,10001,0.025956,-4.037921,G7
4,10001,0.027612,3.744629,G7
3,10001,0.015468,2.149701,G7
3,11001,0.014554,1.070538,G8
2,11001,0.016555,1.079445,G8
3,11001,0.013906,1.041452,G8
4,11001,0.040954,-5.929143,G8
3,11001,0.0143,1.018776,G8
3,11001,0.0143,1.080394,G8
3,11001,0.013716,1.171522,G8
3,11001,0.013726,1.207806,G8
3,11001,0.014045,1.092935,G8
3,11001,0.01463,1.049074,G8
5,11111,0.009553,1.059274,G9
5,11111,0.010038,0.910056,G9
5,11111,0.010154,1.12397,G9
4,11111,0.01013,1.244326,G9
4,11111,0.010769,0.988158,G9
4,11111,0.010833,0.742008,G9
5,11111,0.009926,0.971874,G9
5,11111,0.009939,0.942821,G9
5,11111,0.010001,0.964272,G9
5,11111,0.009463,1.080709,G9
1,0,1,0.513998,G1
1,0,1,0.584972,G1
1,0,1,0.537501,G1
1,0,1,0.532832,G1
1,0,1,0.469594,G1
1,0,1,0.47517,G1
0,0,0,0,G1
0,0,0,0,G1
0,0,0,0,G1
1,0,1,0.527928,G1
3,1101,0.009691,1.074775,G0
3,1101,0.010008,1.182609,G0
3,1101,0.009704,1.164044,G0
3,1101,0.0098,1.075516,G0
3,1101,0.009855,1.051815,G0
3,1101,0.009939,1.089669,G0
3,1101,0.010025,1.02905,G0
3,1101,0.010064,0.944636,G0
4,1101,0.011507,1.118087,G0
3,1101,0.009828,1.070149,G0
1,1000,1,0.413412,G2
1,1000,1,0.81329,G2
1,1000,1,0.787667,G2
1,1000,1,0.800882,G2
1,1000,1,0.713245,G2
1,1000,1,0.855622,G2
1,1000,1,0.608424,G2
1,1000,1,0.461732,G2
1,1000,1,0.601262,G2
1,1000,1,0.602885,G2
1,1,1,0.555626,G3
2,1,0.027471,0.653779,G3
2,1,0.027034,0.592454,G3
2,1,0.027406,0.828634,G3
1,1,1,0.639066,G3
1,1,1,0.655908,G3
1,1,1,0.707425,G3
2,1,0.032967,0.872807,G3
1,1,1,0.467815,G3
1,1,1,0.433847,G3
3,11000,0.017313,1.100329,G4
2,11000,0.012781,0.466721,G4
2,11000,0.011889,0.861769,G4
3,11000,0.016734,1.135414,G4
3,11000,0.01771,1.254171,G4
3,11000,0.017813,1.342452,G4
3,11000,0.017429,1.219558,G4
3,11000,0.017021,1.180501,G4
3,11000,0.017078,1.10555,G4
2,11000,0.011987,0.979685,G4
2,1100,0.019279,0.558474,G5
2,1100,0.019031,0.773781,G5
2,1100,0.018852,0.804876,G5
2,1100,0.018789,0.767767,G5
2,1100,0.019128,0.794308,G5
2,1100,0.018975,0.705901,G5
2,1100,0.018805,0.703821,G5
2,1100,0.018422,0.783468,G5
2,1100,0.019224,0.700131,G5
2,1100,0.018755,0.636403,G5
3,1110,0.015212,0.972516,G6
3,1110,0.015099,1.014125,G6
3,1110,0.015395,1.031472,G6
3,1110,0.015289,1.009359,G6
3,1110,0.015566,0.88497,G6
3,1110,0.015577,0.826688,G6
3,1110,0.015452,0.853461,G6
3,1110,0.015818,0.861331,G6
3,1110,0.01405,1.035168,G6
3,1110,0.014772,1.004307,G6
2,10001,0.011602,1.206629,G7
2,10001,0.010613,1.044722,G7
2,10001,0.010653,1.029672,G7
2,10001,0.010793,0.965388,G7
2,10001,0.010667,0.962683,G7
2,10001,0.010679,1.056092,G7
2,10001,0.010435,1.032187,G7
2,10001,0.010907,0.979077,G7
2,10001,0.012078,0.773504,G7
2,10001,0.012448,0.795194,G7
3,11001,0.009312,1.059212,G8
3,11001,0.009687,1.076568,G8
4,11001,0.010678,0.919678,G8
4,11001,0.010698,1.107732,G8
3,11001,0.009731,0.837593,G8
3,11001,0.009711,0.942505,G8
3,11001,0.009788,1.022956,G8
3,11001,0.009503,0.890381,G8
3,11001,0.009626,0.721406,G8
4,11001,0.010783,0.659854,G8
5,11111,0.008834,1.085027,G9
5,11111,0.0082,1.343303,G9
5,11111,0.007958,1.26462,G9
5,11111,0.008063,1.095991,G9
5,11111,0.008047,1.082165,G9
5,11111,0.008023,0.949379,G9
5,11111,0.008293,0.787352,G9
5,11111,0.008237,1.035568,G9
5,11111,0.008358,1.116737,G9
5,11111,0.008271,1.061109,G9
0,0,0,0,G1
0,0,0,0,G1
0,0,0,0,G1
0,0,0,0,G1
0,0,0,0,G1
0,0,0,0,G1
0,0,0,0,G1
0,0,0,0,G1
0,0,0,0,G1
0,0,0,0,G1
3,1101,0.012631,1.002696,G0
3,1101,0.012653,1.083003,G0
3,1101,0.012625,0.902968,G0
3,1101,0.012654,0.954368,G0
3,1101,0.01246,0.95313,G0
2,1101,0.026022,0.637863,G0
3,1101,0.012846,0.725178,G0
3,1101,0.012614,0.656027,G0
3,1101,0.01251,0.975539,G0
3,1101,0.012624,0.942541,G0
1,1000,1,0.705502,G2
0,1000,0,0,G2
1,1000,1,0.535409,G2
1,1000,1,0.593751,G2
1,1000,1,0.731584,G2
1,1000,1,0.700807,G2
1,1000,1,0.490158,G2
1,1000,1,0.443086,G2
1,1000,1,0.698579,G2
1,1000,1,0.734569,G2
0,1,0,0,G3
2,1,0.016718,0.84771,G3
0,1,0,0,G3
0,1,0,0,G3
1,1,1,0.625731,G3
0,1,0,0,G3
1,1,1,0.788017,G3
1,1,1,0.777787,G3
1,1,1,0.871298,G3
0,1,0,0,G3
1,11000,1,0.404073,G4
2,11000,0.014298,1.207832,G4
2,11000,0.017128,0.849024,G4
2,11000,0.013906,0.793335,G4
2,11000,0.016069,0.450618,G4
2,11000,0.013521,0.679362,G4
2,11000,0.011151,0.869945,G4
2,11000,0.012976,0.954483,G4
2,11000,0.013781,0.678877,G4
1,11000,1,0.420077,G4
2,1100,0.024069,0.572572,G5
2,1100,0.021582,0.785725,G5
2,1100,0.020918,1.157577,G5
0,1100,0,0,G5
2,1100,0.02335,0.734557,G5
2,1100,0.023011,0.676725,G5
2,1100,0.023433,0.711991,G5
3,1100,0.03708,1.109469,G5
0,1100,0,0,G5
0,1100,0,0,G5
2,1110,0.029199,0.636413,G6
3,1110,0.019888,0.889369,G6
1,1110,1,0.570999,G6
3,1110,0.019445,0.950306,G6
3,1110,0.019722,0.825631,G6
2,1110,0.024261,0.909745,G6
3,1110,0.021595,0.966036,G6
1,1110,1,0.791876,G6
1,1110,1,0.54199,G6
3,1110,0.020074,0.889428,G6
2,10001,0.016136,0.473931,G7
2,10001,0.012156,1.121157,G7
0,10001,0,0,G7
1,10001,1,0.136272,G7
2,10001,0.010072,0.33766,G7
2,10001,0.010905,0.367019,G7
0,10001,0,0,G7
2,10001,0.010467,0.706372,G7
2,10001,0.010653,0.576606,G7
2,10001,0.01051,0.52991,G7
3,11001,0.010541,0.971917,G8
3,11001,0.011822,1.302132,G8
2,11001,0.015422,0.975185,G8
2,11001,0.017883,0.721539,G8
3,11001,0.011711,0.877267,G8
3,11001,0.011191,0.768287,G8
3,11001,0.011619,0.791049,G8
2,11001,0.015418,0.705051,G8
3,11001,0.010716,0.935331,G8
3,11001,0.011375,1.031711,G8
5,11111,0.009301,0.908757,G9
5,11111,0.010669,1.385827,G9
5,11111,0.009081,0.861541,G9
5,11111,0.009167,1.090867,G9
5,11111,0.009374,0.798409,G9
4,11111,0.010555,0.941229,G9
5,11111,0.009925,1.119402,G9
5,11111,0.009157,1.052011,G9
5,11111,0.009493,0.948001,G9
5,11111,0.009193,0.877846,G9
0,0,0,0,G1
0,0,0,0,G1
0,0,0,0,G1
0,0,0,0,G1
0,0,0,0,G1
1,0,1,-0.371725,G1
0,0,0,0,G1
0,0,0,0,G1
0,0,0,0,G1
0,0,0,0,G1
3,1101,0.011755,1.025194,G0
3,1101,0.012031,1.148941,G0
3,1101,0.012075,1.146282,G0
3,1101,0.011871,1.153117,G0
3,1101,0.012626,1.17592,G0
3,1101,0.011668,1.15498,G0
3,1101,0.011908,1.150069,G0
3,1101,0.012328,1.096475,G0
3,1101,0.012007,1.04504,G0
3,1101,0.011619,1.052926,G0
0,1000,0,0,G2
0,1000,0,0,G2
0,1000,0,0,G2
0,1000,0,0,G2
0,1000,0,0,G2
0,1000,0,0,G2
0,1000,0,0,G2
0,1000,0,0,G2
0,1000,0,0,G2
0,1000,0,0,G2
1,1,1,0.606668,G3
1,1,1,0.674613,G3
1,1,1,0.695482,G3
1,1,1,0.661723,G3
0,1,0,0,G3
0,1,0,0,G3
0,1,0,0,G3
1,1,1,0.709123,G3
1,1,1,0.704317,G3
1,1,1,0.690093,G3
2,11000,0.010671,1.031965,G4
2,11000,0.010359,1.126038,G4
2,11000,0.011767,1.089101,G4
1,11000,1,0.076166,G4
3,11000,0.015074,1.300608,G4
1,11000,1,0.04864,G4
2,11000,0.010832,1.123193,G4
2,11000,0.009896,1.058137,G4
2,11000,0.010102,1.041764,G4
2,11000,0.010755,1.156947,G4
2,1100,0.019291,0.766375,G5
1,1100,1,0.769145,G5
1,1100,1,0.712485,G5
0,1100,0,0,G5
2,1100,0.017318,0.898188,G5
2,1100,0.016626,0.951567,G5
2,1100,0.01844,0.747147,G5
2,1100,0.020647,0.746853,G5
0,1100,0,0,G5
2,1100,0.018844,0.807061,G5
3,1110,0.013852,0.974883,G6
3,1110,0.013305,0.941199,G6
3,1110,0.014167,0.919969,G6
3,1110,0.014455,0.912956,G6
3,1110,0.013917,0.886854,G6
3,1110,0.01544,0.844682,G6
3,1110,0.020546,0.845279,G6
3,1110,0.012939,0.74577,G6
3,1110,0.013425,0.954471,G6
3,1110,0.014434,1.030164,G6
2,10001,0.010607,0.900033,G7
3,10001,0.010792,1.191589,G7
3,10001,0.039201,2.90838,G7
3,10001,0.011007,1.082551,G7
2,10001,0.010328,1.098608,G7
3,10001,0.011457,1.010494,G7
2,10001,0.012013,0.976073,G7
2,10001,0.010542,1.038161,G7
2,10001,0.011021,0.942478,G7
2,10001,0.010978,0.882407,G7
4,11001,0.011977,1.255788,G8
3,11001,0.010943,1.308586,G8
3,11001,0.010353,0.996916,G8
3,11001,0.011148,1.182118,G8
3,11001,0.010735,1.202946,G8
3,11001,0.011378,1.189858,G8
3,11001,0.010599,1.188416,G8
3,11001,0.010973,1.178473,G8
3,11001,0.010902,1.195559,G8
3,11001,0.01119,0.970092,G8
5,11111,0.00869,1.287582,G9
5,11111,0.008805,1.328144,G9
5,11111,0.00888,1.31177,G9
4,11111,0.008157,1.216364,G9
5,11111,0.008863,1.365156,G9
5,11111,0.008569,1.366577,G9
5,11111,0.008891,1.346891,G9
4,11111,0.008414,1.306442,G9
5,11111,0.008162,1.33326,G9
4,11111,0.008259,1.23662,G9
0,0,0,0,G1
0,0,0,0,G1
0,0,0,0,G1
0,0,0,0,G1
0,0,0,0,G1
0,0,0,0,G1
0,0,0,0,G1
0,0,0,0,G1
0,0,0,0,G1
0,0,0,0,G1
3,1101,0.010997,1.090625,G0
3,1101,0.010501,1.115472,G0
3,1101,0.010776,1.112508,G0
2,1101,0.011858,0.98304,G0
3,1101,0.01071,1.013495,G0
3,1101,0.010442,0.979701,G0
3,1101,0.010727,1.070896,G0
3,1101,0.011027,1.072848,G0
1,1101,1,0.796177,G0
3,1101,0.011043,1.139601,G0
1,1000,1,0.904879,G2
1,1000,1,0.830004,G2
1,1000,1,0.933874,G2
1,1000,1,0.834286,G2
0,1000,0,0,G2
1,1000,1,0.941433,G2
1,1000,1,0.958562,G2
0,1000,0,0,G2
2,1000,0.016282,1.373732,G2
1,1000,1,0.851933,G2
1,1,1,0.688457,G3
1,1,1,0.968013,G3
1,1,1,0.931877,G3
1,1,1,0.877188,G3
1,1,1,0.89396,G3
1,1,1,0.867564,G3
1,1,1,0.848933,G3
1,1,1,0.843853,G3
1,1,1,0.771164,G3
1,1,1,0.754998,G3
1,11000,1,0.259996,G4
3,11000,0.014551,1.471787,G4
3,11000,0.014566,1.474227,G4
2,11000,0.010941,1.251474,G4
2,11000,0.011182,1.230959,G4
2,11000,0.011336,1.153618,G4
2,11000,0.011666,1.184002,G4
2,11000,0.011657,1.113585,G4
2,11000,0.01138,1.165923,G4
2,11000,0.011634,1.181201,G4
2,1100,0.019664,0.831786,G5
2,1100,0.014532,0.943422,G5
2,1100,0.015604,0.910117,G5
1,1100,1,0.920849,G5
2,1100,0.020069,0.927262,G5
2,1100,0.021022,0.943595,G5
1,1100,1,0.887789,G5
2,1100,0.019412,0.879447,G5
2,1100,0.01963,0.876255,G5
2,1100,0.019562,0.855967,G5
3,1110,0.013107,0.942145,G6
3,1110,0.01544,0.95909,G6
3,1110,0.015718,0.924589,G6
3,1110,0.014902,1.004657,G6
3,1110,0.015318,1.007633,G6
3,1110,0.01588,1.007552,G6
3,1110,0.013119,0.99553,G6
3,1110,0.011717,0.996446,G6
3,1110,0.012431,1.047211,G6
3,1110,0.01289,1.049552,G6
2,10001,0.0116,1.119819,G7
1,10001,1,0.519808,G7
1,10001,1,0.50776,G7
2,10001,0.011294,1.142831,G7
2,10001,0.010973,1.131886,G7
2,10001,0.011744,1.018693,G7
2,10001,0.011559,1.210535,G7
2,10001,0.011198,1.114058,G7
2,10001,0.011495,1.129908,G7
2,10001,0.01161,1.119336,G7
4,11001,0.01214,1.378346,G8
3,11001,0.010342,1.278494,G8
3,11001,0.010344,1.114626,G8
4,11001,0.01162,1.448913,G8
3,11001,0.010689,1.252518,G8
3,11001,0.010542,1.08734,G8
3,11001,0.010133,1.031569,G8
3,11001,0.010362,1.123564,G8
4,11001,0.011198,1.225177,G8
3,11001,0.010683,1.226979,G8
5,11111,0.009401,1.077653,G9
5,11111,0.009056,1.01224,G9
5,11111,0.00916,0.98381,G9
5,11111,0.009228,0.955558,G9
5,11111,0.00918,1.18467,G9
5,11111,0.009104,1.163117,G9
5,11111,0.009687,1.348693,G9
5,11111,0.009032,0.946905,G9
5,11111,0.009112,0.801616,G9
5,11111,0.009408,0.942135,G9
0,0,0,0,G1
0,0,0,0,G1
0,0,0,0,G1
0,0,0,0,G1
0,0,0,0,G1
0,0,0,0,G1
0,0,0,0,G1
0,0,0,0,G1
0,0,0,0,G1
0,0,0,0,G1
3,1101,0.010461,0.910312,G0
3,1101,0.010363,1.084308,G0
3,1101,0.010171,1.193354,G0
2,1101,0.015402,0.906126,G0
3,1101,0.010308,1.018818,G0
3,1101,0.010317,0.830391,G0
3,1101,0.010817,0.959786,G0
3,1101,0.010496,1.082352,G0
3,1101,0.010388,1.114782,G0
3,1101,0.010418,1.065401,G0
1,1000,1,0.940489,G2
1,1000,1,0.902595,G2
1,1000,1,0.856856,G2
1,1000,1,0.799869,G2
1,1000,1,0.904606,G2
1,1000,1,0.992813,G2
0,1000,0,0,G2
0,1000,0,0,G2
1,1000,1,0.805535,G2
1,1000,1,0.808621,G2
1,1,1,0.428554,G3
1,1,1,0.776599,G3
1,1,1,0.594295,G3
1,1,1,0.586515,G3
1,1,1,0.478185,G3
1,1,1,0.360722,G3
1,1,1,0.407221,G3
1,1,1,0.629562,G3
1,1,1,0.652679,G3
1,1,1,0.53114,G3
2,11000,0.011639,0.859095,G4
2,11000,0.011862,1.282806,G4
2,11000,0.011523,1.160692,G4
2,11000,0.011721,1.05981,G4
2,11000,0.012125,0.677994,G4
2,11000,0.011791,1.268584,G4
2,11000,0.011351,1.308857,G4
2,11000,0.011431,1.104593,G4
2,11000,0.011824,1.065004,G4
2,11000,0.011446,0.934078,G4
2,1100,0.016832,0.900112,G5
2,1100,0.016675,0.901322,G5
2,1100,0.017061,0.709856,G5
1,1100,1,0.829421,G5
2,1100,0.016956,0.932993,G5
2,1100,0.016701,0.945703,G5
2,1100,0.016971,0.802615,G5
0,1100,0,0,G5
1,1100,1,0.721637,G5
1,1100,1,0.638595,G5
3,1110,0.012424,0.928371,G6
3,1110,0.012309,1.103648,G6
3,1110,0.012357,0.961613,G6
3,1110,0.012571,0.988794,G6
3,1110,0.012763,1.02717,G6
3,1110,0.012316,0.936006,G6
2,1110,0.012485,0.686904,G6
3,1110,0.012216,0.855413,G6
3,1110,0.012516,0.941777,G6
3,1110,0.012445,0.963241,G6
2,10001,0.010801,0.687236,G7
2,10001,0.011388,1.055557,G7
1,10001,1,0.392595,G7
2,10001,0.0107,0.898498,G7
2,10001,0.011124,1.059316,G7
2,10001,0.011312,0.705152,G7
2,10001,0.011173,0.637664,G7
2,10001,0.010702,0.786996,G7
2,10001,0.010932,0.666335,G7
2,10001,0.010848,0.926507,G7
3,11001,0.008996,0.746876,G8
3,11001,0.009281,0.66335,G8
4,11001,0.011168,1.009961,G8
3,11001,0.010148,0.750555,G8
4,11001,0.010693,0.965698,G8
3,11001,0.009052,0.650669,G8
3,11001,0.008512,0.595711,G8
4,11001,0.011354,0.822748,G8
3,11001,0.010163,0.851607,G8
3,11001,0.009547,0.770491,G8
5,11111,0.008783,1.438505,G9
5,11111,0.008426,1.202741,G9
5,11111,0.008556,1.255053,G9
5,11111,0.008185,1.330061,G9
5,11111,0.007362,1.101408,G9
5,11111,0.008676,1.4344,G9
5,11111,0.008685,1.534743,G9
5,11111,0.008776,1.508981,G9
5,11111,0.008702,1.493291,G9
5,11111,0.008956,1.584597,G9
1,0,1,0.388478,G1
0,0,0,0,G1
0,0,0,0,G1
0,0,0,0,G1
0,0,0,0,G1
0,0,0,0,G1
0,0,0,0,G1
0,0,0,0,G1
0,0,0,0,G1
1,0,1,0.572105,G1
3,1101,0.011307,0.933986,G0
3,1101,0.010904,1.022727,G0
3,1101,0.011255,1.008663,G0
3,1101,0.011287,0.978851,G0
3,1101,0.011129,1.002556,G0
3,1101,0.011039,1.001954,G0
3,1101,0.010968,0.945057,G0
3,1101,0.011322,0.828897,G0
3,1101,0.01158,0.959079,G0
3,1101,0.011329,0.920995,G0
1,1000,1,0.752226,G2
0,1000,0,0,G2
0,1000,0,0,G2
1,1000,1,0.960286,G2
1,1000,1,0.818337,G2
1,1000,1,0.841928,G2
1,1000,1,0.839827,G2
1,1000,1,0.80107,G2
1,1000,1,0.819822,G2
1,1000,1,0.822595,G2
2,1,0.024133,0.891323,G3
2,1,0.023477,1.23157,G3
2,1,0.021554,1.261465,G3
1,1,1,0.793664,G3
1,1,1,0.866528,G3
1,1,1,0.817743,G3
1,1,1,0.722604,G3
1,1,1,0.624235,G3
3,1,0.039145,1.659585,G3
