@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R1,3,12'

@attribute numFingers numeric
@attribute ratio numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data
5,0.009493,G9
5,0.009193,G9
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
1,1,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
3,0.011755,G0
3,0.012031,G0
3,0.012075,G0
3,0.011871,G0
3,0.012626,G0
3,0.011668,G0
3,0.011908,G0
3,0.012328,G0
3,0.012007,G0
3,0.011619,G0
0,0,G2
0,0,G2
0,0,G2
0,0,G2
0,0,G2
0,0,G2
0,0,G2
0,0,G2
0,0,G2
0,0,G2
1,1,G3
1,1,G3
1,1,G3
1,1,G3
0,0,G3
0,0,G3
0,0,G3
1,1,G3
1,1,G3
1,1,G3
2,0.010671,G4
2,0.010359,G4
2,0.011767,G4
1,1,G4
3,0.015074,G4
1,1,G4
2,0.010832,G4
2,0.009896,G4
2,0.010102,G4
2,0.010755,G4
2,0.019291,G5
1,1,G5
1,1,G5
0,0,G5
2,0.017318,G5
2,0.016626,G5
2,0.01844,G5
2,0.020647,G5
0,0,G5
2,0.018844,G5
3,0.013852,G6
3,0.013305,G6
3,0.014167,G6
3,0.014455,G6
3,0.013917,G6
3,0.01544,G6
3,0.020546,G6
3,0.012939,G6
3,0.013425,G6
3,0.014434,G6
2,0.010607,G7
3,0.010792,G7
3,0.039201,G7
3,0.011007,G7
2,0.010328,G7
3,0.011457,G7
2,0.012013,G7
2,0.010542,G7
2,0.011021,G7
2,0.010978,G7
4,0.011977,G8
3,0.010943,G8
3,0.010353,G8
3,0.011148,G8
3,0.010735,G8
3,0.011378,G8
3,0.010599,G8
3,0.010973,G8
3,0.010902,G8
3,0.01119,G8
5,0.00869,G9
5,0.008805,G9
5,0.00888,G9
4,0.008157,G9
5,0.008863,G9
5,0.008569,G9
5,0.008891,G9
4,0.008414,G9
5,0.008162,G9
4,0.008259,G9
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
3,0.010997,G0
3,0.010501,G0
3,0.010776,G0
2,0.011858,G0
3,0.01071,G0
3,0.010442,G0
3,0.010727,G0
3,0.011027,G0
1,1,G0
3,0.011043,G0
1,1,G2
1,1,G2
1,1,G2
1,1,G2
0,0,G2
1,1,G2
1,1,G2
0,0,G2
2,0.016282,G2
1,1,G2
1,1,G3
1,1,G3
1,1,G3
1,1,G3
1,1,G3
1,1,G3
1,1,G3
1,1,G3
1,1,G3
1,1,G3
1,1,G4
3,0.014551,G4
3,0.014566,G4
2,0.010941,G4
2,0.011182,G4
2,0.011336,G4
2,0.011666,G4
2,0.011657,G4
2,0.01138,G4
2,0.011634,G4
2,0.019664,G5
2,0.014532,G5
2,0.015604,G5
1,1,G5
2,0.020069,G5
2,0.021022,G5
1,1,G5
2,0.019412,G5
2,0.01963,G5
2,0.019562,G5
3,0.013107,G6
3,0.01544,G6
3,0.015718,G6
3,0.014902,G6
3,0.015318,G6
3,0.01588,G6
3,0.013119,G6
3,0.011717,G6
3,0.012431,G6
3,0.01289,G6
2,0.0116,G7
1,1,G7
1,1,G7
2,0.011294,G7
2,0.010973,G7
2,0.011744,G7
2,0.011559,G7
2,0.011198,G7
2,0.011495,G7
2,0.01161,G7
4,0.01214,G8
3,0.010342,G8
3,0.010344,G8
4,0.01162,G8
3,0.010689,G8
3,0.010542,G8
3,0.010133,G8
3,0.010362,G8
4,0.011198,G8
3,0.010683,G8
5,0.009401,G9
5,0.009056,G9
5,0.00916,G9
5,0.009228,G9
5,0.00918,G9
5,0.009104,G9
5,0.009687,G9
5,0.009032,G9
5,0.009112,G9
5,0.009408,G9
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
3,0.010461,G0
3,0.010363,G0
3,0.010171,G0
2,0.015402,G0
3,0.010308,G0
3,0.010317,G0
3,0.010817,G0
3,0.010496,G0
3,0.010388,G0
3,0.010418,G0
1,1,G2
1,1,G2
1,1,G2
1,1,G2
1,1,G2
1,1,G2
0,0,G2
0,0,G2
1,1,G2
1,1,G2
1,1,G3
1,1,G3
1,1,G3
1,1,G3
1,1,G3
1,1,G3
1,1,G3
1,1,G3
1,1,G3
1,1,G3
2,0.011639,G4
2,0.011862,G4
2,0.011523,G4
2,0.011721,G4
2,0.012125,G4
2,0.011791,G4
2,0.011351,G4
2,0.011431,G4
2,0.011824,G4
2,0.011446,G4
2,0.016832,G5
2,0.016675,G5
2,0.017061,G5
1,1,G5
2,0.016956,G5
2,0.016701,G5
2,0.016971,G5
0,0,G5
1,1,G5
1,1,G5
3,0.012424,G6
3,0.012309,G6
3,0.012357,G6
3,0.012571,G6
3,0.012763,G6
3,0.012316,G6
2,0.012485,G6
3,0.012216,G6
3,0.012516,G6
3,0.012445,G6
2,0.010801,G7
2,0.011388,G7
1,1,G7
2,0.0107,G7
2,0.011124,G7
2,0.011312,G7
2,0.011173,G7
2,0.010702,G7
2,0.010932,G7
2,0.010848,G7
3,0.008996,G8
3,0.009281,G8
4,0.011168,G8
3,0.010148,G8
4,0.010693,G8
3,0.009052,G8
3,0.008512,G8
4,0.011354,G8
3,0.010163,G8
3,0.009547,G8
5,0.008783,G9
5,0.008426,G9
5,0.008556,G9
5,0.008185,G9
5,0.007362,G9
5,0.008676,G9
5,0.008685,G9
5,0.008776,G9
5,0.008702,G9
5,0.008956,G9
1,1,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
1,1,G1
3,0.011307,G0
3,0.010904,G0
3,0.011255,G0
3,0.011287,G0
3,0.011129,G0
3,0.011039,G0
3,0.010968,G0
3,0.011322,G0
3,0.01158,G0
3,0.011329,G0
1,1,G2
0,0,G2
0,0,G2
1,1,G2
1,1,G2
1,1,G2
1,1,G2
1,1,G2
1,1,G2
1,1,G2
2,0.024133,G3
2,0.023477,G3
2,0.021554,G3
1,1,G3
1,1,G3
1,1,G3
1,1,G3
1,1,G3
3,0.039145,G3
2,0.027346,G3
2,0.010905,G4
2,0.011146,G4
3,0.017089,G4
3,0.017418,G4
2,0.011381,G4
2,0.011122,G4
2,0.013049,G4
3,0.017487,G4
3,0.01771,G4
2,0.011279,G4
3,0.014206,G5
3,0.014545,G5
2,0.025436,G5
3,0.01414,G5
2,0.028021,G5
2,0.02538,G5
2,0.02514,G5
2,0.023528,G5
2,0.023566,G5
2,0.023388,G5
3,0.0158,G6
3,0.015035,G6
3,0.014336,G6
3,0.015322,G6
3,0.015003,G6
3,0.014944,G6
3,0.015104,G6
3,0.015812,G6
3,0.016373,G6
3,0.016061,G6
2,0.010642,G7
2,0.010463,G7
2,0.010477,G7
2,0.010356,G7
3,0.011348,G7
3,0.012521,G7
3,0.011754,G7
2,0.01052,G7
2,0.010421,G7
2,0.010648,G7
3,0.010382,G8
3,0.009778,G8
3,0.009836,G8
3,0.010311,G8
3,0.010131,G8
3,0.01019,G8
3,0.010273,G8
3,0.009943,G8
4,0.010788,G8
4,0.012367,G8
5,0.009987,G9
5,0.008943,G9
5,0.008941,G9
5,0.008798,G9
5,0.008872,G9
5,0.00901,G9
5,0.008726,G9
5,0.00866,G9
5,0.009008,G9
5,0.009706,G9
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
2,0.014926,G0
3,0.013496,G0
3,0.013251,G0
3,0.012943,G0
3,0.014201,G0
3,0.013723,G0
3,0.014019,G0
3,0.011053,G0
3,0.010994,G0
3,0.01129,G0
0,0,G2
1,1,G2
4,0.00964,G2
0,0,G2
0,0,G2
2,0.018964,G2
0,0,G2
1,1,G2
1,1,G2
1,1,G2
1,1,G3
1,1,G3
1,1,G3
1,1,G3
1,1,G3
1,1,G3
1,1,G3
1,1,G3
1,1,G3
1,1,G3
2,0.010681,G4
2,0.010645,G4
2,0.01056,G4
2,0.010659,G4
2,0.01047,G4
2,0.010476,G4
2,0.01065,G4
2,0.010661,G4
3,0.017065,G4
3,0.016712,G4
2,0.016788,G5
2,0.016886,G5
2,0.017352,G5
3,0.01326,G5
2,0.016477,G5
2,0.016847,G5
2,0.016809,G5
2,0.018528,G5
2,0.017781,G5
2,0.017231,G5
3,0.015592,G6
3,0.016209,G6
3,0.01567,G6
3,0.014326,G6
3,0.014515,G6
3,0.012976,G6
3,0.012967,G6
3,0.013893,G6
4,0.011418,G6
3,0.014028,G6
3,0.010612,G7
3,0.010154,G7
2,0.010363,G7
2,0.010019,G7
2,0.010007,G7
2,0.010192,G7
3,0.009714,G7
3,0.0115,G7
3,0.00987,G7
3,0.010257,G7
3,0.010319,G8
3,0.009411,G8
3,0.009746,G8
3,0.009429,G8
3,0.009713,G8
3,0.009941,G8
3,0.01037,G8
3,0.010276,G8
3,0.010529,G8
3,0.010406,G8
5,0.008084,G9
5,0.008211,G9
5,0.008098,G9
5,0.008204,G9
5,0.008105,G9
5,0.007831,G9
5,0.008011,G9
5,0.007937,G9
5,0.007892,G9
5,0.008156,G9
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
2,0.024175,G0
3,0.013,G0
3,0.013446,G0
3,0.013456,G0
3,0.012738,G0
3,0.013126,G0
3,0.012857,G0
3,0.01325,G0
3,0.013314,G0
3,0.013604,G0
0,0,G2
0,0,G2
0,0,G2
1,1,G2
1,1,G2
0,0,G2
1,1,G2
2,0.017633,G2
1,1,G2
1,1,G2
1,1,G3
1,1,G3
2,0.017241,G3
2,0.017467,G3
1,1,G3
1,1,G3
1,1,G3
2,0.016905,G3
2,0.018043,G3
1,1,G3
3,0.017477,G4
2,0.011343,G4
3,0.017351,G4
2,0.01216,G4
2,0.01233,G4
2,0.012639,G4
2,0.012517,G4
2,0.012831,G4
2,0.014258,G4
3,0.017062,G4
2,0.021052,G5
2,0.022052,G5
2,0.022395,G5
3,0.031525,G5
2,0.021207,G5
2,0.020503,G5
2,0.02077,G5
2,0.020459,G5
2,0.021021,G5
2,0.02039,G5
3,0.015135,G6
3,0.014573,G6
3,0.013595,G6
3,0.013738,G6
3,0.013736,G6
3,0.013928,G6
3,0.013876,G6
3,0.013807,G6
3,0.01415,G6
3,0.014919,G6
3,0.011148,G7
2,0.011434,G7
2,0.011219,G7
2,0.010902,G7
2,0.010432,G7
3,0.010954,G7
2,0.011662,G7
2,0.011852,G7
3,0.011112,G7
3,0.010802,G7
3,0.009672,G8
3,0.009761,G8
3,0.009541,G8
3,0.009822,G8
3,0.009685,G8
3,0.009611,G8
3,0.009718,G8
3,0.009771,G8
3,0.009682,G8
3,0.009763,G8
5,0.008987,G9
5,0.008941,G9
5,0.008827,G9
1,1,G9
5,0.008749,G9
5,0.008624,G9
5,0.008786,G9
5,0.008948,G9
5,0.008825,G9
5,0.008881,G9
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
2,0.013042,G0
3,0.011495,G0
3,0.010895,G0
2,0.016768,G0
2,0.012894,G0
3,0.012687,G0
2,0.016537,G0
3,0.012489,G0
3,0.012102,G0
3,0.011832,G0
1,1,G2
0,0,G2
0,0,G2
1,1,G2
1,1,G2
1,1,G2
1,1,G2
0,0,G2
1,1,G2
1,1,G2
2,0.02319,G3
3,0.016277,G3
0,0,G3
2,0.014628,G3
2,0.01504,G3
1,1,G3
1,1,G3
2,0.02276,G3
2,0.022718,G3
2,0.024239,G3
2,0.012037,G4
3,0.018735,G4
2,0.012,G4
2,0.011555,G4
2,0.011652,G4
2,0.011781,G4
2,0.011935,G4
2,0.011958,G4
3,0.018791,G4
3,0.017666,G4
2,0.019785,G5
2,0.020119,G5
2,0.01997,G5
2,0.020287,G5
2,0.020168,G5
2,0.019834,G5
2,0.019846,G5
2,0.020116,G5
2,0.020067,G5
2,0.019847,G5
3,0.014743,G6
3,0.015098,G6
3,0.014547,G6
3,0.014449,G6
3,0.014934,G6
3,0.014813,G6
3,0.015164,G6
3,0.014885,G6
3,0.015116,G6
3,0.014977,G6
3,0.010438,G7
2,0.010795,G7
2,0.010652,G7
2,0.010717,G7
2,0.011471,G7
2,0.011236,G7
2,0.010897,G7
3,0.010884,G7
3,0.010807,G7
2,0.011076,G7
3,0.011049,G8
3,0.0108,G8
3,0.011102,G8
3,0.011007,G8
3,0.010856,G8
3,0.009815,G8
2,0.012549,G8
2,0.012129,G8
2,0.01254,G8
3,0.00966,G8
5,0.009456,G9
5,0.009113,G9
5,0.008982,G9
5,0.009393,G9
4,0.010939,G9
5,0.009364,G9
5,0.009404,G9
5,0.009125,G9
5,0.009162,G9
4,0.011123,G9
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
1,1,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
2,0.015583,G0
3,0.011402,G0
3,0.011398,G0
3,0.011594,G0
4,0.013536,G0
3,0.011151,G0
3,0.011191,G0
3,0.011357,G0
3,0.010831,G0
3,0.013881,G0
1,1,G2
2,0.020163,G2
1,1,G2
1,1,G2
2,0.02079,G2
1,1,G2
1,1,G2
1,1,G2
1,1,G2
1,1,G2
1,1,G3
0,0,G3
1,1,G3
1,1,G3
1,1,G3
1,1,G3
2,0.015459,G3
2,0.024163,G3
1,1,G3
1,1,G3
2,0.01132,G4
2,0.010736,G4
2,0.011071,G4
2,0.0114,G4
2,0.011556,G4
3,0.017567,G4
2,0.011834,G4
2,0.011023,G4
3,0.017425,G4
2,0.011751,G4
2,0.015008,G5
2,0.014457,G5
2,0.014868,G5
3,0.013079,G5
2,0.015642,G5
2,0.014786,G5
2,0.01504,G5
3,0.02011,G5
3,0.02342,G5
3,0.015389,G5
3,0.015161,G6
3,0.013325,G6
3,0.013629,G6
3,0.014153,G6
3,0.014974,G6
3,0.014878,G6
3,0.014263,G6
3,0.01452,G6
3,0.014403,G6
3,0.015611,G6
3,0.011984,G7
2,0.011156,G7
2,0.010727,G7
3,0.011904,G7
3,0.011072,G7
3,0.011558,G7
2,0.010878,G7
2,0.010501,G7
2,0.010635,G7
3,0.011445,G7
3,0.012229,G8
3,0.011917,G8
3,0.011702,G8
3,0.011597,G8
3,0.010948,G8
3,0.01127,G8
3,0.011619,G8
3,0.011397,G8
3,0.011659,G8
2,0.015045,G8
5,0.011028,G9
5,0.009949,G9
5,0.010189,G9
5,0.011212,G9
5,0.010182,G9
5,0.009492,G9
5,0.009211,G9
5,0.010216,G9
5,0.010888,G9
5,0.010339,G9
2,0.018991,G1
0,0,G1
1,1,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
3,0.011154,G0
3,0.01162,G0
3,0.011376,G0
2,0.016074,G0
3,0.011033,G0
3,0.01112,G0
3,0.011141,G0
2,0.016025,G0
2,0.01572,G0
3,0.010908,G0
2,0.036082,G2
0,0,G2
0,0,G2
1,1,G2
0,0,G2
1,1,G2
1,1,G2
1,1,G2
1,1,G2
1,1,G2
1,1,G3
2,0.017628,G3
0,0,G3
1,1,G3
1,1,G3
1,1,G3
1,1,G3
1,1,G3
1,1,G3
1,1,G3
3,0.027495,G4
2,0.012179,G4
3,0.023979,G4
2,0.012371,G4
2,0.011632,G4
2,0.011963,G4
2,0.012571,G4
3,0.022713,G4
2,0.012888,G4
3,0.034152,G4
2,0.02039,G5
2,0.019394,G5
2,0.019014,G5
2,0.019206,G5
2,0.019641,G5
2,0.020034,G5
2,0.018406,G5
3,0.015375,G5
2,0.019417,G5
2,0.019508,G5
4,0.02997,G6
3,0.015697,G6
3,0.015816,G6
3,0.015631,G6
4,0.052611,G6
3,0.016834,G6
3,0.018884,G6
3,0.016977,G6
2,0.033821,G6
3,0.01103,G6
3,0.013018,G7
2,0.011292,G7
3,0.012412,G7
2,0.011606,G7
2,0.011732,G7
3,0.011921,G7
2,0.011871,G7
2,0.011567,G7
3,0.050177,G7
3,0.046378,G7
3,0.012986,G8
3,0.011998,G8
3,0.012695,G8
3,0.012879,G8
3,0.013162,G8
3,0.012941,G8
3,0.01283,G8
3,0.012804,G8
3,0.013011,G8
3,0.013227,G8
5,0.009618,G9
5,0.00954,G9
5,0.009611,G9
5,0.009665,G9
5,0.009683,G9
5,0.009614,G9
5,0.009669,G9
5,0.009657,G9
5,0.009594,G9
5,0.009706,G9
