@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R2,3,4,6,12'

@attribute fingersExtended numeric
@attribute ratio numeric
@attribute Max_X numeric
@attribute fingersAreas numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data
0,1,-0.693084,1,G1
0,1,-0.762485,1,G1
0,0,0,0,G1
0,0,0,0,G1
0,0,0,0,G1
0,1,-0.698562,1,G1
1101,0.009691,0.726182,28.205624,G0
1101,0.010008,0.792688,27.12533,G0
1101,0.009704,0.809091,28.109241,G0
1101,0.0098,0.838553,27.913639,G0
1101,0.009855,0.655823,28.283398,G0
1101,0.009939,0.86205,27.656107,G0
1101,0.010025,0.956434,27.393061,G0
1101,0.010064,0.955239,27.468975,G0
1101,0.011507,1.007363,21.126677,G0
1101,0.009828,0.734132,27.943962,G0
1000,1,-0.357227,1,G2
1000,1,-0.078084,1,G2
1000,1,-0.18588,1,G2
1000,1,-0.085474,1,G2
1000,1,-0.179387,1,G2
1000,1,-0.199327,1,G2
1000,1,-0.255902,1,G2
1000,1,-0.244464,1,G2
1000,1,-0.125303,1,G2
1000,1,-0.239968,1,G2
1,1,0.443697,1,G3
1,0.027471,0.86226,8.558611,G3
1,0.027034,0.750588,8.260798,G3
1,0.027406,0.893559,6.617039,G3
1,1,0.517816,1,G3
1,1,0.492226,1,G3
1,1,0.483866,1,G3
1,0.032967,0.967046,6.362509,G3
1,1,0.502763,1,G3
1,1,0.51584,1,G3
11000,0.017313,0.00827,16.562922,G4
11000,0.012781,-0.44694,50.63102,G4
11000,0.011889,-0.455291,55.133663,G4
11000,0.016734,-0.073055,17.029902,G4
11000,0.01771,0.004683,16.374195,G4
11000,0.017813,0.010504,15.88985,G4
11000,0.017429,0.036607,16.279348,G4
11000,0.017021,-0.058973,16.642817,G4
11000,0.017078,-0.015395,16.67091,G4
11000,0.011987,-0.220726,55.099251,G4
1100,0.019279,0.189658,27.466497,G5
1100,0.019031,0.319402,27.646662,G5
1100,0.018852,0.259142,27.798517,G5
1100,0.018789,0.100846,27.890408,G5
1100,0.019128,0.283289,27.676783,G5
1100,0.018975,0.220504,27.788082,G5
1100,0.018805,0.07513,27.94903,G5
1100,0.018422,-0.022152,28.034847,G5
1100,0.019224,0.04532,27.223623,G5
1100,0.018755,0.025468,27.652082,G5
1110,0.015212,0.322959,17.168375,G6
1110,0.015099,0.248405,17.378466,G6
1110,0.015395,0.340859,17.14905,G6
1110,0.015289,0.420885,17.237867,G6
1110,0.015566,0.329623,16.897444,G6
1110,0.015577,0.270949,16.801483,G6
1110,0.015452,0.288639,16.922415,G6
1110,0.015818,0.044501,16.54907,G6
1110,0.01405,0.239615,18.471989,G6
1110,0.014772,0.244437,17.622847,G6
10001,0.011602,1.347333,72.201683,G7
10001,0.010613,1.202937,72.33197,G7
10001,0.010653,1.145428,73.953262,G7
10001,0.010793,1.153348,72.239662,G7
10001,0.010667,1.182747,72.002129,G7
10001,0.010679,1.150035,71.816238,G7
10001,0.010435,0.951274,72.34948,G7
10001,0.010907,0.945516,72.178688,G7
10001,0.012078,0.999471,70.320694,G7
10001,0.012448,1.297328,71.736969,G7
11001,0.009312,0.544992,29.699686,G8
11001,0.009687,0.811194,28.802959,G8
11001,0.010678,0.873147,21.44853,G8
11001,0.010698,0.921665,21.427652,G8
11001,0.009731,0.690302,28.632725,G8
11001,0.009711,0.828407,28.429342,G8
11001,0.009788,0.923193,28.363503,G8
11001,0.009503,0.495076,29.338818,G8
11001,0.009626,0.376799,29.090879,G8
11001,0.010783,0.352291,21.3776,G8
11111,0.008834,1.282685,7.51787,G9
11111,0.0082,1.095357,10.037858,G9
11111,0.007958,1.047545,10.449368,G9
11111,0.008063,1.152834,9.683265,G9
11111,0.008047,0.9195,9.851491,G9
11111,0.008023,0.735712,10.246622,G9
11111,0.008293,0.897672,9.076012,G9
11111,0.008237,1.009016,9.387828,G9
11111,0.008358,1.13926,9.189385,G9
11111,0.008271,1.177129,9.54729,G9
0,0,0,0,G1
0,0,0,0,G1
0,0,0,0,G1
0,0,0,0,G1
0,0,0,0,G1
0,0,0,0,G1
0,0,0,0,G1
0,0,0,0,G1
0,0,0,0,G1
0,0,0,0,G1
1101,0.012631,0.493973,20.882399,G0
1101,0.012653,0.707169,20.860098,G0
1101,0.012625,0.405435,20.991903,G0
1101,0.012654,0.807531,21.261385,G0
1101,0.01246,0.639225,21.232153,G0
1101,0.026022,-0.38578,19.8237,G0
1101,0.012846,0.334742,20.460182,G0
1101,0.012614,0.587771,21.052015,G0
1101,0.01251,0.771776,21.471386,G0
1101,0.012624,0.809268,20.57741,G0
1000,1,-0.446635,1,G2
1000,0,0,0,G2
1000,1,-0.63726,1,G2
1000,1,-0.562339,1,G2
1000,1,-0.023712,1,G2
1000,1,-0.295672,1,G2
1000,1,-0.329493,1,G2
1000,1,-0.377284,1,G2
1000,1,-0.260873,1,G2
1000,1,-0.251762,1,G2
1,0,0,0,G3
1,0.016718,1.007043,37.467548,G3
1,0,0,0,G3
1,0,0,0,G3
1,1,0.398717,1,G3
1,0,0,0,G3
1,1,0.496599,1,G3
1,1,0.473024,1,G3
1,1,0.490308,1,G3
1,0,0,0,G3
11000,1,-0.49783,1,G4
11000,0.014298,0.265145,43.335747,G4
11000,0.017128,0.150528,32.805344,G4
11000,0.013906,0.479933,44.423435,G4
11000,0.016069,0.540778,39.716812,G4
11000,0.013521,0.402733,47.848164,G4
11000,0.011151,-0.211578,55.99432,G4
11000,0.012976,0.20852,47.99987,G4
11000,0.013781,0.6976,45.919861,G4
11000,1,0.446533,1,G4
1100,0.024069,0.317808,21.402111,G5
1100,0.021582,0.21086,23.92918,G5
1100,0.020918,0.354287,16.443775,G5
1100,0,0,0,G5
1100,0.02335,0.01223,22.162588,G5
1100,0.023011,0.229529,22.216434,G5
1100,0.023433,0.26645,21.863609,G5
1100,0.03708,0.800136,15.804931,G5
1100,0,0,0,G5
1100,0,0,0,G5
1110,0.029199,-0.043368,17.562973,G6
1110,0.019888,0.511672,13.202558,G6
1110,1,-0.489108,1,G6
1110,0.019445,0.481586,13.649017,G6
1110,0.019722,0.43352,13.525636,G6
1110,0.024261,0.508264,22.681602,G6
1110,0.021595,0.622914,13.019904,G6
1110,1,0.004846,1,G6
1110,1,-0.563037,1,G6
1110,0.020074,0.184303,13.217293,G6
10001,0.016136,1.172664,37.84771,G7
10001,0.012156,1.219794,72.603188,G7
10001,0,0,0,G7
10001,1,-0.152401,1,G7
10001,0.010072,1.045063,70.606186,G7
10001,0.010905,1.187844,70.109825,G7
10001,0,0,0,G7
10001,0.010467,1.172019,70.54409,G7
10001,0.010653,1.116929,70.084503,G7
10001,0.01051,1.323805,70.591492,G7
11001,0.010541,0.89502,26.484047,G8
11001,0.011822,0.857352,23.794563,G8
11001,0.015422,-0.245824,38.128246,G8
11001,0.017883,-0.206555,31.819365,G8
11001,0.011711,0.644384,23.968681,G8
11001,0.011191,0.731228,25.091311,G8
11001,0.011619,1.015224,24.495312,G8
11001,0.015418,0.221916,37.014832,G8
11001,0.010716,0.887352,26.107718,G8
11001,0.011375,1.033524,24.757931,G8
11111,0.009301,1.074907,10.972218,G9
11111,0.010669,1.392195,6.586637,G9
11111,0.009081,0.94556,10.187063,G9
11111,0.009167,0.939469,10.263643,G9
11111,0.009374,0.943199,10.127734,G9
11111,0.010555,0.896367,15.87604,G9
11111,0.009925,0.667916,10.776596,G9
11111,0.009157,0.58002,11.155943,G9
11111,0.009493,1.052728,11.073741,G9
11111,0.009193,0.936526,11.279895,G9
0,0,0,0,G1
0,0,0,0,G1
0,0,0,0,G1
0,0,0,0,G1
0,0,0,0,G1
0,1,0.556589,1,G1
0,0,0,0,G1
0,0,0,0,G1
0,0,0,0,G1
0,0,0,0,G1
1101,0.011755,0.598957,21.950901,G0
1101,0.012031,0.553095,21.175959,G0
1101,0.012075,0.616175,21.540407,G0
1101,0.011871,0.612207,21.725775,G0
1101,0.012626,0.463449,19.810598,G0
1101,0.011668,0.705224,22.240541,G0
1101,0.011908,0.483673,20.829376,G0
1101,0.012328,0.628469,21.165833,G0
1101,0.012007,0.528844,21.224251,G0
1101,0.011619,0.721161,22.230488,G0
1000,0,0,0,G2
1000,0,0,0,G2
1000,0,0,0,G2
1000,0,0,0,G2
1000,0,0,0,G2
1000,0,0,0,G2
1000,0,0,0,G2
1000,0,0,0,G2
1000,0,0,0,G2
1000,0,0,0,G2
1,1,0.467396,1,G3
1,1,0.461049,1,G3
1,1,0.486204,1,G3
1,1,0.466035,1,G3
1,0,0,0,G3
1,0,0,0,G3
1,0,0,0,G3
1,1,0.270761,1,G3
1,1,0.231942,1,G3
1,1,0.384351,1,G3
11000,0.010671,-0.009127,60.291145,G4
11000,0.010359,-0.182513,65.190086,G4
11000,0.011767,-0.239257,57.752979,G4
11000,1,-0.890757,1,G4
11000,0.015074,0.274832,19.895859,G4
11000,1,-0.968462,1,G4
11000,0.010832,0.182582,64.328163,G4
11000,0.009896,-0.090671,64.884415,G4
11000,0.010102,-0.064743,67.481865,G4
11000,0.010755,0.172381,65.172585,G4
1100,0.019291,0.552577,26.83696,G5
1100,1,0.234747,1,G5
1100,1,0.347492,1,G5
1100,0,0,0,G5
1100,0.017318,0.402656,31.140699,G5
1100,0.016626,0.407046,32.815556,G5
1100,0.01844,0.239673,28.256777,G5
1100,0.020647,0.312447,25.189964,G5
1100,0,0,0,G5
1100,0.018844,0.415659,27.55373,G5
1110,0.013852,0.582497,18.980923,G6
1110,0.013305,0.59541,19.703587,G6
1110,0.014167,0.532532,18.328455,G6
1110,0.014455,0.623132,17.970846,G6
1110,0.013917,0.4485,18.655182,G6
1110,0.01544,0.62582,16.783241,G6
1110,0.020546,0.483239,12.948482,G6
1110,0.012939,0.740884,20.249958,G6
1110,0.013425,0.750233,20.156908,G6
1110,0.014434,0.791949,18.80793,G6
10001,0.010607,0.943968,67.945549,G7
10001,0.010792,1.077569,36.497276,G7
10001,0.039201,3.403178,124.514069,G7
10001,0.011007,1.058594,37.33736,G7
10001,0.010328,1.095505,70.948708,G7
10001,0.011457,1.006503,36.409126,G7
10001,0.012013,1.069142,66.473228,G7
10001,0.010542,0.981127,66.771965,G7
10001,0.011021,0.885921,65.038383,G7
10001,0.010978,0.849016,66.394348,G7
11001,0.011977,1.227301,20.396193,G8
11001,0.010943,0.992309,25.542887,G8
11001,0.010353,0.677979,27.315542,G8
11001,0.011148,1.123231,24.433315,G8
11001,0.010735,0.974945,26.35997,G8
11001,0.011378,1.000095,24.703197,G8
11001,0.010599,0.930347,26.63711,G8
11001,0.010973,0.750694,25.718967,G8
11001,0.010902,0.791638,25.982103,G8
11001,0.01119,0.925355,25.234972,G8
11111,0.00869,1.127704,15.185007,G9
11111,0.008805,1.1819,15.276175,G9
11111,0.00888,1.383087,15.187655,G9
11111,0.008157,1.049647,19.015265,G9
11111,0.008863,1.346604,15.613431,G9
11111,0.008569,1.247788,15.682833,G9
11111,0.008891,1.202673,15.486366,G9
11111,0.008414,0.883985,18.255842,G9
11111,0.008162,1.361782,9.37676,G9
11111,0.008259,1.007664,18.710051,G9
0,0,0,0,G1
0,0,0,0,G1
0,0,0,0,G1
0,0,0,0,G1
0,0,0,0,G1
0,0,0,0,G1
0,0,0,0,G1
0,0,0,0,G1
0,0,0,0,G1
0,0,0,0,G1
1101,0.010997,0.597382,23.849249,G0
1101,0.010501,0.681706,24.9988,G0
1101,0.010776,0.686494,24.508358,G0
1101,0.011858,0.505489,54.984791,G0
1101,0.01071,0.809986,25.160847,G0
1101,0.010442,0.848038,25.775015,G0
1101,0.010727,0.606749,24.676746,G0
1101,0.011027,0.564187,23.645828,G0
1101,1,-0.360713,1,G0
1101,0.011043,0.68375,23.794411,G0
1000,1,-0.324908,1,G2
1000,1,-0.244712,1,G2
1000,1,-0.085464,1,G2
1000,1,-0.302308,1,G2
1000,0,0,0,G2
1000,1,-0.20352,1,G2
1000,1,-0.217339,1,G2
1000,0,0,0,G2
1000,0.016282,0.074399,33.111378,G2
1000,1,-0.157849,1,G2
1,1,0.330429,1,G3
1,1,0.174462,1,G3
1,1,0.285143,1,G3
1,1,0.411038,1,G3
1,1,0.234592,1,G3
1,1,0.134083,1,G3
1,1,0.04225,1,G3
1,1,0.286535,1,G3
1,1,0.382666,1,G3
1,1,0.296203,1,G3
11000,1,-0.965539,1,G4
11000,0.014551,0.119147,20.527178,G4
11000,0.014566,0.231276,20.604887,G4
11000,0.010941,-0.14338,61.082603,G4
11000,0.011182,-0.373114,57.431267,G4
11000,0.011336,-0.547359,54.200619,G4
11000,0.011666,-0.176782,54.161648,G4
11000,0.011657,0.001529,56.480007,G4
11000,0.01138,-0.272443,57.925606,G4
11000,0.011634,-0.230886,56.000134,G4
1100,0.019664,0.092056,26.642244,G5
1100,0.014532,0.274169,37.154068,G5
1100,0.015604,0.224598,34.104729,G5
1100,1,-0.106119,1,G5
1100,0.020069,0.08176,26.021835,G5
1100,0.021022,0.301604,24.800642,G5
1100,1,0.170835,1,G5
1100,0.019412,0.11474,26.962458,G5
1100,0.01963,0.10985,26.692886,G5
1100,0.019562,0.018719,26.765795,G5
1110,0.013107,0.413602,20.256214,G6
1110,0.01544,0.377758,17.047852,G6
1110,0.015718,0.298367,16.729675,G6
1110,0.014902,0.459313,17.787954,G6
1110,0.015318,0.491706,17.265451,G6
1110,0.01588,0.256337,16.213783,G6
1110,0.013119,0.488008,20.062643,G6
1110,0.011717,0.50416,22.757629,G6
1110,0.012431,0.457934,21.377962,G6
1110,0.01289,0.374892,20.55521,G6
10001,0.0116,0.701891,65.847382,G7
10001,1,-0.820075,1,G7
10001,1,-0.818262,1,G7
10001,0.011294,0.768414,68.86422,G7
10001,0.010973,0.785725,71.958382,G7
10001,0.011744,1.105771,67.966751,G7
10001,0.011559,0.548605,65.299904,G7
10001,0.011198,0.248988,65.007561,G7
10001,0.011495,0.527894,65.652946,G7
10001,0.01161,0.619472,65.71978,G7
11001,0.01214,0.485468,19.692427,G8
11001,0.010342,0.955128,26.485064,G8
11001,0.010344,0.766878,26.629318,G8
11001,0.01162,1.305254,20.762381,G8
11001,0.010689,0.937405,25.938713,G8
11001,0.010542,0.633478,26.409336,G8
11001,0.010133,0.961441,27.467936,G8
11001,0.010362,1.20847,26.583305,G8
11001,0.011198,1.363419,18.89397,G8
11001,0.010683,0.977304,25.939802,G8
11111,0.009401,0.835729,9.527532,G9
11111,0.009056,0.911842,9.668103,G9
11111,0.00916,1.011594,9.613049,G9
11111,0.009228,0.799858,9.570864,G9
11111,0.00918,0.800566,9.555344,G9
11111,0.009104,0.98364,9.51868,G9
11111,0.009687,0.788263,9.576638,G9
11111,0.009032,0.839511,9.988613,G9
11111,0.009112,0.599558,9.809388,G9
11111,0.009408,0.929799,9.195293,G9
0,0,0,0,G1
0,0,0,0,G1
0,0,0,0,G1
0,0,0,0,G1
0,0,0,0,G1
0,0,0,0,G1
0,0,0,0,G1
0,0,0,0,G1
0,0,0,0,G1
0,0,0,0,G1
1101,0.010461,0.445864,26.168962,G0
1101,0.010363,0.479034,26.312696,G0
1101,0.010171,0.726965,27.028696,G0
1101,0.015402,0.67259,36.385403,G0
1101,0.010308,0.543432,26.946838,G0
1101,0.010317,0.349437,26.449289,G0
1101,0.010817,0.598121,26.165817,G0
1101,0.010496,0.796306,26.78388,G0
1101,0.010388,0.769418,26.587257,G0
1101,0.010418,0.614263,26.258286,G0
1000,1,-0.012735,1,G2
1000,1,0.005355,1,G2
1000,1,0.202659,1,G2
1000,1,-0.297177,1,G2
1000,1,-0.127664,1,G2
1000,1,-0.005915,1,G2
1000,0,0,0,G2
1000,0,0,0,G2
1000,1,-0.106377,1,G2
1000,1,0.159143,1,G2
1,1,0.382613,1,G3
1,1,0.214919,1,G3
1,1,0.182696,1,G3
1,1,-0.280551,1,G3
1,1,0.305531,1,G3
1,1,0.417575,1,G3
1,1,0.412537,1,G3
1,1,-0.067955,1,G3
1,1,0.042513,1,G3
1,1,0.380809,1,G3
11000,0.011639,-0.909986,58.086987,G4
11000,0.011862,0.087269,57.091476,G4
11000,0.011523,-0.486802,56.859406,G4
