@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R1,4,12'

@attribute numFingers numeric
@attribute Max_X numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data
3,0.299692,G6
3,0.177524,G6
3,0.124065,G6
3,0.15952,G6
3,0.093541,G6
3,0.025135,G6
2,1.095423,G7
3,1.109315,G7
3,0.911542,G7
2,0.83926,G7
2,1.004514,G7
3,0.944776,G7
4,1.053624,G7
4,1.353392,G7
4,1.458554,G7
4,1.367796,G7
4,1.775124,G8
2,0.288527,G8
3,0.32148,G8
3,0.155239,G8
3,0.274512,G8
3,0.31914,G8
3,0.479261,G8
3,0.500359,G8
4,0.446692,G8
4,2.231167,G8
5,0.912641,G9
5,0.795213,G9
5,0.66777,G9
5,0.777736,G9
5,0.782084,G9
5,0.792103,G9
5,0.642047,G9
3,-0.196212,G9
3,0.671083,G9
5,0.730756,G9
0,0,G1
1,0.734957,G1
2,0.581342,G1
0,0,G1
0,0,G1
0,0,G1
1,-0.667931,G1
0,0,G1
0,0,G1
0,0,G1
4,0.861251,G0
3,0.461436,G0
3,0.41388,G0
5,1.781367,G0
3,0.36219,G0
3,0.457707,G0
3,0.568438,G0
2,-0.014742,G0
4,0.961435,G0
4,0.910031,G0
1,-0.303567,G2
0,0,G2
0,0,G2
0,0,G2
1,-0.315823,G2
1,-0.111525,G2
1,-0.210051,G2
0,0,G2
1,-0.267906,G2
1,-0.291259,G2
2,0.488662,G3
0,0,G3
2,0.822483,G3
1,0.211315,G3
1,0.257286,G3
1,0.294008,G3
1,0.213918,G3
1,0.220521,G3
1,0.164169,G3
1,0.15234,G3
2,-0.174105,G4
2,-0.122953,G4
3,0.18846,G4
2,-0.164602,G4
1,-0.94572,G4
2,-0.150126,G4
1,-0.98293,G4
3,-0.008154,G4
2,-0.180848,G4
3,1.36589,G4
3,-0.063246,G5
3,0.972259,G5
3,0.856262,G5
2,-0.077521,G5
3,1.139007,G5
2,-0.078388,G5
2,0.136451,G5
2,0.192035,G5
2,0.017633,G5
3,-0.183645,G5
3,0.15807,G6
3,0.699618,G6
3,0.125004,G6
4,0.641382,G6
3,0.070663,G6
3,-0.009252,G6
4,0.667561,G6
4,1.009683,G6
3,0.356224,G6
3,0.24501,G6
2,0.13836,G7
2,-0.164355,G7
1,-0.624042,G7
3,0.329231,G7
3,0.38034,G7
4,0.793739,G7
2,0.29787,G7
4,3.005895,G7
4,1.964791,G7
3,2.029247,G7
3,0.470137,G8
2,-0.328652,G8
3,0.308704,G8
4,4.830279,G8
3,0.317377,G8
3,0.478468,G8
3,0.378964,G8
3,0.325927,G8
3,0.254995,G8
3,0.253362,G8
5,0.985754,G9
5,0.842018,G9
5,1.16038,G9
4,1.081631,G9
4,0.925269,G9
4,0.821203,G9
5,0.964381,G9
5,0.810025,G9
5,0.666753,G9
5,0.702865,G9
1,-0.728452,G1
1,-0.672955,G1
1,-0.720727,G1
1,-0.701598,G1
1,-0.693084,G1
1,-0.762485,G1
0,0,G1
0,0,G1
0,0,G1
1,-0.698562,G1
3,0.726182,G0
3,0.792688,G0
3,0.809091,G0
3,0.838553,G0
3,0.655823,G0
3,0.86205,G0
3,0.956434,G0
3,0.955239,G0
4,1.007363,G0
3,0.734132,G0
1,-0.357227,G2
1,-0.078084,G2
1,-0.18588,G2
1,-0.085474,G2
1,-0.179387,G2
1,-0.199327,G2
1,-0.255902,G2
1,-0.244464,G2
1,-0.125303,G2
1,-0.239968,G2
1,0.443697,G3
2,0.86226,G3
2,0.750588,G3
2,0.893559,G3
1,0.517816,G3
1,0.492226,G3
1,0.483866,G3
2,0.967046,G3
1,0.502763,G3
1,0.51584,G3
3,0.00827,G4
2,-0.44694,G4
2,-0.455291,G4
3,-0.073055,G4
3,0.004683,G4
3,0.010504,G4
3,0.036607,G4
3,-0.058973,G4
3,-0.015395,G4
2,-0.220726,G4
2,0.189658,G5
2,0.319402,G5
2,0.259142,G5
2,0.100846,G5
2,0.283289,G5
2,0.220504,G5
2,0.07513,G5
2,-0.022152,G5
2,0.04532,G5
2,0.025468,G5
3,0.322959,G6
3,0.248405,G6
3,0.340859,G6
3,0.420885,G6
3,0.329623,G6
3,0.270949,G6
3,0.288639,G6
3,0.044501,G6
3,0.239615,G6
3,0.244437,G6
2,1.347333,G7
2,1.202937,G7
2,1.145428,G7
2,1.153348,G7
2,1.182747,G7
2,1.150035,G7
2,0.951274,G7
2,0.945516,G7
2,0.999471,G7
2,1.297328,G7
3,0.544992,G8
3,0.811194,G8
4,0.873147,G8
4,0.921665,G8
3,0.690302,G8
3,0.828407,G8
3,0.923193,G8
3,0.495076,G8
3,0.376799,G8
4,0.352291,G8
5,1.282685,G9
5,1.095357,G9
5,1.047545,G9
5,1.152834,G9
5,0.9195,G9
5,0.735712,G9
5,0.897672,G9
5,1.009016,G9
5,1.13926,G9
5,1.177129,G9
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
3,0.493973,G0
3,0.707169,G0
3,0.405435,G0
3,0.807531,G0
3,0.639225,G0
2,-0.38578,G0
3,0.334742,G0
3,0.587771,G0
3,0.771776,G0
3,0.809268,G0
1,-0.446635,G2
0,0,G2
1,-0.63726,G2
1,-0.562339,G2
1,-0.023712,G2
1,-0.295672,G2
1,-0.329493,G2
1,-0.377284,G2
1,-0.260873,G2
1,-0.251762,G2
0,0,G3
2,1.007043,G3
0,0,G3
0,0,G3
1,0.398717,G3
0,0,G3
1,0.496599,G3
1,0.473024,G3
1,0.490308,G3
0,0,G3
1,-0.49783,G4
2,0.265145,G4
2,0.150528,G4
2,0.479933,G4
2,0.540778,G4
2,0.402733,G4
2,-0.211578,G4
2,0.20852,G4
2,0.6976,G4
1,0.446533,G4
2,0.317808,G5
2,0.21086,G5
2,0.354287,G5
0,0,G5
2,0.01223,G5
2,0.229529,G5
2,0.26645,G5
3,0.800136,G5
0,0,G5
0,0,G5
2,-0.043368,G6
3,0.511672,G6
1,-0.489108,G6
3,0.481586,G6
3,0.43352,G6
2,0.508264,G6
3,0.622914,G6
1,0.004846,G6
1,-0.563037,G6
3,0.184303,G6
2,1.172664,G7
2,1.219794,G7
0,0,G7
1,-0.152401,G7
2,1.045063,G7
2,1.187844,G7
0,0,G7
2,1.172019,G7
2,1.116929,G7
2,1.323805,G7
3,0.89502,G8
3,0.857352,G8
2,-0.245824,G8
2,-0.206555,G8
3,0.644384,G8
3,0.731228,G8
3,1.015224,G8
2,0.221916,G8
3,0.887352,G8
3,1.033524,G8
5,1.074907,G9
5,1.392195,G9
5,0.94556,G9
5,0.939469,G9
5,0.943199,G9
4,0.896367,G9
5,0.667916,G9
5,0.58002,G9
5,1.052728,G9
5,0.936526,G9
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
1,0.556589,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
3,0.598957,G0
3,0.553095,G0
3,0.616175,G0
3,0.612207,G0
3,0.463449,G0
3,0.705224,G0
3,0.483673,G0
3,0.628469,G0
3,0.528844,G0
3,0.721161,G0
0,0,G2
0,0,G2
0,0,G2
0,0,G2
0,0,G2
0,0,G2
0,0,G2
0,0,G2
0,0,G2
0,0,G2
1,0.467396,G3
1,0.461049,G3
1,0.486204,G3
1,0.466035,G3
0,0,G3
0,0,G3
0,0,G3
1,0.270761,G3
1,0.231942,G3
1,0.384351,G3
2,-0.009127,G4
2,-0.182513,G4
2,-0.239257,G4
1,-0.890757,G4
3,0.274832,G4
1,-0.968462,G4
2,0.182582,G4
2,-0.090671,G4
2,-0.064743,G4
2,0.172381,G4
2,0.552577,G5
1,0.234747,G5
1,0.347492,G5
0,0,G5
2,0.402656,G5
2,0.407046,G5
2,0.239673,G5
2,0.312447,G5
0,0,G5
2,0.415659,G5
3,0.582497,G6
3,0.59541,G6
3,0.532532,G6
3,0.623132,G6
3,0.4485,G6
3,0.62582,G6
3,0.483239,G6
3,0.740884,G6
3,0.750233,G6
3,0.791949,G6
2,0.943968,G7
3,1.077569,G7
3,3.403178,G7
3,1.058594,G7
2,1.095505,G7
3,1.006503,G7
2,1.069142,G7
2,0.981127,G7
2,0.885921,G7
2,0.849016,G7
4,1.227301,G8
3,0.992309,G8
3,0.677979,G8
3,1.123231,G8
3,0.974945,G8
3,1.000095,G8
3,0.930347,G8
3,0.750694,G8
3,0.791638,G8
3,0.925355,G8
5,1.127704,G9
5,1.1819,G9
5,1.383087,G9
4,1.049647,G9
5,1.346604,G9
5,1.247788,G9
5,1.202673,G9
4,0.883985,G9
5,1.361782,G9
4,1.007664,G9
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
3,0.597382,G0
3,0.681706,G0
3,0.686494,G0
2,0.505489,G0
3,0.809986,G0
3,0.848038,G0
3,0.606749,G0
3,0.564187,G0
1,-0.360713,G0
3,0.68375,G0
1,-0.324908,G2
1,-0.244712,G2
1,-0.085464,G2
1,-0.302308,G2
0,0,G2
1,-0.20352,G2
1,-0.217339,G2
0,0,G2
2,0.074399,G2
1,-0.157849,G2
1,0.330429,G3
1,0.174462,G3
1,0.285143,G3
1,0.411038,G3
1,0.234592,G3
1,0.134083,G3
1,0.04225,G3
1,0.286535,G3
1,0.382666,G3
1,0.296203,G3
1,-0.965539,G4
3,0.119147,G4
3,0.231276,G4
2,-0.14338,G4
2,-0.373114,G4
2,-0.547359,G4
2,-0.176782,G4
2,0.001529,G4
2,-0.272443,G4
2,-0.230886,G4
2,0.092056,G5
2,0.274169,G5
2,0.224598,G5
1,-0.106119,G5
2,0.08176,G5
2,0.301604,G5
1,0.170835,G5
2,0.11474,G5
2,0.10985,G5
2,0.018719,G5
3,0.413602,G6
3,0.377758,G6
3,0.298367,G6
3,0.459313,G6
3,0.491706,G6
3,0.256337,G6
3,0.488008,G6
3,0.50416,G6
3,0.457934,G6
3,0.374892,G6
2,0.701891,G7
1,-0.820075,G7
1,-0.818262,G7
2,0.768414,G7
2,0.785725,G7
2,1.105771,G7
2,0.548605,G7
2,0.248988,G7
2,0.527894,G7
2,0.619472,G7
4,0.485468,G8
3,0.955128,G8
3,0.766878,G8
4,1.305254,G8
3,0.937405,G8
3,0.633478,G8
3,0.961441,G8
3,1.20847,G8
4,1.363419,G8
3,0.977304,G8
5,0.835729,G9
5,0.911842,G9
5,1.011594,G9
5,0.799858,G9
5,0.800566,G9
5,0.98364,G9
5,0.788263,G9
5,0.839511,G9
5,0.599558,G9
5,0.929799,G9
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
3,0.445864,G0
3,0.479034,G0
3,0.726965,G0
2,0.67259,G0
3,0.543432,G0
3,0.349437,G0
3,0.598121,G0
3,0.796306,G0
3,0.769418,G0
3,0.614263,G0
1,-0.012735,G2
1,0.005355,G2
1,0.202659,G2
1,-0.297177,G2
1,-0.127664,G2
1,-0.005915,G2
0,0,G2
0,0,G2
1,-0.106377,G2
1,0.159143,G2
1,0.382613,G3
1,0.214919,G3
1,0.182696,G3
1,-0.280551,G3
1,0.305531,G3
1,0.417575,G3
1,0.412537,G3
1,-0.067955,G3
1,0.042513,G3
1,0.380809,G3
2,-0.909986,G4
2,0.087269,G4
2,-0.486802,G4
2,-0.045499,G4
2,0.10864,G4
2,-0.06354,G4
2,-0.314816,G4
2,-0.289388,G4
2,0.413275,G4
2,-0.778183,G4
2,0.168277,G5
2,0.433333,G5
2,-0.012718,G5
1,0.181923,G5
2,0.490639,G5
2,0.315048,G5
2,-0.059789,G5
0,0,G5
1,0.287377,G5
1,0.480632,G5
3,0.081234,G6
3,0.42676,G6
3,0.172185,G6
3,0.608557,G6
3,0.46298,G6
3,0.092397,G6
2,0.192309,G6
3,0.647684,G6
3,0.65487,G6
3,0.141944,G6
2,0.840307,G7
2,0.516876,G7
1,0.521569,G7
2,0.103685,G7
2,0.331051,G7
2,0.845901,G7
2,0.720649,G7
2,0.146131,G7
2,0.524327,G7
2,0.922788,G7
3,0.238445,G8
3,0.282635,G8
4,1.082419,G8
3,0.97525,G8
4,0.529585,G8
3,0.034141,G8
3,0.226677,G8
4,0.948481,G8
3,0.915602,G8
3,0.51753,G8
5,0.779635,G9
5,0.971793,G9
5,1.335971,G9
5,1.170982,G9
5,0.487906,G9
5,0.951539,G9
5,1.292913,G9
5,1.302239,G9
5,1.366719,G9
5,1.255683,G9
1,-0.659883,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
1,-0.536885,G1
3,0.607003,G0
3,0.621065,G0
3,0.710747,G0
3,0.714895,G0
3,0.627897,G0
3,0.637064,G0
3,0.565185,G0
3,0.76783,G0
3,0.718374,G0
3,0.639895,G0
1,-0.186933,G2
0,0,G2
0,0,G2
1,-0.209282,G2
1,-0.284805,G2
1,-0.217091,G2
1,-0.27134,G2
1,-0.238138,G2
1,-0.139853,G2
1,-0.073909,G2
2,0.344561,G3
2,0.398717,G3
2,0.487774,G3
1,0.449431,G3
1,0.213496,G3
1,0.262937,G3
1,0.214955,G3
1,0.449552,G3
3,1.710599,G3
2,0.708482,G3
2,-0.426197,G4
2,-0.069536,G4
3,0.022753,G4
3,0.059144,G4
2,-0.263844,G4
2,-0.3073,G4
2,-0.275646,G4
3,0.023907,G4
3,0.069277,G4
2,-0.38037,G4
3,0.288046,G5
3,0.317447,G5
2,0.074045,G5
3,0.209435,G5
2,-0.005151,G5
2,-0.069441,G5
2,-0.034059,G5
2,0.042963,G5
2,0.084807,G5
2,0.041713,G5
3,0.199688,G6
3,0.187067,G6
3,0.369454,G6
3,0.352403,G6
3,0.266749,G6
3,0.20345,G6
3,0.146607,G6
3,0.219407,G6
3,0.332046,G6
3,0.30911,G6
2,0.850724,G7
2,1.075712,G7
2,1.098629,G7
2,1.016533,G7
3,1.116785,G7
3,1.353137,G7
3,1.241883,G7
2,1.089298,G7
2,0.953686,G7
2,0.885284,G7
3,0.580094,G8
3,0.478482,G8
3,0.647255,G8
3,0.676838,G8
3,0.713781,G8
3,0.707518,G8
3,0.809132,G8
3,0.647453,G8
4,0.671939,G8
4,0.809869,G8
5,1.007206,G9
5,0.834694,G9
5,0.855786,G9
5,0.914123,G9
5,0.938263,G9
5,0.866689,G9
5,0.844801,G9
5,0.877421,G9
5,0.827236,G9
5,0.825258,G9
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
2,0.697043,G0
3,0.355125,G0
3,0.061216,G0
3,0.555953,G0
3,0.52277,G0
3,0.292447,G0
3,0.213229,G0
3,0.544974,G0
3,0.659414,G0
3,0.45662,G0
0,0,G2
1,-0.423096,G2
4,0.81831,G2
0,0,G2
0,0,G2
2,-0.144776,G2
0,0,G2
1,-0.572159,G2
1,-0.433531,G2
1,-0.089519,G2
1,0.258719,G3
1,0.242,G3
1,0.098345,G3
1,0.004216,G3
1,0.38494,G3
1,0.549606,G3
1,0.19082,G3
1,-0.10305,G3
1,0.435361,G3
1,0.591228,G3
2,-0.412135,G4
2,0.03018,G4
2,-0.259703,G4
2,-0.219504,G4
2,0.053486,G4
2,-0.247856,G4
2,-0.551376,G4
2,-0.395145,G4
3,0.214681,G4
3,0.042194,G4
2,0.041601,G5
2,0.078482,G5
2,0.294631,G5
3,0.21038,G5
2,0.427865,G5
2,0.006204,G5
2,-0.143872,G5
2,0.101422,G5
2,0.569412,G5
2,0.213745,G5
3,0.224582,G6
3,0.13325,G6
3,0.241294,G6
3,0.11027,G6
3,0.106367,G6
3,0.621728,G6
3,0.52339,G6
3,0.442841,G6
4,0.556809,G6
3,0.5139,G6
3,0.730335,G7
3,-0.055232,G7
2,-0.074309,G7
2,0.459548,G7
2,0.156306,G7
2,-0.011124,G7
3,0.05508,G7
3,0.818824,G7
3,0.268694,G7
3,0.520851,G7
3,0.443635,G8
3,0.09077,G8
3,0.468985,G8
3,-0.164005,G8
3,0.428036,G8
3,0.147076,G8
3,0.576803,G8
3,0.1909,G8
3,0.145891,G8
3,0.510261,G8
5,1.06497,G9
5,0.895018,G9
5,0.595696,G9
5,1.069266,G9
5,0.8561,G9
5,0.490497,G9
5,1.025218,G9
5,0.925737,G9
5,0.775444,G9
5,1.016059,G9
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
2,-0.008628,G0
3,0.509244,G0
3,0.594434,G0
3,0.44082,G0
3,0.351001,G0
3,0.321227,G0
3,0.324205,G0
3,0.545601,G0
3,0.559776,G0
3,0.567607,G0
0,0,G2
0,0,G2
0,0,G2
1,-0.248304,G2
1,-0.362474,G2
0,0,G2
1,-0.351167,G2
2,-0.078576,G2
1,-0.133472,G2
1,-0.251653,G2
1,0.190275,G3
1,0.187176,G3
2,0.325798,G3
2,0.436097,G3
1,0.1556,G3
1,0.222859,G3
1,0.309264,G3
2,0.511787,G3
2,0.472732,G3
1,0.25354,G3
3,-0.000021,G4
2,-0.102365,G4
3,0.120058,G4
2,-0.286956,G4
2,-0.310827,G4
2,-0.230822,G4
2,-0.228206,G4
2,-0.186455,G4
2,-0.296336,G4
3,0.03582,G4
2,0.139558,G5
2,0.147804,G5
2,0.222824,G5
3,0.347617,G5
2,0.102128,G5
2,-0.028735,G5
2,-0.027244,G5
2,-0.057109,G5
2,0.043641,G5
2,0.054236,G5
3,0.389652,G6
3,0.350061,G6
3,0.478049,G6
3,0.492278,G6
3,0.141816,G6
3,0.147993,G6
3,0.180721,G6
3,0.414376,G6
3,0.364131,G6
3,0.470769,G6
3,1.317109,G7
2,1.153869,G7
2,1.214387,G7
2,1.065491,G7
2,0.879429,G7
3,1.01482,G7
2,1.369463,G7
2,1.432197,G7
3,1.249366,G7
3,1.081735,G7
3,0.545486,G8
3,0.99161,G8
3,1.115991,G8
3,0.982328,G8
3,0.803399,G8
3,1.208049,G8
3,1.180364,G8
3,1.076684,G8
3,0.999644,G8
3,0.707696,G8
5,1.027946,G9
5,0.892321,G9
5,0.872778,G9
1,-0.985285,G9
5,0.988456,G9
5,0.866844,G9
5,0.99683,G9
5,0.891538,G9
5,1.019123,G9
5,1.063152,G9
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
2,0.886732,G0
3,0.547338,G0
3,0.351789,G0
2,0.546105,G0
2,0.874791,G0
3,0.72639,G0
2,0.537521,G0
3,0.671723,G0
3,0.73589,G0
3,0.455441,G0
1,-0.395436,G2
0,0,G2
0,0,G2
1,-0.266284,G2
1,-0.467012,G2
1,-0.568667,G2
1,-0.449082,G2
0,0,G2
1,-0.292297,G2
1,-0.468907,G2
2,0.439831,G3
3,0.448974,G3
0,0,G3
2,0.350008,G3
2,0.473491,G3
1,0.117314,G3
1,0.036763,G3
2,0.189415,G3
2,0.369277,G3
2,0.465191,G3
2,-0.228333,G4
3,0.188088,G4
2,-0.181789,G4
2,-0.336539,G4
2,-0.375696,G4
2,-0.30021,G4
2,-0.217853,G4
2,-0.25502,G4
3,0.12973,G4
3,0.112282,G4
2,-0.063756,G5
2,0.19679,G5
2,0.059605,G5
2,0.042598,G5
2,-0.126182,G5
2,-0.051169,G5
2,0.168148,G5
2,0.135939,G5
2,0.143817,G5
2,-0.004519,G5
3,0.352671,G6
3,0.217343,G6
3,0.277276,G6
3,0.315888,G6
3,0.373073,G6
3,0.34865,G6
3,0.178631,G6
3,0.194414,G6
3,0.374784,G6
3,0.331614,G6
3,1.210704,G7
2,1.430695,G7
2,1.418604,G7
2,1.433596,G7
2,1.528859,G7
2,1.484964,G7
2,1.29005,G7
3,1.387429,G7
3,1.302124,G7
2,1.287866,G7
3,1.13941,G8
3,1.244691,G8
3,1.38209,G8
3,1.287421,G8
3,1.18762,G8
3,0.568574,G8
2,0.143787,G8
2,0.362933,G8
2,0.717445,G8
3,0.756468,G8
5,0.930666,G9
5,0.984521,G9
5,0.96534,G9
5,1.020055,G9
4,0.606628,G9
5,0.964729,G9
5,0.968442,G9
5,0.984573,G9
5,1.063021,G9
4,0.893148,G9
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
1,-0.123649,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
2,0.560978,G0
3,0.700698,G0
3,0.649385,G0
3,0.754909,G0
4,0.983468,G0
3,0.766188,G0
3,0.677561,G0
3,0.782363,G0
3,0.935835,G0
3,1.042902,G0
1,0.082901,G2
2,0.06255,G2
1,-0.146893,G2
1,-0.116136,G2
2,0.079941,G2
1,-0.099074,G2
1,-0.077608,G2
1,-0.044573,G2
1,-0.15065,G2
1,-0.132626,G2
1,0.011443,G3
0,0,G3
1,0.232822,G3
1,0.254014,G3
1,0.161145,G3
1,0.139832,G3
2,0.348557,G3
2,0.232993,G3
1,0.292268,G3
1,0.031611,G3
2,0.000218,G4
2,-0.062194,G4
2,0.027395,G4
2,-0.107223,G4
2,-0.03914,G4
3,0.308168,G4
2,0.099385,G4
2,-0.137127,G4
3,0.278909,G4
2,0.152046,G4
2,0.253866,G5
2,0.207207,G5
2,0.131845,G5
3,0.417831,G5
2,0.465765,G5
2,0.36592,G5
2,0.254988,G5
3,0.494482,G5
3,0.670536,G5
3,0.451246,G5
3,0.620535,G6
3,0.340796,G6
3,0.460172,G6
3,0.335342,G6
3,0.390321,G6
3,0.513536,G6
3,0.466713,G6
3,0.367528,G6
3,0.423515,G6
3,0.610478,G6
3,1.036433,G7
2,1.194456,G7
2,1.227138,G7
3,1.452045,G7
3,0.955925,G7
3,0.826892,G7
2,0.862414,G7
2,0.779082,G7
2,0.614866,G7
3,0.746833,G7
3,0.642406,G8
3,0.691796,G8
3,0.851184,G8
3,0.620343,G8
3,0.529633,G8
3,0.626107,G8
3,0.793669,G8
3,0.799647,G8
3,0.815534,G8
2,0.457876,G8
5,1.016714,G9
5,0.940934,G9
5,0.820475,G9
5,1.013903,G9
5,1.098606,G9
5,0.951457,G9
5,0.676148,G9
5,0.798898,G9
5,1.13354,G9
5,1.143635,G9
2,0.669171,G1
0,0,G1
1,0.566101,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
3,0.428427,G0
3,0.600893,G0
3,0.585449,G0
2,0.347165,G0
3,0.412131,G0
3,0.708656,G0
3,0.767946,G0
2,0.709577,G0
2,0.516266,G0
3,0.518959,G0
2,1.912317,G2
0,0,G2
0,0,G2
1,0.838413,G2
0,0,G2
1,0.440294,G2
1,-0.301824,G2
1,-0.38944,G2
1,-0.344222,G2
1,-0.241185,G2
1,-0.199055,G3
2,0.074395,G3
0,0,G3
1,0.048779,G3
1,0.195088,G3
1,0.049099,G3
1,0.060909,G3
1,0.002198,G3
1,-0.014611,G3
1,-0.172701,G3
3,-0.072026,G4
2,-0.35709,G4
3,-0.057814,G4
2,-0.306567,G4
2,-0.456731,G4
2,-0.538603,G4
2,-0.49363,G4
3,0.315553,G4
2,-0.274237,G4
3,-0.071735,G4
2,0.344217,G5
2,0.00125,G5
2,-0.104991,G5
2,0.100275,G5
2,0.230157,G5
2,0.20059,G5
2,-0.008094,G5
3,0.279717,G5
2,0.184218,G5
2,0.29544,G5
4,0.516782,G6
3,0.139307,G6
3,0.094906,G6
3,-0.129805,G6
4,0.465319,G6
3,0.181402,G6
3,0.274874,G6
3,0.13395,G6
2,0.005638,G6
3,0.317525,G6
3,0.623048,G7
2,0.627914,G7
3,0.587678,G7
2,0.531465,G7
2,0.683781,G7
3,0.727063,G7
2,0.559888,G7
2,0.408152,G7
3,1.685299,G7
3,1.697408,G7
3,0.496928,G8
3,0.350388,G8
3,0.26795,G8
3,0.356405,G8
3,0.538121,G8
3,0.285648,G8
3,0.095009,G8
3,0.063922,G8
3,0.273822,G8
3,0.497472,G8
5,1.037722,G9
5,0.96735,G9
5,0.972766,G9
5,0.967241,G9
5,1.00079,G9
5,0.910479,G9
5,0.776657,G9
5,0.79672,G9
5,1.012155,G9
5,1.080741,G9
