@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R5,6,12'

@attribute Max_Y numeric
@attribute fingersAreas numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data
0.891323,8.506701,G3
1.23157,7.927714,G3
1.261465,10.126935,G3
0.793664,1,G3
0.866528,1,G3
0.817743,1,G3
0.722604,1,G3
0.624235,1,G3
1.659585,23.497416,G3
0.886567,5.273829,G3
0.897239,59.469852,G4
1.333772,61.977364,G4
1.448977,17.686871,G4
1.387689,16.85124,G4
1.098991,59.102325,G4
0.990813,58.927902,G4
0.839786,55.643902,G4
1.296489,16.527731,G4
1.426154,16.144819,G4
0.949838,58.243668,G4
1.042303,11.685607,G5
1.290128,12.096399,G5
0.889349,20.38121,G5
1.17151,13.059745,G5
0.798506,18.398626,G5
0.75933,20.161581,G5
0.773211,20.579874,G5
0.708467,21.918484,G5
0.779153,21.838837,G5
0.75027,22.028656,G5
0.861583,16.657824,G6
1.073101,17.518053,G6
0.975605,18.369394,G6
1.028932,17.416874,G6
1.011945,17.6022,G6
0.903783,17.486063,G6
0.877971,17.368622,G6
0.940807,16.699467,G6
0.945671,16.363829,G6
0.927862,16.45619,G6
0.700165,70.715561,G7
0.807237,75.25396,G7
0.825603,74.476662,G7
0.719546,74.238731,G7
0.772189,38.641808,G7
0.826689,38.536831,G7
0.764244,38.583569,G7
0.669785,74.622139,G7
0.689829,73.155258,G7
0.725398,71.551888,G7
0.971662,26.781996,G8
1.205836,28.80545,G8
1.012403,28.613096,G8
1.103321,27.207085,G8
1.024047,27.657455,G8
1.030701,27.518652,G8
1.039181,27.286549,G8
0.751964,28.26943,G8
1.084829,22.030617,G8
1.015137,19.272738,G8
0.887216,8.117502,G9
1.041891,10.38061,G9
0.848052,10.620007,G9
0.988916,10.668647,G9
0.92677,10.380974,G9
0.953086,10.107798,G9
0.804668,10.786802,G9
0.774487,10.873189,G9
0.766474,10.106714,G9
0.71877,8.679494,G9
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
1.084395,38.291283,G0
1.095757,18.480722,G0
0.664541,19.38308,G0
1.11106,20.122631,G0
1.072685,16.8874,G0
0.928006,17.594244,G0
0.836652,17.135557,G0
0.757962,24.73082,G0
1.107473,24.597374,G0
0.937377,23.893164,G0
0,0,G2
0.6465,1,G2
1.46154,13.236033,G2
0,0,G2
0,0,G2
1.028209,31.299549,G2
0,0,G2
0.750559,1,G2
0.659362,1,G2
0.743639,1,G2
0.79687,1,G3
0.968297,1,G3
0.831962,1,G3
0.816869,1,G3
0.814868,1,G3
0.723149,1,G3
0.791523,1,G3
0.707491,1,G3
0.754073,1,G3
0.659504,1,G3
0.775308,65.318405,G4
1.351838,65.491806,G4
1.228657,65.689003,G4
1.035255,65.159004,G4
1.109588,65.979103,G4
0.953179,66.501663,G4
0.839997,64.783302,G4
0.893107,64.950844,G4
1.235542,16.796658,G4
0.72105,18.161686,G4
0.633958,31.326227,G5
0.891532,31.055428,G5
0.976334,30.137165,G5
0.966125,13.325322,G5
0.779371,31.824545,G5
0.510842,31.048302,G5
0.427131,31.270361,G5
0.925309,28.455935,G5
0.948335,29.550285,G5
0.802045,30.557974,G5
0.647937,16.533199,G6
0.92864,16.692812,G6
0.960474,16.806068,G6
0.892352,18.324083,G6
0.666474,18.348501,G6
0.769496,20.432085,G6
0.805041,20.292376,G6
0.866414,19.460609,G6
0.847177,10.994694,G6
0.890985,18.556179,G6
0.77272,35.495674,G7
1.160069,35.866348,G7
1.443389,75.422852,G7
1.207844,74.180641,G7
1.216426,74.219231,G7
1.24968,74.716354,G7
1.19882,36.625576,G7
0.862795,37.01638,G7
0.920606,36.231289,G7
0.598301,35.962658,G7
0.795187,27.756029,G8
1.036468,29.875498,G8
1.116939,29.024912,G8
0.880468,29.770184,G8
0.991011,29.067978,G8
0.77672,28.48715,G8
1.029906,27.552652,G8
0.726511,27.772738,G8
0.612317,27.101961,G8
1.02613,27.459078,G8
1.232757,10.199184,G9
1.133635,9.973606,G9
1.130398,9.548086,G9
1.1406,9.867544,G9
0.933275,10.096302,G9
0.951265,11.216157,G9
0.978465,10.16984,G9
1.043397,10.423194,G9
0.978916,10.940663,G9
1.2131,9.712573,G9
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0.908698,21.734158,G0
0.992541,19.993917,G0
0.841796,19.555384,G0
0.83607,19.365208,G0
0.843869,20.266689,G0
0.681571,19.79883,G0
0.696714,20.033066,G0
0.595058,19.965027,G0
0.942227,19.920025,G0
1.02037,19.343338,G0
0,0,G2
0,0,G2
0,0,G2
0.904027,1,G2
0.860532,1,G2
0,0,G2
0.845578,1,G2
1.280742,28.548655,G2
0.840209,1,G2
0.919942,1,G2
0.808455,1,G3
0.947213,1,G3
0.888754,34.765259,G3
0.73193,34.224747,G3
0.574298,1,G3
0.561295,1,G3
0.545472,1,G3
0.678693,36.180531,G3
0.69639,36.066982,G3
0.779983,1,G3
1.08582,16.175514,G4
1.318317,60.70116,G4
1.510522,17.382874,G4
1.153748,54.685745,G4
1.121304,53.386639,G4
1.026543,51.185894,G4
0.980889,51.708252,G4
1.011124,51.193108,G4
0.892096,44.698925,G4
1.138649,16.62011,G4
0.853475,25.002468,G5
0.914233,23.565407,G5
0.908718,23.554926,G5
1.090106,15.145056,G5
0.808731,24.546116,G5
0.800222,25.215828,G5
0.857413,24.850992,G5
0.866703,25.214664,G5
0.865421,24.994553,G5
0.852607,25.369968,G5
0.915078,18.557529,G6
0.973619,18.255926,G6
0.992767,19.867907,G6
0.996788,19.679625,G6
0.903235,19.505756,G6
0.916604,19.208815,G6
0.963934,19.328939,G6
0.991339,19.36241,G6
0.964287,19.149912,G6
0.938965,18.686802,G6
0.424214,41.65036,G7
0.479772,82.720444,G7
0.405363,81.116119,G7
0.457093,80.926994,G7
0.508598,80.907379,G7
0.399364,41.784081,G7
0.384122,82.205833,G7
0.383998,81.500969,G7
0.454909,41.573215,G7
0.513884,40.703354,G7
0.786356,28.566439,G8
0.962037,28.018316,G8
0.882369,28.954542,G8
0.873196,27.851723,G8
0.907886,28.691843,G8
0.819426,28.550556,G8
0.688344,28.659933,G8
0.8349,28.599651,G8
0.773971,28.649254,G8
0.747363,28.403507,G8
1.080613,9.350569,G9
0.968518,9.392378,G9
0.861062,10.128499,G9
-0.004083,1,G9
0.835181,8.479247,G9
0.713481,9.791775,G9
0.685098,9.295431,G9
1.174421,9.519137,G9
1.128191,9.536864,G9
1.200381,9.057203,G9
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0,0,G1
0.927925,53.716637,G0
1.02856,24.80554,G0
0.978688,25.275877,G0
0.995054,34.194141,G0
0.972794,51.504112,G0
1.10794,21.811625,G0
0.954092,35.102348,G0
1.050902,21.862902,G0
0.834918,22.217758,G0
0.875696,22.614595,G0
0.124494,1,G2
0,0,G2
0,0,G2
0.092887,1,G2
-0.033828,1,G2
-0.068894,1,G2
0.069475,1,G2
0,0,G2
0.004645,1,G2
-0.02539,1,G2
0.884812,16.691147,G3
1.168917,24.849894,G3
0,0,G3
0.892521,45.526752,G3
0.958842,44.197433,G3
0.593769,1,G3
0.533063,1,G3
0.71201,17.939102,G3
0.734343,17.850607,G3
0.752641,15.450723,G3
0.915433,57.733547,G4
1.434125,16.182154,G4
1.1645,58.437904,G4
1.10203,59.786705,G4
1.047006,58.666309,G4
1.002143,57.534866,G4
1.116914,58.0098,G4
1.006149,57.87122,G4
1.151243,15.781429,G4
1.142098,16.716682,G4
0.800326,26.799511,G5
0.862742,26.523029,G5
0.866905,26.755264,G5
0.851129,26.244251,G5
0.794684,26.312979,G5
0.834876,26.717085,G5
0.836722,26.890064,G5
0.827602,26.496378,G5
0.821288,26.524305,G5
0.816408,26.826714,G5
0.817734,18.025486,G6
0.859687,17.637281,G6
0.827682,18.207529,G6
0.816859,18.219372,G6
0.783414,17.69631,G6
0.783798,17.821014,G6
0.722558,17.335661,G6
0.711204,17.592731,G6
0.780966,17.603882,G6
0.863926,17.810316,G6
0.894478,39.861755,G7
0.93806,82.571655,G7
0.936678,82.437241,G7
0.934665,82.739212,G7
0.917572,80.042664,G7
0.958126,78.914314,G7
0.923267,78.811905,G7
1.018662,40.46273,G7
0.905767,39.887405,G7
0.914272,79.482819,G7
