@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R2-6,12-16,17-19'

@attribute newFingerTipDistRefined_f1 numeric
@attribute newFingerTipDistRefined_f2 numeric
@attribute newFingerTipDistRefined_f3 numeric
@attribute newFingerTipDistRefined_f4 numeric
@attribute newFingerTipDistRefined_f5 numeric
@attribute fingertipElevation_f1 numeric
@attribute fingertipElevation_f2 numeric
@attribute fingertipElevation_f3 numeric
@attribute fingertipElevation_f4 numeric
@attribute fingertipElevation_f5 numeric
@attribute fingersExtended numeric
@attribute fingersAreasAverage numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data
1,0,0,0,0,0.93164,0,0,0,0,1000,0,G2
1,0,0,0,0,0.895883,0,0,0,0,1000,0,G2
1,0,0,0,0,1.561169,0,0,0,0,1000,0,G2
1,0,0,0,0,1.806269,0,0,0,0,1000,0,G2
1,0,0,0,0,1.290485,0,0,0,0,1000,0,G2
1,0,0,0,0,1.071057,0,0,0,0,1000,0,G2
0,0,0,0,0,0,0,0,0,0,1000,0,G2
1,0,0,0,0,0.478922,0,0,0,0,1000,0,G2
1,0,0,0,0,3.137535,0,0,0,0,1,0,G3
0,0,0,0,0,0,0,0,0,0,1,0,G3
1,0,0,0,0,3.661253,0,0,0,0,1,0,G3
1,0,0,0,0,3.471903,0,0,0,0,1,0,G3
0,0,0,0,0,0,0,0,0,0,1,0,G3
1,0,0,0,0,3.61491,0,0,0,0,1,0,G3
1,0,0,0,0,3.042249,0,0,0,0,1,0,G3
1,0,0,0,0,3.268291,0,0,0,0,1,0,G3
1,0,0,0,0,2.449478,0,0,0,0,1,0,G3
1,0,0,0,0,3.606038,0,0,0,0,1,0,G3
1.14579,1.390468,0,0,0,1.955073,2.493204,0,0,0,11000,68.443039,G4
1.337238,1.440091,0,0,0,2.721886,3.170856,0,0,0,11000,73.717079,G4
1,0,0,0,0,1.400174,0,0,0,0,11000,0,G4
1,0,0,0,0,1.687941,0,0,0,0,11000,0,G4
1.323789,0.890019,0,0,0,1.193801,0.556692,0,0,0,11000,36.890366,G4
4.37528,4.654197,4.332036,0,0,5.929871,6.226292,1.330289,0,0,11000,119.785629,G4
2.582871,2.650869,2.217884,0,0,5.095947,3.985072,2.221399,0,0,11000,65.093468,G4
1.26477,1.321825,0,0,0,2.639253,1.974227,0,0,0,11000,64.424599,G4
1.268485,1.443231,0,0,0,1.892025,2.613186,0,0,0,11000,69.695953,G4
1.361626,1.547962,0,0,0,1.015194,1.585306,0,0,0,11000,73.834328,G4
1,0,0,0,0,2.122289,0,0,0,0,1100,0,G5
0.996106,1.052117,0,0,0,1.586052,1.706897,0,0,0,1100,25.616379,G5
1.002491,1.051517,0,0,0,2.089303,2.175918,0,0,0,1100,25.629665,G5
1.006215,1.047652,0,0,0,2.076686,2.163668,0,0,0,1100,25.679893,G5
1.015901,1.033498,0,0,0,2.077395,2.193389,0,0,0,1100,27.027773,G5
1,0,0,0,0,2.069059,0,0,0,0,1100,0,G5
0.991395,1.079591,0,0,0,3.18826,3.2916,0,0,0,1100,27.902817,G5
1,0,0,0,0,3.190281,0,0,0,0,1100,0,G5
0,0,0,0,0,0,0,0,0,0,1100,0,G5
1,0,0,0,0,2.101639,0,0,0,0,1100,0,G5
1.036761,1.153701,0.996828,0,0,2.324026,2.517935,2.306317,0,0,1110,15.463726,G6
1,0,0,0,0,3.054793,0,0,0,0,1110,0,G6
1.02214,1.155104,1.007378,0,0,2.235231,2.490292,2.269758,0,0,1110,14.838311,G6
1.016171,1.160585,1.011492,0,0,2.162264,2.413261,2.189,0,0,1110,15.428191,G6
1.01323,1.162508,1.003663,0,0,2.120311,2.365904,2.140013,0,0,1110,15.437461,G6
1.020718,1.151259,0.996078,0,0,2.546532,2.750862,2.556167,0,0,1110,14.978341,G6
1.012124,1.152325,1.014071,0,0,2.380176,2.605932,2.410807,0,0,1110,15.487595,G6
1.10895,1.05385,0,0,0,2.747643,2.709472,0,0,0,1110,38.0121,G6
1.037224,1.168654,0.993292,0,0,2.535672,2.753147,2.513848,0,0,1110,16.068598,G6
1.021107,1.179351,0.990766,0,0,3.225746,3.458158,3.232599,0,0,1110,16.370155,G6
1.362553,1.402706,0,0,0,2.482913,2.585142,0,0,0,10001,69.908165,G7
1.495028,1.47539,0,0,0,3.797475,3.898848,0,0,0,10001,77.238541,G7
1.525296,1.521101,0,0,0,3.830956,3.925811,0,0,0,10001,79.161362,G7
1.608017,1.527635,0,0,0,3.459963,3.379407,0,0,0,10001,83.083595,G7
1.533414,1.599384,0,0,0,4.532323,4.741308,0,0,0,10001,78.348076,G7
1.742828,0.749626,1.916591,0,0,5.440592,4.877326,5.511092,0,0,10001,17.543447,G7
1.527672,1.532308,0,0,0,2.534494,2.779773,0,0,0,10001,78.815231,G7
1.655551,1.820297,0,0,0,7.381264,8.375031,0,0,0,10001,75.410538,G7
1.520147,1.475253,0,0,0,3.23059,3.456703,0,0,0,10001,79.038055,G7
1.364509,1.43662,0,0,0,3.801165,4.002843,0,0,0,10001,70.284538,G7
1.323038,1.493192,1.272961,0,0,3.647359,4.541636,3.928185,0,0,11001,36.169849,G8
1.717563,1.833593,0,0,0,5.400174,5.742901,0,0,0,11001,87.031273,G8
1.361097,1.639122,1.398471,0,0,3.655792,4.830408,4.076703,0,0,11001,40.576683,G8
1.785518,1.842662,0,0,0,5.708855,6.109691,0,0,0,11001,88.510788,G8
1.487607,1.578825,1.496449,0,0,4.143015,5.293864,4.627994,0,0,11001,40.252026,G8
1.585532,1.689582,0,0,0,4.522891,5.009287,0,0,0,11001,81.049911,G8
1.267448,1.388642,1.307486,0,0,3.672434,4.37043,3.820997,0,0,11001,27.16869,G8
1.406868,1.484619,0,0,0,4.833115,5.031978,0,0,0,11001,71.723534,G8
1.319996,1.435062,1.356818,0,0,3.885646,4.664822,4.101339,0,0,11001,32.047165,G8
1.435517,1.530489,1.410834,0,0,3.950901,4.909639,4.212711,0,0,11001,37.006699,G8
1.224135,1.324919,1.553882,1.23879,0,4.140366,5.090964,5.258568,4.605475,0,11111,19.266119,G9
1.074623,1.262796,1.361339,1.338072,1.159438,3.036631,4.029668,4.13579,4.052598,3.695958,11111,15.042491,G9
1.04729,1.20686,1.339974,1.340831,1.159621,2.651221,3.54582,3.685647,3.625459,3.334631,11111,14.6588,G9
1.217972,1.308928,1.436699,1.390486,1.196883,3.556464,4.680151,4.839375,4.706978,4.295236,11111,14.425028,G9
1,0,0,0,0,1.899161,0,0,0,0,11111,0,G9
1.247904,1.352921,1.456467,1.431395,1.293319,3.914217,5.102254,5.15669,4.987046,4.58841,11111,15.82129,G9
1,0,0,0,0,2.414654,0,0,0,0,11111,0,G9
1.339485,1.335655,1.516683,1.479023,1.277966,2.618071,3.961159,4.167908,4.034494,3.587493,11111,16.535208,G9
1.38298,1.337304,1.551574,1.540417,1.369457,3.132445,4.483907,4.720399,4.584064,4.103108,11111,16.089895,G9
1.243542,1.59266,1.479555,1.313363,0,3.590008,5.240202,5.070769,4.699021,0,11111,25.688187,G9
1,0,0,0,0,1.777302,0,0,0,0,0,0,G1
1,0,0,0,0,2.124987,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,G1
1,0,0,0,0,2.322778,0,0,0,0,0,0,G1
1,0,0,0,0,3.687448,0,0,0,0,0,0,G1
1,0,0,0,0,3.144806,0,0,0,0,0,0,G1
1,0,0,0,0,2.694212,0,0,0,0,0,0,G1
1,0,0,0,0,2.452326,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,G1
1.231874,1.262247,0.879672,0,0,1.747296,1.937189,1.347058,0,0,1101,14.566617,G0
1.213938,1.259386,0.978551,0,0,1.956516,2.218632,1.700621,0,0,1101,16.844587,G0
1.223786,1.256832,0.950821,0,0,2.161407,2.43873,1.93843,0,0,1101,16.703552,G0
1.29586,1.321256,0.99597,0,0,2.057047,2.383836,1.730752,0,0,1101,18.728821,G0
1.54977,1.569883,0.608505,1.261545,0,1.960845,2.540933,1.456636,2.030975,0,1101,15.597527,G0
1.221959,1.242875,0.906978,0,0,1.945522,2.194056,1.710254,0,0,1101,20.908434,G0
1.179181,1.158932,0.969527,0,0,3.866393,3.99514,3.687164,0,0,1101,17.034702,G0
1.218792,1.236568,0.961816,0,0,3.266629,3.53889,3.087073,0,0,1101,19.25824,G0
1.226592,1.255801,0.934303,0,0,2.081799,2.343077,1.830847,0,0,1101,18.870056,G0
1.318948,1.312379,0.900718,0,0,1.955744,2.154966,1.429949,0,0,1101,15.930725,G0
1,0,0,0,0,0.514539,0,0,0,0,1000,0,G2
1,0,0,0,0,0.680598,0,0,0,0,1000,0,G2
0,0,0,0,0,0,0,0,0,0,1000,0,G2
0,0,0,0,0,0,0,0,0,0,1000,0,G2
1,0,0,0,0,0.651294,0,0,0,0,1000,0,G2
1,0,0,0,0,0.708041,0,0,0,0,1000,0,G2
1.390457,0.671405,0,0,0,1.044729,0.433266,0,0,0,1000,18.586517,G2
1.409506,0.65759,0,0,0,1.10383,0.43582,0,0,0,1000,18.952829,G2
1.402403,0.663032,0,0,0,1.345424,0.686488,0,0,0,1000,19.019991,G2
1.410385,0.668234,0,0,0,0.845885,0.188437,0,0,0,1000,20.502623,G2
1,0,0,0,0,1.761956,0,0,0,0,1,0,G3
1,0,0,0,0,2.427105,0,0,0,0,1,0,G3
1,0,0,0,0,1.959951,0,0,0,0,1,0,G3
1,0,0,0,0,2.267077,0,0,0,0,1,0,G3
1,0,0,0,0,2.859358,0,0,0,0,1,0,G3
1,0,0,0,0,2.23115,0,0,0,0,1,0,G3
0.958517,1.518914,0,0,0,2.81739,3.385674,0,0,0,1,43.806084,G3
1,0,0,0,0,1.703367,0,0,0,0,1,0,G3
1,0,0,0,0,1.72396,0,0,0,0,1,0,G3
1,0,0,0,0,1.93749,0,0,0,0,1,0,G3
1.044875,1.371887,0,0,0,1.225886,1.701352,0,0,0,11000,53.363533,G4
1.03314,1.32875,0,0,0,1.480442,1.861036,0,0,0,11000,55.445675,G4
1.035889,1.331875,0,0,0,1.364171,1.650402,0,0,0,11000,57.632858,G4
1.251107,1.613654,0.845595,0,0,1.681572,2.086187,1.209855,0,0,11000,31.933825,G4
1.240829,1.68375,0.835185,0,0,1.307954,2.213711,1.230309,0,0,11000,32.241947,G4
1.275016,1.635229,0.848882,0,0,1.213791,2.075226,1.145435,0,0,11000,32.935017,G4
1.281491,1.62056,0.876318,0,0,1.6922,2.487475,1.600553,0,0,11000,33.269924,G4
1.297518,1.662786,0.885705,0,0,1.249614,2.112467,1.179361,0,0,11000,34.57196,G4
1.055298,1.348257,0,0,0,1.54044,1.96664,0,0,0,11000,53.907883,G4
1.05845,1.35198,0,0,0,1.591134,2.053533,0,0,0,11000,54.080479,G4
1.075695,1.073737,0,0,0,1.905487,1.854031,0,0,0,1100,35.383423,G5
1.043373,1.082661,0,0,0,2.062269,2.112619,0,0,0,1100,35.510876,G5
1.0362,1.077828,0,0,0,1.831598,1.917133,0,0,0,1100,36.217762,G5
2.485811,2.645671,2.683549,0,0,3.896853,4.667479,0.378649,0,0,1100,58.507679,G5
1.021522,1.085004,0,0,0,2.131417,2.21418,0,0,0,1100,35.175339,G5
1.035015,1.089712,0,0,0,2.620394,2.695342,0,0,0,1100,36.02306,G5
1.04583,1.087219,0,0,0,2.040568,2.083658,0,0,0,1100,35.848511,G5
1.072826,1.091221,0,0,0,1.926158,1.955444,0,0,0,1100,35.379021,G5
1.047692,1.076644,0,0,0,1.899811,1.933576,0,0,0,1100,33.79295,G5
1.062927,1.079596,0,0,0,1.763835,1.727625,0,0,0,1100,35.247337,G5
1.039745,1.102573,0.968233,0,0,1.958068,2.065973,1.866892,0,0,1110,9.428574,G6
1.289748,1.354539,0.600773,1.265327,0,2.57332,2.739355,1.668595,2.538485,0,1110,8.840269,G6
1.053252,1.096191,1.002216,0,0,1.801968,1.916539,1.738299,0,0,1110,11.603854,G6
1.104152,1.137588,0.981874,0,0,1.997224,2.151975,1.88613,0,0,1110,11.417221,G6
1.061707,1.123521,1.003844,0,0,2.32594,2.444495,2.179388,0,0,1110,9.845193,G6
1.039279,1.114564,1.001766,0,0,1.909319,2.065951,1.888517,0,0,1110,9.979114,G6
1.032279,1.097495,0.996246,0,0,2.470532,2.606683,2.449893,0,0,1110,9.520653,G6
1.040026,1.105345,0.986658,0,0,2.815992,2.974155,2.799173,0,0,1110,9.669628,G6
1.030378,1.105459,0.998882,0,0,2.799346,2.95688,2.783392,0,0,1110,9.823969,G6
1.016864,1.106099,0.989156,0,0,2.559534,2.695724,2.51478,0,0,1110,10.124149,G6
1.48451,1.495176,0,0,0,1.011761,0.956591,0,0,0,10001,80.422737,G7
1.559994,0.991845,1.691039,0,0,1.229554,1.384579,1.869916,0,0,10001,24.369425,G7
1.528104,1.00054,1.628437,0,0,1.618637,1.711591,2.142963,0,0,10001,24.752146,G7
1.426547,1.593795,0,0,0,2.434556,2.848105,0,0,0,10001,74.734032,G7
1.483242,1.586853,0,0,0,2.527049,2.606421,0,0,0,10001,76.033142,G7
1.558045,0.992799,1.626951,0,0,1.356734,1.479126,1.934364,0,0,10001,24.768681,G7
1.539915,1.049817,0.976128,1.586575,0,1.531411,1.642864,1.471326,1.872988,0,10001,13.272937,G7
1.785488,1.063701,1.059552,1.815837,0,0.710862,0.900476,0.729625,1.209474,0,10001,13.106444,G7
1.894308,1.034957,1.085044,1.891683,0,1.005833,1.145414,0.992289,1.53884,0,10001,13.278553,G7
1.846188,1.083244,1.095145,1.914507,0,0.214614,0.09792,0.0326,0.50894,0,10001,13.301299,G7
2.000269,2.868088,2.240199,2.393213,0,2.618955,4.25606,3.400037,0.51094,0,11001,35.159847,G8
1.181476,0.970397,0,0,0,2.265623,1.822753,0,0,0,11001,40.308922,G8
1.086569,1.429008,1.213705,0,0,2.406044,3.169844,2.620257,0,0,11001,24.528629,G8
1.074405,1.459269,1.144319,0,0,1.811319,2.549367,1.883199,0,0,11001,24.264366,G8
1.064703,1.444371,1.169845,0,0,1.712801,2.434833,1.788014,0,0,11001,25.483545,G8
1.079626,1.438076,1.130369,0,0,1.375134,2.043718,1.370904,0,0,11001,24.668108,G8
1.028131,1.474878,1.198357,0,0,1.172054,1.934845,1.312227,0,0,11001,26.331705,G8
1.024392,1.477354,1.210173,0,0,1.856683,2.637744,1.996173,0,0,11001,27.209732,G8
1.139236,1.580526,0.867405,1.298498,0,3.146877,4.077566,3.276005,3.425293,0,11001,16.666693,G8
2.261693,3.207315,2.541823,2.998256,0,4.657246,6.520862,5.495451,0.825639,0,11001,44.271637,G8
0.987537,1.232341,1.450275,1.370264,1.241734,2.886926,3.855342,4.085877,3.918613,3.474774,11111,10.935635,G9
0.980028,1.238607,1.403978,1.339413,1.234221,2.330731,3.232668,3.410392,3.26334,2.84068,11111,10.66839,G9
1.012867,1.358067,1.392545,1.319466,1.194366,2.448194,3.593818,3.676095,3.54543,3.163843,11111,12.52271,G9
0.963031,1.214738,1.409905,1.352955,1.209862,2.848297,3.72731,3.910608,3.753439,3.336542,11111,10.820264,G9
0.994658,1.250602,1.382173,1.337316,1.20776,3.191601,4.125418,4.277683,4.147567,3.761934,11111,10.938109,G9
1.01315,1.311628,1.397072,1.348429,1.169892,2.628631,3.664258,3.766043,3.626928,3.182909,11111,11.197824,G9
1.022288,1.340066,1.405767,1.300761,1.113181,2.091589,3.154746,3.258385,3.08598,2.679865,11111,11.903898,G9
0.85684,1.261064,1.239723,0,0,2.244422,2.877027,2.769956,0,0,11111,22.077978,G9
1.120802,1.56685,1.44645,0,0,4.39732,5.471673,4.837096,0,0,11111,29.894125,G9
0.979921,1.2457,1.405801,1.372915,1.222946,2.917695,3.898855,4.064389,3.943558,3.506793,11111,11.146586,G9
0,0,0,0,0,0,0,0,0,0,0,0,G1
1,0,0,0,0,1.040206,0,0,0,0,0,0,G1
1.035874,0.968071,0,0,0,0.881522,0.994497,0,0,0,0,5.416896,G1
0,0,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,G1
1,0,0,0,0,3.937115,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,G1
1.95785,2.010387,1.364172,1.198732,0,3.200804,3.866323,3.432589,1.578599,0,1101,16.548107,G0
1.224612,1.244117,0.864744,0,0,2.869781,3.06101,2.529032,0,0,1101,14.510384,G0
1.2293,1.240222,0.836935,0,0,3.455971,3.626464,3.077377,0,0,1101,14.342751,G0
4.022993,4.107459,3.410822,2.804549,2.450487,7.758927,8.722976,1.401234,7.393506,3.218856,1101,24.003157,G0
1.190411,1.207986,0.880791,0,0,1.929311,2.121263,1.66838,0,0,1101,13.945426,G0
1.2084,1.229562,0.881301,0,0,1.962166,2.130976,1.614336,0,0,1101,14.527101,G0
1.226245,1.254268,0.878783,0,0,2.668828,2.823006,2.236153,0,0,1101,14.004051,G0
1.026994,1.029347,0,0,0,2.519809,2.537647,0,0,0,1101,22.023912,G0
2.166431,2.158537,1.457892,1.507979,0,5.07996,5.543409,4.864698,2.488564,0,1101,16.006475,G0
2.065207,2.07847,1.363204,1.317068,0,5.056568,5.529736,4.884039,2.807004,0,1101,15.417848,G0
1,0,0,0,0,0.782167,0,0,0,0,1000,0,G2
0,0,0,0,0,0,0,0,0,0,1000,0,G2
0,0,0,0,0,0,0,0,0,0,1000,0,G2
0,0,0,0,0,0,0,0,0,0,1000,0,G2
1,0,0,0,0,0.811374,0,0,0,0,1000,0,G2
1,0,0,0,0,0.624098,0,0,0,0,1000,0,G2
1,0,0,0,0,0.96388,0,0,0,0,1000,0,G2
0,0,0,0,0,0,0,0,0,0,1000,0,G2
1,0,0,0,0,0.669806,0,0,0,0,1000,0,G2
1,0,0,0,0,0.819212,0,0,0,0,1000,0,G2
1.767369,3.147593,0,0,0,5.588802,8.966497,0,0,0,1,49.595951,G3
0,0,0,0,0,0,0,0,0,0,1,0,G3
2.123695,1.138777,0,0,0,3.357691,1.68142,0,0,0,1,53.400436,G3
1,0,0,0,0,1.962697,0,0,0,0,1,0,G3
1,0,0,0,0,2.435554,0,0,0,0,1,0,G3
1,0,0,0,0,2.509979,0,0,0,0,1,0,G3
1,0,0,0,0,2.32126,0,0,0,0,1,0,G3
1,0,0,0,0,2.432033,0,0,0,0,1,0,G3
1,0,0,0,0,2.480385,0,0,0,0,1,0,G3
1,0,0,0,0,2.548279,0,0,0,0,1,0,G3
1.044581,1.342762,0,0,0,1.92091,2.217389,0,0,0,11000,50.252277,G4
1.020261,1.317115,0,0,0,1.920436,2.281158,0,0,0,11000,48.429398,G4
1.321737,1.651428,0.750893,0,0,2.536567,3.216953,2.18216,0,0,11000,29.924503,G4
1.062852,1.324382,0,0,0,1.971869,2.394318,0,0,0,11000,50.12207,G4
1,0,0,0,0,2.732039,0,0,0,0,11000,0,G4
1.073794,1.30584,0,0,0,2.382105,2.670159,0,0,0,11000,49.292255,G4
1,0,0,0,0,2.472052,0,0,0,0,11000,0,G4
2.426123,3.016772,3.896007,0,0,5.081109,5.19557,0.39465,0,0,11000,57.205299,G4
1.06402,1.320101,0,0,0,1.956647,2.264404,0,0,0,11000,50.425652,G4
2.693208,3.57611,2.55779,0,0,4.982361,6.120978,0.608062,0,0,11000,65.50779,G4
2.199001,1.639516,2.16513,0,0,3.765091,0.737544,3.4505,0,0,1100,32.543568,G5
2.141883,2.164821,1.42265,0,0,3.384465,3.725769,0.638286,0,0,1100,25.859247,G5
2.333807,2.369031,1.853207,0,0,5.593565,5.910605,2.083252,0,0,1100,30.070374,G5
1.039327,1.02623,0,0,0,2.093861,2.101737,0,0,0,1100,26.184465,G5
2.224463,2.196892,1.603008,0,0,4.059782,4.40859,1.17984,0,0,1100,28.065109,G5
1.031071,1.03258,0,0,0,1.656116,1.69653,0,0,0,1100,26.263199,G5
1.036528,1.036541,0,0,0,1.798941,1.804901,0,0,0,1100,27.691299,G5
1.04369,1.03313,0,0,0,2.568328,2.561266,0,0,0,1100,27.695864,G5
1.053785,1.028066,0,0,0,3.158669,3.18687,0,0,0,1100,28.322369,G5
2.297215,1.865202,2.255105,0,0,5.362423,1.921971,5.017191,0,0,1100,35.310863,G5
1.077393,1.096172,0.999455,0,0,1.579357,1.806409,1.735807,0,0,1110,12.993946,G6
2.02605,2.017681,1.018541,0,0,2.820252,3.387056,0.9349,0,0,1110,39.22271,G6
1.049701,1.090621,1.000589,0,0,1.585589,1.715658,1.609502,0,0,1110,13.663955,G6
1.657778,1.694712,1.652378,1.022134,0,2.747815,2.996877,2.968055,0.722541,0,1110,16.007074,G6
1.060439,1.085207,0.994052,0,0,1.516607,1.69428,1.633131,0,0,1110,11.522738,G6
1.053896,1.093207,0.987668,0,0,1.645035,1.852884,1.783288,0,0,1110,12.43867,G6
1.631044,1.675166,1.546922,0.848904,0,2.539201,2.884054,2.807809,0.778021,0,1110,13.015529,G6
1.930307,1.973415,1.798293,1.506046,0,2.169876,2.692333,2.55109,0.262122,0,1110,17.903217,G6
1.092185,1.09543,1.040959,0,0,2.311286,2.460773,2.325623,0,0,1110,12.717153,G6
1.102517,1.07224,1.01456,0,0,2.888182,2.963516,2.827507,0,0,1110,12.520615,G6
1.168145,1.134916,0,0,0,2.192527,2.306137,0,0,0,10001,53.090115,G7
1.223495,0.873493,0,0,0,2.098306,1.75715,0,0,0,10001,28.018694,G7
1,0,0,0,0,2.219085,0,0,0,0,10001,0,G7
1.216762,0.883311,1.279985,0,0,2.246607,2.023843,2.321926,0,0,10001,15.145524,G7
1.285366,0.929974,1.320914,0,0,2.159252,1.875043,2.157629,0,0,10001,16.040144,G7
2.118208,1.40491,2.161539,1.199585,0,4.417421,4.073871,4.702125,1.875468,0,10001,18.946047,G7
1.137746,1.197523,0,0,0,2.523398,2.696643,0,0,0,10001,53.317043,G7
5.048168,4.890337,3.183431,5.385864,0,9.964713,12.381773,6.060918,3.987506,0,10001,73.7379,G7
4.323671,2.149851,4.516919,2.982833,0,8.969092,4.264287,7.81752,1.955696,0,10001,43.990543,G7
2.969179,3.065279,2.913431,0,0,5.735237,6.370481,1.248434,0,0,10001,68.384651,G7
1.055772,1.485599,1.14343,0,0,2.463647,3.189894,2.539773,0,0,11001,21.129341,G8
0.944878,1.262862,0,0,0,2.552048,2.908525,0,0,0,11001,35.649731,G8
1.075548,1.432343,1.095183,0,0,2.625465,3.310952,2.756505,0,0,11001,21.487328,G8
4.601766,5.814073,4.274864,8.398026,0,13.37717,16.406713,14.285071,2.789194,0,11001,72.484947,G8
1.035103,1.453821,1.104803,0,0,2.271872,2.93282,2.30768,0,0,11001,21.154732,G8
1.085711,1.494142,1.140937,0,0,2.384982,3.216164,2.59698,0,0,11001,22.493742,G8
1.063757,1.448941,1.112628,0,0,3.270124,4.019603,3.459401,0,0,11001,22.281046,G8
1.088945,1.408296,1.116165,0,0,4.73728,5.407362,4.905256,0,0,11001,20.742393,G8
1.141092,1.456135,1.102365,0,0,3.730794,4.469506,3.892395,0,0,11001,22.39427,G8
1.128675,1.494483,1.10443,0,0,3.08476,3.858044,3.208477,0,0,11001,22.674759,G8
1.013166,1.3929,1.382275,1.350179,1.229316,2.605869,3.583256,3.591082,3.476862,2.806365,11111,10.585863,G9
1.024812,1.353729,1.427092,1.32135,1.156443,1.26991,2.19238,2.324479,2.169836,1.536889,11111,9.982105,G9
1.110521,1.454095,1.464804,1.416357,1.270064,1.967825,3.13889,3.205146,3.083863,2.320241,11111,11.447453,G9
1.201024,1.455367,1.44199,1.242957,0,4.289592,5.136301,5.129916,4.419653,0,11111,14.678608,G9
1.23529,1.176529,1.119917,1.038517,0,3.943308,4.039729,4.006492,3.576392,0,11111,10.771594,G9
1.193112,1.217629,1.120489,0.994457,0,2.229235,2.401072,2.326977,1.889486,0,11111,10.517155,G9
1.038206,1.353937,1.416972,1.341329,1.193953,1.830875,2.764143,2.869909,2.733367,2.075783,11111,10.132499,G9
1.047183,1.302948,1.417079,1.328552,1.148158,1.48832,2.336564,2.509696,2.377496,1.753782,11111,9.755891,G9
0.967905,1.346194,1.399953,1.260827,1.083269,1.746774,2.628773,2.724137,2.545563,1.978785,11111,9.978333,G9
0.990776,1.217844,1.365623,1.275619,1.142608,2.687785,3.385308,3.56586,3.432508,2.926412,11111,9.092672,G9
1,0,0,0,0,1.613176,0,0,0,0,0,0,G1
1,0,0,0,0,1.63355,0,0,0,0,0,0,G1
1,0,0,0,0,1.616138,0,0,0,0,0,0,G1
1,0,0,0,0,1.208764,0,0,0,0,0,0,G1
1,0,0,0,0,1.382959,0,0,0,0,0,0,G1
1,0,0,0,0,1.913025,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,0,G1
1,0,0,0,0,1.825747,0,0,0,0,0,0,G1
1.217811,1.204233,1.061921,0,0,3.304496,3.448358,3.020074,0,0,1101,22.824327,G0
1.236176,1.246219,1.062513,0,0,4.541755,4.727411,4.205803,0,0,1101,22.040724,G0
1.246101,1.252298,1.075777,0,0,3.824039,4.012097,3.487435,0,0,1101,23.467112,G0
1.240263,1.251797,1.085791,0,0,3.142044,3.325052,2.7981,0,0,1101,23.512405,G0
