@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R18,19'

@attribute fingersAreasAverage numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data
33.296272,G4
50.63102,G4
55.133663,G4
33.506176,G4
34.142021,G4
34.076229,G4
33.88287,G4
33.99649,G4
33.043938,G4
55.099251,G4
27.466497,G5
27.646662,G5
27.798517,G5
27.890408,G5
27.676783,G5
27.788082,G5
27.94903,G5
28.034847,G5
27.223623,G5
27.652082,G5
10.600265,G6
12.493134,G6
12.144472,G6
12.252865,G6
11.801364,G6
11.276435,G6
11.143898,G6
11.084279,G6
11.515809,G6
10.676915,G6
72.201683,G7
72.33197,G7
73.953262,G7
72.239662,G7
72.002129,G7
71.816238,G7
72.34948,G7
72.178688,G7
70.320694,G7
71.736969,G7
30.849527,G8
31.945534,G8
21.481026,G8
21.277641,G8
30.22794,G8
30.293285,G8
30.427029,G8
29.231491,G8
32.178814,G8
18.19803,G8
16.925793,G9
14.389993,G9
15.048035,G9
15.112064,G9
15.101608,G9
14.763071,G9
14.635629,G9
14.770207,G9
14.422077,G9
14.827865,G9
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
16.554995,G0
16.697701,G0
16.640194,G0
17.435453,G0
17.180277,G0
19.8237,G0
16.431669,G0
17.089495,G0
17.478935,G0
15.793607,G0
0,G2
0,G2
0,G2
0,G2
0,G2
0,G2
0,G2
0,G2
0,G2
0,G2
0,G3
37.467548,G3
0,G3
0,G3
0,G3
0,G3
0,G3
0,G3
0,G3
0,G3
0,G4
43.335747,G4
32.805344,G4
44.423435,G4
39.716812,G4
47.848164,G4
55.99432,G4
47.99987,G4
45.919861,G4
0,G4
21.402111,G5
23.92918,G5
16.443775,G5
0,G5
22.162588,G5
22.216434,G5
21.863609,G5
10.608878,G5
0,G5
0,G5
17.562973,G6
9.360357,G6
0,G6
10.988033,G6
11.582254,G6
22.681602,G6
11.771588,G6
0,G6
0,G6
11.953943,G6
37.84771,G7
72.603188,G7
0,G7
0,G7
70.606186,G7
70.109825,G7
0,G7
70.54409,G7
70.084503,G7
70.591492,G7
22.836306,G8
23.786694,G8
38.128246,G8
31.819365,G8
22.626364,G8
23.33161,G8
26.163639,G8
37.014832,G8
23.01911,G8
24.572662,G8
11.60432,G9
15.68569,G9
13.020551,G9
13.174008,G9
13.541288,G9
13.963314,G9
11.450706,G9
11.691153,G9
13.243307,G9
11.963731,G9
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
15.414836,G0
15.732098,G0
15.360113,G0
15.894578,G0
16.003513,G0
16.262325,G0
15.865169,G0
14.827022,G0
15.286278,G0
15.282679,G0
0,G2
0,G2
0,G2
0,G2
0,G2
0,G2
0,G2
0,G2
0,G2
0,G2
0,G3
0,G3
0,G3
0,G3
0,G3
0,G3
0,G3
0,G3
0,G3
0,G3
60.291145,G4
65.190086,G4
57.752979,G4
0,G4
39.172405,G4
0,G4
64.328163,G4
64.884415,G4
67.481865,G4
65.172585,G4
26.83696,G5
0,G5
0,G5
0,G5
31.140699,G5
32.815556,G5
28.256777,G5
25.189964,G5
0,G5
27.55373,G5
13.034572,G6
12.882414,G6
12.669732,G6
12.510807,G6
12.874411,G6
12.64854,G6
8.340778,G6
12.481422,G6
13.877941,G6
14.421288,G6
67.945549,G7
17.541431,G7
102.651253,G7
17.548336,G7
70.948708,G7
16.00613,G7
66.473228,G7
66.771965,G7
65.038383,G7
66.394348,G7
20.891115,G8
31.38324,G8
31.686392,G8
27.707554,G8
30.502422,G8
30.108883,G8
32.0201,G8
30.925774,G8
30.326429,G8
29.19313,G8
14.871129,G9
15.45827,G9
15.54511,G9
18.85865,G9
16.058281,G9
14.938213,G9
15.092463,G9
19.273312,G9
14.222714,G9
18.356731,G9
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
18.602095,G0
19.103363,G0
19.502136,G0
54.984791,G0
20.512224,G0
21.153313,G0
20.143066,G0
18.271017,G0
0,G0
18.643627,G0
0,G2
0,G2
0,G2
0,G2
0,G2
0,G2
0,G2
0,G2
33.111378,G2
0,G2
0,G3
0,G3
0,G3
0,G3
0,G3
0,G3
0,G3
0,G3
0,G3
0,G3
0,G4
37.780254,G4
37.759594,G4
61.082603,G4
57.431267,G4
54.200619,G4
54.161648,G4
56.480007,G4
57.925606,G4
56.000134,G4
26.642244,G5
37.154068,G5
34.104729,G5
0,G5
26.021835,G5
24.800642,G5
0,G5
26.962458,G5
26.692886,G5
26.765795,G5
14.419652,G6
13.980266,G6
13.790158,G6
12.807755,G6
12.728557,G6
11.69571,G6
12.744465,G6
17.39362,G6
14.064658,G6
13.747697,G6
65.847382,G7
0,G7
0,G7
68.86422,G7
71.958382,G7
67.966751,G7
65.299904,G7
65.007561,G7
65.652946,G7
65.71978,G7
17.425009,G8
35.822414,G8
35.181747,G8
19.668652,G8
36.476154,G8
35.942204,G8
37.097717,G8
37.527866,G8
20.820482,G8
34.15572,G8
11.699731,G9
12.628167,G9
12.207233,G9
12.43906,G9
11.927761,G9
11.963775,G9
10.038693,G9
12.074634,G9
11.922388,G9
11.819717,G9
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
18.811268,G0
18.494146,G0
19.315109,G0
36.385403,G0
19.130991,G0
18.309029,G0
18.866501,G0
19.557667,G0
19.083689,G0
18.804966,G0
0,G2
0,G2
0,G2
0,G2
0,G2
0,G2
0,G2
0,G2
0,G2
0,G2
0,G3
0,G3
0,G3
0,G3
0,G3
0,G3
0,G3
0,G3
0,G3
0,G3
58.086987,G4
57.091476,G4
56.859406,G4
57.191746,G4
55.289829,G4
57.419991,G4
55.999855,G4
57.919682,G4
55.645729,G4
58.284771,G4
31.363859,G5
31.544939,G5
30.578329,G5
0,G5
30.718582,G5
31.152681,G5
30.603867,G5
0,G5
0,G5
0,G5
15.984392,G6
16.341978,G6
15.018908,G6
16.018679,G6
16.434715,G6
16.544458,G6
46.536037,G6
16.848862,G6
17.554724,G6
16.429516,G6
72.915581,G7
71.795464,G7
0,G7
74.483971,G7
72.88903,G7
71.345612,G7
72.90947,G7
73.319832,G7
71.310219,G7
72.125488,G7
34.427608,G8
32.089016,G8
25.26207,G8
33.60833,G8
23.090273,G8
32.88961,G8
34.41729,G8
23.938074,G8
32.895592,G8
34.254963,G8
13.020841,G9
14.066669,G9
14.519238,G9
15.189454,G9
13.949447,G9
14.054062,G9
14.261609,G9
13.942237,G9
15.662137,G9
16.114531,G9
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
20.222763,G0
20.441021,G0
20.348843,G0
20.45669,G0
20.165571,G0
20.57765,G0
20.532778,G0
20.446411,G0
20.291227,G0
20.502003,G0
0,G2
0,G2
0,G2
0,G2
0,G2
0,G2
0,G2
0,G2
0,G2
0,G2
8.506701,G3
7.927714,G3
10.126935,G3
0,G3
0,G3
0,G3
0,G3
0,G3
4.00193,G3
5.273829,G3
59.469852,G4
61.977364,G4
37.023201,G4
36.108124,G4
59.102325,G4
58.927902,G4
55.643902,G4
35.484982,G4
36.417511,G4
58.243668,G4
15.204402,G5
15.611122,G5
20.38121,G5
13.163218,G5
18.398626,G5
20.161581,G5
20.579874,G5
21.918484,G5
21.838837,G5
22.028656,G5
11.002748,G6
11.471162,G6
12.025717,G6
11.960608,G6
11.679926,G6
11.151379,G6
11.175306,G6
11.454941,G6
11.354268,G6
10.899066,G6
70.715561,G7
75.25396,G7
74.476662,G7
74.238731,G7
20.394182,G7
20.787096,G7
20.740063,G7
74.622139,G7
73.155258,G7
71.551888,G7
30.159611,G8
30.68437,G8
30.711941,G8
29.33654,G8
30.096943,G8
29.834091,G8
29.859224,G8
30.1476,G8
20.559805,G8
19.986025,G8
11.842862,G9
12.286974,G9
12.514143,G9
12.39028,G9
12.920377,G9
12.921152,G9
12.44127,G9
12.405012,G9
12.407364,G9
11.703811,G9
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
38.291283,G0
12.934437,G0
14.054604,G0
14.077072,G0
14.365895,G0
12.984159,G0
12.616647,G0
18.986254,G0
19.189852,G0
17.983747,G0
0,G2
0,G2
19.962561,G2
0,G2
0,G2
31.299549,G2
0,G2
0,G2
0,G2
0,G2
0,G3
0,G3
0,G3
0,G3
0,G3
0,G3
0,G3
0,G3
0,G3
0,G3
65.318405,G4
65.491806,G4
65.689003,G4
65.159004,G4
65.979103,G4
66.501663,G4
64.783302,G4
64.950844,G4
40.072521,G4
40.057564,G4
31.326227,G5
31.055428,G5
30.137165,G5
21.077435,G5
31.824545,G5
31.048302,G5
31.270361,G5
28.455935,G5
29.550285,G5
30.557974,G5
10.962829,G6
15.889691,G6
12.325838,G6
12.433205,G6
14.303123,G6
13.794686,G6
13.182417,G6
11.863045,G6
9.361637,G6
12.254139,G6
22.817312,G7
20.961185,G7
75.422852,G7
74.180641,G7
74.219231,G7
74.716354,G7
23.031393,G7
21.26733,G7
23.569609,G7
23.718374,G7
30.310886,G8
28.906607,G8
30.201185,G8
28.250303,G8
29.197598,G8
28.757271,G8
30.158821,G8
29.526928,G8
28.716925,G8
30.587416,G8
17.582968,G9
16.574476,G9
17.814692,G9
16.344118,G9
16.783291,G9
16.749815,G9
16.752924,G9
17.123053,G9
16.685291,G9
16.747688,G9
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
21.734158,G0
14.578268,G0
14.337141,G0
14.679775,G0
14.932344,G0
14.591198,G0
14.462708,G0
15.354807,G0
15.224584,G0
14.201804,G0
0,G2
0,G2
0,G2
0,G2
0,G2
0,G2
0,G2
28.548655,G2
0,G2
0,G2
0,G3
0,G3
34.765259,G3
34.224747,G3
0,G3
0,G3
0,G3
36.180531,G3
36.066982,G3
0,G3
30.251825,G4
60.70116,G4
35.075939,G4
54.685745,G4
53.386639,G4
51.185894,G4
51.708252,G4
51.193108,G4
44.698925,G4
30.704094,G4
25.002468,G5
23.565407,G5
23.554926,G5
10.031334,G5
24.546116,G5
25.215828,G5
24.850992,G5
25.214664,G5
24.994553,G5
25.369968,G5
14.840924,G6
12.684095,G6
15.127806,G6
15.22063,G6
14.385508,G6
13.945935,G6
14.153194,G6
13.430962,G6
13.968836,G6
14.532871,G6
23.504118,G7
82.720444,G7
81.116119,G7
80.926994,G7
80.907379,G7
21.232676,G7
82.205833,G7
81.500969,G7
21.868387,G7
24.670237,G7
30.617783,G8
34.704384,G8
35.282455,G8
35.554012,G8
34.389301,G8
35.968494,G8
35.45203,G8
33.578201,G8
33.527287,G8
31.901363,G8
14.343088,G9
15.246058,G9
14.282757,G9
0,G9
14.819567,G9
14.600519,G9
14.41014,G9
14.054564,G9
14.329936,G9
14.97854,G9
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
53.716637,G0
16.303684,G0
15.284665,G0
34.194141,G0
51.504112,G0
19.310116,G0
35.102348,G0
19.004843,G0
18.070929,G0
18.38364,G0
0,G2
0,G2
0,G2
0,G2
0,G2
0,G2
0,G2
0,G2
0,G2
0,G2
16.691147,G3
9.21261,G3
0,G3
45.526752,G3
44.197433,G3
0,G3
0,G3
17.939102,G3
17.850607,G3
15.450723,G3
57.733547,G4
34.491798,G4
58.437904,G4
59.786705,G4
58.666309,G4
57.534866,G4
58.0098,G4
57.87122,G4
35.042103,G4
36.454254,G4
26.799511,G5
26.523029,G5
26.755264,G5
26.244251,G5
26.312979,G5
26.717085,G5
26.890064,G5
26.496378,G5
26.524305,G5
26.826714,G5
13.46157,G6
13.432396,G6
13.911746,G6
13.249393,G6
12.395985,G6
12.795446,G6
13.137368,G6
12.755845,G6
13.097763,G6
13.276139,G6
24.491404,G7
82.571655,G7
82.437241,G7
82.739212,G7
80.042664,G7
78.914314,G7
78.811905,G7
26.482174,G7
24.279669,G7
79.482819,G7
35.905624,G8
37.780666,G8
37.827599,G8
37.3811,G8
37.310741,G8
32.214657,G8
47.382343,G8
48.159908,G8
47.962708,G8
33.00985,G8
12.908893,G9
14.387162,G9
14.193451,G9
13.187175,G9
8.462744,G9
12.431676,G9
12.579889,G9
12.607752,G9
12.832996,G9
8.409039,G9
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
36.431053,G0
19.393417,G0
19.142658,G0
20.190027,G0
14.491158,G0
19.908031,G0
19.817196,G0
20.651249,G0
21.692009,G0
20.390079,G0
0,G2
15.263703,G2
0,G2
0,G2
15.096219,G2
0,G2
0,G2
0,G2
0,G2
0,G2
0,G3
0,G3
0,G3
0,G3
0,G3
0,G3
39.014492,G3
18.054581,G3
0,G3
0,G3
64.775955,G4
72.325745,G4
70.673332,G4
64.577225,G4
66.82843,G4
42.459885,G4
65.615578,G4
64.435852,G4
40.641994,G4
64.698387,G4
36.208942,G5
36.89492,G5
36.415234,G5
25.517635,G5
36.463387,G5
37.810131,G5
36.321648,G5
16.473413,G5
14.203491,G5
27.106121,G5
13.911221,G6
12.642676,G6
12.5863,G6
12.066028,G6
12.965552,G6
12.647832,G6
12.412419,G6
12.569295,G6
13.49247,G6
14.091045,G6
15.998413,G7
72.363976,G7
72.157265,G7
20.877779,G7
18.370783,G7
15.864538,G7
62.205849,G7
63.946724,G7
61.445362,G7
16.122261,G7
26.719172,G8
32.137413,G8
32.281239,G8
32.512428,G8
31.593859,G8
30.211248,G8
29.916132,G8
30.356564,G8
31.050333,G8
38.858223,G8
12.638084,G9
12.258624,G9
11.723676,G9
12.343249,G9
12.374295,G9
12.655218,G9
13.104271,G9
12.358745,G9
12.860179,G9
12.860562,G9
35.591549,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
0,G1
18.088772,G0
19.365438,G0
18.35498,G0
34.513943,G0
17.796501,G0
19.495653,G0
18.909775,G0
35.845936,G0
35.715801,G0
18.899109,G0
52.631523,G2
0,G2
0,G2
0,G2
0,G2
0,G2
0,G2
0,G2
0,G2
0,G2
0,G3
33.151272,G3
0,G3
0,G3
0,G3
0,G3
0,G3
0,G3
0,G3
0,G3
30.339815,G4
57.404831,G4
34.844414,G4
55.730202,G4
58.169212,G4
52.200359,G4
52.062038,G4
60.915894,G4
51.770668,G4
61.822872,G4
26.076427,G5
27.277973,G5
27.534216,G5
27.582676,G5
26.975546,G5
26.07238,G5
28.225647,G5
38.814545,G5
27.032518,G5
27.724827,G5
21.489393,G6
10.384226,G6
10.101941,G6
10.560402,G6
19.605692,G6
10.351235,G6
10.002186,G6
10.585835,G6
14.859858,G6
17.37314,G6
16.420158,G7
61.148945,G7
16.10874,G7
57.964828,G7
58.989616,G7
17.383698,G7
57.580097,G7
57.93148,G7
105.785286,G7
100.338699,G7
20.468245,G8
23.533632,G8
21.178667,G8
21.95314,G8
21.483837,G8
21.084513,G8
20.088606,G8
19.39642,G8
20.211029,G8
20.449793,G8
11.364861,G9
12.009685,G9
11.370391,G9
11.759202,G9
11.77454,G9
10.95331,G9
11.195149,G9
10.68136,G9
10.742019,G9
11.34871,G9
