@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R1,2-6,19'

@attribute numFingers numeric
@attribute newFingerTipDistRefined_f1 numeric
@attribute newFingerTipDistRefined_f2 numeric
@attribute newFingerTipDistRefined_f3 numeric
@attribute newFingerTipDistRefined_f4 numeric
@attribute newFingerTipDistRefined_f5 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data
2,1.035889,1.331875,0,0,0,G4
3,1.251107,1.613654,0.845595,0,0,G4
3,1.240829,1.68375,0.835185,0,0,G4
3,1.275016,1.635229,0.848882,0,0,G4
3,1.281491,1.62056,0.876318,0,0,G4
3,1.297518,1.662786,0.885705,0,0,G4
2,1.055298,1.348257,0,0,0,G4
2,1.05845,1.35198,0,0,0,G4
2,1.075695,1.073737,0,0,0,G5
2,1.043373,1.082661,0,0,0,G5
2,1.0362,1.077828,0,0,0,G5
3,2.485811,2.645671,2.683549,0,0,G5
2,1.021522,1.085004,0,0,0,G5
2,1.035015,1.089712,0,0,0,G5
2,1.04583,1.087219,0,0,0,G5
2,1.072826,1.091221,0,0,0,G5
2,1.047692,1.076644,0,0,0,G5
2,1.062927,1.079596,0,0,0,G5
3,1.039745,1.102573,0.968233,0,0,G6
4,1.289748,1.354539,0.600773,1.265327,0,G6
3,1.053252,1.096191,1.002216,0,0,G6
3,1.104152,1.137588,0.981874,0,0,G6
3,1.061707,1.123521,1.003844,0,0,G6
3,1.039279,1.114564,1.001766,0,0,G6
3,1.032279,1.097495,0.996246,0,0,G6
3,1.040026,1.105345,0.986658,0,0,G6
3,1.030378,1.105459,0.998882,0,0,G6
3,1.016864,1.106099,0.989156,0,0,G6
2,1.48451,1.495176,0,0,0,G7
3,1.559994,0.991845,1.691039,0,0,G7
3,1.528104,1.00054,1.628437,0,0,G7
2,1.426547,1.593795,0,0,0,G7
2,1.483242,1.586853,0,0,0,G7
3,1.558045,0.992799,1.626951,0,0,G7
4,1.539915,1.049817,0.976128,1.586575,0,G7
4,1.785488,1.063701,1.059552,1.815837,0,G7
4,1.894308,1.034957,1.085044,1.891683,0,G7
4,1.846188,1.083244,1.095145,1.914507,0,G7
4,2.000269,2.868088,2.240199,2.393213,0,G8
2,1.181476,0.970397,0,0,0,G8
3,1.086569,1.429008,1.213705,0,0,G8
3,1.074405,1.459269,1.144319,0,0,G8
3,1.064703,1.444371,1.169845,0,0,G8
3,1.079626,1.438076,1.130369,0,0,G8
3,1.028131,1.474878,1.198357,0,0,G8
3,1.024392,1.477354,1.210173,0,0,G8
4,1.139236,1.580526,0.867405,1.298498,0,G8
4,2.261693,3.207315,2.541823,2.998256,0,G8
5,0.987537,1.232341,1.450275,1.370264,1.241734,G9
5,0.980028,1.238607,1.403978,1.339413,1.234221,G9
5,1.012867,1.358067,1.392545,1.319466,1.194366,G9
5,0.963031,1.214738,1.409905,1.352955,1.209862,G9
5,0.994658,1.250602,1.382173,1.337316,1.20776,G9
5,1.01315,1.311628,1.397072,1.348429,1.169892,G9
5,1.022288,1.340066,1.405767,1.300761,1.113181,G9
3,0.85684,1.261064,1.239723,0,0,G9
3,1.120802,1.56685,1.44645,0,0,G9
5,0.979921,1.2457,1.405801,1.372915,1.222946,G9
0,0,0,0,0,0,G1
1,1,0,0,0,0,G1
2,1.035874,0.968071,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
1,1,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
4,1.95785,2.010387,1.364172,1.198732,0,G0
3,1.224612,1.244117,0.864744,0,0,G0
3,1.2293,1.240222,0.836935,0,0,G0
5,4.022993,4.107459,3.410822,2.804549,2.450487,G0
3,1.190411,1.207986,0.880791,0,0,G0
3,1.2084,1.229562,0.881301,0,0,G0
3,1.226245,1.254268,0.878783,0,0,G0
2,1.026994,1.029347,0,0,0,G0
4,2.166431,2.158537,1.457892,1.507979,0,G0
4,2.065207,2.07847,1.363204,1.317068,0,G0
1,1,0,0,0,0,G2
0,0,0,0,0,0,G2
0,0,0,0,0,0,G2
0,0,0,0,0,0,G2
1,1,0,0,0,0,G2
1,1,0,0,0,0,G2
1,1,0,0,0,0,G2
0,0,0,0,0,0,G2
1,1,0,0,0,0,G2
1,1,0,0,0,0,G2
2,1.767369,3.147593,0,0,0,G3
0,0,0,0,0,0,G3
2,2.123695,1.138777,0,0,0,G3
1,1,0,0,0,0,G3
1,1,0,0,0,0,G3
1,1,0,0,0,0,G3
1,1,0,0,0,0,G3
1,1,0,0,0,0,G3
1,1,0,0,0,0,G3
1,1,0,0,0,0,G3
2,1.044581,1.342762,0,0,0,G4
2,1.020261,1.317115,0,0,0,G4
3,1.321737,1.651428,0.750893,0,0,G4
2,1.062852,1.324382,0,0,0,G4
1,1,0,0,0,0,G4
2,1.073794,1.30584,0,0,0,G4
1,1,0,0,0,0,G4
3,2.426123,3.016772,3.896007,0,0,G4
2,1.06402,1.320101,0,0,0,G4
3,2.693208,3.57611,2.55779,0,0,G4
3,2.199001,1.639516,2.16513,0,0,G5
3,2.141883,2.164821,1.42265,0,0,G5
3,2.333807,2.369031,1.853207,0,0,G5
2,1.039327,1.02623,0,0,0,G5
3,2.224463,2.196892,1.603008,0,0,G5
2,1.031071,1.03258,0,0,0,G5
2,1.036528,1.036541,0,0,0,G5
2,1.04369,1.03313,0,0,0,G5
2,1.053785,1.028066,0,0,0,G5
3,2.297215,1.865202,2.255105,0,0,G5
3,1.077393,1.096172,0.999455,0,0,G6
3,2.02605,2.017681,1.018541,0,0,G6
3,1.049701,1.090621,1.000589,0,0,G6
4,1.657778,1.694712,1.652378,1.022134,0,G6
3,1.060439,1.085207,0.994052,0,0,G6
3,1.053896,1.093207,0.987668,0,0,G6
4,1.631044,1.675166,1.546922,0.848904,0,G6
4,1.930307,1.973415,1.798293,1.506046,0,G6
3,1.092185,1.09543,1.040959,0,0,G6
3,1.102517,1.07224,1.01456,0,0,G6
2,1.168145,1.134916,0,0,0,G7
2,1.223495,0.873493,0,0,0,G7
1,1,0,0,0,0,G7
3,1.216762,0.883311,1.279985,0,0,G7
3,1.285366,0.929974,1.320914,0,0,G7
4,2.118208,1.40491,2.161539,1.199585,0,G7
2,1.137746,1.197523,0,0,0,G7
4,5.048168,4.890337,3.183431,5.385864,0,G7
4,4.323671,2.149851,4.516919,2.982833,0,G7
3,2.969179,3.065279,2.913431,0,0,G7
3,1.055772,1.485599,1.14343,0,0,G8
2,0.944878,1.262862,0,0,0,G8
3,1.075548,1.432343,1.095183,0,0,G8
4,4.601766,5.814073,4.274864,8.398026,0,G8
3,1.035103,1.453821,1.104803,0,0,G8
3,1.085711,1.494142,1.140937,0,0,G8
3,1.063757,1.448941,1.112628,0,0,G8
3,1.088945,1.408296,1.116165,0,0,G8
3,1.141092,1.456135,1.102365,0,0,G8
3,1.128675,1.494483,1.10443,0,0,G8
5,1.013166,1.3929,1.382275,1.350179,1.229316,G9
5,1.024812,1.353729,1.427092,1.32135,1.156443,G9
5,1.110521,1.454095,1.464804,1.416357,1.270064,G9
4,1.201024,1.455367,1.44199,1.242957,0,G9
4,1.23529,1.176529,1.119917,1.038517,0,G9
4,1.193112,1.217629,1.120489,0.994457,0,G9
5,1.038206,1.353937,1.416972,1.341329,1.193953,G9
5,1.047183,1.302948,1.417079,1.328552,1.148158,G9
5,0.967905,1.346194,1.399953,1.260827,1.083269,G9
5,0.990776,1.217844,1.365623,1.275619,1.142608,G9
1,1,0,0,0,0,G1
1,1,0,0,0,0,G1
1,1,0,0,0,0,G1
1,1,0,0,0,0,G1
1,1,0,0,0,0,G1
1,1,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
1,1,0,0,0,0,G1
3,1.217811,1.204233,1.061921,0,0,G0
3,1.236176,1.246219,1.062513,0,0,G0
3,1.246101,1.252298,1.075777,0,0,G0
3,1.240263,1.251797,1.085791,0,0,G0
3,1.245688,1.195178,1.043989,0,0,G0
3,1.232351,1.251703,1.108297,0,0,G0
3,1.246366,1.250361,1.117049,0,0,G0
3,1.24695,1.235729,1.122979,0,0,G0
4,1.4322,1.39913,0.632419,1.265565,0,G0
3,1.232917,1.211,1.051842,0,0,G0
1,1,0,0,0,0,G2
1,1,0,0,0,0,G2
1,1,0,0,0,0,G2
1,1,0,0,0,0,G2
1,1,0,0,0,0,G2
1,1,0,0,0,0,G2
1,1,0,0,0,0,G2
1,1,0,0,0,0,G2
1,1,0,0,0,0,G2
1,1,0,0,0,0,G2
1,1,0,0,0,0,G3
2,0.6588,1.360521,0,0,0,G3
2,0.660612,1.356346,0,0,0,G3
2,0.666823,1.343415,0,0,0,G3
1,1,0,0,0,0,G3
1,1,0,0,0,0,G3
1,1,0,0,0,0,G3
2,0.544728,1.480188,0,0,0,G3
1,1,0,0,0,0,G3
1,1,0,0,0,0,G3
3,1.268887,1.629095,0.765152,0,0,G4
2,1.00659,1.36709,0,0,0,G4
2,1.045007,1.365271,0,0,0,G4
3,1.283839,1.614402,0.76951,0,0,G4
3,1.282825,1.686174,0.768565,0,0,G4
3,1.305858,1.692548,0.749131,0,0,G4
3,1.285317,1.654206,0.749687,0,0,G4
3,1.300965,1.621673,0.750556,0,0,G4
3,1.267455,1.62279,0.76816,0,0,G4
2,1.055957,1.372787,0,0,0,G4
2,1.020515,1.062002,0,0,0,G5
2,1.024568,1.053823,0,0,0,G5
2,1.018043,1.050198,0,0,0,G5
2,1.01986,1.049861,0,0,0,G5
2,1.009792,1.064384,0,0,0,G5
2,1.022119,1.056643,0,0,0,G5
2,1.027048,1.052296,0,0,0,G5
2,1.031838,1.032894,0,0,0,G5
2,1.016774,1.048859,0,0,0,G5
2,1.031374,1.037309,0,0,0,G5
3,1.052129,1.093906,1.006283,0,0,G6
3,1.062311,1.094013,0.998184,0,0,G6
3,1.050756,1.106625,0.999289,0,0,G6
3,1.054394,1.096573,1.008857,0,0,G6
3,1.071215,1.097632,1.000769,0,0,G6
3,1.070423,1.093645,0.994088,0,0,G6
3,1.065324,1.089834,0.998832,0,0,G6
3,1.058645,1.100685,0.981467,0,0,G6
3,1.028951,1.076591,1.034732,0,0,G6
3,1.048864,1.088416,1.001232,0,0,G6
2,1.507314,1.686501,0,0,0,G7
2,1.365983,1.547334,0,0,0,G7
2,1.41886,1.585524,0,0,0,G7
2,1.364759,1.57555,0,0,0,G7
2,1.359977,1.549269,0,0,0,G7
2,1.362769,1.546106,0,0,0,G7
2,1.373932,1.517447,0,0,0,G7
2,1.388326,1.589092,0,0,0,G7
2,1.409217,1.737773,0,0,0,G7
2,1.535126,1.813028,0,0,0,G7
3,1.079204,1.43363,1.353521,0,0,G8
3,1.280526,1.558202,1.483408,0,0,G8
4,1.37368,1.696356,0.696836,1.646568,0,G8
4,1.37117,1.694026,0.696763,1.66672,0,G8
3,1.205469,1.509366,1.431597,0,0,G8
3,1.183858,1.504629,1.462855,0,0,G8
3,1.19345,1.509751,1.474945,0,0,G8
3,1.142747,1.45979,1.357312,0,0,G8
3,1.087879,1.469004,1.318414,0,0,G8
4,1.191585,1.612915,0.772766,1.463492,0,G8
5,1.564551,1.51508,1.568763,1.538196,1.478466,G9
5,1.178462,1.337356,1.481364,1.48156,1.33477,G9
5,1.210781,1.366835,1.457184,1.43989,1.31523,G9
5,1.200763,1.387001,1.462178,1.472951,1.350742,G9
5,1.210978,1.388367,1.460009,1.468834,1.347639,G9
5,1.20858,1.377883,1.447629,1.45344,1.334159,G9
5,1.218669,1.400747,1.490716,1.480281,1.396236,G9
5,1.206793,1.385468,1.471198,1.493445,1.364725,G9
5,1.18838,1.38159,1.478442,1.489341,1.358673,G9
5,1.231341,1.398932,1.466533,1.456606,1.345475,G9
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
3,1.182832,1.223058,0.929561,0,0,G0
3,1.16825,1.229557,0.916031,0,0,G0
3,1.148685,1.215823,0.929532,0,0,G0
3,1.154911,1.230629,0.960104,0,0,G0
3,1.210237,1.237406,0.932009,0,0,G0
2,1.001409,1.03591,0,0,0,G0
3,1.181617,1.228346,0.909928,0,0,G0
3,1.18177,1.227338,0.934598,0,0,G0
3,1.152201,1.220065,0.965079,0,0,G0
3,1.180276,1.204634,0.908677,0,0,G0
1,1,0,0,0,0,G2
0,0,0,0,0,0,G2
1,1,0,0,0,0,G2
1,1,0,0,0,0,G2
1,1,0,0,0,0,G2
1,1,0,0,0,0,G2
1,1,0,0,0,0,G2
1,1,0,0,0,0,G2
1,1,0,0,0,0,G2
1,1,0,0,0,0,G2
0,0,0,0,0,0,G3
2,0.890491,1.431572,0,0,0,G3
0,0,0,0,0,0,G3
0,0,0,0,0,0,G3
1,1,0,0,0,0,G3
0,0,0,0,0,0,G3
1,1,0,0,0,0,G3
1,1,0,0,0,0,G3
1,1,0,0,0,0,G3
0,0,0,0,0,0,G3
1,1,0,0,0,0,G4
2,0.933344,1.356014,0,0,0,G4
2,1.143335,1.006341,0,0,0,G4
2,1.024392,1.275416,0,0,0,G4
2,1.325049,1.033047,0,0,0,G4
2,1.023916,1.354481,0,0,0,G4
2,1.07075,1.272106,0,0,0,G4
2,1.000195,1.303968,0,0,0,G4
2,0.986735,1.341908,0,0,0,G4
1,1,0,0,0,0,G4
2,1.016843,1.030781,0,0,0,G5
2,1.033247,1.021033,0,0,0,G5
2,1.472844,0.596878,0,0,0,G5
0,0,0,0,0,0,G5
2,1.03736,1.008789,0,0,0,G5
2,1.022475,1.020169,0,0,0,G5
2,1.023871,1.024664,0,0,0,G5
3,1.551421,0.633072,1.577119,0,0,G5
0,0,0,0,0,0,G5
0,0,0,0,0,0,G5
2,0.958437,1.076855,0,0,0,G6
3,1.059932,1.086665,1.004195,0,0,G6
1,1,0,0,0,0,G6
3,1.037221,1.115223,0.971376,0,0,G6
3,1.041879,1.129532,0.960993,0,0,G6
2,1.165295,0.944777,0,0,0,G6
3,1.07936,1.203335,0.998434,0,0,G6
1,1,0,0,0,0,G6
1,1,0,0,0,0,G6
3,1.033759,1.126025,0.951582,0,0,G6
2,0.844203,1.457313,0,0,0,G7
2,1.755074,1.765174,0,0,0,G7
0,0,0,0,0,0,G7
1,1,0,0,0,0,G7
2,1.373595,1.423203,0,0,0,G7
2,1.384723,1.537451,0,0,0,G7
0,0,0,0,0,0,G7
2,1.36726,1.481558,0,0,0,G7
2,1.499203,1.371345,0,0,0,G7
2,1.484612,1.436747,0,0,0,G7
3,1.295293,1.374639,1.240206,0,0,G8
3,1.294405,1.498237,1.268374,0,0,G8
2,1.004887,1.20923,0,0,0,G8
2,1.04629,1.146556,0,0,0,G8
3,1.145721,1.431977,1.224919,0,0,G8
3,1.240231,1.435948,1.267829,0,0,G8
3,1.229479,1.494426,1.494856,0,0,G8
2,1.162688,1.011032,0,0,0,G8
3,1.285286,1.387948,1.303376,0,0,G8
3,1.251603,1.478745,1.227766,0,0,G8
5,1.130476,1.335745,1.337355,1.310386,1.181252,G9
5,1.660336,1.594941,1.622056,1.533188,1.497771,G9
5,1.191547,1.377091,1.439314,1.355781,1.235072,G9
5,1.164318,1.368466,1.428478,1.387682,1.169014,G9
5,1.207752,1.427646,1.434598,1.353656,1.215002,G9
4,1.191091,1.254777,1.268656,1.245045,0,G9
5,1.100646,1.353443,1.34881,1.305814,1.168729,G9
5,1.151328,1.339433,1.344,1.323793,1.223306,G9
5,1.164564,1.408022,1.408167,1.287655,1.219154,G9
5,1.146614,1.335053,1.330889,1.31807,1.176286,G9
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
1,1,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
3,1.242647,1.20194,0.862213,0,0,G0
3,1.200797,1.23402,0.85895,0,0,G0
3,1.174188,1.228878,0.892733,0,0,G0
3,1.192532,1.241911,0.871868,0,0,G0
3,1.190817,1.248964,0.814285,0,0,G0
3,1.199545,1.247907,0.880722,0,0,G0
3,1.212116,1.231709,0.82093,0,0,G0
3,1.229028,1.165185,0.869911,0,0,G0
3,1.234573,1.191104,0.844482,0,0,G0
3,1.186348,1.214406,0.897116,0,0,G0
0,0,0,0,0,0,G2
0,0,0,0,0,0,G2
0,0,0,0,0,0,G2
0,0,0,0,0,0,G2
0,0,0,0,0,0,G2
0,0,0,0,0,0,G2
0,0,0,0,0,0,G2
0,0,0,0,0,0,G2
0,0,0,0,0,0,G2
0,0,0,0,0,0,G2
1,1,0,0,0,0,G3
1,1,0,0,0,0,G3
1,1,0,0,0,0,G3
1,1,0,0,0,0,G3
0,0,0,0,0,0,G3
0,0,0,0,0,0,G3
0,0,0,0,0,0,G3
1,1,0,0,0,0,G3
1,1,0,0,0,0,G3
1,1,0,0,0,0,G3
2,1.132738,1.300699,0,0,0,G4
2,1.189796,1.363942,0,0,0,G4
2,1.239398,1.365752,0,0,0,G4
1,1,0,0,0,0,G4
3,1.372586,1.650127,0.796061,0,0,G4
1,1,0,0,0,0,G4
2,1.151951,1.426902,0,0,0,G4
2,1.04169,1.330712,0,0,0,G4
2,1.208354,1.375292,0,0,0,G4
2,1.134476,1.444546,0,0,0,G4
2,1.026045,1.035619,0,0,0,G5
1,1,0,0,0,0,G5
1,1,0,0,0,0,G5
0,0,0,0,0,0,G5
2,1.090131,1.00351,0,0,0,G5
2,1.115823,0.985226,0,0,0,G5
2,1.042484,1.028131,0,0,0,G5
2,1.015931,1.041752,0,0,0,G5
0,0,0,0,0,0,G5
2,1.026927,1.038729,0,0,0,G5
3,1.06465,1.104631,1.012887,0,0,G6
3,1.085534,1.107355,1.008326,0,0,G6
3,1.075459,1.080454,1.009474,0,0,G6
3,1.084312,1.09783,0.983893,0,0,G6
3,1.100733,1.108557,0.967999,0,0,G6
3,1.075615,1.098636,0.961274,0,0,G6
3,1.095584,1.00673,0.972302,0,0,G6
3,1.085215,1.098253,1.041237,0,0,G6
3,1.140261,1.162839,1.055856,0,0,G6
3,1.101777,1.164791,1.033617,0,0,G6
2,1.441397,1.435958,0,0,0,G7
3,1.51256,0.945886,1.512572,0,0,G7
3,4.990525,4.886392,5.418699,0,0,G7
3,1.529198,0.947719,1.585768,0,0,G7
2,1.378714,1.468362,0,0,0,G7
3,1.491613,0.907172,1.595141,0,0,G7
2,1.463505,1.603995,0,0,0,G7
2,1.384675,1.407995,0,0,0,G7
2,1.377969,1.434744,0,0,0,G7
2,1.404052,1.458803,0,0,0,G7
4,1.513531,1.713959,0.817849,1.627649,0,G8
3,1.347124,1.627229,1.385172,0,0,G8
3,1.363553,1.561829,1.37883,0,0,G8
3,1.190614,1.580857,1.514336,0,0,G8
3,1.345056,1.558697,1.352468,0,0,G8
3,1.343821,1.604539,1.389919,0,0,G8
3,1.423094,1.545565,1.269856,0,0,G8
3,1.361964,1.552095,1.238897,0,0,G8
3,1.344063,1.543989,1.279366,0,0,G8
3,1.440783,1.543734,1.336304,0,0,G8
5,1.246742,1.452826,1.500555,1.225824,1.480862,G9
5,1.302742,1.510531,1.530767,1.266142,1.520128,G9
5,1.312067,1.510798,1.538228,1.282076,1.502647,G9
4,1.230421,1.420946,1.401081,1.363216,0,G9
5,1.355043,1.537412,1.556531,1.289241,1.513746,G9
5,1.245335,1.471763,1.512223,1.276404,1.530626,G9
5,1.293503,1.482538,1.56253,1.120498,1.540042,G9
4,1.217342,1.391761,1.441116,1.271751,0,G9
5,1.188195,1.440189,1.500529,1.454933,1.443254,G9
4,1.139859,1.347398,1.410246,1.318824,0,G9
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
0,0,0,0,0,0,G1
3,1.211881,1.240714,0.92351,0,0,G0
3,1.236502,1.242322,0.937168,0,0,G0
3,1.242309,1.264151,0.943161,0,0,G0
2,1.361516,1.035,0,0,0,G0
3,1.214835,1.244305,1.00982,0,0,G0
3,1.229098,1.261852,0.998297,0,0,G0
3,1.227685,1.254238,0.94242,0,0,G0
3,1.229196,1.232999,0.922549,0,0,G0
1,1,0,0,0,0,G0
3,1.215579,1.236255,0.932904,0,0,G0
1,1,0,0,0,0,G2
1,1,0,0,0,0,G2
1,1,0,0,0,0,G2
1,1,0,0,0,0,G2
0,0,0,0,0,0,G2
1,1,0,0,0,0,G2
1,1,0,0,0,0,G2
0,0,0,0,0,0,G2
2,1.461845,0.742863,0,0,0,G2
1,1,0,0,0,0,G2
1,1,0,0,0,0,G3
1,1,0,0,0,0,G3
1,1,0,0,0,0,G3
1,1,0,0,0,0,G3
1,1,0,0,0,0,G3
1,1,0,0,0,0,G3
1,1,0,0,0,0,G3
1,1,0,0,0,0,G3
1,1,0,0,0,0,G3
1,1,0,0,0,0,G3
1,1,0,0,0,0,G4
3,1.372332,1.668003,0.875014,0,0,G4
3,1.383626,1.664201,0.879282,0,0,G4
2,1.126142,1.363217,0,0,0,G4
2,1.020673,1.343443,0,0,0,G4
2,0.940051,1.333874,0,0,0,G4
2,1.017405,1.317152,0,0,0,G4
2,1.065149,1.362226,0,0,0,G4
2,1.080463,1.357239,0,0,0,G4
2,1.062843,1.34498,0,0,0,G4
2,1.013638,1.050721,0,0,0,G5
2,1.032928,1.083052,0,0,0,G5
2,1.03094,1.066184,0,0,0,G5
1,1,0,0,0,0,G5
2,1.009387,1.048006,0,0,0,G5
