@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R2-11,18-19'

@attribute newFingerTipDistRefined_f1 numeric
@attribute newFingerTipDistRefined_f2 numeric
@attribute newFingerTipDistRefined_f3 numeric
@attribute newFingerTipDistRefined_f4 numeric
@attribute newFingerTipDistRefined_f5 numeric
@attribute fingertipAngles_f1 numeric
@attribute fingertipAngles_f2 numeric
@attribute fingertipAngles_f3 numeric
@attribute fingertipAngles_f4 numeric
@attribute fingertipAngles_f5 numeric
@attribute fingersAreasAverage numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data
1.409506,0.65759,0,0,0,0.813055,0.368347,0,0,0,18.952829,G2
1.402403,0.663032,0,0,0,1.276263,1.651752,0,0,0,19.019991,G2
1.410385,0.668234,0,0,0,0.464191,0.082241,0,0,0,20.502623,G2
1,0,0,0,0,2.883296,0,0,0,0,0,G3
1,0,0,0,0,2.4944,0,0,0,0,0,G3
1,0,0,0,0,2.857095,0,0,0,0,0,G3
1,0,0,0,0,2.804402,0,0,0,0,0,G3
1,0,0,0,0,2.679297,0,0,0,0,0,G3
1,0,0,0,0,2.768977,0,0,0,0,0,G3
0.958517,1.518914,0,0,0,2.069209,2.164771,0,0,0,43.806084,G3
1,0,0,0,0,2.80312,0,0,0,0,0,G3
1,0,0,0,0,2.741521,0,0,0,0,0,G3
1,0,0,0,0,2.709359,0,0,0,0,0,G3
1.044875,1.371887,0,0,0,1.384781,1.771853,0,0,0,53.363533,G4
1.03314,1.32875,0,0,0,1.7003,1.947558,0,0,0,55.445675,G4
1.035889,1.331875,0,0,0,1.636003,1.62374,0,0,0,57.632858,G4
1.251107,1.613654,0.845595,0,0,1.668418,1.771799,1.481592,0,0,31.933825,G4
1.240829,1.68375,0.835185,0,0,1.145567,2.233959,1.709542,0,0,32.241947,G4
1.275016,1.635229,0.848882,0,0,1.042032,2.232322,1.627072,0,0,32.935017,G4
1.281491,1.62056,0.876318,0,0,1.370029,2.405096,1.893224,0,0,33.269924,G4
1.297518,1.662786,0.885705,0,0,1.04916,2.113447,1.563685,0,0,34.57196,G4
1.055298,1.348257,0,0,0,1.651715,2.009898,0,0,0,53.907883,G4
1.05845,1.35198,0,0,0,1.643523,2.086944,0,0,0,54.080479,G4
1.075695,1.073737,0,0,0,2.388844,2.172344,0,0,0,35.383423,G5
1.043373,1.082661,0,0,0,2.447196,2.504097,0,0,0,35.510876,G5
1.0362,1.077828,0,0,0,2.307125,2.557878,0,0,0,36.217762,G5
2.485811,2.645671,2.683549,0,0,1.736284,2.905191,0.101731,0,0,58.507679,G5
1.021522,1.085004,0,0,0,2.465603,2.565403,0,0,0,35.175339,G5
1.035015,1.089712,0,0,0,2.536602,2.628853,0,0,0,36.02306,G5
1.04583,1.087219,0,0,0,2.444486,2.453632,0,0,0,35.848511,G5
1.072826,1.091221,0,0,0,2.28562,2.333337,0,0,0,35.379021,G5
1.047692,1.076644,0,0,0,2.356778,2.380452,0,0,0,33.79295,G5
1.062927,1.079596,0,0,0,2.394614,2.131652,0,0,0,35.247337,G5
1.039745,1.102573,0.968233,0,0,2.536019,3.054857,2.422673,0,0,9.428574,G6
1.289748,1.354539,0.600773,1.265327,0,2.385465,3.007252,1.691326,2.349698,0,8.840269,G6
1.053252,1.096191,1.002216,0,0,2.332323,3.065488,2.270235,0,0,11.603854,G6
1.104152,1.137588,0.981874,0,0,2.203954,3.041177,2.240016,0,0,11.417221,G6
1.061707,1.123521,1.003844,0,0,2.534703,2.96255,2.206951,0,0,9.845193,G6
1.039279,1.114564,1.001766,0,0,2.326373,2.960735,2.405349,0,0,9.979114,G6
1.032279,1.097495,0.996246,0,0,2.523149,3.099095,2.590533,0,0,9.520653,G6
1.040026,1.105345,0.986658,0,0,2.481199,3.031696,2.616626,0,0,9.669628,G6
1.030378,1.105459,0.998882,0,0,2.519959,3.068863,2.577138,0,0,9.823969,G6
1.016864,1.106099,0.989156,0,0,2.641851,3.07114,2.559056,0,0,10.124149,G6
1.48451,1.495176,0,0,0,0.74984,0.694192,0,0,0,80.422737,G7
1.559994,0.991845,1.691039,0,0,0.835067,1.950184,1.413482,0,0,24.369425,G7
1.528104,1.00054,1.628437,0,0,1.104243,2.106975,1.640615,0,0,24.752146,G7
1.426547,1.593795,0,0,0,1.532338,1.86092,0,0,0,74.734032,G7
1.483242,1.586853,0,0,0,1.639751,1.62252,0,0,0,76.033142,G7
1.558045,0.992799,1.626951,0,0,0.92354,2.020906,1.539627,0,0,24.768681,G7
1.539915,1.049817,0.976128,1.586575,0,1.088928,2.393508,1.917122,1.460588,0,13.272937,G7
1.785488,1.063701,1.059552,1.815837,0,0.408562,0.947514,0.747971,0.725901,0,13.106444,G7
1.894308,1.034957,1.085044,1.891683,0,0.556029,1.629816,1.087929,0.936455,0,13.278553,G7
1.846188,1.083244,1.095145,1.914507,0,0.103001,0.037586,0.017629,0.219632,0,13.301299,G7
2.000269,2.868088,2.240199,2.393213,0,1.345961,2.486413,1.957213,0.145219,0,35.159847,G8
1.181476,0.970397,0,0,0,3.024831,1.906193,0,0,0,40.308922,G8
1.086569,1.429008,1.213705,0,0,1.769153,3.056013,1.93098,0,0,24.528629,G8
1.074405,1.459269,1.144319,0,0,1.675741,3.124461,1.688704,0,0,24.264366,G8
1.064703,1.444371,1.169845,0,0,1.647909,3.118744,1.608276,0,0,25.483545,G8
1.079626,1.438076,1.130369,0,0,1.467196,3.038068,1.372311,0,0,24.668108,G8
1.028131,1.474878,1.198357,0,0,1.307495,2.607083,1.280535,0,0,26.331705,G8
1.024392,1.477354,1.210173,0,0,1.733899,2.930089,1.678895,0,0,27.209732,G8
1.139236,1.580526,0.867405,1.298498,0,1.810821,2.986142,2.510803,2.008935,0,16.666693,G8
2.261693,3.207315,2.541823,2.998256,0,1.6659,2.745538,2.158177,0.116163,0,44.271637,G8
0.987537,1.232341,1.450275,1.370264,1.241734,1.467565,2.844522,2.936215,2.565406,1.962327,10.935635,G9
0.980028,1.238607,1.403978,1.339413,1.234221,1.46337,2.819708,2.916372,2.522315,1.871544,10.66839,G9
1.012867,1.358067,1.392545,1.319466,1.194366,1.319551,2.710966,3.050954,2.669243,2.056329,12.52271,G9
0.963031,1.214738,1.409905,1.352955,1.209862,1.569472,2.939518,2.859422,2.491112,1.966046,10.820264,G9
0.994658,1.250602,1.382173,1.337316,1.20776,1.547698,2.834949,2.981842,2.598239,2.076569,10.938109,G9
1.01315,1.311628,1.397072,1.348429,1.169892,1.425565,2.815006,2.926353,2.533472,1.981269,11.197824,G9
1.022288,1.340066,1.405767,1.300761,1.113181,1.311384,2.716866,3.020911,2.58622,2.020733,11.903898,G9
0.85684,1.261064,1.239723,0,0,2.014968,2.858955,2.440551,0,0,22.077978,G9
1.120802,1.56685,1.44645,0,0,1.772606,3.097934,1.994416,0,0,29.894125,G9
0.979921,1.2457,1.405801,1.372915,1.222946,1.482504,2.883003,2.926547,2.561973,1.998591,11.146586,G9
0,0,0,0,0,0,0,0,0,0,0,G1
1,0,0,0,0,0.955988,0,0,0,0,0,G1
1.035874,0.968071,0,0,0,0.535686,0.647236,0,0,0,5.416896,G1
0,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,G1
1,0,0,0,0,2.370572,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,G1
1.95785,2.010387,1.364172,1.198732,0,1.526395,2.257123,2.986625,0.660066,0,16.548107,G0
1.224612,1.244117,0.864744,0,0,2.260941,2.977875,2.259257,0,0,14.510384,G0
1.2293,1.240222,0.836935,0,0,2.371172,3.036436,2.339345,0,0,14.342751,G0
4.022993,4.107459,3.410822,2.804549,2.450487,1.894132,2.635877,0.045443,2.574658,0.506698,24.003157,G0
1.190411,1.207986,0.880791,0,0,1.98333,2.913876,2.12123,0,0,13.945426,G0
1.2084,1.229562,0.881301,0,0,2.067129,3.022923,1.98746,0,0,14.527101,G0
1.226245,1.254268,0.878783,0,0,2.31657,2.885637,2.056099,0,0,14.004051,G0
1.026994,1.029347,0,0,0,2.69231,2.796352,0,0,0,22.023912,G0
2.166431,2.158537,1.457892,1.507979,0,1.982211,2.603611,2.62001,0.522626,0,16.006475,G0
2.065207,2.07847,1.363204,1.317068,0,1.980264,2.580167,2.720504,0.651039,0,15.417848,G0
1,0,0,0,0,0.864813,0,0,0,0,0,G2
0,0,0,0,0,0,0,0,0,0,0,G2
0,0,0,0,0,0,0,0,0,0,0,G2
0,0,0,0,0,0,0,0,0,0,0,G2
1,0,0,0,0,0.878316,0,0,0,0,0,G2
1,0,0,0,0,0.634243,0,0,0,0,0,G2
1,0,0,0,0,1.214981,0,0,0,0,0,G2
0,0,0,0,0,0,0,0,0,0,0,G2
1,0,0,0,0,0.688932,0,0,0,0,0,G2
1,0,0,0,0,0.959572,0,0,0,0,0,G2
1.767369,3.147593,0,0,0,0.851511,2.24432,0,0,0,49.595951,G3
0,0,0,0,0,0,0,0,0,0,0,G3
2.123695,1.138777,0,0,0,1.95001,1.048279,0,0,0,53.400436,G3
1,0,0,0,0,2.333002,0,0,0,0,0,G3
1,0,0,0,0,2.773269,0,0,0,0,0,G3
1,0,0,0,0,2.721941,0,0,0,0,0,G3
1,0,0,0,0,2.978084,0,0,0,0,0,G3
1,0,0,0,0,2.958722,0,0,0,0,0,G3
1,0,0,0,0,2.848078,0,0,0,0,0,G3
1,0,0,0,0,2.831246,0,0,0,0,0,G3
1.044581,1.342762,0,0,0,2.004285,2.014616,0,0,0,50.252277,G4
1.020261,1.317115,0,0,0,1.996889,2.190649,0,0,0,48.429398,G4
1.321737,1.651428,0.750893,0,0,1.769943,2.514284,2.047784,0,0,29.924503,G4
1.062852,1.324382,0,0,0,1.856158,2.28397,0,0,0,50.12207,G4
1,0,0,0,0,2.291684,0,0,0,0,0,G4
1.073794,1.30584,0,0,0,2.089313,2.244496,0,0,0,49.292255,G4
1,0,0,0,0,2.156908,0,0,0,0,0,G4
2.426123,3.016772,3.896007,0,0,2.320615,1.834633,0.072446,0,0,57.205299,G4
1.06402,1.320101,0,0,0,1.940806,2.083908,0,0,0,50.425652,G4
2.693208,3.57611,2.55779,0,0,1.90116,2.170673,0.082008,0,0,65.50779,G4
2.199001,1.639516,2.16513,0,0,2.501569,0.289675,1.918442,0,0,32.543568,G5
2.141883,2.164821,1.42265,0,0,1.926566,2.741486,0.250341,0,0,25.859247,G5
2.333807,2.369031,1.853207,0,0,2.322969,2.960121,0.346066,0,0,30.070374,G5
1.039327,1.02623,0,0,0,2.580063,2.729897,0,0,0,26.184465,G5
2.224463,2.196892,1.603008,0,0,2.006875,2.809927,0.354558,0,0,28.065109,G5
1.031071,1.03258,0,0,0,2.351727,2.688235,0,0,0,26.263199,G5
1.036528,1.036541,0,0,0,2.521131,2.566952,0,0,0,27.691299,G5
1.04369,1.03313,0,0,0,2.680233,2.699894,0,0,0,27.695864,G5
1.053785,1.028066,0,0,0,2.580122,2.834997,0,0,0,28.322369,G5
2.297215,1.865202,2.255105,0,0,2.827489,0.449709,2.217872,0,0,35.310863,G5
1.077393,1.096172,0.999455,0,0,1.715708,2.537352,2.836864,0,0,12.993946,G6
2.02605,2.017681,1.018541,0,0,1.525339,2.557153,0.505429,0,0,39.22271,G6
1.049701,1.090621,1.000589,0,0,2.019798,2.529229,2.401409,0,0,13.663955,G6
1.657778,1.694712,1.652378,1.022134,0,1.973807,2.564436,2.633433,0.365885,0,16.007074,G6
1.060439,1.085207,0.994052,0,0,1.774795,2.447221,2.787774,0,0,11.522738,G6
1.053896,1.093207,0.987668,0,0,1.834636,2.518157,2.936513,0,0,12.43867,G6
1.631044,1.675166,1.546922,0.848904,0,1.782567,2.526805,2.889133,0.453156,0,13.015529,G6
1.930307,1.973415,1.798293,1.506046,0,1.322955,2.260967,2.466335,0.140211,0,17.903217,G6
1.092185,1.09543,1.040959,0,0,2.231565,3.02423,2.450066,0,0,12.717153,G6
1.102517,1.07224,1.01456,0,0,2.448985,3.036522,2.533471,0,0,12.520615,G6
1.168145,1.134916,0,0,0,1.989126,2.413562,0,0,0,53.090115,G7
1.223495,0.873493,0,0,0,2.360695,2.399822,0,0,0,28.018694,G7
1,0,0,0,0,2.690287,0,0,0,0,0,G7
1.216762,0.883311,1.279985,0,0,2.121653,2.497693,2.157243,0,0,15.145524,G7
1.285366,0.929974,1.320914,0,0,1.985083,2.163472,1.901991,0,0,16.040144,G7
2.118208,1.40491,2.161539,1.199585,0,1.992423,2.516061,2.306331,0.430566,0,18.946047,G7
1.137746,1.197523,0,0,0,2.095033,2.391093,0,0,0,53.317043,G7
5.048168,4.890337,3.183431,5.385864,0,1.519694,2.743973,0.705538,0.347904,0,73.7379,G7
4.323671,2.149851,4.516919,2.982833,0,2.664806,0.915498,1.696776,0.127816,0,43.990543,G7
2.969179,3.065279,2.913431,0,0,1.900903,2.454406,0.198404,0,0,68.384651,G7
1.055772,1.485599,1.14343,0,0,1.886526,2.661771,1.884106,0,0,21.129341,G8
0.944878,1.262862,0,0,0,2.350528,2.50302,0,0,0,35.649731,G8
1.075548,1.432343,1.095183,0,0,1.896448,2.761254,2.100148,0,0,21.487328,G8
4.601766,5.814073,4.274864,8.398026,0,1.833655,2.759053,2.312354,0.078119,0,72.484947,G8
1.035103,1.453821,1.104803,0,0,1.951545,2.699029,1.898096,0,0,21.154732,G8
1.085711,1.494142,1.140937,0,0,1.728008,2.77851,1.993878,0,0,22.493742,G8
1.063757,1.448941,1.112628,0,0,1.943237,2.823601,2.186256,0,0,22.281046,G8
1.088945,1.408296,1.116165,0,0,2.063858,2.823438,2.287894,0,0,20.742393,G8
1.141092,1.456135,1.102365,0,0,1.900286,2.750114,2.186526,0,0,22.39427,G8
1.128675,1.494483,1.10443,0,0,1.841493,2.703593,2.058298,0,0,22.674759,G8
1.013166,1.3929,1.382275,1.350179,1.229316,1.56373,2.814935,2.948923,2.553362,1.61643,10.585863,G9
1.024812,1.353729,1.427092,1.32135,1.156443,1.124665,2.418417,2.985157,2.475768,1.333657,9.982105,G9
1.110521,1.454095,1.464804,1.416357,1.270064,1.215467,2.620622,2.998021,2.551088,1.465394,11.447453,G9
1.201024,1.455367,1.44199,1.242957,0,1.759626,2.719538,2.741096,1.869108,0,14.678608,G9
1.23529,1.176529,1.119917,1.038517,0,2.36904,2.832973,3.010623,2.027138,0,10.771594,G9
1.193112,1.217629,1.120489,0.994457,0,2.114746,2.705912,2.937952,1.778146,0,10.517155,G9
1.038206,1.353937,1.416972,1.341329,1.193953,1.353749,2.647345,3.020145,2.559113,1.50563,10.132499,G9
1.047183,1.302948,1.417079,1.328552,1.148158,1.228734,2.475577,2.953203,2.557208,1.469958,9.755891,G9
0.967905,1.346194,1.399953,1.260827,1.083269,1.437756,2.630109,3.007327,2.641675,1.638387,9.978333,G9
0.990776,1.217844,1.365623,1.275619,1.142608,1.709444,2.772505,3.057835,2.723049,1.87582,9.092672,G9
1,0,0,0,0,2.598817,0,0,0,0,0,G1
1,0,0,0,0,2.598858,0,0,0,0,0,G1
1,0,0,0,0,2.470571,0,0,0,0,0,G1
1,0,0,0,0,2.137102,0,0,0,0,0,G1
1,0,0,0,0,2.433113,0,0,0,0,0,G1
1,0,0,0,0,2.52065,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,0,0,0,G1
1,0,0,0,0,2.370869,0,0,0,0,0,G1
1.217811,1.204233,1.061921,0,0,2.336072,2.910873,2.055037,0,0,22.824327,G0
1.236176,1.246219,1.062513,0,0,2.386261,2.909562,2.074977,0,0,22.040724,G0
1.246101,1.252298,1.075777,0,0,2.322563,2.876096,2.003586,0,0,23.467112,G0
1.240263,1.251797,1.085791,0,0,2.263254,2.827295,1.89536,0,0,23.512405,G0
1.245688,1.195178,1.043989,0,0,2.252162,2.878462,2.105362,0,0,22.025862,G0
1.232351,1.251703,1.108297,0,0,2.327559,2.732781,1.996378,0,0,23.582598,G0
1.246366,1.250361,1.117049,0,0,2.224649,2.732185,2.001122,0,0,23.222326,G0
1.24695,1.235729,1.122979,0,0,2.11568,2.668838,1.833364,0,0,22.955881,G0
1.4322,1.39913,0.632419,1.265565,0,2.008995,2.488293,2.517543,1.968373,0,10.192906,G0
1.232917,1.211,1.051842,0,0,2.300003,2.851879,2.049079,0,0,22.540033,G0
1,0,0,0,0,0.199437,0,0,0,0,0,G2
1,0,0,0,0,0.633166,0,0,0,0,0,G2
1,0,0,0,0,1.029667,0,0,0,0,0,G2
1,0,0,0,0,2.019135,0,0,0,0,0,G2
1,0,0,0,0,1.087135,0,0,0,0,0,G2
1,0,0,0,0,1.3934,0,0,0,0,0,G2
1,0,0,0,0,0.509009,0,0,0,0,0,G2
1,0,0,0,0,0.939927,0,0,0,0,0,G2
1,0,0,0,0,2.147207,0,0,0,0,0,G2
1,0,0,0,0,2.231846,0,0,0,0,0,G2
1,0,0,0,0,2.538551,0,0,0,0,0,G3
0.6588,1.360521,0,0,0,2.733055,2.463676,0,0,0,8.558611,G3
0.660612,1.356346,0,0,0,0.713092,1.023042,0,0,0,8.260798,G3
0.666823,1.343415,0,0,0,2.935031,2.73801,0,0,0,6.617039,G3
1,0,0,0,0,2.600883,0,0,0,0,0,G3
1,0,0,0,0,2.574096,0,0,0,0,0,G3
1,0,0,0,0,2.728224,0,0,0,0,0,G3
0.544728,1.480188,0,0,0,2.51349,2.771687,0,0,0,6.362509,G3
1,0,0,0,0,0.502981,0,0,0,0,0,G3
1,0,0,0,0,0.595703,0,0,0,0,0,G3
1.268887,1.629095,0.765152,0,0,1.095089,2.01994,1.647316,0,0,33.296272,G4
