@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R1,2,3,4,5,6,7-11,22-weka.filters.unsupervised.attribute.Remove-R12_gesture-weka.filters.unsupervised.attribute.Remove-V-R2,4,5,7-11,328'

@attribute fingersExtended numeric
@attribute Max_X numeric
@attribute Max_Y numeric
@attribute newFingerTipDistRefined_f1 numeric
@attribute newFingerTipDistRefined_f2 numeric
@attribute newFingerTipDistRefined_f3 numeric
@attribute newFingerTipDistRefined_f4 numeric
@attribute newFingerTipDistRefined_f5 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data
1110,0.139896,0.993641,0,1.03676,1.153706,0.996826,0,G6
1110,0.216966,0.938215,0,0.999998,0,0,0,G6
1110,0.157546,0.926696,0,1.022139,1.155098,1.007376,0,G6
1110,0.14616,0.912681,0,1.016173,1.160586,1.011489,0,G6
1110,0.141615,0.922221,0,1.013224,1.162504,1.003669,0,G6
1110,0.212588,1.078765,0,1.020718,1.151267,0.996078,0,G6
1110,0.417174,1.005026,0,1.012118,1.152329,1.014069,0,G6
1110,-0.166341,0.745789,0,1.108947,1.053854,0,0,G6
1110,-0.073798,1.073336,0,1.037226,1.168654,0.993281,0,G6
1110,0.082209,1.170329,0,1.02111,1.179349,0.990766,0,G6
10001,0.844688,0.81088,1.362557,0,0,0,1.402702,G7
10001,0.811327,1.022262,1.49503,0,0,0,1.475383,G7
10001,0.842655,1.057828,1.525303,0,0,0,1.521094,G7
10001,1.014016,1.037736,1.608012,0,0,0,1.527633,G7
10001,0.91576,1.124422,1.533408,0,0,0,1.59939,G7
10001,0.86249,1.360674,1.742836,0,0,0,0.749623,G7
10001,0.508107,0.776607,1.527678,0,0,0,1.532306,G7
10001,0.839336,1.519801,1.655546,0,0,0,1.82029,G7
10001,0.644728,0.944019,1.520151,0,0,0,1.475261,G7
10001,0.29487,1.060393,1.364512,0,0,0,1.436626,G7
11001,0.483445,1.367308,1.323037,1.493186,0,0,1.272959,G8
11001,0.829864,1.373388,1.71756,1.833586,0,0,0,G8
11001,0.567829,1.426975,1.361092,1.63912,0,0,1.398472,G8
11001,0.761607,1.478418,1.785503,1.842664,0,0,0,G8
11001,0.642846,1.471149,1.48761,1.578832,0,0,1.496457,G8
11001,0.283297,1.272335,1.585537,1.689582,0,0,0,G8
11001,0.607018,1.179867,1.26745,1.388645,0,0,1.307492,G8
11001,0.633312,1.259652,1.406872,1.484627,0,0,0,G8
11001,0.447865,1.236284,1.319997,1.435065,0,0,1.356813,G8
11001,0.622475,1.343418,1.435508,1.530495,0,0,1.41083,G8
11111,0.530258,1.504573,1.224136,1.324927,1.553876,1.238791,0,G9
11111,0.579419,1.340814,1.074618,1.262787,1.361333,1.338076,1.159443,G9
11111,0.695679,1.295621,1.047285,1.206853,1.33998,1.340826,1.159624,G9
11111,0.791347,1.412484,1.217972,1.308934,1.436707,1.390488,1.196891,G9
11111,-0.799085,0.600263,0.999997,0,0,0,0,G9
11111,0.850534,1.42811,1.247905,1.352915,1.45647,1.431388,1.293315,G9
11111,-0.788799,0.610598,1.000001,0,0,0,0,G9
11111,0.653589,1.178239,1.33949,1.335647,1.51667,1.479029,1.277968,G9
11111,0.904786,1.352818,1.382982,1.337295,1.551566,1.540406,1.369454,G9
11111,0.522232,1.510261,1.243544,1.592666,1.479567,1.313366,0,G9
0,-0.768864,0.635808,0,0,0,0,0,G1
0,-0.616738,0.778669,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,-0.553091,0.81432,0,0,0,0,0,G1
0,-0.50255,0.864201,0,0,0,0,0,G1
0,-0.617926,0.786069,0,0,0,0,0,G1
0,-0.739105,0.671906,0,0,0,0,0,G1
0,-0.698455,0.71264,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
1101,0.426401,0.79501,0,1.231878,1.262241,0,0.879664,G0
1101,0.588854,1.055807,0,1.213938,1.259384,0,0.978552,G0
1101,0.471281,1.026527,0,1.223794,1.256832,0,0.950819,G0
1101,0.58508,1.053928,0,1.295857,1.321249,0,0.995977,G0
1101,0.857719,1.283488,0,1.549778,1.569884,0,0.60851,G0
1101,0.270615,0.965162,0,1.221951,1.242878,0,0.906979,G0
1101,0.302741,0.956813,0,1.179179,1.158923,0,0.969525,G0
1101,0.347208,0.999659,0,1.218788,1.236561,0,0.961814,G0
1101,0.385278,1.013991,0,1.226584,1.255798,0,0.934295,G0
1101,0.543801,1.032953,0,1.31894,1.312376,0,0.900717,G0
1000,-0.215154,0.69643,0,0.999997,0,0,0,G2
1000,0.795045,-0.381329,0,1.000006,0,0,0,G2
1000,0,0,0,0,0,0,0,G2
1000,0,0,0,0,0,0,0,G2
1000,-0.186899,0.780266,0,1.000004,0,0,0,G2
1000,-0.122636,0.768555,0,0.999998,0,0,0,G2
1000,0.024574,1.024957,0,1.390463,0,0,0,G2
1000,0.129716,1.0396,0,1.409498,0,0,0,G2
1000,0.138083,1.060463,0,1.402402,0,0,0,G2
1000,0.035481,0.939747,0,1.410377,0,0,0,G2
1,-0.108901,0.843878,0,0,0,0,1,G3
1,0.483535,0.808117,0,0,0,0,0.999993,G3
1,0.313593,0.901246,0,0,0,0,0.999995,G3
1,0.147303,0.9465,0,0,0,0,0.999996,G3
1,0.40733,0.887323,0,0,0,0,1.000003,G3
1,0.261888,0.942052,0,0,0,0,0.999998,G3
1,0.72652,1.277046,0,0,0,0,0.958515,G3
1,0.20873,0.864457,0,0,0,0,1,G3
1,0.04827,0.831736,0,0,0,0,0.999993,G3
1,0.102806,0.8412,0,0,0,0,0.999996,G3
11000,-0.373879,1.007392,1.044876,1.371887,0,0,0,G4
11000,-0.434245,1.03995,1.033141,1.32875,0,0,0,G4
11000,-0.413022,0.995725,1.035887,1.331885,0,0,0,G4
11000,-0.037151,1.404686,1.251108,1.613654,0,0,0,G4
11000,-0.000103,1.494884,1.24083,1.683763,0,0,0,G4
11000,-0.060346,1.271162,1.275016,1.635225,0,0,0,G4
11000,-0.033475,1.291995,1.28149,1.620566,0,0,0,G4
11000,-0.013315,1.089693,1.297518,1.662786,0,0,0,G4
11000,-0.447857,0.903819,1.055297,1.348256,0,0,0,G4
11000,-0.45698,0.939392,1.05845,1.351984,0,0,0,G4
1100,0.264451,0.887494,0,1.075698,1.07374,0,0,G5
1100,0.30508,0.925899,0,1.043374,1.082661,0,0,G5
1100,0.161662,0.88639,0,1.0362,1.077833,0,0,G5
1100,1.997881,2.267486,0,2.48581,2.645688,0,0,G5
1100,0.207566,0.888379,0,1.021521,1.085006,0,0,G5
1100,0.263061,0.867388,0,1.035018,1.089704,0,0,G5
1100,0.295778,0.891259,0,1.045831,1.087224,0,0,G5
1100,0.302774,0.913023,0,1.072834,1.091221,0,0,G5
1100,0.291047,0.896674,0,1.047691,1.07664,0,0,G5
1100,0.345031,0.843593,0,1.062924,1.079592,0,0,G5
1110,0.054545,0.949435,0,1.039738,1.102574,0.968234,0,G6
1110,0.341613,1.252604,0,1.289743,1.354535,0.600769,0,G6
1110,0.183539,0.811824,0,1.053252,1.096192,1.002217,0,G6
1110,0.132188,0.937772,0,1.104144,1.13758,0.98187,0,G6
1110,0.299692,1.043624,0,1.061707,1.123517,1.003842,0,G6
1110,0.177524,0.979963,0,1.039276,1.114566,1.001763,0,G6
1110,0.124065,0.917098,0,1.032271,1.097488,0.996239,0,G6
1110,0.15952,0.901396,0,1.040026,1.105346,0.986661,0,G6
1110,0.093541,0.866462,0,1.030374,1.105451,0.998874,0,G6
1110,0.025135,0.956087,0,1.016862,1.106096,0.989152,0,G6
10001,1.095423,0.518405,1.48451,0,0,0,1.49518,G7
10001,1.109315,0.908251,1.559991,0,0,0,0.991848,G7
10001,0.911542,0.783362,1.528112,0,0,0,1.00054,G7
10001,0.83926,0.900812,1.426544,0,0,0,1.593801,G7
10001,1.004514,0.870361,1.483248,0,0,0,1.586852,G7
10001,0.944776,0.805686,1.558043,0,0,0,0.992799,G7
10001,1.053624,1.08874,1.539908,0,0,0,1.049828,G7
10001,1.353392,1.285265,1.785498,0,0,0,1.063711,G7
10001,1.458554,1.449588,1.8943,0,0,0,1.034967,G7
10001,1.367796,1.142757,1.846189,0,0,0,1.083256,G7
11001,1.775124,1.977088,2.000286,2.868088,0,0,2.240181,G8
11001,0.288527,1.033955,1.181476,0.970399,0,0,0,G8
11001,0.32148,1.165574,1.08657,1.429004,0,0,1.213702,G8
11001,0.155239,0.956686,1.07441,1.459263,0,0,1.144318,G8
11001,0.274512,0.993523,1.064701,1.444367,0,0,1.169844,G8
11001,0.31914,1.031452,1.079627,1.438079,0,0,1.13037,G8
11001,0.479261,1.177462,1.028129,1.474874,0,0,1.198355,G8
11001,0.500359,1.209937,1.024393,1.477353,0,0,1.210169,G8
11001,0.446692,1.195472,1.139236,1.58053,0,0,0.867405,G8
11001,2.231167,2.391885,2.261702,3.207307,0,0,2.541826,G8
11111,0.912641,1.349664,0.987534,1.232345,1.450273,1.37026,1.241736,G9
11111,0.795213,1.367724,0.980029,1.238618,1.403978,1.339413,1.234226,G9
11111,0.66777,1.302834,1.012862,1.358075,1.392547,1.319458,1.194364,G9
11111,0.777736,1.302651,0.963031,1.214734,1.409902,1.352957,1.209856,G9
11111,0.782084,1.310955,0.994655,1.250605,1.382166,1.337317,1.207755,G9
11111,0.792103,1.300923,1.013144,1.311636,1.397076,1.348434,1.1699,G9
11111,0.642047,1.339228,1.022283,1.340071,1.405765,1.300771,1.113184,G9
11111,-0.196212,1.136419,0.856836,1.26107,1.239719,0,0,G9
11111,0.671083,1.357636,1.120799,1.566854,1.446449,0,0,G9
11111,0.730756,1.307832,0.97992,1.245702,1.405805,1.372911,1.222945,G9
0,0,0,0,0,0,0,0,G1
0,0.734957,-0.436434,0,0,0,0,0,G1
0,0.581342,-0.577997,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,-0.667931,0.62587,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
1101,0.861251,1.653102,0,1.957854,2.010384,0,1.364175,G0
1101,0.461436,1.011152,0,1.224617,1.244116,0,0.864754,G0
1101,0.41388,1.065574,0,1.229299,1.240213,0,0.836934,G0
1101,1.781367,3.374366,0,4.023008,4.10746,0,3.410824,G0
1101,0.36219,0.929811,0,1.190412,1.207986,0,0.880788,G0
1101,0.457707,0.937605,0,1.208405,1.229555,0,0.881295,G0
1101,0.568438,0.962773,0,1.226237,1.254268,0,0.87878,G0
1101,-0.014742,0.848819,0,1.026995,1.029347,0,0,G0
1101,0.961435,1.621572,0,2.166436,2.158539,0,1.457891,G0
1101,0.910031,1.746894,0,2.065204,2.078488,0,1.363215,G0
1000,-0.303567,0.691537,0,1.000004,0,0,0,G2
1000,0,0,0,0,0,0,0,G2
1000,0,0,0,0,0,0,0,G2
1000,0,0,0,0,0,0,0,G2
1000,-0.315823,0.645461,0,0.999996,0,0,0,G2
1000,-0.111525,0.73004,0,1.000002,0,0,0,G2
1000,-0.210051,0.817998,0,1.000004,0,0,0,G2
1000,0,0,0,0,0,0,0,G2
1000,-0.267906,0.715518,0,1.000001,0,0,0,G2
1000,-0.291259,0.765787,0,1.000002,0,0,0,G2
1,0.488662,2.687721,0,0,0,0,1.767377,G3
1,0,0,0,0,0,0,0,G3
1,0.822483,1.57313,0,0,0,0,2.123707,G3
1,0.211315,0.854765,0,0,0,0,0.999996,G3
1,0.257286,0.895916,0,0,0,0,1,G3
1,0.294008,0.85043,0,0,0,0,0.999998,G3
1,0.213918,0.866428,0,0,0,0,1,G3
1,0.220521,0.823966,0,0,0,0,1.000006,G3
1,0.164169,0.803636,0,0,0,0,1.000002,G3
1,0.15234,0.808144,0,0,0,0,0.999999,G3
11000,-0.174105,1.103987,1.044579,1.342763,0,0,0,G4
11000,-0.122953,1.115498,1.02026,1.317112,0,0,0,G4
11000,0.18846,1.460319,1.321736,1.651423,0,0,0,G4
11000,-0.164602,1.124563,1.062853,1.324382,0,0,0,G4
11000,-0.94572,0.261743,0.999999,0,0,0,0,G4
11000,-0.150126,1.15236,1.073794,1.305825,0,0,0,G4
11000,-0.98293,0.149529,1,0,0,0,0,G4
11000,-0.008154,2.584348,2.426124,3.016753,0,0,0,G4
11000,-0.180848,1.120862,1.064021,1.320108,0,0,0,G4
11000,1.36589,3.074546,2.693211,3.576104,0,0,0,G4
1100,-0.063246,1.608927,0,2.199013,1.639511,0,0,G5
1100,0.972259,1.275522,0,2.141881,2.164818,0,0,G5
1100,0.856262,1.844815,0,2.333805,2.369005,0,0,G5
1100,-0.077521,0.717603,0,1.039329,1.026227,0,0,G5
1100,1.139007,1.570754,0,2.224451,2.196905,0,0,G5
1100,-0.078388,0.701412,0,1.031068,1.032578,0,0,G5
1100,0.136451,0.731091,0,1.036524,1.036543,0,0,G5
1100,0.192035,0.831773,0,1.043691,1.033134,0,0,G5
1100,0.017633,0.82368,0,1.053787,1.028065,0,0,G5
1100,-0.183645,1.71031,0,2.297198,1.865203,0,0,G5
1110,0.15807,0.829726,0,1.077399,1.096178,0.999451,0,G6
1110,0.699618,1.753694,0,2.026054,2.017691,1.018541,0,G6
1110,0.125004,0.876376,0,1.049706,1.090622,1.000589,0,G6
1110,0.641382,1.39442,0,1.657774,1.69472,1.652385,0,G6
1110,0.070663,0.7709,0,1.060436,1.085205,0.994053,0,G6
1110,-0.009252,0.785042,0,1.053888,1.09321,0.987669,0,G6
1110,0.667561,1.313331,0,1.63105,1.675169,1.546914,0,G6
1110,1.009683,0.913673,0,1.930304,1.973412,1.798294,0,G6
1110,0.356224,0.865698,0,1.092186,1.095433,1.04096,0,G6
1110,0.24501,0.913107,0,1.102524,1.072247,1.014559,0,G6
10001,0.13836,0.783446,1.168152,0,0,0,1.134924,G7
10001,-0.164355,0.71422,1.2235,0,0,0,0.873493,G7
10001,-0.624042,0.682302,0.999999,0,0,0,0,G7
10001,0.329231,0.982685,1.216756,0,0,0,0.883307,G7
10001,0.38034,0.829572,1.285367,0,0,0,0.929975,G7
10001,0.793739,1.705116,2.118214,0,0,0,1.404917,G7
10001,0.29787,1.017446,1.137744,0,0,0,1.197526,G7
10001,3.005895,-4.037921,5.048185,0,0,0,4.890343,G7
10001,1.964791,3.744629,4.32368,0,0,0,2.149859,G7
10001,2.029247,2.149701,2.969179,0,0,0,3.065298,G7
11001,0.470137,1.070538,1.055774,1.485595,0,0,1.143429,G8
11001,-0.328652,1.079445,0.944878,1.26286,0,0,0,G8
11001,0.308704,1.041452,1.07555,1.432347,0,0,1.095186,G8
11001,4.830279,-5.929143,4.60176,5.814095,0,0,4.274877,G8
11001,0.317377,1.018776,1.035106,1.45382,0,0,1.1048,G8
11001,0.478468,1.080394,1.085714,1.494149,0,0,1.140944,G8
11001,0.378964,1.171522,1.063753,1.448928,0,0,1.112618,G8
11001,0.325927,1.207806,1.088946,1.408298,0,0,1.116171,G8
11001,0.254995,1.092935,1.141094,1.456139,0,0,1.10237,G8
11001,0.253362,1.049074,1.128674,1.494479,0,0,1.10443,G8
11111,0.985754,1.059274,1.013167,1.392894,1.382275,1.35018,1.229319,G9
11111,0.842018,0.910056,1.024812,1.35373,1.427096,1.321351,1.156444,G9
11111,1.16038,1.12397,1.110522,1.454101,1.464803,1.416359,1.270068,G9
11111,1.081631,1.244326,1.201026,1.455374,1.441992,1.242956,0,G9
11111,0.925269,0.988158,1.235293,1.176536,1.119924,1.038524,0,G9
11111,0.821203,0.742008,1.193114,1.217632,1.120491,0.994459,0,G9
11111,0.964381,0.971874,1.038205,1.353935,1.416966,1.341328,1.193952,G9
11111,0.810025,0.942821,1.047191,1.30295,1.417088,1.328558,1.148161,G9
11111,0.666753,0.964272,0.967904,1.346189,1.399944,1.260825,1.083267,G9
11111,0.702865,1.080709,0.990773,1.217849,1.365623,1.275622,1.14261,G9
0,-0.728452,0.513998,0,0,0,0,0,G1
0,-0.672955,0.584972,0,0,0,0,0,G1
0,-0.720727,0.537501,0,0,0,0,0,G1
0,-0.701598,0.532832,0,0,0,0,0,G1
0,-0.693084,0.469594,0,0,0,0,0,G1
0,-0.762485,0.47517,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,-0.698562,0.527928,0,0,0,0,0,G1
1101,0.726182,1.074775,0,1.217814,1.204221,0,1.061919,G0
1101,0.792688,1.182609,0,1.236175,1.246215,0,1.062514,G0
1101,0.809091,1.164044,0,1.246101,1.252304,0,1.075778,G0
1101,0.838553,1.075516,0,1.240257,1.251794,0,1.085787,G0
1101,0.655823,1.051815,0,1.245692,1.195182,0,1.04399,G0
1101,0.86205,1.089669,0,1.23234,1.251699,0,1.108289,G0
1101,0.956434,1.02905,0,1.246368,1.250357,0,1.117048,G0
1101,0.955239,0.944636,0,1.246951,1.235723,0,1.12298,G0
1101,1.007363,1.118087,0,1.432204,1.399129,0,0.632419,G0
1101,0.734132,1.070149,0,1.232924,1.210999,0,1.051843,G0
1000,-0.357227,0.413412,0,1.000002,0,0,0,G2
1000,-0.078084,0.81329,0,0.999997,0,0,0,G2
1000,-0.18588,0.787667,0,0.999999,0,0,0,G2
1000,-0.085474,0.800882,0,1.000001,0,0,0,G2
1000,-0.179387,0.713245,0,1.000006,0,0,0,G2
1000,-0.199327,0.855622,0,1.000002,0,0,0,G2
1000,-0.255902,0.608424,0,0.999994,0,0,0,G2
1000,-0.244464,0.461732,0,1,0,0,0,G2
1000,-0.125303,0.601262,0,0.999996,0,0,0,G2
1000,-0.239968,0.602885,0,1.000002,0,0,0,G2
1,0.443697,0.555626,0,0,0,0,0.999998,G3
1,0.86226,0.653779,0,0,0,0,0.658807,G3
1,0.750588,0.592454,0,0,0,0,0.660618,G3
1,0.893559,0.828634,0,0,0,0,0.666826,G3
1,0.517816,0.639066,0,0,0,0,0.999999,G3
1,0.492226,0.655908,0,0,0,0,1.000003,G3
1,0.483866,0.707425,0,0,0,0,0.999996,G3
1,0.967046,0.872807,0,0,0,0,0.544725,G3
1,0.502763,0.467815,0,0,0,0,1.000002,G3
1,0.51584,0.433847,0,0,0,0,0.999998,G3
11000,0.00827,1.100329,1.268886,1.629099,0,0,0,G4
11000,-0.44694,0.466721,1.00659,1.367093,0,0,0,G4
11000,-0.455291,0.861769,1.045006,1.365276,0,0,0,G4
11000,-0.073055,1.135414,1.283837,1.614403,0,0,0,G4
11000,0.004683,1.254171,1.282826,1.686177,0,0,0,G4
11000,0.010504,1.342452,1.305858,1.692554,0,0,0,G4
11000,0.036607,1.219558,1.285318,1.654193,0,0,0,G4
11000,-0.058973,1.180501,1.300964,1.621678,0,0,0,G4
11000,-0.015395,1.10555,1.267454,1.62279,0,0,0,G4
11000,-0.220726,0.979685,1.055957,1.372786,0,0,0,G4
1100,0.189658,0.558474,0,1.020514,1.061996,0,0,G5
1100,0.319402,0.773781,0,1.024568,1.053821,0,0,G5
1100,0.259142,0.804876,0,1.018045,1.050206,0,0,G5
1100,0.100846,0.767767,0,1.019863,1.049865,0,0,G5
1100,0.283289,0.794308,0,1.009796,1.064378,0,0,G5
1100,0.220504,0.705901,0,1.022127,1.056644,0,0,G5
1100,0.07513,0.703821,0,1.027052,1.052291,0,0,G5
1100,-0.022152,0.783468,0,1.031838,1.032899,0,0,G5
1100,0.04532,0.700131,0,1.016772,1.048854,0,0,G5
1100,0.025468,0.636403,0,1.031369,1.037305,0,0,G5
1110,0.322959,0.972516,0,1.052125,1.0939,1.006284,0,G6
1110,0.248405,1.014125,0,1.062312,1.094016,0.99819,0,G6
1110,0.340859,1.031472,0,1.050752,1.106624,0.999292,0,G6
1110,0.420885,1.009359,0,1.054394,1.096576,1.00886,0,G6
1110,0.329623,0.88497,0,1.071209,1.097627,1.000767,0,G6
1110,0.270949,0.826688,0,1.07042,1.093647,0.994089,0,G6
1110,0.288639,0.853461,0,1.065323,1.089836,0.998829,0,G6
1110,0.044501,0.861331,0,1.058643,1.100686,0.981466,0,G6
1110,0.239615,1.035168,0,1.028947,1.076589,1.034727,0,G6
1110,0.244437,1.004307,0,1.048856,1.088415,1.001226,0,G6
10001,1.347333,1.206629,1.507324,0,0,0,1.686507,G7
10001,1.202937,1.044722,1.365978,0,0,0,1.547323,G7
10001,1.145428,1.029672,1.418856,0,0,0,1.585526,G7
10001,1.153348,0.965388,1.36476,0,0,0,1.575543,G7
10001,1.182747,0.962683,1.35998,0,0,0,1.549273,G7
10001,1.150035,1.056092,1.362768,0,0,0,1.546107,G7
10001,0.951274,1.032187,1.373933,0,0,0,1.517443,G7
10001,0.945516,0.979077,1.388334,0,0,0,1.589092,G7
10001,0.999471,0.773504,1.409221,0,0,0,1.737786,G7
10001,1.297328,0.795194,1.535126,0,0,0,1.813022,G7
11001,0.544992,1.059212,1.079202,1.433628,0,0,1.353515,G8
11001,0.811194,1.076568,1.280525,1.558194,0,0,1.483399,G8
11001,0.873147,0.919678,1.373678,1.696364,0,0,0.696834,G8
11001,0.921665,1.107732,1.371171,1.694027,0,0,0.696752,G8
11001,0.690302,0.837593,1.205469,1.509367,0,0,1.431585,G8
11001,0.828407,0.942505,1.183859,1.504621,0,0,1.462857,G8
11001,0.923193,1.022956,1.193446,1.509748,0,0,1.474945,G8
11001,0.495076,0.890381,1.142745,1.45979,0,0,1.357309,G8
11001,0.376799,0.721406,1.087884,1.468993,0,0,1.318406,G8
11001,0.352291,0.659854,1.191578,1.612908,0,0,0.772765,G8
11111,1.282685,1.085027,1.564552,1.515079,1.568763,1.538193,1.478468,G9
11111,1.095357,1.343303,1.178463,1.337358,1.481374,1.481569,1.33477,G9
11111,1.047545,1.26462,1.21078,1.366839,1.457186,1.439888,1.315228,G9
11111,1.152834,1.095991,1.200763,1.386998,1.462169,1.472955,1.350742,G9
11111,0.9195,1.082165,1.210979,1.388369,1.460019,1.468845,1.347643,G9
11111,0.735712,0.949379,1.208579,1.377882,1.447633,1.453443,1.334161,G9
11111,0.897672,0.787352,1.218671,1.400744,1.490718,1.480276,1.396235,G9
11111,1.009016,1.035568,1.206793,1.385456,1.471193,1.493436,1.364717,G9
11111,1.13926,1.116737,1.188375,1.381582,1.478443,1.489339,1.358668,G9
11111,1.177129,1.061109,1.231344,1.39894,1.466537,1.456608,1.345468,G9
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,0,G1
1101,0.493973,1.002696,0,1.182831,1.223052,0,0.929556,G0
1101,0.707169,1.083003,0,1.168252,1.229556,0,0.916032,G0
1101,0.405435,0.902968,0,1.148684,1.215827,0,0.929531,G0
1101,0.807531,0.954368,0,1.154912,1.230629,0,0.960104,G0
1101,0.639225,0.95313,0,1.210232,1.237399,0,0.932007,G0
1101,-0.38578,0.637863,0,1.001412,1.035907,0,0,G0
1101,0.334742,0.725178,0,1.181613,1.228342,0,0.909932,G0
1101,0.587771,0.656027,0,1.181768,1.227336,0,0.934598,G0
1101,0.771776,0.975539,0,1.1522,1.220068,0,0.965082,G0
1101,0.809268,0.942541,0,1.180267,1.204639,0,0.908678,G0
1000,-0.446635,0.705502,0,0.999994,0,0,0,G2
1000,0,0,0,0,0,0,0,G2
1000,-0.63726,0.535409,0,0.999992,0,0,0,G2
1000,-0.562339,0.593751,0,1.000005,0,0,0,G2
1000,-0.023712,0.731584,0,0.999996,0,0,0,G2
