@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R1,2,3,4,5,6,7-11,22-weka.filters.unsupervised.attribute.Remove-R12_gesture-weka.filters.unsupervised.attribute.Remove-V-R1,3,7-11,264-327,328'

@attribute numFingers numeric
@attribute ratio numeric
@attribute newFingerTipDistRefined_f1 numeric
@attribute newFingerTipDistRefined_f2 numeric
@attribute newFingerTipDistRefined_f3 numeric
@attribute newFingerTipDistRefined_f4 numeric
@attribute newFingerTipDistRefined_f5 numeric
@attribute cellOccupancyAvg1 numeric
@attribute cellOccupancyAvg2 numeric
@attribute cellOccupancyAvg3 numeric
@attribute cellOccupancyAvg4 numeric
@attribute cellOccupancyAvg5 numeric
@attribute cellOccupancyAvg6 numeric
@attribute cellOccupancyAvg7 numeric
@attribute cellOccupancyAvg8 numeric
@attribute cellOccupancyAvg9 numeric
@attribute cellOccupancyAvg10 numeric
@attribute cellOccupancyAvg11 numeric
@attribute cellOccupancyAvg12 numeric
@attribute cellOccupancyAvg13 numeric
@attribute cellOccupancyAvg14 numeric
@attribute cellOccupancyAvg15 numeric
@attribute cellOccupancyAvg16 numeric
@attribute cellOccupancyAvg17 numeric
@attribute cellOccupancyAvg18 numeric
@attribute cellOccupancyAvg19 numeric
@attribute cellOccupancyAvg20 numeric
@attribute cellOccupancyAvg21 numeric
@attribute cellOccupancyAvg22 numeric
@attribute cellOccupancyAvg23 numeric
@attribute cellOccupancyAvg24 numeric
@attribute cellOccupancyAvg25 numeric
@attribute cellOccupancyAvg26 numeric
@attribute cellOccupancyAvg27 numeric
@attribute cellOccupancyAvg28 numeric
@attribute cellOccupancyAvg29 numeric
@attribute cellOccupancyAvg30 numeric
@attribute cellOccupancyAvg31 numeric
@attribute cellOccupancyAvg32 numeric
@attribute cellOccupancyAvg33 numeric
@attribute cellOccupancyAvg34 numeric
@attribute cellOccupancyAvg35 numeric
@attribute cellOccupancyAvg36 numeric
@attribute cellOccupancyAvg37 numeric
@attribute cellOccupancyAvg38 numeric
@attribute cellOccupancyAvg39 numeric
@attribute cellOccupancyAvg40 numeric
@attribute cellOccupancyAvg41 numeric
@attribute cellOccupancyAvg42 numeric
@attribute cellOccupancyAvg43 numeric
@attribute cellOccupancyAvg44 numeric
@attribute cellOccupancyAvg45 numeric
@attribute cellOccupancyAvg46 numeric
@attribute cellOccupancyAvg47 numeric
@attribute cellOccupancyAvg48 numeric
@attribute cellOccupancyAvg49 numeric
@attribute cellOccupancyAvg50 numeric
@attribute cellOccupancyAvg51 numeric
@attribute cellOccupancyAvg52 numeric
@attribute cellOccupancyAvg53 numeric
@attribute cellOccupancyAvg54 numeric
@attribute cellOccupancyAvg55 numeric
@attribute cellOccupancyAvg56 numeric
@attribute cellOccupancyAvg57 numeric
@attribute cellOccupancyAvg58 numeric
@attribute cellOccupancyAvg59 numeric
@attribute cellOccupancyAvg60 numeric
@attribute cellOccupancyAvg61 numeric
@attribute cellOccupancyAvg62 numeric
@attribute cellOccupancyAvg63 numeric
@attribute cellOccupancyAvg64 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data
1,1,0,0,0,0,0,0,1.985278,6.445833,9.225278,9.968889,3.976667,0.679167,0,1.411944,13.080277,18,18,18,18,16.012501,3.299444,3.232222,16.689167,17.864721,17.764999,18,18,17.894167,6.511944,0.425278,15.963333,17.006945,17.031666,17.682222,17.648333,17.060278,6.233333,0,8.023889,17,17,16.680834,17.002222,17,6.233333,0,1.776667,14.208889,17,17,17,17,6.200278,0,0,1.734444,15.762222,17,16.855556,9.620556,0.761667,0,0,0,3.304167,10.861111,3.625556,0,0,G1
2,0.016534,0,1.160427,0.920108,0,0,0,0,0,0,0,0,0,0,0,7.973611,5.126111,0.001111,0,0.062222,0,0,3.213889,5.348333,12.151944,14.1375,12.102777,16.525555,7.598611,0,3.135278,11.512777,16.049999,17.223333,18.430555,18.986666,18.388056,4.432222,0,0.016389,6.893889,17.834723,18.995001,19,19,12.71,0,4.262222,11.401667,15.3575,13.428611,15.752222,18.787777,12.714444,0,0,0,0,0,0,1.488333,5.965556,0,0,0,0,0,0,0,0,G0
1,1,0,0.999997,0,0,0,0,0,0,0,0,0,0,0,0,5.768611,5.751111,1.030556,0,0.166944,0.576389,0,0,5.256667,9.629444,16.473612,12.578611,15.376389,17.075834,6.341667,4.337778,11.165833,12.86,16.02,18.268055,17.495832,18.325001,12.359167,3.061111,4.008333,4.882222,17.633333,18.695833,19,19,12.666667,0,0,4.541389,11.906944,17.853611,14.818611,12.727222,6.8975,0,0,4.952222,6.229445,0.970833,0,0,0,0,0,0,0,0,0,0,0,G0
3,0.011292,0,1.173661,1.234522,0,0.942133,0,0,0,0,0,0,0,0,0,6.510278,6.425278,0.287778,0,0,0,0,0,0.832778,7.902222,14.757222,7.815834,9.125,9.783334,0.138611,5.945833,12.911944,12.694167,15.4325,17.688889,16.235277,17.987499,5.328611,0.012778,0.253333,1.799722,14.0125,16.676666,17.779167,18.049723,12.649722,0,0,3.268611,8.938056,15.1725,12.563334,13.243889,12.666667,0,0,1.845278,3.302778,0.016389,0,0.358056,3.525,0,0,0,0,0,0,0,0,G0
3,0.010951,0,1.196519,1.217923,0,0.939192,0,0,0,0,0,0,0,0,0,7.935833,10.965278,1.526389,0,0.0275,0.001667,0,3.744444,4.707778,5.853889,15.018888,6.878334,13.653611,10.035277,0,2.523056,8.581944,14.510834,16.871111,16.632223,17.244167,17.975277,2.440556,0,0,0.540833,13.65,16.995001,18.21139,18.619167,11.216111,0,0,8.606112,13.202222,13.646944,14.795278,17.720278,12.666667,0,0,0,0.0025,0,0,4.595556,9.089444,0,0,0,0,0,0,0,0,G0
3,0.011335,0,1.18299,1.232636,0,0.988413,0,0,0,0,0,0,0,0,0,7.2225,4.708611,0.239444,0,0,0,0,0,2.045833,9.460278,13.846666,10.598056,9.287778,5.605834,0,6.776111,13.715,13.456667,17.002222,18.433056,17.838888,17.970556,3.755278,0.498056,0.576667,1.7825,16.676111,16.973612,18.470833,18.995277,13.046389,0,0.045278,6.044445,13.576667,14.090278,12.244722,13.2,13.264167,0,0,4.1425,1.273056,0,0,0.545556,4.939167,0,0,0,0,0,0,0,0,G0
3,0.011234,0,1.191666,1.217141,0,0.975672,0,0,0,0,0,0,0,0,1.5725,10.469722,11.356667,8.826389,8.115833,9.8025,11.66,4.721389,1.901389,7.059722,8.843611,17.168612,18.1875,17.884167,17.831944,12.156667,0.814167,10.818055,16.179722,17.861111,18.183056,17.408333,17.326389,12.590278,7.820556,7.611667,2.965556,12.092778,17.701944,16.895277,19,10.344444,0,0,0,9.843333,16.326389,9.814445,4.361945,1.274167,0,0,2.853611,9.959723,1.505556,0,0,0,0,0,0,0,0,0,0,0,G0
3,0.011063,0,1.186488,1.220379,0,0.961907,0,0,0,0,0,0,0,0,0,8.078333,6.875,0.330278,0,0,0,0,0,1.384444,9.719722,13.633333,8.189722,9.875,11.375278,0.3675,5.927778,12.660556,11.394722,14.996388,18.407223,15.467778,18.005556,8.352777,0.040833,1.404722,5.106111,17.670555,17.604445,17.565834,18.944445,12.666667,0,0,2.42,13.021111,17.805834,17.946945,18.07,12.662778,0,0,8.695833,8.313334,2.325833,0.568333,0.28,2.302222,0,0,0,0,0,0,0,0,G0
3,0.011482,0,1.158527,1.233534,0,0.983986,0,0,0,0,0,0,0,0,0,5.420833,2.766944,0,0,0,0,0,0,3.221111,12.344722,13.623889,5.531389,10.059722,8.749722,0.152778,7.981667,12.811111,12.652778,16.26111,18.546667,17.282778,18.458611,6.482222,0,0.75,7.401111,18.056667,18.263889,18.974722,19,12.666667,0,0.011944,2.776944,12.804444,18.310556,18.170279,17.868055,12.666667,0,0.173056,8.496667,7.506945,2.181667,0.594444,0.429167,2.778333,0,0,0,0,0,0,0,0,G0
2,0.017025,0,1.190305,0.904634,0,0,0,0,0,0,0,0,0,0,0,4.707778,2.111389,0,0,0,0,0,0.010278,6.190834,11.919444,12.980833,9.114722,14.868889,9.663889,0.045833,7.305278,13.816944,15.466111,17.008333,18.278334,18.848333,19,7.411389,0,0,5.9725,18.025833,18.947222,19,19,12.716945,0,0.680278,11.4825,15.839167,14.483611,14.615278,16.440556,12.733611,0,0,0.369167,0.150833,0,0,0,1.703889,0,0,0,0,0,0,0,0,G0
2,0.016541,0,1.158608,0.917696,0,0,0,0,0,0,0,0,0,0,0,7.907222,5.888889,0.028611,0.389722,0.258889,0,0,5.701667,7.839722,12.714723,13.879723,16.31889,18.220556,5.730556,0,2.951389,9.783055,17.175833,18.804167,18.59,19.056667,17.504723,2.832778,0,2.0125,8.160556,18.849167,19.09111,19.008612,19.0625,13.214444,0,4.550833,13.1475,11.322778,10.709167,12.860556,16.374722,13.321667,0,0,0,0,0,0,1.391111,6.618333,0,0,0,0,0,0,0,0,G0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.791389,12.392222,11.707222,2.958333,0,0,0,0.586389,12.072222,12.138056,20.034721,18.789444,3.867222,7.533333,15.675,16.695555,18.779444,18.976944,20.428888,20,13.295555,0.240556,0.833611,14.087222,19.390278,20.717501,20.464445,20,13.333333,0,0,7.743611,19.991388,20,20,20,13.333333,0,0,0.049167,5.056944,11.056945,11.6325,8.946111,5.182222,0,0,0,0,0,0,0,0,G2
1,1,0,0.999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.368611,5.841944,0,1.049444,3.932222,4.921389,5.455833,7.796389,15.509167,17.531666,2.475,7.297222,11.042222,12.695278,17.149166,17.008612,17,17.962778,8.752778,0,0,0,6.892778,17,17,18.073055,12.665,0,0,0,0.256667,10.979722,12.892222,17.89889,12.243611,0,0,0,0,0.361944,2.951667,1.655,4.873333,0,0,0,0,0,0,0,0,G2
1,1,0,0.999996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.672778,14.014167,3.095,0,6.439167,13.138611,12.993889,11.106944,13.716945,17.967501,16.729723,0.0175,0,2.734167,3.968333,16.61861,18,18.792778,19.694723,6.490556,0,0,0,8.288611,18.052221,19.415833,19.944445,13.351389,0,0,0,0.565556,11.427778,15.359445,17.164167,13.384722,0,0,0,0,0,0,1.908056,8.552778,0,0,0,0,0,0,0,0,G2
1,1,0,1.000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.042778,13.972777,3.750278,0,7.8625,13.203889,13.783055,12.047778,17.003889,20.736944,16.594999,0.0225,0.9175,3.105833,6.713333,19.443333,20,20.774445,20.997499,9.241667,0,0,0,13.569722,20.131945,21,21,14.166667,0,0,0,2.415,13.702222,15.486944,17.222778,14.336389,0,0,0,0,0,0,1.2225,7.589167,0,0,0,0,0,0,0,0,G2
1,1,0,1.000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.268889,9.3375,3.218333,0,3.410556,8.911667,11.120556,8.173056,13.5675,20.532499,18.718334,0.700833,5.668889,9.275278,10.016666,19.885834,19.997778,20.964445,21.073055,10.9775,0,0,0,15.842222,20,21.026945,21.259167,14.619445,0,0,0,6.875834,18.741388,20.978611,19.944166,14.639444,0,0,0,0,0.425556,1.688889,0.208889,4.600555,0,0,0,0,0,0,0,0,G2
1,1,0,1.000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019722,5.3025,4.511944,0,1.994167,3.328889,6.519444,8.196389,10.730833,20.131945,20.06889,3.113055,8.330277,12.717778,13.319445,19.33639,20.186388,20.486666,21,13.480833,0,0,0,15.639444,20,20.531111,21,14,0,0,0,7.252778,19.18111,20.904444,20.405556,13.69,0,0,0,0.3475,2.647222,5.593611,1.996389,2.156945,0,0,0,0,0,0,0,0,G2
1,1,0,1.000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.615,10.158889,6.646111,0,1.514722,5.600555,6.413055,6.568611,9.122222,17.139444,17.902222,4.504445,4.644722,8.866389,10.078333,15.850833,17.013056,17.343334,18.168056,10.1225,0,0,0,11.338611,17,16.972778,18.595833,12.663333,0,0,0,2.649167,13.999722,15.712778,17.863333,11.72,0,0,0,0,0.286944,4.500834,2.891944,3.388889,0,0,0,0,0,0,0,0,G2
1,1,0,1.000001,0,0,0,0,0,0,0,0,2.874444,0.066389,0,2.065278,5.443056,5.453055,4.947222,5.705833,18.773611,10.175278,0,5.55,11.570556,15.778055,19.02,18.468611,18.643888,17.797777,0,0,0,1.647778,17.254999,18,17.327223,18.924999,7.765278,0,0,0.040278,9.339444,18.194723,18.279167,20,13.798056,0,0,0,0.683056,8.583889,13.403055,14.374722,13.968889,0,0,0,0,0,0,4.573889,11.829722,0,0,0,0,0,0,0,0.601944,G2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017778,10.891111,11.410556,2.398056,0,4.046945,9.432777,8.079722,10.216666,15.991389,20.121111,17.446388,1.415,3.773056,8.453055,16.685556,19.854723,20.095556,20.705278,20.01,11.4025,0,0,9.944445,19.943333,20.713333,20.641111,20.040833,13.620277,0,0,2.196667,15.324722,19.778889,20,20.03389,13.629444,0,0,0,0.054444,0.37,3.466389,2.312222,6.253334,0,0,0,0,0,0,0,0,G2
1,1,0,1,0,0,0,2.858056,1.976389,0,0,0,10.148334,1.188056,0,3.493333,14.500278,14.638056,8.152223,12.326944,18.772223,12.000278,0,0,0.590833,7.2375,18.854445,19,19.165001,17.860001,0,0,0,3.671389,18.374445,18.116388,17.129723,18.746389,3.368333,0,0,0.015556,9.816112,16.138889,19.499445,20.013334,11.8025,0,0,0,0.571389,7.021389,10.816944,19.209723,11.898056,0,0,0,0,0,0.048889,12.133889,11.892777,0,0,0,0,0,0,0.027222,5.395555,G2
1,1,0,0,0,0,1.000003,0,0,1.603889,6.978611,11.285833,5.697778,0.142222,0,0,0,13.299723,19,19,19,15.554167,2.5425,0,0,13.526944,19,19,19,19,6.65,0,0.528889,17.17,19,19.022223,19.311111,19,6.65,0,0.65,17.038889,19.086666,19.679445,19.227777,19,6.65,0,0.5975,13.213333,19.631945,19.690001,19,18.988611,6.103889,1.480833,4.753056,7.693611,18.864445,17.799444,9.819445,4.514722,0.008333,3.418611,12.2375,13.333333,8.097777,0.443056,0,0,0,G3
0,0,0,0,0,0,0,0,0,0,3.704167,5.948333,6.2875,0.004722,0,0,0,3.255278,19.966667,20.895,20.365,12.252778,0.243611,0,0,4.817222,19.834167,20.0525,20,20,12.4775,0,0,11.736944,20.030277,20.064167,20.250834,20,13.333333,0,1.066667,18.425278,20.230833,20.763056,20.441389,20,13.333333,0.193333,0.318333,9.080833,20.777779,20.719166,20.003611,20,13.333333,10.120277,16.428888,15.669444,20.987223,19.958611,16.505278,11.353611,4.218611,0.081944,3.665833,7.884722,2.000833,1.346667,0,0,0,G3
1,1,0,0,0,0,0.999997,0,0,0,0.509167,2.921667,2.989167,0,0,0,0,0,12.610833,18.96139,18.905556,11.44,0.687222,0,0,0.006389,16.125555,18.9275,18.915001,19,10.913889,0,0,5.462222,18.459723,18.020834,17.827778,19,12.666667,0,0,13.437778,18.066111,18.263611,18.805,18.701944,12.219722,0,0,8.765,18.878334,19,18.993055,18.219166,12.125278,7.430833,15.070556,14.096111,18.961666,18.967777,17.589445,13.336111,6.207222,0,3.119167,6.333333,4.598055,0.855,0.099722,0,0,G3
1,1,0,0,0,0,1.000007,0,0,0.483056,7.739444,11.722222,6.559166,0.4525,0,0,0,14.334723,19.704721,19.296667,19.014444,15.55,0,0,0,17.165001,19.005556,19,19,17.416666,0,0,0,14.169723,19,19.249445,19.501944,17.416666,0,0,0,11.104167,18.847221,19.391945,19.307501,17.416666,0,0,0,9.139444,17.383888,19.809999,19.0075,14.593611,0,0,3.495833,5.225,15.536667,17.651112,6.394166,0.162222,0,0,8.303056,12.96,7.811666,0.356944,0,0,0,G3
0,0,0,0,0,0,0,0,0,0,1.250278,6.481111,6.767222,0.024444,0,0,0,0.151111,17.658611,20,19.998333,12.236667,0.475833,0,0,2.236667,19.944166,20,20,20,12.315833,0,0,5.934166,19.877777,20,19.385,20,13.333333,0,0,15.781111,20,19.692778,20.250278,20,13.333333,2.5125,1.889444,11.706388,20,20,20,20,13.333333,6.868055,18.283333,18.725,20.387222,20,20,19.008333,10.501389,0,0.2475,6.162222,6.635,4.4825,6.283611,0.706944,0,G3
1,1,0,0,0,0,1.000001,0,0,0,1.850556,4.960834,3.308056,0,0,0,0,2.693611,18.633055,19,19.071388,11.158055,0.343889,0,0,5.150833,19,19,19,19,11.182777,0,0,10.066112,19,19,19.07,19,12.76,0,0.484444,15.981389,18.913334,18.967501,19.641388,19,12.666667,0,0.0475,11.594444,19.606388,19.721111,19.096666,19,12.673611,9.027778,13.566944,17.111666,19.836945,18.915001,15.782222,9.006389,2.944722,0.098333,5.1125,5.666667,2.172222,0.2925,0.168889,0,0,G3
1,1,0,0,0,0,0.999997,0,0,0,1.016944,3.880556,3.006389,0,0,0,0,0.084167,17.619444,20,19.683611,12.051111,0.624722,0,0,4.423056,19.998888,20,20,20,11.49,0,0,7.499444,19.920555,19.965,20,19.998888,13.328611,0,0,16.86389,19.865278,19.799444,20,19.338333,12.675278,3.171111,1.317222,8.636111,19.957222,20,19.719723,19.028055,12.781389,5.437778,17.41361,19.11861,19.503056,17.183332,15.1925,8.165556,1.024167,0,0.730833,4.103889,0.903889,0.025278,0,0,0,G3
1,1,0,0,0,0,1.000003,0,0,0,0.471389,3.078056,1.799167,0.000278,0,0,0,0,12.656111,18,17.955555,9.648056,0.020556,0,0,0.413333,17.346945,18,18,17.997499,10.161111,0,0,3.027778,17.958055,17.946112,17.916945,17.996111,11.966111,0,0,11.962778,17.798889,17.848055,17.984722,17.322779,11.333333,5.134444,2.225,6.219167,17.116388,17.996944,17.379168,17,11.360833,3.2925,14.068334,17.561388,17.393888,14.204722,11.87,9.396667,3.139722,0,0,2.013889,0.410278,0,0,0,0,G3
1,1,0,0,0,0,1.000001,0,0,0,2.835833,8.701944,5.793611,0.612222,0,0,0,0,8.962778,18,18,13.713889,0.568611,0,0,0.961944,16.241112,18,18,17.640833,11.523889,0,0,5.219167,18,18,18.019722,18,12,0,0,14.055555,18,18.002222,18.015556,18,12,3.083611,0.252778,10.622222,18,18,18,18,12,9.541389,13.247778,15.510278,18,18,18,17.807501,11.216945,0.620833,6.423611,9.6,8.701111,6.931667,4.341944,2.450833,0.399444,G3
1,1,0,0,0,0,1.000002,0,0,0,1.410278,1.8425,2.010556,0,0,0,0,0.117222,16.210833,19.639444,18.950277,9.798056,0.0125,0,0,2.9375,19.0525,19.004723,19,18.997499,9.751945,0,0,8.260555,19.016666,19.024723,18.673889,19,12.666667,0,0.051667,15.85,19.092777,19.639444,19.326111,19,12.666667,0.2925,0.0025,9.111389,19.7425,19.315556,19,19,12.666667,9.641111,16.933889,16.943056,19.512222,17.276667,14.376945,10.009444,3.658333,0,1.058333,3.666667,1.912778,0.135278,0,0,0,G3
2,0.00996,1.145792,1.390461,0,0,0,3.922778,10.905833,5.526111,2.837778,0.295556,0,0,0,6.038889,15.638889,17,16.942778,16.229166,11.018333,1.572778,0.182778,0,0.588611,9.300278,14.079166,16.997499,17,15.800278,9.538055,0,0,0,0.225833,6.381945,11.931666,15.731389,11.069445,0,0,0,0,0,0,3.673889,11.315833,0,0,0,0,0,0,5.81,10.535277,0,0,0,0,0,0,1.653056,5.936111,0,0,0,0,0,0,0,1.914444,G4
2,0.009741,1.337237,1.440097,0,0,0,0,0,0,0,0,8.566944,0.123333,0,0,0,0,0,0,12.767222,4.3875,0,0,0,0,0,0,6.365278,14.155833,0.245833,0.491111,3.194722,2.848056,1.652778,3.185833,12.325,17,5.563334,2.071667,9.479445,12.051389,15.484722,16.38139,16.649445,17,5.95,0,0,0,3.662222,16,14.180278,16.872499,5.95,0,0,0,0.534722,12.136111,13.948611,16.371389,5.95,0,0,0,0,5.178056,9.949722,9.378056,1.849722,G4
