@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R1,2,3,4,5,6,7-11,22-weka.filters.unsupervised.attribute.Remove-R12_gesture-weka.filters.unsupervised.attribute.Remove-V-R1,4,5,7-11,194-199,328'

@attribute numFingers numeric
@attribute Max_X numeric
@attribute Max_Y numeric
@attribute newFingerTipDistRefined_f1 numeric
@attribute newFingerTipDistRefined_f2 numeric
@attribute newFingerTipDistRefined_f3 numeric
@attribute newFingerTipDistRefined_f4 numeric
@attribute newFingerTipDistRefined_f5 numeric
@attribute convexHull1 numeric
@attribute convexHull2 numeric
@attribute convexHull3 numeric
@attribute convexHull4 numeric
@attribute convexHull5 numeric
@attribute convexHull6 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data
3,0.508686,0.998301,0,1.186488,1.220379,0,0.961907,0.162618,0.124563,0.083058,0.072478,0,0,G0
3,0.530267,1.068097,0,1.158527,1.233534,0,0.983986,0.164187,0.099862,0.093679,0.088174,0,0,G0
2,0.362851,1.121722,0,1.190305,0.904634,0,0,0.127814,0.075727,0.066408,0.072443,0,0,G0
2,0.221858,1.068544,0,1.158608,0.917696,0,0,0.103931,0.056271,0.052802,0.103281,0,0,G0
0,0,0,0,0,0,0,0,0.057495,0.076025,0.020197,0,0,0,G2
1,-0.10714,0.827349,0,0.999999,0,0,0,0.015132,0.155957,0.125947,0.029168,0,0,G2
1,-0.176397,0.885353,0,0.999996,0,0,0,0.119065,0.12577,0.012629,0.05132,0,0,G2
1,-0.180172,0.929243,0,1.000003,0,0,0,0.110145,0.106031,0.049016,0,0,0,G2
1,-0.163734,0.943691,0,1.000005,0,0,0,0.132636,0.083818,0.026107,0,0,0,G2
1,-0.147143,0.935648,0,1.000003,0,0,0,0.150864,0.083676,0.024261,0,0,0,G2
1,-0.138131,0.873468,0,1.000003,0,0,0,0.015197,0.134069,0.100815,0.029108,0,0,G2
1,-0.20808,0.727005,0,1.000001,0,0,0,0.106864,0.089145,0.021939,0.065012,0,0,G2
0,0,0,0,0,0,0,0,0.070459,0.073568,0.033311,0,0,0,G2
1,-0.358454,0.729622,0,1,0,0,0,0.011758,0.084522,0.134302,0.017631,0.073544,0,G2
1,0.541412,0.83058,0,0,0,0,1.000003,0.0116,0.130924,0,0,0,0,G3
0,0,0,0,0,0,0,0,0.129087,0.007894,0,0,0,0,G3
1,0.462858,0.841609,0,0,0,0,0.999997,0.155491,0,0,0,0,0,G3
1,0.659998,0.728467,0,0,0,0,1.000007,0.142233,0,0,0,0,0,G3
0,0,0,0,0,0,0,0,0.009513,0.123307,0,0,0,0,G3
1,0.476256,0.828946,0,0,0,0,1.000001,0.128014,0.008506,0,0,0,0,G3
1,0.392557,0.889354,0,0,0,0,0.999997,0.008272,0.138489,0,0,0,0,G3
1,0.390461,0.873453,0,0,0,0,1.000003,0.010841,0.152462,0,0,0,0,G3
1,0.306161,0.746036,0,0,0,0,1.000001,0.007041,0.136775,0.010631,0,0,0,G3
1,0.465563,0.87375,0,0,0,0,1.000002,0.132526,0,0,0,0,0,G3
2,-0.308619,1.28561,1.145792,1.390461,0,0,0,0.04308,0.358627,0.015719,0,0,0,G4
2,-0.193841,1.128605,1.337237,1.440097,0,0,0,0.173122,0.397162,0,0,0,0,G4
1,0.761958,-0.644317,1.000008,0,0,0,0,0.197645,0.386167,0,0,0,0,G4
1,-0.870415,0.246019,0.999998,0,0,0,0,0.179507,0.03626,0.01814,0.021025,0,0,G4
2,-0.442109,0.342575,1.323784,0.890024,0,0,0,0.177901,0.332878,0.015976,0,0,0,G4
3,2.217399,3.957813,4.375272,4.654198,0,0,0,0.6086,0.019323,0.037715,0,0,0,G4
3,0.025788,2.411074,2.582871,2.650864,0,0,0,0.173765,0.425073,0,0,0,0,G4
2,-0.216412,1.204008,1.264772,1.321828,0,0,0,0.136039,0.384642,0,0,0,0,G4
2,-0.337742,1.27062,1.268483,1.443238,0,0,0,0.031681,0.065111,0.85783,0,0,0,G4
2,-0.201674,1.357879,1.361627,1.547966,0,0,0,0.178761,0.287226,0.033448,0,0,0,G4
1,0.057267,0.972637,0,1.000006,0,0,0,0.104233,0.097247,0.072158,0.013314,0,0,G5
2,0.064748,0.974128,0,0.996102,1.052119,0,0,0.136918,0.119265,0.079905,0.028586,0,0,G5
2,-0.022499,0.867764,0,1.002487,1.05151,0,0,0.119061,0.115479,0.087429,0.042242,0,0,G5
2,-0.009446,0.877682,0,1.006217,1.047653,0,0,0.109824,0.121709,0.075418,0.041668,0,0,G5
2,0.006147,0.997972,0,1.015902,1.033491,0,0,0.115569,0.121238,0.077003,0.015418,0,0,G5
1,0.019301,0.960213,0,1.000003,0,0,0,0.10853,0.093604,0.065521,0.022649,0,0,G5
2,0.039962,1.034228,0,0.991394,1.079594,0,0,0.110383,0.138416,0.063834,0,0,0,G5
1,0.032045,0.996419,0,1.000001,0,0,0,0.070737,0.446364,0.014821,0,0,0,G5
0,0,0,0,0,0,0,0,5.070341,0,0,0,0,0,G5
1,0.08606,0.969423,0,0.999999,0,0,0,0.081998,0.103293,0.081337,0,0,0,G5
3,0.139896,0.993641,0,1.03676,1.153706,0.996826,0,0.070129,0.089135,0.189076,0.06539,0,0,G6
1,0.216966,0.938215,0,0.999998,0,0,0,0.029986,0.018855,0.111913,0.047883,0.020298,0,G6
3,0.157546,0.926696,0,1.022139,1.155098,1.007376,0,0.119303,0.045671,0.080207,0.054959,0.043483,0,G6
3,0.14616,0.912681,0,1.016173,1.160586,1.011489,0,0.115524,0.031475,0.083998,0.050002,0.045411,0,G6
3,0.141615,0.922221,0,1.013224,1.162504,1.003669,0,0.041306,0.057525,0.191123,0.10808,0.013384,0,G6
3,0.212588,1.078765,0,1.020718,1.151267,0.996078,0,0.101114,0.02695,0.120904,0.057596,0,0,G6
3,0.417174,1.005026,0,1.012118,1.152329,1.014069,0,0.036556,0.093036,0.103619,0.01634,0.034482,0,G6
2,-0.166341,0.745789,0,1.108947,1.053854,0,0,0.074672,0.076716,0.051683,0.0691,0,0,G6
3,-0.073798,1.073336,0,1.037226,1.168654,0.993281,0,0.091073,0.088069,0.050481,0.060475,0,0,G6
3,0.082209,1.170329,0,1.02111,1.179349,0.990766,0,0.070088,0.117477,0.055,0,0,0,G6
2,0.844688,0.81088,1.362557,0,0,0,1.402702,0.031267,0.144009,0.087523,0.01354,0,0,G7
2,0.811327,1.022262,1.49503,0,0,0,1.475383,0.358552,0.016289,0,0,0,0,G7
2,0.842655,1.057828,1.525303,0,0,0,1.521094,0.413768,0,0,0,0,0,G7
2,1.014016,1.037736,1.608012,0,0,0,1.527633,0.027329,0.271192,0.021299,0,0,0,G7
2,0.91576,1.124422,1.533408,0,0,0,1.59939,0.371095,0,0,0,0,0,G7
3,0.86249,1.360674,1.742836,0,0,0,0.749623,0.291166,0,0,0,0,0,G7
2,0.508107,0.776607,1.527678,0,0,0,1.532306,0.280769,0,0,0,0,0,G7
2,0.839336,1.519801,1.655546,0,0,0,1.82029,0.257591,0,0,0,0,0,G7
2,0.644728,0.944019,1.520151,0,0,0,1.475261,0.133667,0.122543,0.014845,0,0,0,G7
2,0.29487,1.060393,1.364512,0,0,0,1.436626,0.296905,0.012863,0,0,0,0,G7
3,0.483445,1.367308,1.323037,1.493186,0,0,1.272959,0.222429,0.337619,0,0,0,0,G8
2,0.829864,1.373388,1.71756,1.833586,0,0,0,0.028934,0.207811,0.316702,0,0,0,G8
3,0.567829,1.426975,1.361092,1.63912,0,0,1.398472,0.243237,0.342531,0.022581,0,0,0,G8
2,0.761607,1.478418,1.785503,1.842664,0,0,0,0.016625,0.205132,0.3285,0,0,0,G8
3,0.642846,1.471149,1.48761,1.578832,0,0,1.496457,0.015723,0.220172,0.326151,0.010029,0,0,G8
2,0.283297,1.272335,1.585537,1.689582,0,0,0,0.028643,0.147135,0.290536,0,0,0,G8
3,0.607018,1.179867,1.26745,1.388645,0,0,1.307492,0.270724,0.228417,0.018513,0,0,0,G8
2,0.633312,1.259652,1.406872,1.484627,0,0,0,0.186615,0.273484,0.026332,0,0,0,G8
3,0.447865,1.236284,1.319997,1.435065,0,0,1.356813,0.220489,0.32962,0.015082,0,0,0,G8
3,0.622475,1.343418,1.435508,1.530495,0,0,1.41083,0.244527,0.324508,0.026338,0,0,0,G8
4,0.530258,1.504573,1.224136,1.324927,1.553876,1.238791,0,0.014116,0.00849,0.011527,0.060772,0.22572,0,G9
5,0.579419,1.340814,1.074618,1.262787,1.361333,1.338076,1.159443,0.025507,0.02801,0.008478,0.05969,0.243613,0,G9
5,0.695679,1.295621,1.047285,1.206853,1.33998,1.340826,1.159624,0.012229,0.030493,0.033575,0.072689,0.216022,0.010329,G9
5,0.791347,1.412484,1.217972,1.308934,1.436707,1.390488,1.196891,0.014006,0.032132,0.020959,0.086645,0.230337,0,G9
1,-0.799085,0.600263,0.999997,0,0,0,0,0.030373,0.070626,0.232652,0,0,0,G9
5,0.850534,1.42811,1.247905,1.352915,1.45647,1.431388,1.293315,0.015546,0.031853,0.013586,0.077677,0.242484,0,G9
1,-0.788799,0.610598,1.000001,0,0,0,0,0.029577,0.014631,0.009591,0.072841,0.233483,0,G9
5,0.653589,1.178239,1.33949,1.335647,1.51667,1.479029,1.277968,0.029367,0.038814,0.025655,0.079549,0.255652,0,G9
5,0.904786,1.352818,1.382982,1.337295,1.551566,1.540406,1.369454,0.038125,0.025238,0.077669,0.23401,0,0,G9
4,0.522232,1.510261,1.243544,1.592666,1.479567,1.313366,0,0.039314,0.031863,0.011758,0.070324,0.232123,0,G9
1,-0.768864,0.635808,0,0,0,0,0,0.076449,0.014265,0.01532,0.018083,0,0,G1
1,-0.616738,0.778669,0,0,0,0,0,0.011205,0.00807,0.008234,0.00853,0.014769,0.008183,G1
0,0,0,0,0,0,0,0,0.009885,0.067136,0,0,0,0,G1
1,-0.553091,0.81432,0,0,0,0,0,0.008428,0.009388,0,0,0,0,G1
1,-0.50255,0.864201,0,0,0,0,0,0.013081,0.007526,0,0,0,0,G1
1,-0.617926,0.786069,0,0,0,0,0,0.013366,0.008601,0,0,0,0,G1
1,-0.739105,0.671906,0,0,0,0,0,0.051608,0,0,0,0,0,G1
1,-0.698455,0.71264,0,0,0,0,0,0.009241,0.008941,0.016333,0,0,0,G1
0,0,0,0,0,0,0,0,0.01023,0.013082,0.01621,0,0,0,G1
0,0,0,0,0,0,0,0,0.019969,0.022851,0,0,0,0,G1
3,0.426401,0.79501,0,1.231878,1.262241,0,0.879664,0.164475,0.109173,0.069325,0.05588,0.030002,0,G0
3,0.588854,1.055807,0,1.213938,1.259384,0,0.978552,0.025514,0.256983,0.170483,0.013567,0,0,G0
3,0.471281,1.026527,0,1.223794,1.256832,0,0.950819,0.03773,0.263549,0.178753,0.038489,0,0,G0
3,0.58508,1.053928,0,1.295857,1.321249,0,0.995977,0.028554,0.332258,0.25687,0.023468,0,0,G0
4,0.857719,1.283488,0,1.549778,1.569884,0,0.60851,0.27848,0.236559,0.035139,0.054283,0,0,G0
3,0.270615,0.965162,0,1.221951,1.242878,0,0.906979,0.202033,0.066552,0.098439,0.033651,0.021654,0,G0
3,0.302741,0.956813,0,1.179179,1.158923,0,0.969525,0.265951,0.055664,0.055333,0.015224,0,0,G0
3,0.347208,0.999659,0,1.218788,1.236561,0,0.961814,0.044456,0.137859,0.177048,0.050799,0,0,G0
3,0.385278,1.013991,0,1.226584,1.255798,0,0.934295,0.146374,0.16144,0.044402,0.110983,0,0,G0
3,0.543801,1.032953,0,1.31894,1.312376,0,0.900717,0.116217,0.100002,0.031494,0.029264,0.022617,0,G0
1,-0.215154,0.69643,0,0.999997,0,0,0,0.191896,0.035271,0.063466,0,0,0,G2
1,0.795045,-0.381329,0,1.000006,0,0,0,0.093627,0.081129,0.09519,0,0,0,G2
0,0,0,0,0,0,0,0,0.130343,0.09275,0.024386,0,0,0,G2
0,0,0,0,0,0,0,0,0.157551,0.018437,0.021503,0.02435,0,0,G2
1,-0.186899,0.780266,0,1.000004,0,0,0,0.202177,0.043812,0.042608,0,0,0,G2
1,-0.122636,0.768555,0,0.999998,0,0,0,0.264552,0.078377,0.049151,0,0,0,G2
2,0.024574,1.024957,0,1.390463,0,0,0,0.201498,0.024145,0.03959,0,0,0,G2
2,0.129716,1.0396,0,1.409498,0,0,0,0.207396,0.032946,0.032744,0,0,0,G2
2,0.138083,1.060463,0,1.402402,0,0,0,0.225402,0.034527,0.018057,0,0,0,G2
2,0.035481,0.939747,0,1.410377,0,0,0,0.193204,0.023063,0,0,0,0,G2
1,-0.108901,0.843878,0,0,0,0,1,0.362511,0.040466,0.044002,0,0,0,G3
1,0.483535,0.808117,0,0,0,0,0.999993,0.04739,0.161225,0.017697,0,0,0,G3
1,0.313593,0.901246,0,0,0,0,0.999995,0.081076,0.171943,0,0,0,0,G3
1,0.147303,0.9465,0,0,0,0,0.999996,0.278481,0.04211,0.014285,0,0,0,G3
1,0.40733,0.887323,0,0,0,0,1.000003,0.162376,0.030766,0,0,0,0,G3
1,0.261888,0.942052,0,0,0,0,0.999998,0.136771,0.018385,0.055545,0,0,0,G3
2,0.72652,1.277046,0,0,0,0,0.958515,0.045473,0.175649,0.021738,0,0,0,G3
1,0.20873,0.864457,0,0,0,0,1,0.295524,0.062932,0.020753,0,0,0,G3
1,0.04827,0.831736,0,0,0,0,0.999993,0.326099,0.050809,0.047393,0,0,0,G3
1,0.102806,0.8412,0,0,0,0,0.999996,0.277708,0.049497,0,0,0,0,G3
2,-0.373879,1.007392,1.044876,1.371887,0,0,0,0.187624,0.313626,0,0,0,0,G4
2,-0.434245,1.03995,1.033141,1.32875,0,0,0,0.315828,0.441565,0.019914,0,0,0,G4
2,-0.413022,0.995725,1.035887,1.331885,0,0,0,0.12425,0.038107,0,0,0,0,G4
3,-0.037151,1.404686,1.251108,1.613654,0,0,0,0.243723,0.379174,0,0,0,0,G4
3,-0.000103,1.494884,1.24083,1.683763,0,0,0,0.229489,0.382081,0.014109,0,0,0,G4
3,-0.060346,1.271162,1.275016,1.635225,0,0,0,0.28759,0.388533,0.019135,0,0,0,G4
3,-0.033475,1.291995,1.28149,1.620566,0,0,0,0.450546,0.059512,0,0,0,0,G4
3,-0.013315,1.089693,1.297518,1.662786,0,0,0,0.054465,0.064935,0,0,0,0,G4
2,-0.447857,0.903819,1.055297,1.348256,0,0,0,0.17268,0.341997,0.013312,0,0,0,G4
2,-0.45698,0.939392,1.05845,1.351984,0,0,0,0.173963,0.35331,0.015231,0,0,0,G4
2,0.264451,0.887494,0,1.075698,1.07374,0,0,0.178502,0.127322,0.053489,0.042291,0,0,G5
2,0.30508,0.925899,0,1.043374,1.082661,0,0,0.273926,0.114544,0,0,0,0,G5
2,0.161662,0.88639,0,1.0362,1.077833,0,0,0.346889,0.091781,0.020297,0.031134,0,0,G5
3,1.997881,2.267486,0,2.48581,2.645688,0,0,0.287862,0.069067,0.031923,0.026939,0,0,G5
2,0.207566,0.888379,0,1.021521,1.085006,0,0,0.194741,0.292639,0.072473,0,0,0,G5
2,0.263061,0.867388,0,1.035018,1.089704,0,0,0.240843,0.085476,0.034533,0,0,0,G5
2,0.295778,0.891259,0,1.045831,1.087224,0,0,0.268772,0.10805,0.030145,0,0,0,G5
2,0.302774,0.913023,0,1.072834,1.091221,0,0,0.258699,0.118764,0.024032,0.031292,0,0,G5
2,0.291047,0.896674,0,1.047691,1.07664,0,0,0.353483,0.104612,0.034524,0.023862,0,0,G5
2,0.345031,0.843593,0,1.062924,1.079592,0,0,0.231957,0.257721,0.056586,0.011333,0,0,G5
3,0.054545,0.949435,0,1.039738,1.102574,0.968234,0,0.200732,0.022984,0.030382,0,0,0,G6
4,0.341613,1.252604,0,1.289743,1.354535,0.600769,0,0.163212,0.061091,0.03954,0.042739,0,0,G6
3,0.183539,0.811824,0,1.053252,1.096192,1.002217,0,0.212399,0.066938,0.047002,0.025248,0,0,G6
3,0.132188,0.937772,0,1.104144,1.13758,0.98187,0,0.061421,0.081713,0.127919,0.061221,0.013918,0,G6
3,0.299692,1.043624,0,1.061707,1.123517,1.003842,0,0.04536,0.045552,0.037216,0.10506,0,0,G6
3,0.177524,0.979963,0,1.039276,1.114566,1.001763,0,0.019347,0.026219,0.032672,0.040462,0.083424,0,G6
3,0.124065,0.917098,0,1.032271,1.097488,0.996239,0,0.041604,0.063267,0.06801,0.03105,0,0,G6
3,0.15952,0.901396,0,1.040026,1.105346,0.986661,0,0.183878,0.020986,0.024984,0.024732,0,0,G6
3,0.093541,0.866462,0,1.030374,1.105451,0.998874,0,0.209993,0.025851,0.032864,0.03413,0.016959,0,G6
3,0.025135,0.956087,0,1.016862,1.106096,0.989152,0,0.202656,0.02496,0.025496,0,0,0,G6
2,1.095423,0.518405,1.48451,0,0,0,1.49518,0.16331,0,0,0,0,0,G7
3,1.109315,0.908251,1.559991,0,0,0,0.991848,0.508553,0,0,0,0,0,G7
3,0.911542,0.783362,1.528112,0,0,0,1.00054,0.050458,0.18255,0.016333,0.013516,0,0,G7
2,0.83926,0.900812,1.426544,0,0,0,1.593801,0.398094,0.021374,0.017597,0,0,0,G7
2,1.004514,0.870361,1.483248,0,0,0,1.586852,0.251693,0.023606,0,0,0,0,G7
3,0.944776,0.805686,1.558043,0,0,0,0.992799,0.014959,0.354227,0.014105,0,0,0,G7
4,1.053624,1.08874,1.539908,0,0,0,1.049828,0.313479,0.01263,0,0,0,0,G7
4,1.353392,1.285265,1.785498,0,0,0,1.063711,0.081478,0.1332,0.010917,0,0,0,G7
4,1.458554,1.449588,1.8943,0,0,0,1.034967,0.245469,0.011919,0,0,0,0,G7
4,1.367796,1.142757,1.846189,0,0,0,1.083256,0.050848,0.143677,0.01234,0.013085,0,0,G7
4,1.775124,1.977088,2.000286,2.868088,0,0,2.240181,0.246678,0.222402,0.028265,0,0,0,G8
2,0.288527,1.033955,1.181476,0.970399,0,0,0,0.242876,0.2393,0,0,0,0,G8
3,0.32148,1.165574,1.08657,1.429004,0,0,1.213702,0.222227,0.230446,0,0,0,0,G8
3,0.155239,0.956686,1.07441,1.459263,0,0,1.144318,0.103436,0.109456,0.119377,0.068808,0,0,G8
3,0.274512,0.993523,1.064701,1.444367,0,0,1.169844,0.209819,0.204904,0.023921,0.171114,0,0,G8
3,0.31914,1.031452,1.079627,1.438079,0,0,1.13037,0.253194,0.249878,0.044192,0,0,0,G8
3,0.479261,1.177462,1.028129,1.474874,0,0,1.198355,0.243377,0.255284,0,0,0,0,G8
3,0.500359,1.209937,1.024393,1.477353,0,0,1.210169,0.268271,0.230638,0,0,0,0,G8
4,0.446692,1.195472,1.139236,1.58053,0,0,0.867405,0.257243,0.24663,0,0,0,0,G8
4,2.231167,2.391885,2.261702,3.207307,0,0,2.541826,0.225571,0.240727,0.014244,0,0,0,G8
5,0.912641,1.349664,0.987534,1.232345,1.450273,1.37026,1.241736,0.020919,0.086574,0.026492,0.035708,0.189228,0,G9
5,0.795213,1.367724,0.980029,1.238618,1.403978,1.339413,1.234226,0.023723,0.079758,0.030709,0.048061,0.188666,0,G9
5,0.66777,1.302834,1.012862,1.358075,1.392547,1.319458,1.194364,0.0483,0.057735,0.0178,0.046102,0.20144,0,G9
5,0.777736,1.302651,0.963031,1.214734,1.409902,1.352957,1.209856,0.055579,0.016049,0.037041,0.174139,0,0,G9
5,0.782084,1.310955,0.994655,1.250605,1.382166,1.337317,1.207755,0.015474,0.050178,0.015524,0.03718,0.165274,0,G9
5,0.792103,1.300923,1.013144,1.311636,1.397076,1.348434,1.1699,0.054779,0.03007,0.040309,0.179259,0,0,G9
5,0.642047,1.339228,1.022283,1.340071,1.405765,1.300771,1.113184,0.035701,0.024252,0.049366,0.176145,0,0,G9
3,-0.196212,1.136419,0.856836,1.26107,1.239719,0,0,0.26165,0.021481,0.081624,0.022127,0,0,G9
3,0.671083,1.357636,1.120799,1.566854,1.446449,0,0,0.04131,0.010875,0.010552,0.050836,0.197928,0,G9
5,0.730756,1.307832,0.97992,1.245702,1.405805,1.372911,1.222945,0.068093,0.025069,0.046699,0.205005,0,0,G9
0,0,0,0,0,0,0,0,0.030344,0.007242,0.018092,0.035337,0,0,G1
1,0.734957,-0.436434,0,0,0,0,0,0.225698,0,0,0,0,0,G1
2,0.581342,-0.577997,0,0,0,0,0,0.050056,0.013659,0.026212,0.059988,0,0,G1
0,0,0,0,0,0,0,0,0.018093,0.009113,0.007397,0,0,0,G1
0,0,0,0,0,0,0,0,0.037897,0.007579,0.009695,0.007471,0,0,G1
0,0,0,0,0,0,0,0,0.036547,0,0,0,0,0,G1
1,-0.667931,0.62587,0,0,0,0,0,0.031532,0.006874,0.009999,0.010648,0,0,G1
0,0,0,0,0,0,0,0,0.031851,0.007853,0.019298,0.022994,0,0,G1
0,0,0,0,0,0,0,0,0.028027,0.007977,0,0,0,0,G1
0,0,0,0,0,0,0,0,0.021579,0.052894,0.01655,0.043574,0,0,G1
4,0.861251,1.653102,0,1.957854,2.010384,0,1.364175,0.130236,0.130048,0.108012,0.019669,0.063251,0.021375,G0
3,0.461436,1.011152,0,1.224617,1.244116,0,0.864754,0.269009,0.230152,0.038987,0.00989,0.014856,0,G0
3,0.41388,1.065574,0,1.229299,1.240213,0,0.836934,0.070977,0.132543,0.107633,0.11206,0.014769,0,G0
5,1.781367,3.374366,0,4.023008,4.10746,0,3.410824,0.222103,0.115615,0.074071,0.060646,0.021622,0,G0
3,0.36219,0.929811,0,1.190412,1.207986,0,0.880788,0.182223,0.174514,0.097193,0.084134,0.021535,0.024318,G0
3,0.457707,0.937605,0,1.208405,1.229555,0,0.881295,0.055713,0.178959,0.109747,0.069566,0.037024,0,G0
3,0.568438,0.962773,0,1.226237,1.254268,0,0.87878,0.064143,0.132245,0.089737,0.098155,0,0,G0
2,-0.014742,0.848819,0,1.026995,1.029347,0,0,0.180066,0.14317,0.065606,0.010316,0,0,G0
4,0.961435,1.621572,0,2.166436,2.158539,0,1.457891,0.015254,0.199252,0.12996,0.073515,0.012099,0,G0
4,0.910031,1.746894,0,2.065204,2.078488,0,1.363215,0.206943,0.132472,0.086241,0.089626,0.016479,0,G0
1,-0.303567,0.691537,0,1.000004,0,0,0,0.167888,0.023389,0.02683,0.034366,0,0,G2
0,0,0,0,0,0,0,0,0.141228,0.036643,0.034032,0,0,0,G2
0,0,0,0,0,0,0,0,0.019387,0.129898,0.018864,0.054785,0.030789,0.033935,G2
0,0,0,0,0,0,0,0,0.020189,0.013345,0.213797,0.070785,0.019737,0.023409,G2
1,-0.315823,0.645461,0,0.999996,0,0,0,0.226951,0.150699,0.074967,0,0,0,G2
1,-0.111525,0.73004,0,1.000002,0,0,0,0.072996,0.013963,0.026736,0.008356,0,0,G2
1,-0.210051,0.817998,0,1.000004,0,0,0,0.064392,0.132221,0.053578,0.015952,0.022346,0.088593,G2
0,0,0,0,0,0,0,0,0.01886,0.167222,0.040002,0.029738,0.019226,0,G2
1,-0.267906,0.715518,0,1.000001,0,0,0,0.055374,0.112738,0.042524,0.019886,0.016475,0,G2
1,-0.291259,0.765787,0,1.000002,0,0,0,0.158383,0.036067,0.045255,0.024605,0.017955,0,G2
2,0.488662,2.687721,0,0,0,0,1.767377,0.024271,0.127796,0.055877,0.056244,0.01778,0,G3
0,0,0,0,0,0,0,0,0.015537,0.152225,0.021145,0,0,0,G3
2,0.822483,1.57313,0,0,0,0,2.123707,0.0153,0.12703,0,0,0,0,G3
1,0.211315,0.854765,0,0,0,0,0.999996,0.1817,0.018839,0,0,0,0,G3
1,0.257286,0.895916,0,0,0,0,1,0.012588,0.176239,0.012811,0.026737,0,0,G3
1,0.294008,0.85043,0,0,0,0,0.999998,0.176878,0.02328,0.016406,0,0,0,G3
1,0.213918,0.866428,0,0,0,0,1,0.185077,0,0,0,0,0,G3
1,0.220521,0.823966,0,0,0,0,1.000006,0.1178,0.039075,0.030919,0.090615,0,0,G3
1,0.164169,0.803636,0,0,0,0,1.000002,0.045904,0.155099,0,0,0,0,G3
1,0.15234,0.808144,0,0,0,0,0.999999,0.012876,0.115897,0.058483,0.020434,0,0,G3
2,-0.174105,1.103987,1.044579,1.342763,0,0,0,0.232131,0.352659,0.034741,0,0,0,G4
2,-0.122953,1.115498,1.02026,1.317112,0,0,0,0.205526,0.323599,0.039051,0,0,0,G4
3,0.18846,1.460319,1.321736,1.651423,0,0,0,0.19207,0.312287,0.030417,0,0,0,G4
2,-0.164602,1.124563,1.062853,1.324382,0,0,0,0.220395,0.358957,0.037263,0,0,0,G4
1,-0.94572,0.261743,0.999999,0,0,0,0,0.178893,0.328311,0.033604,0,0,0,G4
2,-0.150126,1.15236,1.073794,1.305825,0,0,0,0.221476,0.338445,0.034928,0,0,0,G4
1,-0.98293,0.149529,1,0,0,0,0,0.251097,0.37343,0.048114,0,0,0,G4
3,-0.008154,2.584348,2.426124,3.016753,0,0,0,0.212227,0.362233,0.021786,0,0,0,G4
2,-0.180848,1.120862,1.064021,1.320108,0,0,0,0.242189,0.365885,0.021891,0,0,0,G4
3,1.36589,3.074546,2.693211,3.576104,0,0,0,0.226665,0.361539,0.022286,0,0,0,G4
3,-0.063246,1.608927,0,2.199013,1.639511,0,0,0.02084,0.115725,0.128338,0.140512,0,0,G5
3,0.972259,1.275522,0,2.141881,2.164818,0,0,0.186098,0.248852,0.108744,0.051951,0.018833,0,G5
3,0.856262,1.844815,0,2.333805,2.369005,0,0,0.202524,0.1165,0.115255,0,0,0,G5
2,-0.077521,0.717603,0,1.039329,1.026227,0,0,0.100703,0.121804,0.110525,0.06263,0,0,G5
