@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R1,2,3,4,5,6,7-11,22-weka.filters.unsupervised.attribute.Remove-R12_gesture-weka.filters.unsupervised.attribute.Remove-V-R4,5,194-199,328'

@attribute Max_X numeric
@attribute Max_Y numeric
@attribute convexHull1 numeric
@attribute convexHull2 numeric
@attribute convexHull3 numeric
@attribute convexHull4 numeric
@attribute convexHull5 numeric
@attribute convexHull6 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data
-0.022499,0.867764,0.119061,0.115479,0.087429,0.042242,0,0,G5
-0.009446,0.877682,0.109824,0.121709,0.075418,0.041668,0,0,G5
0.006147,0.997972,0.115569,0.121238,0.077003,0.015418,0,0,G5
0.019301,0.960213,0.10853,0.093604,0.065521,0.022649,0,0,G5
0.039962,1.034228,0.110383,0.138416,0.063834,0,0,0,G5
0.032045,0.996419,0.070737,0.446364,0.014821,0,0,0,G5
0,0,5.070341,0,0,0,0,0,G5
0.08606,0.969423,0.081998,0.103293,0.081337,0,0,0,G5
0.139896,0.993641,0.070129,0.089135,0.189076,0.06539,0,0,G6
0.216966,0.938215,0.029986,0.018855,0.111913,0.047883,0.020298,0,G6
0.157546,0.926696,0.119303,0.045671,0.080207,0.054959,0.043483,0,G6
0.14616,0.912681,0.115524,0.031475,0.083998,0.050002,0.045411,0,G6
0.141615,0.922221,0.041306,0.057525,0.191123,0.10808,0.013384,0,G6
0.212588,1.078765,0.101114,0.02695,0.120904,0.057596,0,0,G6
0.417174,1.005026,0.036556,0.093036,0.103619,0.01634,0.034482,0,G6
-0.166341,0.745789,0.074672,0.076716,0.051683,0.0691,0,0,G6
-0.073798,1.073336,0.091073,0.088069,0.050481,0.060475,0,0,G6
0.082209,1.170329,0.070088,0.117477,0.055,0,0,0,G6
0.844688,0.81088,0.031267,0.144009,0.087523,0.01354,0,0,G7
0.811327,1.022262,0.358552,0.016289,0,0,0,0,G7
0.842655,1.057828,0.413768,0,0,0,0,0,G7
1.014016,1.037736,0.027329,0.271192,0.021299,0,0,0,G7
0.91576,1.124422,0.371095,0,0,0,0,0,G7
0.86249,1.360674,0.291166,0,0,0,0,0,G7
0.508107,0.776607,0.280769,0,0,0,0,0,G7
0.839336,1.519801,0.257591,0,0,0,0,0,G7
0.644728,0.944019,0.133667,0.122543,0.014845,0,0,0,G7
0.29487,1.060393,0.296905,0.012863,0,0,0,0,G7
0.483445,1.367308,0.222429,0.337619,0,0,0,0,G8
0.829864,1.373388,0.028934,0.207811,0.316702,0,0,0,G8
0.567829,1.426975,0.243237,0.342531,0.022581,0,0,0,G8
0.761607,1.478418,0.016625,0.205132,0.3285,0,0,0,G8
0.642846,1.471149,0.015723,0.220172,0.326151,0.010029,0,0,G8
0.283297,1.272335,0.028643,0.147135,0.290536,0,0,0,G8
0.607018,1.179867,0.270724,0.228417,0.018513,0,0,0,G8
0.633312,1.259652,0.186615,0.273484,0.026332,0,0,0,G8
0.447865,1.236284,0.220489,0.32962,0.015082,0,0,0,G8
0.622475,1.343418,0.244527,0.324508,0.026338,0,0,0,G8
0.530258,1.504573,0.014116,0.00849,0.011527,0.060772,0.22572,0,G9
0.579419,1.340814,0.025507,0.02801,0.008478,0.05969,0.243613,0,G9
0.695679,1.295621,0.012229,0.030493,0.033575,0.072689,0.216022,0.010329,G9
0.791347,1.412484,0.014006,0.032132,0.020959,0.086645,0.230337,0,G9
-0.799085,0.600263,0.030373,0.070626,0.232652,0,0,0,G9
0.850534,1.42811,0.015546,0.031853,0.013586,0.077677,0.242484,0,G9
-0.788799,0.610598,0.029577,0.014631,0.009591,0.072841,0.233483,0,G9
0.653589,1.178239,0.029367,0.038814,0.025655,0.079549,0.255652,0,G9
0.904786,1.352818,0.038125,0.025238,0.077669,0.23401,0,0,G9
0.522232,1.510261,0.039314,0.031863,0.011758,0.070324,0.232123,0,G9
-0.768864,0.635808,0.076449,0.014265,0.01532,0.018083,0,0,G1
-0.616738,0.778669,0.011205,0.00807,0.008234,0.00853,0.014769,0.008183,G1
0,0,0.009885,0.067136,0,0,0,0,G1
-0.553091,0.81432,0.008428,0.009388,0,0,0,0,G1
-0.50255,0.864201,0.013081,0.007526,0,0,0,0,G1
-0.617926,0.786069,0.013366,0.008601,0,0,0,0,G1
-0.739105,0.671906,0.051608,0,0,0,0,0,G1
-0.698455,0.71264,0.009241,0.008941,0.016333,0,0,0,G1
0,0,0.01023,0.013082,0.01621,0,0,0,G1
0,0,0.019969,0.022851,0,0,0,0,G1
0.426401,0.79501,0.164475,0.109173,0.069325,0.05588,0.030002,0,G0
0.588854,1.055807,0.025514,0.256983,0.170483,0.013567,0,0,G0
0.471281,1.026527,0.03773,0.263549,0.178753,0.038489,0,0,G0
0.58508,1.053928,0.028554,0.332258,0.25687,0.023468,0,0,G0
0.857719,1.283488,0.27848,0.236559,0.035139,0.054283,0,0,G0
0.270615,0.965162,0.202033,0.066552,0.098439,0.033651,0.021654,0,G0
0.302741,0.956813,0.265951,0.055664,0.055333,0.015224,0,0,G0
0.347208,0.999659,0.044456,0.137859,0.177048,0.050799,0,0,G0
0.385278,1.013991,0.146374,0.16144,0.044402,0.110983,0,0,G0
0.543801,1.032953,0.116217,0.100002,0.031494,0.029264,0.022617,0,G0
-0.215154,0.69643,0.191896,0.035271,0.063466,0,0,0,G2
0.795045,-0.381329,0.093627,0.081129,0.09519,0,0,0,G2
0,0,0.130343,0.09275,0.024386,0,0,0,G2
0,0,0.157551,0.018437,0.021503,0.02435,0,0,G2
-0.186899,0.780266,0.202177,0.043812,0.042608,0,0,0,G2
-0.122636,0.768555,0.264552,0.078377,0.049151,0,0,0,G2
0.024574,1.024957,0.201498,0.024145,0.03959,0,0,0,G2
0.129716,1.0396,0.207396,0.032946,0.032744,0,0,0,G2
0.138083,1.060463,0.225402,0.034527,0.018057,0,0,0,G2
0.035481,0.939747,0.193204,0.023063,0,0,0,0,G2
-0.108901,0.843878,0.362511,0.040466,0.044002,0,0,0,G3
0.483535,0.808117,0.04739,0.161225,0.017697,0,0,0,G3
0.313593,0.901246,0.081076,0.171943,0,0,0,0,G3
0.147303,0.9465,0.278481,0.04211,0.014285,0,0,0,G3
0.40733,0.887323,0.162376,0.030766,0,0,0,0,G3
0.261888,0.942052,0.136771,0.018385,0.055545,0,0,0,G3
0.72652,1.277046,0.045473,0.175649,0.021738,0,0,0,G3
0.20873,0.864457,0.295524,0.062932,0.020753,0,0,0,G3
0.04827,0.831736,0.326099,0.050809,0.047393,0,0,0,G3
0.102806,0.8412,0.277708,0.049497,0,0,0,0,G3
-0.373879,1.007392,0.187624,0.313626,0,0,0,0,G4
-0.434245,1.03995,0.315828,0.441565,0.019914,0,0,0,G4
-0.413022,0.995725,0.12425,0.038107,0,0,0,0,G4
-0.037151,1.404686,0.243723,0.379174,0,0,0,0,G4
-0.000103,1.494884,0.229489,0.382081,0.014109,0,0,0,G4
-0.060346,1.271162,0.28759,0.388533,0.019135,0,0,0,G4
-0.033475,1.291995,0.450546,0.059512,0,0,0,0,G4
-0.013315,1.089693,0.054465,0.064935,0,0,0,0,G4
-0.447857,0.903819,0.17268,0.341997,0.013312,0,0,0,G4
-0.45698,0.939392,0.173963,0.35331,0.015231,0,0,0,G4
0.264451,0.887494,0.178502,0.127322,0.053489,0.042291,0,0,G5
0.30508,0.925899,0.273926,0.114544,0,0,0,0,G5
0.161662,0.88639,0.346889,0.091781,0.020297,0.031134,0,0,G5
1.997881,2.267486,0.287862,0.069067,0.031923,0.026939,0,0,G5
0.207566,0.888379,0.194741,0.292639,0.072473,0,0,0,G5
0.263061,0.867388,0.240843,0.085476,0.034533,0,0,0,G5
0.295778,0.891259,0.268772,0.10805,0.030145,0,0,0,G5
0.302774,0.913023,0.258699,0.118764,0.024032,0.031292,0,0,G5
0.291047,0.896674,0.353483,0.104612,0.034524,0.023862,0,0,G5
0.345031,0.843593,0.231957,0.257721,0.056586,0.011333,0,0,G5
0.054545,0.949435,0.200732,0.022984,0.030382,0,0,0,G6
0.341613,1.252604,0.163212,0.061091,0.03954,0.042739,0,0,G6
0.183539,0.811824,0.212399,0.066938,0.047002,0.025248,0,0,G6
0.132188,0.937772,0.061421,0.081713,0.127919,0.061221,0.013918,0,G6
0.299692,1.043624,0.04536,0.045552,0.037216,0.10506,0,0,G6
0.177524,0.979963,0.019347,0.026219,0.032672,0.040462,0.083424,0,G6
0.124065,0.917098,0.041604,0.063267,0.06801,0.03105,0,0,G6
0.15952,0.901396,0.183878,0.020986,0.024984,0.024732,0,0,G6
0.093541,0.866462,0.209993,0.025851,0.032864,0.03413,0.016959,0,G6
0.025135,0.956087,0.202656,0.02496,0.025496,0,0,0,G6
1.095423,0.518405,0.16331,0,0,0,0,0,G7
1.109315,0.908251,0.508553,0,0,0,0,0,G7
0.911542,0.783362,0.050458,0.18255,0.016333,0.013516,0,0,G7
0.83926,0.900812,0.398094,0.021374,0.017597,0,0,0,G7
1.004514,0.870361,0.251693,0.023606,0,0,0,0,G7
0.944776,0.805686,0.014959,0.354227,0.014105,0,0,0,G7
1.053624,1.08874,0.313479,0.01263,0,0,0,0,G7
1.353392,1.285265,0.081478,0.1332,0.010917,0,0,0,G7
1.458554,1.449588,0.245469,0.011919,0,0,0,0,G7
1.367796,1.142757,0.050848,0.143677,0.01234,0.013085,0,0,G7
1.775124,1.977088,0.246678,0.222402,0.028265,0,0,0,G8
0.288527,1.033955,0.242876,0.2393,0,0,0,0,G8
0.32148,1.165574,0.222227,0.230446,0,0,0,0,G8
0.155239,0.956686,0.103436,0.109456,0.119377,0.068808,0,0,G8
0.274512,0.993523,0.209819,0.204904,0.023921,0.171114,0,0,G8
0.31914,1.031452,0.253194,0.249878,0.044192,0,0,0,G8
0.479261,1.177462,0.243377,0.255284,0,0,0,0,G8
0.500359,1.209937,0.268271,0.230638,0,0,0,0,G8
0.446692,1.195472,0.257243,0.24663,0,0,0,0,G8
2.231167,2.391885,0.225571,0.240727,0.014244,0,0,0,G8
0.912641,1.349664,0.020919,0.086574,0.026492,0.035708,0.189228,0,G9
0.795213,1.367724,0.023723,0.079758,0.030709,0.048061,0.188666,0,G9
0.66777,1.302834,0.0483,0.057735,0.0178,0.046102,0.20144,0,G9
0.777736,1.302651,0.055579,0.016049,0.037041,0.174139,0,0,G9
0.782084,1.310955,0.015474,0.050178,0.015524,0.03718,0.165274,0,G9
0.792103,1.300923,0.054779,0.03007,0.040309,0.179259,0,0,G9
0.642047,1.339228,0.035701,0.024252,0.049366,0.176145,0,0,G9
-0.196212,1.136419,0.26165,0.021481,0.081624,0.022127,0,0,G9
0.671083,1.357636,0.04131,0.010875,0.010552,0.050836,0.197928,0,G9
0.730756,1.307832,0.068093,0.025069,0.046699,0.205005,0,0,G9
0,0,0.030344,0.007242,0.018092,0.035337,0,0,G1
0.734957,-0.436434,0.225698,0,0,0,0,0,G1
0.581342,-0.577997,0.050056,0.013659,0.026212,0.059988,0,0,G1
0,0,0.018093,0.009113,0.007397,0,0,0,G1
0,0,0.037897,0.007579,0.009695,0.007471,0,0,G1
0,0,0.036547,0,0,0,0,0,G1
-0.667931,0.62587,0.031532,0.006874,0.009999,0.010648,0,0,G1
0,0,0.031851,0.007853,0.019298,0.022994,0,0,G1
0,0,0.028027,0.007977,0,0,0,0,G1
0,0,0.021579,0.052894,0.01655,0.043574,0,0,G1
0.861251,1.653102,0.130236,0.130048,0.108012,0.019669,0.063251,0.021375,G0
0.461436,1.011152,0.269009,0.230152,0.038987,0.00989,0.014856,0,G0
0.41388,1.065574,0.070977,0.132543,0.107633,0.11206,0.014769,0,G0
1.781367,3.374366,0.222103,0.115615,0.074071,0.060646,0.021622,0,G0
0.36219,0.929811,0.182223,0.174514,0.097193,0.084134,0.021535,0.024318,G0
0.457707,0.937605,0.055713,0.178959,0.109747,0.069566,0.037024,0,G0
0.568438,0.962773,0.064143,0.132245,0.089737,0.098155,0,0,G0
-0.014742,0.848819,0.180066,0.14317,0.065606,0.010316,0,0,G0
0.961435,1.621572,0.015254,0.199252,0.12996,0.073515,0.012099,0,G0
0.910031,1.746894,0.206943,0.132472,0.086241,0.089626,0.016479,0,G0
-0.303567,0.691537,0.167888,0.023389,0.02683,0.034366,0,0,G2
0,0,0.141228,0.036643,0.034032,0,0,0,G2
0,0,0.019387,0.129898,0.018864,0.054785,0.030789,0.033935,G2
0,0,0.020189,0.013345,0.213797,0.070785,0.019737,0.023409,G2
-0.315823,0.645461,0.226951,0.150699,0.074967,0,0,0,G2
-0.111525,0.73004,0.072996,0.013963,0.026736,0.008356,0,0,G2
-0.210051,0.817998,0.064392,0.132221,0.053578,0.015952,0.022346,0.088593,G2
0,0,0.01886,0.167222,0.040002,0.029738,0.019226,0,G2
-0.267906,0.715518,0.055374,0.112738,0.042524,0.019886,0.016475,0,G2
-0.291259,0.765787,0.158383,0.036067,0.045255,0.024605,0.017955,0,G2
0.488662,2.687721,0.024271,0.127796,0.055877,0.056244,0.01778,0,G3
0,0,0.015537,0.152225,0.021145,0,0,0,G3
0.822483,1.57313,0.0153,0.12703,0,0,0,0,G3
0.211315,0.854765,0.1817,0.018839,0,0,0,0,G3
0.257286,0.895916,0.012588,0.176239,0.012811,0.026737,0,0,G3
0.294008,0.85043,0.176878,0.02328,0.016406,0,0,0,G3
0.213918,0.866428,0.185077,0,0,0,0,0,G3
0.220521,0.823966,0.1178,0.039075,0.030919,0.090615,0,0,G3
0.164169,0.803636,0.045904,0.155099,0,0,0,0,G3
0.15234,0.808144,0.012876,0.115897,0.058483,0.020434,0,0,G3
-0.174105,1.103987,0.232131,0.352659,0.034741,0,0,0,G4
-0.122953,1.115498,0.205526,0.323599,0.039051,0,0,0,G4
0.18846,1.460319,0.19207,0.312287,0.030417,0,0,0,G4
-0.164602,1.124563,0.220395,0.358957,0.037263,0,0,0,G4
-0.94572,0.261743,0.178893,0.328311,0.033604,0,0,0,G4
-0.150126,1.15236,0.221476,0.338445,0.034928,0,0,0,G4
-0.98293,0.149529,0.251097,0.37343,0.048114,0,0,0,G4
-0.008154,2.584348,0.212227,0.362233,0.021786,0,0,0,G4
-0.180848,1.120862,0.242189,0.365885,0.021891,0,0,0,G4
1.36589,3.074546,0.226665,0.361539,0.022286,0,0,0,G4
-0.063246,1.608927,0.02084,0.115725,0.128338,0.140512,0,0,G5
0.972259,1.275522,0.186098,0.248852,0.108744,0.051951,0.018833,0,G5
0.856262,1.844815,0.202524,0.1165,0.115255,0,0,0,G5
-0.077521,0.717603,0.100703,0.121804,0.110525,0.06263,0,0,G5
1.139007,1.570754,0.090734,0.093063,0.103253,0.015029,0.13499,0,G5
-0.078388,0.701412,0.178245,0.401589,0.018363,0.023874,0,0,G5
0.136451,0.731091,0.129645,0.220488,0.12748,0.010969,0,0,G5
0.192035,0.831773,0.244332,0.150262,0.101273,0.01804,0,0,G5
0.017633,0.82368,0.273997,0.382927,0.062235,0,0,0,G5
-0.183645,1.71031,0.220513,0.110127,0.092327,0.023254,0.015893,0,G5
0.15807,0.829726,0.098096,0.102584,0.131785,0.091713,0.019923,0,G6
0.699618,1.753694,0.067002,0.094637,0.131187,0.100562,0.025454,0,G6
0.125004,0.876376,0.060842,0.100826,0.17,0.120728,0.016169,0,G6
0.641382,1.39442,0.052269,0.127187,0.127487,0.105186,0.042024,0,G6
0.070663,0.7709,0.081202,0.200116,0.179534,0.089573,0.011799,0,G6
-0.009252,0.785042,0.194203,0.070613,0.094744,0.054558,0.01376,0,G6
0.667561,1.313331,0.212991,0.058014,0.078351,0.043745,0.049891,0,G6
1.009683,0.913673,0.051509,0.225764,0.218299,0.046715,0,0,G6
0.356224,0.865698,0.212093,0.099485,0.116878,0.087781,0,0,G6
0.24501,0.913107,0.242192,0.082867,0.101415,0.081111,0,0,G6
0.13836,0.783446,0.253093,0.042968,0,0,0,0,G7
-0.164355,0.71422,0.397763,0.029073,0.022879,0,0,0,G7
-0.624042,0.682302,0.012133,0.524674,0.037701,0.014353,0,0,G7
0.329231,0.982685,0.013795,0.388551,0.038752,0.016731,0,0,G7
0.38034,0.829572,0.014771,0.408378,0.025176,0.014785,0,0,G7
0.793739,1.705116,0.010544,0.352792,0.029116,0.010145,0,0,G7
0.29787,1.017446,0.037337,0.316162,0.057184,0,0,0,G7
3.005895,-4.037921,0.357802,0.029901,0.011434,0,0,0,G7
1.964791,3.744629,0.368849,0.029531,0,0,0,0,G7
2.029247,2.149701,0.049757,0.301934,0.016906,0,0,0,G7
0.470137,1.070538,0.010846,0.218009,0.191868,0.035291,0,0,G8
-0.328652,1.079445,0.013327,0.288239,0.187879,0.018962,0,0,G8
0.308704,1.041452,0.01046,0.197846,0.171332,0.019482,0,0,G8
4.830279,-5.929143,0.01828,0.204539,0.147973,0.034418,0.029507,0,G8
0.317377,1.018776,0.175761,0.165676,0.030376,0,0,0,G8
0.478468,1.080394,0.187944,0.180851,0.029462,0,0,0,G8
0.378964,1.171522,0.022086,0.257809,0.176917,0.019025,0,0,G8
0.325927,1.207806,0.243742,0.192231,0.041914,0,0,0,G8
0.254995,1.092935,0.219424,0.157041,0.02678,0.033152,0,0,G8
0.253362,1.049074,0.012865,0.173306,0.159432,0.017624,0,0,G8
0.985754,1.059274,0.013161,0.137239,0.009719,0.047625,0.198695,0.01692,G9
0.842018,0.910056,0.22523,0.076897,0.174773,0.01267,0.018459,0,G9
1.16038,1.12397,0.139096,0.037241,0.070228,0.228139,0.023641,0,G9
1.081631,1.244326,0.010602,0.119231,0.019454,0.046476,0.199129,0.01771,G9
0.925269,0.988158,0.134174,0.034642,0.061634,0.205313,0.019227,0,G9
0.821203,0.742008,0.136142,0.029969,0.053313,0.195566,0.017813,0,G9
0.964381,0.971874,0.139852,0.02741,0.062625,0.20759,0.016394,0.016149,G9
0.810025,0.942821,0.160192,0.03371,0.051134,0.179099,0.012585,0.017329,G9
0.666753,0.964272,0.176216,0.032951,0.037524,0.148013,0.016588,0,G9
0.702865,1.080709,0.026919,0.168452,0.031637,0.040996,0.168224,0,G9
-0.728452,0.513998,0.008742,0.014251,0.012474,0.012174,0,0,G1
-0.672955,0.584972,0.010133,0.017007,0,0,0,0,G1
-0.720727,0.537501,0.013767,0.009589,0.018356,0.020201,0,0,G1
-0.701598,0.532832,0.015782,0.03089,0.007895,0,0,0,G1
-0.693084,0.469594,0.009689,0.014956,0.021479,0,0,0,G1
-0.762485,0.47517,0.008356,0.027926,0.02292,0,0,0,G1
0,0,0.029401,0.024468,0,0,0,0,G1
0,0,0.032516,0,0,0,0,0,G1
0,0,0.009264,0.009988,0.011595,0,0,0,G1
-0.698562,0.527928,0.012248,0.008294,0.007095,0.006742,0,0,G1
0.726182,1.074775,0.040967,0.267854,0.098633,0.048811,0,0,G0
0.792688,1.182609,0.278256,0.138829,0.024037,0.030627,0,0,G0
0.809091,1.164044,0.035864,0.278645,0.122273,0.043159,0,0,G0
0.838553,1.075516,0.316337,0.145257,0.0171,0.032628,0,0,G0
0.655823,1.051815,0.038707,0.292221,0.11503,0.03834,0,0,G0
0.86205,1.089669,0.037729,0.28737,0.112111,0.022418,0,0,G0
0.956434,1.02905,0.010153,0.020907,0.016221,0,0,0,G0
0.955239,0.944636,0.013298,0.020774,0.01771,0.0402,0.011001,0,G0
1.007363,1.118087,0.024153,0.020955,0.014705,0.030965,0,0,G0
0.734132,1.070149,0.030598,0.258903,0.100302,0.057631,0,0,G0
-0.357227,0.413412,0.018569,0.071678,0.020786,0.017987,0,0,G2
-0.078084,0.81329,0.140894,0.125338,0,0,0,0,G2
-0.18588,0.787667,0.129164,0.12779,0.029446,0,0,0,G2
-0.085474,0.800882,0.1406,0.087538,0,0,0,0,G2
-0.179387,0.713245,0.162,0.114211,0.011574,0.049441,0,0,G2
-0.199327,0.855622,0.103809,0.133311,0.019432,0,0,0,G2
-0.255902,0.608424,0.149314,0.151135,0.015437,0.052946,0,0,G2
-0.244464,0.461732,0.012907,0.077361,0.110894,0.058243,0.009928,0,G2
-0.125303,0.601262,0.167769,0.074717,0,0,0,0,G2
-0.239968,0.602885,0.012433,0.134572,0.110692,0.023881,0,0,G2
0.443697,0.555626,0.010881,0.156986,0,0,0,0,G3
0.86226,0.653779,0.027166,0.183549,0,0,0,0,G3
0.750588,0.592454,0.030175,0.172338,0,0,0,0,G3
0.893559,0.828634,0.028436,0.182982,0,0,0,0,G3
0.517816,0.639066,0.01147,0.010243,0.16252,0.016924,0,0,G3
0.492226,0.655908,0.014385,0.163219,0,0,0,0,G3
0.483866,0.707425,0.177307,0,0,0,0,0,G3
0.967046,0.872807,0.159503,0.010071,0,0,0,0,G3
0.502763,0.467815,0.009102,0.157689,0,0,0,0,G3
0.51584,0.433847,0.016446,0.167383,0,0,0,0,G3
0.00827,1.100329,0.1573,0.285353,0,0,0,0,G4
-0.44694,0.466721,0.032,0.214876,0,0,0,0,G4
-0.455291,0.861769,0.166258,0.292168,0.033218,0,0,0,G4
-0.073055,1.135414,0.156492,0.293147,0.045469,0,0,0,G4
0.004683,1.254171,0.185808,0.305327,0.011728,0.014261,0,0,G4
0.010504,1.342452,0.186438,0.295783,0,0,0,0,G4
0.036607,1.219558,0.192655,0.29649,0,0,0,0,G4
-0.058973,1.180501,0.173809,0.308814,0.022174,0,0,0,G4
-0.015395,1.10555,0.189166,0.317006,0.014971,0,0,0,G4
-0.220726,0.979685,0.167021,0.27834,0.012753,0,0,0,G4
0.189658,0.558474,0.143564,0.204107,0.056069,0.020034,0.013307,0,G5
0.319402,0.773781,0.142247,0.183808,0.043198,0.02266,0,0,G5
0.259142,0.804876,0.139944,0.178876,0.033257,0.01347,0,0,G5
0.100846,0.767767,0.140996,0.172593,0.062085,0.028675,0,0,G5
0.283289,0.794308,0.144732,0.183262,0.031079,0,0,0,G5
0.220504,0.705901,0.12506,0.200659,0.026049,0,0,0,G5
0.07513,0.703821,0.169019,0.218115,0.065598,0.023722,0.012479,0,G5
-0.022152,0.783468,0.105003,0.130182,0.080455,0.012551,0.041911,0,G5
0.04532,0.700131,0.137652,0.168731,0.080121,0.021582,0,0,G5
0.025468,0.636403,0.118107,0.159193,0.052743,0.011547,0.024244,0,G5
0.322959,0.972516,0.014306,0.00727,0.017259,0.009271,0,0,G6
0.248405,1.014125,0.023089,0.061029,0.086183,0.035217,0.011999,0,G6
0.340859,1.031472,0.027329,0.079928,0.085055,0.014398,0,0,G6
0.420885,1.009359,0.024464,0.07039,0.076937,0.021663,0,0,G6
0.329623,0.88497,0.025556,0.07714,0.095921,0.025799,0,0,G6
0.270949,0.826688,0.021666,0.067919,0.105911,0.037902,0,0,G6
0.288639,0.853461,0.02376,0.070114,0.090482,0.039695,0.011587,0,G6
0.044501,0.861331,0.021494,0.026509,0.089368,0.072428,0.043881,0,G6
0.239615,1.035168,0.019044,0.08842,0.068248,0.035666,0.013273,0,G6
0.244437,1.004307,0.01849,0.060975,0.07506,0.043259,0.020492,0,G6
1.347333,1.206629,0.333564,0.017946,0,0,0,0,G7
1.202937,1.044722,0.360163,0.019022,0,0,0,0,G7
1.145428,1.029672,0.350475,0.021205,0,0,0,0,G7
1.153348,0.965388,0.39436,0.020986,0.0208,0,0,0,G7
1.182747,0.962683,0.346529,0.019163,0,0,0,0,G7
1.150035,1.056092,0.339114,0.019456,0,0,0,0,G7
0.951274,1.032187,0.013156,0.299197,0,0,0,0,G7
0.945516,0.979077,0.284505,0.012597,0.018402,0,0,0,G7
0.999471,0.773504,0.01689,0.198653,0,0,0,0,G7
1.297328,0.795194,0.042226,0.27147,0,0,0,0,G7
0.544992,1.059212,0.089022,0.315598,0.165117,0,0,0,G8
0.811194,1.076568,0.099041,0.27817,0.184306,0,0,0,G8
0.873147,0.919678,0.110536,0.297602,0.194724,0,0,0,G8
0.921665,1.107732,0.075546,0.30795,0.175899,0,0,0,G8
0.690302,0.837593,0.182383,0.254563,0.172191,0,0,0,G8
