@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R1,2,3,4,5,6,7-11,22-weka.filters.unsupervised.attribute.Remove-R12_gesture-weka.filters.unsupervised.attribute.Remove-V-R4,6,7-11,328'

@attribute Max_X numeric
@attribute fingersAreas numeric
@attribute newFingerTipDistRefined_f1 numeric
@attribute newFingerTipDistRefined_f2 numeric
@attribute newFingerTipDistRefined_f3 numeric
@attribute newFingerTipDistRefined_f4 numeric
@attribute newFingerTipDistRefined_f5 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data
-0.442109,36.890366,1.323784,0.890024,0,0,0,G4
2.217399,99.374763,4.375272,4.654198,0,0,0,G4
0.025788,54.74033,2.582871,2.650864,0,0,0,G4
-0.216412,64.424599,1.264772,1.321828,0,0,0,G4
-0.337742,69.695953,1.268483,1.443238,0,0,0,G4
-0.201674,73.834328,1.361627,1.547966,0,0,0,G4
0.057267,1,0,1.000006,0,0,0,G5
0.064748,25.616379,0,0.996102,1.052119,0,0,G5
-0.022499,25.629665,0,1.002487,1.05151,0,0,G5
-0.009446,25.679893,0,1.006217,1.047653,0,0,G5
0.006147,27.027773,0,1.015902,1.033491,0,0,G5
0.019301,1,0,1.000003,0,0,0,G5
0.039962,27.902817,0,0.991394,1.079594,0,0,G5
0.032045,1,0,1.000001,0,0,0,G5
0,0,0,0,0,0,0,G5
0.08606,1,0,0.999999,0,0,0,G5
0.139896,18.979395,0,1.03676,1.153706,0.996826,0,G6
0.216966,1,0,0.999998,0,0,0,G6
0.157546,18.622959,0,1.022139,1.155098,1.007376,0,G6
0.14616,18.366129,0,1.016173,1.160586,1.011489,0,G6
0.141615,17.936562,0,1.013224,1.162504,1.003669,0,G6
0.212588,17.76836,0,1.020718,1.151267,0.996078,0,G6
0.417174,17.800419,0,1.012118,1.152329,1.014069,0,G6
-0.166341,38.0121,0,1.108947,1.053854,0,0,G6
-0.073798,18.599554,0,1.037226,1.168654,0.993281,0,G6
0.082209,18.201717,0,1.02111,1.179349,0.990766,0,G6
0.844688,69.908165,1.362557,0,0,0,1.402702,G7
0.811327,77.238541,1.49503,0,0,0,1.475383,G7
0.842655,79.161362,1.525303,0,0,0,1.521094,G7
1.014016,83.083595,1.608012,0,0,0,1.527633,G7
0.91576,78.348076,1.533408,0,0,0,1.59939,G7
0.86249,44.688377,1.742836,0,0,0,0.749623,G7
0.508107,78.815231,1.527678,0,0,0,1.532306,G7
0.839336,75.410538,1.655546,0,0,0,1.82029,G7
0.644728,79.038055,1.520151,0,0,0,1.475261,G7
0.29487,70.284538,1.364512,0,0,0,1.436626,G7
0.483445,31.84795,1.323037,1.493186,0,0,1.272959,G8
0.829864,87.031273,1.71756,1.833586,0,0,0,G8
0.567829,31.582924,1.361092,1.63912,0,0,1.398472,G8
0.761607,88.510788,1.785503,1.842664,0,0,0,G8
0.642846,34.360435,1.48761,1.578832,0,0,1.496457,G8
0.283297,81.049911,1.585537,1.689582,0,0,0,G8
0.607018,31.013523,1.26745,1.388645,0,0,1.307492,G8
0.633312,71.723534,1.406872,1.484627,0,0,0,G8
0.447865,32.058792,1.319997,1.435065,0,0,1.356813,G8
0.622475,33.020748,1.435508,1.530495,0,0,1.41083,G8
0.530258,16.910755,1.224136,1.324927,1.553876,1.238791,0,G9
0.579419,13.740136,1.074618,1.262787,1.361333,1.338076,1.159443,G9
0.695679,14.779031,1.047285,1.206853,1.33998,1.340826,1.159624,G9
0.791347,11.713248,1.217972,1.308934,1.436707,1.390488,1.196891,G9
-0.799085,1,0.999997,0,0,0,0,G9
0.850534,11.588235,1.247905,1.352915,1.45647,1.431388,1.293315,G9
-0.788799,1,1.000001,0,0,0,0,G9
0.653589,11.072308,1.33949,1.335647,1.51667,1.479029,1.277968,G9
0.904786,10.192496,1.382982,1.337295,1.551566,1.540406,1.369454,G9
0.522232,16.426311,1.243544,1.592666,1.479567,1.313366,0,G9
-0.768864,1,0,0,0,0,0,G1
-0.616738,1,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
-0.553091,1,0,0,0,0,0,G1
-0.50255,1,0,0,0,0,0,G1
-0.617926,1,0,0,0,0,0,G1
-0.739105,1,0,0,0,0,0,G1
-0.698455,1,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0.426401,19.429249,0,1.231878,1.262241,0,0.879664,G0
0.588854,22.119347,0,1.213938,1.259384,0,0.978552,G0
0.471281,22.894224,0,1.223794,1.256832,0,0.950819,G0
0.58508,23.186516,0,1.295857,1.321249,0,0.995977,G0
0.857719,19.955507,0,1.549778,1.569884,0,0.60851,G0
0.270615,22.108004,0,1.221951,1.242878,0,0.906979,G0
0.302741,22.267647,0,1.179179,1.158923,0,0.969525,G0
0.347208,22.644402,0,1.218788,1.236561,0,0.961814,G0
0.385278,21.962376,0,1.226584,1.255798,0,0.934295,G0
0.543801,19.529358,0,1.31894,1.312376,0,0.900717,G0
-0.215154,1,0,0.999997,0,0,0,G2
0.795045,1,0,1.000006,0,0,0,G2
0,0,0,0,0,0,0,G2
0,0,0,0,0,0,0,G2
-0.186899,1,0,1.000004,0,0,0,G2
-0.122636,1,0,0.999998,0,0,0,G2
0.024574,18.586517,0,1.390463,0,0,0,G2
0.129716,18.952829,0,1.409498,0,0,0,G2
0.138083,19.019991,0,1.402402,0,0,0,G2
0.035481,20.502623,0,1.410377,0,0,0,G2
-0.108901,1,0,0,0,0,1,G3
0.483535,1,0,0,0,0,0.999993,G3
0.313593,1,0,0,0,0,0.999995,G3
0.147303,1,0,0,0,0,0.999996,G3
0.40733,1,0,0,0,0,1.000003,G3
0.261888,1,0,0,0,0,0.999998,G3
0.72652,43.806084,0,0,0,0,0.958515,G3
0.20873,1,0,0,0,0,1,G3
0.04827,1,0,0,0,0,0.999993,G3
0.102806,1,0,0,0,0,0.999996,G3
-0.373879,53.363533,1.044876,1.371887,0,0,0,G4
-0.434245,55.445675,1.033141,1.32875,0,0,0,G4
-0.413022,57.632858,1.035887,1.331885,0,0,0,G4
-0.037151,18.210123,1.251108,1.613654,0,0,0,G4
-0.000103,17.409941,1.24083,1.683763,0,0,0,G4
-0.060346,18.754187,1.275016,1.635225,0,0,0,G4
-0.033475,19.466267,1.28149,1.620566,0,0,0,G4
-0.013315,19.616816,1.297518,1.662786,0,0,0,G4
-0.447857,53.907883,1.055297,1.348256,0,0,0,G4
-0.45698,54.080479,1.05845,1.351984,0,0,0,G4
0.264451,35.383423,0,1.075698,1.07374,0,0,G5
0.30508,35.510876,0,1.043374,1.082661,0,0,G5
0.161662,36.217762,0,1.0362,1.077833,0,0,G5
1.997881,28.439514,0,2.48581,2.645688,0,0,G5
0.207566,35.175339,0,1.021521,1.085006,0,0,G5
0.263061,36.02306,0,1.035018,1.089704,0,0,G5
0.295778,35.848511,0,1.045831,1.087224,0,0,G5
0.302774,35.379021,0,1.072834,1.091221,0,0,G5
0.291047,33.79295,0,1.047691,1.07664,0,0,G5
0.345031,35.247337,0,1.062924,1.079592,0,0,G5
0.054545,15.573933,0,1.039738,1.102574,0.968234,0,G6
0.341613,14.413544,0,1.289743,1.354535,0.600769,0,G6
0.183539,17.945267,0,1.053252,1.096192,1.002217,0,G6
0.132188,17.476412,0,1.104144,1.13758,0.98187,0,G6
0.299692,15.826111,0,1.061707,1.123517,1.003842,0,G6
0.177524,16.318581,0,1.039276,1.114566,1.001763,0,G6
0.124065,15.603787,0,1.032271,1.097488,0.996239,0,G6
0.15952,15.716647,0,1.040026,1.105346,0.986661,0,G6
0.093541,16.018442,0,1.030374,1.105451,0.998874,0,G6
0.025135,16.020119,0,1.016862,1.106096,0.989152,0,G6
1.095423,80.422737,1.48451,0,0,0,1.49518,G7
1.109315,41.267994,1.559991,0,0,0,0.991848,G7
0.911542,40.350845,1.528112,0,0,0,1.00054,G7
0.83926,74.734032,1.426544,0,0,0,1.593801,G7
1.004514,76.033142,1.483248,0,0,0,1.586852,G7
0.944776,40.558052,1.558043,0,0,0,0.992799,G7
1.053624,26.645836,1.539908,0,0,0,1.049828,G7
1.353392,26.544914,1.785498,0,0,0,1.063711,G7
1.458554,27.584511,1.8943,0,0,0,1.034967,G7
1.367796,26.861992,1.846189,0,0,0,1.083256,G7
1.775124,17.067598,2.000286,2.868088,0,0,2.240181,G8
0.288527,40.308922,1.181476,0.970399,0,0,0,G8
0.32148,25.895041,1.08657,1.429004,0,0,1.213702,G8
0.155239,24.940514,1.07441,1.459263,0,0,1.144318,G8
0.274512,25.743473,1.064701,1.444367,0,0,1.169844,G8
0.31914,25.42441,1.079627,1.438079,0,0,1.13037,G8
0.479261,24.691273,1.028129,1.474874,0,0,1.198355,G8
0.500359,24.97603,1.024393,1.477353,0,0,1.210169,G8
0.446692,17.722002,1.139236,1.58053,0,0,0.867405,G8
2.231167,18.097288,2.261702,3.207307,0,0,2.541826,G8
0.912641,10.475904,0.987534,1.232345,1.450273,1.37026,1.241736,G9
0.795213,10.736491,0.980029,1.238618,1.403978,1.339413,1.234226,G9
0.66777,10.215485,1.012862,1.358075,1.392547,1.319458,1.194364,G9
0.777736,10.836102,0.963031,1.214734,1.409902,1.352957,1.209856,G9
0.782084,10.868353,0.994655,1.250605,1.382166,1.337317,1.207755,G9
0.792103,9.782095,1.013144,1.311636,1.397076,1.348434,1.1699,G9
0.642047,10.083056,1.022283,1.340071,1.405765,1.300771,1.113184,G9
-0.196212,25.220232,0.856836,1.26107,1.239719,0,0,G9
0.671083,25.929398,1.120799,1.566854,1.446449,0,0,G9
0.730756,10.531284,0.97992,1.245702,1.405805,1.372911,1.222945,G9
0,0,0,0,0,0,0,G1
0.734957,1,0,0,0,0,0,G1
0.581342,5.416896,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
-0.667931,1,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0.861251,4.915854,0,1.957854,2.010384,0,1.364175,G0
0.461436,19.595537,0,1.224617,1.244116,0,0.864754,G0
0.41388,19.243837,0,1.229299,1.240213,0,0.836934,G0
1.781367,7.804761,0,4.023008,4.10746,0,3.410824,G0
0.36219,19.793972,0,1.190412,1.207986,0,0.880788,G0
0.457707,20.028419,0,1.208405,1.229555,0,0.881295,G0
0.568438,19.043934,0,1.226237,1.254268,0,0.87878,G0
-0.014742,22.023912,0,1.026995,1.029347,0,0,G0
0.961435,1.973912,0,2.166436,2.158539,0,1.457891,G0
0.910031,4.449722,0,2.065204,2.078488,0,1.363215,G0
-0.303567,1,0,1.000004,0,0,0,G2
0,0,0,0,0,0,0,G2
0,0,0,0,0,0,0,G2
0,0,0,0,0,0,0,G2
-0.315823,1,0,0.999996,0,0,0,G2
-0.111525,1,0,1.000002,0,0,0,G2
-0.210051,1,0,1.000004,0,0,0,G2
0,0,0,0,0,0,0,G2
-0.267906,1,0,1.000001,0,0,0,G2
-0.291259,1,0,1.000002,0,0,0,G2
0.488662,49.595951,0,0,0,0,1.767377,G3
0,0,0,0,0,0,0,G3
0.822483,53.400436,0,0,0,0,2.123707,G3
0.211315,1,0,0,0,0,0.999996,G3
0.257286,1,0,0,0,0,1,G3
0.294008,1,0,0,0,0,0.999998,G3
0.213918,1,0,0,0,0,1,G3
0.220521,1,0,0,0,0,1.000006,G3
0.164169,1,0,0,0,0,1.000002,G3
0.15234,1,0,0,0,0,0.999999,G3
-0.174105,50.252277,1.044579,1.342763,0,0,0,G4
-0.122953,48.429398,1.02026,1.317112,0,0,0,G4
0.18846,14.786871,1.321736,1.651423,0,0,0,G4
-0.164602,50.12207,1.062853,1.324382,0,0,0,G4
-0.94572,1,0.999999,0,0,0,0,G4
-0.150126,49.292255,1.073794,1.305825,0,0,0,G4
-0.98293,1,1,0,0,0,0,G4
-0.008154,77.524254,2.426124,3.016753,0,0,0,G4
-0.180848,50.425652,1.064021,1.320108,0,0,0,G4
1.36589,34.100098,2.693211,3.576104,0,0,0,G4
-0.063246,30.171564,0,2.199013,1.639511,0,0,G5
0.972259,9.168107,0,2.141881,2.164818,0,0,G5
0.856262,11.501387,0,2.333805,2.369005,0,0,G5
-0.077521,26.184465,0,1.039329,1.026227,0,0,G5
1.139007,18.09214,0,2.224451,2.196905,0,0,G5
-0.078388,26.263199,0,1.031068,1.032578,0,0,G5
0.136451,27.691299,0,1.036524,1.036543,0,0,G5
0.192035,27.695864,0,1.043691,1.033134,0,0,G5
0.017633,28.322369,0,1.053787,1.028065,0,0,G5
-0.183645,31.533884,0,2.297198,1.865203,0,0,G5
0.15807,19.914471,0,1.077399,1.096178,0.999451,0,G6
0.699618,7.737838,0,2.026054,2.017691,1.018541,0,G6
0.125004,19.64415,0,1.049706,1.090622,1.000589,0,G6
0.641382,7.008226,0,1.657774,1.69472,1.652385,0,G6
0.070663,19.759106,0,1.060436,1.085205,0.994053,0,G6
-0.009252,19.387762,0,1.053888,1.09321,0.987669,0,G6
0.667561,5.810316,0,1.63105,1.675169,1.546914,0,G6
1.009683,3.458053,0,1.930304,1.973412,1.798294,0,G6
0.356224,20.15057,0,1.092186,1.095433,1.04096,0,G6
0.24501,20.21986,0,1.102524,1.072247,1.014559,0,G6
0.13836,53.090115,1.168152,0,0,0,1.134924,G7
-0.164355,28.018694,1.2235,0,0,0,0.873493,G7
-0.624042,1,0.999999,0,0,0,0,G7
0.329231,30.324524,1.216756,0,0,0,0.883307,G7
0.38034,30.072052,1.285367,0,0,0,0.929975,G7
0.793739,5.104064,2.118214,0,0,0,1.404917,G7
0.29787,53.317043,1.137744,0,0,0,1.197526,G7
3.005895,26.40741,5.048185,0,0,0,4.890343,G7
1.964791,13.585074,4.32368,0,0,0,2.149859,G7
2.029247,9.604671,2.969179,0,0,0,3.065298,G7
0.470137,19.364756,1.055774,1.485595,0,0,1.143429,G8
-0.328652,35.649731,0.944878,1.26286,0,0,0,G8
0.308704,20.332781,1.07555,1.432347,0,0,1.095186,G8
4.830279,69.943497,4.60176,5.814095,0,0,4.274877,G8
0.317377,19.7327,1.035106,1.45382,0,0,1.1048,G8
0.478468,19.846165,1.085714,1.494149,0,0,1.140944,G8
0.378964,20.634821,1.063753,1.448928,0,0,1.112618,G8
0.325927,20.530083,1.088946,1.408298,0,0,1.116171,G8
0.254995,20.212069,1.141094,1.456139,0,0,1.10237,G8
0.253362,19.471188,1.128674,1.494479,0,0,1.10443,G8
0.985754,8.73686,1.013167,1.392894,1.382275,1.35018,1.229319,G9
0.842018,8.881664,1.024812,1.35373,1.427096,1.321351,1.156444,G9
1.16038,7.105643,1.110522,1.454101,1.464803,1.416359,1.270068,G9
1.081631,15.284383,1.201026,1.455374,1.441992,1.242956,0,G9
0.925269,16.43553,1.235293,1.176536,1.119924,1.038524,0,G9
0.821203,15.619578,1.193114,1.217632,1.120491,0.994459,0,G9
0.964381,8.800071,1.038205,1.353935,1.416966,1.341328,1.193952,G9
0.810025,9.380643,1.047191,1.30295,1.417088,1.328558,1.148161,G9
0.666753,9.375968,0.967904,1.346189,1.399944,1.260825,1.083267,G9
0.702865,10.967755,0.990773,1.217849,1.365623,1.275622,1.14261,G9
-0.728452,1,0,0,0,0,0,G1
-0.672955,1,0,0,0,0,0,G1
-0.720727,1,0,0,0,0,0,G1
-0.701598,1,0,0,0,0,0,G1
-0.693084,1,0,0,0,0,0,G1
-0.762485,1,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
-0.698562,1,0,0,0,0,0,G1
0.726182,28.205624,0,1.217814,1.204221,0,1.061919,G0
0.792688,27.12533,0,1.236175,1.246215,0,1.062514,G0
0.809091,28.109241,0,1.246101,1.252304,0,1.075778,G0
0.838553,27.913639,0,1.240257,1.251794,0,1.085787,G0
0.655823,28.283398,0,1.245692,1.195182,0,1.04399,G0
0.86205,27.656107,0,1.23234,1.251699,0,1.108289,G0
0.956434,27.393061,0,1.246368,1.250357,0,1.117048,G0
0.955239,27.468975,0,1.246951,1.235723,0,1.12298,G0
1.007363,21.126677,0,1.432204,1.399129,0,0.632419,G0
0.734132,27.943962,0,1.232924,1.210999,0,1.051843,G0
-0.357227,1,0,1.000002,0,0,0,G2
-0.078084,1,0,0.999997,0,0,0,G2
-0.18588,1,0,0.999999,0,0,0,G2
-0.085474,1,0,1.000001,0,0,0,G2
-0.179387,1,0,1.000006,0,0,0,G2
-0.199327,1,0,1.000002,0,0,0,G2
-0.255902,1,0,0.999994,0,0,0,G2
-0.244464,1,0,1,0,0,0,G2
-0.125303,1,0,0.999996,0,0,0,G2
-0.239968,1,0,1.000002,0,0,0,G2
0.443697,1,0,0,0,0,0.999998,G3
0.86226,8.558611,0,0,0,0,0.658807,G3
0.750588,8.260798,0,0,0,0,0.660618,G3
0.893559,6.617039,0,0,0,0,0.666826,G3
0.517816,1,0,0,0,0,0.999999,G3
0.492226,1,0,0,0,0,1.000003,G3
0.483866,1,0,0,0,0,0.999996,G3
0.967046,6.362509,0,0,0,0,0.544725,G3
0.502763,1,0,0,0,0,1.000002,G3
0.51584,1,0,0,0,0,0.999998,G3
0.00827,16.562922,1.268886,1.629099,0,0,0,G4
-0.44694,50.63102,1.00659,1.367093,0,0,0,G4
-0.455291,55.133663,1.045006,1.365276,0,0,0,G4
-0.073055,17.029902,1.283837,1.614403,0,0,0,G4
0.004683,16.374195,1.282826,1.686177,0,0,0,G4
0.010504,15.88985,1.305858,1.692554,0,0,0,G4
0.036607,16.279348,1.285318,1.654193,0,0,0,G4
-0.058973,16.642817,1.300964,1.621678,0,0,0,G4
-0.015395,16.67091,1.267454,1.62279,0,0,0,G4
-0.220726,55.099251,1.055957,1.372786,0,0,0,G4
0.189658,27.466497,0,1.020514,1.061996,0,0,G5
0.319402,27.646662,0,1.024568,1.053821,0,0,G5
0.259142,27.798517,0,1.018045,1.050206,0,0,G5
0.100846,27.890408,0,1.019863,1.049865,0,0,G5
0.283289,27.676783,0,1.009796,1.064378,0,0,G5
0.220504,27.788082,0,1.022127,1.056644,0,0,G5
0.07513,27.94903,0,1.027052,1.052291,0,0,G5
-0.022152,28.034847,0,1.031838,1.032899,0,0,G5
0.04532,27.223623,0,1.016772,1.048854,0,0,G5
0.025468,27.652082,0,1.031369,1.037305,0,0,G5
0.322959,17.168375,0,1.052125,1.0939,1.006284,0,G6
0.248405,17.378466,0,1.062312,1.094016,0.99819,0,G6
0.340859,17.14905,0,1.050752,1.106624,0.999292,0,G6
0.420885,17.237867,0,1.054394,1.096576,1.00886,0,G6
0.329623,16.897444,0,1.071209,1.097627,1.000767,0,G6
0.270949,16.801483,0,1.07042,1.093647,0.994089,0,G6
0.288639,16.922415,0,1.065323,1.089836,0.998829,0,G6
0.044501,16.54907,0,1.058643,1.100686,0.981466,0,G6
0.239615,18.471989,0,1.028947,1.076589,1.034727,0,G6
0.244437,17.622847,0,1.048856,1.088415,1.001226,0,G6
1.347333,72.201683,1.507324,0,0,0,1.686507,G7
1.202937,72.33197,1.365978,0,0,0,1.547323,G7
1.145428,73.953262,1.418856,0,0,0,1.585526,G7
1.153348,72.239662,1.36476,0,0,0,1.575543,G7
1.182747,72.002129,1.35998,0,0,0,1.549273,G7
1.150035,71.816238,1.362768,0,0,0,1.546107,G7
0.951274,72.34948,1.373933,0,0,0,1.517443,G7
0.945516,72.178688,1.388334,0,0,0,1.589092,G7
0.999471,70.320694,1.409221,0,0,0,1.737786,G7
1.297328,71.736969,1.535126,0,0,0,1.813022,G7
0.544992,29.699686,1.079202,1.433628,0,0,1.353515,G8
0.811194,28.802959,1.280525,1.558194,0,0,1.483399,G8
0.873147,21.44853,1.373678,1.696364,0,0,0.696834,G8
0.921665,21.427652,1.371171,1.694027,0,0,0.696752,G8
0.690302,28.632725,1.205469,1.509367,0,0,1.431585,G8
0.828407,28.429342,1.183859,1.504621,0,0,1.462857,G8
0.923193,28.363503,1.193446,1.509748,0,0,1.474945,G8
0.495076,29.338818,1.142745,1.45979,0,0,1.357309,G8
0.376799,29.090879,1.087884,1.468993,0,0,1.318406,G8
0.352291,21.3776,1.191578,1.612908,0,0,0.772765,G8
1.282685,7.51787,1.564552,1.515079,1.568763,1.538193,1.478468,G9
1.095357,10.037858,1.178463,1.337358,1.481374,1.481569,1.33477,G9
1.047545,10.449368,1.21078,1.366839,1.457186,1.439888,1.315228,G9
1.152834,9.683265,1.200763,1.386998,1.462169,1.472955,1.350742,G9
0.9195,9.851491,1.210979,1.388369,1.460019,1.468845,1.347643,G9
0.735712,10.246622,1.208579,1.377882,1.447633,1.453443,1.334161,G9
0.897672,9.076012,1.218671,1.400744,1.490718,1.480276,1.396235,G9
1.009016,9.387828,1.206793,1.385456,1.471193,1.493436,1.364717,G9
1.13926,9.189385,1.188375,1.381582,1.478443,1.489339,1.358668,G9
1.177129,9.54729,1.231344,1.39894,1.466537,1.456608,1.345468,G9
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0,0,0,0,0,0,0,G1
0.493973,20.882399,0,1.182831,1.223052,0,0.929556,G0
0.707169,20.860098,0,1.168252,1.229556,0,0.916032,G0
0.405435,20.991903,0,1.148684,1.215827,0,0.929531,G0
0.807531,21.261385,0,1.154912,1.230629,0,0.960104,G0
0.639225,21.232153,0,1.210232,1.237399,0,0.932007,G0
-0.38578,19.8237,0,1.001412,1.035907,0,0,G0
0.334742,20.460182,0,1.181613,1.228342,0,0.909932,G0
0.587771,21.052015,0,1.181768,1.227336,0,0.934598,G0
0.771776,21.471386,0,1.1522,1.220068,0,0.965082,G0
0.809268,20.57741,0,1.180267,1.204639,0,0.908678,G0
-0.446635,1,0,0.999994,0,0,0,G2
0,0,0,0,0,0,0,G2
-0.63726,1,0,0.999992,0,0,0,G2
-0.562339,1,0,1.000005,0,0,0,G2
-0.023712,1,0,0.999996,0,0,0,G2
-0.295672,1,0,1.000006,0,0,0,G2
-0.329493,1,0,0.999999,0,0,0,G2
-0.377284,1,0,0.999995,0,0,0,G2
-0.260873,1,0,0.999999,0,0,0,G2
-0.251762,1,0,0.999999,0,0,0,G2
0,0,0,0,0,0,0,G3
1.007043,37.467548,0,0,0,0,0.890484,G3
0,0,0,0,0,0,0,G3
0,0,0,0,0,0,0,G3
0.398717,1,0,0,0,0,0.999997,G3
0,0,0,0,0,0,0,G3
0.496599,1,0,0,0,0,0.999996,G3
0.473024,1,0,0,0,0,1.000001,G3
0.490308,1,0,0,0,0,0.999996,G3
0,0,0,0,0,0,0,G3
-0.49783,1,1,0,0,0,0,G4
0.265145,43.335747,0.933355,1.35602,0,0,0,G4
0.150528,32.805344,1.143336,1.006343,0,0,0,G4
0.479933,44.423435,1.024397,1.275422,0,0,0,G4
0.540778,39.716812,1.325059,1.033052,0,0,0,G4
0.402733,47.848164,1.023916,1.35448,0,0,0,G4
-0.211578,55.99432,1.070743,1.272113,0,0,0,G4
0.20852,47.99987,1.000193,1.30396,0,0,0,G4
0.6976,45.919861,0.986733,1.341906,0,0,0,G4
0.446533,1,1.000003,0,0,0,0,G4
0.317808,21.402111,0,1.016849,1.03079,0,0,G5
0.21086,23.92918,0,1.033244,1.02103,0,0,G5
0.354287,16.443775,0,1.472835,0.596876,0,0,G5
0,0,0,0,0,0,0,G5
0.01223,22.162588,0,1.037353,1.008792,0,0,G5
0.229529,22.216434,0,1.022479,1.020171,0,0,G5
0.26645,21.863609,0,1.023868,1.024659,0,0,G5
0.800136,15.804931,0,1.551422,0.633065,0,0,G5
0,0,0,0,0,0,0,G5
0,0,0,0,0,0,0,G5
-0.043368,17.562973,0,0.958435,1.076853,0,0,G6
0.511672,13.202558,0,1.059936,1.086668,1.004203,0,G6
-0.489108,1,0,0.999999,0,0,0,G6
0.481586,13.649017,0,1.037224,1.115226,0.971375,0,G6
0.43352,13.525636,0,1.041881,1.129529,0.960991,0,G6
0.508264,22.681602,0,1.165291,0.944768,0,0,G6
0.622914,13.019904,0,1.079356,1.203329,0.998427,0,G6
0.004846,1,0,1.000003,0,0,0,G6
-0.563037,1,0,0.999993,0,0,0,G6
0.184303,13.217293,0,1.033758,1.126031,0.951587,0,G6
1.172664,37.84771,0.844194,0,0,0,1.457309,G7
1.219794,72.603188,1.755065,0,0,0,1.76518,G7
0,0,0,0,0,0,0,G7
-0.152401,1,0.999999,0,0,0,0,G7
1.045063,70.606186,1.373595,0,0,0,1.423205,G7
1.187844,70.109825,1.384727,0,0,0,1.537459,G7
0,0,0,0,0,0,0,G7
1.172019,70.54409,1.367256,0,0,0,1.48155,G7
1.116929,70.084503,1.499211,0,0,0,1.371348,G7
1.323805,70.591492,1.484609,0,0,0,1.436749,G7
0.89502,26.484047,1.295289,1.374629,0,0,1.240201,G8
0.857352,23.794563,1.294407,1.498242,0,0,1.268372,G8
-0.245824,38.128246,1.004892,1.209229,0,0,0,G8
