@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R1,2,3,4,5,6,7-11,22-weka.filters.unsupervised.attribute.Remove-R12_gesture-weka.filters.unsupervised.attribute.Remove-V-R3,4,6,194-199,200-263,328'

@attribute ratio numeric
@attribute Max_X numeric
@attribute fingersAreas numeric
@attribute convexHull1 numeric
@attribute convexHull2 numeric
@attribute convexHull3 numeric
@attribute convexHull4 numeric
@attribute convexHull5 numeric
@attribute convexHull6 numeric
@attribute cellOccupancyNonZ1 numeric
@attribute cellOccupancyNonZ2 numeric
@attribute cellOccupancyNonZ3 numeric
@attribute cellOccupancyNonZ4 numeric
@attribute cellOccupancyNonZ5 numeric
@attribute cellOccupancyNonZ6 numeric
@attribute cellOccupancyNonZ7 numeric
@attribute cellOccupancyNonZ8 numeric
@attribute cellOccupancyNonZ9 numeric
@attribute cellOccupancyNonZ10 numeric
@attribute cellOccupancyNonZ11 numeric
@attribute cellOccupancyNonZ12 numeric
@attribute cellOccupancyNonZ13 numeric
@attribute cellOccupancyNonZ14 numeric
@attribute cellOccupancyNonZ15 numeric
@attribute cellOccupancyNonZ16 numeric
@attribute cellOccupancyNonZ17 numeric
@attribute cellOccupancyNonZ18 numeric
@attribute cellOccupancyNonZ19 numeric
@attribute cellOccupancyNonZ20 numeric
@attribute cellOccupancyNonZ21 numeric
@attribute cellOccupancyNonZ22 numeric
@attribute cellOccupancyNonZ23 numeric
@attribute cellOccupancyNonZ24 numeric
@attribute cellOccupancyNonZ25 numeric
@attribute cellOccupancyNonZ26 numeric
@attribute cellOccupancyNonZ27 numeric
@attribute cellOccupancyNonZ28 numeric
@attribute cellOccupancyNonZ29 numeric
@attribute cellOccupancyNonZ30 numeric
@attribute cellOccupancyNonZ31 numeric
@attribute cellOccupancyNonZ32 numeric
@attribute cellOccupancyNonZ33 numeric
@attribute cellOccupancyNonZ34 numeric
@attribute cellOccupancyNonZ35 numeric
@attribute cellOccupancyNonZ36 numeric
@attribute cellOccupancyNonZ37 numeric
@attribute cellOccupancyNonZ38 numeric
@attribute cellOccupancyNonZ39 numeric
@attribute cellOccupancyNonZ40 numeric
@attribute cellOccupancyNonZ41 numeric
@attribute cellOccupancyNonZ42 numeric
@attribute cellOccupancyNonZ43 numeric
@attribute cellOccupancyNonZ44 numeric
@attribute cellOccupancyNonZ45 numeric
@attribute cellOccupancyNonZ46 numeric
@attribute cellOccupancyNonZ47 numeric
@attribute cellOccupancyNonZ48 numeric
@attribute cellOccupancyNonZ49 numeric
@attribute cellOccupancyNonZ50 numeric
@attribute cellOccupancyNonZ51 numeric
@attribute cellOccupancyNonZ52 numeric
@attribute cellOccupancyNonZ53 numeric
@attribute cellOccupancyNonZ54 numeric
@attribute cellOccupancyNonZ55 numeric
@attribute cellOccupancyNonZ56 numeric
@attribute cellOccupancyNonZ57 numeric
@attribute cellOccupancyNonZ58 numeric
@attribute cellOccupancyNonZ59 numeric
@attribute cellOccupancyNonZ60 numeric
@attribute cellOccupancyNonZ61 numeric
@attribute cellOccupancyNonZ62 numeric
@attribute cellOccupancyNonZ63 numeric
@attribute cellOccupancyNonZ64 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data
1,-0.295764,1,0,0,0,0,0,0,0,518,1455,1981,2125,996,218,0,337,2793,3600,3600,3600,3600,3338,753,756,3454,3600,3600,3600,3600,3600,1320,182,3438,3600,3600,3600,3600,3600,1320,0,1960,3600,3600,3600,3600,3600,1320,0,517,3192,3600,3600,3600,3600,1320,0,0,492,3437,3600,3595,2272,232,0,0,0,866,2370,965,0,0,G1
0.016534,0.238329,32.128532,0.124692,0.074136,0.073255,0.072733,0,0,0,0,0,0,0,0,0,0,0,1595,1041,2,0,30,0,0,697,1200,2381,2695,2478,3276,1570,0,711,2309,3188,3407,3600,3600,3517,937,0,16,1448,3487,3600,3600,3600,2398,0,989,2432,3048,2652,3110,3590,2400,0,0,0,0,0,0,364,1136,0,0,0,0,0,0,0,0,G0
1,0.397396,1,0.145977,0.118052,0.051122,0.041216,0,0,0,0,0,0,0,0,0,0,0,1189,1191,282,0,54,155,0,0,1144,1956,3235,2562,3180,3478,1368,932,2246,2558,3119,3600,3569,3600,2400,685,887,1104,3573,3600,3600,3600,2400,0,0,1035,2489,3467,2952,2524,1411,0,0,1055,1270,242,0,0,0,0,0,0,0,0,0,0,0,G0
0.011292,0.493598,23.471453,0.173859,0.129458,0.082507,0.123899,0,0,0,0,0,0,0,0,0,0,0,1472,1482,104,0,0,0,0,0,244,1774,3074,1684,2027,2124,45,1410,2893,2775,3169,3600,3562,3600,1249,8,123,496,3135,3567,3600,3600,2400,0,0,802,2013,3139,2619,2740,2400,0,0,455,801,11,0,103,744,0,0,0,0,0,0,0,0,G0
0.010951,0.355675,23.955109,0.149135,0.109395,0.10735,0.105841,0,0,0,0,0,0,0,0,0,0,0,1774,2356,374,0,19,3,0,912,1096,1353,3106,1436,2885,2171,0,616,1884,3058,3479,3517,3585,3591,574,0,0,161,2960,3507,3600,3600,2205,0,0,2099,2851,2828,3078,3482,2400,0,0,0,5,0,0,984,1778,0,0,0,0,0,0,0,0,G0
0.011335,0.57835,23.617138,0.169718,0.109388,0.054539,0.142032,0,0,0,0,0,0,0,0,0,0,0,1571,1057,68,0,0,0,0,0,498,2005,2889,2126,1958,1247,0,1573,3006,2867,3457,3600,3600,3561,789,146,163,458,3406,3547,3586,3600,2397,0,25,1354,2972,2871,2441,2582,2400,0,0,948,310,0,0,129,970,0,0,0,0,0,0,0,0,G0
0.011234,0.724144,23.632465,0.171346,0.097963,0.036352,0.067886,0,0,0,0,0,0,0,0,0,0,420,2346,2390,1899,1749,2085,2494,1079,493,1592,1905,3556,3600,3600,3600,2398,252,2400,3373,3600,3600,3600,3572,2400,1795,1765,711,2595,3600,3528,3600,2127,0,0,0,2196,3299,1999,958,326,0,0,689,2144,373,0,0,0,0,0,0,0,0,0,0,0,G0
0.011063,0.508686,23.944956,0.162618,0.124563,0.083058,0.072478,0,0,0,0,0,0,0,0,0,0,0,1749,1497,93,0,0,0,0,0,342,2072,2839,1711,2106,2423,105,1409,2682,2401,3086,3600,3305,3600,1810,27,396,1229,3571,3600,3443,3600,2400,0,0,624,2885,3591,3590,3512,2400,0,0,1859,1780,576,191,97,518,0,0,0,0,0,0,0,0,G0
0.011482,0.530267,23.390223,0.164187,0.099862,0.093679,0.088174,0,0,0,0,0,0,0,0,0,0,0,1181,665,0,0,0,0,0,0,749,2520,2707,1189,2151,1876,55,1742,2678,2627,3169,3600,3542,3600,1337,0,248,1650,3600,3600,3600,3600,2400,0,11,728,2820,3600,3498,3478,2400,0,58,1793,1572,511,175,139,592,0,0,0,0,0,0,0,0,G0
0.017025,0.362851,31.454571,0.127814,0.075727,0.066408,0.072443,0,0,0,0,0,0,0,0,0,0,0,956,483,0,0,0,0,0,9,1306,2423,2587,1919,3050,1986,24,1527,2866,3051,3374,3600,3600,3600,1494,0,0,1357,3555,3600,3600,3600,2400,0,198,2405,3187,2882,2899,3235,2391,0,0,154,96,0,0,0,374,0,0,0,0,0,0,0,0,G0
0.016541,0.221858,31.916876,0.103931,0.056271,0.052802,0.103281,0,0,0,0,0,0,0,0,0,0,0,1570,1165,16,146,114,0,0,1185,1664,2490,2668,3223,3529,1231,0,645,1952,3295,3553,3578,3600,3366,603,0,491,1750,3599,3600,3600,3600,2394,0,1004,2696,2281,2155,2573,3143,2400,0,0,0,0,0,0,333,1240,0,0,0,0,0,0,0,0,G0
0,0,0,0.057495,0.076025,0.020197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,423,2354,2245,650,0,0,0,157,2372,2379,3600,3446,833,1438,2883,3143,3438,3415,3600,3600,2400,90,245,2711,3600,3600,3600,3600,2400,0,0,1578,3600,3600,3600,3600,2400,0,0,26,1065,2091,2202,1763,1022,0,0,0,0,0,0,0,0,G2
1,-0.10714,1,0.015132,0.155957,0.125947,0.029168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1819,1327,0,290,950,1168,1221,1680,3414,3582,597,1668,2432,2738,3555,3600,3600,3600,1775,0,0,0,1659,3600,3600,3596,2400,0,0,0,81,2485,2974,3593,2379,0,0,0,0,139,721,452,1026,0,0,0,0,0,0,0,0,G2
1,-0.176397,1,0.119065,0.12577,0.012629,0.05132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1007,2875,663,0,1407,2633,2539,2183,2831,3454,3129,23,0,656,958,3307,3600,3596,3581,1240,0,0,0,1752,3600,3600,3600,2400,0,0,0,157,2305,2983,3205,2400,0,0,0,0,0,0,421,1576,0,0,0,0,0,0,0,0,G2
1,-0.180172,1,0.110145,0.106031,0.049016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1039,2585,755,0,1522,2393,2482,2277,3158,3600,2995,12,241,666,1350,3548,3600,3600,3600,1654,0,0,0,2618,3600,3600,3600,2400,0,0,0,528,2556,2779,3045,2400,0,0,0,0,0,0,260,1347,0,0,0,0,0,0,0,0,G2
1,-0.163734,1,0.132636,0.083818,0.026107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,1683,650,0,704,1672,2052,1488,2496,3600,3307,180,1063,1714,1847,3572,3600,3600,3600,1897,0,0,0,2975,3600,3600,3600,2400,0,0,0,1395,3400,3600,3506,2400,0,0,0,0,127,437,76,831,0,0,0,0,0,0,0,0,G2
1,-0.147143,1,0.150864,0.083676,0.024261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1081,896,0,448,713,1241,1526,2054,3600,3517,660,1630,2375,2432,3461,3600,3600,3600,2348,0,0,0,2966,3600,3600,3600,2400,0,0,0,1488,3521,3600,3533,2371,0,0,0,98,600,1093,452,443,0,0,0,0,0,0,0,0,G2
1,-0.138131,1,0.015197,0.134069,0.100815,0.029108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,173,2130,1469,0,386,1277,1429,1441,1996,3600,3600,1020,1067,1920,2148,3383,3600,3600,3600,2016,0,0,0,2533,3600,3575,3600,2400,0,0,0,710,3213,3334,3594,2303,0,0,0,0,126,1053,697,745,0,0,0,0,0,0,0,0,G2
1,-0.20808,1,0.106864,0.089145,0.021939,0.065012,0,0,0,0,0,0,0,659,43,0,515,1174,1171,1035,1271,3580,2146,0,1241,2371,3098,3600,3600,3600,3346,0,0,0,421,3418,3600,3540,3496,1453,0,0,22,1972,3600,3564,3600,2400,0,0,0,183,1853,2547,2805,2400,0,0,0,0,0,0,900,2125,0,0,0,0,0,0,0,145,G2
0,0,0,0.070459,0.073568,0.033311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,2110,2163,521,0,794,1737,1541,2009,3114,3600,3240,319,736,1590,3080,3600,3580,3600,3600,2069,0,0,1939,3600,3600,3600,3600,2400,0,0,485,2882,3600,3600,3600,2400,0,0,0,20,150,763,551,1194,0,0,0,0,0,0,0,0,G2
1,-0.358454,1,0.011758,0.084522,0.134302,0.017631,0.073544,0,629,521,0,0,0,2028,302,0,751,2876,2853,1711,2496,3584,2328,0,0,169,1661,3600,3600,3600,3316,0,0,0,920,3592,3489,3317,3413,681,0,0,15,2098,3230,3540,3600,2040,0,0,0,165,1439,2119,3483,2040,0,0,0,0,0,20,2280,2040,0,0,0,0,0,0,18,1017,G2
1,0.541412,1,0.0116,0.130924,0,0,0,0,0,0,409,1477,2255,1266,63,0,0,0,2684,3600,3600,3600,3109,528,0,0,2772,3600,3600,3600,3600,1260,0,178,3396,3600,3600,3600,3600,1260,0,191,3349,3600,3600,3600,3600,1260,0,185,2658,3579,3600,3600,3600,1210,330,1027,1561,3480,3341,2026,1029,9,680,2269,2400,1637,144,0,0,0,G3
0,0,0,0.129087,0.007894,0,0,0,0,0,0,0,787,1196,1237,7,0,0,0,748,3573,3600,3600,2405,89,0,0,1070,3571,3600,3600,3600,2293,0,0,2257,3600,3600,3600,3600,2400,0,291,3348,3600,3600,3600,3600,2400,88,113,1818,3600,3600,3600,3600,2400,1975,2977,2856,3600,3533,3148,2258,869,40,804,1428,500,337,0,0,0,G3
1,0.462858,1,0.155491,0,0,0,0,0,0,0,0,174,719,713,0,0,0,0,0,2664,3600,3598,2361,191,0,0,8,3343,3600,3600,3600,2157,0,0,1246,3600,3600,3600,3600,2400,0,0,2784,3600,3600,3597,3600,2400,0,0,1899,3600,3600,3600,3600,2400,1646,3043,2866,3600,3600,3459,2706,1293,0,721,1200,977,296,53,0,0,G3
1,0.659998,1,0.142233,0,0,0,0,0,0,0,157,1569,2213,1357,144,0,0,0,2876,3600,3600,3600,3011,0,0,0,3418,3600,3600,3600,3300,0,0,0,2891,3600,3600,3600,3300,0,0,0,2305,3600,3599,3600,3300,0,0,0,1955,3290,3600,3600,2906,0,0,768,1086,2928,3314,1384,70,0,0,1729,2374,1593,136,0,0,0,G3
0,0,0,0.009513,0.123307,0,0,0,0,0,0,0,328,1321,1392,20,0,0,0,111,3315,3600,3600,2423,155,0,0,601,3600,3600,3600,3600,2297,0,0,1289,3600,3600,3575,3600,2400,0,0,3019,3600,3600,3600,3600,2400,564,468,2468,3600,3600,3600,3600,2400,1316,3300,3363,3600,3600,3600,3504,2027,0,102,1250,1395,1028,1302,229,0,G3
1,0.476256,1,0.128014,0.008506,0,0,0,0,0,0,0,485,1032,705,0,0,0,0,645,3572,3600,3598,2300,110,0,0,1127,3600,3600,3600,3600,2137,0,0,2090,3600,3600,3600,3600,2400,0,167,3143,3600,3600,3600,3600,2400,0,27,2424,3600,3600,3600,3600,2400,1971,2695,3201,3600,3600,3144,1878,646,59,989,1020,548,136,75,0,0,G3
1,0.392557,1,0.008272,0.138489,0,0,0,0,0,0,0,293,758,602,0,0,0,0,42,3325,3600,3577,2368,179,0,0,977,3600,3600,3600,3600,2164,0,0,1521,3600,3600,3600,3600,2400,0,0,3233,3600,3600,3600,3600,2400,668,358,1870,3600,3600,3600,3600,2400,1143,3291,3504,3573,3231,2949,1685,320,0,224,770,275,29,0,0,0,G3
1,0.390461,1,0.010841,0.152462,0,0,0,0,0,0,0,180,680,478,1,0,0,0,0,2676,3600,3600,2143,23,0,0,147,3544,3600,3600,3600,2137,0,0,776,3600,3600,3600,3600,2400,0,0,2642,3600,3600,3600,3600,2400,1160,586,1499,3522,3600,3600,3600,2400,779,3009,3576,3559,2999,2608,2094,716,0,0,455,155,0,0,0,0,G3
1,0.306161,1,0.007041,0.136775,0.010631,0,0,0,0,0,0,688,1886,1339,185,0,0,0,0,1999,3600,3600,3001,230,0,0,328,3409,3600,3600,3596,2352,0,0,1265,3600,3600,3600,3600,2400,0,0,2983,3600,3600,3600,3600,2400,781,112,2308,3600,3600,3600,3600,2400,2144,2985,3223,3600,3600,3600,3599,2304,203,1463,1920,1824,1544,1043,641,136,G3
1,0.465563,1,0.132526,0,0,0,0,0,0,0,0,344,468,459,0,0,0,0,52,3218,3600,3567,2072,11,0,0,729,3600,3600,3600,3600,1978,0,0,1670,3600,3600,3598,3600,2400,0,50,3139,3600,3600,3600,3600,2400,113,9,1987,3600,3600,3600,3600,2400,1932,3243,3192,3600,3388,2941,2059,808,0,289,660,394,52,0,0,0,G3
0.00996,-0.308619,68.443039,0.04308,0.358627,0.015719,0,0,0,1043,2364,1415,816,205,0,0,0,1520,3458,3600,3600,3548,2603,512,102,0,273,2277,3178,3600,3600,3478,2243,0,0,0,113,1691,2803,3497,2400,0,0,0,0,0,0,1129,2400,0,0,0,0,0,0,1434,2396,0,0,0,0,0,0,497,1552,0,0,0,0,0,0,0,557,G4
0.009741,-0.193841,73.717079,0.173122,0.397162,0,0,0,0,0,0,0,0,0,1871,44,0,0,0,0,0,0,2717,1039,0,0,0,0,0,0,1493,3117,84,150,844,749,487,806,2725,3600,1212,530,2260,2759,3404,3600,3600,3600,1260,0,0,0,960,3600,3266,3592,1260,0,0,0,167,2834,3402,3564,1260,0,0,0,0,1344,2335,2121,437,G4
1,0.761958,1,0.197645,0.386167,0,0,0,0,0,0,0,0,0,1216,734,0,0,0,0,0,0,1448,2348,0,0,0,0,0,0,565,3595,1077,402,1472,1357,1008,1103,2674,3600,1980,1075,2134,2484,2865,3600,3600,3600,1980,0,0,0,710,3599,3600,3600,1980,0,0,0,2,2277,3600,3600,1980,0,0,0,0,1115,1881,1902,757,G4
1,-0.870415,1,0.179507,0.03626,0.01814,0.021025,0,0,0,0,0,0,0,0,0,0,0,223,0,0,0,0,0,0,1907,3568,2884,2126,1405,647,103,0,1543,3256,3537,3600,3600,3600,2897,1126,0,0,404,1788,2938,3600,3314,2400,0,0,0,0,137,558,1745,2400,0,0,0,0,0,0,189,344,0,0,0,0,0,0,0,0,G4
0.01593,-0.442109,36.890366,0.177901,0.332878,0.015976,0,0,0,0,0,0,0,0,59,1715,0,0,0,0,0,0,285,3226,0,0,0,0,0,0,371,3524,285,765,2261,2364,2180,2003,3177,3600,1314,497,1034,1163,2551,3600,3600,3600,1800,0,0,0,1231,3600,3596,3600,1800,0,0,0,381,3375,3562,3600,1800,0,0,0,0,716,2007,1596,812,G4
0.026462,2.217399,99.374763,0.6086,0.019323,0.037715,0,0,0,0,0,0,0,0,0,0,0,447,1810,1700,2027,2106,1066,1039,680,2163,3600,3600,3600,3600,3600,3600,2400,67,461,342,980,1706,2324,2267,2400,0,0,0,0,0,0,1082,2400,0,0,0,0,0,0,153,1664,0,0,0,0,0,0,0,758,0,0,0,0,0,0,0,0,G4
0.020799,0.025788,54.74033,0.173765,0.425073,0,0,0,0,0,0,0,0,0,1456,1,0,0,0,0,0,0,3191,1049,0,0,0,0,0,0,1517,3246,233,152,583,490,145,213,2353,3600,1362,733,2129,2892,3293,3568,3600,3600,1440,0,0,0,1165,3600,3600,3600,1440,0,0,0,59,2516,3600,3600,1440,0,0,0,0,1217,2366,2274,737,G4
0.010248,-0.216412,64.424599,0.136039,0.384642,0,0,0,0,0,0,0,0,436,1597,0,0,0,0,0,0,278,3337,960,0,0,0,0,0,0,1800,3402,398,861,1502,974,452,924,2804,3600,1896,517,1542,2805,3499,3600,3600,3600,2040,0,0,0,1645,3600,3600,3600,2040,0,0,0,308,3454,3600,3590,2040,0,0,0,0,1441,2357,2306,1023,G4
0.010268,-0.337742,69.695953,0.031681,0.065111,0.85783,0,0,0,100,2175,1674,825,282,446,0,0,147,2834,3534,3561,3600,3497,2553,294,0,107,1454,1193,2477,3344,3591,360,0,0,0,0,0,274,2578,360,0,0,0,0,0,0,1140,360,0,0,0,0,0,0,1511,360,0,0,0,0,0,0,1385,360,0,0,0,0,0,0,581,222,G4
0.010397,-0.201674,73.834328,0.178761,0.287226,0.033448,0,0,0,0,0,0,0,0,0,1668,75,0,0,0,0,0,197,3412,18,0,0,0,0,0,858,3417,200,270,1171,1524,1599,2175,3284,3600,1315,1271,2165,2383,3046,3600,3578,3600,2100,0,0,0,1544,3600,3497,3600,2100,0,0,0,502,3591,3600,3600,2089,0,0,0,26,1866,2194,1909,325,G4
1,0.057267,1,0.104233,0.097247,0.072158,0.013314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,2161,1964,1093,2184,3532,2533,400,0,706,1895,3531,3562,3552,3600,2400,1361,2711,3035,2992,3442,3541,3600,2400,0,0,0,7,1963,3349,2884,1529,0,0,0,0,12,10,0,0,0,0,0,0,0,0,0,0,G5
0.020365,0.064748,25.616379,0.136918,0.119265,0.079905,0.028586,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,63,0,0,266,2976,3069,1940,1554,3273,2549,233,120,858,1704,3318,3600,3568,3598,2162,1646,2319,2354,2166,3409,3461,3596,2400,0,0,0,0,982,3134,2560,1719,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,G5
0.020396,-0.022499,25.629665,0.119061,0.115479,0.087429,0.042242,0,0,0,0,0,0,0,0,0,0,177,935,137,0,0,0,0,0,229,1997,3215,2270,1519,2897,2244,54,883,1964,2051,3500,3600,3600,3600,1716,940,1249,1593,2528,3387,3600,3600,2400,0,0,0,56,2830,3301,2932,2391,0,0,0,0,40,24,0,407,0,0,0,0,0,0,0,0,G5
0.020314,-0.009446,25.679893,0.109824,0.121709,0.075418,0.041668,0,0,0,0,0,0,0,0,0,0,91,910,175,0,0,0,0,0,171,2113,3266,2483,1684,2969,2190,24,932,1809,2139,3389,3600,3599,3600,1630,774,1230,1623,1469,3576,3600,3600,2400,0,0,0,5,1992,2635,2405,2377,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,G5
0.019104,0.006147,27.027773,0.115569,0.121238,0.077003,0.015418,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,26,0,0,0,2143,3061,2061,1798,3259,2289,152,558,1269,1571,3234,3600,3600,3600,2291,1140,2031,1707,2064,3482,3505,3600,2400,0,0,0,0,1599,2829,2792,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G5
