@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R1,2,3,4,5,6,7-11,22-weka.filters.unsupervised.attribute.Remove-R12_gesture-weka.filters.unsupervised.attribute.Remove-V-R1,2,6,194-199,328'

@attribute numFingers numeric
@attribute fingersExtended numeric
@attribute fingersAreas numeric
@attribute convexHull1 numeric
@attribute convexHull2 numeric
@attribute convexHull3 numeric
@attribute convexHull4 numeric
@attribute convexHull5 numeric
@attribute convexHull6 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data
3,1101,22.644402,0.044456,0.137859,0.177048,0.050799,0,0,G0
3,1101,21.962376,0.146374,0.16144,0.044402,0.110983,0,0,G0
3,1101,19.529358,0.116217,0.100002,0.031494,0.029264,0.022617,0,G0
1,1000,1,0.191896,0.035271,0.063466,0,0,0,G2
1,1000,1,0.093627,0.081129,0.09519,0,0,0,G2
0,1000,0,0.130343,0.09275,0.024386,0,0,0,G2
0,1000,0,0.157551,0.018437,0.021503,0.02435,0,0,G2
1,1000,1,0.202177,0.043812,0.042608,0,0,0,G2
1,1000,1,0.264552,0.078377,0.049151,0,0,0,G2
2,1000,18.586517,0.201498,0.024145,0.03959,0,0,0,G2
2,1000,18.952829,0.207396,0.032946,0.032744,0,0,0,G2
2,1000,19.019991,0.225402,0.034527,0.018057,0,0,0,G2
2,1000,20.502623,0.193204,0.023063,0,0,0,0,G2
1,1,1,0.362511,0.040466,0.044002,0,0,0,G3
1,1,1,0.04739,0.161225,0.017697,0,0,0,G3
1,1,1,0.081076,0.171943,0,0,0,0,G3
1,1,1,0.278481,0.04211,0.014285,0,0,0,G3
1,1,1,0.162376,0.030766,0,0,0,0,G3
1,1,1,0.136771,0.018385,0.055545,0,0,0,G3
2,1,43.806084,0.045473,0.175649,0.021738,0,0,0,G3
1,1,1,0.295524,0.062932,0.020753,0,0,0,G3
1,1,1,0.326099,0.050809,0.047393,0,0,0,G3
1,1,1,0.277708,0.049497,0,0,0,0,G3
2,11000,53.363533,0.187624,0.313626,0,0,0,0,G4
2,11000,55.445675,0.315828,0.441565,0.019914,0,0,0,G4
2,11000,57.632858,0.12425,0.038107,0,0,0,0,G4
3,11000,18.210123,0.243723,0.379174,0,0,0,0,G4
3,11000,17.409941,0.229489,0.382081,0.014109,0,0,0,G4
3,11000,18.754187,0.28759,0.388533,0.019135,0,0,0,G4
3,11000,19.466267,0.450546,0.059512,0,0,0,0,G4
3,11000,19.616816,0.054465,0.064935,0,0,0,0,G4
2,11000,53.907883,0.17268,0.341997,0.013312,0,0,0,G4
2,11000,54.080479,0.173963,0.35331,0.015231,0,0,0,G4
2,1100,35.383423,0.178502,0.127322,0.053489,0.042291,0,0,G5
2,1100,35.510876,0.273926,0.114544,0,0,0,0,G5
2,1100,36.217762,0.346889,0.091781,0.020297,0.031134,0,0,G5
3,1100,28.439514,0.287862,0.069067,0.031923,0.026939,0,0,G5
2,1100,35.175339,0.194741,0.292639,0.072473,0,0,0,G5
2,1100,36.02306,0.240843,0.085476,0.034533,0,0,0,G5
2,1100,35.848511,0.268772,0.10805,0.030145,0,0,0,G5
2,1100,35.379021,0.258699,0.118764,0.024032,0.031292,0,0,G5
2,1100,33.79295,0.353483,0.104612,0.034524,0.023862,0,0,G5
2,1100,35.247337,0.231957,0.257721,0.056586,0.011333,0,0,G5
3,1110,15.573933,0.200732,0.022984,0.030382,0,0,0,G6
4,1110,14.413544,0.163212,0.061091,0.03954,0.042739,0,0,G6
3,1110,17.945267,0.212399,0.066938,0.047002,0.025248,0,0,G6
3,1110,17.476412,0.061421,0.081713,0.127919,0.061221,0.013918,0,G6
3,1110,15.826111,0.04536,0.045552,0.037216,0.10506,0,0,G6
3,1110,16.318581,0.019347,0.026219,0.032672,0.040462,0.083424,0,G6
3,1110,15.603787,0.041604,0.063267,0.06801,0.03105,0,0,G6
3,1110,15.716647,0.183878,0.020986,0.024984,0.024732,0,0,G6
3,1110,16.018442,0.209993,0.025851,0.032864,0.03413,0.016959,0,G6
3,1110,16.020119,0.202656,0.02496,0.025496,0,0,0,G6
2,10001,80.422737,0.16331,0,0,0,0,0,G7
3,10001,41.267994,0.508553,0,0,0,0,0,G7
3,10001,40.350845,0.050458,0.18255,0.016333,0.013516,0,0,G7
2,10001,74.734032,0.398094,0.021374,0.017597,0,0,0,G7
2,10001,76.033142,0.251693,0.023606,0,0,0,0,G7
3,10001,40.558052,0.014959,0.354227,0.014105,0,0,0,G7
4,10001,26.645836,0.313479,0.01263,0,0,0,0,G7
4,10001,26.544914,0.081478,0.1332,0.010917,0,0,0,G7
4,10001,27.584511,0.245469,0.011919,0,0,0,0,G7
4,10001,26.861992,0.050848,0.143677,0.01234,0.013085,0,0,G7
4,11001,17.067598,0.246678,0.222402,0.028265,0,0,0,G8
2,11001,40.308922,0.242876,0.2393,0,0,0,0,G8
3,11001,25.895041,0.222227,0.230446,0,0,0,0,G8
3,11001,24.940514,0.103436,0.109456,0.119377,0.068808,0,0,G8
3,11001,25.743473,0.209819,0.204904,0.023921,0.171114,0,0,G8
3,11001,25.42441,0.253194,0.249878,0.044192,0,0,0,G8
3,11001,24.691273,0.243377,0.255284,0,0,0,0,G8
3,11001,24.97603,0.268271,0.230638,0,0,0,0,G8
4,11001,17.722002,0.257243,0.24663,0,0,0,0,G8
4,11001,18.097288,0.225571,0.240727,0.014244,0,0,0,G8
5,11111,10.475904,0.020919,0.086574,0.026492,0.035708,0.189228,0,G9
5,11111,10.736491,0.023723,0.079758,0.030709,0.048061,0.188666,0,G9
5,11111,10.215485,0.0483,0.057735,0.0178,0.046102,0.20144,0,G9
5,11111,10.836102,0.055579,0.016049,0.037041,0.174139,0,0,G9
5,11111,10.868353,0.015474,0.050178,0.015524,0.03718,0.165274,0,G9
5,11111,9.782095,0.054779,0.03007,0.040309,0.179259,0,0,G9
5,11111,10.083056,0.035701,0.024252,0.049366,0.176145,0,0,G9
3,11111,25.220232,0.26165,0.021481,0.081624,0.022127,0,0,G9
3,11111,25.929398,0.04131,0.010875,0.010552,0.050836,0.197928,0,G9
5,11111,10.531284,0.068093,0.025069,0.046699,0.205005,0,0,G9
0,0,0,0.030344,0.007242,0.018092,0.035337,0,0,G1
1,0,1,0.225698,0,0,0,0,0,G1
2,0,5.416896,0.050056,0.013659,0.026212,0.059988,0,0,G1
0,0,0,0.018093,0.009113,0.007397,0,0,0,G1
0,0,0,0.037897,0.007579,0.009695,0.007471,0,0,G1
0,0,0,0.036547,0,0,0,0,0,G1
1,0,1,0.031532,0.006874,0.009999,0.010648,0,0,G1
0,0,0,0.031851,0.007853,0.019298,0.022994,0,0,G1
0,0,0,0.028027,0.007977,0,0,0,0,G1
0,0,0,0.021579,0.052894,0.01655,0.043574,0,0,G1
4,1101,4.915854,0.130236,0.130048,0.108012,0.019669,0.063251,0.021375,G0
3,1101,19.595537,0.269009,0.230152,0.038987,0.00989,0.014856,0,G0
3,1101,19.243837,0.070977,0.132543,0.107633,0.11206,0.014769,0,G0
5,1101,7.804761,0.222103,0.115615,0.074071,0.060646,0.021622,0,G0
3,1101,19.793972,0.182223,0.174514,0.097193,0.084134,0.021535,0.024318,G0
3,1101,20.028419,0.055713,0.178959,0.109747,0.069566,0.037024,0,G0
3,1101,19.043934,0.064143,0.132245,0.089737,0.098155,0,0,G0
2,1101,22.023912,0.180066,0.14317,0.065606,0.010316,0,0,G0
4,1101,1.973912,0.015254,0.199252,0.12996,0.073515,0.012099,0,G0
4,1101,4.449722,0.206943,0.132472,0.086241,0.089626,0.016479,0,G0
1,1000,1,0.167888,0.023389,0.02683,0.034366,0,0,G2
0,1000,0,0.141228,0.036643,0.034032,0,0,0,G2
0,1000,0,0.019387,0.129898,0.018864,0.054785,0.030789,0.033935,G2
0,1000,0,0.020189,0.013345,0.213797,0.070785,0.019737,0.023409,G2
1,1000,1,0.226951,0.150699,0.074967,0,0,0,G2
1,1000,1,0.072996,0.013963,0.026736,0.008356,0,0,G2
1,1000,1,0.064392,0.132221,0.053578,0.015952,0.022346,0.088593,G2
0,1000,0,0.01886,0.167222,0.040002,0.029738,0.019226,0,G2
1,1000,1,0.055374,0.112738,0.042524,0.019886,0.016475,0,G2
1,1000,1,0.158383,0.036067,0.045255,0.024605,0.017955,0,G2
2,1,49.595951,0.024271,0.127796,0.055877,0.056244,0.01778,0,G3
0,1,0,0.015537,0.152225,0.021145,0,0,0,G3
2,1,53.400436,0.0153,0.12703,0,0,0,0,G3
1,1,1,0.1817,0.018839,0,0,0,0,G3
1,1,1,0.012588,0.176239,0.012811,0.026737,0,0,G3
1,1,1,0.176878,0.02328,0.016406,0,0,0,G3
1,1,1,0.185077,0,0,0,0,0,G3
1,1,1,0.1178,0.039075,0.030919,0.090615,0,0,G3
1,1,1,0.045904,0.155099,0,0,0,0,G3
1,1,1,0.012876,0.115897,0.058483,0.020434,0,0,G3
2,11000,50.252277,0.232131,0.352659,0.034741,0,0,0,G4
2,11000,48.429398,0.205526,0.323599,0.039051,0,0,0,G4
3,11000,14.786871,0.19207,0.312287,0.030417,0,0,0,G4
2,11000,50.12207,0.220395,0.358957,0.037263,0,0,0,G4
1,11000,1,0.178893,0.328311,0.033604,0,0,0,G4
2,11000,49.292255,0.221476,0.338445,0.034928,0,0,0,G4
1,11000,1,0.251097,0.37343,0.048114,0,0,0,G4
3,11000,77.524254,0.212227,0.362233,0.021786,0,0,0,G4
2,11000,50.425652,0.242189,0.365885,0.021891,0,0,0,G4
3,11000,34.100098,0.226665,0.361539,0.022286,0,0,0,G4
3,1100,30.171564,0.02084,0.115725,0.128338,0.140512,0,0,G5
3,1100,9.168107,0.186098,0.248852,0.108744,0.051951,0.018833,0,G5
3,1100,11.501387,0.202524,0.1165,0.115255,0,0,0,G5
2,1100,26.184465,0.100703,0.121804,0.110525,0.06263,0,0,G5
3,1100,18.09214,0.090734,0.093063,0.103253,0.015029,0.13499,0,G5
2,1100,26.263199,0.178245,0.401589,0.018363,0.023874,0,0,G5
2,1100,27.691299,0.129645,0.220488,0.12748,0.010969,0,0,G5
2,1100,27.695864,0.244332,0.150262,0.101273,0.01804,0,0,G5
2,1100,28.322369,0.273997,0.382927,0.062235,0,0,0,G5
3,1100,31.533884,0.220513,0.110127,0.092327,0.023254,0.015893,0,G5
3,1110,19.914471,0.098096,0.102584,0.131785,0.091713,0.019923,0,G6
3,1110,7.737838,0.067002,0.094637,0.131187,0.100562,0.025454,0,G6
3,1110,19.64415,0.060842,0.100826,0.17,0.120728,0.016169,0,G6
4,1110,7.008226,0.052269,0.127187,0.127487,0.105186,0.042024,0,G6
3,1110,19.759106,0.081202,0.200116,0.179534,0.089573,0.011799,0,G6
3,1110,19.387762,0.194203,0.070613,0.094744,0.054558,0.01376,0,G6
4,1110,5.810316,0.212991,0.058014,0.078351,0.043745,0.049891,0,G6
4,1110,3.458053,0.051509,0.225764,0.218299,0.046715,0,0,G6
3,1110,20.15057,0.212093,0.099485,0.116878,0.087781,0,0,G6
3,1110,20.21986,0.242192,0.082867,0.101415,0.081111,0,0,G6
2,10001,53.090115,0.253093,0.042968,0,0,0,0,G7
2,10001,28.018694,0.397763,0.029073,0.022879,0,0,0,G7
1,10001,1,0.012133,0.524674,0.037701,0.014353,0,0,G7
3,10001,30.324524,0.013795,0.388551,0.038752,0.016731,0,0,G7
3,10001,30.072052,0.014771,0.408378,0.025176,0.014785,0,0,G7
4,10001,5.104064,0.010544,0.352792,0.029116,0.010145,0,0,G7
2,10001,53.317043,0.037337,0.316162,0.057184,0,0,0,G7
4,10001,26.40741,0.357802,0.029901,0.011434,0,0,0,G7
4,10001,13.585074,0.368849,0.029531,0,0,0,0,G7
3,10001,9.604671,0.049757,0.301934,0.016906,0,0,0,G7
3,11001,19.364756,0.010846,0.218009,0.191868,0.035291,0,0,G8
2,11001,35.649731,0.013327,0.288239,0.187879,0.018962,0,0,G8
3,11001,20.332781,0.01046,0.197846,0.171332,0.019482,0,0,G8
4,11001,69.943497,0.01828,0.204539,0.147973,0.034418,0.029507,0,G8
3,11001,19.7327,0.175761,0.165676,0.030376,0,0,0,G8
3,11001,19.846165,0.187944,0.180851,0.029462,0,0,0,G8
3,11001,20.634821,0.022086,0.257809,0.176917,0.019025,0,0,G8
3,11001,20.530083,0.243742,0.192231,0.041914,0,0,0,G8
3,11001,20.212069,0.219424,0.157041,0.02678,0.033152,0,0,G8
3,11001,19.471188,0.012865,0.173306,0.159432,0.017624,0,0,G8
5,11111,8.73686,0.013161,0.137239,0.009719,0.047625,0.198695,0.01692,G9
5,11111,8.881664,0.22523,0.076897,0.174773,0.01267,0.018459,0,G9
5,11111,7.105643,0.139096,0.037241,0.070228,0.228139,0.023641,0,G9
4,11111,15.284383,0.010602,0.119231,0.019454,0.046476,0.199129,0.01771,G9
4,11111,16.43553,0.134174,0.034642,0.061634,0.205313,0.019227,0,G9
4,11111,15.619578,0.136142,0.029969,0.053313,0.195566,0.017813,0,G9
5,11111,8.800071,0.139852,0.02741,0.062625,0.20759,0.016394,0.016149,G9
5,11111,9.380643,0.160192,0.03371,0.051134,0.179099,0.012585,0.017329,G9
5,11111,9.375968,0.176216,0.032951,0.037524,0.148013,0.016588,0,G9
5,11111,10.967755,0.026919,0.168452,0.031637,0.040996,0.168224,0,G9
1,0,1,0.008742,0.014251,0.012474,0.012174,0,0,G1
1,0,1,0.010133,0.017007,0,0,0,0,G1
1,0,1,0.013767,0.009589,0.018356,0.020201,0,0,G1
1,0,1,0.015782,0.03089,0.007895,0,0,0,G1
1,0,1,0.009689,0.014956,0.021479,0,0,0,G1
1,0,1,0.008356,0.027926,0.02292,0,0,0,G1
0,0,0,0.029401,0.024468,0,0,0,0,G1
0,0,0,0.032516,0,0,0,0,0,G1
0,0,0,0.009264,0.009988,0.011595,0,0,0,G1
1,0,1,0.012248,0.008294,0.007095,0.006742,0,0,G1
3,1101,28.205624,0.040967,0.267854,0.098633,0.048811,0,0,G0
3,1101,27.12533,0.278256,0.138829,0.024037,0.030627,0,0,G0
3,1101,28.109241,0.035864,0.278645,0.122273,0.043159,0,0,G0
3,1101,27.913639,0.316337,0.145257,0.0171,0.032628,0,0,G0
3,1101,28.283398,0.038707,0.292221,0.11503,0.03834,0,0,G0
3,1101,27.656107,0.037729,0.28737,0.112111,0.022418,0,0,G0
3,1101,27.393061,0.010153,0.020907,0.016221,0,0,0,G0
3,1101,27.468975,0.013298,0.020774,0.01771,0.0402,0.011001,0,G0
4,1101,21.126677,0.024153,0.020955,0.014705,0.030965,0,0,G0
3,1101,27.943962,0.030598,0.258903,0.100302,0.057631,0,0,G0
1,1000,1,0.018569,0.071678,0.020786,0.017987,0,0,G2
1,1000,1,0.140894,0.125338,0,0,0,0,G2
1,1000,1,0.129164,0.12779,0.029446,0,0,0,G2
1,1000,1,0.1406,0.087538,0,0,0,0,G2
1,1000,1,0.162,0.114211,0.011574,0.049441,0,0,G2
1,1000,1,0.103809,0.133311,0.019432,0,0,0,G2
1,1000,1,0.149314,0.151135,0.015437,0.052946,0,0,G2
1,1000,1,0.012907,0.077361,0.110894,0.058243,0.009928,0,G2
1,1000,1,0.167769,0.074717,0,0,0,0,G2
1,1000,1,0.012433,0.134572,0.110692,0.023881,0,0,G2
1,1,1,0.010881,0.156986,0,0,0,0,G3
2,1,8.558611,0.027166,0.183549,0,0,0,0,G3
2,1,8.260798,0.030175,0.172338,0,0,0,0,G3
2,1,6.617039,0.028436,0.182982,0,0,0,0,G3
1,1,1,0.01147,0.010243,0.16252,0.016924,0,0,G3
1,1,1,0.014385,0.163219,0,0,0,0,G3
1,1,1,0.177307,0,0,0,0,0,G3
2,1,6.362509,0.159503,0.010071,0,0,0,0,G3
1,1,1,0.009102,0.157689,0,0,0,0,G3
1,1,1,0.016446,0.167383,0,0,0,0,G3
3,11000,16.562922,0.1573,0.285353,0,0,0,0,G4
2,11000,50.63102,0.032,0.214876,0,0,0,0,G4
2,11000,55.133663,0.166258,0.292168,0.033218,0,0,0,G4
3,11000,17.029902,0.156492,0.293147,0.045469,0,0,0,G4
3,11000,16.374195,0.185808,0.305327,0.011728,0.014261,0,0,G4
3,11000,15.88985,0.186438,0.295783,0,0,0,0,G4
3,11000,16.279348,0.192655,0.29649,0,0,0,0,G4
3,11000,16.642817,0.173809,0.308814,0.022174,0,0,0,G4
3,11000,16.67091,0.189166,0.317006,0.014971,0,0,0,G4
2,11000,55.099251,0.167021,0.27834,0.012753,0,0,0,G4
2,1100,27.466497,0.143564,0.204107,0.056069,0.020034,0.013307,0,G5
2,1100,27.646662,0.142247,0.183808,0.043198,0.02266,0,0,G5
2,1100,27.798517,0.139944,0.178876,0.033257,0.01347,0,0,G5
2,1100,27.890408,0.140996,0.172593,0.062085,0.028675,0,0,G5
2,1100,27.676783,0.144732,0.183262,0.031079,0,0,0,G5
2,1100,27.788082,0.12506,0.200659,0.026049,0,0,0,G5
2,1100,27.94903,0.169019,0.218115,0.065598,0.023722,0.012479,0,G5
2,1100,28.034847,0.105003,0.130182,0.080455,0.012551,0.041911,0,G5
2,1100,27.223623,0.137652,0.168731,0.080121,0.021582,0,0,G5
2,1100,27.652082,0.118107,0.159193,0.052743,0.011547,0.024244,0,G5
3,1110,17.168375,0.014306,0.00727,0.017259,0.009271,0,0,G6
3,1110,17.378466,0.023089,0.061029,0.086183,0.035217,0.011999,0,G6
3,1110,17.14905,0.027329,0.079928,0.085055,0.014398,0,0,G6
3,1110,17.237867,0.024464,0.07039,0.076937,0.021663,0,0,G6
3,1110,16.897444,0.025556,0.07714,0.095921,0.025799,0,0,G6
3,1110,16.801483,0.021666,0.067919,0.105911,0.037902,0,0,G6
3,1110,16.922415,0.02376,0.070114,0.090482,0.039695,0.011587,0,G6
3,1110,16.54907,0.021494,0.026509,0.089368,0.072428,0.043881,0,G6
3,1110,18.471989,0.019044,0.08842,0.068248,0.035666,0.013273,0,G6
3,1110,17.622847,0.01849,0.060975,0.07506,0.043259,0.020492,0,G6
2,10001,72.201683,0.333564,0.017946,0,0,0,0,G7
2,10001,72.33197,0.360163,0.019022,0,0,0,0,G7
2,10001,73.953262,0.350475,0.021205,0,0,0,0,G7
2,10001,72.239662,0.39436,0.020986,0.0208,0,0,0,G7
2,10001,72.002129,0.346529,0.019163,0,0,0,0,G7
2,10001,71.816238,0.339114,0.019456,0,0,0,0,G7
2,10001,72.34948,0.013156,0.299197,0,0,0,0,G7
2,10001,72.178688,0.284505,0.012597,0.018402,0,0,0,G7
2,10001,70.320694,0.01689,0.198653,0,0,0,0,G7
2,10001,71.736969,0.042226,0.27147,0,0,0,0,G7
3,11001,29.699686,0.089022,0.315598,0.165117,0,0,0,G8
3,11001,28.802959,0.099041,0.27817,0.184306,0,0,0,G8
4,11001,21.44853,0.110536,0.297602,0.194724,0,0,0,G8
4,11001,21.427652,0.075546,0.30795,0.175899,0,0,0,G8
3,11001,28.632725,0.182383,0.254563,0.172191,0,0,0,G8
3,11001,28.429342,0.386661,0.235608,0.066127,0,0,0,G8
3,11001,28.363503,0.074971,0.296293,0.167904,0,0,0,G8
3,11001,29.338818,0.16557,0.251924,0.15061,0,0,0,G8
3,11001,29.090879,0.195677,0.262108,0.155446,0.01522,0,0,G8
4,11001,21.3776,0.12437,0.167684,0.134787,0,0,0,G8
5,11111,7.51787,0.099049,0.065294,0.065929,0.210775,0.01801,0,G9
5,11111,10.037858,0.019609,0.087381,0.063608,0.052805,0.23426,0,G9
5,11111,10.449368,0.017588,0.088195,0.055672,0.061574,0.222646,0,G9
5,11111,9.683265,0.015983,0.096318,0.064766,0.064793,0.225544,0,G9
