@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R1,2,3,4,5,6,7-11,22-weka.filters.unsupervised.attribute.Remove-R12_gesture-weka.filters.unsupervised.attribute.Remove-V-R3,5,6,194-199,328'

@attribute ratio numeric
@attribute Max_Y numeric
@attribute fingersAreas numeric
@attribute convexHull1 numeric
@attribute convexHull2 numeric
@attribute convexHull3 numeric
@attribute convexHull4 numeric
@attribute convexHull5 numeric
@attribute convexHull6 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data
0.009634,1.057828,79.161362,0.413768,0,0,0,0,0,G7
0.009664,1.037736,83.083595,0.027329,0.271192,0.021299,0,0,0,G7
0.010198,1.124422,78.348076,0.371095,0,0,0,0,0,G7
0.012656,1.360674,44.688377,0.291166,0,0,0,0,0,G7
0.009721,0.776607,78.815231,0.280769,0,0,0,0,0,G7
0.012008,1.519801,75.410538,0.257591,0,0,0,0,0,G7
0.009612,0.944019,79.038055,0.133667,0.122543,0.014845,0,0,0,G7
0.010206,1.060393,70.284538,0.296905,0.012863,0,0,0,0,G7
0.009102,1.367308,31.84795,0.222429,0.337619,0,0,0,0,G8
0.010508,1.373388,87.031273,0.028934,0.207811,0.316702,0,0,0,G8
0.009269,1.426975,31.582924,0.243237,0.342531,0.022581,0,0,0,G8
0.010403,1.478418,88.510788,0.016625,0.205132,0.3285,0,0,0,G8
0.008864,1.471149,34.360435,0.015723,0.220172,0.326151,0.010029,0,0,G8
0.010401,1.272335,81.049911,0.028643,0.147135,0.290536,0,0,0,G8
0.009289,1.179867,31.013523,0.270724,0.228417,0.018513,0,0,0,G8
0.010335,1.259652,71.723534,0.186615,0.273484,0.026332,0,0,0,G8
0.008903,1.236284,32.058792,0.220489,0.32962,0.015082,0,0,0,G8
0.008751,1.343418,33.020748,0.244527,0.324508,0.026338,0,0,0,G8
0.009334,1.504573,16.910755,0.014116,0.00849,0.011527,0.060772,0.22572,0,G9
0.007592,1.340814,13.740136,0.025507,0.02801,0.008478,0.05969,0.243613,0,G9
0.007429,1.295621,14.779031,0.012229,0.030493,0.033575,0.072689,0.216022,0.010329,G9
0.008589,1.412484,11.713248,0.014006,0.032132,0.020959,0.086645,0.230337,0,G9
1,0.600263,1,0.030373,0.070626,0.232652,0,0,0,G9
0.008053,1.42811,11.588235,0.015546,0.031853,0.013586,0.077677,0.242484,0,G9
1,0.610598,1,0.029577,0.014631,0.009591,0.072841,0.233483,0,G9
0.008228,1.178239,11.072308,0.029367,0.038814,0.025655,0.079549,0.255652,0,G9
0.008337,1.352818,10.192496,0.038125,0.025238,0.077669,0.23401,0,0,G9
0.008789,1.510261,16.426311,0.039314,0.031863,0.011758,0.070324,0.232123,0,G9
1,0.635808,1,0.076449,0.014265,0.01532,0.018083,0,0,G1
1,0.778669,1,0.011205,0.00807,0.008234,0.00853,0.014769,0.008183,G1
0,0,0,0.009885,0.067136,0,0,0,0,G1
1,0.81432,1,0.008428,0.009388,0,0,0,0,G1
1,0.864201,1,0.013081,0.007526,0,0,0,0,G1
1,0.786069,1,0.013366,0.008601,0,0,0,0,G1
1,0.671906,1,0.051608,0,0,0,0,0,G1
1,0.71264,1,0.009241,0.008941,0.016333,0,0,0,G1
0,0,0,0.01023,0.013082,0.01621,0,0,0,G1
0,0,0,0.019969,0.022851,0,0,0,0,G1
0.01326,0.79501,19.429249,0.164475,0.109173,0.069325,0.05588,0.030002,0,G0
0.012111,1.055807,22.119347,0.025514,0.256983,0.170483,0.013567,0,0,G0
0.011576,1.026527,22.894224,0.03773,0.263549,0.178753,0.038489,0,0,G0
0.011578,1.053928,23.186516,0.028554,0.332258,0.25687,0.023468,0,0,G0
0.013132,1.283488,19.955507,0.27848,0.236559,0.035139,0.054283,0,0,G0
0.01185,0.965162,22.108004,0.202033,0.066552,0.098439,0.033651,0.021654,0,G0
0.011932,0.956813,22.267647,0.265951,0.055664,0.055333,0.015224,0,0,G0
0.011733,0.999659,22.644402,0.044456,0.137859,0.177048,0.050799,0,0,G0
0.012033,1.013991,21.962376,0.146374,0.16144,0.044402,0.110983,0,0,G0
0.013269,1.032953,19.529358,0.116217,0.100002,0.031494,0.029264,0.022617,0,G0
1,0.69643,1,0.191896,0.035271,0.063466,0,0,0,G2
1,-0.381329,1,0.093627,0.081129,0.09519,0,0,0,G2
0,0,0,0.130343,0.09275,0.024386,0,0,0,G2
0,0,0,0.157551,0.018437,0.021503,0.02435,0,0,G2
1,0.780266,1,0.202177,0.043812,0.042608,0,0,0,G2
1,0.768555,1,0.264552,0.078377,0.049151,0,0,0,G2
0.019961,1.024957,18.586517,0.201498,0.024145,0.03959,0,0,0,G2
0.019659,1.0396,18.952829,0.207396,0.032946,0.032744,0,0,0,G2
0.019598,1.060463,19.019991,0.225402,0.034527,0.018057,0,0,0,G2
0.019374,0.939747,20.502623,0.193204,0.023063,0,0,0,0,G2
1,0.843878,1,0.362511,0.040466,0.044002,0,0,0,G3
1,0.808117,1,0.04739,0.161225,0.017697,0,0,0,G3
1,0.901246,1,0.081076,0.171943,0,0,0,0,G3
1,0.9465,1,0.278481,0.04211,0.014285,0,0,0,G3
1,0.887323,1,0.162376,0.030766,0,0,0,0,G3
1,0.942052,1,0.136771,0.018385,0.055545,0,0,0,G3
0.01554,1.277046,43.806084,0.045473,0.175649,0.021738,0,0,0,G3
1,0.864457,1,0.295524,0.062932,0.020753,0,0,0,G3
1,0.831736,1,0.326099,0.050809,0.047393,0,0,0,G3
1,0.8412,1,0.277708,0.049497,0,0,0,0,G3
0.012328,1.007392,53.363533,0.187624,0.313626,0,0,0,0,G4
0.011536,1.03995,55.445675,0.315828,0.441565,0.019914,0,0,0,G4
0.011128,0.995725,57.632858,0.12425,0.038107,0,0,0,0,G4
0.016534,1.404686,18.210123,0.243723,0.379174,0,0,0,0,G4
0.017193,1.494884,17.409941,0.229489,0.382081,0.014109,0,0,0,G4
0.015802,1.271162,18.754187,0.28759,0.388533,0.019135,0,0,0,G4
0.015629,1.291995,19.466267,0.450546,0.059512,0,0,0,0,G4
0.015646,1.089693,19.616816,0.054465,0.064935,0,0,0,0,G4
0.012082,0.903819,53.907883,0.17268,0.341997,0.013312,0,0,0,G4
0.01208,0.939392,54.080479,0.173963,0.35331,0.015231,0,0,0,G4
0.0152,0.887494,35.383423,0.178502,0.127322,0.053489,0.042291,0,0,G5
0.015219,0.925899,35.510876,0.273926,0.114544,0,0,0,0,G5
0.014849,0.88639,36.217762,0.346889,0.091781,0.020297,0.031134,0,0,G5
0.011702,2.267486,28.439514,0.287862,0.069067,0.031923,0.026939,0,0,G5
0.015345,0.888379,35.175339,0.194741,0.292639,0.072473,0,0,0,G5
0.015076,0.867388,36.02306,0.240843,0.085476,0.034533,0,0,0,G5
0.015137,0.891259,35.848511,0.268772,0.10805,0.030145,0,0,0,G5
0.015417,0.913023,35.379021,0.258699,0.118764,0.024032,0.031292,0,0,G5
0.015915,0.896674,33.79295,0.353483,0.104612,0.034524,0.023862,0,0,G5
0.01531,0.843593,35.247337,0.231957,0.257721,0.056586,0.011333,0,0,G5
0.016703,0.949435,15.573933,0.200732,0.022984,0.030382,0,0,0,G6
0.018297,1.252604,14.413544,0.163212,0.061091,0.03954,0.042739,0,0,G6
0.014526,0.811824,17.945267,0.212399,0.066938,0.047002,0.025248,0,0,G6
0.015055,0.937772,17.476412,0.061421,0.081713,0.127919,0.061221,0.013918,0,G6
0.01664,1.043624,15.826111,0.04536,0.045552,0.037216,0.10506,0,0,G6
0.016096,0.979963,16.318581,0.019347,0.026219,0.032672,0.040462,0.083424,0,G6
0.016718,0.917098,15.603787,0.041604,0.063267,0.06801,0.03105,0,0,G6
0.016642,0.901396,15.716647,0.183878,0.020986,0.024984,0.024732,0,0,G6
0.016364,0.866462,16.018442,0.209993,0.025851,0.032864,0.03413,0.016959,0,G6
0.016364,0.956087,16.020119,0.202656,0.02496,0.025496,0,0,0,G6
0.009295,0.518405,80.422737,0.16331,0,0,0,0,0,G7
0.010929,0.908251,41.267994,0.508553,0,0,0,0,0,G7
0.010705,0.783362,40.350845,0.050458,0.18255,0.016333,0.013516,0,0,G7
0.010597,0.900812,74.734032,0.398094,0.021374,0.017597,0,0,0,G7
0.010411,0.870361,76.033142,0.251693,0.023606,0,0,0,0,G7
0.010765,0.805686,40.558052,0.014959,0.354227,0.014105,0,0,0,G7
0.01063,1.08874,26.645836,0.313479,0.01263,0,0,0,0,G7
0.012277,1.285265,26.544914,0.081478,0.1332,0.010917,0,0,0,G7
0.012637,1.449588,27.584511,0.245469,0.011919,0,0,0,0,G7
0.012722,1.142757,26.861992,0.050848,0.143677,0.01234,0.013085,0,0,G7
0.014992,1.977088,17.067598,0.246678,0.222402,0.028265,0,0,0,G8
0.014084,1.033955,40.308922,0.242876,0.2393,0,0,0,0,G8
0.010925,1.165574,25.895041,0.222227,0.230446,0,0,0,0,G8
0.011431,0.956686,24.940514,0.103436,0.109456,0.119377,0.068808,0,0,G8
0.011112,0.993523,25.743473,0.209819,0.204904,0.023921,0.171114,0,0,G8
0.011275,1.031452,25.42441,0.253194,0.249878,0.044192,0,0,0,G8
0.011513,1.177462,24.691273,0.243377,0.255284,0,0,0,0,G8
0.01142,1.209937,24.97603,0.268271,0.230638,0,0,0,0,G8
0.012065,1.195472,17.722002,0.257243,0.24663,0,0,0,0,G8
0.016023,2.391885,18.097288,0.225571,0.240727,0.014244,0,0,0,G8
0.009365,1.349664,10.475904,0.020919,0.086574,0.026492,0.035708,0.189228,0,G9
0.009064,1.367724,10.736491,0.023723,0.079758,0.030709,0.048061,0.188666,0,G9
0.00898,1.302834,10.215485,0.0483,0.057735,0.0178,0.046102,0.20144,0,G9
0.009104,1.302651,10.836102,0.055579,0.016049,0.037041,0.174139,0,0,G9
0.0092,1.310955,10.868353,0.015474,0.050178,0.015524,0.03718,0.165274,0,G9
0.0099,1.300923,9.782095,0.054779,0.03007,0.040309,0.179259,0,0,G9
0.009947,1.339228,10.083056,0.035701,0.024252,0.049366,0.176145,0,0,G9
0.010154,1.136419,25.220232,0.26165,0.021481,0.081624,0.022127,0,0,G9
0.010568,1.357636,25.929398,0.04131,0.010875,0.010552,0.050836,0.197928,0,G9
0.009201,1.307832,10.531284,0.068093,0.025069,0.046699,0.205005,0,0,G9
0,0,0,0.030344,0.007242,0.018092,0.035337,0,0,G1
1,-0.436434,1,0.225698,0,0,0,0,0,G1
0.084103,-0.577997,5.416896,0.050056,0.013659,0.026212,0.059988,0,0,G1
0,0,0,0.018093,0.009113,0.007397,0,0,0,G1
0,0,0,0.037897,0.007579,0.009695,0.007471,0,0,G1
0,0,0,0.036547,0,0,0,0,0,G1
1,0.62587,1,0.031532,0.006874,0.009999,0.010648,0,0,G1
0,0,0,0.031851,0.007853,0.019298,0.022994,0,0,G1
0,0,0,0.028027,0.007977,0,0,0,0,G1
0,0,0,0.021579,0.052894,0.01655,0.043574,0,0,G1
0.012041,1.653102,4.915854,0.130236,0.130048,0.108012,0.019669,0.063251,0.021375,G0
0.013015,1.011152,19.595537,0.269009,0.230152,0.038987,0.00989,0.014856,0,G0
0.013016,1.065574,19.243837,0.070977,0.132543,0.107633,0.11206,0.014769,0,G0
0.02434,3.374366,7.804761,0.222103,0.115615,0.074071,0.060646,0.021622,0,G0
0.012943,0.929811,19.793972,0.182223,0.174514,0.097193,0.084134,0.021535,0.024318,G0
0.01283,0.937605,20.028419,0.055713,0.178959,0.109747,0.069566,0.037024,0,G0
0.013519,0.962773,19.043934,0.064143,0.132245,0.089737,0.098155,0,0,G0
0.023369,0.848819,22.023912,0.180066,0.14317,0.065606,0.010316,0,0,G0
0.012594,1.621572,1.973912,0.015254,0.199252,0.12996,0.073515,0.012099,0,G0
0.012185,1.746894,4.449722,0.206943,0.132472,0.086241,0.089626,0.016479,0,G0
1,0.691537,1,0.167888,0.023389,0.02683,0.034366,0,0,G2
0,0,0,0.141228,0.036643,0.034032,0,0,0,G2
0,0,0,0.019387,0.129898,0.018864,0.054785,0.030789,0.033935,G2
0,0,0,0.020189,0.013345,0.213797,0.070785,0.019737,0.023409,G2
1,0.645461,1,0.226951,0.150699,0.074967,0,0,0,G2
1,0.73004,1,0.072996,0.013963,0.026736,0.008356,0,0,G2
1,0.817998,1,0.064392,0.132221,0.053578,0.015952,0.022346,0.088593,G2
0,0,0,0.01886,0.167222,0.040002,0.029738,0.019226,0,G2
1,0.715518,1,0.055374,0.112738,0.042524,0.019886,0.016475,0,G2
1,0.765787,1,0.158383,0.036067,0.045255,0.024605,0.017955,0,G2
0.021951,2.687721,49.595951,0.024271,0.127796,0.055877,0.056244,0.01778,0,G3
0,0,0,0.015537,0.152225,0.021145,0,0,0,G3
0.016166,1.57313,53.400436,0.0153,0.12703,0,0,0,0,G3
1,0.854765,1,0.1817,0.018839,0,0,0,0,G3
1,0.895916,1,0.012588,0.176239,0.012811,0.026737,0,0,G3
1,0.85043,1,0.176878,0.02328,0.016406,0,0,0,G3
1,0.866428,1,0.185077,0,0,0,0,0,G3
1,0.823966,1,0.1178,0.039075,0.030919,0.090615,0,0,G3
1,0.803636,1,0.045904,0.155099,0,0,0,0,G3
1,0.808144,1,0.012876,0.115897,0.058483,0.020434,0,0,G3
0.012878,1.103987,50.252277,0.232131,0.352659,0.034741,0,0,0,G4
0.01306,1.115498,48.429398,0.205526,0.323599,0.039051,0,0,0,G4
0.01925,1.460319,14.786871,0.19207,0.312287,0.030417,0,0,0,G4
0.012842,1.124563,50.12207,0.220395,0.358957,0.037263,0,0,0,G4
1,0.261743,1,0.178893,0.328311,0.033604,0,0,0,G4
0.012948,1.15236,49.292255,0.221476,0.338445,0.034928,0,0,0,G4
1,0.149529,1,0.251097,0.37343,0.048114,0,0,0,G4
0.022598,2.584348,77.524254,0.212227,0.362233,0.021786,0,0,0,G4
0.012736,1.120862,50.425652,0.242189,0.365885,0.021891,0,0,0,G4
0.024596,3.074546,34.100098,0.226665,0.361539,0.022286,0,0,0,G4
0.038341,1.608927,30.171564,0.02084,0.115725,0.128338,0.140512,0,0,G5
0.012941,1.275522,9.168107,0.186098,0.248852,0.108744,0.051951,0.018833,0,G5
0.013449,1.844815,11.501387,0.202524,0.1165,0.115255,0,0,0,G5
0.019839,0.717603,26.184465,0.100703,0.121804,0.110525,0.06263,0,0,G5
0.012127,1.570754,18.09214,0.090734,0.093063,0.103253,0.015029,0.13499,0,G5
0.019658,0.701412,26.263199,0.178245,0.401589,0.018363,0.023874,0,0,G5
0.018716,0.731091,27.691299,0.129645,0.220488,0.12748,0.010969,0,0,G5
0.018838,0.831773,27.695864,0.244332,0.150262,0.101273,0.01804,0,0,G5
0.018583,0.82368,28.322369,0.273997,0.382927,0.062235,0,0,0,G5
0.039843,1.71031,31.533884,0.220513,0.110127,0.092327,0.023254,0.015893,0,G5
0.013051,0.829726,19.914471,0.098096,0.102584,0.131785,0.091713,0.019923,0,G6
0.012564,1.753694,7.737838,0.067002,0.094637,0.131187,0.100562,0.025454,0,G6
0.01325,0.876376,19.64415,0.060842,0.100826,0.17,0.120728,0.016169,0,G6
0.009914,1.39442,7.008226,0.052269,0.127187,0.127487,0.105186,0.042024,0,G6
0.013093,0.7709,19.759106,0.081202,0.200116,0.179534,0.089573,0.011799,0,G6
0.013391,0.785042,19.387762,0.194203,0.070613,0.094744,0.054558,0.01376,0,G6
0.010097,1.313331,5.810316,0.212991,0.058014,0.078351,0.043745,0.049891,0,G6
0.012,0.913673,3.458053,0.051509,0.225764,0.218299,0.046715,0,0,G6
0.012938,0.865698,20.15057,0.212093,0.099485,0.116878,0.087781,0,0,G6
0.013074,0.913107,20.21986,0.242192,0.082867,0.101415,0.081111,0,0,G6
0.010995,0.783446,53.090115,0.253093,0.042968,0,0,0,0,G7
0.018794,0.71422,28.018694,0.397763,0.029073,0.022879,0,0,0,G7
1,0.682302,1,0.012133,0.524674,0.037701,0.014353,0,0,G7
0.011389,0.982685,30.324524,0.013795,0.388551,0.038752,0.016731,0,0,G7
0.011811,0.829572,30.072052,0.014771,0.408378,0.025176,0.014785,0,0,G7
0.013733,1.705116,5.104064,0.010544,0.352792,0.029116,0.010145,0,0,G7
0.011211,1.017446,53.317043,0.037337,0.316162,0.057184,0,0,0,G7
0.025956,-4.037921,26.40741,0.357802,0.029901,0.011434,0,0,0,G7
0.027612,3.744629,13.585074,0.368849,0.029531,0,0,0,0,G7
0.015468,2.149701,9.604671,0.049757,0.301934,0.016906,0,0,0,G7
0.014554,1.070538,19.364756,0.010846,0.218009,0.191868,0.035291,0,0,G8
0.016555,1.079445,35.649731,0.013327,0.288239,0.187879,0.018962,0,0,G8
0.013906,1.041452,20.332781,0.01046,0.197846,0.171332,0.019482,0,0,G8
0.040954,-5.929143,69.943497,0.01828,0.204539,0.147973,0.034418,0.029507,0,G8
0.0143,1.018776,19.7327,0.175761,0.165676,0.030376,0,0,0,G8
0.0143,1.080394,19.846165,0.187944,0.180851,0.029462,0,0,0,G8
0.013716,1.171522,20.634821,0.022086,0.257809,0.176917,0.019025,0,0,G8
0.013726,1.207806,20.530083,0.243742,0.192231,0.041914,0,0,0,G8
0.014045,1.092935,20.212069,0.219424,0.157041,0.02678,0.033152,0,0,G8
0.01463,1.049074,19.471188,0.012865,0.173306,0.159432,0.017624,0,0,G8
0.009553,1.059274,8.73686,0.013161,0.137239,0.009719,0.047625,0.198695,0.01692,G9
0.010038,0.910056,8.881664,0.22523,0.076897,0.174773,0.01267,0.018459,0,G9
0.010154,1.12397,7.105643,0.139096,0.037241,0.070228,0.228139,0.023641,0,G9
0.01013,1.244326,15.284383,0.010602,0.119231,0.019454,0.046476,0.199129,0.01771,G9
0.010769,0.988158,16.43553,0.134174,0.034642,0.061634,0.205313,0.019227,0,G9
0.010833,0.742008,15.619578,0.136142,0.029969,0.053313,0.195566,0.017813,0,G9
0.009926,0.971874,8.800071,0.139852,0.02741,0.062625,0.20759,0.016394,0.016149,G9
0.009939,0.942821,9.380643,0.160192,0.03371,0.051134,0.179099,0.012585,0.017329,G9
0.010001,0.964272,9.375968,0.176216,0.032951,0.037524,0.148013,0.016588,0,G9
0.009463,1.080709,10.967755,0.026919,0.168452,0.031637,0.040996,0.168224,0,G9
1,0.513998,1,0.008742,0.014251,0.012474,0.012174,0,0,G1
1,0.584972,1,0.010133,0.017007,0,0,0,0,G1
1,0.537501,1,0.013767,0.009589,0.018356,0.020201,0,0,G1
1,0.532832,1,0.015782,0.03089,0.007895,0,0,0,G1
1,0.469594,1,0.009689,0.014956,0.021479,0,0,0,G1
1,0.47517,1,0.008356,0.027926,0.02292,0,0,0,G1
0,0,0,0.029401,0.024468,0,0,0,0,G1
0,0,0,0.032516,0,0,0,0,0,G1
0,0,0,0.009264,0.009988,0.011595,0,0,0,G1
1,0.527928,1,0.012248,0.008294,0.007095,0.006742,0,0,G1
0.009691,1.074775,28.205624,0.040967,0.267854,0.098633,0.048811,0,0,G0
0.010008,1.182609,27.12533,0.278256,0.138829,0.024037,0.030627,0,0,G0
0.009704,1.164044,28.109241,0.035864,0.278645,0.122273,0.043159,0,0,G0
0.0098,1.075516,27.913639,0.316337,0.145257,0.0171,0.032628,0,0,G0
0.009855,1.051815,28.283398,0.038707,0.292221,0.11503,0.03834,0,0,G0
0.009939,1.089669,27.656107,0.037729,0.28737,0.112111,0.022418,0,0,G0
0.010025,1.02905,27.393061,0.010153,0.020907,0.016221,0,0,0,G0
0.010064,0.944636,27.468975,0.013298,0.020774,0.01771,0.0402,0.011001,0,G0
0.011507,1.118087,21.126677,0.024153,0.020955,0.014705,0.030965,0,0,G0
0.009828,1.070149,27.943962,0.030598,0.258903,0.100302,0.057631,0,0,G0
1,0.413412,1,0.018569,0.071678,0.020786,0.017987,0,0,G2
1,0.81329,1,0.140894,0.125338,0,0,0,0,G2
1,0.787667,1,0.129164,0.12779,0.029446,0,0,0,G2
1,0.800882,1,0.1406,0.087538,0,0,0,0,G2
1,0.713245,1,0.162,0.114211,0.011574,0.049441,0,0,G2
1,0.855622,1,0.103809,0.133311,0.019432,0,0,0,G2
1,0.608424,1,0.149314,0.151135,0.015437,0.052946,0,0,G2
1,0.461732,1,0.012907,0.077361,0.110894,0.058243,0.009928,0,G2
1,0.601262,1,0.167769,0.074717,0,0,0,0,G2
1,0.602885,1,0.012433,0.134572,0.110692,0.023881,0,0,G2
1,0.555626,1,0.010881,0.156986,0,0,0,0,G3
0.027471,0.653779,8.558611,0.027166,0.183549,0,0,0,0,G3
0.027034,0.592454,8.260798,0.030175,0.172338,0,0,0,0,G3
0.027406,0.828634,6.617039,0.028436,0.182982,0,0,0,0,G3
1,0.639066,1,0.01147,0.010243,0.16252,0.016924,0,0,G3
1,0.655908,1,0.014385,0.163219,0,0,0,0,G3
1,0.707425,1,0.177307,0,0,0,0,0,G3
0.032967,0.872807,6.362509,0.159503,0.010071,0,0,0,0,G3
1,0.467815,1,0.009102,0.157689,0,0,0,0,G3
1,0.433847,1,0.016446,0.167383,0,0,0,0,G3
0.017313,1.100329,16.562922,0.1573,0.285353,0,0,0,0,G4
0.012781,0.466721,50.63102,0.032,0.214876,0,0,0,0,G4
0.011889,0.861769,55.133663,0.166258,0.292168,0.033218,0,0,0,G4
0.016734,1.135414,17.029902,0.156492,0.293147,0.045469,0,0,0,G4
0.01771,1.254171,16.374195,0.185808,0.305327,0.011728,0.014261,0,0,G4
0.017813,1.342452,15.88985,0.186438,0.295783,0,0,0,0,G4
0.017429,1.219558,16.279348,0.192655,0.29649,0,0,0,0,G4
0.017021,1.180501,16.642817,0.173809,0.308814,0.022174,0,0,0,G4
0.017078,1.10555,16.67091,0.189166,0.317006,0.014971,0,0,0,G4
0.011987,0.979685,55.099251,0.167021,0.27834,0.012753,0,0,0,G4
0.019279,0.558474,27.466497,0.143564,0.204107,0.056069,0.020034,0.013307,0,G5
0.019031,0.773781,27.646662,0.142247,0.183808,0.043198,0.02266,0,0,G5
0.018852,0.804876,27.798517,0.139944,0.178876,0.033257,0.01347,0,0,G5
0.018789,0.767767,27.890408,0.140996,0.172593,0.062085,0.028675,0,0,G5
