@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R1,2,3,4,5,6,7-11,22-weka.filters.unsupervised.attribute.Remove-R12_gesture-weka.filters.unsupervised.attribute.Remove-V-R3,4,7-11,200-263,264-327,328'

@attribute ratio numeric
@attribute Max_X numeric
@attribute newFingerTipDistRefined_f1 numeric
@attribute newFingerTipDistRefined_f2 numeric
@attribute newFingerTipDistRefined_f3 numeric
@attribute newFingerTipDistRefined_f4 numeric
@attribute newFingerTipDistRefined_f5 numeric
@attribute cellOccupancyNonZ1 numeric
@attribute cellOccupancyNonZ2 numeric
@attribute cellOccupancyNonZ3 numeric
@attribute cellOccupancyNonZ4 numeric
@attribute cellOccupancyNonZ5 numeric
@attribute cellOccupancyNonZ6 numeric
@attribute cellOccupancyNonZ7 numeric
@attribute cellOccupancyNonZ8 numeric
@attribute cellOccupancyNonZ9 numeric
@attribute cellOccupancyNonZ10 numeric
@attribute cellOccupancyNonZ11 numeric
@attribute cellOccupancyNonZ12 numeric
@attribute cellOccupancyNonZ13 numeric
@attribute cellOccupancyNonZ14 numeric
@attribute cellOccupancyNonZ15 numeric
@attribute cellOccupancyNonZ16 numeric
@attribute cellOccupancyNonZ17 numeric
@attribute cellOccupancyNonZ18 numeric
@attribute cellOccupancyNonZ19 numeric
@attribute cellOccupancyNonZ20 numeric
@attribute cellOccupancyNonZ21 numeric
@attribute cellOccupancyNonZ22 numeric
@attribute cellOccupancyNonZ23 numeric
@attribute cellOccupancyNonZ24 numeric
@attribute cellOccupancyNonZ25 numeric
@attribute cellOccupancyNonZ26 numeric
@attribute cellOccupancyNonZ27 numeric
@attribute cellOccupancyNonZ28 numeric
@attribute cellOccupancyNonZ29 numeric
@attribute cellOccupancyNonZ30 numeric
@attribute cellOccupancyNonZ31 numeric
@attribute cellOccupancyNonZ32 numeric
@attribute cellOccupancyNonZ33 numeric
@attribute cellOccupancyNonZ34 numeric
@attribute cellOccupancyNonZ35 numeric
@attribute cellOccupancyNonZ36 numeric
@attribute cellOccupancyNonZ37 numeric
@attribute cellOccupancyNonZ38 numeric
@attribute cellOccupancyNonZ39 numeric
@attribute cellOccupancyNonZ40 numeric
@attribute cellOccupancyNonZ41 numeric
@attribute cellOccupancyNonZ42 numeric
@attribute cellOccupancyNonZ43 numeric
@attribute cellOccupancyNonZ44 numeric
@attribute cellOccupancyNonZ45 numeric
@attribute cellOccupancyNonZ46 numeric
@attribute cellOccupancyNonZ47 numeric
@attribute cellOccupancyNonZ48 numeric
@attribute cellOccupancyNonZ49 numeric
@attribute cellOccupancyNonZ50 numeric
@attribute cellOccupancyNonZ51 numeric
@attribute cellOccupancyNonZ52 numeric
@attribute cellOccupancyNonZ53 numeric
@attribute cellOccupancyNonZ54 numeric
@attribute cellOccupancyNonZ55 numeric
@attribute cellOccupancyNonZ56 numeric
@attribute cellOccupancyNonZ57 numeric
@attribute cellOccupancyNonZ58 numeric
@attribute cellOccupancyNonZ59 numeric
@attribute cellOccupancyNonZ60 numeric
@attribute cellOccupancyNonZ61 numeric
@attribute cellOccupancyNonZ62 numeric
@attribute cellOccupancyNonZ63 numeric
@attribute cellOccupancyNonZ64 numeric
@attribute cellOccupancyAvg1 numeric
@attribute cellOccupancyAvg2 numeric
@attribute cellOccupancyAvg3 numeric
@attribute cellOccupancyAvg4 numeric
@attribute cellOccupancyAvg5 numeric
@attribute cellOccupancyAvg6 numeric
@attribute cellOccupancyAvg7 numeric
@attribute cellOccupancyAvg8 numeric
@attribute cellOccupancyAvg9 numeric
@attribute cellOccupancyAvg10 numeric
@attribute cellOccupancyAvg11 numeric
@attribute cellOccupancyAvg12 numeric
@attribute cellOccupancyAvg13 numeric
@attribute cellOccupancyAvg14 numeric
@attribute cellOccupancyAvg15 numeric
@attribute cellOccupancyAvg16 numeric
@attribute cellOccupancyAvg17 numeric
@attribute cellOccupancyAvg18 numeric
@attribute cellOccupancyAvg19 numeric
@attribute cellOccupancyAvg20 numeric
@attribute cellOccupancyAvg21 numeric
@attribute cellOccupancyAvg22 numeric
@attribute cellOccupancyAvg23 numeric
@attribute cellOccupancyAvg24 numeric
@attribute cellOccupancyAvg25 numeric
@attribute cellOccupancyAvg26 numeric
@attribute cellOccupancyAvg27 numeric
@attribute cellOccupancyAvg28 numeric
@attribute cellOccupancyAvg29 numeric
@attribute cellOccupancyAvg30 numeric
@attribute cellOccupancyAvg31 numeric
@attribute cellOccupancyAvg32 numeric
@attribute cellOccupancyAvg33 numeric
@attribute cellOccupancyAvg34 numeric
@attribute cellOccupancyAvg35 numeric
@attribute cellOccupancyAvg36 numeric
@attribute cellOccupancyAvg37 numeric
@attribute cellOccupancyAvg38 numeric
@attribute cellOccupancyAvg39 numeric
@attribute cellOccupancyAvg40 numeric
@attribute cellOccupancyAvg41 numeric
@attribute cellOccupancyAvg42 numeric
@attribute cellOccupancyAvg43 numeric
@attribute cellOccupancyAvg44 numeric
@attribute cellOccupancyAvg45 numeric
@attribute cellOccupancyAvg46 numeric
@attribute cellOccupancyAvg47 numeric
@attribute cellOccupancyAvg48 numeric
@attribute cellOccupancyAvg49 numeric
@attribute cellOccupancyAvg50 numeric
@attribute cellOccupancyAvg51 numeric
@attribute cellOccupancyAvg52 numeric
@attribute cellOccupancyAvg53 numeric
@attribute cellOccupancyAvg54 numeric
@attribute cellOccupancyAvg55 numeric
@attribute cellOccupancyAvg56 numeric
@attribute cellOccupancyAvg57 numeric
@attribute cellOccupancyAvg58 numeric
@attribute cellOccupancyAvg59 numeric
@attribute cellOccupancyAvg60 numeric
@attribute cellOccupancyAvg61 numeric
@attribute cellOccupancyAvg62 numeric
@attribute cellOccupancyAvg63 numeric
@attribute cellOccupancyAvg64 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data
1,-0.295764,0,0,0,0,0,0,518,1455,1981,2125,996,218,0,337,2793,3600,3600,3600,3600,3338,753,756,3454,3600,3600,3600,3600,3600,1320,182,3438,3600,3600,3600,3600,3600,1320,0,1960,3600,3600,3600,3600,3600,1320,0,517,3192,3600,3600,3600,3600,1320,0,0,492,3437,3600,3595,2272,232,0,0,0,866,2370,965,0,0,0,1.985278,6.445833,9.225278,9.968889,3.976667,0.679167,0,1.411944,13.080277,18,18,18,18,16.012501,3.299444,3.232222,16.689167,17.864721,17.764999,18,18,17.894167,6.511944,0.425278,15.963333,17.006945,17.031666,17.682222,17.648333,17.060278,6.233333,0,8.023889,17,17,16.680834,17.002222,17,6.233333,0,1.776667,14.208889,17,17,17,17,6.200278,0,0,1.734444,15.762222,17,16.855556,9.620556,0.761667,0,0,0,3.304167,10.861111,3.625556,0,0,G1
0.016534,0.238329,0,1.160427,0.920108,0,0,0,0,0,0,0,0,0,0,0,1595,1041,2,0,30,0,0,697,1200,2381,2695,2478,3276,1570,0,711,2309,3188,3407,3600,3600,3517,937,0,16,1448,3487,3600,3600,3600,2398,0,989,2432,3048,2652,3110,3590,2400,0,0,0,0,0,0,364,1136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.973611,5.126111,0.001111,0,0.062222,0,0,3.213889,5.348333,12.151944,14.1375,12.102777,16.525555,7.598611,0,3.135278,11.512777,16.049999,17.223333,18.430555,18.986666,18.388056,4.432222,0,0.016389,6.893889,17.834723,18.995001,19,19,12.71,0,4.262222,11.401667,15.3575,13.428611,15.752222,18.787777,12.714444,0,0,0,0,0,0,1.488333,5.965556,0,0,0,0,0,0,0,0,G0
1,0.397396,0,0.999997,0,0,0,0,0,0,0,0,0,0,0,0,1189,1191,282,0,54,155,0,0,1144,1956,3235,2562,3180,3478,1368,932,2246,2558,3119,3600,3569,3600,2400,685,887,1104,3573,3600,3600,3600,2400,0,0,1035,2489,3467,2952,2524,1411,0,0,1055,1270,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.768611,5.751111,1.030556,0,0.166944,0.576389,0,0,5.256667,9.629444,16.473612,12.578611,15.376389,17.075834,6.341667,4.337778,11.165833,12.86,16.02,18.268055,17.495832,18.325001,12.359167,3.061111,4.008333,4.882222,17.633333,18.695833,19,19,12.666667,0,0,4.541389,11.906944,17.853611,14.818611,12.727222,6.8975,0,0,4.952222,6.229445,0.970833,0,0,0,0,0,0,0,0,0,0,0,G0
0.011292,0.493598,0,1.173661,1.234522,0,0.942133,0,0,0,0,0,0,0,0,0,1472,1482,104,0,0,0,0,0,244,1774,3074,1684,2027,2124,45,1410,2893,2775,3169,3600,3562,3600,1249,8,123,496,3135,3567,3600,3600,2400,0,0,802,2013,3139,2619,2740,2400,0,0,455,801,11,0,103,744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.510278,6.425278,0.287778,0,0,0,0,0,0.832778,7.902222,14.757222,7.815834,9.125,9.783334,0.138611,5.945833,12.911944,12.694167,15.4325,17.688889,16.235277,17.987499,5.328611,0.012778,0.253333,1.799722,14.0125,16.676666,17.779167,18.049723,12.649722,0,0,3.268611,8.938056,15.1725,12.563334,13.243889,12.666667,0,0,1.845278,3.302778,0.016389,0,0.358056,3.525,0,0,0,0,0,0,0,0,G0
0.010951,0.355675,0,1.196519,1.217923,0,0.939192,0,0,0,0,0,0,0,0,0,1774,2356,374,0,19,3,0,912,1096,1353,3106,1436,2885,2171,0,616,1884,3058,3479,3517,3585,3591,574,0,0,161,2960,3507,3600,3600,2205,0,0,2099,2851,2828,3078,3482,2400,0,0,0,5,0,0,984,1778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.935833,10.965278,1.526389,0,0.0275,0.001667,0,3.744444,4.707778,5.853889,15.018888,6.878334,13.653611,10.035277,0,2.523056,8.581944,14.510834,16.871111,16.632223,17.244167,17.975277,2.440556,0,0,0.540833,13.65,16.995001,18.21139,18.619167,11.216111,0,0,8.606112,13.202222,13.646944,14.795278,17.720278,12.666667,0,0,0,0.0025,0,0,4.595556,9.089444,0,0,0,0,0,0,0,0,G0
0.011335,0.57835,0,1.18299,1.232636,0,0.988413,0,0,0,0,0,0,0,0,0,1571,1057,68,0,0,0,0,0,498,2005,2889,2126,1958,1247,0,1573,3006,2867,3457,3600,3600,3561,789,146,163,458,3406,3547,3586,3600,2397,0,25,1354,2972,2871,2441,2582,2400,0,0,948,310,0,0,129,970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2225,4.708611,0.239444,0,0,0,0,0,2.045833,9.460278,13.846666,10.598056,9.287778,5.605834,0,6.776111,13.715,13.456667,17.002222,18.433056,17.838888,17.970556,3.755278,0.498056,0.576667,1.7825,16.676111,16.973612,18.470833,18.995277,13.046389,0,0.045278,6.044445,13.576667,14.090278,12.244722,13.2,13.264167,0,0,4.1425,1.273056,0,0,0.545556,4.939167,0,0,0,0,0,0,0,0,G0
0.011234,0.724144,0,1.191666,1.217141,0,0.975672,0,0,0,0,0,0,0,0,420,2346,2390,1899,1749,2085,2494,1079,493,1592,1905,3556,3600,3600,3600,2398,252,2400,3373,3600,3600,3600,3572,2400,1795,1765,711,2595,3600,3528,3600,2127,0,0,0,2196,3299,1999,958,326,0,0,689,2144,373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5725,10.469722,11.356667,8.826389,8.115833,9.8025,11.66,4.721389,1.901389,7.059722,8.843611,17.168612,18.1875,17.884167,17.831944,12.156667,0.814167,10.818055,16.179722,17.861111,18.183056,17.408333,17.326389,12.590278,7.820556,7.611667,2.965556,12.092778,17.701944,16.895277,19,10.344444,0,0,0,9.843333,16.326389,9.814445,4.361945,1.274167,0,0,2.853611,9.959723,1.505556,0,0,0,0,0,0,0,0,0,0,0,G0
0.011063,0.508686,0,1.186488,1.220379,0,0.961907,0,0,0,0,0,0,0,0,0,1749,1497,93,0,0,0,0,0,342,2072,2839,1711,2106,2423,105,1409,2682,2401,3086,3600,3305,3600,1810,27,396,1229,3571,3600,3443,3600,2400,0,0,624,2885,3591,3590,3512,2400,0,0,1859,1780,576,191,97,518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.078333,6.875,0.330278,0,0,0,0,0,1.384444,9.719722,13.633333,8.189722,9.875,11.375278,0.3675,5.927778,12.660556,11.394722,14.996388,18.407223,15.467778,18.005556,8.352777,0.040833,1.404722,5.106111,17.670555,17.604445,17.565834,18.944445,12.666667,0,0,2.42,13.021111,17.805834,17.946945,18.07,12.662778,0,0,8.695833,8.313334,2.325833,0.568333,0.28,2.302222,0,0,0,0,0,0,0,0,G0
0.011482,0.530267,0,1.158527,1.233534,0,0.983986,0,0,0,0,0,0,0,0,0,1181,665,0,0,0,0,0,0,749,2520,2707,1189,2151,1876,55,1742,2678,2627,3169,3600,3542,3600,1337,0,248,1650,3600,3600,3600,3600,2400,0,11,728,2820,3600,3498,3478,2400,0,58,1793,1572,511,175,139,592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.420833,2.766944,0,0,0,0,0,0,3.221111,12.344722,13.623889,5.531389,10.059722,8.749722,0.152778,7.981667,12.811111,12.652778,16.26111,18.546667,17.282778,18.458611,6.482222,0,0.75,7.401111,18.056667,18.263889,18.974722,19,12.666667,0,0.011944,2.776944,12.804444,18.310556,18.170279,17.868055,12.666667,0,0.173056,8.496667,7.506945,2.181667,0.594444,0.429167,2.778333,0,0,0,0,0,0,0,0,G0
0.017025,0.362851,0,1.190305,0.904634,0,0,0,0,0,0,0,0,0,0,0,956,483,0,0,0,0,0,9,1306,2423,2587,1919,3050,1986,24,1527,2866,3051,3374,3600,3600,3600,1494,0,0,1357,3555,3600,3600,3600,2400,0,198,2405,3187,2882,2899,3235,2391,0,0,154,96,0,0,0,374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.707778,2.111389,0,0,0,0,0,0.010278,6.190834,11.919444,12.980833,9.114722,14.868889,9.663889,0.045833,7.305278,13.816944,15.466111,17.008333,18.278334,18.848333,19,7.411389,0,0,5.9725,18.025833,18.947222,19,19,12.716945,0,0.680278,11.4825,15.839167,14.483611,14.615278,16.440556,12.733611,0,0,0.369167,0.150833,0,0,0,1.703889,0,0,0,0,0,0,0,0,G0
