@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R1,2,3,4,5,6,7-11,22-weka.filters.unsupervised.attribute.Remove-R12_gesture-weka.filters.unsupervised.attribute.Remove-V-R3,194-199,328'

@attribute ratio numeric
@attribute convexHull1 numeric
@attribute convexHull2 numeric
@attribute convexHull3 numeric
@attribute convexHull4 numeric
@attribute convexHull5 numeric
@attribute convexHull6 numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data
1,0.142233,0,0,0,0,0,G3
0,0.009513,0.123307,0,0,0,0,G3
1,0.128014,0.008506,0,0,0,0,G3
1,0.008272,0.138489,0,0,0,0,G3
1,0.010841,0.152462,0,0,0,0,G3
1,0.007041,0.136775,0.010631,0,0,0,G3
1,0.132526,0,0,0,0,0,G3
0.00996,0.04308,0.358627,0.015719,0,0,0,G4
0.009741,0.173122,0.397162,0,0,0,0,G4
1,0.197645,0.386167,0,0,0,0,G4
1,0.179507,0.03626,0.01814,0.021025,0,0,G4
0.01593,0.177901,0.332878,0.015976,0,0,0,G4
0.026462,0.6086,0.019323,0.037715,0,0,0,G4
0.020799,0.173765,0.425073,0,0,0,0,G4
0.010248,0.136039,0.384642,0,0,0,0,G4
0.010268,0.031681,0.065111,0.85783,0,0,0,G4
0.010397,0.178761,0.287226,0.033448,0,0,0,G4
1,0.104233,0.097247,0.072158,0.013314,0,0,G5
0.020365,0.136918,0.119265,0.079905,0.028586,0,0,G5
0.020396,0.119061,0.115479,0.087429,0.042242,0,0,G5
0.020314,0.109824,0.121709,0.075418,0.041668,0,0,G5
0.019104,0.115569,0.121238,0.077003,0.015418,0,0,G5
1,0.10853,0.093604,0.065521,0.022649,0,0,G5
0.019072,0.110383,0.138416,0.063834,0,0,0,G5
1,0.070737,0.446364,0.014821,0,0,0,G5
0,5.070341,0,0,0,0,0,G5
1,0.081998,0.103293,0.081337,0,0,0,G5
0.014228,0.070129,0.089135,0.189076,0.06539,0,0,G6
1,0.029986,0.018855,0.111913,0.047883,0.020298,0,G6
0.014499,0.119303,0.045671,0.080207,0.054959,0.043483,0,G6
0.014726,0.115524,0.031475,0.083998,0.050002,0.045411,0,G6
0.015094,0.041306,0.057525,0.191123,0.10808,0.013384,0,G6
0.015183,0.101114,0.02695,0.120904,0.057596,0,0,G6
0.015188,0.036556,0.093036,0.103619,0.01634,0.034482,0,G6
0.014549,0.074672,0.076716,0.051683,0.0691,0,0,G6
0.014668,0.091073,0.088069,0.050481,0.060475,0,0,G6
0.01502,0.070088,0.117477,0.055,0,0,0,G6
0.010028,0.031267,0.144009,0.087523,0.01354,0,0,G7
0.009677,0.358552,0.016289,0,0,0,0,G7
0.009634,0.413768,0,0,0,0,0,G7
0.009664,0.027329,0.271192,0.021299,0,0,0,G7
0.010198,0.371095,0,0,0,0,0,G7
0.012656,0.291166,0,0,0,0,0,G7
0.009721,0.280769,0,0,0,0,0,G7
0.012008,0.257591,0,0,0,0,0,G7
0.009612,0.133667,0.122543,0.014845,0,0,0,G7
0.010206,0.296905,0.012863,0,0,0,0,G7
0.009102,0.222429,0.337619,0,0,0,0,G8
0.010508,0.028934,0.207811,0.316702,0,0,0,G8
0.009269,0.243237,0.342531,0.022581,0,0,0,G8
0.010403,0.016625,0.205132,0.3285,0,0,0,G8
0.008864,0.015723,0.220172,0.326151,0.010029,0,0,G8
0.010401,0.028643,0.147135,0.290536,0,0,0,G8
0.009289,0.270724,0.228417,0.018513,0,0,0,G8
0.010335,0.186615,0.273484,0.026332,0,0,0,G8
0.008903,0.220489,0.32962,0.015082,0,0,0,G8
0.008751,0.244527,0.324508,0.026338,0,0,0,G8
0.009334,0.014116,0.00849,0.011527,0.060772,0.22572,0,G9
0.007592,0.025507,0.02801,0.008478,0.05969,0.243613,0,G9
0.007429,0.012229,0.030493,0.033575,0.072689,0.216022,0.010329,G9
0.008589,0.014006,0.032132,0.020959,0.086645,0.230337,0,G9
1,0.030373,0.070626,0.232652,0,0,0,G9
0.008053,0.015546,0.031853,0.013586,0.077677,0.242484,0,G9
1,0.029577,0.014631,0.009591,0.072841,0.233483,0,G9
0.008228,0.029367,0.038814,0.025655,0.079549,0.255652,0,G9
0.008337,0.038125,0.025238,0.077669,0.23401,0,0,G9
0.008789,0.039314,0.031863,0.011758,0.070324,0.232123,0,G9
1,0.076449,0.014265,0.01532,0.018083,0,0,G1
1,0.011205,0.00807,0.008234,0.00853,0.014769,0.008183,G1
0,0.009885,0.067136,0,0,0,0,G1
1,0.008428,0.009388,0,0,0,0,G1
1,0.013081,0.007526,0,0,0,0,G1
1,0.013366,0.008601,0,0,0,0,G1
1,0.051608,0,0,0,0,0,G1
1,0.009241,0.008941,0.016333,0,0,0,G1
0,0.01023,0.013082,0.01621,0,0,0,G1
0,0.019969,0.022851,0,0,0,0,G1
0.01326,0.164475,0.109173,0.069325,0.05588,0.030002,0,G0
0.012111,0.025514,0.256983,0.170483,0.013567,0,0,G0
0.011576,0.03773,0.263549,0.178753,0.038489,0,0,G0
0.011578,0.028554,0.332258,0.25687,0.023468,0,0,G0
0.013132,0.27848,0.236559,0.035139,0.054283,0,0,G0
0.01185,0.202033,0.066552,0.098439,0.033651,0.021654,0,G0
0.011932,0.265951,0.055664,0.055333,0.015224,0,0,G0
0.011733,0.044456,0.137859,0.177048,0.050799,0,0,G0
0.012033,0.146374,0.16144,0.044402,0.110983,0,0,G0
0.013269,0.116217,0.100002,0.031494,0.029264,0.022617,0,G0
1,0.191896,0.035271,0.063466,0,0,0,G2
1,0.093627,0.081129,0.09519,0,0,0,G2
0,0.130343,0.09275,0.024386,0,0,0,G2
0,0.157551,0.018437,0.021503,0.02435,0,0,G2
1,0.202177,0.043812,0.042608,0,0,0,G2
1,0.264552,0.078377,0.049151,0,0,0,G2
0.019961,0.201498,0.024145,0.03959,0,0,0,G2
0.019659,0.207396,0.032946,0.032744,0,0,0,G2
0.019598,0.225402,0.034527,0.018057,0,0,0,G2
0.019374,0.193204,0.023063,0,0,0,0,G2
1,0.362511,0.040466,0.044002,0,0,0,G3
1,0.04739,0.161225,0.017697,0,0,0,G3
1,0.081076,0.171943,0,0,0,0,G3
1,0.278481,0.04211,0.014285,0,0,0,G3
1,0.162376,0.030766,0,0,0,0,G3
1,0.136771,0.018385,0.055545,0,0,0,G3
0.01554,0.045473,0.175649,0.021738,0,0,0,G3
1,0.295524,0.062932,0.020753,0,0,0,G3
1,0.326099,0.050809,0.047393,0,0,0,G3
1,0.277708,0.049497,0,0,0,0,G3
0.012328,0.187624,0.313626,0,0,0,0,G4
0.011536,0.315828,0.441565,0.019914,0,0,0,G4
0.011128,0.12425,0.038107,0,0,0,0,G4
0.016534,0.243723,0.379174,0,0,0,0,G4
0.017193,0.229489,0.382081,0.014109,0,0,0,G4
0.015802,0.28759,0.388533,0.019135,0,0,0,G4
0.015629,0.450546,0.059512,0,0,0,0,G4
0.015646,0.054465,0.064935,0,0,0,0,G4
0.012082,0.17268,0.341997,0.013312,0,0,0,G4
0.01208,0.173963,0.35331,0.015231,0,0,0,G4
0.0152,0.178502,0.127322,0.053489,0.042291,0,0,G5
0.015219,0.273926,0.114544,0,0,0,0,G5
0.014849,0.346889,0.091781,0.020297,0.031134,0,0,G5
0.011702,0.287862,0.069067,0.031923,0.026939,0,0,G5
0.015345,0.194741,0.292639,0.072473,0,0,0,G5
0.015076,0.240843,0.085476,0.034533,0,0,0,G5
0.015137,0.268772,0.10805,0.030145,0,0,0,G5
0.015417,0.258699,0.118764,0.024032,0.031292,0,0,G5
0.015915,0.353483,0.104612,0.034524,0.023862,0,0,G5
0.01531,0.231957,0.257721,0.056586,0.011333,0,0,G5
0.016703,0.200732,0.022984,0.030382,0,0,0,G6
0.018297,0.163212,0.061091,0.03954,0.042739,0,0,G6
0.014526,0.212399,0.066938,0.047002,0.025248,0,0,G6
0.015055,0.061421,0.081713,0.127919,0.061221,0.013918,0,G6
0.01664,0.04536,0.045552,0.037216,0.10506,0,0,G6
0.016096,0.019347,0.026219,0.032672,0.040462,0.083424,0,G6
0.016718,0.041604,0.063267,0.06801,0.03105,0,0,G6
0.016642,0.183878,0.020986,0.024984,0.024732,0,0,G6
0.016364,0.209993,0.025851,0.032864,0.03413,0.016959,0,G6
0.016364,0.202656,0.02496,0.025496,0,0,0,G6
0.009295,0.16331,0,0,0,0,0,G7
0.010929,0.508553,0,0,0,0,0,G7
0.010705,0.050458,0.18255,0.016333,0.013516,0,0,G7
0.010597,0.398094,0.021374,0.017597,0,0,0,G7
0.010411,0.251693,0.023606,0,0,0,0,G7
0.010765,0.014959,0.354227,0.014105,0,0,0,G7
0.01063,0.313479,0.01263,0,0,0,0,G7
0.012277,0.081478,0.1332,0.010917,0,0,0,G7
0.012637,0.245469,0.011919,0,0,0,0,G7
0.012722,0.050848,0.143677,0.01234,0.013085,0,0,G7
0.014992,0.246678,0.222402,0.028265,0,0,0,G8
0.014084,0.242876,0.2393,0,0,0,0,G8
0.010925,0.222227,0.230446,0,0,0,0,G8
0.011431,0.103436,0.109456,0.119377,0.068808,0,0,G8
0.011112,0.209819,0.204904,0.023921,0.171114,0,0,G8
0.011275,0.253194,0.249878,0.044192,0,0,0,G8
0.011513,0.243377,0.255284,0,0,0,0,G8
0.01142,0.268271,0.230638,0,0,0,0,G8
0.012065,0.257243,0.24663,0,0,0,0,G8
0.016023,0.225571,0.240727,0.014244,0,0,0,G8
0.009365,0.020919,0.086574,0.026492,0.035708,0.189228,0,G9
0.009064,0.023723,0.079758,0.030709,0.048061,0.188666,0,G9
0.00898,0.0483,0.057735,0.0178,0.046102,0.20144,0,G9
0.009104,0.055579,0.016049,0.037041,0.174139,0,0,G9
0.0092,0.015474,0.050178,0.015524,0.03718,0.165274,0,G9
0.0099,0.054779,0.03007,0.040309,0.179259,0,0,G9
0.009947,0.035701,0.024252,0.049366,0.176145,0,0,G9
0.010154,0.26165,0.021481,0.081624,0.022127,0,0,G9
0.010568,0.04131,0.010875,0.010552,0.050836,0.197928,0,G9
0.009201,0.068093,0.025069,0.046699,0.205005,0,0,G9
0,0.030344,0.007242,0.018092,0.035337,0,0,G1
1,0.225698,0,0,0,0,0,G1
0.084103,0.050056,0.013659,0.026212,0.059988,0,0,G1
0,0.018093,0.009113,0.007397,0,0,0,G1
0,0.037897,0.007579,0.009695,0.007471,0,0,G1
0,0.036547,0,0,0,0,0,G1
1,0.031532,0.006874,0.009999,0.010648,0,0,G1
0,0.031851,0.007853,0.019298,0.022994,0,0,G1
0,0.028027,0.007977,0,0,0,0,G1
0,0.021579,0.052894,0.01655,0.043574,0,0,G1
0.012041,0.130236,0.130048,0.108012,0.019669,0.063251,0.021375,G0
0.013015,0.269009,0.230152,0.038987,0.00989,0.014856,0,G0
0.013016,0.070977,0.132543,0.107633,0.11206,0.014769,0,G0
0.02434,0.222103,0.115615,0.074071,0.060646,0.021622,0,G0
0.012943,0.182223,0.174514,0.097193,0.084134,0.021535,0.024318,G0
0.01283,0.055713,0.178959,0.109747,0.069566,0.037024,0,G0
0.013519,0.064143,0.132245,0.089737,0.098155,0,0,G0
0.023369,0.180066,0.14317,0.065606,0.010316,0,0,G0
0.012594,0.015254,0.199252,0.12996,0.073515,0.012099,0,G0
0.012185,0.206943,0.132472,0.086241,0.089626,0.016479,0,G0
1,0.167888,0.023389,0.02683,0.034366,0,0,G2
0,0.141228,0.036643,0.034032,0,0,0,G2
0,0.019387,0.129898,0.018864,0.054785,0.030789,0.033935,G2
0,0.020189,0.013345,0.213797,0.070785,0.019737,0.023409,G2
1,0.226951,0.150699,0.074967,0,0,0,G2
1,0.072996,0.013963,0.026736,0.008356,0,0,G2
1,0.064392,0.132221,0.053578,0.015952,0.022346,0.088593,G2
0,0.01886,0.167222,0.040002,0.029738,0.019226,0,G2
1,0.055374,0.112738,0.042524,0.019886,0.016475,0,G2
1,0.158383,0.036067,0.045255,0.024605,0.017955,0,G2
0.021951,0.024271,0.127796,0.055877,0.056244,0.01778,0,G3
0,0.015537,0.152225,0.021145,0,0,0,G3
0.016166,0.0153,0.12703,0,0,0,0,G3
1,0.1817,0.018839,0,0,0,0,G3
1,0.012588,0.176239,0.012811,0.026737,0,0,G3
1,0.176878,0.02328,0.016406,0,0,0,G3
1,0.185077,0,0,0,0,0,G3
1,0.1178,0.039075,0.030919,0.090615,0,0,G3
1,0.045904,0.155099,0,0,0,0,G3
1,0.012876,0.115897,0.058483,0.020434,0,0,G3
0.012878,0.232131,0.352659,0.034741,0,0,0,G4
0.01306,0.205526,0.323599,0.039051,0,0,0,G4
0.01925,0.19207,0.312287,0.030417,0,0,0,G4
0.012842,0.220395,0.358957,0.037263,0,0,0,G4
1,0.178893,0.328311,0.033604,0,0,0,G4
0.012948,0.221476,0.338445,0.034928,0,0,0,G4
1,0.251097,0.37343,0.048114,0,0,0,G4
0.022598,0.212227,0.362233,0.021786,0,0,0,G4
0.012736,0.242189,0.365885,0.021891,0,0,0,G4
0.024596,0.226665,0.361539,0.022286,0,0,0,G4
0.038341,0.02084,0.115725,0.128338,0.140512,0,0,G5
0.012941,0.186098,0.248852,0.108744,0.051951,0.018833,0,G5
0.013449,0.202524,0.1165,0.115255,0,0,0,G5
0.019839,0.100703,0.121804,0.110525,0.06263,0,0,G5
0.012127,0.090734,0.093063,0.103253,0.015029,0.13499,0,G5
0.019658,0.178245,0.401589,0.018363,0.023874,0,0,G5
0.018716,0.129645,0.220488,0.12748,0.010969,0,0,G5
0.018838,0.244332,0.150262,0.101273,0.01804,0,0,G5
0.018583,0.273997,0.382927,0.062235,0,0,0,G5
0.039843,0.220513,0.110127,0.092327,0.023254,0.015893,0,G5
0.013051,0.098096,0.102584,0.131785,0.091713,0.019923,0,G6
0.012564,0.067002,0.094637,0.131187,0.100562,0.025454,0,G6
0.01325,0.060842,0.100826,0.17,0.120728,0.016169,0,G6
0.009914,0.052269,0.127187,0.127487,0.105186,0.042024,0,G6
0.013093,0.081202,0.200116,0.179534,0.089573,0.011799,0,G6
0.013391,0.194203,0.070613,0.094744,0.054558,0.01376,0,G6
0.010097,0.212991,0.058014,0.078351,0.043745,0.049891,0,G6
0.012,0.051509,0.225764,0.218299,0.046715,0,0,G6
0.012938,0.212093,0.099485,0.116878,0.087781,0,0,G6
0.013074,0.242192,0.082867,0.101415,0.081111,0,0,G6
0.010995,0.253093,0.042968,0,0,0,0,G7
0.018794,0.397763,0.029073,0.022879,0,0,0,G7
1,0.012133,0.524674,0.037701,0.014353,0,0,G7
0.011389,0.013795,0.388551,0.038752,0.016731,0,0,G7
0.011811,0.014771,0.408378,0.025176,0.014785,0,0,G7
0.013733,0.010544,0.352792,0.029116,0.010145,0,0,G7
0.011211,0.037337,0.316162,0.057184,0,0,0,G7
0.025956,0.357802,0.029901,0.011434,0,0,0,G7
0.027612,0.368849,0.029531,0,0,0,0,G7
0.015468,0.049757,0.301934,0.016906,0,0,0,G7
0.014554,0.010846,0.218009,0.191868,0.035291,0,0,G8
0.016555,0.013327,0.288239,0.187879,0.018962,0,0,G8
0.013906,0.01046,0.197846,0.171332,0.019482,0,0,G8
0.040954,0.01828,0.204539,0.147973,0.034418,0.029507,0,G8
0.0143,0.175761,0.165676,0.030376,0,0,0,G8
0.0143,0.187944,0.180851,0.029462,0,0,0,G8
0.013716,0.022086,0.257809,0.176917,0.019025,0,0,G8
0.013726,0.243742,0.192231,0.041914,0,0,0,G8
0.014045,0.219424,0.157041,0.02678,0.033152,0,0,G8
0.01463,0.012865,0.173306,0.159432,0.017624,0,0,G8
0.009553,0.013161,0.137239,0.009719,0.047625,0.198695,0.01692,G9
0.010038,0.22523,0.076897,0.174773,0.01267,0.018459,0,G9
0.010154,0.139096,0.037241,0.070228,0.228139,0.023641,0,G9
0.01013,0.010602,0.119231,0.019454,0.046476,0.199129,0.01771,G9
0.010769,0.134174,0.034642,0.061634,0.205313,0.019227,0,G9
0.010833,0.136142,0.029969,0.053313,0.195566,0.017813,0,G9
0.009926,0.139852,0.02741,0.062625,0.20759,0.016394,0.016149,G9
0.009939,0.160192,0.03371,0.051134,0.179099,0.012585,0.017329,G9
0.010001,0.176216,0.032951,0.037524,0.148013,0.016588,0,G9
0.009463,0.026919,0.168452,0.031637,0.040996,0.168224,0,G9
1,0.008742,0.014251,0.012474,0.012174,0,0,G1
1,0.010133,0.017007,0,0,0,0,G1
1,0.013767,0.009589,0.018356,0.020201,0,0,G1
1,0.015782,0.03089,0.007895,0,0,0,G1
1,0.009689,0.014956,0.021479,0,0,0,G1
1,0.008356,0.027926,0.02292,0,0,0,G1
0,0.029401,0.024468,0,0,0,0,G1
0,0.032516,0,0,0,0,0,G1
0,0.009264,0.009988,0.011595,0,0,0,G1
1,0.012248,0.008294,0.007095,0.006742,0,0,G1
0.009691,0.040967,0.267854,0.098633,0.048811,0,0,G0
0.010008,0.278256,0.138829,0.024037,0.030627,0,0,G0
0.009704,0.035864,0.278645,0.122273,0.043159,0,0,G0
0.0098,0.316337,0.145257,0.0171,0.032628,0,0,G0
0.009855,0.038707,0.292221,0.11503,0.03834,0,0,G0
0.009939,0.037729,0.28737,0.112111,0.022418,0,0,G0
0.010025,0.010153,0.020907,0.016221,0,0,0,G0
0.010064,0.013298,0.020774,0.01771,0.0402,0.011001,0,G0
0.011507,0.024153,0.020955,0.014705,0.030965,0,0,G0
0.009828,0.030598,0.258903,0.100302,0.057631,0,0,G0
1,0.018569,0.071678,0.020786,0.017987,0,0,G2
1,0.140894,0.125338,0,0,0,0,G2
1,0.129164,0.12779,0.029446,0,0,0,G2
1,0.1406,0.087538,0,0,0,0,G2
1,0.162,0.114211,0.011574,0.049441,0,0,G2
1,0.103809,0.133311,0.019432,0,0,0,G2
1,0.149314,0.151135,0.015437,0.052946,0,0,G2
1,0.012907,0.077361,0.110894,0.058243,0.009928,0,G2
1,0.167769,0.074717,0,0,0,0,G2
1,0.012433,0.134572,0.110692,0.023881,0,0,G2
1,0.010881,0.156986,0,0,0,0,G3
0.027471,0.027166,0.183549,0,0,0,0,G3
0.027034,0.030175,0.172338,0,0,0,0,G3
0.027406,0.028436,0.182982,0,0,0,0,G3
1,0.01147,0.010243,0.16252,0.016924,0,0,G3
1,0.014385,0.163219,0,0,0,0,G3
1,0.177307,0,0,0,0,0,G3
0.032967,0.159503,0.010071,0,0,0,0,G3
1,0.009102,0.157689,0,0,0,0,G3
1,0.016446,0.167383,0,0,0,0,G3
0.017313,0.1573,0.285353,0,0,0,0,G4
0.012781,0.032,0.214876,0,0,0,0,G4
0.011889,0.166258,0.292168,0.033218,0,0,0,G4
0.016734,0.156492,0.293147,0.045469,0,0,0,G4
0.01771,0.185808,0.305327,0.011728,0.014261,0,0,G4
0.017813,0.186438,0.295783,0,0,0,0,G4
0.017429,0.192655,0.29649,0,0,0,0,G4
0.017021,0.173809,0.308814,0.022174,0,0,0,G4
0.017078,0.189166,0.317006,0.014971,0,0,0,G4
0.011987,0.167021,0.27834,0.012753,0,0,0,G4
0.019279,0.143564,0.204107,0.056069,0.020034,0.013307,0,G5
0.019031,0.142247,0.183808,0.043198,0.02266,0,0,G5
0.018852,0.139944,0.178876,0.033257,0.01347,0,0,G5
0.018789,0.140996,0.172593,0.062085,0.028675,0,0,G5
0.019128,0.144732,0.183262,0.031079,0,0,0,G5
0.018975,0.12506,0.200659,0.026049,0,0,0,G5
0.018805,0.169019,0.218115,0.065598,0.023722,0.012479,0,G5
0.018422,0.105003,0.130182,0.080455,0.012551,0.041911,0,G5
0.019224,0.137652,0.168731,0.080121,0.021582,0,0,G5
0.018755,0.118107,0.159193,0.052743,0.011547,0.024244,0,G5
0.015212,0.014306,0.00727,0.017259,0.009271,0,0,G6
0.015099,0.023089,0.061029,0.086183,0.035217,0.011999,0,G6
0.015395,0.027329,0.079928,0.085055,0.014398,0,0,G6
0.015289,0.024464,0.07039,0.076937,0.021663,0,0,G6
0.015566,0.025556,0.07714,0.095921,0.025799,0,0,G6
0.015577,0.021666,0.067919,0.105911,0.037902,0,0,G6
0.015452,0.02376,0.070114,0.090482,0.039695,0.011587,0,G6
0.015818,0.021494,0.026509,0.089368,0.072428,0.043881,0,G6
0.01405,0.019044,0.08842,0.068248,0.035666,0.013273,0,G6
0.014772,0.01849,0.060975,0.07506,0.043259,0.020492,0,G6
0.011602,0.333564,0.017946,0,0,0,0,G7
0.010613,0.360163,0.019022,0,0,0,0,G7
0.010653,0.350475,0.021205,0,0,0,0,G7
0.010793,0.39436,0.020986,0.0208,0,0,0,G7
0.010667,0.346529,0.019163,0,0,0,0,G7
0.010679,0.339114,0.019456,0,0,0,0,G7
0.010435,0.013156,0.299197,0,0,0,0,G7
0.010907,0.284505,0.012597,0.018402,0,0,0,G7
0.012078,0.01689,0.198653,0,0,0,0,G7
0.012448,0.042226,0.27147,0,0,0,0,G7
0.009312,0.089022,0.315598,0.165117,0,0,0,G8
0.009687,0.099041,0.27817,0.184306,0,0,0,G8
0.010678,0.110536,0.297602,0.194724,0,0,0,G8
0.010698,0.075546,0.30795,0.175899,0,0,0,G8
0.009731,0.182383,0.254563,0.172191,0,0,0,G8
0.009711,0.386661,0.235608,0.066127,0,0,0,G8
0.009788,0.074971,0.296293,0.167904,0,0,0,G8
0.009503,0.16557,0.251924,0.15061,0,0,0,G8
0.009626,0.195677,0.262108,0.155446,0.01522,0,0,G8
0.010783,0.12437,0.167684,0.134787,0,0,0,G8
0.008834,0.099049,0.065294,0.065929,0.210775,0.01801,0,G9
0.0082,0.019609,0.087381,0.063608,0.052805,0.23426,0,G9
0.007958,0.017588,0.088195,0.055672,0.061574,0.222646,0,G9
0.008063,0.015983,0.096318,0.064766,0.064793,0.225544,0,G9
0.008047,0.01837,0.092989,0.060341,0.067133,0.2132,0,G9
0.008023,0.11672,0.086727,0.056634,0.055472,0.186371,0.008467,G9
0.008293,0.078045,0.104296,0.061788,0.065277,0.202433,0,G9
0.008237,0.027904,0.088173,0.067754,0.074295,0.209601,0,G9
0.008358,0.026304,0.090727,0.057538,0.066643,0.209537,0,G9
0.008271,0.088396,0.056756,0.079307,0.212229,0.018605,0,G9
0,0,0,0,0,0,0,G1
0,0.027044,0,0,0,0,0,G1
0,0.125797,0,0,0,0,0,G1
0,0.013007,0,0,0,0,0,G1
0,0.01515,0.009792,0.019429,0.007715,0,0,G1
0,0.094387,0,0,0,0,0,G1
0,0.019609,0.032648,0.034393,0,0,0,G1
0,0.012297,0.032241,0.011854,0.010471,0,0,G1
0,0.010146,0.014416,0,0,0,0,G1
0,0.007194,0,0,0,0,0,G1
0.012631,0.136351,0.062814,0.043104,0.056462,0,0,G0
0.012653,0.031426,0.178598,0.069926,0.024723,0,0,G0
0.012625,0.128981,0.09435,0.061463,0.091053,0,0,G0
0.012654,0.219082,0.030869,0.037739,0,0,0,G0
0.01246,0.041381,0.224897,0.085216,0.016619,0.012913,0,G0
0.026022,0.111625,0.070762,0.062042,0.067281,0,0,G0
0.012846,0.053486,0.113349,0.083748,0.075548,0.018248,0,G0
0.012614,0.255343,0.13893,0.026482,0.025138,0.037233,0,G0
0.01251,0.031585,0.190256,0.049772,0,0,0,G0
0.012624,0.190678,0.052354,0.029152,0,0,0,G0
1,0.094148,0.035645,0.014065,0,0,0,G2
0,0.099466,0.013204,0.023124,0,0,0,G2
1,0.051495,0.084088,0.082984,0.018533,0,0,G2
1,0.013038,0.107693,0.05502,0.014599,0,0,G2
1,0.138008,0,0,0,0,0,G2
1,0.100592,0.040567,0,0,0,0,G2
1,0.08427,0.025225,0,0,0,0,G2
1,0.010621,0.010672,0.066225,0.044338,0.144874,0,G2
1,0.130671,0.012724,0,0,0,0,G2
1,0.113012,0.01452,0.017206,0,0,0,G2
0,0.112522,0.092622,0.011309,0.040463,0,0,G3
0.016718,0.064325,0.128489,0.014495,0,0,0,G3
0,0.053513,0.114008,0.012759,0,0,0,G3
0,0.066603,0.138649,0.037047,0,0,0,G3
1,0.072309,0.138553,0.010712,0,0,0,G3
0,0.008547,0.013272,0.094677,0.057621,0,0,G3
1,0.032278,0.116287,0.009514,0,0,0,G3
1,0.024218,0.121667,0.007981,0.012389,0,0,G3
1,0.077051,0.048097,0.056013,0,0,0,G3
0,0.190004,0.049045,0.045376,0,0,0,G3
1,0.102657,0.178514,0.018068,0,0,0,G4
0.014298,0.144293,0.161995,0,0,0,0,G4
0.017128,0.151453,0.119201,0.053986,0.012018,0,0,G4
0.013906,0.11902,0.033707,0.049213,0.058078,0.020555,0,G4
0.016069,0.161138,0.108612,0.058514,0.010783,0,0,G4
0.013521,0.154902,0.188724,0.012651,0,0,0,G4
0.011151,0.172239,0.214181,0.014331,0,0,0,G4
0.012976,0.183176,0.163221,0,0,0,0,G4
0.013781,0.182854,0.060253,0.143885,0.032528,0.022033,0,G4
1,0.057997,0.012679,0.067427,0.054251,0.022727,0,G4
0.024069,0.027751,0.062058,0.030732,0.017002,0,0,G5
0.021582,0.117187,0.112384,0.020471,0.026454,0,0,G5
0.020918,0.122125,0.098752,0.034945,0,0,0,G5
0,0.104912,0.07854,0.028916,0,0,0,G5
0.02335,0.094057,0.073159,0.024674,0.01992,0.013522,0,G5
0.023011,0.099841,0.095066,0.018675,0.017168,0,0,G5
0.023433,0.100224,0.083173,0.011556,0.015281,0,0,G5
0.03708,0.054493,0.04101,0.028741,0.030832,0,0,G5
0,0.040868,0.017488,0.029006,0.019093,0.019922,0.027524,G5
0,0.109202,0.110068,0.015879,0.02395,0,0,G5
0.029199,0.285507,0.24379,0,0,0,0,G6
