@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R1,2,3,4,5,12'

@attribute numFingers numeric
@attribute fingersExtended numeric
@attribute ratio numeric
@attribute Max_X numeric
@attribute Max_Y numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data
4,11001,0.016023,2.231167,2.391885,G8
5,11111,0.009365,0.912641,1.349664,G9
5,11111,0.009064,0.795213,1.367724,G9
5,11111,0.00898,0.66777,1.302834,G9
5,11111,0.009104,0.777736,1.302651,G9
5,11111,0.0092,0.782084,1.310955,G9
5,11111,0.0099,0.792103,1.300923,G9
5,11111,0.009947,0.642047,1.339228,G9
3,11111,0.010154,-0.196212,1.136419,G9
3,11111,0.010568,0.671083,1.357636,G9
5,11111,0.009201,0.730756,1.307832,G9
0,0,0,0,0,G1
1,0,1,0.734957,-0.436434,G1
2,0,0.084103,0.581342,-0.577997,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
1,0,1,-0.667931,0.62587,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
4,1101,0.012041,0.861251,1.653102,G0
3,1101,0.013015,0.461436,1.011152,G0
3,1101,0.013016,0.41388,1.065574,G0
5,1101,0.02434,1.781367,3.374366,G0
3,1101,0.012943,0.36219,0.929811,G0
3,1101,0.01283,0.457707,0.937605,G0
3,1101,0.013519,0.568438,0.962773,G0
2,1101,0.023369,-0.014742,0.848819,G0
4,1101,0.012594,0.961435,1.621572,G0
4,1101,0.012185,0.910031,1.746894,G0
1,1000,1,-0.303567,0.691537,G2
0,1000,0,0,0,G2
0,1000,0,0,0,G2
0,1000,0,0,0,G2
1,1000,1,-0.315823,0.645461,G2
1,1000,1,-0.111525,0.73004,G2
1,1000,1,-0.210051,0.817998,G2
0,1000,0,0,0,G2
1,1000,1,-0.267906,0.715518,G2
1,1000,1,-0.291259,0.765787,G2
2,1,0.021951,0.488662,2.687721,G3
0,1,0,0,0,G3
2,1,0.016166,0.822483,1.57313,G3
1,1,1,0.211315,0.854765,G3
1,1,1,0.257286,0.895916,G3
1,1,1,0.294008,0.85043,G3
1,1,1,0.213918,0.866428,G3
1,1,1,0.220521,0.823966,G3
1,1,1,0.164169,0.803636,G3
1,1,1,0.15234,0.808144,G3
2,11000,0.012878,-0.174105,1.103987,G4
2,11000,0.01306,-0.122953,1.115498,G4
3,11000,0.01925,0.18846,1.460319,G4
2,11000,0.012842,-0.164602,1.124563,G4
1,11000,1,-0.94572,0.261743,G4
2,11000,0.012948,-0.150126,1.15236,G4
1,11000,1,-0.98293,0.149529,G4
3,11000,0.022598,-0.008154,2.584348,G4
2,11000,0.012736,-0.180848,1.120862,G4
3,11000,0.024596,1.36589,3.074546,G4
3,1100,0.038341,-0.063246,1.608927,G5
3,1100,0.012941,0.972259,1.275522,G5
3,1100,0.013449,0.856262,1.844815,G5
2,1100,0.019839,-0.077521,0.717603,G5
3,1100,0.012127,1.139007,1.570754,G5
2,1100,0.019658,-0.078388,0.701412,G5
2,1100,0.018716,0.136451,0.731091,G5
2,1100,0.018838,0.192035,0.831773,G5
2,1100,0.018583,0.017633,0.82368,G5
3,1100,0.039843,-0.183645,1.71031,G5
3,1110,0.013051,0.15807,0.829726,G6
3,1110,0.012564,0.699618,1.753694,G6
3,1110,0.01325,0.125004,0.876376,G6
4,1110,0.009914,0.641382,1.39442,G6
3,1110,0.013093,0.070663,0.7709,G6
3,1110,0.013391,-0.009252,0.785042,G6
4,1110,0.010097,0.667561,1.313331,G6
4,1110,0.012,1.009683,0.913673,G6
3,1110,0.012938,0.356224,0.865698,G6
3,1110,0.013074,0.24501,0.913107,G6
2,10001,0.010995,0.13836,0.783446,G7
2,10001,0.018794,-0.164355,0.71422,G7
1,10001,1,-0.624042,0.682302,G7
3,10001,0.011389,0.329231,0.982685,G7
3,10001,0.011811,0.38034,0.829572,G7
4,10001,0.013733,0.793739,1.705116,G7
2,10001,0.011211,0.29787,1.017446,G7
4,10001,0.025956,3.005895,-4.037921,G7
4,10001,0.027612,1.964791,3.744629,G7
3,10001,0.015468,2.029247,2.149701,G7
3,11001,0.014554,0.470137,1.070538,G8
2,11001,0.016555,-0.328652,1.079445,G8
3,11001,0.013906,0.308704,1.041452,G8
4,11001,0.040954,4.830279,-5.929143,G8
3,11001,0.0143,0.317377,1.018776,G8
3,11001,0.0143,0.478468,1.080394,G8
3,11001,0.013716,0.378964,1.171522,G8
3,11001,0.013726,0.325927,1.207806,G8
3,11001,0.014045,0.254995,1.092935,G8
3,11001,0.01463,0.253362,1.049074,G8
5,11111,0.009553,0.985754,1.059274,G9
5,11111,0.010038,0.842018,0.910056,G9
5,11111,0.010154,1.16038,1.12397,G9
4,11111,0.01013,1.081631,1.244326,G9
4,11111,0.010769,0.925269,0.988158,G9
4,11111,0.010833,0.821203,0.742008,G9
5,11111,0.009926,0.964381,0.971874,G9
5,11111,0.009939,0.810025,0.942821,G9
5,11111,0.010001,0.666753,0.964272,G9
5,11111,0.009463,0.702865,1.080709,G9
1,0,1,-0.728452,0.513998,G1
1,0,1,-0.672955,0.584972,G1
1,0,1,-0.720727,0.537501,G1
1,0,1,-0.701598,0.532832,G1
1,0,1,-0.693084,0.469594,G1
1,0,1,-0.762485,0.47517,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
1,0,1,-0.698562,0.527928,G1
3,1101,0.009691,0.726182,1.074775,G0
3,1101,0.010008,0.792688,1.182609,G0
3,1101,0.009704,0.809091,1.164044,G0
3,1101,0.0098,0.838553,1.075516,G0
3,1101,0.009855,0.655823,1.051815,G0
3,1101,0.009939,0.86205,1.089669,G0
3,1101,0.010025,0.956434,1.02905,G0
3,1101,0.010064,0.955239,0.944636,G0
4,1101,0.011507,1.007363,1.118087,G0
3,1101,0.009828,0.734132,1.070149,G0
1,1000,1,-0.357227,0.413412,G2
1,1000,1,-0.078084,0.81329,G2
1,1000,1,-0.18588,0.787667,G2
1,1000,1,-0.085474,0.800882,G2
1,1000,1,-0.179387,0.713245,G2
1,1000,1,-0.199327,0.855622,G2
1,1000,1,-0.255902,0.608424,G2
1,1000,1,-0.244464,0.461732,G2
1,1000,1,-0.125303,0.601262,G2
1,1000,1,-0.239968,0.602885,G2
1,1,1,0.443697,0.555626,G3
2,1,0.027471,0.86226,0.653779,G3
2,1,0.027034,0.750588,0.592454,G3
2,1,0.027406,0.893559,0.828634,G3
1,1,1,0.517816,0.639066,G3
1,1,1,0.492226,0.655908,G3
1,1,1,0.483866,0.707425,G3
2,1,0.032967,0.967046,0.872807,G3
1,1,1,0.502763,0.467815,G3
1,1,1,0.51584,0.433847,G3
3,11000,0.017313,0.00827,1.100329,G4
2,11000,0.012781,-0.44694,0.466721,G4
2,11000,0.011889,-0.455291,0.861769,G4
3,11000,0.016734,-0.073055,1.135414,G4
3,11000,0.01771,0.004683,1.254171,G4
3,11000,0.017813,0.010504,1.342452,G4
3,11000,0.017429,0.036607,1.219558,G4
3,11000,0.017021,-0.058973,1.180501,G4
3,11000,0.017078,-0.015395,1.10555,G4
2,11000,0.011987,-0.220726,0.979685,G4
2,1100,0.019279,0.189658,0.558474,G5
2,1100,0.019031,0.319402,0.773781,G5
2,1100,0.018852,0.259142,0.804876,G5
2,1100,0.018789,0.100846,0.767767,G5
2,1100,0.019128,0.283289,0.794308,G5
2,1100,0.018975,0.220504,0.705901,G5
2,1100,0.018805,0.07513,0.703821,G5
2,1100,0.018422,-0.022152,0.783468,G5
2,1100,0.019224,0.04532,0.700131,G5
2,1100,0.018755,0.025468,0.636403,G5
3,1110,0.015212,0.322959,0.972516,G6
3,1110,0.015099,0.248405,1.014125,G6
3,1110,0.015395,0.340859,1.031472,G6
3,1110,0.015289,0.420885,1.009359,G6
3,1110,0.015566,0.329623,0.88497,G6
3,1110,0.015577,0.270949,0.826688,G6
3,1110,0.015452,0.288639,0.853461,G6
3,1110,0.015818,0.044501,0.861331,G6
3,1110,0.01405,0.239615,1.035168,G6
3,1110,0.014772,0.244437,1.004307,G6
2,10001,0.011602,1.347333,1.206629,G7
2,10001,0.010613,1.202937,1.044722,G7
2,10001,0.010653,1.145428,1.029672,G7
2,10001,0.010793,1.153348,0.965388,G7
2,10001,0.010667,1.182747,0.962683,G7
2,10001,0.010679,1.150035,1.056092,G7
2,10001,0.010435,0.951274,1.032187,G7
2,10001,0.010907,0.945516,0.979077,G7
2,10001,0.012078,0.999471,0.773504,G7
2,10001,0.012448,1.297328,0.795194,G7
3,11001,0.009312,0.544992,1.059212,G8
3,11001,0.009687,0.811194,1.076568,G8
4,11001,0.010678,0.873147,0.919678,G8
4,11001,0.010698,0.921665,1.107732,G8
3,11001,0.009731,0.690302,0.837593,G8
3,11001,0.009711,0.828407,0.942505,G8
3,11001,0.009788,0.923193,1.022956,G8
3,11001,0.009503,0.495076,0.890381,G8
3,11001,0.009626,0.376799,0.721406,G8
4,11001,0.010783,0.352291,0.659854,G8
5,11111,0.008834,1.282685,1.085027,G9
5,11111,0.0082,1.095357,1.343303,G9
5,11111,0.007958,1.047545,1.26462,G9
5,11111,0.008063,1.152834,1.095991,G9
5,11111,0.008047,0.9195,1.082165,G9
5,11111,0.008023,0.735712,0.949379,G9
5,11111,0.008293,0.897672,0.787352,G9
5,11111,0.008237,1.009016,1.035568,G9
5,11111,0.008358,1.13926,1.116737,G9
5,11111,0.008271,1.177129,1.061109,G9
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
3,1101,0.012631,0.493973,1.002696,G0
3,1101,0.012653,0.707169,1.083003,G0
3,1101,0.012625,0.405435,0.902968,G0
3,1101,0.012654,0.807531,0.954368,G0
3,1101,0.01246,0.639225,0.95313,G0
2,1101,0.026022,-0.38578,0.637863,G0
3,1101,0.012846,0.334742,0.725178,G0
3,1101,0.012614,0.587771,0.656027,G0
3,1101,0.01251,0.771776,0.975539,G0
3,1101,0.012624,0.809268,0.942541,G0
1,1000,1,-0.446635,0.705502,G2
0,1000,0,0,0,G2
1,1000,1,-0.63726,0.535409,G2
1,1000,1,-0.562339,0.593751,G2
1,1000,1,-0.023712,0.731584,G2
1,1000,1,-0.295672,0.700807,G2
1,1000,1,-0.329493,0.490158,G2
1,1000,1,-0.377284,0.443086,G2
1,1000,1,-0.260873,0.698579,G2
1,1000,1,-0.251762,0.734569,G2
0,1,0,0,0,G3
2,1,0.016718,1.007043,0.84771,G3
0,1,0,0,0,G3
0,1,0,0,0,G3
1,1,1,0.398717,0.625731,G3
0,1,0,0,0,G3
1,1,1,0.496599,0.788017,G3
1,1,1,0.473024,0.777787,G3
1,1,1,0.490308,0.871298,G3
0,1,0,0,0,G3
1,11000,1,-0.49783,0.404073,G4
2,11000,0.014298,0.265145,1.207832,G4
2,11000,0.017128,0.150528,0.849024,G4
2,11000,0.013906,0.479933,0.793335,G4
2,11000,0.016069,0.540778,0.450618,G4
2,11000,0.013521,0.402733,0.679362,G4
2,11000,0.011151,-0.211578,0.869945,G4
2,11000,0.012976,0.20852,0.954483,G4
2,11000,0.013781,0.6976,0.678877,G4
1,11000,1,0.446533,0.420077,G4
2,1100,0.024069,0.317808,0.572572,G5
2,1100,0.021582,0.21086,0.785725,G5
2,1100,0.020918,0.354287,1.157577,G5
0,1100,0,0,0,G5
2,1100,0.02335,0.01223,0.734557,G5
2,1100,0.023011,0.229529,0.676725,G5
2,1100,0.023433,0.26645,0.711991,G5
3,1100,0.03708,0.800136,1.109469,G5
0,1100,0,0,0,G5
0,1100,0,0,0,G5
2,1110,0.029199,-0.043368,0.636413,G6
3,1110,0.019888,0.511672,0.889369,G6
1,1110,1,-0.489108,0.570999,G6
3,1110,0.019445,0.481586,0.950306,G6
3,1110,0.019722,0.43352,0.825631,G6
2,1110,0.024261,0.508264,0.909745,G6
3,1110,0.021595,0.622914,0.966036,G6
1,1110,1,0.004846,0.791876,G6
1,1110,1,-0.563037,0.54199,G6
3,1110,0.020074,0.184303,0.889428,G6
2,10001,0.016136,1.172664,0.473931,G7
2,10001,0.012156,1.219794,1.121157,G7
0,10001,0,0,0,G7
1,10001,1,-0.152401,0.136272,G7
2,10001,0.010072,1.045063,0.33766,G7
2,10001,0.010905,1.187844,0.367019,G7
0,10001,0,0,0,G7
2,10001,0.010467,1.172019,0.706372,G7
2,10001,0.010653,1.116929,0.576606,G7
2,10001,0.01051,1.323805,0.52991,G7
3,11001,0.010541,0.89502,0.971917,G8
3,11001,0.011822,0.857352,1.302132,G8
2,11001,0.015422,-0.245824,0.975185,G8
2,11001,0.017883,-0.206555,0.721539,G8
3,11001,0.011711,0.644384,0.877267,G8
3,11001,0.011191,0.731228,0.768287,G8
3,11001,0.011619,1.015224,0.791049,G8
2,11001,0.015418,0.221916,0.705051,G8
3,11001,0.010716,0.887352,0.935331,G8
3,11001,0.011375,1.033524,1.031711,G8
5,11111,0.009301,1.074907,0.908757,G9
5,11111,0.010669,1.392195,1.385827,G9
5,11111,0.009081,0.94556,0.861541,G9
5,11111,0.009167,0.939469,1.090867,G9
5,11111,0.009374,0.943199,0.798409,G9
4,11111,0.010555,0.896367,0.941229,G9
5,11111,0.009925,0.667916,1.119402,G9
5,11111,0.009157,0.58002,1.052011,G9
5,11111,0.009493,1.052728,0.948001,G9
5,11111,0.009193,0.936526,0.877846,G9
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
1,0,1,0.556589,-0.371725,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
3,1101,0.011755,0.598957,1.025194,G0
3,1101,0.012031,0.553095,1.148941,G0
3,1101,0.012075,0.616175,1.146282,G0
3,1101,0.011871,0.612207,1.153117,G0
3,1101,0.012626,0.463449,1.17592,G0
3,1101,0.011668,0.705224,1.15498,G0
3,1101,0.011908,0.483673,1.150069,G0
3,1101,0.012328,0.628469,1.096475,G0
3,1101,0.012007,0.528844,1.04504,G0
3,1101,0.011619,0.721161,1.052926,G0
0,1000,0,0,0,G2
0,1000,0,0,0,G2
0,1000,0,0,0,G2
0,1000,0,0,0,G2
0,1000,0,0,0,G2
0,1000,0,0,0,G2
0,1000,0,0,0,G2
0,1000,0,0,0,G2
0,1000,0,0,0,G2
0,1000,0,0,0,G2
1,1,1,0.467396,0.606668,G3
1,1,1,0.461049,0.674613,G3
1,1,1,0.486204,0.695482,G3
1,1,1,0.466035,0.661723,G3
0,1,0,0,0,G3
0,1,0,0,0,G3
0,1,0,0,0,G3
1,1,1,0.270761,0.709123,G3
1,1,1,0.231942,0.704317,G3
1,1,1,0.384351,0.690093,G3
2,11000,0.010671,-0.009127,1.031965,G4
2,11000,0.010359,-0.182513,1.126038,G4
2,11000,0.011767,-0.239257,1.089101,G4
1,11000,1,-0.890757,0.076166,G4
3,11000,0.015074,0.274832,1.300608,G4
1,11000,1,-0.968462,0.04864,G4
2,11000,0.010832,0.182582,1.123193,G4
2,11000,0.009896,-0.090671,1.058137,G4
2,11000,0.010102,-0.064743,1.041764,G4
2,11000,0.010755,0.172381,1.156947,G4
2,1100,0.019291,0.552577,0.766375,G5
1,1100,1,0.234747,0.769145,G5
1,1100,1,0.347492,0.712485,G5
0,1100,0,0,0,G5
2,1100,0.017318,0.402656,0.898188,G5
2,1100,0.016626,0.407046,0.951567,G5
2,1100,0.01844,0.239673,0.747147,G5
2,1100,0.020647,0.312447,0.746853,G5
0,1100,0,0,0,G5
2,1100,0.018844,0.415659,0.807061,G5
3,1110,0.013852,0.582497,0.974883,G6
3,1110,0.013305,0.59541,0.941199,G6
3,1110,0.014167,0.532532,0.919969,G6
3,1110,0.014455,0.623132,0.912956,G6
3,1110,0.013917,0.4485,0.886854,G6
3,1110,0.01544,0.62582,0.844682,G6
3,1110,0.020546,0.483239,0.845279,G6
3,1110,0.012939,0.740884,0.74577,G6
3,1110,0.013425,0.750233,0.954471,G6
3,1110,0.014434,0.791949,1.030164,G6
2,10001,0.010607,0.943968,0.900033,G7
3,10001,0.010792,1.077569,1.191589,G7
3,10001,0.039201,3.403178,2.90838,G7
3,10001,0.011007,1.058594,1.082551,G7
2,10001,0.010328,1.095505,1.098608,G7
3,10001,0.011457,1.006503,1.010494,G7
2,10001,0.012013,1.069142,0.976073,G7
2,10001,0.010542,0.981127,1.038161,G7
2,10001,0.011021,0.885921,0.942478,G7
2,10001,0.010978,0.849016,0.882407,G7
4,11001,0.011977,1.227301,1.255788,G8
3,11001,0.010943,0.992309,1.308586,G8
3,11001,0.010353,0.677979,0.996916,G8
3,11001,0.011148,1.123231,1.182118,G8
3,11001,0.010735,0.974945,1.202946,G8
3,11001,0.011378,1.000095,1.189858,G8
3,11001,0.010599,0.930347,1.188416,G8
3,11001,0.010973,0.750694,1.178473,G8
3,11001,0.010902,0.791638,1.195559,G8
3,11001,0.01119,0.925355,0.970092,G8
5,11111,0.00869,1.127704,1.287582,G9
5,11111,0.008805,1.1819,1.328144,G9
5,11111,0.00888,1.383087,1.31177,G9
4,11111,0.008157,1.049647,1.216364,G9
5,11111,0.008863,1.346604,1.365156,G9
5,11111,0.008569,1.247788,1.366577,G9
5,11111,0.008891,1.202673,1.346891,G9
4,11111,0.008414,0.883985,1.306442,G9
5,11111,0.008162,1.361782,1.33326,G9
4,11111,0.008259,1.007664,1.23662,G9
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
0,0,0,0,0,G1
3,1101,0.010997,0.597382,1.090625,G0
3,1101,0.010501,0.681706,1.115472,G0
3,1101,0.010776,0.686494,1.112508,G0
2,1101,0.011858,0.505489,0.98304,G0
3,1101,0.01071,0.809986,1.013495,G0
3,1101,0.010442,0.848038,0.979701,G0
3,1101,0.010727,0.606749,1.070896,G0
3,1101,0.011027,0.564187,1.072848,G0
1,1101,1,-0.360713,0.796177,G0
3,1101,0.011043,0.68375,1.139601,G0
1,1000,1,-0.324908,0.904879,G2
1,1000,1,-0.244712,0.830004,G2
1,1000,1,-0.085464,0.933874,G2
1,1000,1,-0.302308,0.834286,G2
0,1000,0,0,0,G2
1,1000,1,-0.20352,0.941433,G2
1,1000,1,-0.217339,0.958562,G2
0,1000,0,0,0,G2
2,1000,0.016282,0.074399,1.373732,G2
1,1000,1,-0.157849,0.851933,G2
1,1,1,0.330429,0.688457,G3
1,1,1,0.174462,0.968013,G3
1,1,1,0.285143,0.931877,G3
1,1,1,0.411038,0.877188,G3
1,1,1,0.234592,0.89396,G3
1,1,1,0.134083,0.867564,G3
1,1,1,0.04225,0.848933,G3
1,1,1,0.286535,0.843853,G3
1,1,1,0.382666,0.771164,G3
1,1,1,0.296203,0.754998,G3
1,11000,1,-0.965539,0.259996,G4
3,11000,0.014551,0.119147,1.471787,G4
3,11000,0.014566,0.231276,1.474227,G4
2,11000,0.010941,-0.14338,1.251474,G4
2,11000,0.011182,-0.373114,1.230959,G4
2,11000,0.011336,-0.547359,1.153618,G4
2,11000,0.011666,-0.176782,1.184002,G4
2,11000,0.011657,0.001529,1.113585,G4
