@relation 'gesture-weka.filters.unsupervised.attribute.Remove-V-R4,5,6,12'

@attribute Max_X numeric
@attribute Max_Y numeric
@attribute fingersAreas numeric
@attribute class {G1,G2,G3,G4,G5,G6,G7,G8,G9,G0}

@data
0.567829,1.426975,31.582924,G8
0.761607,1.478418,88.510788,G8
0.642846,1.471149,34.360435,G8
0.283297,1.272335,81.049911,G8
0.607018,1.179867,31.013523,G8
0.633312,1.259652,71.723534,G8
0.447865,1.236284,32.058792,G8
0.622475,1.343418,33.020748,G8
0.530258,1.504573,16.910755,G9
0.579419,1.340814,13.740136,G9
0.695679,1.295621,14.779031,G9
0.791347,1.412484,11.713248,G9
-0.799085,0.600263,1,G9
0.850534,1.42811,11.588235,G9
-0.788799,0.610598,1,G9
0.653589,1.178239,11.072308,G9
0.904786,1.352818,10.192496,G9
0.522232,1.510261,16.426311,G9
-0.768864,0.635808,1,G1
-0.616738,0.778669,1,G1
0,0,0,G1
-0.553091,0.81432,1,G1
-0.50255,0.864201,1,G1
-0.617926,0.786069,1,G1
-0.739105,0.671906,1,G1
-0.698455,0.71264,1,G1
0,0,0,G1
0,0,0,G1
0.426401,0.79501,19.429249,G0
0.588854,1.055807,22.119347,G0
0.471281,1.026527,22.894224,G0
0.58508,1.053928,23.186516,G0
0.857719,1.283488,19.955507,G0
0.270615,0.965162,22.108004,G0
0.302741,0.956813,22.267647,G0
0.347208,0.999659,22.644402,G0
0.385278,1.013991,21.962376,G0
0.543801,1.032953,19.529358,G0
-0.215154,0.69643,1,G2
0.795045,-0.381329,1,G2
0,0,0,G2
0,0,0,G2
-0.186899,0.780266,1,G2
-0.122636,0.768555,1,G2
0.024574,1.024957,18.586517,G2
0.129716,1.0396,18.952829,G2
0.138083,1.060463,19.019991,G2
0.035481,0.939747,20.502623,G2
-0.108901,0.843878,1,G3
0.483535,0.808117,1,G3
0.313593,0.901246,1,G3
0.147303,0.9465,1,G3
0.40733,0.887323,1,G3
0.261888,0.942052,1,G3
0.72652,1.277046,43.806084,G3
0.20873,0.864457,1,G3
0.04827,0.831736,1,G3
0.102806,0.8412,1,G3
-0.373879,1.007392,53.363533,G4
-0.434245,1.03995,55.445675,G4
-0.413022,0.995725,57.632858,G4
-0.037151,1.404686,18.210123,G4
-0.000103,1.494884,17.409941,G4
-0.060346,1.271162,18.754187,G4
-0.033475,1.291995,19.466267,G4
-0.013315,1.089693,19.616816,G4
-0.447857,0.903819,53.907883,G4
-0.45698,0.939392,54.080479,G4
0.264451,0.887494,35.383423,G5
0.30508,0.925899,35.510876,G5
0.161662,0.88639,36.217762,G5
1.997881,2.267486,28.439514,G5
0.207566,0.888379,35.175339,G5
0.263061,0.867388,36.02306,G5
0.295778,0.891259,35.848511,G5
0.302774,0.913023,35.379021,G5
0.291047,0.896674,33.79295,G5
0.345031,0.843593,35.247337,G5
0.054545,0.949435,15.573933,G6
0.341613,1.252604,14.413544,G6
0.183539,0.811824,17.945267,G6
0.132188,0.937772,17.476412,G6
0.299692,1.043624,15.826111,G6
0.177524,0.979963,16.318581,G6
0.124065,0.917098,15.603787,G6
0.15952,0.901396,15.716647,G6
0.093541,0.866462,16.018442,G6
0.025135,0.956087,16.020119,G6
1.095423,0.518405,80.422737,G7
1.109315,0.908251,41.267994,G7
0.911542,0.783362,40.350845,G7
0.83926,0.900812,74.734032,G7
1.004514,0.870361,76.033142,G7
0.944776,0.805686,40.558052,G7
1.053624,1.08874,26.645836,G7
1.353392,1.285265,26.544914,G7
1.458554,1.449588,27.584511,G7
1.367796,1.142757,26.861992,G7
1.775124,1.977088,17.067598,G8
0.288527,1.033955,40.308922,G8
0.32148,1.165574,25.895041,G8
0.155239,0.956686,24.940514,G8
0.274512,0.993523,25.743473,G8
0.31914,1.031452,25.42441,G8
0.479261,1.177462,24.691273,G8
0.500359,1.209937,24.97603,G8
0.446692,1.195472,17.722002,G8
2.231167,2.391885,18.097288,G8
0.912641,1.349664,10.475904,G9
0.795213,1.367724,10.736491,G9
0.66777,1.302834,10.215485,G9
0.777736,1.302651,10.836102,G9
0.782084,1.310955,10.868353,G9
0.792103,1.300923,9.782095,G9
0.642047,1.339228,10.083056,G9
-0.196212,1.136419,25.220232,G9
0.671083,1.357636,25.929398,G9
0.730756,1.307832,10.531284,G9
0,0,0,G1
0.734957,-0.436434,1,G1
0.581342,-0.577997,5.416896,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
-0.667931,0.62587,1,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0.861251,1.653102,4.915854,G0
0.461436,1.011152,19.595537,G0
0.41388,1.065574,19.243837,G0
1.781367,3.374366,7.804761,G0
0.36219,0.929811,19.793972,G0
0.457707,0.937605,20.028419,G0
0.568438,0.962773,19.043934,G0
-0.014742,0.848819,22.023912,G0
0.961435,1.621572,1.973912,G0
0.910031,1.746894,4.449722,G0
-0.303567,0.691537,1,G2
0,0,0,G2
0,0,0,G2
0,0,0,G2
-0.315823,0.645461,1,G2
-0.111525,0.73004,1,G2
-0.210051,0.817998,1,G2
0,0,0,G2
-0.267906,0.715518,1,G2
-0.291259,0.765787,1,G2
0.488662,2.687721,49.595951,G3
0,0,0,G3
0.822483,1.57313,53.400436,G3
0.211315,0.854765,1,G3
0.257286,0.895916,1,G3
0.294008,0.85043,1,G3
0.213918,0.866428,1,G3
0.220521,0.823966,1,G3
0.164169,0.803636,1,G3
0.15234,0.808144,1,G3
-0.174105,1.103987,50.252277,G4
-0.122953,1.115498,48.429398,G4
0.18846,1.460319,14.786871,G4
-0.164602,1.124563,50.12207,G4
-0.94572,0.261743,1,G4
-0.150126,1.15236,49.292255,G4
-0.98293,0.149529,1,G4
-0.008154,2.584348,77.524254,G4
-0.180848,1.120862,50.425652,G4
1.36589,3.074546,34.100098,G4
-0.063246,1.608927,30.171564,G5
0.972259,1.275522,9.168107,G5
0.856262,1.844815,11.501387,G5
-0.077521,0.717603,26.184465,G5
1.139007,1.570754,18.09214,G5
-0.078388,0.701412,26.263199,G5
0.136451,0.731091,27.691299,G5
0.192035,0.831773,27.695864,G5
0.017633,0.82368,28.322369,G5
-0.183645,1.71031,31.533884,G5
0.15807,0.829726,19.914471,G6
0.699618,1.753694,7.737838,G6
0.125004,0.876376,19.64415,G6
0.641382,1.39442,7.008226,G6
0.070663,0.7709,19.759106,G6
-0.009252,0.785042,19.387762,G6
0.667561,1.313331,5.810316,G6
1.009683,0.913673,3.458053,G6
0.356224,0.865698,20.15057,G6
0.24501,0.913107,20.21986,G6
0.13836,0.783446,53.090115,G7
-0.164355,0.71422,28.018694,G7
-0.624042,0.682302,1,G7
0.329231,0.982685,30.324524,G7
0.38034,0.829572,30.072052,G7
0.793739,1.705116,5.104064,G7
0.29787,1.017446,53.317043,G7
3.005895,-4.037921,26.40741,G7
1.964791,3.744629,13.585074,G7
2.029247,2.149701,9.604671,G7
0.470137,1.070538,19.364756,G8
-0.328652,1.079445,35.649731,G8
0.308704,1.041452,20.332781,G8
4.830279,-5.929143,69.943497,G8
0.317377,1.018776,19.7327,G8
0.478468,1.080394,19.846165,G8
0.378964,1.171522,20.634821,G8
0.325927,1.207806,20.530083,G8
0.254995,1.092935,20.212069,G8
0.253362,1.049074,19.471188,G8
0.985754,1.059274,8.73686,G9
0.842018,0.910056,8.881664,G9
1.16038,1.12397,7.105643,G9
1.081631,1.244326,15.284383,G9
0.925269,0.988158,16.43553,G9
0.821203,0.742008,15.619578,G9
0.964381,0.971874,8.800071,G9
0.810025,0.942821,9.380643,G9
0.666753,0.964272,9.375968,G9
0.702865,1.080709,10.967755,G9
-0.728452,0.513998,1,G1
-0.672955,0.584972,1,G1
-0.720727,0.537501,1,G1
-0.701598,0.532832,1,G1
-0.693084,0.469594,1,G1
-0.762485,0.47517,1,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
-0.698562,0.527928,1,G1
0.726182,1.074775,28.205624,G0
0.792688,1.182609,27.12533,G0
0.809091,1.164044,28.109241,G0
0.838553,1.075516,27.913639,G0
0.655823,1.051815,28.283398,G0
0.86205,1.089669,27.656107,G0
0.956434,1.02905,27.393061,G0
0.955239,0.944636,27.468975,G0
1.007363,1.118087,21.126677,G0
0.734132,1.070149,27.943962,G0
-0.357227,0.413412,1,G2
-0.078084,0.81329,1,G2
-0.18588,0.787667,1,G2
-0.085474,0.800882,1,G2
-0.179387,0.713245,1,G2
-0.199327,0.855622,1,G2
-0.255902,0.608424,1,G2
-0.244464,0.461732,1,G2
-0.125303,0.601262,1,G2
-0.239968,0.602885,1,G2
0.443697,0.555626,1,G3
0.86226,0.653779,8.558611,G3
0.750588,0.592454,8.260798,G3
0.893559,0.828634,6.617039,G3
0.517816,0.639066,1,G3
0.492226,0.655908,1,G3
0.483866,0.707425,1,G3
0.967046,0.872807,6.362509,G3
0.502763,0.467815,1,G3
0.51584,0.433847,1,G3
0.00827,1.100329,16.562922,G4
-0.44694,0.466721,50.63102,G4
-0.455291,0.861769,55.133663,G4
-0.073055,1.135414,17.029902,G4
0.004683,1.254171,16.374195,G4
0.010504,1.342452,15.88985,G4
0.036607,1.219558,16.279348,G4
-0.058973,1.180501,16.642817,G4
-0.015395,1.10555,16.67091,G4
-0.220726,0.979685,55.099251,G4
0.189658,0.558474,27.466497,G5
0.319402,0.773781,27.646662,G5
0.259142,0.804876,27.798517,G5
0.100846,0.767767,27.890408,G5
0.283289,0.794308,27.676783,G5
0.220504,0.705901,27.788082,G5
0.07513,0.703821,27.94903,G5
-0.022152,0.783468,28.034847,G5
0.04532,0.700131,27.223623,G5
0.025468,0.636403,27.652082,G5
0.322959,0.972516,17.168375,G6
0.248405,1.014125,17.378466,G6
0.340859,1.031472,17.14905,G6
0.420885,1.009359,17.237867,G6
0.329623,0.88497,16.897444,G6
0.270949,0.826688,16.801483,G6
0.288639,0.853461,16.922415,G6
0.044501,0.861331,16.54907,G6
0.239615,1.035168,18.471989,G6
0.244437,1.004307,17.622847,G6
1.347333,1.206629,72.201683,G7
1.202937,1.044722,72.33197,G7
1.145428,1.029672,73.953262,G7
1.153348,0.965388,72.239662,G7
1.182747,0.962683,72.002129,G7
1.150035,1.056092,71.816238,G7
0.951274,1.032187,72.34948,G7
0.945516,0.979077,72.178688,G7
0.999471,0.773504,70.320694,G7
1.297328,0.795194,71.736969,G7
0.544992,1.059212,29.699686,G8
0.811194,1.076568,28.802959,G8
0.873147,0.919678,21.44853,G8
0.921665,1.107732,21.427652,G8
0.690302,0.837593,28.632725,G8
0.828407,0.942505,28.429342,G8
0.923193,1.022956,28.363503,G8
0.495076,0.890381,29.338818,G8
0.376799,0.721406,29.090879,G8
0.352291,0.659854,21.3776,G8
1.282685,1.085027,7.51787,G9
1.095357,1.343303,10.037858,G9
1.047545,1.26462,10.449368,G9
1.152834,1.095991,9.683265,G9
0.9195,1.082165,9.851491,G9
0.735712,0.949379,10.246622,G9
0.897672,0.787352,9.076012,G9
1.009016,1.035568,9.387828,G9
1.13926,1.116737,9.189385,G9
1.177129,1.061109,9.54729,G9
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0.493973,1.002696,20.882399,G0
0.707169,1.083003,20.860098,G0
0.405435,0.902968,20.991903,G0
0.807531,0.954368,21.261385,G0
0.639225,0.95313,21.232153,G0
-0.38578,0.637863,19.8237,G0
0.334742,0.725178,20.460182,G0
0.587771,0.656027,21.052015,G0
0.771776,0.975539,21.471386,G0
0.809268,0.942541,20.57741,G0
-0.446635,0.705502,1,G2
0,0,0,G2
-0.63726,0.535409,1,G2
-0.562339,0.593751,1,G2
-0.023712,0.731584,1,G2
-0.295672,0.700807,1,G2
-0.329493,0.490158,1,G2
-0.377284,0.443086,1,G2
-0.260873,0.698579,1,G2
-0.251762,0.734569,1,G2
0,0,0,G3
1.007043,0.84771,37.467548,G3
0,0,0,G3
0,0,0,G3
0.398717,0.625731,1,G3
0,0,0,G3
0.496599,0.788017,1,G3
0.473024,0.777787,1,G3
0.490308,0.871298,1,G3
0,0,0,G3
-0.49783,0.404073,1,G4
0.265145,1.207832,43.335747,G4
0.150528,0.849024,32.805344,G4
0.479933,0.793335,44.423435,G4
0.540778,0.450618,39.716812,G4
0.402733,0.679362,47.848164,G4
-0.211578,0.869945,55.99432,G4
0.20852,0.954483,47.99987,G4
0.6976,0.678877,45.919861,G4
0.446533,0.420077,1,G4
0.317808,0.572572,21.402111,G5
0.21086,0.785725,23.92918,G5
0.354287,1.157577,16.443775,G5
0,0,0,G5
0.01223,0.734557,22.162588,G5
0.229529,0.676725,22.216434,G5
0.26645,0.711991,21.863609,G5
0.800136,1.109469,15.804931,G5
0,0,0,G5
0,0,0,G5
-0.043368,0.636413,17.562973,G6
0.511672,0.889369,13.202558,G6
-0.489108,0.570999,1,G6
0.481586,0.950306,13.649017,G6
0.43352,0.825631,13.525636,G6
0.508264,0.909745,22.681602,G6
0.622914,0.966036,13.019904,G6
0.004846,0.791876,1,G6
-0.563037,0.54199,1,G6
0.184303,0.889428,13.217293,G6
1.172664,0.473931,37.84771,G7
1.219794,1.121157,72.603188,G7
0,0,0,G7
-0.152401,0.136272,1,G7
1.045063,0.33766,70.606186,G7
1.187844,0.367019,70.109825,G7
0,0,0,G7
1.172019,0.706372,70.54409,G7
1.116929,0.576606,70.084503,G7
1.323805,0.52991,70.591492,G7
0.89502,0.971917,26.484047,G8
0.857352,1.302132,23.794563,G8
-0.245824,0.975185,38.128246,G8
-0.206555,0.721539,31.819365,G8
0.644384,0.877267,23.968681,G8
0.731228,0.768287,25.091311,G8
1.015224,0.791049,24.495312,G8
0.221916,0.705051,37.014832,G8
0.887352,0.935331,26.107718,G8
1.033524,1.031711,24.757931,G8
1.074907,0.908757,10.972218,G9
1.392195,1.385827,6.586637,G9
0.94556,0.861541,10.187063,G9
0.939469,1.090867,10.263643,G9
0.943199,0.798409,10.127734,G9
0.896367,0.941229,15.87604,G9
0.667916,1.119402,10.776596,G9
0.58002,1.052011,11.155943,G9
1.052728,0.948001,11.073741,G9
0.936526,0.877846,11.279895,G9
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0.556589,-0.371725,1,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0.598957,1.025194,21.950901,G0
0.553095,1.148941,21.175959,G0
0.616175,1.146282,21.540407,G0
0.612207,1.153117,21.725775,G0
0.463449,1.17592,19.810598,G0
0.705224,1.15498,22.240541,G0
0.483673,1.150069,20.829376,G0
0.628469,1.096475,21.165833,G0
0.528844,1.04504,21.224251,G0
0.721161,1.052926,22.230488,G0
0,0,0,G2
0,0,0,G2
0,0,0,G2
0,0,0,G2
0,0,0,G2
0,0,0,G2
0,0,0,G2
0,0,0,G2
0,0,0,G2
0,0,0,G2
0.467396,0.606668,1,G3
0.461049,0.674613,1,G3
0.486204,0.695482,1,G3
0.466035,0.661723,1,G3
0,0,0,G3
0,0,0,G3
0,0,0,G3
0.270761,0.709123,1,G3
0.231942,0.704317,1,G3
0.384351,0.690093,1,G3
-0.009127,1.031965,60.291145,G4
-0.182513,1.126038,65.190086,G4
-0.239257,1.089101,57.752979,G4
-0.890757,0.076166,1,G4
0.274832,1.300608,19.895859,G4
-0.968462,0.04864,1,G4
0.182582,1.123193,64.328163,G4
-0.090671,1.058137,64.884415,G4
-0.064743,1.041764,67.481865,G4
0.172381,1.156947,65.172585,G4
0.552577,0.766375,26.83696,G5
0.234747,0.769145,1,G5
0.347492,0.712485,1,G5
0,0,0,G5
0.402656,0.898188,31.140699,G5
0.407046,0.951567,32.815556,G5
0.239673,0.747147,28.256777,G5
0.312447,0.746853,25.189964,G5
0,0,0,G5
0.415659,0.807061,27.55373,G5
0.582497,0.974883,18.980923,G6
0.59541,0.941199,19.703587,G6
0.532532,0.919969,18.328455,G6
0.623132,0.912956,17.970846,G6
0.4485,0.886854,18.655182,G6
0.62582,0.844682,16.783241,G6
0.483239,0.845279,12.948482,G6
0.740884,0.74577,20.249958,G6
0.750233,0.954471,20.156908,G6
0.791949,1.030164,18.80793,G6
0.943968,0.900033,67.945549,G7
1.077569,1.191589,36.497276,G7
3.403178,2.90838,124.514069,G7
1.058594,1.082551,37.33736,G7
1.095505,1.098608,70.948708,G7
1.006503,1.010494,36.409126,G7
1.069142,0.976073,66.473228,G7
0.981127,1.038161,66.771965,G7
0.885921,0.942478,65.038383,G7
0.849016,0.882407,66.394348,G7
1.227301,1.255788,20.396193,G8
0.992309,1.308586,25.542887,G8
0.677979,0.996916,27.315542,G8
1.123231,1.182118,24.433315,G8
0.974945,1.202946,26.35997,G8
1.000095,1.189858,24.703197,G8
0.930347,1.188416,26.63711,G8
0.750694,1.178473,25.718967,G8
0.791638,1.195559,25.982103,G8
0.925355,0.970092,25.234972,G8
1.127704,1.287582,15.185007,G9
1.1819,1.328144,15.276175,G9
1.383087,1.31177,15.187655,G9
1.049647,1.216364,19.015265,G9
1.346604,1.365156,15.613431,G9
1.247788,1.366577,15.682833,G9
1.202673,1.346891,15.486366,G9
0.883985,1.306442,18.255842,G9
1.361782,1.33326,9.37676,G9
1.007664,1.23662,18.710051,G9
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0.597382,1.090625,23.849249,G0
0.681706,1.115472,24.9988,G0
0.686494,1.112508,24.508358,G0
0.505489,0.98304,54.984791,G0
0.809986,1.013495,25.160847,G0
0.848038,0.979701,25.775015,G0
0.606749,1.070896,24.676746,G0
0.564187,1.072848,23.645828,G0
-0.360713,0.796177,1,G0
0.68375,1.139601,23.794411,G0
-0.324908,0.904879,1,G2
-0.244712,0.830004,1,G2
-0.085464,0.933874,1,G2
-0.302308,0.834286,1,G2
0,0,0,G2
-0.20352,0.941433,1,G2
-0.217339,0.958562,1,G2
0,0,0,G2
0.074399,1.373732,33.111378,G2
-0.157849,0.851933,1,G2
0.330429,0.688457,1,G3
0.174462,0.968013,1,G3
0.285143,0.931877,1,G3
0.411038,0.877188,1,G3
0.234592,0.89396,1,G3
0.134083,0.867564,1,G3
0.04225,0.848933,1,G3
0.286535,0.843853,1,G3
0.382666,0.771164,1,G3
0.296203,0.754998,1,G3
-0.965539,0.259996,1,G4
0.119147,1.471787,20.527178,G4
0.231276,1.474227,20.604887,G4
-0.14338,1.251474,61.082603,G4
-0.373114,1.230959,57.431267,G4
-0.547359,1.153618,54.200619,G4
-0.176782,1.184002,54.161648,G4
0.001529,1.113585,56.480007,G4
-0.272443,1.165923,57.925606,G4
-0.230886,1.181201,56.000134,G4
0.092056,0.831786,26.642244,G5
0.274169,0.943422,37.154068,G5
0.224598,0.910117,34.104729,G5
-0.106119,0.920849,1,G5
0.08176,0.927262,26.021835,G5
0.301604,0.943595,24.800642,G5
0.170835,0.887789,1,G5
0.11474,0.879447,26.962458,G5
0.10985,0.876255,26.692886,G5
0.018719,0.855967,26.765795,G5
0.413602,0.942145,20.256214,G6
0.377758,0.95909,17.047852,G6
0.298367,0.924589,16.729675,G6
0.459313,1.004657,17.787954,G6
0.491706,1.007633,17.265451,G6
0.256337,1.007552,16.213783,G6
0.488008,0.99553,20.062643,G6
0.50416,0.996446,22.757629,G6
0.457934,1.047211,21.377962,G6
0.374892,1.049552,20.55521,G6
0.701891,1.119819,65.847382,G7
-0.820075,0.519808,1,G7
-0.818262,0.50776,1,G7
0.768414,1.142831,68.86422,G7
0.785725,1.131886,71.958382,G7
1.105771,1.018693,67.966751,G7
0.548605,1.210535,65.299904,G7
0.248988,1.114058,65.007561,G7
0.527894,1.129908,65.652946,G7
0.619472,1.119336,65.71978,G7
0.485468,1.378346,19.692427,G8
0.955128,1.278494,26.485064,G8
0.766878,1.114626,26.629318,G8
1.305254,1.448913,20.762381,G8
0.937405,1.252518,25.938713,G8
0.633478,1.08734,26.409336,G8
0.961441,1.031569,27.467936,G8
1.20847,1.123564,26.583305,G8
1.363419,1.225177,18.89397,G8
0.977304,1.226979,25.939802,G8
0.835729,1.077653,9.527532,G9
0.911842,1.01224,9.668103,G9
1.011594,0.98381,9.613049,G9
0.799858,0.955558,9.570864,G9
0.800566,1.18467,9.555344,G9
0.98364,1.163117,9.51868,G9
0.788263,1.348693,9.576638,G9
0.839511,0.946905,9.988613,G9
0.599558,0.801616,9.809388,G9
0.929799,0.942135,9.195293,G9
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0.445864,0.910312,26.168962,G0
0.479034,1.084308,26.312696,G0
0.726965,1.193354,27.028696,G0
0.67259,0.906126,36.385403,G0
0.543432,1.018818,26.946838,G0
0.349437,0.830391,26.449289,G0
0.598121,0.959786,26.165817,G0
0.796306,1.082352,26.78388,G0
0.769418,1.114782,26.587257,G0
0.614263,1.065401,26.258286,G0
-0.012735,0.940489,1,G2
0.005355,0.902595,1,G2
0.202659,0.856856,1,G2
-0.297177,0.799869,1,G2
-0.127664,0.904606,1,G2
-0.005915,0.992813,1,G2
0,0,0,G2
0,0,0,G2
-0.106377,0.805535,1,G2
0.159143,0.808621,1,G2
0.382613,0.428554,1,G3
0.214919,0.776599,1,G3
0.182696,0.594295,1,G3
-0.280551,0.586515,1,G3
0.305531,0.478185,1,G3
0.417575,0.360722,1,G3
0.412537,0.407221,1,G3
-0.067955,0.629562,1,G3
0.042513,0.652679,1,G3
0.380809,0.53114,1,G3
-0.909986,0.859095,58.086987,G4
0.087269,1.282806,57.091476,G4
-0.486802,1.160692,56.859406,G4
-0.045499,1.05981,57.191746,G4
0.10864,0.677994,55.289829,G4
-0.06354,1.268584,57.419991,G4
-0.314816,1.308857,55.999855,G4
-0.289388,1.104593,57.919682,G4
0.413275,1.065004,55.645729,G4
-0.778183,0.934078,58.284771,G4
0.168277,0.900112,31.363859,G5
0.433333,0.901322,31.544939,G5
-0.012718,0.709856,30.578329,G5
0.181923,0.829421,1,G5
0.490639,0.932993,30.718582,G5
0.315048,0.945703,31.152681,G5
-0.059789,0.802615,30.603867,G5
0,0,0,G5
0.287377,0.721637,1,G5
0.480632,0.638595,1,G5
0.081234,0.928371,21.632675,G6
0.42676,1.103648,21.888054,G6
0.172185,0.961613,21.601242,G6
0.608557,0.988794,21.487022,G6
0.46298,1.02717,21.360723,G6
0.092397,0.936006,21.818707,G6
0.192309,0.686904,46.536037,G6
0.647684,0.855413,22.232635,G6
0.65487,0.941777,22.062029,G6
0.141944,0.963241,21.714144,G6
0.840307,0.687236,72.915581,G7
0.516876,1.055557,71.795464,G7
0.521569,0.392595,1,G7
0.103685,0.898498,74.483971,G7
0.331051,1.059316,72.88903,G7
0.845901,0.705152,71.345612,G7
0.720649,0.637664,72.90947,G7
0.146131,0.786996,73.319832,G7
0.524327,0.666335,71.310219,G7
0.922788,0.926507,72.125488,G7
0.238445,0.746876,31.338329,G8
0.282635,0.66335,29.624895,G8
1.082419,1.009961,20.945076,G8
0.97525,0.750555,27.066563,G8
0.529585,0.965698,20.89237,G8
0.034141,0.650669,30.838646,G8
0.226677,0.595711,33.216892,G8
0.948481,0.822748,19.724712,G8
0.915602,0.851607,26.856787,G8
0.51753,0.770491,28.943487,G8
0.779635,1.438505,9.225645,G9
0.971793,1.202741,8.554334,G9
1.335971,1.255053,7.527702,G9
1.170982,1.330061,9.265546,G9
0.487906,1.101408,13.013872,G9
0.951539,1.4344,7.865595,G9
1.292913,1.534743,7.158701,G9
1.302239,1.508981,8.319952,G9
1.366719,1.493291,9.097486,G9
1.255683,1.584597,7.326109,G9
-0.659883,0.388478,1,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
0,0,0,G1
-0.536885,0.572105,1,G1
0.607003,0.933986,23.832621,G0
0.621065,1.022727,24.683174,G0
0.710747,1.008663,24.046339,G0
0.714895,0.978851,24.023407,G0
0.627897,1.002556,24.130436,G0
0.637064,1.001954,24.313951,G0
0.565185,0.945057,24.521149,G0
0.76783,0.828897,24.014828,G0
0.718374,0.959079,23.529587,G0
0.639895,0.920995,23.898355,G0
-0.186933,0.752226,1,G2
0,0,0,G2
0,0,0,G2
-0.209282,0.960286,1,G2
-0.284805,0.818337,1,G2
-0.217091,0.841928,1,G2
-0.27134,0.839827,1,G2
-0.238138,0.80107,1,G2
-0.139853,0.819822,1,G2
-0.073909,0.822595,1,G2
0.344561,0.891323,8.506701,G3
0.398717,1.23157,7.927714,G3
0.487774,1.261465,10.126935,G3
0.449431,0.793664,1,G3
0.213496,0.866528,1,G3
0.262937,0.817743,1,G3
0.214955,0.722604,1,G3
0.449552,0.624235,1,G3
1.710599,1.659585,23.497416,G3
0.708482,0.886567,5.273829,G3
